   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   nopayuktam iti tad vacanaṃ nodāharaṇīyam | śrī bhagavat paramātmanos tu	na upayuktam iti tat  vacanam na udAharaNIyam | SrI  Bagavat  paramAtmanoH tu
   udāhriyate | tatra īśvaro nāma nirākāro nāstīti pūrvaṃ nirṇītaṃ,	udAhriyate | tatra ISvaraH nAma nirAkAraH na asti iti pUrvam nirNItaM,
   paramātma śabdena ca sarvāntaryāmi puruṣaḥ pratipāditaḥ teṣv eva	paramAtma  Sabdena ca sarva antaryAmi  puruzaH pratipAditaH tezu eva
   sandarbheṣu | tathā ca sati tasmiṃs tṛtīyādhyāyārabhya evam ābhāsyam |	sandarBezu | taTA ca sati tasmin tRtIyA aDyAya AraByaH evam ABAsyam |
   nanu pūrvaṃ brahmāditayā tridhaiva tattvam ekam uktam | tatra brahmaṇaḥ	nanu pUrvam brahma Adi tayA triDA eva tattvam ekam uktam | tatra brahmaNaH
   kiṃ lakṣaṇaṃ bhagavat paramātmanor vā tatra viśeṣaḥ kaścid vā kim astīti	kim lakzaNam Bagavat  paramAtmanoH vA tatra viSezaH kaScid vA kim asti iti
   śrīmad īśvarākārādiṣu bahuṣu ca satsu śrī bhagavan nāma katamākāraḥ	SrImat  ISvara AkAra Adizu bahuzu ca satsu SrI  Bagavan nAma katama AkAraH
   paramātmā vā tayoś ca kiṃ svarūpādikam iti śrī śaunakādi praśnam	paramAtmA vA tayoH ca kim svarUpa Adikam iti SrI  SOnaka Adi praSnam
   āśaṅkya prathamaṃ śrī bhagavat paramātmanau nirdhārayan śrī sūta uvāca	ASaFkya praTamam SrI  Bagavat  paramAtmanO nirDArayan SrI  sUtaH uvAca
   jagṛhe pauruṣaṃ rūpaṃ bhagavān mahad ādibhiḥ |	jagRhe pOruzam rUpam BagavAn mahat  AdiBiH |
   sambhūtaṃ ṣoḍaśa kalam ādau loka sisṛkṣayā || [BhP 1.3.1]	samBUtam zoxaSa kalam AdO loka  sisRkzayA || [Bhj 1.3.1]
   [page 2]	[page 2]
   ādau jīvāvirbhāva mahad ādi sṛṣṭitaḥ pūrvaṃ pauruṣaṃ rūpaṃ jagṛhe	AdO jIva AvirBAva  mahat  Adi  sRzwitaH pUrvam pOruzam rUpam jagRhe
   prakaṭitavān | kena hetunā ? loka sisṛkṣayā | lokānāṃ samaṣṭi vyaṣṭi 	prakawitavAn | kena hetunA ? loka sisRkzayA | lokAnAm samazwi  vyazwi 
   jīvānāṃ tad adhiṣṭhānānāṃ ca prādurbhāvārtham ity arthaḥ | tasmin hi tāni	jIvAnAm tad  aDizWAnAnAm ca prAdurBAva arTam iti arTaH | tasmin hi tAni
   līnāny āsann iti |	lInAni Asan iti |
   atas tat prādurbhāvas tṛtīye tad dvāraiva uktaḥ | bhagavān eka āsedam [BhP	atas tat  prAdurBAvaH tRtIye tad  dvArA eva uktaH | BagavAn ekaH Asa idam [BhP
   3.5.23] ity ādi prakaraṇe   	3.5.23] iti  Adi prakaraNe   
   kāla vṛttyā tu māyāyāṃ guṇa mayyām adhokṣajaḥ |	kAla vRttyA tu mAyAyAm guNa mayyAm aDokzajaH |
   puruṣeṇātma bhūtena vīryam ādhatta vīryavān || [BhP 3.5.26] iti |	puruzeNa Atma BUtena vIryam ADatta vIryavAn || [Bhj 3.5.26] iti |
   tatra teṣāṃ sad bhāvaṃ vivṛṇoti mahad ādibhiḥ sambhūtaṃ militam |	tatra tezAm sad BAvam vivRNoti mahat  AdiBiH samBUtam militam |
   antarbhūta mahad ādi tattvam ity arthaḥ |	antarBUta  mahat  Adi tattvam iti arTaH |
   so'ntaḥ śarīre'rpita bhūta sūkṣmā	saH antaH  SarIre arpita BUta  sUkzmA
   [BhP 3.8.11] iti tṛtīyād eva | sam pūrvo bhavatiḥ saṅgamārthe prasiddha	[Bhj 3.8.11] iti tRtIyAt eva | sam pUrvaH BavatiH saFgama arTe prasidDa
   eva,	eva,
   sambhūyāmbhodhim abhyeti mahān adyā nagāpāgeti [ŚiśV 2.100] ity ādau |	samBUya amBoDim aByeti mahAn adyAH naga apAga iti [ŚiSV 2.100] iti AdO |
   tad evaṃ viṣṇos tu trīṇi rūpāṇi ity ādau mahat sraṣṭṛtvena prathamaṃ	tat evam vizNoH tu trINi rUpANi iti AdO mahat  srazwR tvena praTamam
   puruṣākhyaṃ rūpaṃ yac chrūyate yac ca brahma saṃhitādau kāraṇārṇava 	puruza AKyam rUpam yat SrUyate yat ca brahma saMhita AdO kAraNa arNava 
   śāyi saṅkarṣaṇatvena śrūyate | tad eva jagṛhe iti pratipāditam tasya	SAyi  saFkarzaNa tvena SrUyate | tat eva jagRhe iti pratipAditam tasya
   jagat 	jagat 
   sṛṣṭy ādi kartṛtvena | tato'pi paratraiśvarya sambhāvanārtham āha ṣoḍaśa 	sRzwi  Adi kartR tvena | tatas api para tra ESvarya  samBAvana arTam Aha zoxaSa 
   kalaṃ sampūrṇa sarva śakti yuktam ity arthaḥ | pūrṇatvaṃ cātrāpekṣikaṃ	kalam sampUrNa  sarva  Sakti yuktam iti arTaH | pUrNa tvam ca atra Apekzikam
   svarūpa śakti nidhir api svasānnidhyena māyā vṛttibhir	svarUpa  Sakti niDiH api svasAnniDyena mAyA vRttiBiH 
   jagat sṛṣṭy ādi kartā	jagat  sRzwi  Adi  kartA
   bhagavad aṃśī svarūpa śakty eka vilāsavān ity abhihitam |	Bagavat  aMSI svarUpa  Sakti  eka  vilAsavAn iti aBihitam |
   tad evaṃ sāmānyato bhagavat paramātmānau nirūpya paramātmānaṃ tāvad	tat evam sAmAnyatas Bagavat  paramAtmAnO nirUpya paramAtmAnam tAvat 
   anekaiḥ sthāna karma svarūpākāra viśeṣair nirdhārayati tribhiḥ  	anekEH sTAna  karma  svarUpa AkAra  viSezEH nirDArayati triBiH  
   yasyāmbhasi śayānasya yoga nidrāṃ vitanvataḥ |	yasya amBasi SayAnasya yoga nidrAm vitanvataH |
   nābhi hradāmbujād āsīd brahmā viśva sṛjāṃ patiḥ || [BhP 1.3.2]	nABi hrada ambujAt AsIt brahmA viSva sRjAm patiH || [Bhj 1.3.2]
   yasya pauruṣa rūpasyāmbhasi pralaya kālīna garbhodake śayānasya sataḥ |	yasya pOruza  rUpasya amBasi pralaya  kAlIna garBa udake SayAnasya sataH |
   [The Vṛ. edition differs between ādau and śayānasya sataḥ: yaḥ	[The VR. edition diffeH H betweet AdO and SayAnasya sataH: yaH
   śrī bhagavān	SrI  BagavAn
   pūrṇa ṣaḍ aiśvaryatvena pūrvaṃ nirdiṣṭaḥ | sa eva pauruṣaṃ rūpaṃ	pUrNa zaz  ESvarya tvena pUrvam nirdizwaH | saH eva pOruzam rUpam
   puruṣatvenāmnyāyate | yad rūpaṃ tad evādau sargārambhe jagṛhe | prākṛta 	puruza tvenAm nyAyate | yat rUpam tat eva AdO sarga AramBe jagRhe | prAkRta 
   pralayeṣv asmin līnaṃ sat prakaṭatayā svīkṛtavān | kim artham ? tatrāha  	pralayezu asmin lInam sat prakawa tayA svIkRtavAn | kim arTam ? tatra Aha  
   loka sisṛkṣayā | tasminn eva līnānāṃ lokānāṃ samaṣṭi vyaṣṭi jīvānāṃ	loka  sisRkzayA | tasmin eva lInAnAm lokAnAm samazwi  vyazwi jIvAnAm
   sisṛkṣayā prādurbhāvanārtham ity arthaḥ |	sisRkzayA prAdurBAvanA arTam iti arTaH |
   kīdṛśaṃ sat ? tad rūpaṃ līnam āsīt tatrāha   mahad ādibhiḥ sambhūtaṃ	kIdRSam sat ? tad  rUpam lInam AsIt tatra Aha  mahat  AdiBiH samBUtam
   militam antarbhūta mahad ādi tattvam ity arthaḥ | sambhūyāmbhodhim	militam antarBUta  mahat  Adi tattvam iti arTaH | samBUya amBoDim
   abhyeti mahān adyā nagāpāgeti [ŚiśV 2.100] iti sambhavatir milanārthaḥ |	aByeti mahAn adyAH naga apAga iti [ŚiSV 2.100] iti samBavatiH milana arTaH |
   tatra hi mahad ādīni līnāny āsann iti |	tatra hi mahat  AdIni lInAni Asan iti |
   tad evaṃ viṣṇos tu trīṇi rūpāṇi ity ādau mahat sraṣṭṛtvena prathamaṃ	tat evam vizNoH tu trINi rUpANi iti AdO mahat  srazwR tvena praTamam
   puruṣākhyaṃ rūpaṃ yac chrūyate yac ca brahma saṃhitādau kāraṇārṇava 	puruza AKyam rUpam yat SrUyate yat ca brahma saMhita AdO kAraNa arNava 
   śāyi saṅkarṣaṇatvena śrūyate | tad eva jagṛhe iti pratipāditam | punaḥ	SAyi  saFkarzaNa tvena SrUyate | tat eva jagRhe iti pratipAditam | punar 
   kīdṛśaṃ tad rūpam ? tatrāha ṣoḍaśa kalaṃ tat sṛṣṭy upayogi pūrṇa śaktīty	kIdRSam tat rUpam ? tatra Aha zoxaSa kalam tat sRzwi  upayogi  pUrNa  Sakti iti 
   arthaḥ | tad evaṃ yas tad rūpaṃ jagṛhe sa bhagavān | yat tu tena gṛhītaṃ	arTaH | tat evam yaH tad  rUpam jagRhe sa BagavAn | yat tu tena gRhItam
   tat tu	tat tu
   sva sṛjyānām āśrayatvāt paramātmeti paryavasitam | tasya puruṣa rūpasya	sva sRjyAnAm ASraya tvAt paramAtmA iti paryavasitam | tasya puruza  rUpasya
   visarga nidānatvam api pratipādayitum āha sārdhena   	visarga  nidAna tvam api pratipAdayitum Aha sArDena   
   yasyāmbhasi śayānasya yoga nidrāṃ vitanvataḥ |	yasya amBasi SayAnasya yoga nidrAm vitanvataH |
   nābhi hradāmbujād āsīd brahmā viśva sṛjāṃ patiḥ |	nABi hrada ambujAt AsIt brahmA viSva sRjAm patiH |
   yasyāvayava saṃsthānaiḥ kalpito loka vistaraḥ || [BhP 1.3.3]	yasya avayava  saMsTAnEH kalpitaH loka vistaraH || [Bhj 1.3.3]
   yasya pauruṣa rūpasya dvitīyena vyūhena brahmāṇḍaṃ praviśya ambhasi	yasya pOruza  rUpasya dvitIyena vyUhena brahmANxam praviSya amBasi
   garbhodake śayānasyety ādi yojyam | yasya ca tādṛśatvena tatra śayānasya	garBa udake SayAn asya iti Adi yojyam | yasya ca tAdRSa tvena tatra SayAnasya
   avayava saṃsthānaiḥ sākṣāc chrī caraṇādi sanniveśe lokasya vistāro virāḍ 	avayava  saMsTAnEH sAkzAc  SrI  caraNa Adi  sanniveSe lokasya vistAraH virAx 
   ākāraḥ prapañcaḥ kalpitaḥ | yathā tad avayava sanniveśās tathaiva pātālam	AkAraH prapaQcaH kalpitaH | yaTA tad  avayava sanniveSAH taTA eva pAtAlam
   etasya hi pāda mūlam [BhP 2.1.26] ity ādinā navīnopāsakān prati manaḥ 	etasya hi pAda  mUlam [Bhj 2.1.26] iti AdinA navInA upAsakAn prati manaH 
   sthairyāya prakhyāpitaḥ | na tu vastutas tad eva yasya rūpam ity arthaḥ |	sTEryAya praKyApitaH | na tu vastutas tat eva yasya rUpam iti arTaH |
   yad	yat 
   vā candramā manaso jātaḥ ity ārabhya padbhyāṃ bhūmir diśaḥ śrotrāt tathā	vA candramAH manasaH jAtaH iti AraBya padByAm BUmiH diSaH SrotrAt taTA
   lokān akalpayat iti śrutes [Ṛk 10.90.13 14] tair hetu bhūtair loka vistāro	lokAn akalpayat iti SruteH [Ṛc 10.90.13 14] tEH hetu  BUtEH loka vistAraH 
   racita	racita
   ity arthaḥ | [end Vṛ. reading.]	iti arTaH | [end VR. reat ing.]
   tathā ca bhārate mokṣa dharma nārāyaṇīye  	taTA ca BArate mokza Darma  nArAyaNIye  
   asman mūrtiś caturthī yā sāsṛjac cheṣam avyayam |	asmat mUrtiH caturTI yA sA sRjat Sezam avyayam |
   sa hi saṃkarṣaṇaḥ proktaḥ pradyumnaṃ so 'py ajījanat ||	sa hi saMkarzaNaH proktaH pradyumnam saH api ajIjanat ||
   pradyumnād aniruddho 'haṃ sargo mama punaḥ punaḥ |	pradyumnAt anirudDaH aham sargaH mama punar punar |
   aniruddhāt tathā brahmā tatrādi kamalodbhavaḥ ||	anirudDAt taTA brahmA tatra Adi kamalodBavaH ||
   brahmaṇaḥ sarvabhūtāni carāṇi sthāvarāṇi ca || [Mbh 12.326.68 70]	brahmaNaH sarva BUtAni carANi sTAvarANi ca || [MB 12.326.68 70]
   tatraiva vyāsaḥ   	tatra eva vyAsaH   
   paramātmeti yaṃ prāhuḥ sāṃkhyayogavido janāḥ |	paramAtmA iti yam prAhuH sAMKya yoga vidaH janAH |
   mahāpuruṣa saṃjñāṃ sa labhate svena karmaṇā ||	mahApuruza saMjQAm sa laBate svena karmaNA ||
   tasmāt prasūtam avyaktaṃ pradhānaṃ tad vidur budhāḥ |	tasmAt prasUtam avyaktam praDAnam tat viduH buDAH |
   avyaktād vyaktam utpannaṃ lokasṛṣṭy artham īśvarāt ||	avyaktAt vyaktam utpannam loka sRzwi arTam ISvarAt ||
   aniruddho hi lokeṣu mahān ātmeti kathyate |	anirudDaH hi lokezu mahAn AtmA iti kaTyate |
   yo 'sau vyaktatvam āpanno nirmame ca pitāmaham || [Mbh 12.327.24 26] iti |	yaH asO vyakta tvam ApannaH nirmame ca pitAmaham || [MB 12.327.24 26] iti |
   [Vṛ. adds here:] tad evaṃ saṅkarṣaṇasya vaibhavam uktvāniruddhasyāpy āha	[VR. addH here:] tat evam saFkarzaNasya vEBavam uktvA anirudDasya api Aha
   aniruddho hīti | lokeṣu pratyekaṃ brahmāṇḍeṣu mahān ātmā paramātmā |	anirudDaH hi iti | lokezu pratyekam brahmANxezu mahAn AtmA paramAtmA |
   vyaktatvaṃ prākaṭyaṃ pradyumnād iti śeṣaḥ | sutena tv abheda vivakṣayā	vyakta tvam prAkawyam pradyumnAt iti SezaH | sutena tu aBeda  vivakzayA
   pradyumnaḥ pṛthaṅ noktaḥ viṣṇos tu trīṇi rūpāṇi itivat | seyaṃ prakriyā	pradyumnaH pRTak na uktaH vizNoH tu trINi rUpANi iti vat | sA iyam prakriyA
   dvitīyasya saṣṭhe dṛśyate yathā sa eṣa ādyaḥ puruṣaḥ [BhP 2.9.39] ity ādi 	dvitIyasya sazWe dRSyate yaTA saH ezaH AdyaH puruzaH [Bhj 2.9.39] iti Adi 
   padye ṭīkā   sa eṣa ādyo bhagavān yaḥ puruṣāvatāraḥ san sṛṣṭy ādikaṃ	padye wIkA  saH ezaH AdyaH BagavAn yaH puruza avatAraH san sRzwi  Adikam
   karoti ity eṣā | evam ādyo'vatāraḥ puruṣaḥ parasya [BhP 2.6.42] ity atra	karoti iti ezA | evam AdyaH avatAraH puruzaH parasya [Bhu 2.6.42] iti atra
   ṭīkā	wIkA
   parasya bhūmnaḥ puruṣaḥ prakṛti pravartako yasya sahasra śīrṣā [Ṛk	parasya BUmnaH puruzaH prakRti pravartakaH yasya sahasra SIrzA [Ṛk
   ity ādy ukto līlā vigrahaḥ sa ādyo'vatāraḥ ity eṣā | tathā tṛtīyasya viṃśe	iti Adi  uktaH lIlA vigrahaH saH AdyaH avatAraH iti ezA | taTA tRtIyasya viMSe
   devena [BhP 3.20.12] ity ādikaṃ so'nu ity antaṃ sa ṭīkam eva prakaraṇam	devena [Bhj 3.20.12] iti Adikam saH anu iti antam sa wIkam eva prakaraNam
   atrānusandheyam | tasmād virāṭtvena tad rūpaṃ na vyākhyātam | tasmāc ca	atra anusanDeyam | tasmAt virAj tvena tat  rUpam na vyAKyAtam | tasmAt ca
   vāsudeva sthānīyo bhagavān puruṣād anya evety āyātam |	vAsudeva  sTAnIyaH BagavAn puruzAt anyaH eva iti AyAtam |
   atha yasya rūpa dvayasya sāmānyata aikavidhyena svarūpam āha tad vai	aTa yasya rUpa  dvayasya sAmAnyatas EkaviDyena svarUpam Aha tat vE
   bhagavato rūpaṃ viśuddhaṃ sattvam ūrjitam [BhP 1.3.3] iti | tat	BagavataH rUpam viSudDam sattvam Urjitam [Bhj 1.3.3] iti | tat 
   śrī bhagavataḥ	SrI  BagavataH
   pauruṣaṃ rūpaṃ vai prasiddhau viśuddho'rjita sattvābhivyaktatvāc chakti 	pOruzam rUpam vE prasidDO viSudDaH arjita  sattva aBivyakta tvAt Sakti 
   svarūpayor abhedāc ca tad rūpam evety arthaḥ | uktaṃ ca dvitīyaṃ puruṣa 	sva rUpayoH aBedAt ca tad  rUpam eva iti arTaH | uktam ca dvitIyam puruza 
   vyūham adhikṛtya svarūpatvaṃ tad rūpasya   nātaḥ paraṃ parama yad bhavataḥ	vyUham aDikRtya svarUpa tvam tad  rUpasya  na atas param parama yat BavataH
   svarūpam [BhP 3.9.3] ity atra | viśuddhaṃ jāḍyāṃśenāpi rahitam, svarūpa 	sva rUpam [Bhu 3.9.3] iti atra | viSudDam jAxya aMSena api rahitam, svarUpa 
   śakti vṛttitvāt | ūrjitaṃ sarvato balavat paramānanda rūpatvāt   ko hy	Sakti vRtti tvAt | Urjitam sarvatas balavat parama Ananda  rUpa tvAt  kaH hi 
   evānyāt	eva anyAt
   kaḥ prāṇyāt yad eṣa ākāśa ānando na syāt [TaittU 2.7.1] iti śruteḥ |	kaH prANyAt yat ezaH AkASaH AnandaH na syAt [TEttU 2.7.1] iti SruteH |
   tasmāc	tasmAt 
   chākṣād bhagavad rūpe tu kaimutyam evāyātam | tad evaṃ puruṣasya dvidhā	CAkzAt Bagavat  rUpe tu kEmutyam eva AyAtam | tat evam puruzasya dviDA
   sthāna karmaṇī uktvā svarūpavad ākāraṃ tv eka prakāram āha paśyanty ado	sTAna  karmaNI uktvA svarUpa vat AkAram tu eka prakAram Aha paSyanti adaH 
   [See para. 4] [End of Vṛ. addition.]	[See para. 4] [End of VR. addition.]
   tato'trāvāntara bhede'py abheda svīkāreṇa dvi vyūhoktir ity eva viśeṣa iti	tatas atra avAntara Bede api aBeda  svIkAreNa dvi  vyUha uktiH iti eva viSezaH iti
   vāsudeva sthānīyo bhagavāṃs tasmād anya evety āyātam | evam ekādaśe ca  	vAsudeva  sTAnIyaH BagavAn tasmAt anyaH eva iti AyAtam | evam ekAdaSe ca  
     [page 4]	 [page 4]
   bhūtair yadā pañcabhir ātma sṛṣṭaiḥ	BUtEH yadA paQcaBiH Atma  sRzwEH
   puraṃ virājaṃ viracayya tasmin |	puram virAjam viracayya tasmin |
   svāṃśena viṣṭaḥ puruṣābhidhānam	sva aMSena vizwaH puruza aBiDAnam
   avāpa nārāyaṇa ādi devaḥ || [BhP 11.4.3]	avApa nArAyaNaH Adi devaH || [Bhj 11.4.3]
   ity atra tair eva vyākhyātam | ādau puruṣāvatāram āha   bhūtair iti | yadā	iti atra tEH eva vyAKyAtam | AdO puruza avatAram Aha  BUtEH iti | yadA
   sva sṛṣṭaiḥ bhūtaiḥ virājaṃ brahmāṇḍaṃ puraṃ nirmāya tasmin līlayā	sva  sRzwEH BUtEH virAjam brahmANxam puram nirmAya tasmin lIlayA
   praviṣṭaḥ, na tu bhoktṛtvena | prabhūta puṇyasya jīvasya tatra bhoktṛtvād	pravizwaH, na tu BoktR tvena | praBUta  puNyasya jIvasya tatra BoktR tvAd
   ity	iti 
   evam asyottaratra śloka dvaye'py evam evārtho dṛśyate | tathā dvitīyasya	evam asya uttaratra Sloka  dvaye api evam eva arTaH dRSyate | taTA dvitIyasya
   ṣaṣṭhe sa eṣa ādyaḥ puruṣaḥ [BhP 2.6.39] ity ādi padye ca ṭīkā   sa eṣa	zazWe saH ezaH AdyaH puruzaH [Bhj 2.6.39] iti Adi padye ca wIkA  saH eza
   ādyo	AdyaH 
   bhagavān yaḥ puruṣāvatāraḥ san sṛṣṭy ādikaṃ karoti ity eṣā | evam	BagavAn yaH puruza avatAraH san sRzwi  Adikam karoti iti ezA | evam
   ādyo'vatāraḥ puruṣaḥ parasya [BhP 2.6.42] ity asya ṭīkā ca darśitaiva |	AdyaH avatAraH puruzaH parasya [Bhu 2.6.42] iti asya wIkA ca darSitA eva |
   tathā	taTA
   tṛtīyasya viṃśe daivena [BhP 3.20.12] ity ādikaṃ so'nu [BhP 3.20.17] ity	tRtIyasya viMSe dEvena [Bhj 3.20.12] iti Adikam saH anu [Bhj 3.20.17] iti 
   antam	antam
   sa ṭīkam eva prakaraṇam atrānusandheyam | tasmād virāṭtvena tad rūpaṃ	sa wIkam eva prakaraNam atra anusanDeyam | tasmAt virAj tvena tad  rUpam
   na vyākhyātam | atra mahat sraṣṭṛ brahmāṇḍa praviṣṭa puruṣayor	na vyAKyAtam | atra mahat  srazwR  brahmANxa  pravizwa  puruzayoH 
   abhedenaivoktiḥ |	aBedena eva uktiH |
   atha taṭastha svarūpa lakṣaṇābhyāṃ tad eva viśinaṣṭi  	aTa tawa sTa  svarUpa lakzaNAByAm tat eva viSinazwi  
   yasyāvayava saṃsthānaiḥ kalpito loka vistaraḥ |	yasya avayava  saMsTAnEH kalpitaH loka vistaraH |
   tad vai bhagavato rūpaṃ viśuddhaṃ sattvam ūrjitam || [BhP 1.3.3]	tat vE BagavataH rUpam viSudDam sattvam Urjitam || [Bhj 1.3.3]
   avayava saṃsthānaiḥ sākṣāc chrī caraṇādi sanniveśair loka vistaro virāḍ 	avayava  saMsTAnEH sAkzAc  SrI  caraNa Adi  sanniveSEH loka vistaraH virAx 
   ākāraḥ prapañcaḥ kalpitaḥ | yathā tad avayava sanniveśās tathaiva pātālam	AkAraH prapaQcaH kalpitaH | yaTA tad  avayava sanniveSAH taTA eva pAtAlam
   etasya hi pāda mūlam [BhP 2.1.26] ity ādinā navīnopāsakān prati manaḥ 	etasya hi pAda  mUlam [Bhj 2.1.26] iti AdinA navInA upAsakAn prati manaH 
   sthairyāya prakhyāpitaḥ | na tu vastutas tad eva tasyāṅgam ity arthaḥ |	sTEryAya praKyApitaH | na tu vastutas tat eva tasya aFgam iti arTaH |
   tac	tat 
   chrī bhagavataḥ pauruṣaṃ rūpaṃ | vai prasiddhau | viśuddhorjjita 	CrI BagavataH pOruzam rUpam | vE prasidDO | viSudDa Urjjita 
   sattvābhivyaktatvāc chakti svarūpayor abhedāc ca tad rūpam evety arthaḥ |	sattva aBivyakta tvAt Sakti svarUpayoH aBedAt ca tad  rUpam eva iti arTaH |
   uktaṃ ca svarūpatvaṃ tad rūpasya nātaḥ paraṃ parama yad bhavataḥ svarūpam	uktam ca svarUpa tvam tad  rUpasya na atas param parama yat BavataH svarUpam
   [BhP 3.9.3] ity atra | viśuddhaṃ jāḍyāṃśenāpi rahitaṃ	[Bhj 3.9.3] iti atra | viSudDam jAxya aMSena api rahitam
   svarūpa śakti vṛttitvāt |	svarUpa  Sakti vRtti tvAt |
   ūrjitaṃ sarvato balavat paramānanda rūpatvāt | ko hy evānyāt kaḥ prāṇyāt	Urjitam sarvatas balavat parama Ananda  rUpa tvAt | kaH hi eva anyAt kaH prANyAt 
   yad eṣa ākāśa ānando na syād [TaittU 2.7.1] iti śruteḥ |	yat ezaH AkASaH AnandaH na syAt [TEttU 2.7.1] iti SruteH |
   tad evaṃ sthāna karma svarūpāṇy abhidhāya ākāram apy āha   	tat evam sTAna  karma  svarUpANi aBiDAya AkAram api Aha   
   paśyanty ado rūpam adabhra cakṣuṣā	paSyanti adaH rUpam adaBra cakzuzA
   sahasra pādoru bhujānanādbhutam |	sahasra pAda Uru Buja Anana adButam |
   sahasra mūrdha śravaṇākṣi nāsikaṃ	sahasra  mUrDa  SravaNa akzi  nAsikam
   sahasra mauly ambara kuṇḍalollasat || [BhP 1.3.4]	sahasra  mOly ambara  kuNxala ullasat || [Bhj 1.3.4]
   (page 5)	(page 5)
   adaḥ pauruṣa rūpam adabhra cakṣuṣā bhakty ākhyena | puruṣaḥ sa paraḥ	adaH pOruza  rUpam adaBra cakzuzA Bakty AKyena | puruzaH sa paraH
   pārtha bhaktyā labhyas tv ananyayā [Gītā 8.22] ity ukteḥ | asya sahasra 	pArTa BaktyA laByaH tu ananyayA [GItA 8.22] iti ukteH | asya sahasra 
   pādāditvaṃ ca vyañjitaṃ tṛtīyasyāṣṭame śrī maitreyeṇa   veṇu 	pAda Adi tvam ca vyaQjitam tRtIyasya azwame SrI mEtreyeNa  veNu 
   bhujāṅghripāṅgheḥ [BhP 3.8.24] iti, dor daṇḍa sahasra śākham [BhP 3.8.29]	Buja aFGri pa aFGeH [Bhj 3.8.24] iti, dor  daNxa  sahasra  SAKam [Bhj 3.8.29]
   iti, kirīṭa sāhasra hiraṇya śṛṅgam [BhP 3.8.30] iti ca | tathā navamasya	iti, kirIwa  sAhasra  hiraNya  SRFgam [Bhj 3.8.30] iti ca | taTA navamasya
   caturdaśe śrī śukena  	caturdaSe SrI Sukena  
   sahasra śirasaḥ puṃso nābhi hrada saroruhāt |	sahasra SirasaH puMsaH nABi  hrada  saroruhAt |
   jātasyāsīt suto dhātur atriḥ pitṛ samo guṇaiḥ || [BhP 9.14.2] iti |	jAtasya AsIt sutaH DAtuH atriH pitR samaH guNEH || [Bhj 9.14.2] iti |
   tasya pūrṇatvam eva vivṛṇoti  	tasya pUrNa tvam eva vivRNoti  
   [B. reads here: tatra śrī bhagavantaṃ suṣṭhu spaṣṭīkartuṃ garbhodaka 	[B. readH here: tatra SrI  Bagavantam suzWu spazwIkartum garBa udaka 
