   TEXT IN PAUSA	TA-eXT Iz PAUSA
   GG_1.18-1 dina-maṇi-maṇḍala-maṇḍana bhava-khaṇḍana e /	Gu-_1.18-1 dina-maNi--maNxala-maNxana Bava--KaNxane e /
   GG_1.18-2 muni-jana-mānasa-haṃsa jaya jayadeva hare //	Gu-_1.18-2 muni-jana--mAnasa--haMsa jaya jayadeva hare //
   GG_1.19-1 kāliya-viṣa-dhara-gañjana jana-rañjana e /	Gu-_1.19-1 kAliya--viza--Dara--gaQjana jana-raQjanaH e /
   GG_1.19-2 yadu-kula-nalina-dineśa jaya jayadeva hare //	Gu-_1.19-2 yadu-kula-nalina-dina-ISa jaya jayadeva hare //
   GG_1.20-1 madhu-mura-naraka-vināśana garuḍa-āsana e /	Gu-_1.20-1 maDu-mura--naraka-vinASana garuxa--Asane e /
   GG_1.20-2 sura-kula-keli-nidāna jaya jayadeva hare //	Gu-_1.20-2 sura-kula--keli-nidAna jaya jayadeva hare //
   GG_1.21-1 amala-kamala-dala-locana bhava-mocana e /	Gu-_1.21-1 amala-kamala-dala--locana Bava--mocanaH e /
   GG_1.21-2 tribhuvana-bhavana-nidhāna jaya jayadeva hare //	Gu-_1.21-2 triBuvana--Bavana--niDAna jaya jayadeva hare //
   GG_1.22-1 janaka-sutā-kṛta-bhūṣaṇa jita-dūṣaṇa e /	Gu-_1.22-1 janaka--sutA--kRta-BUzaNa jita-dUzaNaH e /
   GG_1.22-2 samara-śamita-daśakaṇṭha jaya jayadeva hare //	Gu-_1.22-2 samara--Samita-daSa-kaNWa jaya jayadeva hare //
   GG_1.23-1 abhinava-jaladhara-sundara dhṛta-mandara e /	Gu-_1.23-1 aBinava--jalaDara--sundara DRta-mandaraH e /
   GG_1.23-2 śrī-mukha-candra-cakora jaya jayadeva hare //	Gu-_1.23-2 SrI-muKa-candra-cakora jaya jayadeva hare //
   GG_1.24-1 śrījayadeva-kaveḥ idam kurute mudam e /	Gu-_1.24-1 SrI-jayadeva--kaveH idam kurute mudam e /
   GG_1.24-2 maṅgalam ujjvala-gītam jaya jayadeva hare //	Gu-_1.24-2 maFgalam ujjvala--gItam jaya jayadeva hare //
   GG_1.25-1 padmā-payodhara-taṭī-parirambha-lagna-kāśmīra-mudritam	Gu-_1.25-1 padmA--payoDara--tawI--pariramBa--lagna--kASmIra-mudritam
   GG_1.25-2 uraḥ madhusūdanasya /	Gu-_1.25-2 uraH maDusUdanasya /
   GG_1.25-3 vyakta-anurāgam iva khelat-anaṅga-kheda-sveda-ambu-pūram	Gu-_1.25-3 vyakta--anurAgam iva Kelat-a-naFga--Keda--sveda--ambu--pUram
   GG_1.25-4 anupūrayatu priyam vaḥ //	Gu-_1.25-4 anupUrayatu priyam vaH //
   GG_1.26-1 vasante vāsantī-kusuma-sukumāraiḥ avayavaiḥ	Gu-_1.26-1 vasante vAsantI--kusuma--su-kumArEH avayavEH
   GG_1.26-2 bhramantīm kāntāre bahu-vihita-kṛṣṇa-anusaraṇām /	Gu-_1.26-2 BramantIm kAntAre bahu-vihita--kRzNa--anusaraNAm /
   GG_1.26-3 amandam kandarpa-jvara-janita-cintā-ākulatayā	Gu-_1.26-3 amandam kandarpa--jvara--janita--cintA--a-Akula-tayA
   GG_1.26-4 valat-bādhām rādhām sarasam idam ūce sahacarī //	Gu-_1.26-4 valat--bADAm rADAm sarasam idam Uce sahacarI //
   GG_1.27-1 lalita-lavaṅga-latā-pariśīlana-komala-malaya-samīre /	GG_1.27-1 lalita-lavaFga-la-tA--pariSIlana--komala---malaya--samIre /
   GG_1.27-2 madhukara-nikara-karambita-kokila-kūjita-kuñja-kuṭīre //	Gu-_1.27-2 maDukara--nikara--karambita--kokila--kUjita-kuQja--kuwIre //
   GG_1.27-3 viharati hariḥ iha sarasa-vasante	Gu-_1.27-3 viharati hariH iha sarasa-vasante
   GG_1.27-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.27-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.28-1 unmada-madana-manoratha-pathika-vadhū-jana-janita-vilāpe /	Gu-_1.28-1 unmada--madana--manoraTa--paTika-vaDU--jana--janita--vilApe /
   GG_1.28-2 ali-kula-saṃkula-kusuma-samūha-nirākula-bakula-kalāpe //	Gu-_1.28-2 ali-kula--saMkula--kusuma--samUha--nirAkula--bakula--kalApe //
   GG_1.28-3 viharati hariḥ iha sarasa-vasante	Gu-_1.28-3 viharati hariH iha sarasa-vasante
   GG_1.28-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.28-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.29-1 mṛgamada-saurabha-rabhasa-vaśaṃvada-nava-dala-māla-tamāle /	Gu-_1.29-1 mRga-mada--sOraBa--raBasa--vaSaMvada--nava-dala--mAla-tamAle /
   GG_1.29-2 yuva-jana-hṛdaya-vidāraṇa-manasija-nakha-ruci-kiṃśuka-jāle //	Gu-_1.29-2 yuva-jana--hRdaya--vidAraNa--manasi-ja-naKa--ru-ci--kiMSuka-jAle //
   GG_1.29-3 viharati hariḥ iha sarasa-vasante	Gu-_1.29-3 viharati hariH iha sarasa-vasante
   GG_1.29-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.29-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.30-1 madana-mahīpati-kanaka-daṇḍa-ruci-keśara-kusuma-vikāse /	Gu-_1.30-1 madana--mahIpati--kanaka-daNxa--ruci-keSara--kusuma--vikAse /
   GG_1.30-2 milita-śilīmukha-pāṭali-paṭala-kṛta-smara-tūṇa-vilāse //	Gu-_1.30-2 milita-SilImuKa-pAwali--pawala-kRta-smara--tUNa--vilAse //
   GG_1.30-3 viharati hariḥ iha sarasa-vasante	Gu-_1.30-3 viharati hariH iha sarasa-vasante
   GG_1.30-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.30-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.31-1 vigalita-lajjita-jagat-avalokana-taruṇa-karuṇa-kṛta-hāse /	Gu-_1.31-1 vigalita--lajjita---jagat-avalokana--taruNa--karuNa--kRta-hAse /
   GG_1.31-2 virahi-nikṛntana-kunta-mukha-ākṛti-ketaka-danturita-āśe //	Gu-_1.31-2 virahi--nikRntana--kunta--muKa-a-AkRti-ketaka--danturita--ASe //
   GG_1.31-3 viharati hariḥ iha sarasa-vasante	Gu-_1.31-3 viharati hariH iha sarasa-vasante
   GG_1.31-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.31-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.32-1 mādhavikā-parimala-lalite navamālika-jāti-sugandhau /	Gu-_1.32-1 mADavikA--parimala-lalite navamAlika-jAti--suganDO /
   GG_1.32-2 muni-manasām api mohana-kāriṇi taruṇa-akāraṇa-bandhau //	Gu-_1.32-2 muni-manasAm api mohana--kAriNi taruNa-a-kAraNa---banDO //
   GG_1.32-3 viharati hariḥ iha sarasa-vasante	Gu-_1.32-3 viharati hariH iha sarasa-vasante
   GG_1.32-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.32-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.33-1 sphurat-atimukta-latā-parirambhaṇa-mukulita-pulakita-cūte /	Gu-_1.33-1 sPurat-atimukta--latA--pariramBaNa--mukulita--pulakita--cUte /
   GG_1.33-2 vṛndāvana-vipine parisara-parigata-yamunā-jala-pūte //	Gu-_1.33-2 vRndAvana--vipine parisara--parigata--yamunA--jala--pUte //
   GG_1.33-3 viharati hariḥ iha sarasa-vasante	Gu-_1.33-3 viharati hariH iha sarasa-vasante
   GG_1.33-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.33-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.34-1 śrījayadeva--bhaṇitam idam udayati hari-caraṇa-smṛti-sāram /	Gu-_1.34-1 SrI-jayadeva---BaNitam idam udayati hari-caraNa--smRti--sAram /
   GG_1.34-2 sarasa-vasanta-samaya-vana-varṇanam anugata-madana-vikāram //	Gu-_1.34-2 sa-rasa--vasanta--samaya-vana-varNanam anugata--madana--vikAram //
   GG_1.34-3 viharati hariḥ iha sarasa-vasante	Gu-_1.34-3 viharati hariH iha sarasa-vasante
   GG_1.34-4 nṛtyati yuvati-janena samam sakhi virahi-janasya durante //	Gu-_1.34-4 nRtyati yuvati-janena samam saKi virahi--janasya durante //
   GG_1.35-1 dara-vidalita-mallī-valli-cañcat-parāga-	GG_1.35-1 dara--vidalita-mallI-valli--caQcat-parAga-
   GG_1.35-2 prakaṭita-paṭa-vāsaiḥ vāsayan kānanāni /	Gu-_1.35-2 prakawita-pawa--vAsEH vAsayan kAnanAni /
   GG_1.35-3 iha hi dahati cetaḥ ketakī-gandha-bandhuḥ	Gu-_1.35-3 iha hi dahati cetaH ketakI--ganDa--banDuH
   GG_1.35-4 prasarat-asamabāṇa-prāṇavat-gandhavāhaḥ //	Gu-_1.35-4 prasarat-a-sama-bANa--prANavat--ganDavAhaH //
   GG_1.36-1 unmīlat-madhu-gandha-lubdha-madhupa-vyādhūta-cūta-aṅkura-	Gu-_1.36-1 unmIlat--maDu--ganDa--lubDa--maDupa--vyADUta--cUta-aFkura-
   GG_1.36-2 krīḍat-kokila-kākalī-kalakalaiḥ udgīrṇa-karṇa-jvarāḥ /	Gu-_1.36-2 krIxat--kokila--kAka-lI-kalakalEH udgIrNa--karNa--jvarAH /
   GG_1.36-3 nīyante pathikaiḥ katham katham api dhyāna-avadhāna-kṣaṇa-	Gu-_1.36-3 nIyante paTikEH kaTam kaTam api DyAna--avaDAna-kzaNa-
   GG_1.36-4 prāpta-prāṇa-samā-samāgama-rasa-ullāsaiḥ amī vāsarāḥ //	Gu-_1.36-4 prApta--prANa--samA-samAgama-rasa--ullAsEH amI vAsarAH //
   GG_1.37-1 aneka-nārī-parirambha-sambhrama-sphurat-manohāri-vilāsa-lālasam	Gu-_1.37-1 aneka-nArI--pariramBa--samBrama--sPurat--manohAri-vilAsa--lAlasam
   GG_1.37-2 murārim ārāt upadarśayantī asau sakhī samakṣam punaḥ āha	Gu-_1.37-2 murArim ArAt upadarSayantI asO saKI samakzam punar Aha
   rādhikām //	rADikAm //
   GG_1.38-1 candana-carcita-nīla-kalevara-pīta-vasana-vanamālī /	Gu-_1.38-1 candana--carcita--nIla--kalevara--pIta-vasana-vanamAlI /
   GG_1.38-2 keli-calat-maṇi-kuṇḍala-maṇḍita-gaṇḍa-yuga-smita-śālī //	Gu-_1.38-2 keli-cala-t-maNi--kuNxala-maNxita--gaNxa--yuga--smita-SAlI //
   GG_1.38-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.38-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.39-1 pīna-payodhara-bhāreṇa harim parirabhya sarāgam /	Gu-_1.39-1 pIna--payoDara--BAreNa harim pariraBya sa-rAgam /
   GG_1.39-2 gopa-vadhūḥ anugāyati kācit udañcita-pañcama-rāgam //	GG_1.39-2 gopa-vaDUH anugAyati kAcid udaQcita--paQcama--rAgam //
   GG_1.39-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.39-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.40-1 kāpi vilāsa-vilola-vilocana-khelana-janita-manojam /	Gu-_1.40-1 kA-api vilAsa--vilola--vilocana--Kela-na--janita--manojam /
   GG_1.40-2 dhyāyati mugdha-vadhūḥ adhikam madhu-sūdana-vadana-sarojam //	Gu-_1.40-2 DyAyati mugDa--vaDUH aDikam maDu--sUdana--vadana--sarojam //
   GG_1.40-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.40-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.41-1 kāpi kapola-tale militā lapitum kimapi śruti-mūle /	Gu-_1.41-1 kA-api kapola-tale militA lapitum kim-api Sruti-mUle /
   GG_1.41-2 cāru cucumba nitambavatī dayitam pulakaiḥ anukūle //	Gu-_1.41-2 cAru cucumba nitambavatI dayitam pulakEH anukUle //
   GG_1.41-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.41-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.42-1 keli-kalā-kutukena ca kācit amum yamunā-jala-kūle /	Gu-_1.42-1 keli-kalA--kutukena ca kAcid amum yamunA--jala-kUle /
   GG_1.42-2 mañjula-vañjula-kuñja-gatam vicakarṣa kareṇa dukūle //	Gu-_1.42-2 maQjula--vaQjula---kuQja--gatam vicakarza kareNa dukUle //
   GG_1.42-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.42-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.43-1 kara-tala-tāla-tarala-valaya-āvali-kalita-kala-svana-vaṃśe /	Gu-_1.43-1 kara-tala-tAla--tarala--valaya--Avali--kalita-kala--svana--vaMSe /
   GG_1.43-2 rāsa-rase saha-nṛtya-parā hariṇā yuvatiḥ praśaśaṃse //	Gu-_1.43-2 rAsa--rase saha--nRtya--parA hariNA yuvatiH praSaSaMse //
   GG_1.43-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.43-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.44-1 śliṣyati kāmapi cumbati kāmapi kāmapi ramayati rāmām /	Gu-_1.44-1 Slizyati kAm-api cumbati kAm-api kAm-api ramayati rAmAm /
   GG_1.44-2 paśyati sasmita-cāru-parām aparām anugacchati vāmām //	Gu-_1.44-2 paSyati sa-smita--cAru-parAm aparAm anugacCati vAmAm //
   GG_1.44-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.44-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.45-1 śrījayadeva-kaveḥ idam adbhuta-keśava-keli-rahasyam /	Gu-_1.45-1 SrI-jayadeva--kaveH idam adButa-keSava--keli-rahasyam /
   GG_1.45-2 vṛndāvana-vipine lalitam vitanotu śubhāni yaśasyam //	Gu-_1.45-2 vRndAvana--vipine lalitam vitanotu SuBAni yaSasyam //
   GG_1.45-3 hariḥ iha mugdha-vadhū-nikare vilāsini vilasati kelipare //	Gu-_1.45-3 hariH iha mugDa--vaDU--nikare vilAsini vilasati keli-pare //
   GG_1.46-1 viśveṣām anurañjanena janayan ānandam indīvara-	Gu-_1.46-1 viSvezAm anuraQjanena janayan Anandam indIvara-
   GG_1.46-2 śreṇī-śyāmala-komalaiḥ upanayan aṅôaiḥ anaṅga-utsavam /	Gu-_1.46-2 SreNI-SyAmala--komalEH upanayan aFôEH anaFga--utsavam /
   GG_1.46-3 svacchandam vraja-sundarībhiḥ abhitaḥ prati-aṅgam āliṅgitaḥ	Gu-_1.46-3 svacCandam vraja--sundarIBiH aBitas prati-aFgam AliFgitaH
   GG_1.46-4 śṛṅgāraḥ sakhi mūrtimān iva madhau mugdhaḥ hariḥ krīḍati //	Gu-_1.46-4 SRFgAraH saKi mUrtimAn iva maDO mugDaH hariH krIxati //
   GG_1.47-1 adya utsaṅga-vasat-bhujaṅga-kavala-kleśāt iva īśa-acalam	Gu-_1.47-1 adya utsaFga--vasat--BujaFga--kavala--kleSAt iva ISa-acalam
   GG_1.47-2 prāleya-plavana-icchayā anusarati śrīkhaṇḍa-śaila-anilaḥ /	Gu-_1.47-2 prAleya--plavana--icCayA anusarati SrIKaNxa--SEla--anilaH /
   GG_1.47-3 kim ca snigdha-rasāla-mauli-mukulāni ālokya harṣa-udayāt	Gu-_1.47-3 kim ca snigDa---rasAla--mOli--mukulAni Alokya harza--udayAt-
   GG_1.47-4 unmīlanti kuhūḥ kuhūḥ iti kala-uttālāḥ pikānām giraḥ //	Gu-_1.47-4 unmIlanti kuhUH kuhUH iti kala--uttAlAH pikAnAm giraH //
   GG_2.1-1 viharati vane rādhā sādhāraṇa-praṇaye harau	Gu-_2.1-1 viharati vane rADA sADAraNa--praNaye harO
   GG_2.1-2 vigalita-nija-utkarṣāt īrṣyā-vaśena gatā anyataḥ /	Gu-_2.1-2 vigalita-nija--utkarzAt IrzyA--vaSena gatAH anyatas /
   GG_2.1-3 kvacit api latā-kuñje guñjat-madhuvrata-maṇḍalī-	Gu-_2.1-3 kvacid api latA-kuQje guQjat--maDuvrata-maNxalI-
   GG_2.1-4 mukhara-śikhare līnā dīnā api uvāca rahaḥ sakhīm //	Gu-_2.1-4 muKara--SiKare lInAH dInAH api uvAca rahaH saKIm //
   GG_2.2-1 saṃcarat-adhara-sudhā-madhura-dhvani-mukharita-mohana-vaṃśam /	Gu-_2.2-1 saMcarat-aDara--suDA--maDura-Dva-ni-muKarita--mohana--vaMSam /
   GG_2.2-2 calita-dṛk-añcala-cañcala-mauli-kapola-vilola-vataṃsam //	Gu-_2.2-2 calita--dRS--aQcala--caQcala--mOli--kapola--vilola-vataMsam //
   GG_2.2-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.2-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.3-1 candraka-cāru-mayūra-śikhaṇḍaka-maṇḍala-valayita-keśam /	Gu-_2.3-1 candraka-cAru--mayUra--SiKaNxaka--maNxala--valayita-keSam /
   GG_2.3-2 pracura-purandara-dhanuḥ-anurañjita-medura-mudira-suveśam //	Gu-_2.3-2 pracura--purandara--DanuH--anuraQjita--meduH-a-mudira--suveSam //
   GG_2.3-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.3-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.4-1 gopa-kadamba-nitambavatī-mukha-cumbana-lambhita-lobham /	Gu-_2.4-1 gopa-kadamba--nitambavatI--muKa--cumbana--lamBita-loBam /
   GG_2.4-2 bandhujīva-madhura-adhara-pallavam ullasita-smita-śobham //	Gu-_2.4-2 banDujIva--maDura--aDara--pallavam ullasita-smita--SoBam //
   GG_2.4-3 rāse harim iha vihita-vilāsam smarati manaḥ mama kṛta-parihāsam	Gu-_2.4-3 rAse harim iha vihita-vilAsam smarati manaH mama kRta--parihAsam
   GG_2.5-1 vipula-pulaka-bhuja-pallava-valayita-ballava-yuvati-sahasram /	Gu-_2.5-1 vipula--pulaka-Buja--pallava--valayita--ballava--yuvati--sahasram /
