   namas+buddhāya	namas+budDAya
   kalyāṇam+vas+diśatu sa munigrāmaṇīs+arkabandhus+ // VidSrk_1.3 *(4) //	kalyANam +vas+diSatu sa muni grAmaNI s+arka banDus+ // Vit Srj _1.3 *(4) //
   saṃghaśriyas+	saMGa Sriyas+
   śreyāṃsi vas+sa sugatas+kurutāt+apārasaṃsārasāgarasamuttaraṇaikasetus+ /	SreyAMsi vas+sa sugata s+kurutAt+a pAra saMsAra sAgara samuttaraNa eka setus+ /
   durvāramāraparivārabalāvalepakalpāntasaṃtatapayaḥprasarais+ahāryas+ //	durvAra mAra parivAra bala avalepa kalpa anta saMtata payaH prasarEs+ahAryas+ //
   VidSrk_1.4 *(5) //	Vit Srj _1.4 *(5) //
   aparājitarakṣitasya	aparAjita rakzitasya
   śāstā samastabhuvanam+bhagavān+apāyāt+	SAstA samasta Buvanam +BagavAn +apAyAt+
   pāyāt+apāstatimiras+mihiropameyas+ /	pAyAt+apa asta timira s+mihira upameyas+ /
   saṃsārabhittibhiduras+bhavakandakandukandarpadarpadalanavyasanī munīndras+	saMsAra Bitti Bid uras+Bava kanda kandu kandarpa darpa dalana vyasanI muni indras+
   // VidSrk_1.5 *(6) //	// Vit Srj _1.5 *(6) //
   vasukalpasya	vasu kalpasya
   kāruṇyāmṛtakandalīsumanasas+prajñānvadhūmauktikagrīvālaṃkaraṇaśriyas+śamasaritpūrotsalacchīkarās+	kAruNya amRtakanda lI sumanasa s+ prajQA an vaDU mOktika grIvA alaMkaraNa Sriyas+ Sama sarit pUra utsalat SIkarAs+
   te maulau bhavatām+milantu	te mOlO BavatAm +milantu
   jagatīrājyābhiṣekocitasragbhedās+abhayapradānacaraṇapreṅkhannakhāgrāṃśavas+	jagatI rAjya aBizeka ucita sraj Beda As+a Baya pradAna caraNa preFKat naKa agra aMSa vas+
   // VidSrk_1.6 *(7) //	// Vit Srj _1.6 *(7) //
   śīlāmbhaḥpariṣekaśītaladṛḍhadhyānālavālasphuraddānaskandhamahonnatis+pṛthutaraprajñollasatpallavas+	SIla amBaH parizeka SItala dRXa DyAna AlavAla sPurat dAna skanDa mahA unnati s+pRTutara prajQA ullasat pallavas+
   deyāt+tubhyam+avāryavīryaviṭapas+kṣāntiprasūnodayas+	deyAt+tuByam+a vArya vIrya viwapa s+kzAnti prasUna udayas+
   succhāyas+ṣaḍabhijñakalpaviṭapī sambodhibījam+phalam // VidSrk_1.7 *(8) //	su= CAyas+ zaz aBijQa kalpa viwapI samboDi bIjam +Palam // Vit Srj _1.7 *(8) //
   etau śrīdharanandinas+	etO SrIDara nandinas+
   ekasya+api manobhuvas+tadabalāpāṅgais+jagannirjaye	ekasya+api manoBuvas+ tada bala apAFgEH +jagat nirjaye
   kāmam+nihnutasarvavismayarasavyaktiprakārās+vayam /	kAma m+nihnuta sarva vismaya rasa vyakti prakAra as+vayam /
   yas+tu+enam+sabalam+ca jetum+abhitas+tatkampamātram+bhruvos+	yas+tu+enam +sa balam +ca jetum +aBitas+ tad kampa mAtram +Bruvos+
   na+ārebhe sugatas+tu tadguṇakathā stambhāya nas+kevalam // VidSrk_1.8 *(9)	na+a AreBe sugata s+tu tad guNa kaTA stamBAya nas+kevalam // Vit Srj _1.8 *(9)
   kumudākaramates+	kumudAkara mates+
   pratyekānantajātiprativapus+amitāvṛttijambhārjitainobhoktṛvrātojjihīrṣāphalanilayamahāpauruṣasya+api	pratyeka ananta jAti prativapu s+a mitA vRtti jamBa arjita enaH BA uktR vrAta ujjihIrzA Pala nilaya mahA pOruzasya+api
   śāstus+ /	SAstus+ /
   ke+api+utkarṣam+stuvanti smaram+api jayatas+tat+vadāmas+kim+asmin+	ke+api+utkarzam +stuvanti smaram +api jayata s+tat+vadAma s+kim +asmin +
   yas+bhasmāsītkaṭākṣajvalanakaṇikayā drāk+umākāmukasya // VidSrk_1.9 *(10)	yas+Basma AsIt kawAkza jvalana kaNikayA drAk+um AkAmukasya // Vit Srj _1.9 *(10)
   vallaṇasya	vallaNasya
   pāyāt+vas+samayas+sa mārajayinas+vandhyāyitāstrotkaras+	pAyAt+vas+ samayas+sa mAra jayina s+vanDyAyita astra utkaras+
   krodhāt+yatra taduttamāṅgakavalonmīlanmahāvikramas+ /	kroDa at+yatra tad uttamAFga kavala unmIlan mahA vikramas+ /
   āsīt+adbhutamauliratnamilitām+vyāttānanacchāyikām+	AsIt +adButa mOli ratna militAm +vyAtta Anana= CAyikAm+
   ālokya+ātmanas+eva mārasubhaṭas+paryastadhairyodayas+ // VidSrk_1.10 *(11)	Alokya+a Atmana s+A iva mAra su Bawa s+paryasta DErya udayas+ // Vit Srj _1.10 *(11)
   \var{@subhaṭaḥ\lem	\var{@ su BawaH\lem
   \emend\ \Ingalls, @sumaṭaḥ \edKG}	\ema ind\ \Ingalls, @sumawaH \edKG}
   śrīpārśvavarmaṇas+	SrI pArSvavarmaNas+
   khelācañcalasaṃcarannijapadapreṅkholalīlāmilatsadyaḥsāndraparāgarāgaracitāpūrvaprasūnaśriyas+	KelA caQcala saMcarat nija pada preFKola lIlA milat sadyas sAndra parAga rAga ra citA pUrva prasUna Sriyas+
   āśliṣyanmadhulampaṭālinivahasya+uccais+mithas+cumbanais+	ASlizyat maDu lampawAli nivahasya+ucca es+ miTas+ cumba nEs+
   vyākoṣas+kusumāñjalis+diśatu vas+śreyas+jināya+arpitas+ // VidSrk_1.11	vyAkozas+ kusuma aQjali s+diSatu vas+Sreyas+ jinAya +arpitas+ // Vit Srj _1.11
   jitārinandinas+	jita ari nandinas+
   daronmuktāraktasphuradadharavīthīkramavamanmayūkhāntarmūrcchaddyutidaśanam+uddeśavaśinas+	dara unmuktA rakta sPurat aDara vITIkrama vamat mayUKa antar mUrcCat dyuti daSanam +uddeSa vaSinas+
   sukham+tat+vas+śāstus+diśatu	suKam +tat+vas+SAstu s+diSatu
   śivam+ajñānarajanīvyavacchedodgacchanmahimaghanasaṃdhyātapas+iva //	Sivam+a jQAna rajanI vyavacCeda udgacCat mahima Gana saMDyA tapas+iva //
   VidSrk_1.12 *(13) //	Vit Srj _1.12 *(13) //
   \var{@dhara@\lem	\var{@Dara @\lem
   \emend\ \Ingalls, @ghara@ \edKG}	\ema ind\ \Ingalls, @Gara@ \edKG}
   trilocanasya	trilocanasya
   kandarpāt+api sundarākṛtis+iti prauḍhotsaladrāgayā	kandarpAt+api sundara AkRti s+iti prOXa utsalat rAgayA
   vṛddhatvam+varayoṣitas+anayat+iti trāsākulasvāntayā /	vRdDa tvam +varayozita s+anayat+iti trAsa Akula svAntayA /
   mārasya+api śarais+abhedyahṛt+iti śraddhābharaprahvayā	mArasya+api SarEs+a Bedya hRt+iti SradDA Bara prahvayA
   pāyāt+vas+sphuṭabāṣpakampapulakam+ratyā jinas+vanditas+ // VidSrk_1.13	pAyAt+ vas+ sPuwa bAzpa kampa pulakam +ratyA jina s+vanditas+ // Vit Srj _1.13
   tasya+eva+iti śrutis+	tasya+eva+ iti Sruti s+
   pādāmbhojasamīpasaṃnipatitasvarṇāthadehasphurannetrastomatayā	pAda amBoja samIpa saMnipatita svarNATa deha sPurat netra stoma tayA
   parisphuṭamilannīlābjapūjāvidhis+ /	parisPuwa milat nIla abja pUjA viDis+ /
   vandārutridaśaugharatnamukuṭodbhūtaprabhāpallavapratyunmīladapūrvacīvarapaṭas+śākyas+munis+pātu	vandAru tridaSa oGa ratna mukuwa udBUta praBA pallava pratyunmIlada pUrva cIvara pawas+ SAkyas+ muni s+pAtu
   vas+ // VidSrk_1.14 *(15) //	vas+ // Vit Srj _1.14 *(15) //
   vasukalpasya	vasu kalpasya
   kas+ekas+tvam+puṣpāyudha mama samādhivyayavidhau	kas+eka s+tvam +puzpa AyuDa mama samADi vyaya viDO
   suparvāṇas+sarve yadi kusumaśastrās+tat+api kim /	su parvANas+ sarve yadi kusuma SastrAs+tat+api kim /
   iti+iva+enān+nūnam+yas+iha sumanostratvam+anayat+	iti+iva +ena an+nUnam +yas+iha su manostra tvam +anayat+
   sa vas+śāstā śastram+diśatu daśadiṅmāravijayī // VidSrk_1.15 *(16) //	sa vas+SAstA Sastram +diSatu daSa diS mAra vijayI // Vit Srj _1.15 *(16) //
   \Colo iti sugatavrajyā	\ColaH iti sugata vrajyA
   tatas+lokeśvaravrajyā|| 2	tatas+ loka ISvara vrajyA|| 2
   dyutisvacchajyotsnāpaṭapaṭalavṛṣṭyā na kamalam+	dyuti svacCa jyotsnA pawa pawala vRzwyA na kamalam+
   na candras+sāndraśrīparimalagarimṇā+āsyam+amalam /	na candras+sAndra SrI parimala garimNA +Asyam+amalam /
   madhūdrāṇām+nidrābhiduram+apamudrādbhutamudas+	maDu udrANAm+nidrA aBiduram+apa mudrA adButam udas+
   cakorān+bibhrāṇam+sarasiruhapāṇes+avatu vas+ // VidSrk_2.1 *(17) //	cakorAn+biBrANam +sara siruha pANeH +avatu vas+ // Vit Srj _2.1 *(17) //
   buddhākaraguptasya	budDa Akara guptasya
   varadakarasarojasyandamānāmṛtaughavyupaśamitasamastapretasaṃghātatarṣas+ /	vara da kara saroja syandamAna amRta oGa vyupaSamita samasta preta saMGAta tarzas+ /
   jayati	jayati
   sitagabhastistomaśubhrānanaśrīs+sahajagurudayārdrālokanas+lokanāthas+ //	sita gaBastiH toma SuBra Anana SrIs+ sahaja guru daya ArdrA lokana s+lokanATas+ //
   VidSrk_2.2 *(18) //	Vit Srj _2.2 *(18) //
   ratnakīrtes+	ratna kIrtes+
   atyudgāḍharayasthirākṛtighanadhvānabhramanmandarakṣubdhakṣīradhivīcisaṃcayagataprāleyapādopamas+	ati udgAXa raya sTira AkRti Gana DvAna Braman mandara kzubDa kzIra Di vIci saMcaya gata prAleya pAda upamas+
   śrīmatpotalake gabhīravivṛtidhvānapratidhvānite sāndrasvāṃśucayaśriyā	SrImat potalake gaBIra vivRti DvAna pratiDvAnite sAndra sva aMSu caya SriyA
   valayitas+lokeśvaras+pātu vas+ // VidSrk_2.3 *(19) //	valayita s+loka ISvara s+pAtu vas+ // Vit Srj _2.3 *(19) //
   jñānaśrīmitrasya	jQAna SrI mitrasya
   kṛpāvṛṣṭisphūtāt+tava hṛdayapīyūṣasarasas+	kRpA vRzwi sPUta at+tava hRdaya pIyUza sarasa s+
   pravāhas+nirgatya kramatanimaramyas+karuṇayā /	pravAhas+ nirgatya kramata nima ramyas+karuNayA /
   tṛṣārtānām+īṣadvitatam+adharāntas+prati gatipraṇālībhis+pañca+abhavat+iti	tRzA ArtAnAm +Izat vitatam +aDara antas+prati gati praNAlIBi s+paQca +aBavat+iti
   kim+anyat+bhujakarāt // VidSrk_2.4 *(20) //	kim +anyat+Buja karAt // Vit Srj _2.4 *(20) //
   \var{@dvitatamadharāntaḥ prati gati@\lem	\var{@ dvitatam aDara antar prati gati @\lem
   \conj\ \Ingalls, @dvitatimadhurāntaḥpratigati@ \edKG}	\ca unj\ \Ingalls, @dvitati maDura antar pratigati@ \edKG}
   trilocanasya	trilocanasya
   ravim+iva dhṛtāmitābham+kavim+iva surasārthaviracitastotram /	ravim+iva DRta amitA Bam+kavim+iva surasArTa viracita stotram /
   madhum+iva sambhṛtakaruṇam+vidhum+iva nātham+khasarpaṇam+vande //	maDum+iva samBRta karuNam +viDum+iva nATa m+Ka sarpaNam+vande //
   VidSrk_2.5 *(21) //	Vit Srj _2.5 *(21) //
   puruṣottamasya	puruzottamasya
   udarasya+idam+aṇutvam+sahajagurutvam+yadi na+idam+hṛdayasya /	udarasya +idam +aNu tvam +sahaja guru tvam +yadi na+idam +hRdayasya /
   svārthe katham+alasatvam+katham+anusatvam+hitakaraṇe matis+asya //	sva arTe kaTam +ala satvam +kaTam +anu satva m+hita karaNe mati s+asya //
   VidSrk_2.6 *(22) //	Vit Srj _2.6 *(22) //
   jñānaśrīmitrasya	jQAna SrI mitrasya
   vaktram+na+eṣa kalānidhis+dhavalimā na+eṣā+ujjvalā kaumudī	vaktram+na+eza kalA niDi s+DavalimA na+eza a+ujjvalA kOmudI
   netre nīrarucī na lāñchanayugam+candre+asti+amandacchavi /	netre nIra rucI na lAQCana yugam +candre+asti+a manda= Cavi /
   iti+unnīya vidhos+abhītivihasat+yat+saṃnidhim+sādhvagān+	iti+unnIya viDos+a BIti vihasat+yat+ saMniDi m+sA aDva gAn+
   nūnam+nīrajam+astu vas+śivadive tat+lokanāthānanam // VidSrk_2.7 *(23) //	nUnam+nIrajam+astu vas+ Siva dive tat+lokanATa Ananam // Vit Srj _2.7 *(23) //
   jaṭājūṭābhyantarnavaravis+iva	jawA jUwa aByantar nava ra vi s+iva
   śyāmajalabhṛdvṛtas+śoṇāśokastabakam+amitābhas+praminute /	SyAma jalaBRt vRta s+ SoNa aSoka staba kam+amita ABas+ praminute /
   maharṣes+yasya+indudyutighaṭitamūrtes+iva sa vas+	mahA Rzes+yasya +indu dyuti Gawita mUrtes+iva sa vas+
   klamam+bhindyāt+dadyāt+praśamasukhapīyūṣalaharīm // VidSrk_2.8 *(24) //	klamam+Bindya at+da dyAt+ praSama suKa pIyUza laharIm // Vit Srj _2.8 *(24) //
   buddhākarasya+etai	budDa Akarasya +etE
   \Colo iti lokeśvaravrajyā|| 2	\ColaH iti lokeSvara vrajyA|| 2
   tatas+mañjughoṣavrajyā|| 3	tatas+ maQjuGoza vrajyA|| 3
   aṅgāmodasamocchvaladghṛṇipatadbhṛṅgāvalīmālitas+	aFga Amoda sama ucCvalat GRNi patat BRFga AvalI mAlita s+
   sphūrjatkāñchanasūtragumphitamilannīlotpalaśrīs+iva /	sPUrjat kAQCana sUtra gumPita milat nIlotpala SrI s+iva /
   niryatpādanakhonmukhāṃśuvisarasragdanturas+smaryatām+	niryad pAda naKa unmuKa aMSu visara sraj dantuH as+smaryatAm+
   mañjuśrīs+suramuktamañjariśikhāvarṣais+iva+abhyarcitas+ // VidSrk_3.1	maQju SrI s+sura mukta maQjari SiKA varzEs+iva +aByarcitas+ // Vit Srj _3.1
   \var{@mālitaḥ sphūrjatkāñchana@\lem	\var{@mAlitaH sPUrjat kAQSana @\lem
   \emend\ \Ingalls, @mālitasphūrjallāñchana@ \edKG}	\ema ind\ \Ingalls, @mAlita sPUrjat lAQCana@ \edKG}
   śastrodyadbāhudehasphuradanalamiladdhūmakalpāntapuñjas+	Sastra udyat bAhu deha sPurat anala m ilat DUma kalpa anta puQjas+
   śṛṅgāntānantaviśvārpitamahiṣamahiṣaśiromakṣikālīvikalpas+ /	SRFga anta ananta viSva arpita mahiza mahiza SiraH makzi kAlI vikalpas+ /
   trāsatyaktasvaparṇāstṛtasuraghṛṇayā+iva+ālasatpādavṛndas+	trAsa tyakta svaparNAH tRta sura GRNayA +iva +Alasat pAda vRndas+
   tāraughapluṣṭabhānus+jagat+avatu naṭan+bhairavātmā kumāras+ // VidSrk_3.2	tAra oGa pluzwa BAnu H +jagat +avatu nawan+BErava AtmA kumAras+ // Vit Srj _3.2
   vallaṇasya+etau	vallaNasya+etO
   khaḍgī saśabdam+atha	KaxgI sa Sabdam +aTa
   pustakavān+sacintam+bālas+sakhelam+abhirāmatamas+sakāmam /	pustaka vAn +sa cintam+bAlas+ sa Kelam +aBirAmatamas+sa kAmam /
   nānāvidham+suravadhūbhis+iti+īkṣitas+vas+pāyāt+ciram+sugatavaṃśadharas+kumāras+	nAnAviDam +sura vaDUBi s+iti +Ikzita s+vas+ pAyAt+ ciram +sugata vaMSa Dara s+kumAra s+
   // VidSrk_3.3 *(27) //	// Vit Srj _3.3 *(27) //
   puruṣottamasya	puruzottamasya
   mugdhāṅgulīkiśalayāṅghrisuvarṇakumbhavāntena kāntipayasā dhusṛṇāruṇena /	mugDa aFgulI ki Salaya aFGri suvarNa kumBa vAn tena kAnti payasA DusRNa aruNena /
   yas+vandamānam+abhiṣiñcati dharmarājye jāgartu vas+hitasukhāya sa	yas+vandamAnam +aBiziQcati Darma rAjye jAgartu vas+ hita suKAya sa
   mañjuvajras+ // VidSrk_3.4 *(28) //	maQjuvajras+ // Vit Srj _3.4 *(28) //
   jitāripādānām	jita ari pAdAnAm
   amīṣām+mañjuśrīruciravadanaśrīkṛtarucām+	amIzAm+maQju SrI rucira vadana SrIkRta rucAm+
   śrutam+nas+nāma+api kva nu khalu hiṃāśuprabhṛtayas+ /	Srutam+nas+nAm a+api kva nu Kalu hiMASu praBRtayas+ /
   mama+abhyarṇe dhārṣṭyāt+carati punar+indīvaram+iti	mama+aByarNe DArzwyAt +carati punar +indIvaram+iti
   krudhā+iva+idam+prāntāruṇam+avatu vas+locanayugmam // VidSrk_3.5 *(29) //	kruDA+iva+idam +prAnta aruNam +avatu vas+ locana yugmam // Vit Srj _3.5 *(29) //
   % NB Ingalls conjectures himāṃśuprakṛtayas+ in b	% NB Ingalls ca unjet tureH himAMSu prakRtayas+ id b
   śāntākaraguptasya	SAnta Akara guptasya
   \Colo iti mañjughoṣavrajyā	\ColaH iti maQjuGoza vrajyA
   tatas+maheśvaravrajyā|| 4	tatas+ maheSvara vrajyA|| 4
   śilpam+trīṇi jaganti yasya kavinā yasya trivedī guros+	Silpam +trINi jaganti yasya kavinA yasya tri vedI guros+
   yas+cakre tripuravyayam+tripathagā yanmūrdhni mālyāyate /	yas+cakre tripura vyayam+tripaTa gA yat mUrDni mAlyAyate /
   trīn+lokān+iva vīkṣitum+vahati yas+visphūrjadakṣṇām+trayam+	trIn +lokAn +iva vIkzitum +vahati yas+visPUrjadakzNAm+trayam+
   sa traiguṇyaparicchadas+vijayate devas+triśūlāyudhas+ // VidSrk_4.1 *(30)	sa trEguNya paricCadas+vijayate deva s+triSUla AyuDas+ // Vit Srj _4.1 *(30)
   vasukalpasya	vasu kalpasya
   \var{guror\lem	\var{ guroH \lem
   \conj\ \Ingalls, giro \edKG}	\ca unj\ \Ingalls, giraH \edKG}
   bāṇībhūtapurāṇapūruṣadhṛtipratyāśayā dhāvite	bANIBUta purANa pUruza DRti pratyASayA DAvite
   vidrāti sphuradāśuśukṣaṇikaṇaklānte śakunteśvare /	vidrAti sPurat ASu SukzaNi kaNa klAnte SakunteSvare /
   namronnamrabhujaṃgapuṅgavaguṇavyākṛṣṭabāṇāsanakṣiptāstrasya	namra unnamra BujaMga puFgava guNa vyAkRzwa bANAsana kzipta astrasya
   puradruhas+vijayate sandhānasīmāśramas+ // VidSrk_4.2 *(31) //	pura druha s+vijayate sanDAna sIm ASramas+ // Vit Srj _4.2 *(31) //
   \var{vidrāti\lem	\var{ vidrAti\lem
   \conj\ \Ingalls, nidrāti@ \edKG}	\ca unj\ \Ingalls, nidrAti@ \edKG}
   pīyūṣadravapānadohadarasavyagroragagrāmaṇīdaṣṭas+pātu śaśī	pIyUza drava pAna dohada rasa vyagra uraga grAmaNI dazwa s+pAtu SaSI
   maheśvaraśironepathyaratnāṅkuras+ /	maheSvara SiraH nepaTya ratna aFkuras+ /
   yas+bimbapratipūraṇāya vidhṛtas+niṣpīḍya saṃdaṃśikāyantre	yas+bimba pratipUraNAya viDRta s+nizpIxya saMdaMSikAyantre
   śaivalalāṭalocanaśikhājvālābhis+ābarhyate // VidSrk_4.3 *(32) //	SEva lalAwa locana SiKA jvAlA aBis+Abarhyate // Vit Srj _4.3 *(32) //
   murāres+etau	murA res+etO
   bhadram+candrakale śivam+suranadi śreyas+kapālāvale	Badram +candra kale Sivam +sura nadi Sreyas+kapAla Avale
   kalyāṇam+bhujagendravalli kuśalam+viśve śaṭāsantate /	kalyANam +Bujaga indra valli kuSalam +viSve SawAsantate /
   iti+āhus+militās+parasparam+amūs+yasmin+praśāntim+gate	iti +Ahu s+militA s+parasparam+amUs+yasmin+ praSAntim +gate
   kalpāntārabhaṭīnaṭasya bhavatāt+tat+vas+śriye tāṇḍavam // VidSrk_4.4 *(33)	kalpAntAra BawI nawasya BavatA at+tat+vas+ Sriye tANxavam // Vit Srj _4.4 *(33)
   devi tvadvadanopamānasuhṛdām+eṣām+sarojanmanām+	devi tvad vadana upamAna suhRdAm+ezAm +saraH janmanAm+
   paśya vyomani lohitāyati śanais+eṣā daśā vartate /	paSya vyomani lohitAyati Sana es+ezA daSA vartate /
   ittham+saṃkucadambujānukaraṇavyājopanītāñjales+	itTam +saMkucadambuja anukaraNa vyAja upanIta aQjales+
   śambhos+vañcitapārvatīkam+ucitam+saṃdhyārcanam+pātu vas+ // VidSrk_4.5	SamBos+vaQcita pArvatIkam+ucitam +saMDyA arcanam +pAtu vas+ // Vit Srj _4.5
   rājaśekharasya	rAjaSeKarasya
   kasmāt+pārvati niṣṭhurā+asi sahajas+śailodbhavānām+ayam+	kasmAt +pArvati nizWurA+asi sahajas+ SEla udBavAnAm +ayam+
   niḥsnehā+asi katham+na bhasmapuruṣas+sneham+bibharti kvacit /	niHsneha A+asi kaTam +na Basma puruza s+sneham+biBarti kvacid /
   kopas+te mayi niṣphalas+priyatame sthāṇau phalam+kim+bhavet+	kopa s+te mayi nizPala s+priyatame sTANO Palam +kim +Bavet+
   ittham+nirvacanīkṛtas+girijayā śambhus+ciram+pātu vas+ // VidSrk_4.6 *(35)	itTam +nirvacanIkRta s+giri jayA SamBus+ciram +pAtu vas+ // Vit Srj _4.6 *(35)
   vapuḥprādurbhāvāt+anumitam+idam+janmani purā	vapuH prAdurBAva at+anumitam +idam +janmani purA
   purāre na prāyas+kvacit+api bhavantam+praṇatavān /	purAre na prAyas+kvacit+ api Bavantam +praNatavAn /
   naman+janmani+asmin+aham+atanus+agre+api+anatibhāk+	naman+ janma ni+asmin+a ham+a tanu s+agre+api+anatiBAk+
   maheśa kṣantavyam+tat+idam+aparādhadvayam+api // VidSrk_4.7 *(36) //	maheSa kzantavyam +tat+idam+aparADa dvayam +api // Vit Srj _4.7 *(36) //
   kim+vācyas+mahimā mahājalanidhes+yasya+indravajrāhatas+	kim +vAcyas+ mahimA mahA jala niDes+yasya+indra vajra Ahatas+
   trastas+bhūbhṛt+amajjat+ambunicaye kaulīlapotākṛtis+ /	trasta s+BUBRt+a majjat+ambu nicaye kOlIlapota AkRti s+ /
   mainākas+api gabhīranīraviluṭhatpāṭhīnapṛṣṭhoccalat+	mEnAkas+api gaBIra nIra viluWat pAWIna pRzWa uccalat+
   śaivālāṅkurakoṭikoṭarakuṭīkuḍyāntare nirvṛtas+ // VidSrk_4.8 *(37) //	SEvAla aFkura kowi kowara kuwI kuxya antare nirvRtas+ // Vit Srj _4.8 *(37) //
   % NB = 1208 below!	% NB  1208 below!
   \var{@viluṭhatpāṭhīna@\lem	\var{@ viluWat pAWIna @\lem
   \emend, @viluṭhan pāṭhīna@ \edKG}	\ema ind, @viluWan pAWIna@ \edKG}
   tādṛksaptasamudramudritamahī bhūbhṛdbhis+abhraṃkaṣais+	tAdRS sapta samudra mudrita mahI BUBRt Bis+a BraMkazEH +
   tāvadbhis+parivāritā pṛthupṛthudvīpais+samantāt+iyam /	tAvat Bis+parivAritA pRTu pRTudvIpa es+ samantAt+iyam /
   yasya sphāraphaṇāmaṇau nilayanāt+majjatkalaṅkākṛtis+	yasya sPAra PaNAmaNO nilayanAt+majjat kalaFka AkRti s+
   śeṣas+sas+api+agamat+yadaṅgadapadam+tasmai namas+śambhave // VidSrk_4.9	Seza s+sas+api+agamat+yat aFgada padam +tasmE namas+ SamBave // Vit Srj _4.9
   etau vallaṇasya	etO vallaNasya
   gāḍhagranthipraphulladgalavikalaphaṇāpīḍaniryadviṣāgnijvālānistaptacandradravat+amṛtarasaproṣitapretabhāvās+	gAXa granTi praPullat gala vikala PaNa ApIxa niryat viza agni jvAlA nistapta candra dravat+a mRta rasa prozita preta BAvAs+
   ujjṛmbhās+babhrunetradyutim+asakṛt+asṛktṛṣṇayā+ālokayantyas+	ujjRmBA s+ baBru netra dyutim+asa kRt+asRk tRzNayA A+Alokayanti as+
   pāntu tvām+nāganālagrathitaśivaśiraḥśreṇayas+bhairavasya // VidSrk_4.10	pAntu tvAm+nAganAla graTita Siva SiraH SreNayas+ BEravasya // Vit Srj _4.10
   tasya+eva	tasya+eva
   \var{@phaṇāpīḍa@\lem	\var{@ PaNA ApIxa@\lem
   \Ingalls, @phaṇapīṭha@ \edKG}	\Ingalls, @PaNa pIWa@ \edKG}
   babhrubhrūśmaśrukeśam+śikharam+iva gires+lagnadāvāgnimālam+	baBru BrU SmaSru keSam+SiKaram +iva gires+lagna dAva agnim Alam+
   netrais+piṅgogratārais+tribhis+iva ravibhis+chidritas+kālameghas+ /	netrEs+piFga ugra tArA eH +triBis+iva raviBis+Cidrita s+kAla meGas+ /
   daṃṣṭrācandraprabhābhis+prakaṭitasubṛhattālupātālamūlam+	daMzwrA candra praBA aBis+prakawita su bRhat tAlu pAtAla mUlam+
   śambhos+vaktram+suvaktratritayabhayakaram+hantu+agham+dakṣiṇam+vas+ //	SamBos+ vaktram +su vaktra tritaya Baya karam+hantu +aGam +dakziNam +vas+ //
   VidSrk_4.11 *(40) //	Vit Srj _4.11 *(40) //
   \var{hantvaghaṃ\lem	\var{hantu aGaM\lem
   \emend\ \Ingalls, hantvadhaṃ \edKG}	\ema ind\ \Ingalls, hantu aDam \edKG}
   rakṣovibhīṣaṇasya	rakzaH viBIzaNasya
   uddāmadantarucipallavitārdhacandrajyotsnānipītatimiraprasaroparodhas+ /	uddAma danta ruci pallavita arDacandra jyotsnA nipIta timira prasara uparoDas+ /
