   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   cātmatattvapratipādanaṃ na vyartham /	ca-Atma-tattva-pratipAdanam na vyarTam /
   tasya cātmatattvasya "tattvam asi" (ChU VI.8.7) "ahaṃ brahmāsmi" (BAU	tasya ca-Atma-tattvasya "tattvam asi" (ChU VI.8.7) "aham brahmA-asmi" (BAU
   I.4.10) ityādivedāntamahāvākyam eva pramāpakam / vākyaṃ ca	I.4.10) iti-Adi-vedAnta-mahA-vAkyam eva pramApakam / vAkyam ca
   padārthajñānadvāreṇaiva jñāpakam iti tattvampadārthayoḥ	padArTa-jQAna-dvAreNa-eva jQApakam iti tattvampadArTayoH
   prakṛtavākyānukūlayor anyato 'siddhatvāt tāv api śāstreṇaiva pramātavyau	prakRta-vAkya-anukUlayoH anyatas asidDa-tvAt tO api SAstreNa-eva pramAtavyO
   yūpāhavanīyapadārthavat / tataś ca "yato vā imāni bhūtāni jāyante yena vā	yUpAhavanIya-padArTa-vat / tatas ca "yataH vA imAni BUtAni jAyante yena vA
   jātāni jīvanti" (TU III.1.1) ityādyāḥ sṛṣṭyādiśrutayas tatpadavācyārthasya	jAtAni jIvanti" (TU III.1.1) ityAdyAH sRzwi-Adi-SrutayaH tad-pada-vAcya-arTasya
   samarpikāḥ "satyaṃ jñānam anantam" (TU II.1) ityādyās tu lakṣyārthasya /	sa-marpikAH "satyam jQAnam anantam" (TU II.1) ityAdyAH tu lakzya-arTasya /
   evaṃ jāgratsvapnasuṣuptyādiśrutayaḥ "tad yathā mahāmatsya ubhe kūle	evam jAgrat-svapna-suzupti-Adi-SrutayaH "tat yaTA mahA-matsyaH uBe kUle
   anusañcarati" (BAU IV.3.18) ityādyās tvampadavācyārthasya samarpikāḥ "yo	anusaQcarati" (BAU IV.3.18) ityAdyAH tvampada-vAcya-arTasya sa-marpikAH "yaH-
   'yaṃ vijñānamayaḥ prāṇeṣu hṛdyantarjyotiḥ puruṣaḥ" (BAU IV.3.7) "na dṛṣṭer	ayam vijQAna-mayaH prANezu hRdi-antar-jyotiH puruzaH" (BAU IV.3.7) "na dRzweH-
   draṣṭāraṃ paśyeḥ" (BAU III.4.2) ityādyās tu lakṣyārthasya / tena prathamam	drazwAram paSyeH" (BAU III.4.2) ityAdyAH tu lakzya-arTasya / tena praTamam
   avāntaravākyebhyo 'nubhūtayoḥ śuddhajīvabrahmaṇos tattvamasyādivākye	avAntara-vAkyeByaH anuBUtayoH SudDa-jIva-brahmaNoH tattvam-asya-Adi-vAkye
   mukhārthānvayānupapatter lakṣaṇayā smaraṇopapattiḥ / suṣuptau	muKa-arTa-anvaya-anupapatteH lakzaNayA smaraNa-upapattiH / suzuptO
   nirvikalpakasākṣicaitanyānubhavāṅgīkārāc ca advitīyabrahmajijjāpayiṣayā	nirvikalpaka-sAkzi-cEtanya-anuBava-aFgIkArAt ca advitIya-brahma-jit-jApayizayA
   pravṛttānāṃ satyajñānādipadānām upādhiviśiṣṭacaitanye śaktatve 'pi	pravRttAnAm satya-jQAna-Adi-padAnAm upADi-viSizwa-cEtanye Sakta-tve api
   caitanyamātre tātparyeṇa tatraiva tadaṃśe eva saṃskārodbodhāc ca /	cEtanya-mAtre tAtparyeNa tatra-eva tad-aMSe eva saMskAra-udboDAt ca /
   icchanti hi ākāśādipadād api nirvikalpakaṃ smaraṇaṃ tātparyādhīnatvāc	icCanti hi AkASa-Adi-padAt api nirvikalpakam smaraNam tAtparya-aDIna-tvAt-
   chabdavṛtteḥ / etena pramitipramātror mahāvākyārthabodhe bhānam apāstam /	Cabda-vRtteH / etena pramiti-pramAtroH mahA-vAkya-arTa-boDe BAnam apAstam /
   asamprajñātasamādheḥ śrutismṛtisiddhatvāc ca / pārokṣyasadvitīyatvābhyāṃ	asamprajQAta-samADeH Sruti-smRti-sidDa-tvAt ca / pArokzyasa-dvitIya-tvAByAm
   ca na tattvampadārthamātrānubhavād eva kṛtakṛtyatā / vācyārthasya ca	ca na tattvampadArTa-mAtra-anuBavAt eva kRtakRtya-tA / vAcya-arTasya ca
   bhedāvabhāsān na paunaruktyam / lakṣyārthasya caikatvād akhaṇḍārthatā /	Beda-avaBAsAt na pOnaruktyam / lakzya-arTasya ca-eka-tvAt aKaNxa-arTa-tA /
   padajanyasya ca smaraṇasya nirvikalpalavākyārthānukūlasya nirvikalpakatvam	pada-janyasya ca smaraNasya nirvikalpalavAkya-arTa-anukUlasya nirvikalpaka-tvam
   anubhavavad evāviruddham / savikalpakavākyārthabodhe ca	anuBava-vat eva-avirudDam / sa-vikalpaka-vAkya-arTa-boDe ca
   savikalpakapadārthāpasthitir aṅgam / prakṛte ca nirvikalpako	sa-vikalpaka-padArTa-apasTitiH aFgam / prakRte ca nirvikalpa-kaH-
   vākyārthabodhas tasyaiva pramātvenājñānanivartanasāmarthyāt / ato na	vAkya-arTa-boDaH tasya-eva pramAtvena-ajQAna-nivartana-sAmarTyAt / atas na
   lakṣyatāvacchedakam antareṇa lakṣaṇānupapattiḥ /	lakzya-tA-avacCedakam antareNa lakzaNa-anupapattiH /
   prakṛtavākyārthānukūlapadārthopasthitir eva śaktilakṣaṇāsādhyatvāt /	prakRta-vAkya-arTa-anukUla-padArTa-upasTitiH eva Sakti-lakzaNa-asADya-tvAt /
   nanu tarhi vedāntavākyebhya eva padārthopasthitau vākyārthabodhe ca sati	nanu tarhi vedAnta-vAkyeByaH eva padArTa-upasTitO vAkya-arTa-boDe ca sati
   tasya svata eva prāmāṇyāt tenājñānatatkāryanivṛttyanupapattau kiṃ	tasya svatas eva prAmANyAt tena-ajQAna-tad-kArya-nivRtti-anupapattO kim
   vicāreṇeti cet, satyam, vedāntā yady api svataḥprāmāṇyān nirvikalpakam	vicAreNa-iti cet, satyam, vedAntAH yadi api svatas-prAmANyAt nirvikalpakam
   ātmasākṣātkāraṃ janayanti tathāpi mandamatīnāṃ	Atma-sAkzAtkAram janayanti taTA-api manda-matInAm
   vādivipratipattijasaṃśayapratibandhena tasyājñānanāśakatvāsāmarthyāt	vAdi-vipratipatti-ja-saMSaya-pratibanDena tasya-ajQAna-nASakatvA-sAmarTyAt-
   vicāreṇa tu saṃśayanivṛttau nirapavādam ajñānanivṛttir iti	vicAreNa tu saMSaya-nivRttO nirapavAdam ajQAna-nivRttiH iti
   saṃśayabījabhūtavādivipratipattinirākaraṇārthaṃ vicāra ārabhyate /	saMSaya-bIja-BUta-vAdi-vipratipatti-nirAkaraNa-arTam vicAraH AraByate /
   prathamo vibhāgaḥ /	praTamaH viBAgaH /
   tvaṃpadārthanirṇayaḥ /	tvaMpadArTa-nirNayaH /
   tatra tvampadārthe vipratipattayaḥ prathamaṃ pradarśyante / tatpadārthasya	tatra tvam-padArTe vipratipattayaH praTamam pradarSyante / tad-padArTasya
   śāstratātparyaviṣayatayābhyarhitatve 'pi tvampadārthasya	SAstra-tAtparya-vizaya-tayA-aByarhita-tve api tvampadArTasya
   śāstraphalamokṣabhāgitayā tato 'py abhyarhitatvāt /	SAstra-Pala-mokza-BAgitayA tatas api aByarhita-tvAt /
   tatra dehākārapariṇatāni catvāri bhūtāny eva tvampadārtha iti cārvākāḥ /	tatra deha-AkAra-pariNatAni catvAri BUtAni eva tvam-padArTaH iti cArvAkAH /
   cakṣurādīni pratyekam ity apare / militānīty anye / mana ity eke / prāṇa	cakzuH-AdIni pratyekam iti apare / militAni-iti anye / manaH iti eke / prANa
   ity anye / kṣaṇikaṃ vijñānam iti saugatāḥ / śūnyam iti mādhyamikāḥ /	iti anye / kzaNikam vijQAnam iti sOgatAH / SUnyam iti mADyamikAH /
   dehendriyātirikto dehaparimāṇa iti digambarāḥ / kartā bhoktā jaḍo vibhur	deha-indriya-atiriktaH deha-parimANaH iti digambarAH / kartA BoktA jaxaH viBuH-
   iti vaiśeṣikatārkikaprābhākarāḥ / jaḍo bodhātmaka iti bhāṭṭāḥ / bhoktaiva	iti vESezika-tArkika-prABAkarAH / jaxaH boDa-AtmakaH iti BAwwAH / BoktA-eva
   kevalabodhātmaka iti sāṅkhyāḥ pātañjalāś ca / avidyayā kartṛtvādibhāk	kevala-boDa-AtmakaH iti sAFKyAH pAtaQjalAH ca / avidyayA kartR-tva-Adi-BAj-
   paramārthato nirdharmakaḥ paramānandabodharūpa evety aupaniṣadāḥ / evaṃ	paramArTataH nirDarmakaH parama-Ananda-boDa-rUpaH eva-iti OpanizadAH / evam
   sāmānyato 'hampratyayasiddhacidātmani vādivipratipattibhiḥ sandigdhe	sAmAnyatas aham-pratyaya-sidDa-cit-Atmani vAdi-vipratipattiBiH sandigDe
   'hampratyayasyālambanaviśeṣanirṇayāyāha bhagavān ācāryaḥ --	aham-pratyayasya-Alambana-viSeza-nirNayAya-Aha BagavAn AcAryaH --
        na bhūmir na toyaṃ na tejo na vāyur na khaṃ nendriyaṃ vā na teṣāṃ	na BUmiH na toyam na tejaH na vAyuH na Kam na-indriyam vA na tezAm
   samūhaḥ /	samUhaH /
        anaikāntikatvāt suṣuptyekasiddhas tad eko 'viśiṣṭaś śivaḥ kevalo 'ham	anEkAntika-tvAt suzupti-eka-sidDaH tat ekaH aviSizwaH SivaH kevalaH aham
   aham ahampratyayālambanam / ekaḥ advitīyaḥ / aviśiṣṭaḥ sarvadvaitabādhe	aham aham-pratyaya-Alambanam / ekaH advitIyaH / aviSizwaH sarva-dvEta-bADe
   'py avādhitaḥ / śivaḥ paramānandabodharūpas tasyaiva maṅgalarūpatvāt /	api avADitaH / SivaH parama-Ananda-boDa-rUpaH tasya-eva maFgala-rUpa-tvAt /
   kevalo nirdharmakaḥ / tenādvitīyaḥ sarvapramāṇābādhyaḥ paramānandabodha	kevalaH nirDarmakaH / tena-advitIyaH sarva-pramANa-AbADyaH parama-Ananda-boDa
   evāhampratyayāvalambanam ity aupaniṣadapakṣa eva śreyān ity arthaḥ /	eva-ahampratyaya-avalambanam iti Opanizada-pakzaH eva SreyAn iti arTaH /
   etadupapādanāyetaravādimatāni nirākariṣyan prathamaṃ dehātmavādaṃ	etad-upapAdanAya-itara-vAdi-matAni nirAkarizyan praTamam deha-Atma-vAdam
   nirākaroti na bhūmir na toyaṃ na vāyur na kham iti / tatrāham iti sarvatra	nirAkaroti na BUmiH na toyam na vAyuH na Kam iti / tatra-aham iti sarvatra
   pratyekaṃ nañā sambadhyate / yā bhūmiḥ sāhaṃ na bhavāmi yo 'haṃ sa bhūmir	pratyekam naQA sambaDyate / yA BUmiH sA-aham na BavAmi yaH aham sa BUmiH-
   na bhavatīti ca parasparatādātmyābhāvo dṛṣṭavyaḥ /	na Bavati-iti ca paraspara-tAdAtmya-aBAvaH dRzwavyaH /
   yady api vādinā pratyekaṃ bhūmyāder ātmatvaṃ nābhyupeyate saṃghātasyaiva	yadi api vAdinA pratyekam BUmi-AdeH Atma-tvam na-aByupeyate saMGAtasya-eva
   tadabhyupagamāt tathāpi tanmate avayavyanaṅgīkārāt	tad-aByupagamAt taTA-api tad-mate avayavi-anaFgIkArAt-
   pañcamatattvābhyupagamaprasaṅgena ca saṃyogādisambandhānabhyupagamāt	paQcama-tattva-aByupagama-prasaFgena ca saMyoga-Adi-sambanDa-anaByupagamAt
   saṃhantur abhāvāc ca saṃghāto nopapadyata ity abhipretya pratyekaṃ	saMhantuH aBAvAt ca saMGAtaH na-upapadyate iti aBipretya pratyekam
   bhūtanirākaraṇena bhautikadehātmavādo nirākṛtaḥ /	BUta-nirAkaraNena BOtika-deha-Atma-vAdaH nirAkRtaH /
   yady api ca bhūtacatuṣṭayatattvavādino mate āvaraṇābhāvatvenābhimatasya	yadi api ca BUta-catuzwaya-tattva-vAdinaH mate AvaraNa-aBAva-tvena-aBimatasya
   sthirasyāsata ākāśasya dehānupādānatvaṃ tathāpi siddhānte tasya bhāvatvaṃ	sTirasya-asataH AkASasya dehAn-upAdAna-tvam taTA-api sidDAnte tasya BAva-tvam
   dehopādānatvādyaṅgīkārāt tatrāpy ātmatvaprasaktyā tannirākṛtam / atha vā	deha-upAdAna-tva-Adi-aFgIkArAt tatra-api Atma-tva-prasaktyA tad-nirAkRtam / aTa vA
   na vāyur ityantam eva dehātmavādasya nirākaraṇaṃ na kham iti tu	na vAyuH iti-antam eva deha-Atma-vAdasya nirAkaraNam na Kam iti tu
   śūnyavādasya khaśabdasya śūnyavācakatvāt /	SUnya-vAdasya Ka-Sabdasya SUnya-vAcaka-tvAt /
   nendriyam iti pratyekam indriyāṇām ātmatvanirāsaḥ / na teṣāṃ samūha iti	na-indriyam iti pratyekam indriyANAm Atma-tva-nirAsaH / na tezAm samUhaH iti
   militānāṃ bhūtānāṃ dehāvayavyākāreṇa pariṇatānām indriyāṇāṃ ca militānāṃ	militAnAm BUtAnAm deha-avayavya-AkAreNa pariNatAnAm indriyANAm ca militAnAm
   nirāsaḥ / pūrvaṃ saṃghātam anabhyupagamya pratyekaṃ bhūtāni nirākṛtāni /	nirAsaH / pUrvam saMGAtam anaByupagamya pratyekam BUtAni nirAkRtAni /
   adhunā tu saṃghātam abhyupagamyāpi nirākṛtānīti bhedaḥ / bhūtanirākaraṇena	aDunA tu saMGAtam aByupagamya-api nirAkRtAni-iti BedaH / BUta-nirAkaraNena
   bhautikayoḥ prāṇamanasor nirāsaḥ / manonirākaraṇena manovṛtteḥ	BOtikayoH prANa-manasoH nirAsaH / manaH-nirAkaraNena manaH-vRtteH
   kṣaṇikavijñānasya dehātiriktasya kartṛtvabhoktṛtvādiviśiṣṭasya ca nirāsaḥ	kzaNika-vijQAnasya deha-atiriktasya kartR-tva-BoktR-tva-Adi-viSizwasya ca nirAsaH
   / siddhānte jñānecchāsukhādīnām antaḥkaraṇāśrayatvābhyupagamāt	/ sidDAnte jQAna-icCA-suKa-AdInAm antaHkaraNa-ASraya-tva-aByupagamAt
   kāmasaṅkalpādīn prakṛtya mana eveti śruteḥ (BAU I.5.3) / tena deham	kAma-saFkalpa-AdIn prakRtya manaH eva-iti SruteH (BAU I.5.3) / tena deham
   ārabhya kevalabhoktṛparyantānāṃ tattadvādyabhimatānām anātmatvaṃ	AraBya kevala-BoktR-paryantAnAm tad-tad-vAdI-aBimatAnAm anAtma-tvam
   pratijñātaṃ bhavati tatra hetum āha -- anaikāntikatvād iti /	pratijQAtam Bavati tatra hetum Aha - anEkAntika-tvAt iti /
   vyabhicāritvāt vināśitvād iti yāvat / ātmano deśakālāparicchinnatvāt	vyaBicAri-tvAt vinASi-tvAt iti yAvat / AtmanaH deSa-kAla-aparicCinna-tvAt
   pariccchinnānāṃ ghaṭādivad anātmatvāt khabhinnasya cātmatvābhāvāt, ātmana	pariccCinnAnAm Gawa-Adi-vat anAtma-tvAt Ka-Binnasya ca-Atma-tva-aBAvAt, Atmana
   ekatve 'pi sukhaduḥkhādyāśrayāṇām antaḥkaraṇānāṃ bhedābhyupagamād	eka-tve api suKa-duHKa-Adi-ASrayANAm antaHkaraNAnAm Beda-aByupagamAt-
   vyavasthopapatteḥ svenaiva svābhāvagrahaṇe virodhāt, grāhyakāle	vyavasTA-upapatteH svena-eva svABAva-grahaNe viroDAt, grAhya-kAle
   grāhakāsattvāt grāhakasattve grāhyābhāvāt kṛtahānyakṛtābhyāgamaprasaṅgāc	grAhaka-asattvAt grAhaka-sattve grAhya-aBAvAt kRta-hAnya-kRta-aByAgama-prasaFga-At-
   ca na tasya dhvaṃsaprāgabhāvau / sadrūpasyātmanaḥ sarvatrānugamāc ca	ca na tasya DvaMsa-prAc-aBAvO / sat-rUpasya-AtmanaH sarvatra-anugamAt ca
   nātyantābhāvasaṃbhavaḥ / dvaitasya mithyātvenādhiṣṭhānasattād	na-atyanta-aBAva-saMBavaH / dvEtasya miTyA-tvena-aDizWAna-sattAd
   ātmyāpannatayaiva siddhatvāt, śuktirajatādivad adhyastatvena	Atmya-ApannatayA-eva sidDa-tva-at, Sukti-rajata-Adi-vat aDyasta-tvena
   tattādātmyabhāvānupapattiḥ / tenātmanā bhāvapratiyogī / abhāvapratiyoginaś	tad-tAdAtmya-BAva-anupapattiH / tena-AtmanA BAva-pratiyogI / aBAva-pratiyoginaH-
   ca dehendriyādayaḥ / tenāmī nātmanaḥ / kiṃ tu svaprakāśabodharūpa ātmani	ca deha-indriya-AdayaH / tena-amI na-AtmanaH / kim tu sva-prakASa-boDa-rUpaH Atmani
   advaite 'py anādyanirvacanīyāvidyākalpitā anirvacanīyā eveti	advEte api anAdya-nirvacanIya-avidyA-kalpitAH anirvacanIyAH eva-iti
   siddhāntarahasyam /	sidDAntarahasyam /
   nanu bodharūpa ātmeti tavābhyupagamāt suṣuptau ca bodhābhāvāt gāḍhaṃ mūḍho	nanu boDa-rUpaH AtmA-iti tava-aByupagamAt suzuptO ca boDa-aBAvAt gAXam mUXaH-
   'ham āsaṃ na kiñcid avediṣam iti suptotthitasya parāmarśāt katham	aham Asam na kiQcid avedizam iti supta-utTitasya parAmarSAt kaTam
   avyabhicāritā tasyety āśaṅkyāha -- suṣuptyekasiddha iti / ayam arthaḥ /	avyaBicAritA tasya-iti ASaFkya-Aha - suzupti-eka-sidDaH iti / ayam arTaH /
   ātmanaḥ suṣuptisākṣitvān na tatra tadabhāvaḥ, anyathā mūḍho 'ham āsam iti	AtmanaH suzupti-sAkzi-tvAt na tatra tad-aBAvaH, anyaTA mUXaH aham Asam iti
   parāmarśānupapatteḥ mātṛmānam iti meeyānāṃ vyabhicāritve 'pi	parAmarSa-anupapatteH mAtR-mAnam iti meeyAnAm vyaBicAri-tve api
   tadbhāvābhāvasākṣiṇaḥ kālatraye 'vyabhicārāt /	tad-BAva-aBAva-sAkziNaH kAla-traye avyaBicArAt /
   nanu pramāśrayaḥ pramātā sa eva kartā bhoktā pradīpavat	nanu pramASrayaH pramAtA saH eva kartA BoktA pradIpa-vat-
   svaparasādhāraṇasarvabhāsakaś ceti na ghaṭādivat sākṣisāpekṣa iti cet, na,	sva-parasADAraNa-sarva-BAsakaH ca-iti na Gawa-Adi-vat sAkzi-sApekzaH iti cet, na,
   vikāritvena svavikārasākṣitvānupapatteḥ dṛśyasya draṣṭṛtvānupapatteḥ	vikAri-tvena sva-vikAra-sAkzi-tvA-anupapatteH dRSyasya drazwR-tva-anupapatteH
   pramātuś ca pariṇāmitvena dṛśyatvāt, ekasya kūṭasthasyaiva sarvasākṣitvāt	pramAtuH ca pariNAmi-tvena dRSya-tva-at, ekasya kUwasTasya-eva sarva-sAkzi-tvAt
   nanu ekaḥ kūṭastho nirdharmakaḥ sākṣī nādriyate 'prāmāṇikatvād iti cet,	nanu ekaH kUwasTaH nirDarmakaH sAkzI na-Adriyate aprAmANika-tvAt iti ced-,
   na, "tam eva bhāntam anubhāti sarva tasya bhāsā sarvam idaṃ vibhāti (SU	na, "tam eva BAntam anuBAti sarva tasya BAsA sarvam idam viBAti (SU
   VI.14, MuU II.2.10, KauU II.5.15), "na dṛṣṭer draṣṭāraṃ paśyeḥ (BAU	VI.14, MuU II.2.10, KOU II.5.15), "na dRzweH drazwAram paSyeH (BAU
   III.4.2)" "adṛṣṭo draṣṭā, nānyo 'to 'sti draṣṭā (BAU III.7.23)" ityādi	III.4.2)" "adRzwaH drazwA, na-anyaH atas asti drazwA (BAU III.7.23)" ityAdi
   vadatā vedāntapramāṇarājena tasyaiva sarvasākṣitvenābhiṣiktatvāt /	vadatA vedAnta-pramANa-rAjena tasya-eva sarva-sAkzi-tvena-aBizikta-tvAt /
   nanu mahad etad indrajālaṃ pramāśrayān kūṭasthān vihāya	nanu mahat etat indrajAlam pramA-ASrayAn kUwasTAn vihAya
   kūṭasthapramāśrayam eva pramāṇarājaḥ sarvasākṣiṇaṃ karotīti / bāḍham,	kUwasTa-pramASrayam eva pramANa-rAjaH sarva-sAkziNam karoti-iti / bAXam,
   indrajālam evaitatsvapnavad avidyāvilasitatvāt tathāpi dṣśyasya ghaṭādivaj	indrajAlam eva-etat-svapna-vat avidyA-vilasita-tvAt taTA-api dzSyasya Gawa-At-i-vaj
   jaḍatvena kathaṃ pramāśrayatvam iti cet, na, darpaṇādivad atisvacchatvena	jaxa-tvena kaTam pramASraya-tvam iti cet, na, darpaNa-Adi-vat ati-svacCa-tvena
   cidbimbagrāhakatvāc cittād ātmyādhyāsād vā /	cit-bimba-grAhaka-tvAt cittAt Atmya-aDyAsAt vA /
   nanu nīrūpasya niravayavasyāatmanaḥ kathaṃ pratibimba iti cet,	nanu nIrUpasya niravayavasya-AatmanaH kaTam pratibimbaH iti ced-,
   kātrānupapattiḥ, vibhramahetūnāṃ vicitratvāt, japākusumarūpasya nīrūpasya	kAtra-anupapattiH, viBrama-hetUnAm vicitra-tva-at, japA-kusuma-rUpasya nIrUpasya
   niravayavasyāpi sphaṭikādau pratibimbadarśanāc chabdasyāpi	niravayavasya-api sPawika-AdO pratibimba-darSanAt Sabdasya-api
   pratiśabdākhyapratibimbopalambhāt tayoḥ	prati-Sabda-AKya-pratibimba-upalamBAt tayoH
   sampratipannapratibimbavailakṣaṇyanirūpaṇāt /	sampratipanna-pratibimba-vElakzaNya-nirUpaNAt /
   tathāpīndriyagrāhyasyaiva pratibimba iti cet, na, vyabhicārāt,	taTA-api-indriya-grAhyasya-eva pratibimbaH iti cet, na, vyaBicAra-at-,
   anindriyagrāhyasākṣipratyakṣasyāpy ākāśasyāpi jalādau pratibimbopalambhāt	anindriya-grAhya-sAkzi-pratyakzasya-api AkASasya-api jala-AdO pratibimba-upalamBAt-
   / anyathā jānumātre 'py udake atigambhīra(tā)pratītir na syāt / tarhi	/ anyaTA jAnu-mAtre api udake ati-gamBIra(tA)-pratItiH na syAt / tarhi
   andhasya jale pratibimbapratītiḥ kuto na jāyate sālokasya sābhrasya	anDasya jale pratibimba-pratItiH kutas na jAyate sa-Alokasya sa-aBrasya
   pratibimbitatvāt tadgrahaṇārthaṃ cakṣuṣo 'pekṣaṇāt / etena nīlaṃ nabha	pratibimbita-tvAt tad-grahaNa-arTam cakzuzaH apekzaNAt / etena nIlam naBa
   ityādivibhrame 'pi cakṣuranvayavyatirekau vyākhyātau tatra	ityAdi-viBrame api cakzuH-anvaya-vyatirekO vyAKyAtO tatra
   sālokasyākāśasyādhiṣṭhānatvāt / tasmāc cākṣuṣapratibimbam eva rūpasāpekṣam	sa-Alokasya-AkASasya-aDizWAna-tvAt / tasmAt cAkzuza-pratibimbam eva rUpa-sApekzam
   ity avadheyam /	iti avaDeyam /
   tathāpy ātmanaḥ pratibimbe kiṃ pramāṇam iti cet, śṛṇu -- "rūpaṃ rūpaṃ	taTA-api AtmanaH pratibimbe kim pramANam iti cet, SRNu - "rUpam rUpam
   pratirūpo babhūva tad asya rūpaṃ praticakṣaṇāya (BAU II.5.19)"	pratirUpaH baBUva tat asya rUpam praticakzaNAya (BAU II.5.19)"
   "māyābhāsena jīveśau karoti (NU 9)" "ekadhā bahudhā caiva dṣśyate	"mAyA-ABAsena jIveSO karoti (NU 9)" "ekaDA bahuDA ca-eva dzSyate
   jalacandravat (BBU 12)" ityādiśrutiḥ, "sa eṣa iha praviṣṭaḥ (BAU I.4.7)"	jala-candra-vat (BBU 12)" iti-Adi-SrutiH, "saH ezaH iha pravizwaH (BAU I.4.7)"
   "sa etam eva sīmānaṃ vidāryaitayādvārā prāpadyata (AitU I.3.12)"	"saH etam eva sImAnam vidArya-etayA-dvArA prApadyata (AitU I.3.12)"
   "tatsṛṣṭvā tad evānuprāviśat (TU II.6.1)" ityādi	"tat-sRzwvA tat eva-anuprAviSat (TU II.6.1)" ityAdi
   praveśaśrutyanyathānupapattiḥ "ābhāsa eva ca (BS II.3.50)" "ata eva	praveSa-Sruti-anyaTA-anupapattiH "a-ABAsaH eva ca (BH II.3.50)" "ataH eva
   copamāssuryakādivat (BS III.2.18)" ityādipāramarṣasūtraṇi ca tatra mānāni	ca-upama-Assuryaka-Adi-vat (BH III.2.18)" iti-Adi-pAramarza-sUtraNi ca tatra mAnAni
   tasya ca pratibimbasya satyam eveti pratibimbavādinaḥ, mithyātvam evety	tasya ca pratibimbasya satyam eva-iti pratibimba-vAdinaH, miTyAtvam eva-iti-
   ābhāsavādinaḥ / svarūpe tu na vivāda evety anyad etat /	ABAsa-vAdinaH / svarUpe tu na vivAdaH eva-iti anyat etat /
   acetanavilakṣaṇatvaṃ tu tasya śrutisiddham anubhavasiddhaṃ ca / tasmāt	acetana-vilakzaNa-tvam tu tasya Sruti-sidDam anuBava-sidDam ca / tasmAt-
   siddham antaḥkaraṇasya pratibimbādhyāsadvārā pramātṛtvam /	sidDam antaHkaraNasya pratibimba-aDyAsa-dvArA pramAtR-tvam /
   nanu, adhyāso 'pi nopapadyate / tathāhi -- ātmani vā anātmādhyasyate	nanu, aDyAsaH api na-upapadyate / taTA-hi - Atmani vA anAtma-aDyasyate
   anātmany ātmā vā / nādyaḥ, tasya niḥsāmānyaviśeṣavatvena	anAtmani AtmA vA / na-AdyaH, tasya niHsAmAnya-viSezava-tvena
   sarvadābhāsamānatvena sādṛśyādirahitatvena cādhiṣṭhānatvāsambhavāt / nāpi	sarvadABAsamAna-tvena sAdRSya-Adi-rahita-tvena ca-aDizWAna-tva-asamBavAt / na-api
   dvitīyaḥ, tasya mithyātvābhyupagamāt / mithyāvastuno 'dhiṣṭhānatve	dvitIyaH, tasya miTyA-tva-aByupagamAt / miTyAvastunaH aDizWAna-tve
