   (Vaidya 165)	(VEdyaH 165)
   upadrutā vimānitāś ca kāyikavācikacaitasikaduḥkhairabhyāhatāḥ, te mama	upadrutAH vimAnitAH ca kAyika-vAcika-cEtasika-duHKEH-aByAhatAH, te mama
   nāmadheyasya śravaṇena madīyena puṇyānubhāvena ca sarvabhayopadravebhyaḥ	nAmaDeyasya SravaNena madIyena puNya-anuBAvena ca sarva-Baya-upadraveByaH
   parimucyeran || ekādaśamaṃ tasya mahāpraṇidhānam abhūta - yadāham anāgate	parimucyeran || ekAdaSamam tasya mahA-praNiDAnam aBUta  yadA-aham anAgate
   - - - tadā bodhiprāptasya ca me ye sattvāḥ kṣudhāgninā prajvalitāḥ	   tadA boDi-prAptasya ca me ye sattvAH kzuDA-agninA prajvalitAH
   āhārapānaparyeṣṭyabhiyuktāḥ tannidānaṃ pāpaṃ kurvanti, sace(t) te mam	AhAra-pAna-paryezwi-aBiyuktAH tat-nidAnam pApam kurvanti, sa-ce(t) te mam
   nāmadheyaṃ dhārayeyuḥ, ahaṃ teṣāṃ varṇagandharasopetena āhāreṇa śarīraṃ	nAmaDeyam DArayeyuH, aham tezAm varNa-ganDa-rasa-upetena AhAreNa SarIram
   saṃtarpayeyam || dvādaśamaṃ tasya mahāpraṇidhānam abhūt - yadāham anāgate	saMtarpayeyam || dvAdaSamam tasya mahA-praNiDAnam aBUt  yadA-aham anAgate
   - - - tadā bodhiprāptasya ca me ye kecit sattvā vasanavirahitā daridrāḥ	   tadA boDi-prAptasya ca me ye kecid sattvAH vasana-virahitAH daridrAH
   śītoṣṇadaṃśamaśakrairupadrutā rātriṃdivaṃ duḥkham anubhavanti, sace(t) te	SIta-uzNa-daMSam-aSakrEH-upadrutAH rAtriMdivam duHKam anuBavanti, sa-ce(t) te
   mama nāmadheyeṃ dhārayeyuḥ, ahaṃ teṣāṃ ca vastraparibhogam upasaṃhareyam,	mama nAmaDeyem DArayeyuH, aham tezAm ca vastra-pariBogam upasaMhareyam,
   nānāraṅgai raktāṃś ca kāmānupanāmayeyam, (BhgSū, Vaidya 167) vividhaiś ca	nAnA-raFgEH raktAn ca kAmAn-upanAmayeyam, (Bhj-SU, VEdyaH 167) viviDEH ca
   ratnābharaṇagandhamālyavilepanavādyatūryatālāvacaraiḥ sarvasattvānāṃ	ratna-ABaraNa-ganDa-mAlya-vilepana-vAdya-tUrya-tAlA-vacarEH sarva-sattvAnAm
   sarvābhiprāyān paripūrayeyam || imāni dvādaśa mahāpraṇidhānāni mañjuśrīḥ	sarva-aBiprAyAn paripUrayeyam || imAni dvAdaSa mahA-praNiDAnAni maQjuSrIH
   bhagavān bhaiṣajyaguruvaidūryaprabhas tathāgato 'rhan samyaksaṃbuddhaḥ	BagavAn BEzajya-guru-vEdUrya-praBaH taTAgataH arhan samyaksaMbudDaH
   pūrvaṃ bodhicārikāṃ caran kṛtavān ||	pUrvam boDi-cArikAm caran kRtavAn ||
   tasya khalu punar mañjuśrīḥ bhagavato bhaiṣajyaguruvaidūryaprabhasya	tasya Kalu punar maQjuSrIH BagavataH BEzajya-guru-vEdUrya-praBasya
   tathāgatasya yat praṇidhānaṃ yac ca buddhakṣetraguṇavyūhaṃ tan na śakyaṃ	taTAgatasya yat praNiDAnam yat ca budDa-kzetra-guNa-vyUham tat na Sakyam
   kalpena vā kalpāvaśeṣeṇa vā kṣapayitum | suviśuddhaṃ tad buddhakṣetraṃ	kalpena vA kalpa-avaSezeNa vA kzapayitum | su-viSudDam tat budDa-kzetram
   vyapagataśilāśarkarakaṭhalyam apagatakāmadoṣam apagatāpāyaduḥkhaśabdam	vyapagata-SilA-Sarkara-kaWalyam apagata-kAma-dozam apagata-apAya-duHKa-Sabdam
   apagatamātṛgrāmam | vaidūryamayī ca sā mahāpṛthivī	apagata-mAtR-grAmam | vEdUrya-mayI ca sA mahA-pRTivI
   kuḍyaprākāraprāsādatoraṇagavākṣajālaniryūhasaptaratnamayī, yadṛśī	kuxya-prAkAra-prAsAda-toraNa-gavAkza-jAla-niryUha-sapta-ratna-mayI, yadRSI
   sukhāvatī lokadhātus tādṛśī | tatra vaidūryanirbhāsāyāṃ lokadhātau dvau	suKAvatI lokaDAtuH tAdRSI | tatra vEdUrya-nirBAsAyAm lokaDAtO dvO
   bodhisattvau mahāsattvau teṣām aprameyāṇām asaṃkhyeyānāṃ bodhisattvānāṃ	boDisattvO mahAsattvO tezAm aprameyANAm asaMKyeyAnAm boDisattvAnAm
   mahāsattvānāṃ pramukhau, ekakaḥ sūryavairocano nāma, dvitīyaś	mahAsattvAnAm pramuKO, ekakaH sUryavErocanaH nAma, dvitIyaH-
   candravairocanaḥ, yau tasya bhagavato bhaiṣajyaguruvaidūryaprabhasya	candra-vErocanaH, yO tasya BagavataH BEzajya-guru-vEdUrya-praBasya
   tathāgatasya saddharmakośaṃ dhārayataḥ | tasmāt tarhi mañjuśrīḥ śrāddhena	taTAgatasya sadDarma-koSam DArayataH | tasmAt tarhi maQjuSrIH SrAdDena
   kulaputreṇa vā kuladuhitrā vā tatra buddhakṣetropapattaye praṇidhānaṃ	kula-putreNa vA kula-duhitrA vA tatra budDa-kzetra-upapattaye praNiDAnam
   karaṇīyam ||	karaNIyam ||
   punaraparaṃ bhagavān mañjuśriyaṃ kumārabhūtam āmantrayate sma - santi	punar-aparam BagavAn maQju-Sriyam kumAra-BUtam Amantrayate sma  santi
   mañjuśrīḥ pṛthagjanāḥ sattvāḥ, ye na jānanti kuśalākuśalaṃ karma | te	maQjuSrIH pRTagjanAH sattvAH, ye na jAnanti kuSala-akuSalam karma | te
   lobhābhibhūtā ajānanto dānaṃ dānasya ca mahāvipākam, bālāgramūrkhāḥ	loBa-aBiBUtAH ajAnantaH dAnam dAnasya ca mahA-vipAkam, bAla-agra-mUrKAH
   śraddhendriyavikalā dhanasaṃcayakṣaṇābhiyuktāḥ | na ca dānasaṃvibhāge	SradDA-indriya-vikalAH Dana-saMcaya-kzaNa-aBiyuktAH | na ca dAna-saMviBAge
   teṣāṃ cittaṃ kramate | dānakāle upasthite svaśarīramaṃsacchedane iva vā	tezAm cittam kramate | dAna-kAle upasTite sva-SarIram-aMsa=-Cedane iva vA
   manaso (duḥkhaṃ) bhavati | aneke ca sattvāḥ ye svayam eva na	manasaH (duHKaM) Bavati | aneke ca sattvAH ye svayam eva na
   paribhuñjanti, prāgeva mātāpitṛbhāryāduhitṝṇāṃ dāsyanti, prāgeva	pariBuQjanti, prAk-eva mAtA-pitR-BAryA-duhitLNAm dAsyanti, prAk-eva
   dāsadāsīkarmakarāṇām, prāgevānyeṣāṃ yācakānām, te tādṛśāḥ sattvā itaś	dAsa-dAsI-karma-karANAm, prAk-eva-anyezAm yAcakA-nAm, te tAdRSAH sattvAH itas-
   cyutvā pretaloke upapatsyante tiryagyonau vā | yaiḥ pūrvaṃ manuṣyabhūtaiḥ	cyutvA preta-loke upapatsyante tiryagyonO vA | yEH pUrvam manuzya-BUtEH
   śrutaṃ bhaviṣyati tasya bhagavato bhaiṣajyaguruvaidūryaprabhasya	Srutam Bavizyati tasya BagavataH BEzajya-guru-vEdUrya-praBasya
   tathāgatasya nāmadheyam, tatra teṣāṃ yamalokasthitānāṃ tiryagyonisthitānāṃ	taTAgatasya nAmaDeyam, tatra tezAm yama-loka-sTitAnAm tiryagyoni-sTitAnAm
   vā tasya tathāgatasya nāma su(saṃ?)mukhībhaviṣyati | saha smaraṇamātreṇa	vA tasya taTAgatasya nAma su(saM?)-muKI-Bavizyati | saha smaraNa-mAtreNa
   ataś cyutvā punar api manuṣyaloke upapatsyante, jātismarāś ca bhaviṣyanti	atas cyutvA punar api manuzya-loke upapatsyante, jAti-smarAH ca Bavizyanti
   | te te durgatibhayabhītā na bhūyaḥ kāmaguṇebhir arthikā bhaviṣyanti,	| te te durgati-Baya-BItAH na BUyas kAma-guNeBiH arTikAH Bavizyanti,
   dānābhiratāś ca bhaviṣyanti dānasya ca varṇavādinaḥ | sarvam api	dAna-aBiratAH ca Bavizyanti dAnasya ca varNa-vAdinaH | sarvam api
   parityāgenānupūrveṇa karacaraṇaśīrṣanayanaṃ ca māṃsaśoṇitaṃ (ca) yācakānām	parityAgena-AnupUrveNa kara-caraNa-SIrza-nayanam ca mAMsa-SoNitam (ca) yAcakAnAm
   anupradāsyanti, prāgeva anyaṃ dhanaskandham ||	anupradAsyanti, prAk-eva anyam Dana-skanDam ||
   punar aparaṃ mañjuśrīḥ santi sattvāḥ ye tathāgatānuddiśya śikṣāpadāni	punar aparam maQjuSrIH santi sattvAH ye taTAgatAn-uddiSya SikzA-padAni
   dhārayanti, te śīlavipattim āpadyante, dṛṣṭivipattim ācāravipattiṃ vā	DArayanti, te SIla-vipattim Apadyante, dRzwi-vipattim AcAra-vipattim vA
   kadācid āpadyante | śīlavipannā ye punaḥ śīlavanto bhavanti, śīlaṃ	kadAcid Apadyante | SIla-vipannAH ye punar SIlavantaH Bavanti, SIlam
   rakṣanti, na punar bahuśrutaṃ paryeṣyanti, na ca tathāgatabhāṣitānāṃ	rakzanti, na punar bahu-Srutam paryezyanti, na ca taTAgata-BAzitAnAm
   gambhīram artham ājānanti | ye ca punar buhuśrutāḥ, te ādhimānikā	gamBIram arTam AjAnanti | ye ca punar buhuSrutAH, te ADimAnikA
   bhaviṣyanti mānastabdhāḥ, pareṣām īrṣyāparāyaṇāḥ saddharmam avamanyante	Bavizyanti mAna-stabDAH, parezAm IrzyA-parAyaNAH sadDarmam avamanyante
   pratikṣipanti | mārapakṣikās te tādṛḥā mohapuruṣāḥ svayaṃ	pratikzipanti | mAra-pakzikAH te tAdRHAH moha-puruzAH svayam
   kumārgapratipannāḥ | anyāni cānekāni sattvakoṭiniyutaḥatasahasrāṇi	kumArga-pratipannAH | anyAni ca-anekAni sattva-kowi-niyuta-Hata-sahasrANi
   mahāprapāte prapātayanti | teṣām evaṃrūpāṇāṃ sattvānāṃ bhūyiṣṭhena	mahA-prapAte prapAtayanti | tezAm evaMrUpANAm sattvAnAm BUyizWena
   narakavāsagatir bhaviṣyati | tatra (BhgSū, Vaidya 168) yais tasya	naraka-vAsa-gatiH Bavizyati | tatra (Bhj-SU, VEdyaH 168) yEH tasya
   bhagavato bhaiṣajyaguruvaidūryaprabhasya tathāgatasya nāmadheyaṃ ḥrutaṃ	BagavataH BEzajya-guru-vEdUrya-praBasya taTAgatasya nAmaDeyam Hrutam
   bhaviṣyanti, teṣāṃ tatra narake sthitānāṃ buddhānubhāvena tasya	Bavizyanti, tezAm tatra narake sTitAnAm budDa-anuBAvena tasya
   tathāgatasya nāmadheyaṃ sumukhībhaviṣyati | te tataḥ cyutvā punar api	taTAgatasya nAmaDeyam sumuKIBavizyati | te tatas cyutvA punar api
   manuṣyaloke upapatsyante samyagdṛṣṭisaṃpannā vīryavantaḥ kalyāṇāḥayāḥ | te	manuzya-loke upapatsyante samyak-dRzwi-saMpannAH vIryavantaH kalyANa-AHayAH | te
   gṛhān utsṛjya tathāgataḥāsane pravrajitvā ānupūrveṇa bodhisattvacārikāṃ	gRhAn utsRjya taTAgataHa-Asane pravrajitvA AnupUrveNa boDisattva-cArikAm
   paripūrayiṣyanti ||	paripUrayizyanti ||
   punar aparaṃ mañjuśrīḥ santi sattvāḥ ye ātmano varṇaṃ bhāṣante matsariṇaḥ,	punar aparam maQjuSrIH santi sattvAH ye AtmanaH varNam BAzante matsariNaH,
   pareṣām avarṇam uccārayanti | ātmotkarṣakaparapaṃsakāḥ sattvāḥ	parezAm avarNam uccArayanti | Atma-utkarzaka-parapaMsakAH sattvAH
   parasparasatkṛtvāḥ tryapāyeṣu bahūni varṣasahasrāṇi duḥkham anubhaviṣyanti	paraspara-satkRtvAH tri-apAyezu bahUni varza-sahasrANi duHKam anuBavizyanti
   | te anekavarṣasahasrāṇām atyayena tataś cyutvā gavāśvoṣṭragardabhādiṣu	| te aneka-varza-sahasrANAm atyayena tatas cyutvA gavASva-uzwra-gardaBa-Adizu
   tiryagyoniṣu upapadyante | kaśādaṇḍaprahāreṇa tāḍitāḥ	tiryagyonizu upapadyante | kaSA-daNxa-prahAreNa tAxitAH
   kṣuttarṣapīḍitaśarīrā mahāntaṃ bhāraṃ vahamānā mārgaṃ gacchanti | yadi	kzuD-tarza-pIxita-SarIrAH mahAntam BAram vahamAnAH mArgam gacCanti | yadi
   kadācit manuṣyajanmapratilābhaṃ pratilapsyante, te nityakālaṃ nīcakuleṣu	kadAcid manuzya-janma-pratilABam pratilapsyante, te nitya-kAlam nIca-kulezu
   upapatsyante, dāsatve ca paravaśagatā bhaviṣyanti | yaiḥ pūrvaṃ	upapatsyante, dAsa-tve ca para-vaSa-gatAH Bavizyanti | yEH pUrvam
   manuṣyabhūtais tasya bhagavato bhaiṣajyaguruvaidūryaprabhasya tathāgatasya	manuzya-BUtEH tasya BagavataH BEzajya-guru-vEdUrya-praBasya taTAgatasya
   nāmadheyaṃ śrutaṃ bhaviṣyati, te tena kuśalamūlena sarvaduḥkhebhyaḥ	nAmaDeyam Srutam Bavizyati, te tena kuSala-mUlena sarva-duHKeByaH
   parimokṣyante, tīkṣṇendriyāś ca bhaviṣyanti paṇḍitā vyaktā meghāvinaś ca |	parimokzyante, tIkzNa-indriyAH ca Bavizyanti paNxitAH vyaktAH meGAvinaH ca |
   kuśalaparyeṣṭyabhiyuktā nityaṃ ca kalyāṇamitrasamavadhānaṃ lapsyante,	kuSala-paryezwI-aBiyuktAH nityam ca kalyANa-mitra-samavaDAnam lapsyante,
   mārapāśam ucchidya avidyāṇḍakośaṃ bhindanti, kleśanadīm ucchoṣayanti,	mAra-pASam ucCidya avidyA-aNxa-koSam Bindanti, kleSa-nadIm ucCozayanti,
   jātijarāvyādhimaraṇabhayaśokaparidevaduḥkhadaurmanasyopāyāsebhyaḥ	jAti-jarA-vyADi-maraNa-Baya-Soka-parideva-duHKa-dOrmanasya-upAyAseByaH
   parimucyanti ||	parimucyanti ||
   punar aparaṃ mañjuśrīḥ santi sattvāḥ ye paiśunyābhiratāḥ sattvānāṃ	punar aparam maQjuSrIH santi sattvAH ye pESunya-aBiratAH sattvAnAm
   parasparaṃ kalahavigrahavivādān kārāpayanti | te parasparaṃ vigrahacittāḥ	parasparam kalaha-vigraha-vivAdAn kArApayanti | te parasparam vigraha-cittAH
   sattvā nānāvidhamakuśalam abhisaṃskurvanti kāyena vācā manasā, anyonyam	sattvAH nAnAviDam-akuSalam aBisaMskurvanti kAyena vAcA manasA, anyonyam
