   akāyo nirguṇo hyātmā Dka_52c	akAyaH nirguNaH hi-AtmA DkaH-_52c
   kuhakaṃ mantrajālaṃ ca Dka_17a	kuhakam mantra-jAlam ca Dke-_17a
   kṛtārthaḥ paramārthataḥ Dka_7b	kRtArTaH paramArTataH DkaH-_7b
   kṛtyajātaṃ tu bandhanam Dka_65b	kRtya-jAtam tu banDanam DkaH-_65b
   kṛpayā kathayasva me Dka_1d	kRpayA kaTayasva me DkaH-_1d
   kṛmikīṭapataṅgāśca Dka_69a	kRmi-kIwa-pataFgAH-ca Dke-_69a
   kevalaṃ jñānamityuktaṃ Dka_18c	kevalam jQAnam-iti-uktam DkaH-_18c
   ko na rajyeta paṇḍitaḥ Dka_11d	kaH na rajyeta paNxitaH DkaH-_11d
   kriyāścaryāḥ prakīrtitāḥ Dka_25b	kriyAH-caryAH prakIrtitAH DkaH-_25b
   kṣetrapīṭhe ca sandehād Dka_68c	kzetra-pIWe ca sandehAt DkaH-_68c
   kṣetrapīṭhe ca sevanam Dka_63b	kzetra-pIWe ca sevanam DkaH-_63b
   gandharvayakṣāpsarasāṃ gaṇaiśca Dka_56b	ganDarva-yakza-apsarasAm gaNEH-ca Dke-_56b
   gandhaṃ puṣpaṃ phalaṃ dhūpaṃ Dka_82c	ganDam puzpam Palam DUpam DkaH-_82c
   guhāśayaṃ niṣkalamaprapañcam Dka_59b	guhA-ASayam nizkalam-aprapaQcam DkaH-_59b
   grāhyābhāvānmanastadvat Dka_30c	grAhya-aBAvAt-manaH-tadvat DkaH-_30c
   cakrāṇi nāḍayaḥ padma- Dka_16a	cakrANi nAxayaH padma Dke-_16a
   cañcalaṃ niścalaṃ kuryāt Dka_35c	caQcalam niScalam kuryAt DkaH-_35c
   caladvāyusamaṃ cittaṃ Dka_7c	calat-vAyu-samam cittam DkaH-_7c
   caladvāyusamaṃ cittaṃ Dka_37c	calat-vAyu-samam cittam DkaH-_37c
   cālayanna kathaṃcana Dka_34b	cAlayat-na kaTaMcana DkaH-_34b
   cittād buddherahaṅkṛteḥ Dka_32b	cittAt budDeH-ahaFkRteH DkaH-_32b
   citte calati saṃsāro Dka_10a	citte calati saMsAraH Dke-_10a
   cidrūpamātmānamananyasiddhim Dka_54d	cit-rUpam-AtmAnam-ananya-sidDim DkaH-_54d
   cidrūpaṃ yannirantaram Dka_47b	cit-rUpam yat-nirantaram DkaH-_47b
   cidrūpaṃ vyāpakaṃ vinā Dka_67d	cit-rUpam vyApakam vinA DkaH-_67d
   cintayan labhate citam Dka_32d	cintayan laBate citam DkaH-_32d
   cinmātrālokamadvayam Dka_15b	cit-mAtra-Alokam-advayam DkaH-_15b
   caitanyaṃ śaktirucyate Dka_13d	cEtanyam SaktiH-ucyate DkaH-_13d
   caitanyaṃ sakalaṃ smṛtam Dka_13b	cEtanyam sakalam smRtam DkaH-_13b
   caitanyaṃ sarvatomukham Dka_28d	cEtanyam sarvatomuKam DkaH-_28d
   jagannātho maheśvaraḥ Dka_50b	jagannATaH maheSvaraH Dke-_50b
   janmamṛtyuvivarjitam Dka_42d	janma-mRtyu-vivarjitam DkaH-_42d
   jāyatāṃ vā na jāyatām Dka_80b	jAyatAm vA na jAyatAm DkaH-_80b
   jāyante bandhahetavaḥ Dka_19b	jAyante banDa-hetavaH DkaH-_19b
   jīvanmuktastadā yogī Dka_44c	jIvanmuktaH-tadA yogI DkaH-_44c
   jñānamevaṃ varārohe Dka_61a	jQAnam-evam varArohe Dke-_61a
   jñānācārau varārohe Dka_2a	jQAna-AcArO varArohe Dke-_2a
   jñānino dhvastakalmaṣam Dka_2d	jQAninaH Dvasta-kalmazam DkaH-_2d
   jñānenaiva yathā mokṣas Dka_79a	jQAnena-eva yaTA mokzaH DkaH-_79a
   jñānaikarūpo jagadekabandhuḥ Dka_58b	jQAna-eka-rUpaH jagat-ekabanDuH DkaH-_58b
   jñānotpattinimittaṃ tu Dka_25a	jQAna-utpatti-nimittam tu Dke-_25a
   jñānotsāhaparo bhūyāt Dka_4c	jQAna-utsAha-paraH BUyAt DkaH-_4c
   jvarabhūtagrahāveśa- Dka_72a	jvara-BUta-graha-AveSa Dke-_72a
   tacchivo 'hamiti dhyātvā Dka_47c	tat-SivaH aham-iti DyAtvA DkaH-_47c
   tato nirvāṇameṣyati Dka_27d	tatas nirvANam-ezyati DkaH-_27d
   tatkṛtsnamevāmṛtarūpamanyac Dka_54c	tad-kRtsnam-eva-amRta-rUpam-anyat DkaH-_54c
   tattadrūpaṃ svakaṃ dhyāyed Dka_36c	tad-tad-rUpam svakam DyAyet DkaH-_36c
   tatpuṇyaṃ vyavasāyinām Dka_8d	tat-puNyam vyavasAyinAm DkaH-_8d
   tat sarvaṃ kathitaṃ mayā Dka_84d	tat sarvam kaTitam mayA DkaH-_84d
   tathāivātyantikaṃ bhavet Dka_11b	taTA-iva-Atyantikam Bavet DkaH-_11b
   tathā devi vanaspatīn Dka_69b	taTA devi vanaspatIn Dke-_69b
   tathāpi bhogamicchantaḥ Dka_79c	taTA-api Bogam-icCantaH DkaH-_79c
   tathāpi mucyate dehī Dka_80c	taTA-api mucyate dehI DkaH-_80c
   tathā prakāśitaṃ viśvaṃ Dka_14a	taTA prakASitam viSvam Dke-_14a
   tathā siddhirnirarthikā Dka_79b	taTA sidDiH-nirarTikA DkaH-_79b
   tathaiva te vimucyante Dka_83c	taTA-eva te vimucyante DkaH-_83c
   tadabhyāsaparo bhavet Dka_41d	tad-aByAsa-paraH Bavet DkaH-_41d
   tadā bhavati śāntātmā Dka_51c	tadA Bavati SAnta-AtmA DkaH-_51c
   tadeva janmasāphalyaṃ Dka_37a	tat-eva janma-sAPalyam Dke-_37a
   tadeva tīrthaṃ dānaṃ ca Dka_9a	tat-eva tIrTam dAnam ca Dke-_9a
   tadgatirjāyate yasmān Dka_21c	tad-gatiH-jAyate yasmAt DkaH-_21c
   tadvat kuryānnirāśrayam Dka_35b	tadvat kuryAt-nirASrayam DkaH-_35b
   tapobhirugrairvividhaiśca dānair Dka_57a	tapoBiH-ugrEH-viviDEH-ca dAnEH DkaH-_57a
   tasmāccittaṃ sthiraṃ kuryāt Dka_10c	tasmAt-cittam sTiram kuryAt DkaH-_10c
   tasmātsadā brahmamayo viśokaḥ Dka_53d	tasmAt-sadA brahma-mayaH viSokaH DkaH-_53d
   taṃ na paśyāmi yo mama Dka_49d	tam na paSyAmi yaH mama DkaH-_49d
   tīrthayātrā vratāni ca Dka_63d	tIrTa-yAtrA vratAni ca DkaH-_63d
   te yānti paramaṃ sthānaṃ Dka_42c	te yAnti paramam sTAnam DkaH-_42c
   te smṛtāḥ śūnyavedinaḥ Dka_26d	te smRtAH SUnya-vedinaH DkaH-_26d
   tyajetsarvaṃ śanaiḥ śanaiḥ Dka_77d	tyajet-sarvam SanEs SanEs DkaH-_77d
   devatābījamaṇḍalam Dka_16b	devatA-bIja-maNxalam DkaH-_16b
   devā devyastathā cānye Dka_43a	devAH devyaH-taTA ca-anye DkaH-_43a
   deveśa jñānamācāraṃ Dka_1c	deveSa jQAnam-AcAram DkaH-_1c
   deśajātyādisambaddhān Dka_48a	deSa-jAti-Adi-sambadDAn Dke-_48a
   dehatyāgād vimucyate Dka_44d	dehatyAgAt vimucyate DkaH-_44d
   dehāt sūkṣmagatāt prāṇāc Dka_32a	dehAt sUkzma-gatAt prANAt Dke-_32a
   dehād bhinnaṃ tathaiva ca Dka_28b	dehAt Binnam taTA-eva ca DkaH-_28b
   dvandvatyāgāt parodayaḥ Dka_44b	dvandva-tyAgAt para-udayaH DkaH-_44b
   dharmādharmaphalaṃ nāsti Dka_64a	Darma-aDarma-Palam na-asti Dke-_64a
   dharmādharmau ca tatphalam Dka_43b	Darma-aDarmO ca tad-Palam DkaH-_43b
   dhārayitvā mano hṛdi Dka_41b	DArayitvA manaH hRdi DkaH-_41b
   dhyānaṃ samāsthāya padaṃ caturthaṃ Dka_55c	DyAnam samAsTAya padam caturTam DkaH-_55c
   dhyāyanti māmeva vimuktikāmāḥ Dka_55d	DyAyanti mAm-eva vimukti-kAmAH DkaH-_55d
   dhyeyaṃ naiva kadācana Dka_16d	Dyeyam na-eva kadAcana DkaH-_16d
   dhriyate yena niścalam Dka_7d	Driyate yena niScalam DkaH-_7d
   na kiñciccintayet tatra Dka_34c	na kiQcid-cintayet tatra DkaH-_34c
   na kuryāt kṣudrakarmāṇi Dka_72c	na kuryAt kzudra-karmANi DkaH-_72c
   na japo dhyānameva ca Dka_18b	na japaH DyAnam-eva ca DkaH-_18b
   na taṃ paśyāmi yasyāhaṃ Dka_49c	na tam paSyAmi yasya-aham DkaH-_49c
   na tithirlaukikakriyā Dka_64b	na tiTiH-lOkika-kriyA DkaH-_64b
   na teṣāṃ jāyate bodhaḥ Dka_3c	na tezAm jAyate boDaH DkaH-_3c
   na nāśayed budho jīvān Dka_69c	na nASayet buDaH jIvAn DkaH-_69c
   na madhyaṃ nāpyadhaḥ kvacit Dka_20b	na maDyam na-api-aDas kvacid DkaH-_20b
   na madhyaṃ nāpyadhaḥ kvacit Dka_38b	na maDyam na-api-aDas kvacid DkaH-_38b
   na mūlotpāṭanaṃ kuryāt Dka_70a	na mUla-utpAwanam kuryAt Dke-_70a
   na vai kāryo manīṣiṇā Dka_45b	na vE kAryaH manIziNA DkaH-_45b
   na sthūlasūkṣmo na ca śūnyarūpo Dka_58a	na sTUla-sUkzmaH na ca SUnya-rUpaH Dke-_58a
   na snānaṃ na japaḥ pūjā Dka_62a	na snAnam na japaH pUjA Dke-_62a
   nātra kiñcidbahirnāntaṃ Dka_20a	na-atra kiQcid-bahis-na-antam Dke-_20a
   nātra pūjā namaskāro Dka_18a	na-atra pUjA namaskAraH Dke-_18a
   nādeyaheyo hyahamapratarkyas Dka_53c	nAdeya-heyaH hi-aham-apratarkyaH DkaH-_53c
   nārcanaṃ pitṛkāryādi Dka_63c	na-arcanam pitR-kArya-Adi DkaH-_63c
   nāsti karma svabhāvataḥ Dka_22b	na-asti karma svaBAvataH DkaH-_22b
   nāsti loko na laukikaḥ Dka_22d	na-asti lokaH na lOkikaH DkaH-_22d
   nāhamanyasya kasyacit Dka_49b	na-aham-anyasya kasyacid DkaH-_49b
   nidrayā smaraṇādinā Dka_33b	nidrayA smaraNa-AdinA DkaH-_33b
   nidrāyāṃ bodhayeccittaṃ Dka_39a	nidrAyAm boDayet-cittam Dke-_39a
   niyamo 'pi na tasyāsti Dka_63a	niyamaH api na tasya-asti DkaH-_63a
   nirañjanaṃ niṣpratimaṃ nirīśam Dka_59c	niraQjanam nizpratimam nirISam DkaH-_59c
   nirantaro nirmala īśvaro 'haṃ Dka_58c	nirantaraH nirmalaH ISvaraH aham DkaH-_58c
   nirālambaprakāśitam Dka_23b	nirAlamba-prakASitam DkaH-_23b
   nirālambamidaṃ kṛtvā Dka_23c	nirAlambam-idam kRtvA DkaH-_23c
   nirālambamidaṃ sarvaṃ Dka_23a	nirAlambam-idam sarvam Dke-_23a
   nirālambo bhaviṣyati Dka_23d	nirAlambaH Bavizyati DkaH-_23d
   nirālokaṃ tu cintayet Dka_21d	nirAlokam tu cintayet DkaH-_21d
   nirāśrayaṃ sadā cittaṃ Dka_40a	nirASrayam sadA cittam Dke-_40a
   nirindhano yathā vahniḥ Dka_30a	nirinDanaH yaTA vahniH Dke-_30a
   nirbhayo vigataspṛhaḥ Dka_74b	nirBayaH vigata-spRhaH DkaH-_74b
   nirmamaḥ karuṇopetaḥ Dka_5a	nirmamaH karuNA-upetaH Dke-_5a
   nivṛtto viṣayajñānāt Dka_12a	nivRttaH vizaya-jQAnAt Dke-_12a
   nivedayanti ye kecid Dka_83a	nivedayanti ye kecid Dke-_83a
   niścalaṃ dhriyate hi yat Dka_37d	niScalam Driyate hi yat DkaH-_37d
   niścalaṃ na tu cālayet Dka_35d	niScalam na tu cAlayet DkaH-_35d
   niścalo mokṣa eva tu Dka_10b	niScalaH mokzaH eva tu DkaH-_10b
   niṣkarmaṇi pare tattve Dka_11c	nizkarmaNi pare tattve DkaH-_11c
   niṣkalajñānatatparaḥ Dka_12b	nizkala-jQAna-tatparaH DkaH-_12b
   niṣkalaṃ jñānamucyate Dka_14d	nizkalam jQAnam-ucyate DkaH-_14d
   niṣkalaṃ niravasthitam Dka_42b	nizkalam niravasTitam DkaH-_42b
   niṣprapañcaṃ vicintayet Dka_25d	nizprapaQcam vicintayet DkaH-_25d
   niḥśaṅko vigataspṛhaḥ Dka_4b	niHSaFkaH vigata-spRhaH DkaH-_4b
   naitasyāsti maheśvari Dka_62d	na-etasya-asti maheSvari DkaH-_62d
   naiva gṛhṇīta sādhakaḥ Dka_66d	na-eva gRhNIta sADakaH DkaH-_66d
   naivordhvaṃ dhārayeccittaṃ Dka_38a	na-eva-UrDvam DArayet-cittam Dke-_38a
   pakṣadvayaparityāge Dka_39c	pakza-dvaya-parityAge DkaH-_39c
   pañcabhūtātmako dehaḥ Dka_81a	paQcaBUta-AtmakaH dehaH Dke-_81a
   paṭhyate hyaja īśvaraḥ Dka_52b	paWyate hi-ajaH ISvaraH DkaH-_52b
   paṇḍitaḥ sa mahābhāgaḥ Dka_7a	paNxitaH sa mahABAgaH DkaH-_7a
   patiṃ vijñāya nirmalam Dka_80d	patim vijQAya nirmalam DkaH-_80d
   pattracchedaṃ vivarjayet Dka_70b	pattra=-Cedam vivarjayet DkaH-_70b
   pade pade so 'hamiti prapaśyet Dka_60b	pade pade saH aham-iti prapaSyet DkaH-_60b
   paramārthamatiryataḥ Dka_69d	parama-arTa-matiH-yatas DkaH-_69d
   parayogapravartakam Dka_15d	para-yoga-pravartakam DkaH-_15d
   parānandamarūpaṃ tu Dka_29c	para-Anandam-arUpam tu DkaH-_29c
   paśyati jñānacakṣuṣā Dka_51b	paSyati jQAnacakzuzA DkaH-_51b
   paśyannānandabhāgbhavet Dka_29d	paSyan=-Ananda-BAj-Bavet DkaH-_29d
   pāṇḍityamidameva hi Dka_37b	pANxityam-idam-eva hi DkaH-_37b
   pātālāt śaktiparyantaṃ Dka_26a	pAtAlAt Sakti-paryantam Dke-_26a
   pātālādi rasāyanam Dka_66b	pAtAla-Adi rasAyanam DkaH-_66b
   pitā ca mātā ca pitāmahaśca Dka_55b	pitA ca mAtA ca pitAmahaH-ca DkaH-_55b
   puṇyapāpe samāpnuyuḥ Dka_84b	puNya-pApe samApnuyuH DkaH-_84b
   puṣpāṇāṃ ca nikṛntanam Dka_70d	puzpANAm ca nikRntanam DkaH-_70d
   pūjayanti ca ye narāḥ Dka_82b	pUjayanti ca ye narAH DkaH-_82b
   prajñayā parayā budhaḥ Dka_10d	prajQayA parayA buDaH DkaH-_10d
   pratyakṣeṇāpi labhyeran Dka_66c	pratyakzeNa-api laByeran DkaH-_66c
   praviśanti yato mokṣaṃ Dka_2c	praviSanti yatas mokzam DkaH-_2c
   prāṇāyāmādi dhāraṇam Dka_17b	prANAyAma-Adi DAraNam DkaH-_17b
   baddhaḥ syādanyathā pumān Dka_50d	badDaH syAt-anyaTA pumAn DkaH-_50d
   bahirāhitacittānāṃ Dka_19a	bahis-Ahita-cittAnAm Dke-_19a
   bahiścittaṃ nivāryaiva Dka_19c	bahis-cittam nivArya-eva DkaH-_19c
   bījakośakrimiryathā Dka_24d	bIja-koSa-krimiH-yaTA DkaH-_24d
   bodhayitvā prayatnena Dka_33c	boDayitvA prayatnena DkaH-_33c
   brahmādibhirdevamanuṣyanāgair Dka_56a	brahma-AdiBiH-deva-manuzya-nAgEH DkaH-_56a
   bhagnaṃ yaiḥ śūnyamantreṇa Dka_26c	Bagnam yEH SUnya-mantreNa DkaH-_26c
   bhajet kālottaraṃ devi Dka_5c	Bajet kAla-uttaram devi DkaH-_5c
   bhāvānetān parityajya Dka_48c	BAvAn-etAn parityajya DkaH-_48c
   bhūtapīḍāṃ na kurvīta Dka_70c	BUta-pIxAm na kurvIta DkaH-_70c
   bhūtāni cāhaṃ sthirajaṅgamāni Dka_57c	BUtAni ca-aham sTira-jaFgamAni DkaH-_57c
   mano 'vasthāvinirmuktaṃ Dka_40c	manaH avasTA-vinirmuktam DkaH-_40c
   markaṭādapi cañcalam Dka_27b	markawAt-api caQcalam DkaH-_27b
   māmeva sarve pratipūjayanti Dka_56d	mAm-eva sarve pratipUjayanti DkaH-_56d
   māmeva sarve pratipūjayanti Dka_57b	mAm-eva sarve pratipUjayanti DkaH-_57b
   māraṇoccāṭanādīni Dka_71c	mAraNa-uccAwana-AdIni DkaH-_71c
   muktibījaṃ tadākhyātaṃ Dka_15c	mukti-bIjam tat-AKyAtam DkaH-_15c
   muktimārgasya darśanam Dka_1b	mukti-mArgasya darSanam DkaH-_1b
   muktimārgābhikāṅkṣiṇaḥ Dka_83d	mukti-mArga-aBikAFkziNaH DkaH-_83d
   mumukṣuryogatatparaḥ Dka_5d	mumukzuH-yoga-tatparaH DkaH-_5d
   mokṣamakṣayamicchatā Dka_17d	mokzam-akzayam-icCatA DkaH-_17d
   mohikā mūrcchikā māyā Dka_31a	mohikA mUrcCikA mAyA DkaH-_31a
   yajjñānaṃ jāyate spaṣṭaṃ Dka_41c	yat-jQAnam jAyate spazwam DkaH-_41c
   yajjñānācaraṇaṃ pṛṣṭaṃ Dka_84c	yat-jQAna-AcaraNam pRzwam DkaH-_84c
   yajñairanekairahameva pūjyo Dka_56c	yajQEH-anekEH-aham-eva pUjyaH DkaH-_56c
   yathātmani tathā pare Dka_75b	yaTA-Atmani taTA pare DkaH-_75b
   yadā sthiraṃ bhaveccittaṃ Dka_34a	yadA sTiram Bavet-cittam Dke-_34a
   yadyadālokya yo jantuḥ Dka_21a	yat-yat-Alokya yaH jantuH DkaH-_21a
   yadyadvyoma sunirmalam Dka_36b	yat-yat-vyoma su-nirmalam DkaH-_36b
   yā citirnirmalācalā Dka_46b	yA citiH-nirmala-acalA DkaH-_46b
   yāvanti cānyānyahameva tāni Dka_57d	yAvanti ca-anyAni-aham-eva tAni DkaH-_57d
   ye cānye kuladharmikāḥ Dka_65d	ye ca-anye kula-DarmikAH DkaH-_65d
   ye dhyāyanti paraṃ śūnyaṃ Dka_42a	ye DyAyanti param SUnyam Dke-_42a
   yena kena viśeṣeṇa Dka_68a	yena kena viSezeNa Dke-_68a
   yenopāyena badhyeta Dka_9c	yena-upAyena baDyeta DkaH-_9c
   yeṣāṃ bodhena saṃjātaṃ Dka_3a	yezAm boDena saMjAtam Dke-_3a
   yogaṃ sālambanaṃ tyaktvā Dka_25c	yogam sa-Alambanam tyaktvA DkaH-_25c
   yo bhāvatastiṣṭhati niṣprakampaḥ Dka_60c	yaH BAvataH-tizWati nizprakampaH DkaH-_60c
   yo 'sau sarveṣu śāstreṣu Dka_52a	yaH asO sarvezu SAstrezu DkaH-_52a
   rāgaṃ mātsaryameva ca Dka_77b	rAgam mAtsaryam-eva ca Dke-_77b
   rūpamityādikaṃ kiñcid Dka_16c	rUpam-iti-Adikam kiQcid DkaH-_16c
   labhate mokṣamakṣayam Dka_12d	laBate mokzam-akzayam DkaH-_12d
   lokācāraṃ ca sarvaśaḥ Dka_64d	loka-AcAram ca sarvaSas DkaH-_64d
   loko 'yaṃ śaṅkarātmakaḥ Dka_81d	lokaH ayam SaFkara-AtmakaH DkaH-_81d
   varjayedyadi kautukam Dka_68d	varjayet-yadi kOtukam DkaH-_68d
   varṇāśramasamanvitān Dka_48b	varNa-ASrama-samanvitAn DkaH-_48b
   vaśyākarṣaṇamohanam Dka_72b	vaSya-AkarzaNa-mohanam DkaH-_72b
   vāṅmanaḥkāyakarmabhiḥ Dka_83b	vAc-manaH-kAya-karmaBiH DkaH-_83b
   vāyubhiścalanaṃ manaḥ Dka_9d	vAyuBiH-calanam manaH DkaH-_9d
   vikṣiptaṃ śamayet punaḥ Dka_39b	vikziptam Samayet punar DkaH-_39b
   vijñāptimātro hi sadā viśuddhaḥ Dka_53a	vijQApti-mAtraH hi sadA viSudDaH Dke-_53a
   vijñeyaṃ muktilakṣaṇam Dka_40d	vijQeyam mukti-lakzaNam DkaH-_40d
   vidveṣastambhane tathā Dka_71d	vidveza-stamBane taTA DkaH-_71d
   vindan loke na sīdati Dka_19d	vindan loke na sIdati DkaH-_19d
   vivādaṃ lokagoṣṭhīṃ ca Dka_75c	vivAdam loka-gozWIm ca DkaH-_75c
   viṣaye lolupaṃ cittaṃ Dka_27a	vizaye lolupam cittam Dke-_27a
   veditavyaṃ na kiñcana Dka_18d	veditavyam na kiQcana DkaH-_18d
   vairāgyeṇa vapustyāgo Dka_45a	vErAgyeNa vapuH-tyAgaH Dke-_45a
   vyāpakaṃ yo na bhāvayet Dka_24b	vyApakam yaH na BAvayet DkaH-_24b
   vyāptaṃ caiva tu nirmalam Dka_36d	vyAptam ca-eva tu nirmalam DkaH-_36d
   vyomākāraṃ mahāśūnyaṃ Dka_24a	vyoma-AkAram mahA-SUnyam DkaH-_24a
   śaktidhyānamudāhṛtam Dka_14b	Sakti-DyAnam-udAhRtam DkaH-_14b
   śāstrakoṭiśatairapi Dka_3d	SAstra-kowi-SatEH-api DkaH-_3d
   śāstragoṣṭhīṃ na kurvīta Dka_76a	SAstra-gozWIm na kurvIta Dke-_76a
   śivastatraiva tiṣṭhati Dka_81b	SivaH-tatra-eva tizWati DkaH-_81b
   śivādyavaniparyanto Dka_81c	Siva-Adi-avani-paryantaH DkaH-_81c
   śraddaddhāno nirākulaḥ Dka_4d	SraddadDAnaH nirAkulaH DkaH-_4d
   sa indraḥ sa ṣaḍānanaḥ Dka_6b	saH indraH sa zaxAnanaH DkaH-_6b
   sa upāyo mimokṣasya Dka_8a	saH upAyaH mimokzasya Dke-_8a
   sa guruḥ sarvadevāśca Dka_6c	sa guruH sarva-devAH-ca DkaH-_6c
   sa tapaśca na saṃśayaḥ Dka_9b	sa tapaH-ca na saMSayaH DkaH-_9b
   sadā kuryānnirāśrayam Dka_38d	sadA kuryAt-nirASrayam DkaH-_38d
   sadābhibhūtaye cittaṃ Dka_33a	sadA-aBiBUtaye cittam Dke-_33a
   sadupāttaguṇastu saḥ Dka_8b	sat-upAtta-guNaH-tu saH DkaH-_8b
   sanātanaṃ brahma nirantaraṃ yat Dka_60a	sanAtanam brahma nirantaram yat Dke-_60a
   santataṃ janavarjitaḥ Dka_78b	santatam jana-varjitaH DkaH-_78b
   santyajetsarvakarmāṇi Dka_64c	santyajet-sarva-karmANi DkaH-_64c
   sabāhyābhyantaraṃ priye Dka_29b	sa-bAhya-aByantaram priye DkaH-_29b
   sa brahmabhūto 'mṛtatāmupaiti Dka_60d	sa brahma-BUtaH amRta-tAm-upEti DkaH-_60d
   sa brahmā sa śivo viṣṇuḥ Dka_6a	sa brahmA sa SivaH vizNuH Dke-_6a
   samadṛṣṭistu kartavyā Dka_75a	sama-dRzwiH-tu kartavyA DkaH-_75a
   samanindāpraśaṃsaśca Dka_74c	sama-nindA-praSaMsaH-ca DkaH-_74c
   samayācāraniḥśeṣān Dka_65a	samaya-AcAra-niHSezAn Dke-_65a
   samo 'mitre ca mitre ca Dka_73a	samaH amitre ca mitre ca Dke-_73a
   samo loṣṭe ca kāñcane Dka_73b	samaH lozwe ca kAQcane Dke-_73b
   samprāpte naiva cālayet Dka_39d	samprApte na-eva cAlayet DkaH-_39d
   sa yogī sa tapodhanaḥ Dka_6d	sa yogI sa tapoDanaH DkaH-_6d
   sarvajñaḥ san prakāśate Dka_78d	sarvajQaH san prakASate DkaH-_78d
