   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   adatte 'rthe 'khilaṃ bandhaṃ Brh_1,10.42c	adatte arTe aKilam banDam Brh_1,10.42c
   adarśanāśrāvitābhyāṃ Brh_1,6.56c	adarSana-aSrAvitAByAm Br=-_1,6.56c
   adarśayaṃ sa taṃ tasmai Brh_1,10.77c	adarSayam sa tam tasmE Br=-_1,10.77c
   aduṣṭaṃ dūṣayan vādī Brh_1,5.21c	aduzwam dUzayan vAdI Br=-_1,5.21c
   aduṣṭās te tu yad brūyuḥ Brh_1,7.51a	aduzwAH te tu yat brUyuH Brh_1,7.51a
   aduṣṭās te tu yad brūyuḥ Brh_1,19.39a	aduzwAH te tu yat brUyuH Brh_1,19.39a
   adṛṣṭāśrāvitaṃ ca yat Brh_1,6.47b	adRzwa-aSrAvitam ca yat Br=-_1,6.47b
   adeyadeyadattānām Brh_1,14.1c	adeya-deya-dattAnAm Br=-_1,14.1c
   adeyaṃ cocyate 'dhunā Brh_1,10.102d	adeyam ca-ucyate aDunA Br=-_1,10.102d
   adeyaṃ tat sutasya tu Brh_1,10.114d	adeyam tat sutasya tu Br=-_1,10.114d
   adeyaṃ pratyanantaram Brh_1,11.10d	adeyam pratyanantaram Br=-_1,11.10d
   adeyaṃ syād ato 'nyathā Brh_1,14.7d	adeyam syAt atas anyaTA Br=-_1,14.7d
   adeyādikam ākhyātaṃ Brh_1,15.1a	adeya-Adikam AKyAtam Brh_1,15.1a
   adeśakāladattāni Brh_1,8.16a	adeSa-kAla-dattAni Br=-_1,8.16a
   adbhiḥ paryuṣitāni ca Brh_1,8.56d	adBiH paryuzitAni ca Br=-_1,8.56d
   adveṣalobhā yad brūyus Brh_1,3.49c	adveza-loBAH yat brUyuH Br=-_1,3.49c
   adhamarṇavibhāvitam Brh_1,10.127d	aDamarNa-viBAvitam Br=-_1,10.127d
   adhamarṇo 'rthasidhyartham Brh_1,10.127a	aDamarNaH arTa-siDi-arTam Brh_1,10.127a
   adhamo bhāravāhaḥ syād Brh_1,15.12c	aDamaH BAravAhaH syAt Br=-_1,15.12c
   adharmataḥ pravṛttaṃ tu Brh_1,1.99a	aDarmataH pravRttam tu Br=-_1,1.99a
   adharme tu sa hīyate Brh_1,8.91d	aDarme tu sa hIyate Br=-_1,8.91d
   adharme saṃgṛhīte tu Brh_1,8.85c	aDarme saMgRhIte tu Br=-_1,8.85c
   adharmo 'sitapuṣpadhṛt Brh_1,8.87b	aDarmaH asita-puzpa-DRt Br=-_1,8.87b
   adhārmikāṃs tribhir nyāyair Brh_1,29.6a	aDArmikAn triBiH nyAyEH Brh_1,29.6a
   adhikaṃ labdhum arhati Brh_1,26.19d	aDikam labDum arhati Br=-_1,26.19d
   adhikāc chātayed arthān Brh_1,2.28c	aDikAt SAtayet arTAn Br=-_1,2.28c
   adhikā saṃprakalpitā Brh_1,10.12b	aDikA saMprakalpitA Br=-_1,10.12b
   adhiko draviṇādhike Brh_1,24.11d	aDikaH draviNa-aDike Br=-_1,24.11d
   adhiṣṭhātā ṛṇaṃ dāpyas Brh_1,10.119c	aDizWAtAH RNam dApyaH Br=-_1,10.119c
   adhyakṣaḥ sabhyasahitaḥ Brh_1,5.17c	aDyakzaH saBya-sahitaH Br=-_1,5.17c
   adhyāsanāt samārabhya Brh_1,7.28a	aDyAsanAt samAraBya Br=-_1,7.28a
   anakhasparśagocare Brh_1,8.75b	anaKa-sparSa-gocare Brh_1,8.75b
   anadeyās tu te sarve Brh_1,2.32c	anadeyAH tu te sarve Br=-_1,2.32c
   anantaraḥ sapiṇḍād yas Brh_1,26.110a	anantaraH sapiNxAt yaH Brh_1,26.110a
   anantaṃ tv agnihotriṇi Brh_1,14.12b	anantam tu agni-hotriNi Br=-_1,14.12b
   anantaṃ brahmavādini Brh_1,14.12d	anantam brahma-vAdini Br=-_1,14.12d
   anapatyasya dharmo 'yam Brh_1,26.108c	anapatyasya DarmaH ayam Brh_1,26.108c
   anapatyasya putrasya Brh_1,26.135a	anapatyasya putrasya Br=-_1,26.135a
   anapatyasya śuśrūṣur Brh_1,26.125a	anapatyasya SuSrUzuH Brh_1,26.125a
   anavasthā ca jāyate Brh_1,6.46d	anavasTA ca jAyate Br=-_1,6.46d
   anavasthāprasaṅgaḥ syān Brh_1,1.37c	anavasTA-prasaFgaH syAt Br=-_1,1.37c
   anaśvarāṇi dravyāṇi Brh_1,19.8a	anaSvarANi dravyANi Br=-_1,19.8a
   anākhyātaṃ vyavahitam Brh_1,11.2a	anAKyAtam vyavahitam Br=-_1,11.2a
   anācchedām anāhāryaṃ Brh_1,6.12c	anAcCedAm anAhAryam Br=-_1,6.12c
   anācchedyakarās teṣāṃ Brh_1,17.3a	anAcCedya-karAH tezAm Br=-_1,17.3a
   anācchedyam anāhāryaṃ Brh_1,6.22a	anAcCedyam anAhAryam Brh_1,6.22a
   anācchedyās tatas tu sā Brh_1,26.39d	anAcCedyAH tatas tu sA Br=-_1,26.39d
   anācchedyāḥ karās tebhyaḥ Brh_1,1.31a	anAcCedyAH karAH teByaH Br=-_1,1.31a
   anādeyo bhaved vādo Brh_1,1.135c	anAdeyaH Bavet vAdaH Br=-_1,1.135c
   anāpṛcchya tu gṛhṇāno Brh_1,22.25c	anApRcCya tu gRhNAnaH Brh_1,22.25c
   anāmnātāni kāryāṇi Brh_1,29.14c	anAmnAtAni kAryANi Br=-_1,29.14c
   anāvedya tu rājñe yaḥ Brh_1,10.101a	anAvedya tu rAjQe yaH Br=-_1,10.101a
   anicchantī tu yā bhuktā Brh_1,24.18a	anicCantI tu yA BuktA Br=-_1,24.18a
   anicchantyā yat kriyate Brh_1,24.3a	anicCantyA yat kriyate Brh_1,24.3a
   anicchann api cāharet[?] Brh_1,10.33d	anicCan api ca-Aharet[?] Br=-_1,10.33d
   aniyuktaḥ pravartate Brh_1,1.171b	aniyuktaH pravartate Brh_1,1.171b
   anirgate daśāhe tu Brh_1,10.49e	anirgate daSa-ahe tu Brh_1,10.49e
   anirṇīte vivāde tu Brh_1,3.32a	anirNIte vivAde tu Br=-_1,3.32a
   anirṇīteṣu yady evaṃ Brh_1,1.102a	anirNItezu yadi evam Brh_1,1.102a
   anirdiṣṭaṃ ca nirdiṣṭaṃ Brh_1,10.47a	anirdizwam ca nirdizwam Brh_1,10.47a
   anirdiṣṭo vāryamāṇaḥ Brh_1,13.9a	anirdizwaH vAryamANaH Brh_1,13.9a
   anilo mārutas tathā Brh_1,8.27d	anilaH mArutaH taTA Br=-_1,8.27d
   anivṛtte sapiṇḍatve Brh_1,7.43c	anivRtte sapiNxa-tve Brh_1,7.43c
   aniṣiddhena yad bhuktaṃ Brh_1,7.55a	anizidDena yat Buktam Brh_1,7.55a
   anīśaḥ pūrvajaḥ pitrye Brh_1,26.55a	anISaH pUrvajaH pitrye Brh_1,26.55a
   anīśāḥ pūrvajāḥ smṛtāḥ Brh_1,26.56d	anISAH pUrvajAH smRtAH Br=-_1,26.56d
   anuktvā kāraṇaṃ yatra Brh_1,3.14a	anuktvA kAraNam yatra Brh_1,3.14a
   anupasthānam eva ca Brh_1,3.36b	anupasTAnam eva ca Br=-_1,3.36b
   anumānaṃ tridhā proktaṃ Brh_1,4.9a	anumAnam triDA proktam Brh_1,4.9a
   anumānaṃ vasaty atra Brh_1,7.35a	anumAnam vasati atra Brh_1,7.35a
   anumānād varaḥ sākṣī Brh_1,7.34a	anumAnAt varaH sAkzI Brh_1,7.34a
   anumāne ca saṃbhrānte Brh_1,4.17c	anumAne ca saMBrAnte Brh_1,4.17c
   anumānena nirṇītaṃ Brh_1,9.6a	anumAnena nirNItam Brh_1,9.6a
   anumānena vijñeyaṃ Brh_1,26.143c	anumAnena vijQeyam Brh_1,26.143c
   anusāreṇa gṛhyate Brh_1,26.3b	anusAreNa gRhyate Br=-_1,26.3b
   anusmṛtikṛtā tābhyāṃ Brh_1,18.12c	anusmRti-kRtA tAByAm Brh_1,18.12c
   anṛtasyāpavarjanaiḥ Brh_1,5.32b	anRtasya-apavarjanEH Br=-_1,5.32b
   anekadhā kṛtāḥ putrā Brh_1,26.69a	anekaDA kRtAH putrAH Brh_1,26.69a
   anekadhā tv abhihitā Brh_1,15.4a	anekaDA tu aBihitA Brh_1,15.4a
   anekeṣu tu lekhyeṣu Brh_1,6.58a	anekezu tu leKyezu Br=-_1,6.58a
   anena karmaṇā naite Brh_1,1.130c	anena karmaNA na-ete Br=-_1,1.130c
   anenaiva vidhānena Brh_1,26.130c	anena-eva viDAnena Brh_1,26.130c
   antar gṛhe bahir grāmān Brh_1,12.4a	antar gRhe bahis grAmAn Brh_1,12.4a
   antarjalagataṃ samyak Brh_1,8.60c	antar-jala-gatam samyak Br=-_1,8.60c
   antarveśmany araṇye vā Brh_1,21.17a	antarveSmani araNye vA Br=-_1,21.17a
   annārthaṃ taṇḍulaprastham Brh_1,26.84a	anna-arTam taNxula-prasTam Brh_1,26.84a
   anyagrāmāt samāhṛtya Brh_1,19.40a	anya-grAmAt samAhRtya Br=-_1,19.40a
   anyagrāme tripakṣakam Brh_1,18.14d	anya-grAme tri-pakzakam Br=-_1,18.14d
   anyatra nṛpaśāsanāt Brh_1,8.18d	anyatra nRpa-SAsanAt Br=-_1,8.18d
   anyatra sthāvareṣu ca Brh_1,8.40d	anyatra sTAvarezu ca Br=-_1,8.40d
   anyathā kāritā vṛddhir Brh_1,10.12e	anyaTA kAritA vRdDiH Brh_1,10.12e
   anyathā kriyate yatra Brh_1,10.57c	anyaTA kriyate yatra Br=-_1,10.57c
   anyathā cet kṛtaṃ karma Brh_1,18.13c	anyaTA ced kRtam karma Br=-_1,18.13c
   anyathā cet krayo yaḥ syād Brh_1,18.14c	anyaTA ced krayaH yaH syAt Br=-_1,18.14c
   anyathā coradaṇḍabhāk Brh_1,12.14d	anyaTA cora-daNxa-BAj Br=-_1,12.14d
   anyathā tu bhavel lābho Brh_1,19.40c	anyaTA tu Bavet lABaH Brh_1,19.40c
   anyathā tu bhavel lābho Brh_1,19.41e	anyaTA tu Bavet lABaH Brh_1,19.41e
   anyathā tu sa hīyate Brh_1,8.80f	anyaTA tu sa hIyate Brh_1,8.80f
   anyathā tv apahīyate Brh_1,8.79d	anyaTA tu apahIyate Br=-_1,8.79d
   anyathā doṣabhāgdhanī Brh_1,10.66d	anyaTA doza-BAj-DanI Br=-_1,10.66d
   anyathā narakaṃ vrajet Brh_1,1.134f	anyaTA narakam vrajet Brh_1,1.134f
   anyathānarthakaṃ bhavet Brh_1,26.4b	anyaTA-anarTakam Bavet Brh_1,26.4b
   anyathānarthakaṃ bhavet Brh_1,26.49d	anyaTA-anarTakam Bavet Br=-_1,26.49d
   anyathānarthakaṃ bhavet Brh_1,26.50d	anyaTA-anarTakam Bavet Br=-_1,26.50d
   anyathā na viśuddhaḥ syād Brh_1,8.61c	anyaTA na viSudDaH syAt Br=-_1,8.61c
   anyapakṣāśrayeṇa ca Brh_1,9.22b	anya-pakza-ASrayeNa ca Br=-_1,9.22b
   anyavādī kriyādveṣī Brh_1,3.10a	anya-vAdI kriyA-dvezI Brh_1,3.10a
   anyavādyādihīnebhya Brh_1,6.29a	anya-vAdI-Adi-hIneByaH Brh_1,6.29a
   anyasmai tat prayacchati Brh_1,18.5b	anyasmE tat prayacCati Br=-_1,18.5b
   anyasya bhuñjataḥ paścān Brh_1,7.40c	anyasya BuQjataH paScAn Br=-_1,7.40c
   anyaṃ saṃśrāvayet taṃ tu Brh_1,5.13c	anyam saMSrAvayet tam tu Br=-_1,5.13c
   anyāyavādinaḥ sabhyās Brh_1,1.107a	anyAya-vAdinaH saByAH Br=-_1,1.107a
   anyāyavādinaḥ sabhyās Brh_1,22.14a	anyAya-vAdinaH saByAH Br=-_1,22.14a
   anyāyavādināṃ tv etāny Brh_1,1.160c	anyAya-vAdinAm tu etAni Br=-_1,1.160c
   anyāyaṃ vā karoti yaḥ Brh_1,2.44b	anyAyam vA karoti yaH Br=-_1,2.44b
   anyārthaḥ svārthahīnaś ca Brh_1,2.9c	anya-arTaH sva-arTa-hInaH ca Br=-_1,2.9c
   anyāṃś ca vanagocarān Brh_1,19.13d	anyAn ca vana-gocarAn Br=-_1,19.13d
   anyūnaṃ cen nigaditaṃ Brh_1,5.48c	anyUnam ced nigaditam Brh_1,5.48c
   anye tv āhur aputrasya Brh_1,26.76c	anye tu AhuH aputrasya Br=-_1,26.76c
   anye vā ye puragrāma- Brh_1,2.32a	anye vA ye pura-grAma Br=-_1,2.32a
   anyeṣāṃ ca pradarśayet Brh_1,18.9b	anyezAm ca pradarSayet Brh_1,18.9b
   anyeṣāṃ lagnakopetaṃ Brh_1,13.23c	anyezAm lagnaka-upetam Brh_1,13.23c
   anyeṣv asabhyavādeṣu Brh_1,2.23c	anyezu asaBya-vAdezu Br=-_1,2.23c
   anyaiś caiva bṛhaspatiḥ Brh_1,18.17d	anyEH ca-eva bRhaspatiH Br=-_1,18.17d
   anyodaryas tu saṃsṛṣṭī Brh_1,26.117a	anya-udaryaH tu saMsRzwI Brh_1,26.117a
   anyonyacakṣūrāgeṇa Brh_1,24.5a	anyonya-cakzU-rAgeNa Br=-_1,24.5a
   anyonyaparigṛhītāḥ Brh_1,28.1a	anyonya-parigRhItAH Brh_1,28.1a
   anvārūḍhā jīvatī[ntī] ca Brh_1,25.14c	anvArUXA jIvatI[ntI] ca Br=-_1,25.14c
   anvārūḍhā hared agham Brh_1,26.96b	anvArUXA haret aGam Br=-_1,26.96b
   anvāhitādi vāhṛtya Brh_1,10.90c	anvAhita-Adi vA-AhRtya Br=-_1,10.90c
   anvāhite yācitake Brh_1,11.18a	anvAhite yAcitake Br=-_1,11.18a
   apadiśyābhiyogaṃ yas Brh_1,2.21a	apadiSya-aBiyogam yaH Br=-_1,2.21a
   aparādhānupūrvyeṇa Brh_1,8.6a	aparADa-AnupUrvyeNa Br=-_1,8.6a
   aparādhānurūpaś ca Brh_1,9.25a	aparADa-anurUpaH ca Br=-_1,9.25a
   aparādhānurūpaṃ tu Brh_1,9.2c	aparADa-anurUpam tu Br=-_1,9.2c
   aparāhne tu sendhanam Brh_1,26.84b	aparAhne tu sa-inDanam Br=-_1,26.84b
   apāṅgaprekṣaṇaṃ hāsyaṃ Brh_1,24.6c	apAFga-prekzaNam hAsyam Br=-_1,24.6c
   apātre pātraśaṅkayā Brh_1,14.17b	apAtre pAtra-SaFkayA Brh_1,14.17b
   api bhrātā suto 'rghyo vā Brh_1,1.78a	api BrAtA sutaH arGyaH vA Br=-_1,1.78a
   aputrapitṛbhāryasya Brh_1,29.11c	aputra-pitR-BAryasya Br=-_1,29.11c
   aputrapautrasaṃtāne Brh_1,26.128c	aputra-pOtra-saMtAne Brh_1,26.128c
   aputrasyātha kulajā Brh_1,26.87a	aputrasya-aTa kula-jAH Br=-_1,26.87a
   aputrāpi divaṃ vrajet Brh_1,25.15d	aputrA-api divam vrajet Br=-_1,25.15d
   aputreṇa sutaḥ kāryo Brh_1,26.88a	aputreNa sutaH kAryaH Br=-_1,26.88a
   apūrṇe tu prakuryātāṃ Brh_1,10.71c	apUrNe tu prakuryAtAm Br=-_1,10.71c
   apṛṣṭam ṛṇike dhanam Brh_1,10.86b	apRzwam RNike Danam Br=-_1,10.86b
   apṛṣṭāḥ satyavacane Brh_1,5.47a	apRzwAH satya-vacane Br=-_1,5.47a
   aprakāśāni kārayet Brh_1,19.19d	aprakASAni kArayet Br=-_1,19.19d
   apragalbhajaḍonmāta- Brh_1,1.142a	apragalBa-jaxa-unmAta Brh_1,1.142a
   apragalbhabhayārtānāṃ Brh_1,6.52c	apragalBa-Baya-ArtAnAm Brh_1,6.52c
   aprattā cet samūḍhā tu Brh_1,26.31e	aprattA ced samUXA tu Brh_1,26.31e
   aprayacchan pitā kāle Brh_1,25.4a	aprayacCan pitA kAle Brh_1,25.4a
   aprasiddhaṃ puradviṣṭaṃ Brh_1,1.125c	aprasidDam pura-dvizwam Brh_1,1.125c
   aprasiddhaṃ sadoṣaṃ ca Brh_1,2.8a	aprasidDam sa-dozam ca Br=-_1,2.8a
   aprāptavyavahāraś ca Brh_1,1.138a	aprApta-vyavahAraH ca Br=-_1,1.138a
   apriyoktis tāḍanaṃ ca Brh_1,20.1a	apriya-uktiH tAxanam ca Br=-_1,20.1a
   apsu praveśya purusaṃ Brh_1,8.62a	apsu praveSya purusam Br=-_1,8.62a
   abruvan daṇḍam arhati Brh_1,5.54d	abruvan daNxam arhati Br=-_1,5.54d
   abhakṣyabhakṣaṇe caiva Brh_1,2.24c	aBakzya-BakzaNe ca-eva Br=-_1,2.24c
   abhakṣyāpeyakathanaṃ Brh_1,20.4a	aBakzya-apeya-kaTanam Brh_1,20.4a
   abhayaṃ rājapūruṣe Brh_1,7.45b	aBayam rAja-pUruze Brh_1,7.45b
   abhāryapitṛkasya ca Brh_1,26.108d	aBArya-pitRkasya ca Br=-_1,26.108d
   abhāvayan damaṃ dāpyaḥ Brh_1,5.25a	aBAvayan damam dApyaH Br=-_1,5.25a
   abhāvayaṃs tataḥ paścād Brh_1,12.8c	aBAvayan tatas paScAt Br=-_1,12.8c
   abhāve ca pituḥ sutaiḥ Brh_1,10.103d	aBAve ca pituH sutEH Br=-_1,10.103d
   abhāve dhanahāriṇaḥ Brh_1,10.120d	aBAve Dana-hAriNaH Br=-_1,10.120d
   abhinandya ca gurvādīn Brh_1,1.26c	aBinandya ca guru-AdIn Br=-_1,1.26c
   abhiyuktas tathānyena Brh_1,1.164bc	aBiyuktaH taTA-anyena Br=-_1,1.164bc
   abhiyuktaḥ pramītaś cet Brh_1,6.39c	aBiyuktaH pramItaH ced Br=-_1,6.39c
   abhiyuktāya dātavyaṃ Brh_1,8.17a	aBiyuktAya dAtavyam Brh_1,8.17a
   abhiyukto bṛhaspatiḥ Brh_1,3.15d	aBiyuktaH bRhaspatiH Br=-_1,3.15d
   abhiyukto 'bhiyogasya Brh_1,3.17a	aBiyuktaH aBiyogasya Br=-_1,3.17a
   abhiyoktāpragalbhatvād Brh_1,2.34a	aBiyoktA-pragalBa-tvAt Brh_1,2.34a
   abhiyogānurūpeṇa Brh_1,1.144c	aBiyoga-anurUpeNa Br=-_1,1.144c
   abhiyogānurūpeṇa Brh_1,1.147e	aBiyoga-anurUpeNa Brh_1,1.147e
   abhiyogānurūpeṇa Brh_1,2.31c	aBiyoga-anurUpeNa Br=-_1,2.31c
   abhiśastas tayoś caikaṃ Brh_1,8.91a	aBiSastaH tayoH ca-ekam Brh_1,8.91a
   abhyukṣya pañcagavyena Brh_1,8.83c	aByukzya paQcagavyena Br=-_1,8.83c
   abhyukṣya pañcagavyena Brh_1,8.86c	aByukzya paQcagavyena Br=-_1,8.86c
   abhyupetya tu śuśrūṣāṃ Brh_1,15.2a	aByupetya tu SuSrUzAm Brh_1,15.2a
   abhrātṛpitṛmātṛkaḥ Brh_1,26.111b	aBrAtR-pitR-mAtRkaH Br=-_1,26.111b
   amātyaṃ sthāpayed dvijam Brh_1,1.71d	amAtyam sTApayet dvijam Br=-_1,1.71d
   amātyādibhir ete ca Brh_1,1.24c	amAtya-AdiBiH ete ca Br=-_1,1.24c
   ambu tṛṣitajantuṣu Brh_1,1.89d	ambu tRzita-jantuzu Br=-_1,1.89d
   ayathoktaṃ pradattaṃ cen Brh_1,8.15c	ayaTA-uktam pradattam ced Br=-_1,8.15c
   ayaśo mahad āpnoti Brh_1,1.77c	ayaSaH mahat Apnoti Br=-_1,1.77c
   araṇye karaṇaṃ bhavet Brh_1,1.73b	araNye karaNam Bavet Brh_1,1.73b
   aratnidvayam utsṛjya Brh_1,19.50c	aratni-dvayam utsRjya Br=-_1,19.50c
   aruntudaḥ sūcakaś ca Brh_1,17.16a	aruntudaH sUcakaH ca Br=-_1,17.16a
   arthadaṇḍavadhāv uktau Brh_1,1.91c	arTa-daNxa-vaDO uktO Br=-_1,1.91c
   arthāpakarṣaṇaṃ daṇḍas Brh_1,3.8c	arTa-apakarzaNam daNxaH Brh_1,3.8c
   arthinaś ca vacaḥ kāryaṃ Brh_1,1.134c	arTinaH ca vacaH kAryam Br=-_1,1.134c
   arthinā ca kriyā bhedais Brh_1,5.7a	arTinA ca kriyA BedEH Br=-_1,5.7a
   arthinābhihito yo 'rthaḥ Brh_1,3.19a	arTinA-aBihitaH yaH arTaH Brh_1,3.19a
   arthipratyarthinor api Brh_1,1.140d	arTi-pratyarTinoH api Br=-_1,1.140d
   arthipratyarthinor api Brh_1,2.35d	arTi-pratyarTinoH api Br=-_1,2.35d
   arthipratyarthinor vākyaṃ Brh_1,5.16a	arTi-pratyarTinoH vAkyam Br=-_1,5.16a
   arthipratyarthinau yadā Brh_1,1.172b	arTi-pratyarTinO yadA Br=-_1,1.172b
   arthipratyarthinau yadā Brh_1,3.25b	arTi-pratyarTinO yadA Br=-_1,3.25b
   arthipratyarthivacanaṃ Brh_1,5.11a	arTi-pratyarTi-vacanam Brh_1,5.11a
   arthiprathyarthinau sadā Brh_1,1.60b	arTi-praTi-arTinO sadA Brh_1,1.60b
   arthī tṛtīyapāde tu Brh_1,4.4c	arTI tRtIya-pAde tu Br=-_1,4.4c
   arthī mithyottare punaḥ Brh_1,4.11d	arTI miTyA-uttare punar Br=-_1,4.11d
   arthe 'pavyayamānaṃ tu Brh_1,10.128a	arTe apavyayamAnam tu Br=-_1,10.128a
   ardhatas tv āgatasyāṃśaḥ Brh_1,26.65c	arDataH tu Agatasya-aMSaH Br=-_1,26.65c
   ardhatrayodaśapaṇaḥ Brh_1,16.12c	arDa-trayodaSa-paNaH Br=-_1,16.12c
   ardhaṃ dvayor api hṛtaṃ Brh_1,12.11c	arDam dvayoH api hRtam Brh_1,12.11c
   ardhe deyo dhaṭaḥ sadā Brh_1,8.29d	arDe deyaH DawaH sadA Br=-_1,8.29d
   arpatāmy aparo vadet Brh_1,10.74d	arpatAmi aparaH vadet Br=-_1,10.74d
   arhanti tu kadā cana Brh_1,5.24b	arhanti tu kadA cana Br=-_1,5.24b
   alaṃkāro dhṛto bhavet Brh_1,26.61b	alaMkAraH DRtaH Bavet Brh_1,26.61b
   alubdhaṃ nyāyabhāṣiṇam Brh_1,1.71b	alubDam nyAya-BAziNam Br=-_1,1.71b
   alpakālam ṛṇaṃ kṛtam Brh_1,10.103b	alpa-kAlam RNam kRtam Br=-_1,10.103b
   alpamūlyaṃ tu saṃskṛtya Brh_1,22.17a	alpa-mUlyam tu saMskRtya Brh_1,22.17a
   alparakṣasya pañcamam Brh_1,29.11b	alpa-rakzasya paQcamam Br=-_1,29.11b
   alpārthe sukarāḥ sadā Brh_1,8.34b	alpa-arTe sukarAH sadA Brh_1,8.34b
   avadhityāgamātreṇa Brh_1,3.41c	avaDi-tyAga-mAtreNa Br=-_1,3.41c
   avadhyā brāhmaṇā gāvo Brh_1,9.9c	avaDyAH brAhmaNAH gAvaH Br=-_1,9.9c
   avaśyā sā bhavet paścād Brh_1,25.3c	avaSyA sA Bavet paScAt Br=-_1,25.3c
