   Vigrahavyāvartanī-kārikā ||	Vigraha-vyAvartanI--kArikAH ||
   yadi ca na bhavet svabhāvo dharmāṇāṃ niḥsvabhāva ity evam |	yadi ca na Bavet svaBAvaH DarmANAm niHsvaBAvaH iti evam |
   nāmāpi bhaven naivaṃ nāma hi nirvastukaṃ nāsti || NagVvy_09	nAma-api Bavet na-evam nAma hi nirvastukam na-asti || NagVvI-_09
   atha vidyate svabhāvaḥ sa ca dharmāṇāṃ na vidyate tasmāt |	aTa vidyate svaBAvaH sa ca DarmANAm na vidyate tasmAt |
   dharmair vinā svabhāvaḥ sa yasya tad yuktam upadeṣṭum || NagVvy_10	DarmEH vinA svaBAvaH sa yasya tat yuktam upadezwum || NagVvI-_10
   sata eva pratiṣedho nāsti ghaṭo geha ity ayaṃ yasmāt |	sataH eva pratizeDaH na-asti GawaH gehaH iti ayam yasmAt |
   dṛṣṭaḥ pratiṣedho 'yaṃ sataḥ svabhāvasya te tasmāt || NagVvy_11	dRzwaH pratizeDaH ayam sataH svaBAvasya te tasmAt || NagVvI-_11
   atha nāsti sa svabhāvaḥ kiṃ nu pratiṣidhyate tvayānena |	aTa na-asti sa svaBAvaH kim nu pratiziDyate tvayA-anena |
   vacanenarte vacanāt pratiṣedhaḥ sidhyate hy asataḥ || NagVvy_12	vacanena-Rte vacanAt pratizeDaH siDyate hi asataH || NagVvI-_12
   bālānāṃ iva mithyā mṛgatṛṣnāyāṃ yathājalagrāhaḥ |	bAlAnAm iva miTyA mRgatRznAyAm yaTA-jala-grAhaH |
   evaṃ mithyāgrāhaḥ syāt te pratiṣedhyato hy asataḥ || NagVvy_13	evam miTyAgrAhaH syAt te pratizeDyataH hi asataH || NagVvI-_13
   nanv evaṃ saty asti grāho grāhyaṃ ca tadgrahītā ca |	nanu evam sati asti grAhaH grAhyam ca tat-grahItA ca |
   pratiṣedhaḥ pratiṣedhyaṃ pratiṣeddhā ceti ṣaṭkaṃ tat || NagVvy_14	pratizeDaH pratizeDyam pratizedDA ca-iti zawkam tat || NagVvI-_14
   atha naivāsti grāho naiva grāhyaṃ na ca grahītāraḥ |	aTa na-eva-asti grAhaH na-eva grAhyam na ca grahItAraH |
   pratiṣedhaḥ pratiṣedhyaṃ pratiṣeddhāro nanu sa santi || NagVvy_15	pratizeDaH pratizeDyam pratizedDAraH nanu sa santi || NagVvI-_15
   pratiṣedhaḥ pratiṣedhyaṃ pratiṣeddhāraś ca yadyuta na santi |	pratizeDaH pratizeDyam pratizedDAraH ca yadi-uta na santi |
   siddhā hi sarvabhāvās teṣam eva svabhāvaś ca || NagVvy_16	sidDAH hi sarva-BAvAH tezam eva svaBAvaH ca || NagVvI-_16
   hetoś ca te na siddhir naiḥsvābhāvyāt kuto hi te hetuḥ |	hetoH ca te na sidDiH nEHsvABAvyAt kutas hi te hetuH |
   nirhetukasya siddhir na copapannāsya te 'rthasya || NagVvy_17	nirhetukasya sidDiH na ca-upapanna-asya te arTasya || NagVvI-_17
   yadi cāhetoḥ siddhiḥ svabhāvavinivartanasya te bhavati |	yadi ca-ahetoH sidDiH svaBAva-vinivartanasya te Bavati |
   svābhāvyasyāstitvaṃ mamāpi nirhetukaṃ siddham || NagVvy_18	svABAvyasya-astitvam mama-api nirhetukam sidDam || NagVvI-_18
   atha hetor astitvaṃ bhāvāsvābhāvyam ity anupapannam |	aTa hetoH astitvam BAva-asvABAvyam iti anupapannam |
   lokeṣu niḥsvabhāvo na hi kaś cana vidyate bhāvaḥ || NagVvy_19	lokezu niHsvaBAvaH na hi kaH cana vidyate BAvaH || NagVvI-_19
   pūrvaṃ cet pratiṣedhaḥ paścāt pratiṣedhyam ity anupapannam |	pUrvam ced pratizeDaH paScAt pratizeDyam iti anupapannam |
   paścāc cānupapanno yugapac ca yataḥ svabhāvaḥ san || NagVvy_20	paScAt ca-anupapannaH yugapad ca yatas svaBAvaH san || NagVvI-_20
   hetupratyayasāmagryāṃ ca pṛthak cāpi madvaco na yadi |	hetu-pratyaya-sAmagryAm ca pRTak ca-api mad-vacaH na yadi |
   manu śūnyatvaṃ siddhaṃ bhāvānām asvabhāvatvāt || NagVvy_21	manu SUnya-tvam sidDam BAvAnAm asvaBAva-tvAt || NagVvI-_21
   yaś ca pratītyabhāvo bhāvānāṃ śūnyateti sā proktā |	yaH ca prati-ityaBAvaH BAvAnAm SUnyatA-iti sA proktA |
   yaś pratītyabhāvo bhavati hi tasyāsvabhāvatvam || NagVvy_22	yaH pratItyaBAvaH Bavati hi tasya-asvaBAva-tvam || NagVvI-_22
   nirmitako nirmitakaṃ māyāpuruṣaḥ svamāyayā sṛṣṭam |	nirmitakaH nirmitakam mAyA-puruzaH sva-mAyayA sRzwam |
   pratiṣedhayeta yadvat pratiṣedho 'yaṃ tathaiva syāt || NagVvy_23	pratizeDayeta yadvat pratizeDaH ayam taTA-eva syAt || NagVvI-_23
   na svābhāvikam etad vākyaṃ tasmān na vādahānir me |	na svABAvikam etat vAkyam tasmAt na vAda-hAniH me |
   nāsti ca vaiṣamikatvaṃ viśeṣahetuś ca na nigadyaḥ || NagVvy_24	na-asti ca vEzamika-tvam viSeza-hetuH ca na nigadyaH || NagVvI-_24
   mā śabdavad iti nāyaṃ dṛṣṭānto yas tvayā samārabdhaḥ |	mA Sabda-vat iti na-ayam dRzwAntaH yaH tvayA samArabDaH |
   śabdena hi tac chabdasya vāraṇaṃ naivam etac ca || NagVvy_25	Sabdena hi tat Sabdasya vAraNam na-evam etat ca || NagVvI-_25
   naiḥsvābhāvyānāṃ cen naiḥsvābhāvyena vāraṇaṃ yadi hi |	nEHsvABAvyAnAm ced nEHsvABAvyena vAraNam yadi hi |
   naiḥsvābhāvyanivṛttau svābhāvyaṃ hi prasiddhaṃ syāt || NagVvy_26	nEHsvABAvya-nivRttO svABAvyam hi prasidDam syAt || NagVvI-_26
   atha vā nirmitakāyāṃ yathā striyāṃ strīyam ity asadgrāham |	aTa vA nirmitakAyAm yaTA striyAm strI-iyam iti asat-grAham |
   nirmitakaḥ pratihanyāt kasya cid evaṃ bhaved etat || NagVvy_27	nirmitakaH pratihanyAt kasya cit evam Bavet etat || NagVvI-_27
   atha vā sādhyasamo 'yaṃ hetur na hi vidyate dhvaneḥ sattā |	aTa vA sADya-samaH ayam hetuH na hi vidyate DvaneH sattA |
   saṃvyavahāraṃ ca vayaṃ nānabhyupagamya kathayāmaḥ || NagVvy_28	saMvyavahAram ca vayam na-anaByupagamya kaTayAmaH || NagVvI-_28
   yadi kā cana pratijñā syān me tata eṣa me bhaved doṣaḥ |	yadi kA cana pratijQA syAt me tatas eza me Bavet dozaH |
   nāsti ca mama pratijñā tasmān naivāsti me doṣaḥ || NagVvy_29	na-asti ca mama pratijQA tasmAt na-eva-asti me dozaH || NagVvI-_29
   yadi kiṃ cid upalabheyaṃ pravartayeyaṃ nivartayeyaṃ vā |	yadi kim cit upalaBeyam pravartayeyam nivartayeyam vA |
   pratyakṣādibhir arthais tadabhāvān me 'nupālambhaḥ || NagVvy_30	pratyakza-AdiBiH arTEH tad-aBAvAt me anupAlamBaH || NagVvI-_30
   yadi ca pramāṇatas te teṣāṃ teṣāṃ prasiddhir arthānām |	yadi ca pramANataH te tezAm tezAm prasidDiH arTAnAm |
   teṣāṃ punaḥ prasiddhiṃ brūhi kathaṃ te pramāṇānām || NagVvy_31	tezAm punar prasidDim brUhi kaTam te pramANAnAm || NagVvI-_31
   anyair yadi pramāṇaiḥ pramāṇasiddhir bhavet tad anavasthā |	anyEH yadi pramANEH pramANa-sidDiH Bavet tat anavasTA |
   nādeḥ siddhis tatrāsti naiva madhyasya nāntasya || NagVvy_32	na-AdeH sidDiH tatra-asti na-eva maDyasya na-antasya || NagVvI-_32
   teṣām atha pramāṇair vinā prasiddhir vihīyate vādaḥ |	tezAm aTa pramANEH vinA prasidDiH vihIyate vAdaH |
   vaiṣamikatvaṃ tasmin viśeṣahetuś ca vaktavyaḥ || NagVvy_33	vEzamika-tvam tasmin viSeza-hetuH ca vaktavyaH || NagVvI-_33
   viṣamopanyāso 'yaṃ na hy ātmānaṃ prakāśayaty agniḥ |	vizama-upanyAsaH ayam na hi AtmAnam prakASayati agniH |
   na hi tasyānupalabdhir dṛṣṭā tamasīva kumbhasya || NagVvy_34	na hi tasya-anupalabDiH dRzwA tamasi-iva kumBasya || NagVvI-_34
   yadi ca svātmānam ayaṃ tvadvacanena prakāśayaty agniḥ |	yadi ca sva-AtmAnam ayam tvad-vacanena prakASayati agniH |
   param iva nanv ātmānaṃ svaṃ paridhakṣyaty api hutāśaḥ || NagVvy_35	param iva nanu AtmAnam svam pariDakzyati api hutASaH || NagVvI-_35
   yadi ca svaparātmānau tvadvacanena prakāśayaty agniḥ |	yadi ca sva-para-AtmAnO tvad-vacanena prakASayati agniH |
   pracchādayiṣyati tamaḥ svaparātmānau hutāśa iva || NagVvy_36	pracCAdayizyati tamaH sva-para-AtmAnO hutASaH iva || NagVvI-_36
   nāsti tamaś ca jvalane yatra ca tiṣṭhati parātmani jvalanaḥ |	na-asti tamaH ca jvalane yatra ca tizWati para-Atmani jvalanaH |
   kurute kathaṃ prakāśaṃ sa hi prakāśo 'ndhakāravadhaḥ || NagVvy_37	kurute kaTam prakASam sa hi prakASaH anDakAra-vaDaH || NagVvI-_37
   utpadyamāna eva prakāśayaty agnir ity asadvādaḥ |	utpadyamAnaH eva prakASayati agniH iti asat-vAdaH |
   utpadyamāna eva prāpnoti tamo na hi hutāśaḥ || NagVvy_38	utpadyamAnaH eva prApnoti tamaH na hi hutASaH || NagVvI-_38
   aprāpto 'pi jvalano yadi vā punar andhakāram upahanyāt |	aprAptaH api jvalanaH yadi vA punar anDakAram upahanyAt |
   sarveṣu lokadhātuṣu tamo 'yam iha saṃsthito hanyāt || NagVvy_39	sarvezu lokaDAtuzu tamaH ayam iha saMsTitaH hanyAt || NagVvI-_39
   yadi svataś ca pramāṇasiddhir anapekṣya tava prameyāṇi |	yadi svatas ca pramANa-sidDiH anapekzya tava prameyANi |
   bhavati pramāṇasiddhir na parāpekṣā svataḥsiddhiḥ || NagVvy_40	Bavati pramANa-sidDiH na para-apekzA svatas-sidDiH || NagVvI-_40
   anapekṣya hi prameyān arthān yadi te pramāṇasiddhir iti |	anapekzya hi prameyAn arTAn yadi te pramANa-sidDiH iti |
   na bhavanti kasya cid evam imāni tāni pramāṇāni || NagVvy_41	na Bavanti kasya cit evam imAni tAni pramANAni || NagVvI-_41
   atha matam apekṣya siddhis teṣām ity atra bhavati ko doṣaḥ |	aTa matam apekzya sidDiH tezAm iti atra Bavati kaH dozaH |
   siddhasya sādhanaṃ syān nāsiddho 'pekṣate hy anyat || NagVvy_42	sidDasya sADanam syAt na-asidDaH apekzate hi anyat || NagVvI-_42
   sidhyanti hi prameyāṇy apekṣya yadi sarvathā pramāṇāni |	siDyanti hi prameyANi apekzya yadi sarvaTA pramANAni |
   bhavati prameyasiddhir nāpekṣyaiva pramāṇāni || NagVvy_43	Bavati prameya-sidDiH na-apekzya-eva pramANAni || NagVvI-_43
   yadi ca prameyasiddhir nāpekṣyaiva bhavati pramāṇāni |	yadi ca prameya-sidDiH na-apekzya-eva Bavati pramANAni |
   kiṃ te pramāṇasiddhyā tāni yadarthaṃ prasiddhaṃ tat || NagVvy_44	kim te pramANa-sidDyA tAni yad-arTam prasidDam tat || NagVvI-_44
   atha tu pramāṇasiddhir bhavaty apekṣyaiva te prameyāṇi |	aTa tu pramANa-sidDiH Bavati apekzya-eva te prameyANi |
   vyatyaya evaṃ sati te dhruvaṃ pramāṇaprameyāṇām || NagVvy_45	vyatyayaH evam sati te Druvam pramANa-prameyANAm || NagVvI-_45
   atha te pramāṇasiddhyā prameyasiddhiḥ prameyasiddhyā ca |	aTa te pramANa-sidDyA prameya-sidDiH prameya-sidDyA ca |
   bhavati pramāṇasiddhir nāsty ubhayasyāpi te siddhiḥ || NagVvy_46	Bavati pramANa-sidDiH na-asti uBayasya-api te sidDiH || NagVvI-_46
   sidhyanti hi pramāṇair yadi prameyāṇi tāni tair eva |	siDyanti hi pramANEH yadi prameyANi tAni tEH eva |
   sādhyāni ca prameyais tāni kathaṃ sādhayiṣyanti || NagVvy_47	sADyAni ca prameyEH tAni kaTam sADayizyanti || NagVvI-_47
   sidhyanti ca prameyair yadi pramāṇāni tāni tair eva |	siDyanti ca prameyEH yadi pramANAni tAni tEH eva |
   sādhyāni ca pramāṇais tāni kathaṃ sādhayiṣyanti || NagVvy_48	sADyAni ca pramANEH tAni kaTam sADayizyanti || NagVvI-_48
   pitrā yady utpādyaḥ putro yadi tena caiva putreṇa |	pitrA yadi utpAdyaH putraH yadi tena ca-eva putreNa |
   utpādyaḥ sa yadi pitā vada tatrotpādayati kaḥ kam || NagVvy_49	utpAdyaH sa yadi pitA vada tatra-utpAdayati kaH kam || NagVvI-_49
   kaś ca pitā kaḥ putras tatra tvaṃ brūhi tāv ubhāv api ca |	kaH ca pitA kaH putraH tatra tvam brUhi tO uBO api ca |
   pitṛputralakṣaṇadharau yato bhavati no 'tra saṃdehaḥ || NagVvy_50	pitR-putra-lakzaNa-DarO yatas Bavati naH atra saMdehaH || NagVvI-_50
   naiva svataḥ prasiddhir na parasparataḥ parapramāṇair vā |	na-eva svatas prasidDiH na parasparataH para-pramANEH vA |
   na bhavati na ca prameyair na cāpy akasmāt pramāṇānāṃ || NagVvy_51	na Bavati na ca prameyEH na ca-api akasmAt pramANAnAm || NagVvI-_51
   kuśalānāṃ dharmāṇāṃ dharmāvasthāvido bruvīran yat |	kuSalAnAm DarmANAm Darma-avasTA-vidaH bruvIran yat |
   kuśalaṃ svabhāvam evaṃ pravibhāgenābhidheyaḥ syāt || NagVvy_52	kuSalam svaBAvam evam praviBAgena-aBiDeyaH syAt || NagVvI-_52
   yadi ca pratīya kuśalaḥ svabhāva utpadyate sa kuśalānām |	yadi ca pratIya kuSalaH svaBAvaH utpadyate sa kuSalAnAm |
   dharmāṇāṃ parabhāvaḥ svabhāva evaṃ kathaṃ bhavati || NagVvy_53	DarmANAm para-BAvaH svaBAvaH evam kaTam Bavati || NagVvI-_53
   atha na pratītya kiṃ cit svabhāva utpadyate sa kuśalānām |	aTa na pratItya kim cit svaBAvaH utpadyate sa kuSalAnAm |
   dharmāṇam evaṃ syād vāso na brahmacaryasya || NagVvy_54	DarmANam evam syAt vAsaH na brahmacaryasya || NagVvI-_54
   nādharmo dharmo vā saṃvyavahārāś ca laukikā na syuḥ |	na-aDarmaH DarmaH vA saMvyavahArAH ca lOkikAH na syuH |
   nityāś ca sasvabhāvāḥ syur nityatvād ahetumataḥ || NagVvy_55	nityAH ca sa-svaBAvAH syuH nitya-tvAt ahetum-ataH || NagVvI-_55
   evam akuśaleṣv avyākṛteṣu nairyāṇikādiṣu ca doṣaḥ |	evam akuSalezu avyAkRtezu nEryANika-Adizu ca dozaH |
   tasmāt sarvaṃ saṃskṛtam asaṃskṛtaṃ te bhavaty eva || NagVvy_56	tasmAt sarvam saMskRtam asaMskRtam te Bavati eva || NagVvI-_56
   yaḥ sadbhūtaṃ nāmātra brūyāt sasvabhāva ity evam |	yaH sadBUtam nAma-atra brUyAt sa-svaBAvaH iti evam |
   bhavatā prativaktavyo nāma brūmaś ca na vayaṃ sat || NagVvy_57	BavatA prativaktavyaH nAma brUmaH ca na vayam sat || NagVvI-_57
   nāmāsad iti ca yad idaṃ tat kiṃ nu sato bhavaty utāpy asataḥ |	nAma-asat iti ca yat idam tat kim nu sataH Bavati uta-api asataH |
   yadi hi sato yady asato dvidhāpi te hīyate vādaḥ || NagVvy_58	yadi hi sataH yadi asataH dviDA-api te hIyate vAdaH || NagVvI-_58
   sarveṣāṃ bhāvānāṃ śūnyatvaṃ copapāditaṃ pūrvam |	sarvezAm BAvAnAm SUnya-tvam ca-upapAditam pUrvam |
   sa upālambhas tasmād bhavaty ayaṃ cāpratijñāyāḥ || NagVvy_59	saH upAlamBaH tasmAt Bavati ayam ca-apratijQAyAH || NagVvI-_59
   atha vidyate svabhāvaḥ sa ca dharmāṇāṃ na vidyata itīdam |	aTa vidyate svaBAvaH sa ca DarmANAm na vidyate iti-idam |
   āśaṅkitaṃ yad uktaṃ bhavaty anāśaṅkitaṃ tac ca || NagVvy_60	ASaFkitam yat uktam Bavati anASaFkitam tat ca || NagVvI-_60
   sata eva pratiṣedho yadi śūnyatvaṃ nanu prasiddham idam |	sataH eva pratizeDaH yadi SUnya-tvam nanu prasidDam idam |
   pratiṣedhayate hi bhavān bhāvānāṃ niḥsvabhāvatvam || NagVvy_61	pratizeDayate hi BavAn BAvAnAm niHsvaBAva-tvam || NagVvI-_61
   pratiṣedhayase 'tha tvaṃ śūnyatvaṃ tac ca nāsti śūnyatvam |	pratizeDayase aTa tvam SUnya-tvam tat ca na-asti SUnya-tvam |
   pratiṣedhaḥ sata iti te nanv eṣa vihīyate vādaḥ || NagVvy_62	pratizeDaH sataH iti te nanu eza vihIyate vAdaH || NagVvI-_62
   pratiṣedhayāmi nāhaṃ kiṃ cit pratiṣedhyam asti na ca kiṃ cit |	pratizeDayAmi na-aham kim cit pratizeDyam asti na ca kim cit |
   tasmāt pratiṣedhayasīty adhilaya eṣa tvayā kriyate || NagVvy_63	tasmAt pratizeDayasi-iti aDilayaH eza tvayA kriyate || NagVvI-_63
   yac cāharte vacanād asataḥ pratiṣedhavacanasiddhir iti |	yat ca-AhaRte vacanAt asataH pratizeDa-vacana-sidDiH iti |
   atra jñāpayate vāg asad iti tan na pratinihanti || NagVvy_64	atra jQApayate vAc asat iti tat na pratinihanti || NagVvI-_64
   mṛgatṛṣṇādṛṣṭānte yaḥ punar uktas tvayā mahāṃś carcaḥ |	mRgatRzNA-dRzwAnte yaH punar uktaH tvayA mahAn carcaH |
   tatrāpi nirṇayaṃ śṛṇu yathā sa dṛṣṭānta upapannaḥ || NagVvy_65	tatra-api nirNayam SRNu yaTA sa dRzwAnte upapannaH || NagVvI-_65
   sa yadi svabhāvataḥ syād grāho na syāt pratītya saṃbhūtaḥ |	sa yadi svaBAvataH syAt grAhaH na syAt pratItya saMBUtaH |
   yaś ca pratītya bhavati grāho nanu śūnyatā saiva || NagVvy_66	yaH ca pratItya Bavati grAhaH nanu SUnyatA sA-eva || NagVvI-_66
   yadi ca svabhāvataḥ syād grāhaḥ kas taṃ nivartayed grāham |	yadi ca svaBAvataH syAt grAhaH kaH tam nivartayet grAham |
   śeṣeṣv apy eṣa viddhis tasmād eṣo 'nupālambhaḥ || NagVvy_67	Sezezu api eza vidDiH tasmAt ezaH anupAlamBaH || NagVvI-_67
   etena hetvabhāvaḥ pratyuktaḥ pūrvam eva sa samatvāt |	etena hetu-aBAvaH pratyuktaH pUrvam eva sa sama-tvAt |
   mṛgatṛṣṇādṛṣṭāntavyāvṛttividhau ya uktaḥ prāk || NagVvy_68	mRgatRzNA-dRzwAnta-vyAvRtti-viDO yaH uktaH prAk || NagVvI-_68
   yas traikālye hetuḥ pratyuktaḥ pūrvam eva sa samatvāt |	yaH trEkAlye hetuH pratyuktaH pUrvam eva sa sama-tvAt |
   traikālyapratihetuś ca śūnyatāvādināṃ prāptaḥ || NagVvy_69	trEkAlya-pratihetuH ca SUnyatA-vAdinAm prAptaH || NagVvI-_69
   prabhavati ca śūnyateyaṃ yasya prabhavanti tasya sarvārthāḥ |	praBavati ca SUnyatA-iyam yasya praBavanti tasya sarva-arTAH |
   prabhavati na tasya kiṃ cin na prabhavati śūnyatā yasya || NagVvy_70	praBavati na tasya kim cit na praBavati SUnyatA yasya || NagVvI-_70
   yaḥ śūnyatāṃ pratītyasamutpādaṃ madhyamāṃ pratipadaṃ ca |	yaH SUnyatAm pratItyasamutpAdam maDyamAm pratipadam ca |
   ekārthāṃ nijagāda praṇamāmi tam apratimabuddham || NagVvy_71	eka-arTAm nijagAda praNamAmi tam apratima-budDam || NagVvI-_71
   Copyright (C) 2003 by Chr. Lindtner - Denmark	CopyriGt (C) 2003 bi Shr. LindtneH  DenmaRk
