   oṃ	om
   gurūṃs tathā kaulanarottamādīn karomi ṭīkāṃ śrutipātrapeyām // *12 //	gurUn taTA kOla nara uttama AdIn karomi wIkAm Sruti pAtra peyAm // *12 //
   gurūṇāṃ caraṇau smṛtvā kṛtvā svātmārcanaṃ svataḥ /	gurUNAm caraNO smRtvA kRtvA sva Atma arcanam svatas /
   mokṣopāyābhidhe granthe vyākhyāṃ kurve samāsataḥ // *13 //	mokza upAya aBiDe granTe vyAKyAm kurve samAsatas // *13 //
   iha khalu kaścin mahāpuruṣaḥ	iha Kalu kaScid mahApuruzaH
   śrīvālmīkinibaddhaśrīmahārāmāyaṇākhyasāgarādikāṇḍasthaśrīrāmajñānotpādakaśrīvasiṣṭhopadeśaratnaiḥ	SrIvAlmIki nibadDa SrI mahArAmAyaNa AKya sAgara Adi kANxa sTa SrI rAma jQAna utpAdaka SrI vasizWa upadeSa ratnEH
   svayam āsāditasamyagjñānākhyaprakāśaḥ athānyān prati dayayā	svayam AsAdita samyak jQAna AKya prakASaH aTa anyAn prati dayayA
   prakaṭīkaraṇārtham proktasāgarāt tāny uddhartukāmas	prakawIkaraNa arTam prokta sAgarAt tAni udDartu kAma s
   taduddhṛtinirvighnasamāptigamanāya paradevatāsvarūpam paramātmānaṃ stauti	tad udDRti nirviGna samApti gamanAya para devatA svarUpam paramAtmAnam stOti
   divi bhūmau tathākāśe bahir antaś ca me vibhuḥ /	divi BUmO taTA AkASe bahis antar ca me viBuH /
   yo 'vabhāty avabhāsātmā tasmai viśvātmane namaḥ // Mo_1,1.1 //	yaH avaBAti avaBAsa AtmA tasmE viSvAtmane namaH // MaH _1,1.1 //
   "tasmai" prasiddhāya | "viśvātmane" sarvasāratvena sthitatvāt sarveṣām	"tasmE" prasidDAya | "viSvAtmane" sarva sAra tvena sTita tvAt sarvezAm
   ātmabhūtāyārthāt paramātmane "namaḥ" | aparimitāyāṃ tatsattāyām	Atma BUtAya arTAt paramAtmane "namaH" | aparimitAyAm tad sattAyAm
   parimitasvasattānyagbhāvarūpaḥ prahvībhāvaḥ astu | tatsattāyām eva	parimita sva sattA ani agBAva rUpaH prahvIBAvaH astu | tad sattAyAm eva
   svasattāṃ līnām bhāvayāmīti yāvat | "tasmai" kasmai | "avabhāsātmā"	sva sattAm lInAm BAvayAmi iti yAvat | "tasmE" kasmE | "ava BAsa AtmA"
   bāhyāntarālokagatanānāvidhabāhyāntarapadārthavṛndaviṣayajñānasārabhūtaḥ |	bAhya antara Aloka gata nAnAviDa bAhya antara padArTa vRnda vizaya jQAna sAra BUtaH |
   "yaḥ "viśvātmā | "avabhāti" pratyakṣam eva sphurati | yataḥ pratyakṣaṃ	"yaH "viSvAtmA | "avaBAti" pratyakzam eva sPurati | yatas pratyakzam
   sphurantaḥ nānābhāsāḥ vicāraviṣayīkṛtāḥ santaḥ anirvācyatāsvarūpāyām	sPurantaH nAnA ABAsAH vicAra vizayIkRtAH santaH anirvAcyatA svarUpAyAm
   paramātmatāyām eva viśrāmyanti | tataḥ nānāvabhāsāvabhāsena	paramAtma tAyAm eva viSrAmyanti | tatas nAnA avaBAsA avaBAsena
   paramātmaivāvabhātīti bhāvaḥ | "yaḥ" kathambhūtaḥ | "vibhuḥ" vyāpakaḥ |	paramAtmA eva avaBAti iti BAvaH | "yaH" kaTamBUtaH | "viBuH" vyApakaH |
   kutra | "me" parimitapramātṛtāsādanena cinmātrarūpāparimitapramātṛbhāvāc	kutra | "me" parimita pramAtR tA AsAdanena cit mAtra rUpA parimita pramAtR BAvAc
   cyutasyāta eva paricchinnavācakāsmacchabdavācyatāṃ gatasya	cyutasya atas eva paricCinna vAcaka asmat Sabda vAcya tAm gatasya
   parimitapramātuḥ | "bahiḥ "bāhye | ahantāviṣayatām anīte pradeśe iti yāvat	parimita pramAtuH | "bahis "bAhye | ahanta avizaya tAm anIte pradeSe iti yAvat 
   | punaḥ kutra | "antaś ca" ahantāviṣayatāṃ nīte pradeśe ca | "bahiḥ"	| punar kutra | "antaH ca" ahanta avizaya tAm nIte pradeSe ca | "bahis "
   kiṃrūpe | "divi" samastasurādhārabhūtasvargalokarūpe | tathā "bhūmau"	kiMrUpe | "divi" samasta sura ADAra BUta svarga loka rUpe | taTA "BUmO"
   samastanarādinānāvidhabhūtādhārabhūtabhūlokarūpe | "tathā" tadvat |	samasta nara Adi nAnAviDa BUta ADAra BUta BU loka rUpe | "taTA" tadvat |
   "ākāśe" śūnyamātrādhārabhūtākāśalokasvarūpe | etena caturdaśabhuvanānāṃ	"a AkASe" SUnya mAtra ADAra BUta AkASa loka svarUpe | etena caturdaSa BuvanAnAm
   grahaṇaṃ jñeyaṃ | "antaś ca" kiṃrūpe | "divi"	grahaNam jQeyam | "antaH ca" kiMrUpe | "divi"
   dyotanamātrasvarūpasvapnāvasthārūpe | "bhūmau" sthūlatvasādṛśyāj	dyotana mAtra svarUpa svapna avasTA rUpe | "BUmO" sTUla tva sAdRSya at 
   jāgradavasthārūpe | "tathā" tadvat | "ākāśe" śūnyamātrādhāratvasādṛśyāt	jAgrat avasTA rUpe | "taTA" tadvat | "AkASe" SUnya mAtra ADAra tva sAdRSyAt 
   suṣuptyavasthāsvarūpe | atra ca paramātmanaḥ vyāpakatvaṃ	suzupti avasTA svarUpe | atra ca paramAtmanaH vyApaka tvam
   śaktiprādhānyenopādānatayā sthitatvāt svaprādhānyena sākṣitayā sthitatvāc	Sakti prADAnyena upAdAna tayA sTita tvAt sva prADAnyena sAkzi tayA sTita tvAt 
   ceti dvividhaṃ jñeyam | evam abhīṣṭasamu citadevatānamaskāralakṣaṇam	ca iti dviviDam jQeyam | evam aBIzwa samu cita devatA namaskAra lakzaNam
   maṅgalaṃ kṛtvā uddhariṣyamāṇasyāsya	maFgalam kRtvA udDarizyamANasya asya
   granthasyādhikāryādyanubandhacatuṣṭayaṃ vaktukāmaḥ sa evoddhṛtikāraḥ	granTasya aDi kArya Adi anubanDa catuzwayam vaktu kAmaH saH eva udDRti kAraH
   abhidheyasambandhaprayojanāny arthāt sūcayan adhikārinirūpaṇaṃ	aBiDeya sambanDa prayojanAni arTAt sUcayan aDikAri nirUpaNam
   sākṣātkaroti || MoT_1,1.1 ||	sAkzAtkaroti || MoT_1,1.1 ||
   aham baddho vimuktaḥ syām iti yasyāsti niścayaḥ /	aham badDaH vimuktaH syAm iti yasya asti niScayaH /
   nātyantatajjño nātajjñaḥ so 'smiñ śāstre 'dhikāravān // Mo_1,1.2 //	na atyanta tajjQaH na atajjQaH saH asmin SAstre aDikAravAn // MaH _1,1.2 //
   śrībhagavatkṛpākaṭākṣapātrībhūtasya "yasya" puruṣasya |	SrI Bagavat kRpA kawAkza pAtrIBUtasya "yasya" puruzasya |
   ahamparimitapramātṛrūpaḥ "aham baddhaḥ" svātmabhāvena	ahamparimita pramAtR rUpaH "aham badDaH" sva Atma BAvena
   niścitadehopayogibhogajālāsaktacittaḥ | asmi katham iti śeṣaḥ |	niScita deha upayogi Boga jAla Asakta cittaH | asmi kaTam iti SezaH |
   proktajālānāsaktacittaḥ kathaṃ "syām" bhave yam | "iti" evam |" niścayaḥ"	prokta jAla an Asakta cittaH kaTam "syAm" Bave yam | "iti" evam |" niScayaH"
   manasi satatam anusandhānaṃ | syāt | "saḥ" puruṣaḥ | "asminn"	manasi satatam anusanDAnam | syAt | "saH" puruzaH | "asmin= "
   uddhariṣyamāṇe mokṣopāyākhye granthe | "adhikāravān" syāt | tasyaivedaṃ	udDarizyamANe mokza upAya AKye granTe | "aDikAravAn" syAt | tasya eva idam
   śāstraṃ vicāraṇīyam ity arthaḥ | "saḥ" kathambhūtaḥ | nātyantaṃ tajjñaḥ	SAstram vicAraNIyam iti arTaH | "saH" kaTamBUtaH | na atyantam tad jQaH
   "nātyantatajjñaḥ" | muktikāmatvena samyagjñānarahita 4ity arthaḥ |	"nAtyanta tajjQaH" | mukti kAma tvena samyak jQAna rahitaH 4iti arTaH |
   samyagjñānī hi muktim api na kāṅkṣati | kāṅkṣāmātrasyaiva bandhatvāt |	samyak jQAnI hi muktim api na kAFkzati | kAFkzA mAtrasya eva banDa tvAt |
   punaḥ kathambhūtaḥ | "nātajjñaḥ" | bhogākāṅkṣāyāḥ muktatvāt | atajjño hi	punar kaTamBUtaH | "nAtajjQaH" | Boga AkAFkzAyAH mukta tvAt | atajjQaH hi
   bhogākāṅkṣāṃ tyaktuṃ na śaknoti | atyantatajjñe kṛtakṛtyatvāt "asmiñ	Boga AkAFkzAm tyaktum na Saknoti | atyanta tajjQe kRtakRtya tvAt "asmin 
   śāstre" anadhikāraḥ | atajjñe tu ayogyatayeti vibhāgaḥ | atra	SAstre" anaDikAraH | atajjQe tu ayogyatayA iti viBAgaH | atra
   paramātmatattvaikyam abhidheyam | pade pade tasyaivābhidhānāt	paramAtma tattva Ekyam aBiDeyam | pade pade tasya eva aBiDAnAt
   svaviṣayajñānadvāreṇa mokṣākhyaparamaprayojanasādhakatvāc ca |	sva vizaya jQAna dvAreNa mokza AKya parama prayojana sADaka tvAt ca |
   sarvaśāstreṣv abhidheyasyaiva paramaprayojanasādhakatvadarśanāt |	sarva SAstrezu aBiDeyasya eva parama prayojana sADaka tva darSanAt |
   tadviṣayaṃ samyagjñānam avāntaraprayojanam | anyathā tatkāṅkṣiṇaḥ	tad vizayam samyak jQAnam avAntara prayojanam | anyaTA tad kAFkziNaH
   amūrkhasyāvāntarādhikāritvaṃ na syāt | paramaprayojaṇam muktir | anyathā	amUrKasya avAntara aDikAri tvam na syAt | parama prayojaNam muktiH | anyaTA
   tatkāṅkṣiṇaḥ mumukṣoḥ paramādhikāritvaṃ na syāt |	tad kAFkziNaH mumukzoH parama aDikAri tvam na syAt |
   śāstrāvāntaraprayojanayoḥ abhidheyaparamaprayojanayoś ca	SAstra avAntara prayojanayoH aBiDeya parama prayojanayoH ca
   sādhyasādhanabhāvaḥ sambandhaḥ | adhikārī tu svakaṇṭhenaivokta iti sarvaṃ	sADya sADana BAvaH sambanDaH | aDikArI tu sva kaNWena eva uktaH iti sarvam
   svastham || MoT_1,1.2 ||	svasTam || MoT_1,1.2 ||
   evam adhikāryādi nirūpya śāstroddhāram ārabhate	evam aDikArI Adi nirUpya SAstra udDAram AraBate
   vālmīkir uvāca	vAlmIkiH uvAca
   iti | "vālmīkiḥ" vālmīkināmā ṛṣiḥ | "uvāca" uktavān | śrīrāmam prati iti	iti | "vAlmIkiH" vAlmIki nAmA RziH | "uvAca" uktavAn | SrI rAmam prati iti
   śeṣaḥ | kim uvācety āśaṅkāyām āha	SezaH | kim uvAca iti ASaFkAyAm Aha
   kathopāyān vicāryādau mokṣopāyān imān atha |	kaTA upAyAn vicArya AdO mokza upAyAn imAn aTa |
   yo vicārayati prājño na sa bhūyo 'bhijāyate || MoT_1,1.3 ||	yaH vicArayati prAjQaH na sa BUyas aBijAyate || MoT_1,1.3 ||
   kathārūpā upāyāḥ "kathopāyāḥ" | tān | kathānām api samyagjñānam prati	kaTA rUpAH upAyAH "kaTA upAyAH" | tAn | kaTAnAm api samyak jQAnam prati
   pravartakatvenopāyatvaṃ jñeyam | "imān" vakṣyamāṇān | nanu śrīvālmīkiḥ	pravartaka tvena upAya tvam jQeyam | "imAn" vakzyamANAn | nanu SrIvAlmIkiH
   śrīrāmavṛttāntamayaṃ śrīmahārāmāyaṇaṃ śrīrāmam praty eva katham	SrI rAma vRttAnta mayam SrI mahArAmAyaNam SrI rAmam prati eva kaTam
   uvācānyasyaiva hy anyavṛttāntakathanam ucitam iti cet | satyam | adyakalpe	uvAca anyasya eva hi anya vRttAnta kaTanam ucitam iti ced | satyam | adyakalpe
   bhavaḥ śrīvālmīkir adyakalpe bhavaṃ śrīrāmam prati	BavaH SrIvAlmIkiH adyakalpe Bavam SrI rAmam prati
   purātanakalpaśrīvālmīkikṛtam purātanaśrīrāmavṛttāntamayaṃ śrīmahārāmāyaṇam	purAtana kalpa SrIvAlmIki kRtam purAtana SrI rAma vRttAnta mayam SrI mahArAmAyaNam
   uvāceti kecid atra samādadhate | kim asmākaṃ vyākhyāmātrapravṛttānām	uvAca iti kecid atra samAdaDate | kim asmAkam vyAKyA mAtra pravRttAnAm
   etadyuktatvāyuktatvacintanena | asti cātra kim api nigūḍham bījam "api	etad yukta tva ayukta tva cintanena | asti ca atra kim api nigUXam bIjam "api
   pauruṣam ādeyam" ityādivakṣyamāṇaślokasūcitam | tac ca pratibhāvatāṃ	pOruzam Adeyam" ityAdi vakzyamANa Sloka sUcitam | tat ca pratiBAvatAm
   svayam eva gamyam | anyeṣāṃ tatkathanam ayuktam | ity alaṃ	svayam eva gamyam | anyezAm tad kaTanam ayuktam | iti alam
   rahasyodghāṭanena || MoT_1,1.3 ||	rahasya udGAwanena || MoT_1,1.3 ||
   asmin rāmāyaṇe rāma kathopāyān mahāphalān /	asmin rAmAyaNe rAma kaTA upAyAn mahA PalAn /
   etāṃs tu prathamaṃ kṛtvā purāham arimardana // Mo_1,1.4 //	etAn tu praTamam kRtvA purA aham ari mardana // MaH _1,1.4 //
   śiṣyāyāsmai vinītāya bharadvājāya dhīmate /	SizyAya asmE vinItAya BaradvAjAya DImate /
   ekāgro dattavān ramyān maṇīn abdhir ivārthine // Mo_1,1.5 //	ekAgraH dattavAn ramyAn maNIn abDiH iva arTine // MaH _1,1.5 //
   "rāme"ty āmantraṇam | rāmasyaiva pratipādyatvāt | "etān" tvayā "asmin"	"rAme"ti AmantraNam | rAmasya eva pratipAdya tvAt | "etAn" tvayA "asmin"
   samaya eva dṛṣṭān | ādau "kṛtvā" sampādya | "asmai" agre sthitāya |	samayaH eva dRzwAn | AdO "kRtvA" sampAdya | "asmE" agre sTitAya |
   "ekāgraḥ" etasya vinayena etasmiṃl lagnacittaḥ | yugalakam || MoT_1,1.4 5	"ekAgraH" etasya vinayena etasmin lagna cittaH | yugalakam || MoT_1,1.4 5
   tata ete kathopāyā bharadvājena dhīmatā /	tatas ete kaTA upAyAH BaradvAjena DImatA /
   kasmiṃścin merugahane brahmaṇo 'gra udāhṛtāḥ // Mo_1,1.6 //	kasmiMScid meru gahane brahmaNaH agre udAhRtAH // MaH _1,1.6 //
   "udāhṛtāḥ" kathitāḥ || MoT_1,1.6 ||	"udAhRtAH" kaTitAH || MoT_1,1.6 ||
   athāsya tuṣṭo bhagavān brahmā lokapitāmahaḥ /	aTa asya tuzwaH BagavAn brahmA lokapitAmahaH /
   varam putra gṛhāṇeti samuvāca mahāśayaḥ // Mo_1,1.7 //	varam putra gRhANa iti samuvAca mahA ASayaH // MaH _1,1.7 //
   spaṣṭam || MoT_1,1.7 ||	spazwam || MoT_1,1.7 ||
   bharadvājaḥ kathayati	BaradvAjaH kaTayati
   bhagavan bhūtabhavyeśa varo 'yam me 'dya rocate /	Bagavan BUta Bavya ISa varaH ayam me adya rocate /
   yeneyaṃ janatā duḥkān mucyate tad udāhara // Mo_1,1.8 //	yena iyam janatA duHkAn mucyate tat udAhara // MaH _1,1.8 //
   "bhūtabhavyeśā"tītānāgatayor īśātītānāgatajñeti yāvat | "udāhara" kathaya	"BUta Bavya ISa a"tIta an AgatayoH ISa atIta an Agata jQA iti yAvat | "udAhara" kaTaya
   || MoT_1,1.8 || bharadvājavākyaṃ śrutvā śrībrahmā kathayati	|| MoT_1,1.8 || BaradvAja vAkyam SrutvA SrI brahmA kaTayati
   guruṃ vālmīkim atrāśu prārthayasva prayatnataḥ /	gurum vAlmIkim atra ASu prArTayasva prayatnataH /
   tenedaṃ yat samārabdhaṃ rāmāyaṇam aninditam // Mo_1,1.9 //	tena idam yat samArabDam rAmAyaNam aninditam // MaH _1,1.9 //
   tasmiñ jñāte naro mohāt samagrāt santariṣyati /	tasmin jQAte naraH mohAt samagrAt santarizyati /
   setunevāmbudheḥ pāram apāraguṇaśālinā // Mo_1,1.10 //	setun A iva ambuDeH pAram apAra guNa SAlinA // MaH _1,1.10 //
   yugalakam | "pāram" iti pūrvārdhenāpi yojyam | "ambudher" iti pañcamī	yugalakam | "pAram" iti pUrva arDena api yojyam | "ambuDer" iti paQcamI
   brahmavākyam upasaṃharati || MoT_1,1.9 10 ||	brahma vAkyam upasaMharati || MoT_1,1.9 10 ||
   ity uktvā sa bharadvājam parameṣṭhī mamāśramam /	iti uktvA sa BaradvAjam paramezWI mama ASramam /
   abhyāgamat samaṃ tena bharadvājena bhūtakṛt // Mo_1,1.11 //	aByAgamat samam tena BaradvAjena BUta kRt // MaH _1,1.11 //
   parame cinmātrākhye uttame pade tiṣṭhati śuddhamanorūpatvād iti	parame cit mAtra AKye uttame pade tizWati SudDa manaH rUpa tvAt iti
   "parameṣṭhī" || MoT_1,1.11 ||	"paramezWI" || MoT_1,1.11 ||
   tūrṇaṃ sampūjito devaḥ so 'rghyapādyādinā mayā /	tUrNam sampUjitaH devaH saH arGya pAdya AdinA mayA /
   avocan mām mahāsattvaḥ sarvabhūtahite rataḥ // Mo_1,1.12 //	avocat mAm mahAsattvaH sarva BUta hite rataH // MaH _1,1.12 //
   [BhG V 25d]	[Bhu V 25d]
   spaṣṭam || MoT_1,1.12 ||	spazwam || MoT_1,1.12 ||
   brahmā kathayati	brahmA kaTayati
   rāmasvabhāvakathanād asmād varamune tvayā /	rAma svaBAva kaTanAt asmAt vara mune tvayA /
   nodyogaḥ samparityājya ā samāpter aninditāt // Mo_1,1.13 //	na udyogaH samparityAjya A samApteH aninditAt // MaH _1,1.13 //
   "ā samāpteḥ "samāptiparyantam || MoT_1,1.13 ||	"A samApteH "samApti paryantam || MoT_1,1.13 ||
   nanu kimartham udyogaṃ na tyajāmīty | atrāha	nanu kimarTam udyogam na tyajAmi iti | atra Aha
   jñātenānena loko 'yam asmāt saṃsārasaṅkaṭāt /	jQAtena anena lokaH ayam asmAt saMsAra saFkawAt /
   samuttariṣyati kṣipram potenevātha sāgarāt // Mo_1,1.14 //	samuttarizyati kzipram potena iva aTa sAgarAt // MaH _1,1.14 //
   "atha"śabdaḥ pādapūraṇārthaḥ || MoT_1,1.14 ||	"aTa" SabdaH pAda pUraNa arTaH || MoT_1,1.14 ||
   vaktuṃ tavaitam evārtham aham āgatavān ayam /	vaktum tava etam eva arTam aham AgatavAn ayam /
   kuru lokahitārthaṃ tvaṃ śāstram ity uktavān ajaḥ // Mo_1,1.15 //	kuru loka hita arTam tvam SAstram iti uktavAn ajaH // MaH _1,1.15 //
   spaṣṭam | brahmaṇo vākyam upasaṃharati "ity uktavān" iti || MoT_1,1.15 ||	spazwam | brahmaNaH vAkyam upasaMharati "iti uktavAn" iti || MoT_1,1.15 ||
   rāma puṇyāśramāt tasmāt kṣaṇād antardhim āgataḥ /	rAma puNya ASramAt tasmAt kzaNAt antarDim AgataH /
   muhūrtād udyataḥ proccais taraṅga iva vāriṇaḥ // Mo_1,1.16 //	muhUrtAt udyataH proccEs taraFgaH iva vAriNaH // MaH _1,1.16 //
   "puṇyāśramāt" pavitrāt madāśramāt | "tasmāt" tasmin samaye gṛhītāt |	"puNya ASramAt" pavitrAt mad ASramAt | "tasmAt" tasmin samaye gRhItAt |
   munayo	munayaH 
   hi navīnāni navīnāny āśramāṇi gṛhṇanti | brahmā ka "iva" | "taraṅga iva" |	hi navInAni navInAni ASramANi gRhNanti | brahmA kaH "iva" | "taraFgaH iva" |
   yathā "vāriṇaḥ" "udyataḥ" pūrvam utthitaḥ "taraṅgaḥ" | "muhūrtād	yaTA "vAriNaH" "udyataH" pUrvam utTitaH "taraFgaH" | "muhUrtAt 
   antardhim" āgacchati tathety arthaḥ || MoT_1,1.16 ||	antarDim" AgacCati taTA iti arTaH || MoT_1,1.16 ||
   tasmin prayāte bhagavaty ahaṃ vismayam āgataḥ /	tasmin prayAte Bagavati aham vismayam AgataH /
   punas tatra bharadvājam apṛcchaṃ svacchayā dhiyā // Mo_1,1.17 //	punar tatra BaradvAjam apRcCam svacCayA DiyA // MaH _1,1.17 //
   "bharadvājaṃ" kathambhūtam | upalakṣitaṃ kayā | "svacchayā dhiyā" |	"BaradvAjan" kaTamBUtam | upalakzitam kayA | "svacCayA DiyA" |
   anyathā pṛcchanam ayuktam eva syād iti bhāvaḥ || MoT_1,1.17 ||	anyaTA pRcCanam ayuktam eva syAt iti BAvaH || MoT_1,1.17 ||
   kim apṛccha ity | atrāha	kim apRcCaH iti | atra Aha
   kim etad brahmaṇā proktam bharadvāja vadāśu me /	kim etat brahmaNA proktam BaradvAja vada ASu me /
   ity uktena punaḥ proktam bharadvājena me 'nagha // Mo_1,1.18 //	iti uktena punar proktam BaradvAjena me anaGaH // MaH _1,1.18 //
   "anagha" he doṣarahita rāma || MoT_1,1.18 ||	"anaGa" he doza rahita rAma || MoT_1,1.18 ||
   bharadvājaḥ kathayati	BaradvAjaH kaTayati
   etad uktam bhagavatā yathā rāmāyaṇaṃ kuru /	etat uktam BagavatA yaTA rAmAyaNam kuru /
   sarvalokahitāyāśu saṃsārārṇavapotakam // Mo_1,1.19 //	sarva loka hitAya ASu saMsAra arNava potakam // MaH _1,1.19 //
   "etat"padākāṅkṣām pūrayati "yathe"ti || MoT_1,1.19 ||	"etat"pada AkAFkzAm pUrayati "yaTe"ti || MoT_1,1.19 ||
   nanu tatas tava kim ity | atrāha	nanu tatas tava kim iti | atra Aha
   mahyaṃ ca bhagavan brūhi kathaṃ saṃsārasaṅkaṭe /	mahyam ca Bagavan brUhi kaTam saMsAra saFkawe /
   rāmo vyavahṛto 'py asmin bharataś ca mahāmanāḥ // Mo_1,1.20 //	rAmaH vyavahRtaH api asmin BarataH ca mahAmanAH // MaH _1,1.20 //
   "vyavahṛtaḥ" vyavahāraṃ kṛtavān | "api"śabdaḥ asambhāvanādyotakaḥ	"vyavahRtaH" vyavahAram kRtavAn | "api" SabdaH asamBAvanA dyotakaH
   "saṃsārasaṅkaṭe" ity anena sambadhyate || MoT_1,1.20 ||	"saMsAra saFkawe" iti anena sambaDyate || MoT_1,1.20 ||
