   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   uru prathasva, uru te yajñapatiḥ prathatām, saṃ te tanvā tanvaḥ pṛcyantām	uru praTasva, uru te yajQapatiH praTatAm, sam te tanvA tanvaH pRcyantAm
        pari vājapatiḥ kavir agnir havyāny akramīt /	pari vAja patiH kaviH agniH havyAni akramIt /
        dadhad ratnāni dāśuṣe //	daDat ratnAni dASuze //
   devas tvā savitā śrapayatu varṣiṣṭhe adhi nāke pṛthivyās, agne brahma	devaH tvA savitA Srapayatu varzizWe aDi nAke pRTivI As, agne brahma
   gṛhṇīṣva //MS_1,1.9//	gRhNIzva //n= _1,1.9//
   devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām ādade,	devasya tvA savituH prasave aSvinoH bAhuByAm pUzNaH hastAByAm Adade,
   indrasya bāhur asi dakṣiṇaḥ sahasrabhṛṣṭiḥ śatatejās, vāyus tigmatejāḥ	indrasya bAhuH asi dakziNaH sahasra BRzwiH Sata tejAs, vAyuH tigma tejAH
   pṛthivi devayajani mā hiṃsiṣaṃ tā oṣadhīnāṃ mūlam, vrajaṃ gacha gosthānam,	pRTivi deva yajani mA hiMsizam tAH ozaDInAm mUlam, vrajam gaCa go sTAnam ,
   varṣatu te parjanyas, badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ	varzatu te parjanyas, baDAna deva savitar Satena pASEH paramasyAm
   parāvati yo asmān dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna so 'to mā	parAvati yaH asmAn dvezwi yam ca vayam dvizmaH tam atra baDAna saH atas mA
   moci mā vaḥ śivā oṣadhayo mūlaṃ hiṃsiṣam, vrajaṃ gacha gosthānam, varṣatu	moci mA vaH SivAH ozaDayaH mUlam hiMsizam, vrajam gaCa go sTAnam, varzatu
   te parjanyas, badhāna deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati yo	te parjanyas, baDAna deva savitar Satena pASEH paramasyAm parAvati yaH 
   asmān dveṣṭi yaṃ ca vayaṃ dviṣmas tam atra badhāna so 'to mā moci drapsas	asmAn dvezwi yam ca vayam dvizmaH tam atra baDAna saH atas mA moci drapsas
   te divaṃ mā skān vrajaṃ gacha gosthānam, varṣatu te parjanyas, badhāna	te divam mA skAn vrajam gaCa go sTAnam, varzatu te parjanyas, baDAna
   deva savitaḥ śatena pāśaiḥ paramasyāṃ parāvati yo asmān dveṣṭi yaṃ ca	deva savitar Satena pASEH paramasyAm parAvati yaH asmAn dvezwi yam ca
   vayaṃ dviṣmas tam atra badhāna so 'to mā moci vasavas tvā parigṛhṇantu	vayam dvizmaH tam atra baDAna saH atas mA moci vasavaH tvA parigRhNantu
   gāyatreṇa chandasā rudrās tvā parigṛhṇantu traiṣṭubhena chandasā, ādityās	gAyatreNa CandasA rudrAH tvA parigRhNantu trEzwuBena CandasA, Aditya as
   tvā parigṛhṇantu jāgatena chandasā, apāraruṃ pṛthivyā adevayajanam,	tvA parigRhNantu jAgatena CandasA, apAra rum pRTivyAH adeva yajanam,
   satyasad asi, ṛtasad asi gharmasad asi //	satyasat asi, Rtasat asi Garma sat asi //
        purā krūrasya visṛpo virapśina udādāya pṛthivīṃ jīradānum /	purA krUrasya visRpaH virapSinaH udAdAya pRTivIm jIra dAnum /
        tām airayaṃś candramasi svadhābhis tāṃ dhīrāsaḥ kavayo	tAm Erayan candramasi svaDABiH tAm DIrAsaH kavayaH 
   'nudiśyāyajanta //MS_1,1.10//	anudiSya ayajanta //n= _1,1.10//
   pratyuṣṭaṃ rakṣaḥ pratyuṣṭārātir āyuḥ prāṇaṃ mā nirmārjīs, cakṣuḥ śrotraṃ	pratyuzwam rakzaH pratyuzwa arAtiH AyuH prANam mA nirmArjIs, cakzuH Srotram
   mā nirmārjīs, vācaṃ paśūn mā nirmārjīs, yajñaṃ prajāṃ mā nirmārjīs tejo	mA nirmArjIs, vAcam paSUn mA nirmArjIs, yajQam prajAm mA nirmArjIH tejaH 
   'si śukram asi jyotir asi, amṛtam asi vaiśvadevam asi //	asi Sukram asi jyotiH asi, amRtam asi vESvadevam asi //
        havir asi vaiśvānaram unnītaśuṣmaṃ satyaujāḥ /	haviH asi vESvAnaram unnIta Suzmam satya ojAH /
        saho 'si sahasvārātiṃ sahasva pṛtanāyataḥ //	sahaH asi saha sva arAtim sahasva pRtanAyataH //
   sahasravīryam asi tan mā jinva, ājyasyājyam asi haviṣo haviḥ satyasya	sahasra vIryam asi tat mA jinva, Ajyasya Ajyam asi havizaH haviH satyasya
   satyam, satyābhighṛtam, satyena tvābhighārayāmi, adabdhena tvā	satyam, satya aBiGRtam, satyena tvA aBiGArayAmi, adabDena tvA
   cakṣuṣāvekṣe rāyaspoṣāya suprajāstvāya //	cakzuzA avekze rAyaspozAya suprajAH tvAya //
        dhāmāsi priyaṃ devānām anādhṛṣṭaṃ devayajanam /	DAmA asi priyam devAnAm anADRzwam deva yajanam /
        devavītyai tvā gṛhṇāmi //	devavItyE tvA gRhNAmi //
   devīr āpaḥ śuddhā yūyaṃ devān yuyudhvam, śuddhā vayaṃ supariviṣṭāḥ	devIH ApaH SudDAH yUyam devAn yuyuDvam, SudDAH vayam su parivizwAH
   pariveṣṭāro vo bhūyāsma kṛṣṇo 'sy ākhareṣṭhas, agnaye ghṛtaṃ bhava vedir	parivezwAraH vaH BUyAsma kRzNaH asi AKarezWas, agnaye GRtam Bava vediH 
   asi barhiṣe tvā juṣṭaṃ prokṣāmi barhir asi vedyai tvā juṣṭaṃ prokṣāmi	asi barhize tvA juzwam prokzAmi barhiH asi vedyE tvA juzwam prokzAmi
   svāhā pitṛbhyo gharmapāvabhyaḥ //MS_1,1.11//	svAhA pitRByaH Garma pAvaByaH //n= _1,1.11//
   ākhareṣṭhas : FN saṃdhi is strange. Ed.: ākhareṣṭhā agnaye. P:	AKarezWaH : FN saMDi iH strange. Ed.: AKarezWAH agnaye. P:
   ākhareṣṭhaḥ.	AKarezWaH.
   pūṣā te granthiṃ viṣyatu viṣṇoḥ stupo 'si, uru prathasvorṇamradaṃ	pUzA te granTim vizyatu vizNoH stupaH asi, uru praTasva UrNamra dam
   svāsasthaṃ devebhyas, gandharvo 'si viśvāvasur viśvasmād īṣamāṇas,	svAsa sTam deveByas, ganDarvaH asi viSvAvasuH viSvasmAt IzamANa s,
   yajamānasya paridhir iḍa īḍitas, indrasya bāhur asi dakṣiṇas, yajamānasya	yajamAnasya pariDiH ixaH Ixitas, indrasya bAhuH asi dakziNas, yajamAnasya
   paridhir iḍa īḍitas, mitrāvaruṇau tvottarataḥ paridhattām, yajamānasya	pariDiH ixaH Ixitas, mitrAvaruNO tvA uttaratas pariDattAm, yajamAnasya
   paridhir asīḍa īḍitaḥ //	pariDiH asIxaH IxitaH //
   nityahotāraṃ tvā kave dyumantaḥ samidhīmahi //	nitya hotAram tvA kave dyumantaH samiDImahi //
   varṣiṣṭhe adhi nāke pṛthivyāḥ sūryas tvā raśmibhiḥ purastāt pātu kasyāścid	varzizWe aDi nAke pRTivyAH sUryaH tvA raSmiBiH purastAt pAtu kasyAScid 
   abhiśastyās, viśvajanasya vidhṛtī sthas, vasūnāṃ rudrāṇām ādityānāṃ sado	aBiSasti As, viSva janasya viDRtI sTas, vasUnAm rudrANAm AdityAnAm sadaH 
   'si srucāṃ yonis, dyaur asi janmanā juhūr nāma priyā devānāṃ priyeṇa nāmnā	asi srucAm yoni s, dyOH asi janmanA juhUH nAma priyA devAnAm priyeNa nAmnA
   dhruve sadasi sīda, antarikṣam asi janmanopabhṛn nāma priyā devānāṃ	Druve sadasi sIda, antarikzam asi janmanA upaBRt nAma priyA devAnAm
   priyeṇa nāmnā dhruve sadasi sīda pṛthivy asi janmanā dhruvā nāma priyā	priyeNa nAmnA Druve sadasi sIda pRTivI asi janmanA DruvA nAma priyA
   devānāṃ priyeṇa nāmnā dhruve sadasi sīda ṛṣabho 'si śākvaras, vaṣaṭkārasya	devAnAm priyeNa nAmnA Druve sadasi sIdaH RzaBaH asi SAkvaras, vazawkArasya
   tvā mātrāyāṃ sādayāmi //	tvA mAtrAyAm sAdayAmi //
   dhruvā asadann ṛtasya yonau sukṛtasya loke tā viṣṇo pāhi //	DruvAH asadan Rtasya yonO sukRtasya loke tAH vizNo pAhi //
   pāhi yajñam, pāhi yajñapatim, pāhi māṃ yajñanyam //	pAhi yajQam, pAhi yajQapatim, pAhi mAm yajQanyam //
   viṣṇūni stha vaiṣṇavāni dhāmāni stha prājāpatyāni //MS_1,1.12//	vizNUni sTa vEzNavAni DAmAni sTa prAjApatyAni //n= _1,1.12//
   sūyame me 'dya staṃ svāvṛtau sūpāvṛtau, agnāviṣṇū vijihāthām, mā mā	sUyame me adya stam su AvRtO su upAvRtO, agnAvizNU vijihATAm, mA mA
   hiṃsiṣṭam, lokaṃ me lokakṛtau kṛṇutam, mā modoṣiṣṭam ātmānaṃ me pātam,	hiMsizwam, lokam me loka kRtO kRNutam, mA modozizwam AtmAnam me pAtam,
   śivau bhavatam adya nas, viṣṇoḥ sthāmāsi, ita indras tiṣṭhan vīryam akṛṇod	SivO Bavatam adya nas, vizNoH sTAmAsi, itas indraH tizWan vIryam akRNot 
   devatābhiḥ samārabhya //	devatABiH samAraBya //
        ūrdhvo adhvaro divispṛg ahruto yajño yajñapateḥ /	UrDvaH aDvaraH divispRS ahrutaH yajQaH yajQapateH /
        indravānt svavān bṛhadbhāḥ //	indravAnt svavAn bRhadBAH //
   vīhi madhor ghṛtasya svāhā saṃ jyotiṣā jyotiḥ //	vIhi maDoH GRtasya svAhA sam jyotizA jyotiH //
        vājasya mā prasavenodgrābheṇodajigrabhat /	vAjasya mA prasavena udgra aBeNa udajigraBat /
        athā sapatnān indro me nigrābheṇādharaṃ akaḥ //	aTA sapatnAn indraH me nigrABeNa aDaram akaH //
        udgrābhaś ca nigrābhaś ca brahma devaṃ avīvṛdhat /	udgrABaH ca nigrABaH ca brahma devam avIvRDat /
        athā sapatnān indrāgnī me viṣūcīnān vyasyatām //	aTA sapatnAn indra agnI me vizUcInAn vyasyatAm //
   [Page I,9]	[Pa ge I,9]
   vasur asi, upāvasur asi viśvāvasur asi, aptubhī rihāṇā vyantu vayas, vaśā	vasuH asi, upAvasuH asi viSvAvasuH asi, aptuBiH rihANAH vyantu vayas, vaSA
   pṛśnir bhūtvā maruto gacha tato no vṛṣṭyāvata //	pRSniH BUtvA marutaH gaCa tatas naH vRzwyA avata //
        saṃsrāvabhāgāḥ stheṣā bṛhantaḥ prastareṣṭhā barhiṣadaś ca devāḥ /	saMsrAva BAgAH sTezAH bRhantaH prastarezWAH barhizadaH ca devAH /
        imāṃ vācam abhi viśve gṛṇantaḥ svāhā devā amṛtā mādayantām //	imAm vAcam aBi viSve gRNantaH svAhA devAH amRtAH mAdayantAm //
   devā gātuvido gātuṃ vittvā gātum ita manasaspate sudhātv imaṃ yajñaṃ divi	devAH gAtu vidaH gAtum vittvA gAtum ita manasaspate suDAtu imam yajQam divi
   deveṣu vāte dhāḥ svāhā //MS_1,1.13//	devezu vAte DAH svAhA //n= _1,1.13//
   āpo devīḥ śundhata mā madhumantaṃ madhumatīr devayajyāyai //	ApaH devIH SunData mA maDumantam maDumatIH devayajyAyE //
        oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīḥ /	ozaDe trAyasva enam svaDite mA enam hiMsIH /
        yā te śivatamā tanūs tayainam upaspṛśa //	yA te SivatamA tanUH tayA enam upaspRSa //
   devaśrud imān pravape svasty uttaraṃ aśīya //	deva Srud imAn pravape svasti uttaram aSIya //
        hiraṇyavarṇāḥ śucayaḥ pāvakāḥ pracakramur hitvāvadyam āpaḥ /	hiraNya varNAH SucayaH pAvakAH pracakramuH hitvA avadyam ApaH /
        śataṃ pavitrā vitatāny āsu tebhir mā devaḥ savitā punātu //	Satam pavitrA vitatAni Asu teBiH mA devaH savitA punAtu //
   [Page I,10]	[Pa ge I,10]
        āpo mā mātaraḥ sūdayantu ghṛtena mā ghṛtapvaḥ punantu /	ApaH mA mAtaraH sUdayantu GRtena mA GRtapvaH punantu /
        viśvaṃ hi ripraṃ pravahantu devīr ud id ābhyaḥ śucir ā pūta emi //	viSvam hi ripram pravahantu devIH ud id AByaH SuciH A pUtaH emi //
   viṣṇoḥ śarmāsi śarma me yaccha, ūrje tvā mahīnāṃ payo 'sy apām oṣadhīnāṃ	vizNoH SarmA asi Sarma me yacCa, Urje tvA mahInAm payaH asi apAm ozaDInAm
   rasas, varcodhā asi varco me dhehi //	rasas, varcaH DAH asi varcaH me Dehi //
   vṛtrasyāsi kanīnikā cakṣuṣo me vayodhās, antar ahaṃ tvayā dveṣo antar	vRtrasya asi kanInikA cakzuzaH me vayaH DAs, antar aham tvayA dvezaH antar
   arātīr dadhe mahatā parvatena cakṣuṣpā asi cakṣur me pāhi //	arAtIH daDe mahatA parvatena cakzuzpAH asi cakzuH me pAhi //
   citpatis tvā punātu vācaspatis tvā punātu //	citpatiH tvA punAtu vAcaspatiH tvA punAtu //
        devas tvā savitā punātv achidreṇa pavitreṇa /	devaH tvA savitA punAtu aCidreNa pavitreNa /
        vasoḥ sūryasya raśmibhiḥ //	vasoH sUryasya raSmiBiH //
   tasya te pavitrapate pavitreṇa yasmai kaṃ pune tañ śakeyam //MS_1,2.1//	tasya te pavitra pate pavitreNa yasmE kam pune tan Sakeyam //n= _1,2.1//
   ākūtyai prayuje agnaye svāhā medhāyai manase agnaye svāhā dīkṣāyai tapase	AkUtyE prayuje agnaye svAhA meDAyE manase agnaye svAhA dIkzAyE tapase
   agnaye svāhā sarasvatyai pūṣṇe agnaye svāhā //	agnaye svAhA sarasvatyE pUzNe agnaye svAhA //
        āpo devīr bṛhatīr viśvaśaṃbhuvo dyāvāpṛthivī uro antarikṣa /	ApaH devIH bRhatIH viSva SaMBuvaH dyAvApRTivI uraH antarikza /
        bṛhaspatir no haviṣā vṛdhātu // svāhā //	bRhaspatiH naH havizA vRDAtu // svAhA //
        viśvo devasya netur marto vurīta sakhyam /	viSvaH devasya netuH martaH vurIta saKyam /
        viśvo rāya iṣudhyati dyumnaṃ vṛṇīta puṣyase // svāhā //	viSvaH rAyaH izuDyati dyumnam vRNIta puzyase // svAhA //
   ṛksāmayoḥ śilpe sthas te vām ārabhe, ā modṛcaḥ pātam, viṣṇoḥ śarmāsi śarma	Rc sAmayoH Silpe sTaH te vAm AraBe, A modRcaH pAtam, vizNoH SarmA asi Sarma
   me yacha namas te astu mā mā hiṃsīḥ //	me yaCa namaH te astu mA mA hiMsIH //
   [Page I,11]	[Pa ge I,11]
        imāṃ dhiyaṃ śikṣamāṇasya deva kratuṃ dakṣaṃ varuṇa saṃśiśādhi /	imAm Diyam SikzamANasya deva kratum dakzam varuNa saMSiSADi /
        yayāti viśvā duritā tarema sutarmāṇam adhi nāvaṃ ruheyam //	yayAti viSvA duritA tarema sutarmANam aDi nAvam ruheyam //
   sūryāgnī dyāvāpṛthivī uro antarikṣāpa oṣadhayās, upa mā dīkṣāyāṃ	sUrya agnI dyAvApRTivI uraH antarikza apaH ozaDayAs, upa mA dIkzAyAm
   dīkṣāpatayo hvayadhvam, deva savitas tvaṃ dīkṣāyā dīkṣāpatir asi, itthaṃ	dIkzA patayaH hvayaDvam, deva savitas tvam dIkzAyAH dIkzA patiH asi, itTam
   mā santaṃ pāhi, ūrg asy āṅgirasy ūrṇamradās, ūrjaṃ mayi dhehi, indrasya	mA santam pAhi, Urc asi AFgirasi UrNamra dAs, Urjam mayi Dehi, indrasya
   yonir asi gopāya mā namas te astu mā mā hiṃsīḥ //	yoniH asi gopAya mA namaH te astu mA mA hiMsIH //
        kṛṣiṃ susasyām utkṛṣe supippalā oṣadhīs kṛdhi /	kRzim su sasyAm utkRze su pippalAH ozaDIH kRDi /
        viṣāṇe viṣyaitaṃ granthiṃ yad asya guṣpitaṃ hṛdi mano yad asya	vizANe vizya etam granTim yat asya guzpitam hRdi manaH yat asya
   guṣpitam //	guzpitam //
   bṛhann asi vānaspatyaḥ sudyumno dyumnaṃ yajamānāya dhehi nakṣatrāṇāṃ	bRhan asi vAnaspatyaH sudyumnaH dyumnam yajamAnAya Dehi nakzatrANAm
   mātīkāśāt pāhi //	mAtIkASAt pAhi //
        ā vo devāsa īmahe vāmaṃ prayaty adhvare /	A vaH devAsaH Imahe vAmam prayati aDvare /
        yad vo devāsa āguri yajñiyāso havāmahe //	yat vaH devAsaH Aguri yajQiyAsaH havAmahe //
