   oṃ namo ratnatrayāya	om namaH ratnatrayAya
   p.1.5/.atha prakṛtir mātaṅga^dārikāyuṣmantam ānandāya pānīyam adāt/	p.1.5/.aTa prakRtiH mAtaFga^dArikA Ayuzmantam AnandAya pAnIyam adAt/
   atha^āyuṣmān ānandaḥ pānīyaṃ pītvā prakrāntaḥ/	aTa^AyuzmAn AnandaH pAnIyam pItvA prakrAntaH/
   p.1.6/.atha prakṛtir mātaṅga^dārikāyuṣmanta ānandsya śarīre mukhe svare	p.1.6/.aTa prakRtiH mAtaFga^dArikA AyuzmantaH Anandsya SarIre muKe svare
   sādhu ca suṣṭhu ca nimittam udgṛhītvā yoniśo manasikāreṇāviṣṭā	sADu ca suzWu ca nimittam udgRhItvA yoniSas manasikAreNa AvizwA
   saṃrāgacittam utpādayati (1) sma/ āryo me ānandaḥ svāmī ayād iti/ mātā ca	saMrAga cittam utpAdayati (1) sma/ AryaH me AnandaH svAmI ayAt iti/ mAtA ca
   me mahā^vidyādharī sā śakṣyaty āryam ānandam ānayitum/	me mahA^vidyADarI sA Sakzyati Aryam Anandam Anayitum/
   p.2.1/.atha prakṛtir mātaṅga^dārikā pānīyaghaṭam ādāya yena caṇḍāla^gṛhaṃ	p.2.1/.aTa prakRtiH mAtaFga^dArikA pAnIya Gawam AdAya yena caNxAla^gRham
   tena^upasaṃkramya pānīya^ghaṭam ekānte nikṣipya svāṃ jananīm idam avocat/	tena^upasaMkramya pAnIya^Gawam ekAnte nikzipya svAm jananIm idam avocat /
   p.2.2/.yat khalv evam amba jānīyā ānando nāma śramaṇo	p.2.2/.yat Kalu evam amba jAnIyAH AnandaH nAma SramaNaH 
   mahāśramaṇa^gautamasya śrāvaka upasthāyakas tam ahaṃ svāminam icchāmi/	mahASramaNa^gOtamasya SrAvakaH upasTAyakaH tam aham svAminam icCAmi/
   śakṣyasi tam amba ānayitum/	Sakzyasi tam ambe Anayitum/
   p.2.3/.sā tām avocat/ śaktā +ahaṃ putri ānandam ānayituṃ/ sthāpayitvā yo	p.2.3/.sA tAm avocat/ SaktAH +aham putri Anandam AnayituM/ sTApayitvA yaH 
   mṛtaḥ syād yo vā vīta^rāgaḥ/ api ca rājā prasenajit kauśalaḥ	mRtaH syAt yaH vA vIta^rAgaH/ api ca rAjA prasenajit kOSalaH
   śramaṇa^gautamam atīva sevate bhajate paryupāsate/ yadi jānīyāt so +ayaṃ	SramaNa^gOtamam atIva sevate Bajate paryupAsate/ yadi jAnIyAt saH +ayam
   caṇḍāla^kulasyānarthāya pratipadyeta/ śramaṇaś ca gautamo vīta^rāgaḥ	caNxAla^kulasya anarTAya pratipadyeta/ SramaNaH ca gOtamaH vIta^rAgaH
   śrūyate/ vīta^rāgasya [mantrāḥ] punaḥ sarva^mantrān abhibhavanti/	SrUyate/ vIta^rAgasya [mantrAH] punar sarva^mantrAn aBiBavanti/
   p.2.4/.evam uktā prakṛtir mātaṅga^dārikā mātaram idam avocat/ sa ced amba	p.2.4/.evam uktA prakRtiH mAtaFga^dArikA mAtaram idam avocat/ sa ced amba
   śramaṇo gautamā vīta^rāgastasya^antikāc chramaṇam ānandaṃ na pratilapsye	SramaNaH gOtamAH vIta^rAgaH tasya^antikAt SramaNam Anandam na pratilapsye
   jīvitaṃ parityajeyaṃ sa cet pratilipsye jīvāmi/	jIvitam parityajeyam sa ced pratilipsye jIvAmi/
   p.2.5/.mā te putri jīvitaṃ parityajasi ānayāmi śramaṇam ānandam/	p.2.5/.mA te putri jIvitam parityajasi AnayAmi SramaNam Anandam/
   p.2.6/.atha prakṛter mātaṅga^dārikāyā mātā madhye gṛhāṅganasya	p.2.6/.aTa prakRteH mAtaFga^dArikAyAH mAtA maDye gRha aFganasya
   gomayenopalepanaṃ kṛtvā vedīm ālipya darbhān saṃstīrya^agniṃ	gomayena upalepanam kRtvA vedIm Alipya darBAn saMstIrya^agnim
   prajvālya^aṣṭaśatam arka^puṣpāṇāṃ gṛhītvā mantrān āvartayamānā ekaikam	prajvAlya^azwaSatam arka^puzpANAm gRhItvA mantrAn AvartayamAnAH ekEkam
   arka^puṣpaṃ parijapya agnau pratikṣipati sma/ tatra^iyaṃ vidyā bhavatiḥ	arka^puzpam parijapya agnO pratikzipati sma/ tatra^iyam vidyA BavatiH
   p.3.1/.amale vimale kuṅkume sumane/ yena baddhā +asi vidyut/ icchayā devo	p.3.1/.amale vimale kuFkume sumane/ yena badDA +asi vidyut/ icCayA devaH 
   varṣati vidyotati gajeti vismayaṃ mahā^rājasya samabhivardhāyituṃ devebhyo	varzati vidyotati gaja iti vismayam mahA^rAjasya samaBivarDAyitum deveByaH 
   manuṣyebhyo gandharvebhyoḥ śikhi^grahā devā viśikhi^gra(@)hā devā	manuzyeByaH ganDarveByoH SiKi^grahAH devAH viSiKi^gra(@)hA devA
   ānandasya^āgamanāya saṃgamanāya kramaṇāya grahaṇāya juhomi svāhā/	Anandasya^AgamanAya saMgamanAya kramaNAya grahaNAya juhomi svAhA/
   p.3.2/.atha^āyuṣmata ānandasya cittam ākṣiptaṃ/ sa vihārān niṣkramya yena	p.3.2/.aTa^AyuzmataH Anandasya cittam AkziptaM/ sa vihArAt nizkramya yena
   caṇḍāla^gṛhaṃ tena^upasaṃkrāmati sma/	caNxAla^gRham tena^upasaMkrAmati sma/
   p.3.3/.adrākṣīc caṇḍālī āyuṣmantam ānandaṃ dūrād eva^āgacchantaṃ/ dṛṣṭvā	p.3.3/.adrAkzIt caNxAlI Ayuzmantam Anandam dUrAt eva^AgacCantaM/ dRzwvA
   ca punaḥ prakṛtiṃ duhitaram idam avocat/ ayam asau putri śramaṇa ānanda	ca punar prakRtim duhitaram idam avocat/ ayam asO putri SramaNaH Ananda
   āgacchati śayanaṃ prajñapaya/	AgacCati Sayanam prajQapaya/
   p.3.4/.atha prakṛtir mātaṅga^dārikā hṛṣṭa^tuṣṭā pramudita^manā āyuṣmata	p.3.4/.aTa prakRtiH mAtaFga^dArikA hRzwaH ^tuzwA pramudita^manAH Ayuzmata
   ānandasya śayyāṃ prajñapayati sma/	Anandasya SayyAm prajQapayati sma/
   p.3.5/.atha^āyuṣmān ānando yena caṇḍāla^gṛhaṃ tena^upasaṃkrāntaḥ/	p.3.5/.aTa^AyuzmAn AnandaH yena caNxAla^gRham tena^upasaMkrAntaH/
   upasaṃkramya vedīm upaniśrityā +asthāt/ ekānta^sthitaḥ sa punar āyuṣmān	upasaMkramya vedIm upaniSrityAH +a sTAt/ ekAnta^sTitaH sa punar AyuzmAn
   ānandaḥ prārodīd/ aśrūṇi pravartayamāna evam āha/ vyasana^prāpto +aham	AnandaH prArodId/ aSrUNi pravartayamAnaH evam Aha/ vyasana^prAptaH +aham
   asmi na ca me bhagavān samanvāharati/	asmi na ca me BagavAn samanvAharati/
   p.3.6/.atha bhagavān āyuṣmantam ānandaṃ samanvāharati sma/ samanvāhṛtya	p.3.6/.aTa BagavAn Ayuzmantam Anandam samanvAharati sma/ samanvAhRtya
   saṃbuddha^mantraiś caṇḍāla^mantrān pratihanti sma/ tatra^iyaṃ vidyāḥ/	saMbudDa^mantrEH caNxAla^mantrAn pratihanti sma/ tatra^iyam vidyAH/
   p.3.7./.sthitir acyutiḥ sunītiḥ/ svasti sarva^prāṇibhyaḥ/	p.3.7./.sTitiH acyutiH sunItiH/ svasti sarva^prANiByaH/
   p.4.1ab/.saraḥ prasannaṃ nirdoṣaṃ praśāntaṃ sarvato +abhayaṃ/	p.4.1ab/.saraH prasannam nirdozam praSAntam sarvatas +aBayaM/
   p.4.1cd/.ītayo yatra śāmyanti bhayāni calitāni ca/	p.4.1cd/.ItayaH yatra SAmyanti BayAni calitAni ca/
   p.4.2ab/.tad vai devā namsyanti sarva^siddhāś ca yoginaḥ/	p.4.2ab/.tat vE devAH namsyanti sarva^sidDAH ca yoginaH/
   p.4.2cd/.etena satya^vākyena svastyā^ānandāya bhikṣave//	p.4.2cd/.etena satya^vAkyena svastyA^AnandAya Bikzave//
   p.4.3/.atha^āyuṣmān ānandaḥ pratihata^caṇḍāla^mantraś caṇḍāla^gṛhān	p.4.3/.aTa^AyuzmAn AnandaH pratihata^caNxAla^mantraH caNxAla^gRhAn
   niṣkramya yena svako vihāras tena^upasaṃkramitum ārabdhaḥ/	nizkramya yena svakaH vihAraH tena^upasaMkramitum ArabDaH/
   p.4.4/.adrākṣīt prakṛtir mātaṅga^dārikā/ ānandam āyuṣmantaṃ	p.4.4/.adrAkzIt prakRtiH mAtaFga^dArikA/ Anandam Ayuzmantam
   pratigacchantaṃ dṛṣṭvā ca punaḥ svāṃ jananīm idam avocat/ ayam asau mātaḥ	pratigacCantam dRzwvA ca punar svAm jananIm idam avocat/ ayam asO mAtar 
   śramaṇa ānandaḥ pratigacchati/ tām āha mātā/ niyataṃ putri śramaṇena	SramaNaH AnandaH pratigacCati/ tAm Aha mAtA/ niyatam putri SramaNena
   gautamena samanvāhṛto bhaviṣyati/ tena mama mantrāḥ pratihatā bhaviṣyanti/	gOtamena samanvAhRtaH Bavizyati/ tena mama mantrAH pratihatAH Bavizyanti/
   prakṛtir āha/ kiṃ punar amba balavattarāḥ śramaṇasya gautamasya mantrā	prakRtiH Aha/ kim punar amba balavattarAH SramaNasya gOtamasya mantrA
   na^asmākaṃ/	na^asmAkaM/
   tām āha mātā/ balavattarāḥ śramaṇasya gautamasya mantrā na^asmākaṃ/ ye	tAm Aha mAtA/ balavattarAH SramaNasya gOtamasya mantrAH na^asmAkaM/ ye
   putri mantāḥ sarva^lokasya prabhavanti tān mantrān śramaṇo gautama	putri mantAH sarve ^lokasya praBavanti tAn mantrAn SramaNaH gOtama
   ākāṅkṣamāṇaḥ pratihanti/ na punar lokaḥ prabhavati śramaṇasya gautamasya	AkAFkzamANaH pratihanti/ na punar lokaH praBavati SramaNasya gOtamasya
   mantrān pratihantuṃ/ evaṃ balavattarāḥ avamaṇasya gautamasya mantrāḥ/	mantrAn pratihantuM/ evam balavattarAH avamaNasya gOtamasya mantrAH/
   p.4.5/.atha^āyuṣmān ānando yena bhagavāṃs tena^upasaṃkrāntaḥ/ upasaṃkramya	p.4.5/.aTa^AyuzmAn AnandaH yena BagavAn tena^upasaMkrAntaH/ upasaMkramya
   bhagavataḥ pādau śirasā vanditvā^ekānte +asthāt/	BagavataH pAdO SirasA vanditvA^ekAnte +a sTAt/
   p.4.6/.ekānta^sthitam āyuṣmantam ānandaṃ bhagavān idam avocat/ udgṛhṇa	p.4.6/.ekAnta^sTitam Ayuzmantam Anandam BagavAn idam avocat/ udgRhNa
   tvam ānanda imāṃ ṣaḍakṣarīvidyāṃ dhāraya vācaya paryavāpnuhi/ ātmano	tvam Ananda imAm zaz akzarI vidyAm DAraya vAcaya paryavApnuhi/ AtmanaH 
   hitāya sukhāya bhikṣūṇāṃ bhikṣuṇīnām upāsakānām upasikānāṃ hitāya sukhāya/	hitAya suKAya BikzUNAm BikzuNInAm upAsakAnAm upasikAnAm hitAya suKAya/
   iyam ānanda ṣaḍkṣarīvidyā ṣaḍbhiḥ samyak saṃbuddhair bhāṣitā caturbhiś ca	iyam Ananda zaxkzarI vidyA zaxBiH samyak saMbudDEH BAzitA caturBiH ca
   mahā^rājaiḥ śakreṇa devānām indreṇa brahmaṇā ca sahāpatinā/ mayā ca^etarhi	mahA^rAjEH SakreNa devAnAm indreNa brahmaNA ca sahApatinA/ mayA ca^etarhi
   śākyamuninā samyak^saṃbuddhena bhāṣitā/ tvam apy etarhy ānanda tāṃ dhāraya	SAkya muninA samyak ^saMbudDena BAzitA/ tvam api etarhi Ananda tAm DAraya
   vācaya paryavāpnuhi/ yad uta tad yathā:	vAcaya paryavApnuhi/ yat uta tat yaTA:
   p.5.1/.aṇḍare pāṇḍare kāraṇḍe keyūre +arci^haste khara^grīve bandhu^mati	p.5.1/.aNxare pANxare kAraNxe keyUre +arci^haste Kara^grIve banDu^mati
   cīra^mati dharavidha cilimile viloḍaya viṣāṇi loke/ viṣa cala cala/	cIra^mati DaraviDa cilimile viloxaya vizANi loke/ viza cala cala/
   gola^mati gaṇḍavile cilimile sa^atinimne yathā saṃvibhakta^gola^mati	gola^mati gaNxa vile cilimile sa^ati nimne yaTA saMviBakta^gola^mati
   gaṇḍa^vilāyai svāhā/	gaNxa^vilAyE svAhA/
   p.5.2/.yaḥ kaś cid ānanda^ṣaḍakṣaryā vidyayā paritrāṇaṃ svastyayanaṃ	p.5.2/.yaH kaH cit Ananda^zaz akzaryA vidyayA paritrANam svastyayanam
   kuryāt sa yadi vadha^arho bhavet daṇḍena mucyate/ daṇḍa^arhaḥ prahāreṇa	kuryAt sa yadi vaDa^arhaH Bavet daNxena mucyate/ daNxa^arhaH prahAreNa
   prahāra^arhaḥ paribhāṣaṇayā paribhāṣaṇa^arho romaharṣaṇena	prahAra^arhaH pariBAzaNayA pariBAzaNa^arhaH roma harzaNena
   romaharṣaṇa^arhaḥ punar eva mucyate/	romaharzaNa^arhaH punar eva mucyate/
   p.5.3/.na^aham ānanda taṃ samanupaśyāmi sa^deva^loke samāra^loke	p.5.3/.na^aham Ananda tam samanupaSyAmi sa^deva^loke samAra^loke
   sabrahma^loke saśramaṇa^brāhmaṇikāyāṃ prajāyāṃ sa^deva^mānuṣikāyāṃ	sa brahma^loke sa SramaNa^brAhmaNikAyAm prajAyAm sa^deva^mAnuzikAyAm
   sa^asurāyāṃ yas tv anayā ṣaḍakṣayaṃ vidyayā rakṣāyāṃ kṛtāyāṃ rakṣā^sūtre	sa^asurAyAm yaH tu anayA zaxakzayam vidyayA rakzAyAm kRtAyAm rakzA^sUtre
   bāhau baddhe svastyayane kṛte +abhibhavituṃ śakroti varjayitvā paurāṇaṃ	bAhO badDe svastyayane kRte +aBiBavitum Sakroti varjayitvA pOrANam
   karma^vipākam/	karma^vipAkam/
   p.6.1/.atha prakṛtir mātaṅga^dārikā tasyā eva rātryā atyayāt śiraḥ^snātā	p.6.1/.aTa prakRtiH mAtaFga^dArikA tasyAH eva rAtryA atyayAt SiraH^snAtA
   +anāhata dūṣya^prāvṛtā muktā^mālya^ābharaṇā yena śrāvasto nagarī	+anAhata dUzya^prAvRtA muktAH ^mAlya^ABaraNAH yena SrAvastaH nagarI
   tena^upasaṃkramya nagara^dvāre kapāṭa^mūle niśrityā +asthāt/ āyuṣmantam	tena^upasaMkramya nagara^dvAre kapAwa^mUle niSrityAH +a sTAt/ Ayuzmantam
   ānandam āgamayamānā/ niyatam anena mārgeṇa^ānando bhikṣurāgam iṣyati^iti/	Anandam AgamayamAnA/ niyatam anena mArgeNa^AnandaH Bikzu rAgam izyati^iti/
   p.6.2/.atha^āyuṣmān ānandaḥ pūrvāhṇe nivāsya pātra^cīvaram ādāya śrāvastīṃ	p.6.2/.aTa^AyuzmAn AnandaH pUrvAhNe nivAsya pAtra^cIvaram AdAya SrAvastIm
   piṇḍāya prāvikṣat/ dadarśa prakṛtir mātaṅga^dārika^āyuṣmantam ānandaṃ/	piNxAya prAvikzat/ dadarSa prakRtiH mAtaFga^dArika^Ayuzmantam AnandaM/
   dūrata eva dṛṣṭvā ca punar āyuṣmantam ānandaṃ pṛṣṭhataḥ pṛṣṭhataḥ	dUratas eva dRzwvA ca punar Ayuzmantam Anandam pRzWatas pRzWatas 
   samanubaddhā gacchantam anugacchati tiṣṭhantam anutiṣṭhati/ yad yad eva	samanubadDA gacCantam anugacCati tizWantam anutizWati/ yat yat eva
   kulaṃ piṇḍāya praviśati tasya tasyaiva dvāre tūṣṇībhūtā tiṣṭhati	kulam piNxAya praviSati tasya tasya eva dvAre tUzNIBUtA tizWati
   āyuṣmantam	Ayuzmantam
   ānandam āmantrayamāṇā/	Anandam AmantrayamANA/
   p.6.3./.dadarśāyuṣmānānandaḥ prakṛtiṃ mātaṅga^dārikāṃ/ pṛṣṭhataḥ pṛṣṭhataḥ	p.6.3./.da darSa AyuzmAn AnandaH prakRtim mAtaFga^dArikAn/ pRzWatas pRzWatas 
   samanubaddhāṃ dṛṣṭvā ca punar jehrīymāṇarūpo +apragalbhāyamānarūpo duḥkhī	samanubadDAm dRzwvA ca punar jehrIymANa rUpaH +a pragalBAyamAna rUpaH duHKI
   durmanāḥ śīghraṃ śīghraṃ śrāvastyā vinirgamya yena jetavanaṃ	durmanAH SIGram SIGram SrAvastyAH vinirgamya yena jetavanam
   tanopasaṃkrāntaḥ/ upasaṃkramya bhagavataḥ pādau śirasā vanditvekānte	tana upasaMkrAntaH/ upasaMkramya BagavataH pAdO SirasA vanditvekAnte
   +asthād/ ekānta^sthita āyuṣmān ānando bhagavantam idam avocat/ iyaṃ me	+a sTAd/ ekAnta^sTitaH AyuzmAn AnandaH Bagavantam idam avocat/ iyam me
   bhagavan	Bagavan
   prakṛtir mātaṅga^dārikā pṛṣṭhataḥ pṛṣṭhataḥ samanubaddhā gacchantam	prakRtiH mAtaFga^dArikA pRzWatas pRzWatas samanubadDAH gacCantam
   anugacchati, tiṣṭhantam anutiṣṭhati/ yad yad eva kulaṃ piṇḍāya praviśāmi	anugacCati, tizWantam anutizWati/ yat yat eva kulam piNxAya praviSAmi
   tasya tasyaiva dvāre tūṣṇībhūtā tiṣṭhati/ trāhi me bhagavan trāhi me	tasya tasya eva dvAre tUzNIBUtA tizWati/ trAhi me Bagavan trAhi me
   sugata/	sugata/
   p.6.4/.evam ukte bhagavān āyuṣmantam ānandam idam avocat/ mā bher mā bher	p.6.4/.evam ukte BagavAn Ayuzmantam Anandam idam avocat/ mA BeH mA BeH 
   iti/ atha bhagavān prakṛtiṃ mātaṅga^dārikām idam avocat/ hiṃ te prakṛte	iti/ aTa BagavAn prakRtim mAtaFga^dArikAm idam avocat/ him te prakRte
   mātaṅga^dārike ānandena bhikṣuṇā/ prakṛtir āha/ svāminaṃ bhadantam ānandam	mAtaFga^dArike Anandena BikzuNA/ prakRtiH Aha/ svAminam Badantam Anandam
   icchāmi/ bhagavān āha/ (7) anujñātāsi prakṛte mātāpitṛbhyām ānandāya/	icCAmi/ BagavAn Aha/ (7) anujQAtA asi prakRte mAtA pitRByAm AnandAya/
   anujñātāsmi bhagavann anujñātāsmi sugata/ bhagavān āha/ tena hi	anujQAtA asmi Bagavan anujQAtA asmi sugata/ BagavAn Aha/ tena hi
   sammukhaṃ mamānujñāpayya tvam/	sammuKam mama anujQApayya tvam/
   p.7.1/.atha prakṛtir mātaṅga^dārikā bhagavataḥ pratiśrutya bhagavataḥ	p.7.1/.aTa prakRtiH mAtaFga^dArikA BagavataH pratiSrutya BagavataH
   pādau śirasā vanditvā bhagavantaṃ triḥpradakṣiṇīkṛtya bhagavato +antikāt	pAdO SirasA vanditvA Bagavantam tris pradakziNIkRtya BagavataH +antikAt 
   prakrāntā/ yena svakau mātāpitarau tena^upasaṃkrāntā/ upasaṃkramya	prakrAntA/ yena svakO mAtA pitarO tena^upasaMkrAntA/ upasaMkramya
   mātāpitroḥ pādān śirasā vanditvā^ekānte +asthād/ ekānta^sthitā svakau mātā	mAtA pitroH pAdAn SirasA vanditvA^ekAnte +asTAd/ ekAnta^sTitA svakO mAtA
   pitarāv idam avocat/ sammukhaṃ me +amba tāta śramaṇasya	pitarO idam avocat/ sammuKam me +amba tAta SramaNasya
   gautamasyānandāyotsṛjatam/	gOtamasya AnandAya utsRjatam/
   p.7.2/.atha prakṛter mātaṅga^dārikāyā mātāpitarau prakṛtim ādāya yana	p.7.2/.aTa prakRteH mAtaFga^dArikAyAH mAtA pitarO prakRtim AdAya yana
   bhagavāms tena^upasaṃkrāntau/ uapsaṃkramya bhagavataḥ pādau śirasā	BagavAnH tena^upasaMkrAntO/ uapsaMkramya BagavataH pAdO SirasA
   vanditvā^ekānte nyaṣīdatāṃ/ atha prakṛtir mātaṅga^dārikā bhagavataḥ pādau	vanditvA^ekAnte nyazIdatAn/ aTa prakRtiH mAtaFga^dArikA BagavataH pAdO
   śirasā banditvā ekānte +asthād/ ekānta^sthitā bhagavantam etad avocat/	SirasA banditvA ekAnte +a sTAd/ ekAnta^sTitAH Bagavantam etat avocat /
   imau tau bhagavan mātāpitarāv āgatau/	imO tO Bagavat mAtA pitarO AgatO/
   p.7.3/.atha bhagavān prakṛter mātaṅga^dārikāyā mātāpitarāv idam avoct/	p.7.3/.aTa BagavAn prakRteH mAtaFga^dArikAyAH mAtA pitarO idam avoct/
   anujñātā yuvābhyāṃ prakṛtir mātaṅga^dārikānandāyeti/ tāv āhutuḥ/ anujñātā	anujQAtA yuvAByAm prakRtiH mAtaFga^dArikA nandAya iti/ tO AhutuH/ anujQAtA
   bhagavann anujñātā sugata/ tena hi yūyaṃ prakṛtim apahāya gacchata	Bagavan anujQAtA sugata/ tena hi yUyam prakRtim apahAya gacCata
   svagṛham/	sva gRham/
   p.7.4/.atha prakṛter mātaṅga^dārikāyā mātāpitarau bhagavataḥ pādau śirasā	p.7.4/.aTa prakRteH mAtaFga^dArikAyAH mAtA pitarO BagavataH pAdO SirasA
   vanditvā bhagavantaṃ triḥpradakṣiṇīkṛtya bhagavato +antikāt prakrāntau/	vanditvA Bagavantam tris pradakziNIkRtya BagavataH +antikAt prakrAntO/
   p.7.5/.atha prakṛter mātaṅga^dārikāyā mātāpitarāv aciraprakrāntau viditvā	p.7.5/.aTa prakRteH mAtaFga^dArikAyAH mAtA pitarO acira prakrAntO viditvA
   bhagavān prakṛtiṃ mātaṅga^dārikām idm avocat/ arthikāsi prakṛte ānandena	BagavAn prakRtim mAtaFga^dArikAm idm avocat/ arTikA asi prakRte Anandena
   bhikṣuṇā/ prakṛtir āha/ arthikāsmi bhagavann arthikāsmi sugata/ tena hi	BikzuNA/ prakRtiH Aha/ arTikA asmi Bagavan arTikA asmi sugata/ tena hi
   prakṛte ya ānandasya veśaḥ sa tvayā dhārayitavyaḥ/ sā āha/ dhārayāmi	prakRte yaH Anandasya veSaH sa tvayA DArayitavyaH/ sA Aha/ DArayAmi
   bhagavan dhārayāmi sugata/ pravrājayatu māṃ sugata pravrājayatu māṃ	Bagavan DArayAmi sugata/ pravrAjayatu mAm sugata pravrAjayatu mAm
   bhagavān/	BagavAn /
   p.8.1/.atha bhagavān prakṛtiṃ mātaṅga^dārikām idam avocat/ ehi tvaṃ	p.8.1/.aTa BagavAn prakRtim mAtaFga^dArikAm idam avocat/ ehi tvam
   bhikṣuṇi cara brahma^caryam/	BikzuNi cara brahma^caryam/
   p.8.2/.evam ukte prakṛtir mātaṅga^dārikā bhagavatā muṇḍā kāṣāya^prāvṛtā/	p.8.2/.evam ukte prakRtiH mAtaFga^dArikA BagavatA muNxA kAzAya^prAvRtA/
   atha bhagavān prakṛtiṃ mātaṅga^dārikām ehi bhikṣuṇīvādena pravrājayitvā	aTa BagavAn prakRtim mAtaFga^dArikAm ehi BikzuNI vAdena pravrAjayitvA
   dharmyayā kathayā saṃdarśayati sma, samādāpayati sma, samuttejayati sma,	DarmyayA kaTayA saMdarSayati sma, samAdApayati sma, samuttejayati sma,
   saṃpraharṣayati sma/ yeyaṃ kathā dīrgha^rātraṃ saṃsārasamāpannānāṃ	saMpraharzayati sma/ yA iyam kaTA dIrGa^rAtram saMsAra samApannAnAm
   pratikūlā śravaṇīyā/tad yathā/ dānakathā śīlakathā svargakathā kāmeṣv	pratikUlA SravaNIyA/ tat yaTA/ dAna kaTA SIla kaTA svarga kaTA kAmezu 
   ādīnavaṃ niḥsaraṇaṃ bhayaṃ saṃkleśavyavadānaṃ bodhipakṣāṃs tān dharmān	AdInavam niHsaraNam Bayam saMkleSa vyavadAnam boDi pakzAn tAn DarmAn
   bhagvān prakṛtyai bhikṣuṇyai saṃprakāśayati sma/	BagvAn prakRtyE BikzuNyE saMprakASayati sma/
   p.8.3/.atha prakṛtir bhikṣuṇī bhagavatā dharmyaya kathayā saṃdarśitā	p.8.3/.aTa prakRtiH BikzuNI BagavatA Darmyaya kaTayA saMdarSitA
   samādāpitā samuttejitā saṃpraharṣitā hṛṣṭa^cittā kalyāṇacittā muditacittā	samAdApitA samuttejitA saMpraharzitA hRzwa^cittA kalyANa cittA mudita cittA
   vinīvaraṇacittā ṛjucittā +akhilacittā bhavyā dharma^deśitam ājñātum/	vinIvaraNa cittA Rju cittAH +aKila cittA BavyAH Darma^deSitam AjQAtum/
   p.9.1/.yadā ca bhagavān jñātaḥ prakṛtiṃ bhikṣuṇīṃ hṛṣṭa^cittāṃ	p.9.1/.yadA ca BagavAn jQAtaH prakRtim BikzuNIm hRzwa^cittAm
   kalyāṇacittāṃ muditacittāṃ vinivaraṇacittāṃ bhavyāṃ pratibalāṃ	kalyANa cittAm mudita cittAm vinivaraNa cittAm BavyAm pratibalAm
   sāmutkarpikīṃ dharma^deśanām ājñātuṃ tadā yeyaṃ bhagavatāṃ buddhānāṃ	sAmutkarpikIm Darma^deSanAm AjQAtum tadA yA iyam BagavatAm budDAnAm
   caturārya^satyaprativedhikī sāmutkarṣikī dharma^deśanā, yad uta duḥkhaṃ	catur Arya^satya prativeDikI sAmutkarzikI Darma^deSanA, yat uta duHKam
   samudayo nirodho mārgaḥ, tāṃ bhagavān prakṛter bhikṣuṇyā vistareṇa	samudayaH niroDaH mArgaH, tAm BagavAn prakRteH BikzuNyA vistareNa
   saṃprakāśayati sma/	saMprakASayati sma/
   p.9.2/.atha prakṛtibhikṣuṇī tasminn evāsane niṣaṇṇā	p.9.2/.aTa prakRti BikzuNI tasmin eva Asane nizaNNA
   caturārya^satyānyabhijñātāsit/ duḥkhaṃ sumudayaṃ nirodhaṃ mārgaṃ// tad	catur Arya^satyAni aBijQAta asit/ duHKam sumudayam niroDam mArgaM// tat 
