   bhagavandevadeveśa lokanātha jagatpate /	Bagavan-devadeveSa lokanATa jagatpate /
   ṣaṣṭhamasya dvitīyaṃ tu caturthādyena saṃyutam /	zazWam-asya dvitIyam tu caturTa-Adyena saMyutam /
   dvitīyātpañcamāccaiva ādimaṃ yojayetpunaḥ // Stk_1.12 //	dvitIyAt-paQcamAt-ca-eva Adimam yojayet-punar // Stc-_1.12 //
   hanti vighnāñśivāstreṇa śikhayā muktidaṃ smṛtam /	hanti viGnAn-Siva-astreNa SiKayA mukti-dam smRtam /
   etatpāśupataṃ divyaṃ sarvapāśanikṛntanam // Stk_1.13 //	etat-pASupatam divyam sarva-pASa-nikRntanam // Stc-_1.13 //
   brahmāṇi ca śivaṃ sāṅgaṃ netraṃ pāśupataṃ ca yat /	brahmANi ca Sivam sAFgam netram pASupatam ca yat /
   samāsātkathitaḥ sarvo mantroddhārastvayaṃ śubhaḥ // Stk_1.14 //	samAsAt-kaTitaH sarvaH mantra-udDAraH-tu-ayam SuBaH // Stc-_1.14 //
   asya mudrāṃ pravakṣyāmi sādhakānāṃ hitāya vai /	asya mudrAm pravakzyAmi sADakAnAm hitAya vE /
   hastābhyāṃ saṃspṛśetpādād ūrdhvaṃ yāvattu mastakam // Stk_1.15 //	hastAByAm saMspRSet-pAdAt UrDvam yAvat-tu mastakam // Stc-_1.15 //
   eṣā mudrā mahāmudrā sarvakāmārthasādhikā /	ezA mudrA mahAmudrA sarva-kAma-arTa-sADikAH /
   karanyāsaṃ purā kṛtvā mudrābandhaṃ tu kārayet // Stk_1.16 //	karanyAsam purA kRtvA mudrA-banDam tu kArayet // Stc-_1.16 //
   talikāṃ hastapṛṣṭhaṃ ca astrabījena śodhayet /	talikAm hasta-pRzWam ca astra-bIjena SoDayet /
   kaniṣṭhāmāditaḥ kṛtvā aṅguṣṭhaṃ cāpyapaścimam // Stk_1.17 //	kanizWAm-Aditas kRtvA aFguzWam ca-api-apaScimam // Stc-_1.17 //
   brahmāṇi vinyasettatra tathaivāṅgāni yatnataḥ /	brahmANi vinyaset-tatra taTA-eva-aFgAni yatnatas /
   prāsādaṃ vinyasetpaścād vyāpinaṃ sarvatomukham // Stk_1.18 //	prAsAdam vinyaset-paScAt vyApinam sarvatomuKam // Stc-_1.18 //
   prathamaḥ paṭalaḥ	praTamaH pawalaH
   antaḥkaraṇavinyāso bhūtaśuddhistathaiva ca /	antaHkaraNa-vinyAsaH BUtaSudDiH-taTA-eva ca /
   bhūtaśuddhiṃ purā kṛtvā tato 'ntaḥkaraṇaṃ kuru // Stk_2.1 //	BUtaSudDim purA kRtvA tatas antaHkaraNam kuru // Stc-_2.1 //
   hṛdbījaṃ pārthive yuktaṃ pārthivīṃ dhārayetkramāt /	hRd-bIjam pArTive yuktam pArTivIm DArayet-kramAt /
   śiro 'psu tejasi śikhāṃ kavacaṃ vāyunā saha // Stk_2.2 //	SiraH apsu tejasi SiKAm kavacam vAyunA saha // Stc-_2.2 //
   astraṃ ca śivasaṃyuktam ākāśaṃ dhārayetsadā /	astram ca Siva-saMyuktam AkASam DArayet-sadA /
   huṃphaḍantena paṭalaṃ bhittvā cordhvaṃ viśeṣataḥ // Stk_2.3 //	huMPaw-antena pawalam BittvA ca-UrDvam viSezataH // Stc-_2.3 //
   pañcodghātāśca catvāras trayo dvāveka eva ca /	paQca-udGAtAH-ca catvAraH trayaH dvO=-ekaH eva ca /
   dvādaśānte nirālambaṃ vijñānaṃ kevalaṃ sthitam // Stk_2.4 //	dvAdaSAnte nirAlambam vijQAnam kevalam sTitam // Stc-_2.4 //
   dīkṣāyāṃ tu yathā vatsa tatprayogaṃ samācaret /	dIkzAyAm tu yaTA vatsa tad-prayogam samAcaret /
   prakriyāntasthamamṛtaṃ sravantaṃ cintayettataḥ // Stk_2.5 //	prakriyA-anta-sTam-amRtam sravantam cintayet-tatas // Stc-_2.5 //
   omityanena kamalaṃ yogapīṭhaṃ tadā bhavet /	om-iti-anena kamalam yoga-pIWam tadA Bavet /
   sūryamaṇḍalasaṃkāśam akāraṃ hyātmasambhavam // Stk_2.6 //	sUrya-maNxala-saMkASam akAram hi-Atma-samBavam // Stc-_2.6 //
   vidyātattvamukāraṃ tu śivatattvaṃ makārajam /	vidyA-tattva-mukAram tu Siva-tattvam makAra-jam /
   puryaṣṭakaṃ ca tanmātraṃ turyātītaṃ sadāśivam // Stk_2.7 //	puryazwakam ca tanmAtram turyAtItam sadASivam // Stc-_2.7 //
   cintayetparamaṃ dhāma suṣumnābhinnamastakam /	cintayet-paramam DAma suzumnA-aBinna-mastakam /
   tenāplāvitamātmānaṃ paripūrṇaṃ vicintayet // Stk_2.8 //	tena-AplAvitam-AtmAnam paripUrNam vicintayet // Stc-_2.8 //
   yo 'bhasedīdṛśaṃ martyaḥ samādhiṃ mṛtyunāśanam /	yaH aBaset-IdRSam martyaH samADim mRtyu-nASanam /
   na tasya jāyate mṛtyur iti śāstrasya niścayaḥ // Stk_2.9 //	na tasya jAyate mRtyuH iti SAstrasya niScayaH // Stc-_2.9 //
   paścādguroḥ sādhakānāṃ mūrtestu grahaṇaṃ bhavet /	paScAt-guroH sADakAnAm mUrteH-tu grahaNam Bavet /
   īśānādyāstu sadyāntaṃ mūrdhna ārabhya vinyaset // Stk_2.10 //	ISAna-AdyAH-tu sadyAntam mUrDnaH AraBya vinyaset // Stc-_2.10 //
   netraṃ dattvā tadāvāhyo devadevaḥ sadāśivaḥ /	netram dattvA tadA-avAhyaH devadevaH sadASivaH /
   sarvajñaṃ ca tadātmānaṃ cintayettu vicakṣaṇaḥ // Stk_2.11 //	sarvajQam ca tadA-AtmAnam cintayet-tu vicakzaNaH // Stc-_2.11 //
   hṛdayaṃ ca śiraścaiva śikhāṃ kavacameva ca /	hRdayam ca SiraH-ca-eva SiKAm kavacam-eva ca /
   nyasedastraṃ ca mantrajño yathāsthāneṣvanukramāt // Stk_2.12 //	nyaset-astram ca mantra-jQaH yaTA-sTAnezu-anukramAt // Stc-_2.12 //
   hṛdaye 'rcāvidhānaṃ tu nābhau homaṃ prakalpayet /	hRdaye arcA-viDAnam tu nABO homam prakalpayet /
   lalāṭe tvīśvaraṃ dhyāyed varadaṃ sarvatomukham // Stk_2.13 //	lalAwe tu-ISvaram DyAyet vara-dam sarvatomuKam // Stc-_2.13 //
   yathārcane tathāgnau ca dhyāne snāne tathaiva ca /	yaTA-arcane taTA-agnO ca DyAne snAne taTA-eva ca /
   yathā deve tathā dehe cintayettu vicakṣaṇaḥ // Stk_2.14 //	yaTA deve taTA dehe cintayet-tu vicakzaNaH // Stc-_2.14 //
   kṛtvāntaḥkaraṇaṃ hyevaṃ paścādbāhyaṃ tu ṣaṇmukha /	kRtvA-antaHkaraNam hi-evam paScAt-bAhyam tu zaNmuKaH /
   sabāhyantaraṃ kṛtvā paścādyajanamārabhet // Stk_2.15 //	sa-bAhyantaram kRtvA paScAt-yajanam-AraBet // Stc-_2.15 //
   antaḥkaraṇavinyāsapaṭalaḥ	antaHkaraNa-vinyAsa-pawalaH
   iti dvitīyaḥ paṭalaḥ	iti dvitIyaH pawalaH
   ataḥ paraṃ pravakṣyāmi snānaṃ pāpaharaṃ śubham /	atas param pravakzyAmi snAnam pApa-haram SuBam /
   sakṛjjaptena saṃgṛhya mṛdā astreṇa mantravit // Stk_3.1 //	sakRt-japtena saMgRhya mRdA astreNa mantra-vid // Stc-_3.1 //
   malasnānaṃ purā kṛtvā sakṛjjaptvā tu saṃhitām /	mala-snAnam purA kRtvA sakRt-japtvA tu saMhitAm /
   tāmeva mṛttikāṃ paścād abhimantrya sakṛtsakṛt // Stk_3.2 //	tAm-eva mRttikAm paScAt aBimantrya sakRt-sakRt // Stc-_3.2 //
   bhāgatrayaṃ tataḥ kṛtvā ekamastreṇa mantrayet /	BAga-trayam tatas kRtvA ekam-astreNa mantrayet /
   dvitīyaṃ brahmabhirvatsa śivajaptaṃ tṛtīyakam // Stk_3.3 //	dvitIyam brahmaBiH-vatsa Siva-japtam tRtIyakam // Stc-_3.3 //
   astrajaptena bhāgena diśāṃ bandhaṃ tu kārayet /	astra-japtena BAgena diSAm banDam tu kArayet /
   śivajaptena tīrthaṃ tu brahmajaptena vigraham // Stk_3.4 //	Siva-japtena tIrTam tu brahma-japtena vigraham // Stc-_3.4 //
   kuṇṭhayitvā tataḥ snāyāc chivatīrthasya madhyataḥ /	kuNWayitvA tatas snAyAt Siva-tIrTasya maDyatas /
   cakravatyupacāreṇa sugandhāmalakādibhiḥ // Stk_3.5 //	cakravatI-upacAreNa suganDa-Amalaka-AdiBiH // Stc-_3.5 //
   upaspṛśya vidhānena saṃdhyāṃ vandeta sādhakaḥ /	upaspRSya viDAnena saMDyAm vandeta sADakaH /
   mantraiḥ sarvaiḥ sakṛdvatsa upasthānaṃ tu kārayet // Stk_3.6 //	mantrEH sarvEH sakRt-vatsaH upasTAnam tu kArayet // Stc-_3.6 //
   abhiṣekaṃ purā kṛtvā tataḥ saṃdhyāṃ samācaret /	aBizekam purA kRtvA tatas saMDyAm samAcaret /
   astraṃ na yojayeddehe kṣipettadbahireva ca // Stk_3.7 //	astram na yojayet-dehe kzipet-tat-bahis-eva ca // Stc-_3.7 //
   śarīraṃ śoṣayedvatsa tenātmani na yojayet /	SarIram Sozayet-vatsa tena-Atmani na yojayet /
   vighneṣu pāśajāleṣu sadā yojyaṃ vicakṣaṇaiḥ // Stk_3.8 //	viGnezu pASa-jAlezu sadA yojyam vicakzaNEH // Stc-_3.8 //
   hṛdayena tato vidvān pitṛdevāṃśca tarpayet /	hRdayena tatas vidvAn pitR-devAn=-ca tarpayet /
   saṃhāraṃ tasya tīrthasya prāsādenaiva kārayet // Stk_3.9 //	saMhAram tasya tIrTasya prAsAdena-eva kArayet // Stc-_3.9 //
   vāruṇasnānaprakaraṇam iti tṛtīyaḥ paṭalaḥ	vAruNa-snAna-prakaraNam iti tRtIyaH pawalaH
   bhasmasnānaṃ pravakṣyāmi tadūrdhvaṃ ca ṣaḍānana /	Basma-snAnam pravakzyAmi tad-UrDvam ca zaxAnanaH /
   mantraiḥ sarvaiḥ sakṛdbhasma abhimantrya yathākramam // Stk_4.1 //	mantrEH sarvEH sakRt-Basma aBimantrya yaTAkramam // Stc-_4.1 //
   jalasnānaṃ purā kṛtvā astrabījena ṣaṇmukha /	jala-snAnam purA kRtvA astra-bIjena zaNmuKaH /
   vidhisnānaṃ tataḥ kuryān mūrdhna ārabhya mantravit // Stk_4.2 //	viDi-snAnam tatas kuryAt mUrDnaH AraBya mantra-vid // Stc-_4.2 //
   īśānena śiraḥ snāyān mukhaṃ tatpuruṣeṇa tu /	ISAnena SiraH snAyAt muKam tatpuruzeNa tu /
   hṛdayaṃ bahurūpeṇa guhyaṃ vai guhyakena tu // Stk_4.3 //	hRdayam bahu-rUpeNa guhyam vE guhyakena tu // Stc-_4.3 //
   sarvāṅgāṇi tvajātena abhiṣekaṃ tu pañcabhiḥ /	sarva-aFgANi tu-ajAtena aBizekam tu paQcaBiH /
   upariṣṭātprasādena snānaṃ kurvīta ṣaṇmukha // Stk_4.4 //	uparizwAt-prasAdena snAnam kurvIta zaNmuKaH // Stc-_4.4 //
   bhasmasnānaprakaraṇam	Basma-snAna-prakaraNam
   iti caturthaḥ paṭalaḥ	iti caturTaH pawalaH
   yajanaṃ saṃpravakṣyāmi yathāvidhyanupūrvaśaḥ /	yajanam saMpravakzyAmi yaTAviDi-anupUrvaSas /
   bījāṅkuraṃ purā śaktyā paścādānantamāsanam // Stk_5.1 //	bIja-aFkuram purA SaktyA paScAt-Anantam-Asanam // Stc-_5.1 //
   anantaṃ cāntagaṃ kuryāt krameṇaiva ṣaḍānana /	anantam ca-antagam kuryAt krameNa-eva zaxAnanaH /
   hṛdayaṃ karṇikā padmaṃ dharmaṃ jñānādimeva ca // Stk_5.2 //	hRdayam karNikA padmam Darmam jQAna-Adim-eva ca // Stc-_5.2 //
   vairāgyaṃ ca tathaiśvaryam īśāntaṃ vahnito nyaset /	vErAgyam ca taTA-ESvaryam ISa-antam vahnitaH nyaset /
   śaktibhiḥ kesaravyūhaṃ hṛdayena ca kalpayet // Stk_5.3 //	SaktiBiH kesara-vyUham hRdayena ca kalpayet // Stc-_5.3 //
   āvāhayettato devaṃ hṛdayena tu ṣaṇmukha /	AvAhayet-tatas devam hRdayena tu zaNmuKaH /
   sthāpanaṃ pādyamarghyaṃ ca tathācamanameva ca // Stk_5.4 //	sTApanam pAdyam-arGyam ca taTA-Acamanam-eva ca // Stc-_5.4 //
   snapanaṃ pūjanaṃ caiva hṛdayena tu kārayet /	snapanam pUjanam ca-eva hRdayena tu kArayet /
   uktānuktaṃ ca yatkiñcit tatsarvaṃ hṛdayena tu // Stk_5.5 //	ukta-anuktam ca yat-kiQcit tat-sarvam hRdayena tu // Stc-_5.5 //
   ekāvaraṇametattu sarvakāmārthasādhanam /	eka-AvaraNam-etat-tu sarva-kAma-arTa-sADanam /
   sarvatantreṣu sāmānyaṃ sarvajñāneṣu cottamam // Stk_5.6 //	sarva-tantrezu sAmAnyam sarva-jQAnezu ca-uttamam // Stc-_5.6 //
   yajanaprakaraṇam	yajana-prakaraNam
   iti pañcamaḥ paṭalaḥ	iti paQcamaH pawalaH
   ataḥ paraṃ pravakṣyāmi agnikāryavidhiṃ kramāt /	atas param pravakzyAmi agni-kArya-viDim kramAt /
   astreṇollekhanaṃ kuryād varmaṇābhyukṣaṇaṃ tataḥ // Stk_6.1 //	astreNa-ulleKanam kuryAt varmaNA-aByukzaNam tatas // Stc-_6.1 //
   śaktinyāsaṃ tato darbhair hṛdayenaiva kārayet /	Sakti-nyAsam tatas darBEH hRdayena-eva kArayet /
   hṛdā vai śaktigarbhe tu prakṣipejjātavedasam // Stk_6.2 //	hRdA vE Sakti-garBe tu prakzipet-jAtavedasam // Stc-_6.2 //
   garbhādhānādikaṃ kṛtvā niṣkṛtiṃ cāpyapaścimām /	garBADAna-Adikam kRtvA nizkRtim ca-api-apaScimAm /
   hṛdayenaiva mantrajñaḥ sarvakarmāṇi kārayet // Stk_6.3 //	hRdayena-eva mantra-jQaH sarva-karmANi kArayet // Stc-_6.3 //
   paścātpadmavidhānaṃ tu prāguktaṃ parikalpayet /	paScAt-padma-viDAnam tu prAk-uktam parikalpayet /
   śivādisarvamantrāṃśca homayedanupūrvaśaḥ // Stk_6.4 //	Siva-Adi-sarva-mantrAn=-ca homayet-anupUrvaSas // Stc-_6.4 //
   agnikāryaprakaraṇam	agni-kArya-prakaraNam
   iti ṣaṣṭhaḥ paṭalaḥ	iti zazWaH pawalaH
   ataḥ paraṃ pravakṣyāmi maṇḍalaṃ sārvakāmikam /	atas param pravakzyAmi maNxalam sArvakAmikam /
   bhūmiśodhanaṃ kṛtvā śāstradṛṣṭena karmaṇā // Stk_7.1 //	BUmi-SoDanam kRtvA SAstra-dRzwena karmaNA // Stc-_7.1 //
   adhivāsaṃ tataḥ kṛtvā nakṣatre guruṇānvite /	aDivAsam tatas kRtvA nakzatre guruNA-anvite /
   ālikhenmaṇḍalaṃ prājñaḥ sarvasiddhipradaṃ śubham // Stk_7.2 //	AliKet-maNxalam prAjQaH sarva-sidDi-pradam SuBam // Stc-_7.2 //
   sūtreṇa sumitaṃ kṛtvā caturaśraṃ samantataḥ /	sUtreNa sumitam kRtvA caturaSram samantataH /
   madhye padmaṃ pratiṣṭhāpyam aṣṭapatra sakarṇikam // Stk_7.3 //	maDye padmam pratizWApyam azwapatra sa-karNikam // Stc-_7.3 //
   ekahastaṃ dvihastaṃ vā caturhastamathāpi vā /	eka-hastam dvi-hastam vA catur-hastam-aTa-api vA /
   svatantravihitaṃ prājño likhedāvaraṇatrayam // Stk_7.4 //	svatantra-vihitam prAjQaH liKet-AvaraNa-trayam // Stc-_7.4 //
   vāhayetpaścimadvāram ācāryaḥ susamāhitaḥ /	vAhayet-paScima-dvAram AcAryaH su-samAhitaH /
   āgneyyāṃ kārayetkuṇḍaṃ hastamātrapramāṇataḥ // Stk_7.5 //	AgneyyAm kArayet-kuNxam hasta-mAtra-pramANataH // Stc-_7.5 //
   yajñakarmavidhiṃ kuryāt susamiddhe hutāśane /	yajQa-karma-viDim kuryAt su-samidDe hutASane /
   pūrvādārabhya vaktrādīn vinyasedanupūrvaśaḥ // Stk_7.6 //	pUrvAt-AraBya vaktra-AdIn vinyaset-anupUrvaSas // Stc-_7.6 //
   pavitrāṇi purā nyasya śivāṅgāni nyasettataḥ /	pavitrANi purA nyasya Siva-aFgAni nyaset-tatas /
   āgneyyāṃ hṛdayaṃ nyasya aiśānyāṃ tu śirastathā // Stk_7.7 //	AgneyyAm hRdayam nyasya ESAnyAm tu SiraH-taTA // Stc-_7.7 //
   nairṛtyāṃ tu śikhā jñeyā kavacaṃ vāyugocare /	nErRtyAm tu SiKA jQeyA kavacam vAyu-gocare /
   astra dikṣvatha vinyasya karṇikāyāṃ sadāśivam // Stk_7.8 //	astra dikzu-aTa vinyasya karNikAyAm sadASivam // Stc-_7.8 //
   garbhanyāsavidhiḥ prokto dvitīyāvaraṇe śṛṇu /	garBanyAsa-viDiH proktaH dvitIya-AvaraNe SRNu /
   hṛdā pūrvaṃ samārabhya lokapālānprapūjayet // Stk_7.9 //	hRdA pUrvam samAraBya lokapAlAn-prapUjayet // Stc-_7.9 //
   [tṛtīyāvaraṇe 'strāṇi svamantreṇa prapūjayet|]	[tRtIya-AvaraNe astrANi sva-mantreNa prapUjayet|]
   saṃkṣepeṇa mayā skanda vidhānaṃ parikīrtitam // Stk_7.10 //	saMkzepeNa mayA skanda viDAnam parikIrtitam // Stc-_7.10 //
   anuktaṃ yadbhavetkiṃcit tatsarvaṃ mūlamāśrayet /	anuktam yat-Bavet-kiMcid tat-sarvam mUlam-ASrayet /
   evaṃ vidhividhānajño dīkṣākarma samācaret // Stk_7.11 //	evam viDi-viDAna-jQaH dIkzA-akarma samAcaret // Stc-_7.11 //
   maṇḍalavidhānaprakaraṇam	maNxala-viDAna-prakaraNam
   iti sapatamaḥ paṭalaḥ	iti sapatamaH pawalaH
   atha dīkṣāṃ pravakṣyāmi pañcatattvavyavasthitām /	aTa dIkzAm pravakzyAmi paQcatattva-vyavasTitAm /
   pṛthivyāpastathā tejo vāyurākāśameva ca // Stk_8.1 //	pRTivI-ApaH-taTA tejaH vAyuH-AkASam-eva ca // Stc-_8.1 //
   pañcaitāni ca tattvāni yairvyāptamakhilaṃ jagat /	paQca-etAni ca tattvAni yEH-vyAptam-aKilam jagat /
   sarvatattvāni tatraiva draṣṭavyāni tu sādhakaiḥ // Stk_8.2 //	sarva-tattvAni tatra-eva drazwavyAni tu sADakEH // Stc-_8.2 //
   brahmāṇḍe tu nivṛttirvai śatarudrāvadhistathā /	brahmANxe tu nivRttiH-vE Sata-rudra-avaDiH-taTA /
   tadūrdhvaṃ tu pratiṣṭhā syād yāvadavyaktagocaram // Stk_8.3 //	tad-UrDvam tu pratizWA syAt yAvat-avyakta-gocaram // Stc-_8.3 //
   tato vidyā niyuktā sā yāvadvidyeśvarāntikam /	tatas vidyA niyuktA sA yAvat-vidyeSvara-antikam /
   śāntistadūrdhvamadhvānte śaktireva śive pade // Stk_8.4 //	SAntiH-tad-UrDvam-aDva-ante SaktiH-eva Sive pade // Stc-_8.4 //
   ajñātvaitāni tattvāni yo dīkṣāṃ kartumicchati /	ajQAtvA-etAni tattvAni yaH dIkzAm kartum-icCati /
   vṛthā pariśramastasya naiva tatphalamāpnuyāt // Stk_8.5 //	vRTA pariSramaH-tasya na-eva tad-Palam-ApnuyAt // Stc-_8.5 //
   nivṛttiḥ pṛthivī jñeyā pratiṣṭhā āpa ucyate /	nivRttiH pRTivI jQeyA pratizWA ApaH ucyate /
   vidyāṃ tejo vijānīyād vāyuḥ śāntiḥ prakīrtitaḥ // Stk_8.6 //	vidyAm tejaH vijAnIyAt vAyuH SAntiH prakIrtitaH // Stc-_8.6 //
   śāntyatītā bhavedvyoma tatparaṃ śāntamavyayam /	SAnti-atItA Bavet-vyoma tat-param SAntam-avyayam /
   taṃ viditvā mahāsena śvapacānapi dīkṣayet // Stk_8.7 //	tam viditvA mahAsena SvapacAn-api dIkzayet // Stc-_8.7 //
   nivṛttiṃ hṛdayenaiva pratiṣṭhāṃ śirasā guruḥ /	nivRttim hRdayena-eva pratizWAm SirasA guruH /
   śivo vidyāṃ tu śikhayā śāntiṃ vai kavacena tu // Stk_8.8 //	SivaH vidyAm tu SiKayA SAntim vE kavacena tu // Stc-_8.8 //
   śāntyatītaṃ paraṃ vyoma prāsādena tu homayet /	SAnti-atItam param vyoma prAsAdena tu homayet /
   ekaikasya śataṃ homyam ityevaṃ pañca homayet // Stk_8.9 //	ekEkasya Satam homyam iti-evam paQca homayet // Stc-_8.9 //
   pañcapūrṇāhutīrdadyāt prāsādena tu ṣaṇmukha /	paQca-pUrNAhutIH-dadyAt prAsAdena tu zaNmuKaH /
   prāyaścittaviśuddhyartham aṣṭāvekaikayāhutīḥ // Stk_8.10 //	prAyaScitta-viSudDi-arTam azwO=-eka-ekayA-AhutIH // Stc-_8.10 //
   astrabījena mantrajño homayedanupūrvaśaḥ /	astra-bIjena mantra-jQaH homayet-anupUrvaSas /
   evaṃ samāpyate dīkṣā jananādivivarjitā // Stk_8.11 //	evam samApyate dIkzA janana-Adi-vivarjitAH // Stc-_8.11 //
   hutenaiva tu mucyante sādhakā janmabandhanāt /	hutena-eva tu mucyante sADakAH janma-banDanAt /
   iyamiṣṭirna prakāśyā gopanīyā prayatnataḥ // Stk_8.12 //	iyam-izwiH-na prakASyAH gopanIyA prayatnataH // Stc-_8.12 //
   rahasyaṃ sarvatantrāṇām eṣa saṃskāra uttamaḥ /	rahasyam sarva-tantrANAm eza saMskAraH uttamaH /
   yoninyāsādikaṃ karmod- dhāraṇaṃ cāpyapaścimam // Stk_8.13 //	yoni-nyAsa-Adikam karma-ud DAraNam ca-api-apaScimam // Stc-_8.13 //
   śodhanānukramaṃ deva kathayasva yathāvidhi /	SoDana-anukramam deva kaTayasva yaTAviDi /
   daśa sapta ca ye śodhyāḥ pṛṣṭāścātra tvayā guha // Stk_8.14 //	daSa sapta ca ye SoDyAH pRzwAH-ca-atra tvayA guhaH // Stc-_8.14 //
   yasya yadbījamuktaṃ tu tadvakṣyāmyanupūrvaśaḥ /	yasya yat-bIjam-uktam tu tat-vakzyAmi-anupUrvaSas /
   yonibījaṃ tu hṛdaye kalpayecca yathākramam // Stk_8.15 //	yoni-bIjam tu hRdaye kalpayet-ca yaTAkramam // Stc-_8.15 //
   arcanaṃ prokṣaṇaṃ caiva tāḍanaṃ ca tathā param /	arcanam prokzaNam ca-eva tAxanam ca taTA param /
   saṃdhānaṃ caiva saṃyogaṃ nikṣepaṃ tadanantaram // Stk_8.16 //	saMDAnam ca-eva saMyogam nikzepam tad-anantaram // Stc-_8.16 //
   arcanaṃ ca tataḥ kuryād garbhādhānaṃ tathaiva ca /	arcanam ca tatas kuryAt garBADAnam taTA-eva ca /
   jananaṃ cādhikāraṃ ca bhogaṃ caiva layaṃ tathā // Stk_8.17 //	jananam ca-aDikAram ca Bogam ca-eva layam taTA // Stc-_8.17 //
   svatattve cāhutiśataṃ hṛdayena tu ṣaṇmukha /	sva-tattve ca-Ahuti-Satam hRdayena tu zaNmuKaH /
   pāśacchedaṃ tathāstreṇa dadyātpūrṇāhutiṃ tataḥ // Stk_8.18 //	pASa=-Cedam taTA-astreNa dadyAt-pUrNAhutim tatas // Stc-_8.18 //
   hṛdayenātra tūddhāraḥ kartavyaścāpyanukramāt /	hRdayena-atra tu-udDAraH kartavyaH-ca-api-anukramAt /
   uddhāre prokṣaṇe caiva tāḍane ca tathaiva ca // Stk_8.19 //	udDAre prokzaNe ca-eva tAxane ca taTA-eva ca // Stc-_8.19 //
   humphaṭkārasamāyuktaṃ kartavyaṃ cānupūrvaśaḥ /	humPawkAra-samAyuktam kartavyam ca-anupUrvaSas /
   saṃdhānaṃ caiva tattvānāṃ kartavyaṃ tu yathākramam // Stk_8.20 //	saMDAnam ca-eva tattvAnAm kartavyam tu yaTAkramam // Stc-_8.20 //
   tattve tattve tvidaṃ karma eṣa eva vidhikramaḥ /	tattve tattve tu-idam karma ezaH eva viDi-kramaH /
   ebhistu śodhitairvatsa vidhiṃ prāpnoti puṣkalam // Stk_8.21 //	eBiH-tu SoDitEH-vatsa viDim prApnoti puzkalam // Stc-_8.21 //
