   {MV S_1}	{MV H _1}
   paraṃ tasthau duḥstho gahanakuharastho 'pi bhayataḥ kṣipannuccairdikṣu	param tasTO duHsTaH gahana kuhara sTaH api BayataH kzipan= uccEs dikzu
   bhramitacakitaṃ cakṣurabhitaḥ // 20 //	Bramita cakitam cakzuH aBitas // 20 //
   dānaṃ kalpamahīruhopari yaśaḥ kṣīrodanīropari prajñā śakrapurohitopari	dAnam kalpa mahIruha upari yaSaH kzIroda nIra upari prajQA Sakra purohita upari
   mahāsāro 'pi merūpari /	mahAsAraH api meru upari /
   dāvāgnerupari pratāpagarimā kāmopari śrīrabhṛtsiṃhātikramavīrasiṃhanṛpateḥ	dAva agneH upari pratApa garimA kAma upari SrI H aBRt siMha atikrama vIra siMha nRpateH
   kiṃ kiṃ na kasyopari // 21 //	kim kim na kasya upari // 21 //
   dānairarthinamarthanāvirahiṇaṃ pratyarthinaṃ ca kṣaṇātkurvāṇe sati	dAnEH arTinam arTanA virahiNam pratyarTinam ca kzaNAt kurvANe sati
   vīrasiṃhanikhilakṣmāmaṇḍalākhaṇḍale /	vIra siMha niKi lakzmA maNxalA KaNxale /
   kāmaṃ cetasi kāmadhenuratanotkalpadrumaḥ kalpitaṃ moghībhūtajaniḥ	kAmam cetasi kAmaDenu ratana utkalpadrumaH kalpitam moGIBUta janiH
   samāśritakhaniścintāṃ ca cintāmaṇiḥ // 22 //	samASrita KaniH cintAm ca cintAmaNiH // 22 //
   bhrāmaṃbhrāmamasambhramaṃ trijagatīvakrāṇi cakre cirāccāraṃ	BrAm aMBrAmam asamBramam trijagatI vakrANi cakre cirAt cAram
   śīlitaviṣṇupādapadavībrahmāṇḍabhāṇḍopari /	SIlita vizNu pAda padavI brahma aNxa BANxa upari /
   brahmāṇḍaṃ nijamaṇḍamaṇḍalamivācchādyaiva saivādhunā viśveṣāmapi yasya	brahmANxam nija maNxa maNxalam iva AcCAdya eva sA eva aDunA viSvezAm api yasya
   bhāsvarayaśohaṃsī vataṃsīyati // 23 //	BAsvara yaSaH haMsI vataMsIyati // 23 //
   jalakaṇikāmiva jaladhiṃ kaṇamiva kanakācalaṃ manute /	jala kaNikAm iva jalaDim kaNam iva kanaka acalam manute /
   nṛpasiṃhavīrasiṃho vitaraṇaraṃho yadā tanute // 24 //	nRpa siMha vIra siMhaH vitaraNa raMhaH yadA tanute // 24 //
   yadā bhavati kuṇḍalīkṛtamahādhanurmaṇḍalastadā	yadA Bavati kuNxalIkRta mahA DanuH maNxalaH tadA
   nayanatāṇḍavatrujitakhāṇḍavaḥ pāṇḍavaḥ /	nayana tANxava trujita KANxavaH pANxavaH /
   manovitaraṇotsukaṃ vahati vīrasiṃho yadā tadā punarudāradhīrayamavarṇi	manaH vitaraNa utsukam vahati vIrasiMhaH yadA tadA punar udAra DIH ayama varNi
   karṇo janaiḥ // 25 //	karNaH janEH // 25 //
   śauryaudāryagabhīratādhṛtidayādānādinānāguṇānurvīdurvahabhāravatyahipatisparddhāladoḥśālini	SOrya OdArya gaBIra tA DRti daya AdAna Adi nAnA guNa anurvI durvaha BAravatI ahipatispardDAla doH SAlini
   {MV S_4}	{MV H _4}
   saṃyojyaiva juhārasiṃhadharaṇīdhaureyacūḍāmaṇau majjan brahmaṇi	saMyojya eva juhAra siMha DaraNI DOreya cUxAmaNO majjan brahmaNi
   vīrasiṃhasukṛtī tasthau svayaṃ nirguṇaḥ // 26 //	vIra siMha sukRtI tasTO svayam nirguNaH // 26 //
   nadyaḥ svādujalā drumāśca suphalā bhūrurvarā bhūsurā	nadyaH svAdu jalAH drumAH ca suPalA BUruH varA BUsurA
   vedadhvānavidhūyamānaduritā lokā viśokā babhuḥ /	veda DvAna viDUyamAna duritA lokAH viSokAH baBuH /
   rājannītinirītirīti pitarīvorvīmimāṃ śāsati śrīddhīrajuhārasiṃhanṛpatau	rAjannItinirItirIti pitari iva urvIm imAm SAsati SrIdDIra juhAra siMha nRpatO
   bhrūbhaṅgabhagnadviṣi // 27 //	BrU BaFga Bagna dvizi // 27 //
   saṅgarāmotkaṭatāṇḍavodbhaṭabhaṭairārabdhahelāhaṭhaiścaṇḍāḍambarapūritāmbarataṭakṣīrābdhigodhrāvaṭaiḥ	saFgarAma utkawa tANxava udBawa BawEH ArabDa helA haWEH caNxa Axambara pUrita ambara tawa kzIra abDi goDrAvawEH
   bhūbhṛtsiṃhajuhārasiṃhadharaṇījāneḥ prayāṇe raṇe śauryaudāryadhano 'pi ko	BUBRt siMha juhAra siMha DaraNI jAneH prayANe raNe SOrya OdArya DanaH api kaH 
   nu dharaṇīcakre na cakre bhayam // 28 //	nu DaraNI cakre na cakre Bayam // 28 //
   tāvadvīragabhīrahuṃkṛtiravastāvadgajāḍambarastāvattuṅgaturaṅgariṅgaṇacamatkāraścamūnāmapi	tAvat vIra gaBIra huMkRti ravaH tAvat gaja AxambaraH tAvat tuFga turaFga riFgaNa camatkAraH camUnAm api
   tāvattoyamahāmahībhṛdaṭavīdurgagraho vidviṣāṃ yāvannaiva	tAvat toya mahA mahIBRt awavI durga grahaH vidvizAm yAvat na eva
   juhārasiṃhanṛpatiryuddhāya baddhotsavaḥ // 29 //	juhAra siMha nRpatiH yudDAya badDa utsavaH // 29 //
   ayaṃ yadi mahāmanā vitaraṇāya dhatte dhiyaṃ bhiyaṃ kanakabhūdharo 'ñcati	ayam yadi mahA manAH vitaraNAya Datte Diyam Biyam kanaka BUDaraH aQcati
   hiyaṃ ca karṇo 'ṭati /	hiyam ca karNaH awati /
   dadhīcirapacīyate baliralīkarūpāyate tadātimalināyate sa kila	daDIciH apacIyate baliH alIka rUpAyate tadA atimalinAyate sa kila
   kalpabhūmīruhaḥ // 30 //	kalpa BUmIruhaH // 30 //
   prāsādāgataḍāganāgamaṇibhūdānādinānātapaḥprāgalbhyena	prAsAda Agata xAga nAga maNi BU dAna Adi nAnAtapaH prAgalByena
   mahendracandravaruṇabrahmeśaviṣṇusthalī /	mahA indra candra varuNa brahma ISa vizNu sTalI /
   prācaṇḍyana jitā mitā vasumatī kodaṇḍadorhaṇḍayor jāgarttīti	prAcaNxyana jitA mitA vasumatI kodaNxa dos haNxayoH jAgartti iti
   juhārasiṃhanṛpateḥ kutra pratāpo na vā // 31 //	juhAra siMha nRpateH kutra pratApaH na vA // 31 //
   brahmābhūccaturānanaḥ smaraharaḥ pañcānana ṣaṇmukhaḥ skando	brahmA aBUt caturAnanaH smara haraH paQcAnana zaNmuKaH skandaH 
   bhūpajuhārasiṃhayaśaso gānotsave 'tyutsukaḥ /	BUpajuhAra siMha yaSasaH gAna utsave ati utsukaH /
   tasyābhogamudīkṣya bhūdharanabhonadyastrilokī diśaḥ saptadvīpamayī mahī ca	tasya ABogam udIkzya BUDaranaBaH nadyaH trilokI diSaH sapta dvIpa mayI mahI ca
   vidhinā vijñena nirvāhitāḥ // 32 //	viDinA vijQena nirvAhitAH // 32 //
   tuṅgatvādanavāpya daivatataroḥ puṣpāṇi sarvāḥ samaṃ	tuFga tvAt anavApya dEvata taroH puzpANi sarvAH samam
   śrīmadvīrajuhārasiṃhanṛpaterddānaṃ samānaṃ jaguḥ /	SrImat vIra juhAra siMha nRpateH ddAnam samAnam jaguH /
   vrīḍādurvahabhāranirbharanamadgrīve tu devadrume	vrIxA durvaha BAra nirBara namat grIve tu deva drume
   ślāghante sulabhāyamānakusu prāstaṃ bhūri devastriyaḥ // 33 //	SlAGante sulaBAyamAna kusu prAstam BUri deva striyaH // 33 //
   bhīmo yaḥ sahadeva eva pṛtanādurdharṣapārsvā lasan	BImaH yaH sahadevaH eva pRtanA durDarza pArsvAH lasan
   śrībhūmanikulaḥ sadājunamahākhyātiḥ kṣamāmaṇḍale /	SrI BUma nikulaH sadAjuna mahA KyAtiH kzamA maNxale /
   {MV S_5}	{MV H _5}
   karṇaśrīḥ kṛtavarmabhīṣmaghaṭanāśauṭīryaduryodhano	karNa SrIH kRtavarma BIzma Gawana ASOwIrya duryoDanaH 
   roṣādeṣa yudhisthiro yadi bhavetkaḥ syādamuṣyāgrataḥ // 34 //	rozAt eza yuDi sTiraH yadi Bavet kaH syAt amuzya agratas // 34 //
   satkīrtigrāmadāmābharaṇabhṛtajagadvikramādityanāmā	sat kIrti grAma dAma ABaraNa BRta jagat vikrama Aditya nAmA
   dhāmno bhūmnā mahimnā vighaṭitaripuṇā vikramopakrameṇa /	DAmnaH BUmnA mahimnA viGawita ripuNA vikrama upakrameNa /
   suprāṃśuḥ pīvarāṃsaḥ pṛthubhujaparighastasya vaṃśāvataṃso	su prAMSuH pIvarAMsaH pRTu Buja pariGaH tasya vaMSa avataMsaH 
   viśvodañcatpraśaṃso guṇigaṇahadayānandano nandano 'bhūt // 35 //	viSva udaQcat praSaMsaH guNi gaNa hadaya AnandanaH nandanaH aBUt // 35 //
   āśāpūrttiprakurvan karavitaraṇataḥ padminīprāṇabandhuḥ	ASA pUrtti prakurvan kara vitaraNataH padminI prANa banDuH
   prodyaddivyāmbaraśrīḥ sphuṭamahimaruciḥ sarvadādhvastadoṣaḥ /	prodyat divya ambara SrIH sPuwa mahimaruciH sarva dA Dvasta dozaH /
   jambhārāterihoccairacalasamudayātsuprabhātaprakāśī	jamBa arAteH iha uccEs acala samudayAt su praBAta prakASI
   putro rājñaḥ pavitro racayati sudinaṃ vikramāditya eva // 36 //	putraH rAjQaH pavitraH racayati su dinam vikrama AdityaH eva // 36 //
   sārthākurvannirarthīkṛtasuraviṭapī cārthisārthaṃ nijārthair	sArTa akurvat nirarTIkRta sura viwapI ca arTi sArTam nija arTEH 
   vyarthībhūtāripṛthvīpatiramaragurusparddhivarddhiṣṇubuddhiḥ /	vyarTIBUta ari pRTvIpatiH amara guru spa RdDi vardDizNu budDiH /
   mānairyānādidānairbahuvidhaguṇibhirgīyate yaḥ sabhāyāṃ	mAnEH yAna Adi dAnEH bahuviDa guNiBiH gIyate yaH saBAyAm
   bhrātarjātaḥ sa bhūyaḥ sukavikulamude vikramāditya eva // 37 //	BrAtar jAtaH sa BUyas suka vi kula mude vikrama AdityaH eva // 37 //
   dānaṃ dīnamanorathāvadhi raṇārambho 'rināśāvadhi	dAnam dIna manoraTa avaDi raNa AramBaH ari nASa avaDi
   krodho vāgavadhi pratāpayaśasoḥ panthā digantāvadhi /	kroDaH vAc avaDi pratApa yaSasoH panTAH diS anta avaDi /
   dākṣiṇyaṃ kṣitirakṣaṇāvadhi harau bhaktiśca jīvāvadhi	dAkziNyam kziti rakzaNa avaDi harO BaktiH ca jIva avaDi
   vyāluptāvadhi vīravikramaraveḥ śreyaḥ paraṃ varddhate // 38 //	vyAlupta avaDi vIra vikrama raveH SreyaH param vardDate // 38 //
   hemādreḥ śriyamanyathaiva kurute cakre ca gaurīṃ tanuṃ kailāśopari śobhate	hemAdreH Sriyam anyaTA eva kurute cakre ca gOrIm tanum kElASa upari SoBate
   paṭayati spaṣṭaṃ ca diṅmaṇḍalam /	pawayati spazwam ca diS maNxalam /
   bhogīndraṃ na dadhe śrutau bala jaṭāgūḍhāṃ ca gaṅgāṃ	Bogi indram na daDe SrutO bala jawA gUXAm ca gaFgAm
   vyadhāllokānāmayamīśvaro 'sya yaśasastvaiśvaryamujjṛmbhate // 39 //	vyaDAt lokAn Am ayam ISvaraH asya yaSasaH tu ESvaryam ujjRmBate // 39 //
   śrīgopācalamaulimaṇḍalamaṇiḥ śrīdūravārānvaye	SrI gopa acala mOli maNxala maNiH SrI dUra vAra anvaye
   śrīhaṃsodayahaṃsapaṇḍita iti khyāto dvijādhīśvaraḥ /	SrI haMsa udaya haMsa paNxitaH iti KyAtaH dvija aDi ISvaraH /
   yaṃ lakṣmīśca sarasvatī ca vigatadvandvaṃ ciraṃ bhejatur 	yam lakzmIH ca sarasvatI ca vigata dvandvam ciram BejatuH  
   bhoktāraṃ rabhasātsamānamubhayoḥ sānnāḍhayamāḍhayaṃ guṇaiḥ // 40 //	BoktAram raBasAt samAnam uBayoH sa anna AXayam AXayam guNEH // 40 //
   paṭu dikṣu vidikṣu kurvatīnāṃ naṭalīlāṃ sphuṭakīrttinarttakīnām /	pawu dikzu vidikzu kurvatInAm nawa lIlAm sPuwa kIrtti narttakInAm /
   sphuradadhvaradhūmadhoraṇīha cyutaveṇīti janairamāni yasya // 41 //	sPurat aDvaraDUma DoraNI iha cyutaveNI iti janEramAni yasya // 41 //
   tato 'nala ivāraṇeratuladhāmabhūrbhūbhujāṃ	tatas analaH iva AraNeH atula DAma BUH BUBujAm
   śiromāṇaruromaṇirdharaṇināmavābhruvaḥ /	SiromANa ruromaNiH DaraNi nAm avABruvaH /
   rathī bahuguṇī dhanī bhuvi vanīpakaśrīkhanī	raTI bahuguNI DanI Buvi vanIpaka SrIKanI
   ramāramaṇamiśraṇī paraśurāmamiśro 'jani // 42 //	ramAra maNa miSraNI paraSurAma miSraH ajani // 42 //
   {MV S_6}	{MV H _6}
   yenāgatva purā purārinagare vidyānavadyārjitā	yena Agatva purA purA ari nagare vidyA anavadya arjitA
   śrīcaṇḍīśvaramagnihotritilakaṃ labdhvā garīyogurum /	SrI caNxISvaram agnihotri tilakam labDvA garIya ugurum /
   śuddhā saiva mahodyamena bahudhā bhāntī bhavantī sthirā	SudDA sA eva mahA udyamena bahuDA BAntI BavantI sTirA
   tadvaṃsyeṣu kiyanna kalpalatikevādyāpi sūte phalam // 43 //	tat vaMsyezu kiyan na kalpa latikA iva adya api sUte Palam // 43 //
   āsyāravindamanupāsya gurorapāsya	Asya aravindam anupAsya guroH apAsya
   lāsyaṃ caturmukhamukheṣu sahasvatīha /	lAsyam caturmuKa muKezu sahasvati iha /
   sālaṅkṛtiśca sarasā ca guṇānvitā ca	sa alaFkRtiH ca sarasA ca guNa anvitA ca
   yasyātanoti rasanopari tāṇḍavāni // 44 //	yasya Atanoti rasanA upari tANxavAni // 44 //
   aṅke lomalateva sīmani dṛśorekeva rekhāñcanī	aFke lomala tA iva sImani dRSoH ekA iva reKA aQcanI
   kastūrīmakarīva bhālaphalake dhāreva mūrdhnyālakī /	kastUrI makarI iva BAla Palake DArA iva mUrDni AlakI /
   ūrddhvaṃ bhṛṅgaparampareva kabarī saurabhyalobhākulā	UrdDvam BRFga paramparA iva kabarI sOraBya loBa AkulA
   yasyaivādhvaradhūmadhoraṇirabhūdāśākuraṅgīdṛśaḥ // 45 //	yasya eva aDvara DUma DoraNiH aBUt ASA kuraFgI dRSaH // 45 //
   subhāsurayaśonidheḥ suniravadyavidyānidheḥ sucārukavitānidheḥ smṛtinidheḥ	suBA sura yaSaH niDeH su niravadya vidyA niDeH su cAru kavitAniDeH smRti niDeH
   śrutiśrīnidheḥ /	Sruti SrIniDeH /
   ayaṃ sukṛtagauravātparaśurāmamiśrāṅgaṇair anūnagarimā piturjagati	ayam su kRta gOravAt paraSurAma miSra aFgaNEH anUna garimA pituH jagati
   mitramiśro 'jani // 46 //	mitra miSraH ajani // 46 //
   dharmārthaikaniketanaṃ vidhimayaṃ karmāvanīdarśanaṃ	Darma arTa eka niketanam viDi mayam karma avanI darSanam
   smṛtyambhojamahodayaṃ śrutimayaṃ śrīvīramitrodayam /	smRti amBoja mahA udayam Sruti mayam SrI vIra mitra udayam /
   drāksiddhīkṛtakāryasiddhiśatayā śrīvīrasiṃhājñayā	drAS sidDIkRta kArya sidDi SatayA SrI vIra siMha AjQayA
   tene viśvamude pure purabhidaḥ śrīmitramiśraḥ kṛtī // 47 //	tene viSvamude pure pura BidaH SrI mitra miSraH kRtI // 47 //
   hārītagobhilaparāśaranāradādimunyuktamarthamakhilaṃ hṛdaye 'vadhārya /	hArIta goBila parASara nArada Adi munI uktam arTam aKilam hRdaye avaDArya /
   śrīvīrasiṃhanṛpadeśitamitramiśro vidvanmaṇiḥ prakurute samayaprakāśam //	SrI vIra siMha nRpa deSita mitra miSraH vidvan maNiH prakurute samaya prakASam //
   tatra kālaprakāśe tu kramo 'yamabhidhīyate /	tatra kAla prakASe tu kramaH ayam aBiDIyate /
   nityakālasvarūpaṃ prāvkālopādhirathoditaḥ //	nitya kAla svarUpam prAvkAla upADiH aTa uditaH //
   samvatsarāyanartūnāṃ krameṇātha vinirṇayaḥ /	samvatsarAyanaRtUnAm krameNa aTa vinirNayaH /
   māsapakṣatithīnāṃ ca krameṇātha nirūpaṇam //	mAsa pakza tiTInAm ca krameNa aTa nirUpaNam //
   sāmānyatastithīnāṃ ca grāhyāgrāhyavivecanam /	sAmAnyatas tiTInAm ca grAhyA grAhya vivecanam /
   pratipannirṇayātpascāt dvitīyāyā vinirṇayaḥ //	pratipad nirNayAt pascAt dvitIyAyAH vinirNayaH //
   tṛtīyānirṇayasyānte caturthīnirṇayaḥ smṛtaḥ /	tRtIya anirNayasya ante caturTI nirNayaH smRtaH /
   pañcamīnirṇayātpaścātṣaṣṭhīnirṇaya īritaḥ //	paQcamI nirNayAt paScAt zazWI nirNayaH IritaH //
   saptamīnirṇayasyānte 'ṣṭamīsāmānyanirṇayaḥ /	saptamI nirNayasya ante azwamI sAmAnya nirNayaH /
   kṛṣṇajasmāṣṭamī paścādvistareṇa nirūpitā //	kRzNa jasma azwamI paScAt vistareNa nirUpitA //
   navamīnirṇayo rāmanavamyāścātha nirṇayaḥ /	navamI nirNayaH rAmanavamyAH ca aTa nirNayaH /
   {MV S_7}	{MV H _7}
   mahānavamyāstadanu nirṇayaḥ samudīritaḥ //	mahAnavamyAH tadanu nirNayaH samudIritaH //
