   bhikṣuṇī vinaya	BikzuNI  vinaya
   pravrajyāmupasaṃpadā bhikṣuṇībhāvo |	pravrajyAm upasaMpadA BikzuNIBAvaH |
   atha khalu mahāprajāpatī gautamī | na khalu bhagavān mātṛgrāmasya avakāśaṃ	aTa Kalu mahA prajApatI gOtamI | na Kalu BagavAn mAtR grAmasya avakASam
   karoti tathāgata pravedite dharmavinaye pravrajyāmupasampadāya	karoti taTAgata pravedite Darma vinaye pravrajyAm upasampadAya
   bhikṣuṇībhāvāyeti | sā bhagavato pādau śirasā vanditvā sārdhaṃ cchandāya	BikzuNI BAvAya iti | sA BagavataH pAdO SirasA vanditvA sArDam cCandAya
   cchandakapālāye dāsacchandāye cchandakamātare ca yena tāni pañca	cCandakapAlAye dAsa= CandAye cCandaka mAtare ca yena tAni paQca
   śākiyānīśatāni tenopasaṃkramitvā śākiyānīyo etad avocat | na khalu	SAki yAnI SatAni tena upasaMkramitvA SAkiyAnIyaH etat avocat | na Kalu
   āryamiśrikāyo bhagavān avakāśaṃ karoti mātṛgrāmasya tathāgatapravedite	Arya miSrikAyaH BagavAn avakASam karoti mAtR grAmasya taTAgata pravedite
   dharmavinaye pravrajyāupasaṃpadāya bhikṣuṇībhāvāya | kim puna vayam	Darma vinaye pravrajyA aupasaMpadAya BikzuNI BAvAya | kim puna vayam
   āryamiśrikāyo sāmam eva keśān otārayitvā kāṣāyāni vastrāṇi ācchādayitvā	Arya miSrikAyaH sAmam eva keSAn otArayitvA kAzAyAni vastrANi AcCAdayitvA
   kośakābaddhehi yānehi bhagavantaṃ kośalehi janapadehi cārikāṃ caramāṇaṃ	koSaka AbadDA ihi yAn ehi Bagavantam koSala ihi janapadehi cArikAm caramANam
   pṛṣṭhimena pṛṣṭhim ābandhema | sace mo bhagavān anujāniṣyati pravrajiṣyāmo	pRzWimena pRzWim AbanDema | sace maH BagavAn anujAnizyati pravrajizyAmaH 
   no ca anujāniṣyati evam tu tāyi bhagavato santike brahmacaryañ cariṣyāmaḥ	no ca anujAnizyati evam tu tAyi BagavataH santike brahmacaryan carizyAmaH
   sādhu āryeti tāyo śākiyānīyo mahāprajāpatīye gautamīye pratyāśrauṣi |	sADu AryA iti tAyaH SAkiyAnIyaH mahA prajApatIye gOtamIye pratyASrOzi |
   3. atha khalu bhagavān kapilavastusmin nagare yathābhiramyaṃ viharitvā	3. aTa Kalu BagavAn kapilavastusmin nagare yaTA aBiramyam viharitvA
   kośaleṣu janapadeṣu cārikāṃ prakrāmi | atha khalu mahāprajāpatī gautamī	koSalezu janapadezu cArikAm prakrAmi | aTa Kalu mahA prajApatI gOtamI
   sārdhaṃ cchandāye cchandakapalāye dāsacchandāya cchandakamātare ca pañcahi	sArDam cCandAye cCandaka palAye dAsa= CandAya cCandaka mAtare ca paQca hi
   ca śākiyānīśatehi sātmaneva keśān otārayitvā kāṣāyāṇi vastrāṇi	ca SAki yAnI Satehi sA AtmanA iva keSAn otArayitvA kAzAyANi vastrANi
   ācchādayitvā kośakabaddhehi yānehi bhagavantaṃ kośaleṣu janapadeṣu cārikāṃ	AcCAdayitvA koSaka badDa ihi yAn ehi Bagavantam koSalezu janapadezu cArikAm
   caramāṇaṃ pṛṣṭhimena pṛṣṭham anubandheṃsuḥ |	caramANam pRzWimena pRzWam anubanDeMsuH |
   4. atha khalu bhagavān kośaleṣu janapadeṣu cārikāṃ caramāno mahatā	4. aTa Kalu BagavAn koSalezu janapadezu cArikAm caramAnaH mahatA
   bhikṣusaṃghena sārdhaṃ pañcahi bhikṣuśatehi yena kośalānāṃ śrāvastīnagaraṃ	Bikzu saMGena sArDam paQca hi Bikzu Sata ihi yena koSalAnAm SrAvastI nagaram
   tad avasāri | tad anuprāptas tatraiva viharati jetavane	tat avasAri | tat anuprAptaH tatra eva viharati jetavane
   anāthapiṇḍadasyārāme |	anATapiNxadasya ArAme |
   atha khalu mahāprajāpatī gautamī yena bhagavāṃs tenopasaṃkramitvā	aTa Kalu mahA prajApatI gOtamI yena BagavAn tena upasaMkramitvA
   bhagavataḥ pādau śirasā vanditvā ekānte asthāsi | ekāntasthitā	BagavataH pAdO SirasA vanditvA ekAnte asTA asi | ekAnta sTitA
   mahāprajāpatī gautamī bhagavantam etad avocat | durlabho bhagavan	mahA prajApatI gOtamI Bagavantam etat avocat | durlaBaH Bagavan
   buddhotpādo durlabhā saddharmadeśanā | bhagavāṃś caitarhi loke utpanno	budDa utpAdaH durlaBA sadDarma deSanA | BagavAn ca etarhi loke utpannaH 
   tathāgato rhaṃ samyaksambuddho dharmo ca deśate aupasamiko ca	taTAgataH rham samyaksambudDaH DarmaH ca deSate OpasamikaH ca
   pārinirvāṇiko sugatapravedito amṛtasya prāptaye nirvāṇasya sākṣātkriyāya	pArinirvANikaH sugata praveditaH amRtasya prAptaye nirvANasya sAkzAtkriyAya
   samvartati | sādhu bhagavan mātṛgrāmo pi labheya tathāgatapravedite	samvartati | sADu Bagavat mAtR grAmaH pi laBeya taTAgata pravedite
   dharmavinaye pravrajyāmupasampadāṃ bhikṣuṇībhāvaṃ | evam ukte bhagavān	Darma vinaye pravrajyAm upasampadAm BikzuNI BAvam | evam ukte BagavAn
   mahāprajāpatīṃ gautamīm etad avocat | mā te gautamī rocatu mātṛgrāmasya	mahA prajApatIm gOtamIm etat avocat | mA te gOtamI rocatu mAtR grAmasya
   tathāgatapravedite dharmavinaye pravrajyāupasampadābhikṣuṇibhāvo |	taTAgata pravedite Darma vinaye pravrajyA upasampada aBikzuNi BAvaH |
   5. atha khalu mahāprajāpatī gautamī | na khalu bhagavān avakāśaṃ karoti	5. aTa Kalu mahA prajApatI gOtamI | na Kalu BagavAn avakASam karoti
   mātṛgrāmasya tathāgatapravedite dharmavinaye pravrajyāya upasampadāya	mAtR grAmasya taTAgata pravedite Darma vinaye pravrajyAya upasampadAya
   bhikṣuṇibhāvasyeti | sā bhagavato pādāṃ śirasā vanditvā jetavanasya	BikzuNiBAvasya iti | sA BagavataH pAdAm SirasA vanditvA jetavanasya
   ārāmadvārakoṣṭhakasamīpe rodamānī asthāsi pādāṇguṣṭhena bhūmiṃ vilikhantī	ArAma dvAra kozWaka samIpe rodamAnI asTA asi pAdANguzWena BUmim viliKantI
   | addaśāśi khu anyataro bhikṣur mahāprajāpatīṃ gautamīṃ jetavanasya	| addaSa ASi Ku anyataraH BikzuH mahA prajApatIm gOtamIm jetavanasya
   ārāmadvārakoṣṭhasamīpe rudamānīn tiṣṭhantīṃ pādāṅguṣṭhena bhūmiṃ	ArAma dvAra kozWa samIpe rudamAnIn tizWantIm pAdAFguzWena BUmim
   vilikhentīṃ dṛṣṭvā ca punar yenāyuṣmān ānando tenopasaṃkramitvā āyuṣmantam	viliKentIm dRzwvA ca punar yena AyuzmAn AnandaH tena upasaMkramitvA Ayuzmantam
   ānandam etad avocat | eṣā āyuṣman ānanda mahāprajāpatī gautamī jetavanasya	Anandam etat avocat | ezA Ayuzman Ananda mahA prajApatI gOtamI jetavanasya
   ārāmakoṣṭhakasamīpe rudamānī tiṣṭhati pādāṅguṣṭhena bhūmiṃ vilikhantī |	ArAma kozWaka samIpe rudamAnI tizWati pAdAFguzWena BUmim viliKantI |
   gacchāvusānanda jānehi kiṃ mahāprapatī gautamī rodīti |	gacCA= usAnanda jAna ihi kim mahA prapatI gOtamI rodI iti |
   6. atha khalu āyuṣmān ānando yena mahāprajāpatī gautamī tenopasaṃkramitvā	6. aTa Kalu AyuzmAn AnandaH yena mahA prajApatI gOtamI tena upasaMkramitvA
   mahāprajāpatīṃ gautamīm etad avocat | kiṃ gautami rudasi | evam ukte	mahA prajApatIm gOtamIm etat avocat | kim gOtami rudasi | evam ukte
   mahāprajāpatī gautamī āyuṣmantam ānandam etad avocat | alam me āryānanda	mahA prajApatI gOtamI Ayuzmantam Anandam etat avocat | alam me Arya Ananda
   ruṇṇena yatra hi nāma evaṃ durlabho buddhotpādo evaṃ durlabhā	ruNNena yatra hi nAma evam durlaBaH budDa utpAdaH evam durlaBA
   saddharmadeśanā | bhagavāṃś caitarhi loke utpanno tathāgato 'rhan	sadDarma deSanA | BagavAn ca etarhi loke utpannaH taTAgataH arhan
   samyaksambuddho dharmo deśīyati aupasamiko pārinirvāṇiko sugatapravedito	samyaksambudDaH DarmaH deSIyati OpasamikaH pArinirvANikaH sugata praveditaH 
   amṛtasya prāptaye nirvāṇasya sākṣātkriyāyai samvartati | na ca bhagavān	amRtasya prAptaye nirvANasya sAkzAt kriyAyE samvartati | na ca BagavAn
   avakāśaṃ karoti mātṛgrāmasya tathāgatapravedite dharmavinaye	avakASam karoti mAtR grAmasya taTAgata pravedite Darma vinaye
   pravrajyāyopasampadāya bhikṣuṇībhāvasya ścai sādhu tāvāryānanda	pravrajyAya upasampadAya BikzuNI BAvasya ScE sADu tO= Arya Ananda
   bhagavantaṃ yāca yathā labheya mātṛgrāmo pi tathāgatapravedite	Bagavantam yAca yaTA laBeya mAtR grAmaH pi taTAgata pravedite
   dharmavinaye pravrajyām upasampadāṃ bhikṣuṇībhāvaṃ |	Darma vinaye pravrajyAm upasampadAm BikzuNI BAvam |
   7. sādhu gautamīti āyuṣmān ānando mahāprajāpatīye gautamīye pratiśrutvā	7. sADu gOtamI iti AyuzmAn AnandaH mahA prajApatIye gOtamIye pratiSrutvA
   yena bhagavāṃs tenopasaṃkramitvā bhagavataḥ pādauśirasā vanditvā ekānte	yena BagavAn tena upasaMkramitvA BagavataH pAda OSirasA vanditvA ekAnte
   asthāsi | ekāntasthito āyuṣmān ānando bhagavantam etad avocat durlabho	asTA asi | ekAnta sTitaH AyuzmAn AnandaH Bagavantam etat avocat durlaBaH 
   bhagavan buddhotpādo durlabhā saddharmadeśanā bhagavān cetarhi loke	Bagavan budDa utpAdaH durlaBA sadDarma deSanA BagavAn cetarhi loke
   utpanno tathāgato 'rhan samyaksambuddho dharmo ca deśyate aupasamiko	utpannaH taTAgataH arhan samyaksambudDaH DarmaH ca deSyate OpasamikaH 
   pārinirvāṇiko sugatapravedito amṛtasya prāptaye nirvāṇasya sākṣātkriyāyai	pArinirvANikaH sugata praveditaH amRtasya prAptaye nirvANasya sAkzAtkriyAyE
   samvartati | sādhu bhagavan mātṛgrāmo pi labheya tathāgatapravedite	samvartati | sADu Bagavat mAtR grAmaH pi laBeya taTAgata pravedite
   dharmavinaye pravrajyām upadampadāṃ bhikṣuṇibhāvaṃ | evam ukte bhagavān	Darma vinaye pravrajyAm upadampadAm BikzuNi BAvam | evam ukte BagavAn
   āyuṣmantam ānandam etad avocat | mā te gautamīmātā rocatu mātṛgrāmasya	Ayuzmantam Anandam etat avocat | mA te gOtamImAtA rocatu mAtR grAmasya
   tathāgatapravedite dharmavinaye pravrajyāmupasampadā bhikṣuṇībhāvo |	taTAgata pravedite Darma vinaye pravrajyAm upasampadA BikzuNIBAvaH |
   8. atha khalv āyuṣmān ānando | bhagavān nāvakaśaṃ karoti mātṛgrāmasya	8. aTa Kalu AyuzmAn AnandaH | BagavAn na avakaSam karoti mAtR grAmasya
   tathāgata pravedite dharmavinaye pravrajyāupasaṃpadāye bhikṣuṇībhāvasyeti	taTAgata pravedite Darma vinaye pravrajyA aupasaMpadAye BikzuNI BAvasya iti
   | bhagavataḥ pādau śirasā vanditvā yena mahāprajāpati gautamī	| BagavataH pAdO SirasA vanditvA yena mahA prajApati gOtamI
   tenopasaṃkramitvā mahāprajāpatīṃ gautamīm etad avocat | na khalu gautamī	tena upasaMkramitvA mahA prajApatIm gOtamIm etat avocat | na Kalu gOtamI
   bhagavān avakāśaṃ karoti mātṛgrāmasya tathāgatapravedite dharmavinaye	BagavAn avakASam karoti mAtR grAmasya taTAgata pravedite Darma vinaye
   pravrajyāyopasaṃpadāya bhikṣuṇībhāvāya | evam ukte mahāprajāpatī gautamī	pravrajyAya upasaMpadAya BikzuNI BAvAya | evam ukte mahA prajApatI gOtamI
   āyuṣmantam ānandam etad avocat | sādhu tāvāryānanda dvitīyaṃ pi	Ayuzmantam Anandam etat avocat | sADu tO= Arya Ananda dvitIyam pi
   bhagavantaṃ yāca yathā mātṛgrāmo pi labheya tathāgatapravedite	Bagavantam yAca yaTA mAtR grAmaH pi laBeya taTAgata pravedite
   dharmavinaye pravrajyāṃ upasaṃpadāṃ bhikṣuṇībhāvaṃ | sādhu gautamīti	Darma vinaye pravrajyAm upasaMpadAm BikzuNI BAvam | sADu gOtami iti
   āyuṣmān ānando dvitīyaṃ pi mahāprajāpatīye gautamīye pratiśrutvā yena	AyuzmAn AnandaH dvitIyam pi mahA prajApatIye gOtamIye pratiSrutvA yena
   bhagavān tenopasaṃkramitvā bhagavataḥ pādau śirasā vanditvā ekānte asthāsi	BagavAn tena upasaMkramitvA BagavataH pAdO SirasA vanditvA ekAnte asTA asi
   | ekānte sthito āyuṣmān ānando bhagavantam etad avocat | durlabho bhagavan	| ekAnte sTitaH AyuzmAn AnandaH Bagavantam etat avocat | durlaBaH Bagavan
   buddhotpādo ti tad evaṃ sarvaṃ yāva bhikṣuṇībhāvo ti evam ukte bhagavān	budDa utpAdaH ti tat evam sarvam yAva BikzuNI BAvaH ti evam ukte BagavAn
   āyuṣmantam ānandam etad avocat | māte gautamī mātā rocatu mātṛgrāmasya	Ayuzmantam Anandam etat avocat | mAte gOtamI mAtA rocatu mAtR grAmasya
   tathāgatapravedite dharmavinaye pravrajyā upasaṃpadā bhikṣuṇībhāvo |	taTAgata pravedite Darma vinaye pravrajyA upasaMpadA BikzuNIBAvaH |
   saṃyathāpi nāmānanda sampanne yavakaraṇe ca kāraṇḍavaṃ nāma rogarājā ti	saMyaTA api nAma Ananda sampanne yava karaNe ca kAraNxavam nAma rogarAjA ti
   upanipateya evan taṃ sampannaṃ yavakaraṇaṃ mahatā upakleśena upakliṣṭaṃ	upanipateya evan tam sampannam yava karaNam mahatA upakleSena upaklizwam
   bhavati evam eva gautamī mātā yasmin prāvacane mātṛgrāmo pi labhati	Bavati evam eva gOtamI mAtA yasmin prAvacane mAtR grAmaH pi laBati
   pravrajyām upasaṃpadāṃ bhikṣuṇībhāvaṃ evan taṃ prāvacanaṃ	pravrajyAm upasaMpadAm BikzuNI BAvam evan tam prAvacanam
   mahatāmupakleśena upakliṣṭaṃ bhavati | sayyathāpi nāma gautamī mātā	mahatAm upakleSena upaklizwam Bavati | sayyaTA api nAma gOtamI mAtA
   sampanne ikṣukaraṇe mañjiṣṭhā nāma rogarājā ti evan taṃ sampannaṃ	sampanne ikzu karaNe maQjizWA nAma rogarAjA ti evan tam sampannam
   ikṣukaraṇam mahatā upakleśena upakliṣṭam bhavati | evam eva gautamī mātā	ikzu karaNam mahatA upakleSena upaklizwam Bavati | evam eva gOtamI mAtA
   yasmin prāvacane mātṛgrāmo pi labhati pravrajyām upasaṃpadāṃ	yasmin prAvacane mAtR grAmaH pi laBati pravrajyAm upasaMpadAm
   bhikṣuṇībhāvaṃ evan taṃ prāvacanam mahatā upakleśena upakliṣṭam bhavati |	BikzuNI BAvam evan tam prAvacanam mahatA upakleSena upaklizwam Bavati |
   sayyathāpi nāma mā te gautamī mātā rocatu mātṛgrāmasya tathāgatapravedite	sayyaTA api nAma mA te gOtamI mAtA rocatu mAtR grAmasya taTAgata pravedite
   dharmavinaye pravrajyāmupasaṃpadā bhikṣuṇībhāvo |	Darma vinaye pravrajyAm upasaMpadA BikzuNIBAvaH |
   9. atha khalv āyuṣmān ānando | bhagavān nā vakāśaṃ karoti mātṛgrāmasya	9. aTa Kalu AyuzmAn AnandaH | BagavAn nA vakASam karoti mAtR grAmasya
   tathāgatapravedite dharmavinaye pravrajyāyopasaṃpadāya bhikṣuṇībhāvasyeti	taTAgata pravedite Darma vinaye pravrajyAya upasaMpadAya BikzuNI BAvasya iti
   | yena mahāprajāpatī gautamī tenopasaṃkramitvā mahāprajāpatīṃ gautamīṃ	| yena mahA prajApatI gOtamI tena upasaMkramitvA mahA prajApatIm gOtamIm
   etad avocat | na khalu gautamī bhagavān avakāśaṃ karoti mātṛgrāmasya	etat avocat | na Kalu gOtamI BagavAn avakASam karoti mAtR grAmasya
   tathāgatapravedite dharmavinaye pravrajyāyopasaṃpadāya bhikṣuṇībhāvasyeti	taTAgata pravedite Darma vinaye pravrajyAya upasaMpadAya BikzuNI BAvasya iti
   | evam ukte mahāprajāpatī gautamī āyuṣmantam ānandam etad avocat | sādhu	| evam ukte mahA prajApatI gOtamI Ayuzmantam Anandam etat avocat | sADu
   tāvāryānanda tṛtīyaṃ pi bhagavantaṃ yāca yathā mātṛgrāmo pi labheya	tO= Arya Ananda tRtIyam pi Bagavantam yAca yaTA mAtR grAmaH pi laBeya
   tathāgatapravedite dharmavinaye pravrajyām upasaṃpadaṃ bhikṣuṇībhāvaṃ |	taTAgata pravedite Darma vinaye pravrajyAm upasaMpadam BikzuNI BAvam |
   sādhu gautamītī āyuṣmān ānando tṛtīyaṃ pi mahāprajāpatīya gautamīya	sADu gOtamItI AyuzmAn AnandaH tRtIyam pi mahA prajApatIya gOtamIya
   pratiśrutvā yena bhagavāṃs tenopasaṃkramitvā bhagavataḥ pādau śirasā	pratiSrutvA yena BagavAn tena upasaMkramitvA BagavataH pAdO SirasA
   vanditvā ekānte niṣīdi ekāntaniṣaṇṇo āyuṣmān ānando bhagavantam etad	vanditvA ekAnte nizIdi ekAnta nizaNNaH AyuzmAn AnandaH Bagavantam etat 
   avocat | purimakānāṃ bhagavan tathāgatānām arhatāṃ samyaksambuddhānāṃ kati	avocat | purimakAnAm Bagavan taTAgatAnAm arhatAm samyaksambudDAnAm kati
   parṣāyo abhuvan | evam ukte bhagavān āyuṣmantam ānandam etad avocat |	parzAyaH aBuvan | evam ukte BagavAn Ayuzmantam Anandam etat avocat |
   purimakānām ānanda tathāgatānām arhatāṃ samyaksambuddhānāṃ catvāri	purimakAnAm Ananda taTAgatAnAm arhatAm samyaksambudDAnAm catvAri
   pariṣāyo abhuvan sayyathīdaṃ | bhikṣu bhikṣuṇī upāsakopāsikā |	parizAyaH aBuvan sayyaTi idam | Bikzu BikzuNI upAsa kopAsikA |
   evam ukte āyuṣmān ānando bhagavantam etad avocat | ye ime bhagavan catvāro	evam ukte AyuzmAn AnandaH Bagavantam etat avocat | ye ime Bagavan catvAraH 
   śrāmaṇyaphalā sayyathīdaṃ śrotaāpattiphalaṃ sakṛdāgāmiphalam anāgāmiphalam	SrAmaNyaPalA sayyaTi idam SrotaApatti Palam sakRdAgAmi Palam anAgAmi Palam
   agraphalam arhatvaṃ | bhavyo eteṣāṃ mātṛgrāmo pi eko 'pramatto ātāpi	agra Palam arhatvam | BavyaH etezAm mAtR grAmaH pi ekaH apramattaH AtApi
   vyupakṛṣṭo viharanto sākṣīkartuṃ | evam ukte bhagavān āyuṣmantam ānandam	vyupakRzwaH viharantaH sAkzIkartum | evam ukte BagavAn Ayuzmantam Anandam
   etad avocat | yānīmāni ānanda catvāri śrāmaṇyaphalāni sayyathīdaṃ	etat avocat | yAni imAni Ananda catvAri SrAmaNya PalAni sayyaTIdam
   śrotaāpattiphalaṃ yāvad agraphalam arhatvaṃ | bhavyo eteṣāṃ matṛgrāmo pi	SrotaApatti Palam yAvat agra Palam arhatvam | BavyaH etezAm matR grAmaH pi
   eko 'pramatto ātāpi vyupakṛṣṭo viharanto sākṣīkartuṃ |	ekaH apramattaH AtA api vyupakRzwaH viharantaH sAkzIkartum |
   10. evam ukte āyuṣmān ānando bhagavantam etad avocat | yato khalu bhagavan	10. evam ukte AyuzmAn AnandaH Bagavantam etat avocat | yatas Kalu Bagavan
   purimakānāṃ tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ catvāro parṣāyo	purimakAnAm taTAgatAnAm arhatAm samyaksaMbudDAnAm catvAraH parzAyaH 
   abhūṃsuḥ bhikṣubhikṣuṇī upāsakopāsikā | ime catvāri śrāmaṇyaphalāni	aBUMsuH Bikzu BikzuNI upAsa kopAsikA | ime catvAri SrAmaNya PalAni
   sayyathīdaṃ | śrotaāpattiphalaṃ yāva agraphalam arhatvaṃ | bhavyo eteṣāṃ	sayyaTi idam | SrotaApatti Palam yAva agra Palam arhatvam | BavyaH etezAm
   mātṛgrāmo pi eko apramatto ātāpi vyupakṛṣṭo viharanto sākṣīkartuṃ | sādhu	mAtR grAmaH pi ekaH apramattaH AtApi vyupakRzwaH viharantaH sAkzIkartum | sADu
   bhagavan mātṛgrāmo pi labheya tathāgatapravedite dharmavinaye pravrajyām	Bagavat mAtR grAmaH pi laBeya taTAgata pravedite Darma vinaye pravrajyAm
   upasaṃpadāṃ bhikṣuṇībhāvaṃ | duṣkarakārikā ca bhagavato mahāprajāpatī	upasaMpadAm BikzuNI BAvam | duzkara kArikA ca BagavataH mahA prajApatI
   gautamī āpāyikā poṣikā janetrīye kālagatāye stanyasya dāyikā bhagavāṃś ca	gOtamI ApAyikA pozikA janetrIye kAlagatAye stanyasya dAyikAH BagavAn ca
   kṛtajño kṛtavedī | evam ukte bhagavān āyuṣmantam ānandam etad avocat |	kRtajQaH kRtavedI | evam ukte BagavAn Ayuzmantam Anandam etat avocat |
   evam etad ānanda duṣkarakārikā ānanda tathāgatasya mahāprajāpatī gautamī	evam etat Ananda duzkara kArikAH Ananda taTAgatasya mahA prajApatI gOtamI
   āpāyikā poṣikā janetriye kālagatāye stanyasya dāyikā tathāgato ca kṛtajño	ApAyikA pozikA janetriye kAlagatAye stanyasya dAyikA taTAgataH ca kRtajQaH 
   kṛtavedī ca | api cānanda tathāgato pi mahāprajāpatīya gautamīya	kRtavedI ca | api ca Ananda taTAgataH pi mahA prajApatIya gOtamIya
   duṣkarakārako | tathāgataṃ hy ānandāāgamya mahāprajāpatī gautamī	duzkara kArakaH | taTAgatam hi AnandAa Agamya mahA prajApatI gOtamI
   buddhaśaraṇaṃ gatā | dharmaśaraṇaṃ gatā | saṃghaśaraṇaṃ gatā tathāgataṃ hy	budDa SaraNam gatA | Darma SaraNam gatA | saMGa SaraNam gatA taTAgatam hi 
   ānandāgamya mahāprajāpatī gautamī	Ananda Agamya mahA prajApatI gOtamI
   yāvajjīvaṃ prāṇātipātāto prativiratā [1]	yAvajjIvam prANa atipAtAtaH prativiratAH [1]
   yāvajjīvaṃ adattādānāt prativiratā [2]	yAvajjIvam adatta AdAnAt prativiratAH [2]
