   akṛtrimāhamāmarśa- Aprp_1a	akRtrima-aham-AmarSa Aprp_1a
   ṭādi vāgādipañcakam Aprp_17d	wAdi vAc-Adi-paQcakam Aprp_17d
   tato gatyantarābhāvāc Aprp_8a	tatas gati-antara-aBAvAt Aprp_8a
   tato jñānakriyāsāra- Aprp_43c	tatas jQAna-kriyA-sAra Aprp_43c
   tattvaṃ nānyan nirūpaṇe Aprp_41b	tattvam na-anyat nirUpaNe Aprp_41b
   tatsaṃkocāt saṃkucitaḥ Aprp_23c	tad-saMkocAt saMkucitaH Aprp_23c
   tathātra nihitaṃ jagat Aprp_40b	taTA-atra nihitam jagat Aprp_40b
   tathaivoneṣayogena Aprp_34a	taTA-eva-Uneza-yogena Aprp_34a
   tadanyad aparāśaktir Aprp_29c	tat-anyat aparASaktiH Aprp_29c
   tadā kāraṇamātrāṇi Aprp_31a	tadA kAraNa-mAtrANi Aprp_31a
   tanmātrapañcakaṃ cādi Aprp_18a	tanmAtra-paQcakam ca-Adi Aprp_18a
   tamaḥkevalatāṃ gatam Aprp_10b	tamaH-kevala-tAm gatam Aprp_10b
   tābhyāṃ kiṃ cid upekṣyate Aprp_6b	tAByAm kim cit upekzyate Aprp_6b
   tithayaḥ pratipatpūrvāḥ Aprp_37a	tiTayaH pratipad-pUrvAH Aprp_37a
   trikoṇād vṛttiyogataḥ Aprp_33d	trikoNAt vRtti-yogataH Aprp_33d
   triśūlaṃ dvaitaghasmaram Aprp_34d	triSUlam dvEta-Gasmaram Aprp_34d
   dīpālokam apekṣate Aprp_12d	dIpa-Alokam apekzate Aprp_12d
   dīpte kenāpi hetunā Aprp_47b	dIpte kena-api hetunA Aprp_47b
   dvidheyaṃ mātṛkā devī Aprp_38c	dvi-DA-iyam mAtRkA devI Aprp_38c
   dhītattve ca parīkṣyatām Aprp_13b	DI-tattve ca parIkzyatAm Aprp_13b
   na kathaṃcid upādeyam Aprp_35c	na kaTaMcid upAdeyam Aprp_35c
   na tu sarvaṃ prakāśate Aprp_13d	na tu sarvam prakASate Aprp_13d
   na dāridryeṇa pīḍyate Aprp_47d	na dAridryeNa pIxyate Aprp_47d
   na labdharūpasaṃbandhe Aprp_6a	na labDa-rUpa-saMbanDe Aprp_6a
   na viśvaviśvavapuṣor Aprp_3c	na viSva-viSva-vapuzoH Aprp_3c
   na syād etasya kiṃ cana Aprp_6d	na syAt etasya kim canaH Aprp_6d
   na hi vaikartanaṃ jyotir Aprp_12c	na hi vEkartanam jyotiH Aprp_12c
   nityatvānyasya śaktayaḥ Aprp_23b	nitya-tva-ani-asya SaktayaH Aprp_23b
   nityapravṛttaśṛṅgāṭa- Aprp_39a	nitya-pravRtta-SRFgAwa Aprp_39a
   niyatir bandha ucyate Aprp_16b	niyatiH banDaH ucyate Aprp_16b
   niyatiś cedam eva me Aprp_24d	niyatiH ca-idam eva me Aprp_24d
   niramāyi śivena tu Aprp_15d	niramAyi Sivena tu Aprp_15d
   pañcakṛtyamahānāṭya- Aprp_2c	paQca-kRtya-mahA-nAwya Aprp_2c
   pañcadaśeti māyayā Aprp_37b	paQcadaSa-iti mAyayA Aprp_37b
   pañcadhā-tamasaḥ param Aprp_14d	paQcaDA-a-tamasaH param Aprp_14d
   pañcapañcātmakaṃ viśvaṃ Aprp_48a	paQca-paQca-Atmakam viSvam Aprp_48a
   pañcaspandavijṛmbhitam Aprp_48b	paQca-spanda-vijRmBitam Aprp_48b
   parasparavirodhe tu Aprp_35a	paraspara-viroDe tu Aprp_35a
   parākramaparo bhuṅkte Aprp_49c	parAkrama-paraH BuFkte Aprp_49c
   parāparāśaktimaye Aprp_29a	parApara-aSakti-maye Aprp_29a
   parichinnātmikā śaktiḥ Aprp_9c	pariCinna-AtmikA SaktiH Aprp_9c
   paśyan viśvam idantayā Aprp_20d	paSyan viSvam idantayA Aprp_20d
   pumāñ śaktir mano buddhir Aprp_17a	pumAn SaktiH manaH budDiH Aprp_17a
   pṛthagartham arthavattā Aprp_3a	pRTak-arTam arTavat-tA Aprp_3a
   pṛthivyādīni tattvāni Aprp_30c	pRTivI-AdIni tattvAni Aprp_30c
   prakāśād atiricyate Aprp_10d	prakASAt atiricyate Aprp_10d
   prakāśe 'nanyato bhāvaḥ Aprp_9a	prakASe ananyatas BAvaH Aprp_9a
   prakāśaikaghanaḥ śivaḥ Aprp_1b	prakASa-eka-GanaH SivaH Aprp_1b
   prakṛtir guṇasāmyaṃ syād Aprp_25c	prakRtiH guNa-sAmyam syAt Aprp_25c
   prasarati mahāśaktyullekhavicitramahāpaṭī Aprp_50b	prasarati mahA-Sakti-ulleKa-vicitra-mahA-pawI Aprp_50b
   bahir udvamate vibhuḥ Aprp_31b	bahis udvamate viBuH Aprp_31b
   bindur vedyasya saṃskāro Aprp_36a	binduH vedyasya saMskAraH Aprp_36a
   bījayonyātmanā sthitā Aprp_38d	bIja-yoni-AtmanA sTitAH Aprp_38d
   bījaṃ mana udīryate Aprp_27b	bIjam manaH udIryate Aprp_27b
   buddhir adhyavasāyasya Aprp_26c	budDiH aDyavasAyasya Aprp_26c
   buddhihetur ahaṃkṛtiḥ Aprp_26b	budDi-hetuH ahaMkRtiH Aprp_26b
   bhāti māyā tv idaṃ jagat Aprp_42d	BAti mAyA tu idam jagat Aprp_42d
   bhinnatā kāpi tāttvikī Aprp_3d	Binna-tA kA-api tAttvikI Aprp_3d
   bhinnaṃ kiṃ tu jagad bhavet Aprp_4b	Binnam kim tu jagat Bavet Aprp_4b
   bhede sattāsphurattābhyāṃ Aprp_4a	Bede sattA-sPurat-tAByAm Aprp_4a
   matir ekātra sākṣiṇī Aprp_11d	matiH ekA-atra sAkziNI Aprp_11d
   māyāgṛhītasaṃkocaḥ Aprp_22a	mAyA-gRhIta-saMkocaH Aprp_22a
   māyātattvaṃ vibhedadhīḥ Aprp_21d	mAyA-tattvam viBeda-DIH Aprp_21d
   māyātmakaṃ kalā nāma Aprp_24a	mAyA-Atmakam kalA nAma Aprp_24a
   māyāpūrvo vakārādi- Aprp_16c	mAyA-pUrvaH vakAra-Adi Aprp_16c
   mṛdādeḥ kalaśādīnāṃ Aprp_41a	mRd-AdeH kalaSa-AdInAm Aprp_41a
   yac ca kiṃ cij jagad etat Aprp_10c	yat ca kim cit jagat etat Aprp_10c
   yat prakāśātmakaṃ sarvaṃ Aprp_10a	yat prakASa-Atmakam sarvam Aprp_10a
   yatra kvāpi nirañjane Aprp_45d	yatra kvApi niraQjane Aprp_45d
   yathā-vimarśavapuṣaḥ Aprp_38a	yaTA--vimarSa-vapuzaH Aprp_38a
   yadā-līnāni kāraṇe Aprp_30d	yadA-a-lInAni kAraNe Aprp_30d
   rasikaḥ krīḍati prabhuḥ Aprp_2d	rasikaH krIxati praBuH Aprp_2d
   vacanādeś ca śabdāder Aprp_27c	vacana-AdeH ca Sabda-AdeH Aprp_27c
   vaṭabīje yathā vṛkṣas Aprp_40a	vawa-bIje yaTA vRkzaH Aprp_40a
   vapurviśvasya janmabhūḥ Aprp_39b	vapuH-viSvasya janma-BUH Aprp_39b
   vāgādiśravaṇādikam Aprp_27d	vAc-Adi-SravaNa-Adikam Aprp_27d
   vicāryamāṇe naivedaṃ Aprp_40c	vicAryamANe na-eva-idam Aprp_40c
   vidyeśvarasadāśivāḥ Aprp_43d	vidyeSvara-sadASivAH Aprp_43d
   vināśānabhupagame Aprp_7c	vinASa-anaBupagame Aprp_7c
   vimarśaḥ sarga ity asau Aprp_36b	vimarSaH sargaH iti asO Aprp_36b
   vimṛśata janāḥ kiṃ no svabhāvavijṛmbhitam Aprp_50d	vimRSata janAH kim no svaBAva-vijRmBitam Aprp_50d
   vimṛśyasaraṇīṃ prāptam Aprp_11a	vimRSya-saraNIm prAptam Aprp_11a
   viluptapratyayākāram Aprp_43a	vilupta-pratyaya-AkAram Aprp_43a
   viśvaviśvaśarīrayoḥ Aprp_3b	viSva-viSva-SarIrayoH Aprp_3b
   viśvaṃ vapur udañcayan Aprp_2b	viSvam vapuH udaQcayan Aprp_2b
   viśvātmani mahāmantre Aprp_46c	viSvAtmani mahA-mantre Aprp_46c
   vyavasthā yantraṇākṛitiḥ Aprp_25b	vyavasTA yantraNA-kRitiH Aprp_25b
   śaktitattvam udañcayan Aprp_19b	Sakti-tattvam udaQcayan Aprp_19b
   śaktitriśūle līyante Aprp_44a	Sakti-triSUle lIyante Aprp_44a
   śaktipātapavitre 'smin Aprp_13a	SaktipAta-pavitre asmin Aprp_13a
   śaktir vijayate parā Aprp_36d	SaktiH vijayate parAH Aprp_36d
   śaktyā vimarśavapuṣā Aprp_1c	SaktyA vimarSa-vapuzA Aprp_1c
   śambhor viśvātiśāyinaḥ Aprp_9d	SamBoH viSva-atiSAyinaH Aprp_9d
   śivatattvaṃ vibhoḥ smṛtam Aprp_18d	Siva-tattvam viBoH smRtam Aprp_18d
   śivaḥ puṃtattvam ucyate Aprp_22b	SivaH puMtattvam ucyate Aprp_22b
   śivaḥ śaktiś ca sādākhyam Aprp_15a	SivaH SaktiH ca sAdAKyam Aprp_15a
   śivādikṣitiparyantaṃ Aprp_2a	Siva-Adi-kziti-paryantam Aprp_2a
   śuddhāśuddhādhvagarbhiṇī Aprp_30b	SudDa-aSudDa-aDva-garBiNI Aprp_30b
   śuddhe vidyādipañcakam Aprp_29b	SudDe vidyA-Adi-paQcakam Aprp_29b
   śrutīnām antimā giraḥ Aprp_41d	SrutInAm antimAH giraH Aprp_41d
   śrotrādipañcakaṃ tādi Aprp_17c	Srotra-Adi-paQcakam tAdi Aprp_17c
   ṣaṭtriṃśattattvalaharī- Aprp_46a	zawtriMSat-tattva-laharI Aprp_46a
   ṣaṭtriṃśadbhedatattvataḥ Aprp_14b	zawtriMSat-Beda-tattvataH Aprp_14b
   ṣaṇḍātmānaḥ pracoditāḥ Aprp_33b	zaNxa-AtmAnaH pracoditAH Aprp_33b
   sa eva tattvaṃ sādākhyaṃ Aprp_20a	saH eva tattvam sAdAKyam Aprp_20a
   sa eveśvaratattvaṃ syāt Aprp_20c	saH eva-ISvara-tattvam syAt Aprp_20c
   sataś cidaikyaṃ prakṛtaṃ Aprp_8c	sataH cit-Ekyam prakRtam Aprp_8c
   satā mukundarāmeṇa Aprp_*1c	satA mukundarAmeNa Aprp_*1c
   sattā ca na vināśinī Aprp_7b	sattA ca na vinASinI Aprp_7b
   sattā-bhānaṃ ca tan na cet Aprp_4d	sattA-BAnam ca tat na ced Aprp_4d
   sattāvācini bīje 'smin Aprp_42c	sattA-vAcini bIje asmin Aprp_42c
   sattā ṣaṭ . . . . .* Aprp_32b	sattA zaw . . . . .* Aprp_32b
   sattāsphurattāsaṃbandhāt Aprp_4c	sattA-sPurattA-saMbanDAt Aprp_4c
   sanmude 'stu śive 'rpitā Aprp_*1d	sat-mude astu Sive arpitAH Aprp_*1d
   sargasyādyāḥ kalāḥ smṛtāḥ Aprp_38b	sargasya-AdyAH kalAH smRtAH Aprp_38b
   sarvaṃ līnam ataḥ [param] Aprp_44d	sarvam lInam atas [param] Aprp_44d
   sarvaṃ saṃkucitaṃ kramāt Aprp_45b	sarvam saMkucitam kramAt Aprp_45b
   sarvaṃ havir idaṃ juhvan Aprp_47c	sarvam haviH idam juhvan Aprp_47c
   sarvānugrahaṇodyatam Aprp_20b	sarva-anugrahaNa-udyatam Aprp_20b
   saṃkalpasya vikalpasya Aprp_27a	saMkalpasya vikalpasya Aprp_27a
   saṃkocayatparāmarśāt Aprp_48c	saMkocayat-parAmarSAt Aprp_48c
   saṃbandhaḥ so 'yam iṣyate Aprp_5b	saMbanDaH saH ayam izyate Aprp_5b
   saṃbandho na hy avastunaḥ Aprp_5d	saMbanDaH na hi avastunaH Aprp_5d
   saṃśritena prakāśitā Aprp_*1b	saMSritena prakASitA Aprp_*1b
   sāmānyaspandakevalam Aprp_48d	sAmAnya-spanda-kevalam Aprp_48d
   sāraṃ yat tat paraṃ mahaḥ Aprp_39d	sAram yat tat param mahaH Aprp_39d
   sisṛkṣoḥ prathamaspandaḥ Aprp_18c	sisRkzoH praTama-spandaH Aprp_18c
   sūryācandramasau svāntaś- Aprp_37c	sUryAcandramasO sva-anta-S Aprp_37c
   seyaṃ kāśmīrabhūpāla- Aprp_*1a	sA-iyam kASmIra-BUpAla Aprp_*1a
   sphuṭāsphuṭajaganmayī Aprp_32d	sPuwa-asPuwa-jagat-mayI Aprp_32d
   svabhāvataḥ sphurattā ca Aprp_7a	svaBAvataH sPurat-tA ca Aprp_7a
   svabhāvam aśivāpaham Aprp_49d	svaBAvam aSiva-apaham Aprp_49d
   svabhāve sā vilīyate Aprp_46d	svaBAve sA vilIyate Aprp_46d
   svarūpalābhasulabhaḥ Aprp_5c	sva-rUpa-lABa-sulaBaH Aprp_5c
   svāṅgakalpeṣu bhāveṣu Aprp_21c	sva-aFga-kalpezu BAvezu Aprp_21c
   svātantryollāsakevalaḥ Aprp_9b	svAtantrya-ullAsa-kevalaH Aprp_9b
   svātmano 'nanyarūpayā Aprp_1d	sva-AtmanaH ananya-rUpayA Aprp_1d
   svecchayā-sūcitaṃ viśvam Aprp_19c	sva-icCayA--sUcitam viSvam Aprp_19c
   hṛdayaṃ bījam etasyāṃ Aprp_39c	hRdayam bIjam etasyAm Aprp_39c
