   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   ajitādhigamāya mantribhir Ragh_8.17a	ajita aDigamAya mantriBiH RaG_8.17a
   ajito jiṣṇur atyantam Ragh_10.18c	ajitaH jizNuH atyantam RaG_10.18c
   ajinadaṇḍabhṛtaṃ kuśamekhalāṃ Ragh_9.17a	ajina daNxa BRtam kuSa meKalAm RaG_9.17a
   ajena mārge vasatīr uṣitvā Ragh_7.33b	ajena mArge vasatIH uzitvA RaG_7.33b
   ajñātapātaṃ salile mamajja Ragh_16.72d	ajQAta pAtam salile mamajjaH Rau _16.72d
   ajñātavraṇavedanām Ragh_12.99d	ajQAta vraNa vedanAm RaG_12.99d
   ajñānataḥ svacaritaṃ nṛpatiḥ śaśaṃsa Ragh_9.77d	ajQAnataH sva caritam nRpatiH SaSaMsaH RaG_9.77d
   añjaseti rurudhuḥ kacagrahaiḥ Ragh_19.31d	aQjasA iti ruruDuH kaca grahEH Rau _19.31d
   atas tadākhyayā tīrthaṃ Ragh_15.101c	atas tad AKyayA tIrTam RaG_15.101c
   atas te na bhaviṣyati Ragh_1.77b	atas te na Bavizyati RaG_1.77b
   ataḥ pitā brahmaṇa eva nāmnā Ragh_5.36c	atas pitA brahmaNaH eva nAmnA RaG_5.36c
   ataḥ saṃbhāvitāṃ tābhyāṃ Ragh_10.56c	atas saMBAvitAm tAByAm RaG_10.56c
   ataḥ siddhiṃ sametābhyām Ragh_17.47c	atas sidDim sametAByAm RaG_17.47c
   ataḥ so 'bhyantarān nityān Ragh_17.45c	atas saH aByantarAt nityAn RaG_17.45c
   atigauravam īkṣitaḥ Ragh_15.38d	ati gOravam IkzitaH RaG_15.38d
   atithīn āśramonmukhān Ragh_1.53b	atiTIn ASrama unmuKAn RaG_1.53b
   atiprabandhaprahitāstravṛṣṭibhis Ragh_3.58a	atiprabanDa prahita astra vRzwiBiH RaG_3.58a
   atiśastranakhanyāsaḥ Ragh_12.73c	ati Sastra naKa nyAsaH RaG_12.73c
   atiṣṭhat pratyayāpekṣa Ragh_10.3a	atizWat pratyaya apekzaH RaG_10.3a
   atiṣṭhad ālīḍhaviśeṣaśobhinā Ragh_3.52c	atizWat AlIXa viSeza SoBinA RaG_3.52c
   atiṣṭhad ekonaśatakratutve Ragh_6.74c	atizWat ekona Satakratu tve RaG_6.74c
   atiṣṭhan mārgam āvṛtya Ragh_12.28c	atizWat mArgam AvRtya RaG_12.28c
   atīndriyeṣv apy upapannadarśano Ragh_3.41c	atIndriyezu api upapanna darSanaH Rau _3.41c
   ato nṛpāś cakṣamire sametāḥ Ragh_7.34c	atas nRpAH cakzamire sametAH RaG_7.34c
   ato 'bhilāṣe prathamaṃ tathāvidhe Ragh_3.4c	atas aBilAze praTamam taTAviDe RaG_3.4c
   ato 'yam aśvaḥ kapilānukāriṇā Ragh_3.50a	atas ayam aSvaH kapila anukAriNA RaG_3.50a
   atyantam āsīd ruditaṃ vane 'pi Ragh_14.69d	atyantam AsIt ruditam vane api Rau _14.69d
   atyantaluptapriyadarśanena Ragh_14.49d	atyanta lupta priya darSanena Rau _14.49d
   atyartham eva kṣaṇadā ca tanvī Ragh_16.45b	atyarTam eva kzaNadA ca tanvI RaG_16.45b
   atyarthaṃ mahataḥ kṛṣāḥ Ragh_17.72b	atyarTam mahataH kRzAH RaG_17.72b
   atyavāhayad anaṅgavāhitaḥ Ragh_19.47d	atyavAhayat anaFga vAhitaH Rau _19.47d
   atyākhaṇḍalavikramam Ragh_4.83b	ati AKaNxala vikramam RaG_4.83b
   atyārūḍhaṃ ripoḥ soḍhaṃ Ragh_10.43c	ati ArUXam ripoH soXam RaG_10.43c
   atyārūḍho hi nārīṇām Ragh_12.33c	ati ArUXaH hi nArINAm RaG_12.33c
   atrasnubhir yuktadhuraṃ turaṃgaiḥ Ragh_14.47b	atrasnuBiH yukta Duram turaMgEH RaG_14.47b
   atrānugodaṃ mṛgayānivṛttas Ragh_13.35a	atra anugodam mRgayA nivRttaH RaG_13.35a
   atrābhiṣekāya tapodhanānāṃ Ragh_13.51a	atra aBizekAya tapoDanAnAm RaG_13.51a
   atrāviyuktāni rathāṅganāmnām Ragh_13.31a	atra aviyuktAni raTAFga nAmnAm RaG_13.31a
   atha kāścid ajavyapekṣayā Ragh_8.24a	aTa kAScid aja vyapekzayA RaG_8.24a
   atha cāstamitā 'sy aho bata Ragh_8.51c	aTa ca astamitA asi aho bata RaG_8.51c
   atha jātu ruror gṛhītavartmā Ragh_9.72a	aTa jAtu ruroH gRhIta vartmA RaG_9.72a
   atha jānapado vipraḥ Ragh_15.42a	aTa jAnapadaH vipraH RaG_15.42a
   atha tasya kathaṃcid aṅkataḥ Ragh_8.71a	aTa tasya kaTaMcid aFkataH RaG_8.71a
   atha tasya vivāhakautukaṃ Ragh_8.1a	aTa tasya vivAha kOtukam RaG_8.1a
   atha tasya viśāṃpatyur Ragh_10.51a	aTa tasya viSAMpatyuH RaG_10.51a
   atha taṃ savanāya diṣitaḥ Ragh_8.75a	aTa tam savanAya dizitaH RaG_8.75a
   atha tena daśāhataḥ pare Ragh_8.73a	aTa tena daSa AhataH pare RaG_8.73a
   atha dhūmābhitāmrākṣaṃ Ragh_15.49a	aTa DUma aBitAmra akzam RaG_15.49a
   atha nabhasya iva tridaśāyudhaṃ Ragh_9.54a	aTa naBasyaH iva tridaSa AyuDam RaG_9.54a
   atha nayanasamutthaṃ jyotir atrer iva dyauḥ Ragh_2.75a	aTa nayana samutTam jyotiH atreH iva dyOH RaG_2.75a
   atha pathi gamayitvā kḷparamyopakārye Ragh_11.93a	aTa paTi gamayitvA k?paramya upakArye RaG_11.93a
   atha prajānmām adhipaḥ prabhāte Ragh_2.1a	aTa prajAn mAm aDipaH praBAte RaG_2.1a
   atha pradoṣe doṣajñaḥ Ragh_1.93a	aTa pradoze doza jQaH RaG_1.93a
   atha prabhāvopanataiḥ kumāraṃ Ragh_5.52a	aTa praBAva upanatEH kumAram RaG_5.52a
   atha prācetasopajñaṃ Ragh_15.63a	aTa prAcetasa upajQam RaG_15.63a
   atha madagurupakṣair lokapāladvipānām Ragh_12.102a	aTa madaguru pakzEH lokapAla dvipAnAm RaG_12.102a
   atha madhu vanitāṃ netranirveśanīyaṃ Ragh_18.52a	aTa maDu vanitAm netra nirveSanIyam RaG_18.52a
   atha yathāsukham ārtavam utsavaṃ Ragh_9.48a	aTa yaTAsuKam Artavam utsavam RaG_9.48a
   atha yantāram ādiṣya Ragh_1.54a	aTa yantAram AdizyaH RaG_1.54a
   atha rāmaśiraścheda Ragh_12.74a	aTa rAma SiraH CedaH RaG_12.74a
   atha rodhasi dakṣiṇodadheḥ Ragh_8.33a	aTa roDasi dakziNa udaDeH RaG_8.33a
   atha vā kṛtavāgdvāre Ragh_1.4a	aTa vA kRta vAc dvAre RaG_1.4a
   atha vā mama bhāgyaviplavād Ragh_8.47a	aTa vA mama BAgya viplavAt RaG_8.47a
   atha vā mṛdu vastu hiṃsituṃ Ragh_8.45a	aTa vA mRdu vastu hiMsitum RaG_8.45a
   atha vālmīkśiṣyeṇa Ragh_15.80a	aTa vAlmIk SizyeNa RaG_15.80a
   atha vidhim avasāyya śāstradṛṣṭaṃ Ragh_5.76a	aTa viDim avasAyya SAstra dRzwam RaG_5.76a
   atha viśvasya saṃhartre Ragh_10.16c	aTa viSvasya saMhartre Rau _10.16c
   atha vīkṣya guṇaiḥ pratiṣṭhitaṃ Ragh_8.9*a	aTa vIkzya guNEH pratizWitam RaG_8.9*a
   atha vīksya raghuḥ pratiṣṭhitaṃ Ragh_8.10a	aTa vIksya raGuH pratizWitam RaG_8.10a
   atha velāsamāsanna Ragh_10.36a	aTa velA samAsannaH RaG_10.36a
   atha vyavasthāpitavāk kathaṃcit Ragh_14.53a	aTa vyavasTApita vAc kaTaMcid RaG_14.53a
   atha samāvavṛte kusumair navais Ragh_9.24a	aTa samAvavRte kusumEH navEH RaG_9.24a
   atha sa viṣavyāvṛttātmā yathāvidhi sūnave Ragh_3.70a	aTa sa viza vyAvRtta AtmA yaTAviDi sUnave RaG_3.70a
   atha sāvarajo rāmaḥ Ragh_15.70a	aTa sAvarajaH rAmaH RaG_15.70a
   atha stute bandibhir anvayajñaiḥ Ragh_6.8a	aTa stute bandiBiH anvayajQEH RaG_6.8a
   athāgramahiṣī rājñaḥ Ragh_10.67a	aTa agra mahizI rAjQaH RaG_10.67a
   athāṅgadāśliṣṭabhujaṃ bhujiṣyā Ragh_6.53a	aTa aFgada ASlizwa Bujam BujizyAH RaG_6.53a
   athāṅgarājād avatārya cakṣur Ragh_6.30a	aTa aFgarAjAt avatArya cakzuH RaG_6.30a
   ath' ātharvanidhes tasya Ragh_1.59a	aTa ATarva niDeH tasya RaG_1.59a
   athādhikasnigdhavilocanena Ragh_14.26a	aTa aDika snigDa vilocanena RaG_14.26a
   athādhigamyābhuvarājakalpaṃ Ragh_6.58*a	aTa aDigamya aBuva rAja kalpam RaG_6.58*a
   athādhiśiśye prayathaḥ pradoṣe Ragh_5.28a	aTa aDiSiSye prayaTaH pradoze RaG_5.28a
   athānāthāḥ prakṛtayo Ragh_12.12a	aTa anATAH prakRtayaH RaG_12.12a
   athānukūlaśravaṇapratītām Ragh_14.47a	aTa anukUla SravaNa pratItAm RaG_14.47a
   athānupoḍhārgalam apy agāraṃ Ragh_16.6a	aTa anupoXa argalam api agAram RaG_16.6a
   athāndhakāraṃ girigahvarāṇāṃ Ragh_2.46a	aTa anDakAram giri gahvarANAm RaG_2.46a
   athābhiṣekaṃ raghuvaṃśaketoḥ Ragh_14.7a	aTa aBizekam raGu vaMSa ketoH RaG_14.7a
   athābhyarcya vidhātāraṃ Ragh_1.35a	aTa aByarcya viDAtAram RaG_1.35a
   athāmanaḥ śabdaguṇaṃ guṇajñaḥ Ragh_13.1a	aTa AmanaH Sabda guNam guNa jQaH RaG_13.1a
   athārdharātre stimitapradīpe Ragh_16.4a	aTa arDarAtre stimita pradIpe RaG_16.4a
   athāsya godānavidher anantaraṃ Ragh_3.33a	aTa asya go dAna viDeH anantaram RaG_3.33a
   athāsya ratnagrathitottarīyam Ragh_16.43a	aTa asya ratna graTita uttarIyam RaG_16.43a
   athetare sapta raghupravīrā Ragh_16.1a	aTa itare sapta raGu pravIrAH RaG_16.1a
   athepsitaṃ bhartur upasthitodayaṃ Ragh_3.1a	aTa Ipsitam BartuH upasTita udayam RaG_3.1a
   atheśvareṇa krathakaiśikānāṃ Ragh_5.39a	aTa ISvareNa kraTa kESikAnAm RaG_5.39a
   athaikadhenor aparādhacaṇḍād Ragh_2.49a	aTa ekaDenoH aparADa caNxAt RaG_2.49a
   athainam adres tanayā śuśoca Ragh_2.37c	aTa enam adreH tanayA SuSocaH RaG_2.37c
   athainaṃ tuṣṭuvuḥ stutyam Ragh_10.15c	aTa enam tuzwuvuH stutyam Rau _10.15c
   athainaṃ pratyabodhayat Ragh_1.74d	aTa enam pratyaboDayat RaG_1.74d
   athainaṃ samupasthitā Ragh_4.14b	aTa enam samupasTitA RaG_4.14b
   athopanītaṃ vidhivad vipaścito Ragh_3.29a	aTa upanItam viDivat vipaScitaH RaG_3.29a
   athopayantrā sadṛśena yuktāṃ Ragh_7.1a	aTa upayantrA sadRSena yuktAm RaG_7.1a
   athopariṣṭād bhramarair bhramadbhiḥ Ragh_5.43a	aTa uparizwAt BramarEH BramadBiH RaG_5.43a
   athopaśalye ripumagnaśalyas Ragh_16.37a	aTa upaSalye ripu magna SalyaH RaG_16.37a
   athorākhyasya purasya nāthaṃ Ragh_6.59a	aTa ura AKyasya purasya nATam RaG_6.59a
   athormilolonmadarājahaṃse Ragh_16.54a	aTa Urmi lola unmada rAjahaMse RaG_16.54a
   athoṣṭravāmīśatavāhitārthaṃ Ragh_5.32a	aTa uzwra vAmI Satava Ahita arTam RaG_5.32a
   adarśayan vaktum aśaknuvatyaḥ Ragh_13.24c	adarSayan vaktum aSaknuvatyaH RaG_13.24c
   adaḥ śaraṇyaṃ śarabhaṅganāmnas Ragh_13.45a	adaH SaraNyam SaraBaFga nAmnaH RaG_13.45a
   adūravartinīṃ siddhiṃ Ragh_1.87a	adUra vartinIm sidDim RaG_1.87a
   adūravartīni vilāsinīnām Ragh_16.63d	adUra vartIni vilAsinInAm RaG_16.63d
   adūrojjhitavartmasu Ragh_1.40b	adUra ujJita vartmasu RaG_1.40b
   adṛśyata tvaccaraṇāravinda Ragh_13.23c	adRSyata tvad caraNa aravindaH RaG_13.23c
   adṛṣṭapūrvāṃ vanitām apaśyat Ragh_16.4d	adRzwa pUrvAm vanitAm apaSyat RaG_16.4d
   adṛṣṭam abhavat kiṃcid Ragh_17.48c	adRzwam aBavat kiMcid RaG_17.48c
   adṛṣṭasadṛśaprajam Ragh_1.65b	adRzwa sadRSa prajam RaG_1.65b
   adeyam āsīt trayam eva bhūpateḥ Ragh_3.16c	adeyam AsIt trayam eva BUpateH RaG_3.16c
   adehabandhāya punar babandha Ragh_18.7d	adeha banDAya punar babanDaH Rau _18.7d
   adohaṃ cādiṣad gavām Ragh_17.19d	adoham ca Adizat gavAm Rau _17.19d
   addhā śriyaṃ pālitasaṃgarāya Ragh_13.65a	adDA Sriyam pAlita saMgarAya RaG_13.65a
   adhārāvarṣadurdinam Ragh_4.82b	aDArA varza durdinam RaG_4.82b
   adhikaṃ śuśubhe śubhaṃyunā Ragh_8.6a	aDikam SuSuBe SuBaMyunA RaG_8.6a
   adhigataṃ vidhivad yad apālayat Ragh_9.2a	aDigatam viDivat yat apAlayat RaG_9.2a
   adhijaydhanvā vicacāra dāvam Ragh_2.8b	aDijayDanvA vicacAra dAvam RaG_2.8b
   adhijyam āyudhaṃ kartuṃ Ragh_4.15*a	aDijyam AyuDam kartum RaG_4.15*a
   adhityakāyām iva dhātumayyāṃ Ragh_2.29c	aDityakAyAm iva DAtu mayyAm RaG_2.29c
   adhivasaṃs tanum adhvaradīkṣitām Ragh_9.17c	aDivasan tanum aDvara dIkzitAm RaG_9.17c
   adhivāsaspṛhayeva mārutaḥ Ragh_8.34d	aDivAsa spRhayA iva mArutaH RaG_8.34d
   adhivividur amātyair āhṛtās tasya yūnaḥ Ragh_18.53c	aDivividuH amAtyEH AhRtAH tasya yUnaH RaG_18.53c
   adhṛṣyaś cābhi gamyaś ca Ragh_1.16c	aDRzyaH ca aBi gamyaH ca RaG_1.16c
   adhomukhair ūrdhvamukhaiś ca pattribhiḥ Ragh_3.57d	aDomuKEH UrDva muKEH ca pattriBiH Rau _3.57d
   adhyaśerata bṛhad (?) bhujāntaraṃ Ragh_19.32c	aDyaSerata bRhat (?) BujAntaram RaG_19.32c
   adhyāruroheva rajaśchalena Ragh_16.28d	aDyArurohA iva rajaH Calena RaG_16.28d
   adhyāsate cīrabhṛto yathāsvaṃ Ragh_13.22c	aDyAsate cIra BRtaH yaTAsvam RaG_13.22c
   adhyāsta kāmagati sāvarajo vimānam Ragh_13.76b	aDyAsta kAma gati sAvarajaH vimAnam RaG_13.76b
   adhyāsya kanyā parivāraśobhi Ragh_6.10b	aDyAsya kanyA parivAra SoBi RaG_6.10b
   adhyāsya cāmbhaḥpṛṣatokṣitāni Ragh_6.51a	aDyAsya ca amBaH pRzata ukzitAni RaG_6.51a
   adhyāsya prayataparigrahadvitīyaḥ Ragh_1.95b	aDyAsya prayata parigraha dvitIyaH RaG_1.95b
   adhvarasyeva dakṣiṇā Ragh_1.31d	aDvarasya iva dakziNAH Rau _1.31d
   adhvasu triṣu visṛṣṭamaithilaḥ Ragh_11.57c	aDvasu trizu visRzwa mETilaH RaG_11.57c
   anakṣaravyañjitadohadena Ragh_14.26d	anakzara vyaQjita dohadena Rau _14.26d
   anantaraṃ bhartur arundhatīṃ ca Ragh_2.71b	anantaram BartuH arunDatIm ca RaG_2.71b
   anantarāśokalatāpravālaṃ Ragh_7.21c	anantara aSoka latA pravAlam RaG_7.21c
   ananyasādhāraṇarājaśabdo Ragh_6.38c	ananya sADAraNa rAja SabdaH RaG_6.38c
   ananyasāmānyakalatravṛttiḥ Ragh_13.9c	ananya sAmAnya kalatra vRttiH RaG_13.9c
   ananyasauhārdarasasya dohadaṃ Ragh_3.2Ac	ananya sOhArda rasasya dohadam RaG_3.2Ac
   ananyahāneḥ tasyāsīt Ragh_15.61c	ananya hAneH tasya AsIt RaG_15.61c
   ananyāśāsanām urvīṃ Ragh_1.30c	ananyASAsanAm urvIm RaG_1.30c
   anapāyipadopalabdhaye Ragh_8.17c	anapAyi pada upalabDaye RaG_8.17c
   anapoṣhasthitis tasthau Ragh_12.31c	anapozha sTitiH tasTO RaG_12.31c
   anabhivyaktasaṃtatiḥ Ragh_10.2*b	anaBivyakta saMtatiH RaG_10.2*b
   anamrāṇāṃ samuddhartus Ragh_4.35a	anamrANAm samudDartuH RaG_4.35a
   anayat prabhuśaktisaṃpadā Ragh_8.19a	anayat praBu Sakti saMpadA RaG_8.19a
   anayad āsanarajjuparigrahe Ragh_9.46c	anayat Asana rajju parigrahe RaG_9.46c
   anayor gamyata ivy asāṃpratam Ragh_8.61d	anayoH gamyate ivi asAMpratam Rau _8.61d
   anarthī prārthanāvahaḥ Ragh_10.18b	anarTI prArTanA AvahaH RaG_10.18b
   analakān alakādhipavikramaḥ Ragh_9.10*d	analakAn alaka aDipa vikramaH Rau _9.10*d
   analakān alakānavamāṃ purīm Ragh_9.14d	analakAn alakAn avamAm purIm Rau _9.14d
   analasānyabhṛtā 'nalasān manaḥ Ragh_9.42*a	analasAnya BRtA analasAn manaH RaG_9.42*a
   analaso 'nalasomasamadyutiḥ Ragh_9.15d	analasaH anala soma sama dyutiH RaG_9.15d
   analāy' āgurucandanadihase Ragh_8.71d	analAya Aguru candana dihase Rau _8.71d
   anavāptam avāptavyaṃ Ragh_10.32a	anavAptam avAptavyam RaG_10.32a
   anaśnuvānena yugopamānam Ragh_18.48a	anaSnuvAnena yuga upamAnam RaG_18.48a
   anākṛṣṭasya viṣayair Ragh_1.23a	anAkRzwasya vizayEH RaG_1.23a
   anāthadīnāḥ prakṛtīr avekṣya Ragh_18.36c	anATa dInAH prakRtIH avekzya RaG_18.36c
   anāśāsyajayo yayau Ragh_4.44d	anASAsya jayaH yayO RaG_4.44d
   anigrahatrāsavinītasattvam Ragh_13.50a	anigraha trAsa vinIta sattvam RaG_13.50a
   anityāḥ śatravo bāhyā Ragh_17.45a	anityAH SatravaH bAhyAH RaG_17.45a
   anindyā nandinī nāma Ragh_1.82c	anindyA nandinI nAma RaG_1.82c
   anirvāṇasya dantinaḥ Ragh_1.71d	anirvANasya dantinaH Rau _1.71d
   anīkinīnāṃ samare 'grayāyī Ragh_18.10a	anIkinInAm samare agra yAyI RaG_18.10a
   anugatam alivṛndair gaṇḍabhittīr vihāya Ragh_12.102b	anugatam ali vRndEH gaNxa BittIH vihAya RaG_12.102b
   anugṛhṇīṣva nivāpadattibhiḥ Ragh_8.86b	anugRhNIzva nivApadattiBiH RaG_8.86b
   anugrahapratyabhinandinīṃ tāṃ Ragh_14.79a	anugraha pratyaBinandinIm tAm RaG_14.79a
   anucitāśruviluptaviśeṣakān Ragh_9.10*b	anucita aSru vilupta viSezakAn RaG_9.10*b
   anudadhyur anudhyeyaṃ Ragh_17.36c	anudaDyuH anuDyeyam RaG_17.36c
   anuditānyasitātapavāraṇaḥ Ragh_9.15b	anuditAni asita Atapa vAraNaH RaG_9.15b
   anudruto vāyur ivābhravṛndaiḥ Ragh_16.25c	anudrutaH vAyuH iva aBra vRndEH RaG_16.25c
   anupāsyasi bāṣpadūṣitaṃ Ragh_8.68c	anupAsyasi bAzpa dUzitam RaG_8.68c
   anupraveśād ādyasya Ragh_10.52c	anupraveSAt Adyasya RaG_10.52c
   anupraveśād iva bālacandramāḥ Ragh_3.22d	anupraveSAt iva bAla candramAH Rau _3.22d
   anubhavan navadolam ṛtūtsavaṃ Ragh_9.46a	anuBavat nava dolam Rtu utsavam RaG_9.46a
   anubhāvaparākramau Ragh_10.39b	anuBAva parAkramO RaG_10.39b
   anubhāvaviśeṣāt tu Ragh_1.37c	anuBAva viSezAt tu RaG_1.37c
   anubhūya vasiṣṭhasaṃbhṛtaiḥ Ragh_8.3a	anuBUya vasizWa saMBRtEH RaG_8.3a
   anuyayau yamapuṇyajaneśvarau Ragh_9.6c	anuyayO yama puNya janeSvarO RaG_9.6c
   anuraṇjayituṃ prajāḥ prabhur Ragh_8.18*a	anuraNjayitum prajAH praBuH RaG_8.18*a
   anuvadati śukas te mañjuvāk pañjarasthaḥ Ragh_5.74d	anuvadati SukaH te maQju vAc paQjara sTaH Rau _5.74d
   anuṣṭhitaṃ śāsanam agrajāya Ragh_14.83d	anuzWitam SAsanam agra jAya RaG_14.83d
   anuṣṭhitānantarajāvivāhaḥ Ragh_7.32b	anuzWita ananta ra jA vivAhaH RaG_7.32b
   anusūyātisṛṣṭena Ragh_12.27a	anusUya atisRzwena RaG_12.27a
   anūnasāraṃ niṣadhān nagendrāt Ragh_18.1c	anUnasAram nizaDAn naga indrAt RaG_18.1c
   anūparājasya guṇair anūnām Ragh_6.37b	anUpa rAjasya guNEH anUnAm RaG_6.37b
   anṛṇatvam upeyivān babhau Ragh_8.30c	anRNa tvam upeyivAn baBO RaG_8.30c
   anṛṇaṃ kaṇṭhavartibhiḥ Ragh_12.54d	anRNam kaNWa vartiBiH Rau _12.54d
   anekaṃ vaśinā vaśī Ragh_17.4d	anekam vaSinA vaSI Rau _17.4d
   anena kathitā rājño Ragh_10.54a	anena kaTitAH rAjQaH RaG_10.54a
   anena ced icchasi gṛhyamāṇaṃ Ragh_6.24a	anena ced icCasi gRhyamANam RaG_6.24a
   anena paryāsayatāsrabindūn Ragh_6.28a	anena paryAsayata asra bindUn RaG_6.28a
   anena pāṇau vidhivad (?) gṛhīte Ragh_6.63a	anena pANO viDivat (?) gRhIte RaG_6.63a
   anena yūnā saha pārthivena Ragh_6.35a	anena yUnA saha pArTivena RaG_6.35a
