   BhP_03.01.001/0 śrī-śuka uvāca	BhP_03.01.001/0 SrI-SukaH uvAca
   BhP_03.01.006/1 yadā tu rājā sva-sutān asādhūn puṣṇan na dharmeṇa	Bhu-_03.01.006/1 yadA tu rAjA sva--sutAn asADUn puzNan na DarmeNa
   vinaṣṭa-dṛṣṭiḥ	vinazwa--dRzwiH
   BhP_03.01.006/2 bhrātur yaviṣṭhasya sutān vibandhūn praveśya lākṣā-bhavane	BhP_03.01.006/2 BrAtuH yavizWasya sutAn vibanDUn praveSya lAkzA--Bavane
   dadāha	dadAha
   BhP_03.01.007/1 yadā sabhāyāṃ kuru-deva-devyāḥ keśābhimarśaṃ suta-karma	Bhu-_03.01.007/1 yadA saBAyAm kuru--deva-devyAH keSa-aBimarSam suta-karma
   garhyam	garhyam
   BhP_03.01.007/2 na vārayām āsa nṛpaḥ snuṣāyāḥ svāsrair harantyāḥ	Bhu-_03.01.007/2 na vArayAm Asa nRpaH snuzAyAH sva-asrEH harantyAH
   kuca-kuṅkumāni	kuca-kuFkumAni
   BhP_03.01.008/1 dyūte tv adharmeṇa jitasya sādhoḥ satyāvalambasya vanaṃ	Bhu-_03.01.008/1 dyUte tu aDarmeNa jitasya sADoH satya-avalambasya vanam
   gatasya	gatasya
   BhP_03.01.008/2 na yācato 'dāt samayena dāyaṃ tamo-juṣāṇo yad ajāta-śatroḥ	Bhu-_03.01.008/2 na yAcataH adAt samayena dAyam tamaH--juzANaH yat ajAta--SatroH
   BhP_03.01.009/1 yadā ca pārtha-prahitaḥ sabhāyāṃ jagad-gurur yāni jagāda	Bhu-_03.01.009/1 yadA ca pArTa--prahitaH saBAyAm jagad-guruH yAni jagAda
   kṛṣṇaḥ	kRzNaH
   BhP_03.01.009/2 na tāni puṃsām amṛtāyanāni rājoru mene kṣata-puṇya-leśaḥ	Bhu-_03.01.009/2 na tAni puMsAm amRtAyanAni rAjA-uru mene kzata--puNya--leSaH
   BhP_03.01.010/1 yadopahūto bhavanaṃ praviṣṭo mantrāya pṛṣṭaḥ kila	Bhu-_03.01.010/1 yadA-upahUtaH Bavanam pravizwaH mantrAya pRzwaH kila
   pūrvajena	pUrvajena
   BhP_03.01.010/2 athāha tan mantra-dṛśāṃ varīyān yan mantriṇo vaidurikaṃ	BhP_03.01.010/2 aTa-Aha tat mantra-dRSAm varIyAn yat mantriNaH vEdurikam
   vadanti	vadanti
   BhP_03.01.011/1 ajāta-śatroḥ pratiyaccha dāyaṃ titikṣato durviṣahaṃ	Bhu-_03.01.011/1 ajAta--SatroH pratiyacCa dAyam titikzataH durvizaham
   tavāgaḥ	tava-AgaH
   BhP_03.01.011/2 sahānujo yatra vṛkodarāhiḥ śvasan ruṣā yat tvam alaṃ	Bhu-_03.01.011/2 sahAnujaH yatra vRkodara-ahiH Svasan ruzA yat tvam alam
   bibheṣi	biBezi
   BhP_03.01.012/1 pārthāṃs tu devo bhagavān mukundo gṛhītavān	Bhu-_03.01.012/1 pArTAn tu devaH BagavAn mukundaH gRhItavAn
   sakṣiti-deva-devaḥ	sa-kziti-deva-devaH
   BhP_03.01.012/2 āste sva-puryāṃ yadu-deva-devo vinirjitāśeṣa-nṛdeva-devaḥ	Bhu-_03.01.012/2 Aste sva-puryAm yadu-deva-devaH vinirjita-aSeza--nRdeva-devaH
   BhP_03.01.013/1 sa eṣa doṣaḥ puruṣa-dviḍ āste gṛhān praviṣṭo yam	Bhu-_03.01.013/1 saH eza dozaH puruza--dviz Aste gRhAn pravizwaH yam
   apatya-matyā	apatya-matyA
   BhP_03.01.013/2 puṣṇāsi kṛṣṇād vimukho gata-śrīs tyajāśv aśaivaṃ	Bhu-_03.01.013/2 puzNAsi kRzNAt vimuKaH gata--SrIH tyaja-ASu aSEvam
   kula-kauśalāya	kula--kOSalAya
   BhP_03.01.014/1 ity ūcivāṃs tatra suyodhanena	Bhu-_03.01.014/1 iti UcivAn tatra suyoDanena
   pravṛddha-kopa-sphuritādhareṇa	pravRdDa-ka-upa--sPurita-aDareNa
   BhP_03.01.014/2 asat-kṛtaḥ sat-spṛhaṇīya-śīlaḥ kṣattā	Bhu-_03.01.014/2 asat-kRtaH sat--spRhaNIya--SIlaH kzattA
   sakarṇānuja-saubalena	sa-karNa-anuja--sObalena
   BhP_03.01.015/1 ka enam atropajuhāva jihmaṃ dāsyāḥ sutaṃ yad-balinaiva	Bhu-_03.01.015/1 kaH enam atra-upajuhAva jihmam dAsyAH sutam yat--balinA-eva
   puṣṭaḥ	puzwaH
   BhP_03.01.015/2 tasmin pratīpaḥ parakṛtya āste nirvāsyatām āśu purāc	Bhu-_03.01.015/2 tasmin pratIpaH parakRtyaH Aste nirvAsyatAm ASu purAc
   chvasānaḥ	CvasAnaH
   BhP_03.01.016/1 svayaṃ dhanur dvāri nidhāya māyāṃ bhrātuḥ puro marmasu	Bhu-_03.01.016/1 svayam DanuH dvAri niDAya mAyAm BrAtuH puras marmasu
   tāḍito 'pi	tAxitaH api
   BhP_03.01.016/2 sa ittham atyulbaṇa-karṇa-bāṇair gata-vyatho 'yād uru	Bhu-_03.01.016/2 saH itTam ati-ulbaNa--karNa--bANEH gata--vyaTaH ayAt uru
   mānayānaḥ	mAnayAnaH
   BhP_03.01.017/1 sa nirgataḥ kaurava-puṇya-labdho gajāhvayāt tīrtha-padaḥ	Bhu-_03.01.017/1 sa nirgataH kOrava--puNya-labDaH gajAhvayAt tIrTa-padaH
   padāni	padAni
   BhP_03.01.017/2 anvākramat puṇya-cikīrṣayorvyām adhiṣṭhito yāni	Bhu-_03.01.017/2 anvAkramat puNya--cikIrzayA-urvyAm aDizWitaH yAni
   sahasra-mūrtiḥ	sahasra-mUrtiH
   BhP_03.01.018/1 pureṣu puṇyopavanādri-kuñjeṣv apaṅka-toyeṣu sarit-saraḥsu	Bhu-_03.01.018/1 purezu puNya-upavana-adri--kuQjezu apaFka-toyezu sarit--saraHsu
   BhP_03.01.018/2 ananta-liṅgaiḥ samalaṅkṛteṣu cacāra tīrthāyataneṣv ananyaḥ	Bhu-_03.01.018/2 ananta--liFgEH samalaFkRtezu cacAra tIrTa-Ayatanezu ananyaH
   BhP_03.01.019/1 gāṃ paryaṭan medhya-vivikta-vṛttiḥ sadāpluto 'dhaḥ śayano	Bhu-_03.01.019/1 gAm paryawan meDya--vivikta-vRttiH sadA-AplutaH aDas SayanaH-
   'vadhūtaḥ	avaDUtaH
   BhP_03.01.019/2 alakṣitaḥ svair avadhūta-veṣo vratāni cere hari-toṣaṇāni	Bhu-_03.01.019/2 alakzitaH svEH avaDUta-vezaH vratAni cere hari-tozaNAni
   BhP_03.01.020/1 itthaṃ vrajan bhāratam eva varṣaṃ kālena yāvad gatavān	Bhu-_03.01.020/1 itTam vrajan BAratam eva varzam kAlena yAvat gatavAn
   prabhāsam	praBAsam
   BhP_03.01.020/2 tāvac chaśāsa kṣitim eka cakrāml ekātapatrām ajitena	Bhu-_03.01.020/2 tAvat SaSAsa kzitim eka cakrAmt eka-AtapatrAm ajitena
   pārthaḥ	pArTaH
   BhP_03.01.021/1 tatrātha śuśrāva suhṛd-vinaṣṭiṃ vanaṃ yathā	Bhu-_03.01.021/1 tatra-aTa SuSrAva suhRd-vinazwim vanam yaTA
   veṇuja-vahni-saṃśrayam	veNu-ja--vahni-saMSrayam
   BhP_03.01.021/2 saṃspardhayā dagdham athānuśocan sarasvatīṃ pratyag iyāya	Bhu-_03.01.021/2 saMsparDayA dagDam aTa-anuSocan sarasvatIm pratyak iyAya
   tūṣṇīm	tUzNIm
   BhP_03.01.022/1 tasyāṃ tritasyośanaso manoś ca pṛthor athāgner asitasya	Bhu-_03.01.022/1 tasyAm tritasya-uSanasaH manoH ca pRToH aTa-agneH asitasya
   vāyoḥ	vAyoH
   BhP_03.01.022/2 tīrthaṃ sudāsasya gavāṃ guhasya yac chrāddhadevasya sa	Bhu-_03.01.022/2 tIrTam sudAsasya gavAm guhasya yat SrAdDadevasya sa
   āsiṣeve	Asizeve
   BhP_03.01.023/1 anyāni ceha dvija-deva-devaiḥ kṛtāni nānāyatanāni viṣṇoḥ	Bhu-_03.01.023/1 anyAni ca-iha dvija--deva--devEH kRtAni nAnA-AyatanAni vizNoH
   BhP_03.01.023/2 pratyaṅga-mukhyāṅkita-mandirāṇi yad-darśanāt kṛṣṇam	BhP_03.01.023/2 pratyaFga--muKya-aFkita--mandirANi yat--darSanAt kRzNam
   anusmaranti	anusmaranti
   BhP_03.01.024/1 tatas tv ativrajya surāṣṭram ṛddhaṃ sauvīra-matsyān	Bhu-_03.01.024/1 tatas tu ativrajya surAzwram RdDam sOvIra--matsyAn
   kurujāṅgalāṃś ca	kurujAFgalAn ca
   BhP_03.01.024/2 kālena tāvad yamunām upetya tatroddhavaṃ bhāgavataṃ	BhP_03.01.024/2 kAlena tAvat yamunAm upetya tatra-udDavam BAgavatam
   dadarśa	dadarSa
   BhP_03.01.025/1 sa vāsudevānucaraṃ praśāntaṃ bṛhaspateḥ prāk tanayaṃ	Bhu-_03.01.025/1 sa vAsudeva-anucaram praSAntam bRhaspateH prAk tanayam
   pratītam	pratItam
   BhP_03.01.025/2 āliṅgya gāḍhaṃ praṇayena bhadraṃ svānām apṛcchad	Bhu-_03.01.025/2 AliFgya gAXam praNayena Badram svAnAm apRcCat-
   bhagavat-prajānām	Bagavat--prajAnAm
   BhP_03.01.026/1 kaccit purāṇau puruṣau svanābhya- pādmānuvṛttyeha	Bhu-_03.01.026/1 kaccit purANO puruzO svanABya pAdma-anuvRttyA-iha
   kilāvatīrṇau	kila-avatIrNO
   BhP_03.01.026/2 āsāta urvyāḥ kuśalaṃ vidhāya kṛta-kṣaṇau kuśalaṃ śūra-gehe	Bhu-_03.01.026/2 AsAtaH urvyAH kuSalam viDAya kRta--kzaNO kuSalam SUra-gehe
   BhP_03.01.027/1 kaccit kurūṇāṃ paramaḥ suhṛn no bhāmaḥ sa āste sukham aṅga	Bhu-_03.01.027/1 kaccit kurUNAm paramaH suhRd naH BAmaH saH Aste suKam aFga
   śauriḥ	SOriH
   BhP_03.01.027/2 yo vai svas-ṇāṃ pitṛvad dadāti varān vadānyo	Bhu-_03.01.027/2 yaH vE svas-NAm pitR-vat dadAti varAn vadAnyaH-
   vara-tarpaṇena	vara-tarpaNena
   BhP_03.01.028/1 kaccid varūthādhipatir yadūnāṃ pradyumna āste sukham aṅga	Bhu-_03.01.028/1 kaccit varUTa-aDipatiH yadUnAm pradyumnaH Aste suKam aFga
   vīraḥ	vIraH
   BhP_03.01.028/2 yaṃ rukmiṇī bhagavato 'bhilebhe ārādhya viprān smaram	Bhu-_03.01.028/2 yam rukmiNI BagavataH aBileBe ArADya viprAn smaram
   ādi-sarge	Adi-sarge
   BhP_03.01.029/1 kaccit sukhaṃ sātvata-vṛṣṇi-bhoja- dāśārhakāṇām adhipaḥ sa	Bhu-_03.01.029/1 kaccit suKam sAtvata--vRzNi--Boja dASArhakANAm aDipaH sa
   āste	Aste
   BhP_03.01.029/2 yam abhyaṣiñcac chata-patra-netro nṛpāsanāśāṃ parihṛtya	Bhu-_03.01.029/2 yam aByaziQcat Sata-patra--netraH nRpAsana-ASAm parihRtya
   dūrāt	dUrAt-
   BhP_03.01.030/1 kaccid dhareḥ saumya sutaḥ sadṛkṣa āste 'graṇī rathināṃ	Bhu-_03.01.030/1 kaccit DareH sOmya sutaH sadRkzaH Aste agraNI raTinAm
   sādhu sāmbaḥ	sADu sAmbaH
   BhP_03.01.030/2 asūta yaṃ jāmbavatī vratāḍhyā devaṃ guhaṃ yo 'mbikayā	Bhu-_03.01.030/2 asUta yam jAmbavatI vrata-AXyA devam guham yaH ambikayA
   dhṛto 'gre	DRtaH agre
   BhP_03.01.031/1 kṣemaṃ sa kaccid yuyudhāna āste yaḥ phālgunāl	Bhu-_03.01.031/1 kzemam sa kaccit yuyuDAnaH Aste yaH PAlgu-nAl
   labdha-dhanū-rahasyaḥ	labDa-DanU--rahasyaH
   BhP_03.01.031/2 lebhe 'ñjasādhokṣaja-sevayaiva gatiṃ tadīyāṃ yatibhir	Bhu-_03.01.031/2 leBe aQjasA-aDokzaja--sevayA-eva gatim tadIyAm yatiBiH-
   durāpām	durApAm
   BhP_03.01.032/1 kaccid budhaḥ svasty anamīva āste śvaphalka-putro	Bhu-_03.01.032/1 kaccit buDaH svasti anamIvaH Aste SvaPalka-putraH-
   bhagavat-prapannaḥ	Bagavat--prapannaH
   BhP_03.01.032/2 yaḥ kṛṣṇa-pādāṅkita-mārga-pāṃsuṣv aceṣṭata	Bhu-_03.01.032/2 yaH kRzNa--pAda-aFkita--mArga--pAMsuzu acezwata
   prema-vibhinna-dhairyaḥ	prema--viBinna--DEryaH
   BhP_03.01.033/1 kaccic chivaṃ devaka-bhoja-putryā viṣṇu-prajāyā iva	Bhu-_03.01.033/1 kaccit Sivam deva-ka-Boja-putryAH vizNu--prajAyAH iva
   deva-mātuḥ	deva-mAtuH
   BhP_03.01.033/2 yā vai sva-garbheṇa dadhāra devaṃ trayī yathā	Bhu-_03.01.033/2 yA vE sva---garBeNa daDAra devam trayI yaTA
   yajña-vitānam artham	yajQa-vitAnam arTam
   BhP_03.01.034/1 apisvid āste bhagavān sukhaṃ vo yaḥ sātvatāṃ kāma-dugho	Bhu-_03.01.034/1 api-svid Aste BagavAn suKam vaH yaH sAtvatAm kAma--duGaH-
   'niruddhaḥ	anirudDaH
   BhP_03.01.034/2 yam āmananti sma hi śabda-yoniṃ mano-mayaṃ	Bhu-_03.01.034/2 yam Amananti sma hi Sabda-yonim mano--mayam
   sattva-turīya-tattvam	sattva-turIya--tattvam
   BhP_03.01.035/1 apisvid anye ca nijātma-daivam ananya-vṛttyā samanuvratā	Bhu-_03.01.035/1 api-svid anye ca nija-Atma-dEvam ananya-vRttyA samanuvratA
   ye	ye
   BhP_03.01.035/2 hṛdīka-satyātmaja-cārudeṣṇa- gadādayaḥ svasti caranti	Bhu-_03.01.035/2 hRdIka-satya-Atmaja-cArudezNa gadA-AdayaH svasti caranti
   saumya	sOmya
   BhP_03.01.036/1 api sva-dorbhyāṃ vijayācyutābhyāṃ dharmeṇa dharmaḥ	Bhu-_03.01.036/1 api sva-dorByAm vijaya-acyutAByAm DarmeNa DarmaH
   paripāti setum	paripAti setum
   BhP_03.01.036/2 duryodhano 'tapyata yat-sabhāyāṃ sāmrājya-lakṣmyā	Bhu-_03.01.036/2 duryoDanaH atapyata yat--saBAyAm sAmrAjya--lakzmyA
   vijayānuvṛttyā	vijaya-anuvRttyA
   BhP_03.01.037/1 kiṃ vā kṛtāgheṣv agham atyamarṣī bhīmo 'hivad dīrghatamaṃ	Bhu-_03.01.037/1 kim vA kRta-aGezu aGam ati-amarzI BImaH ahi-vat dIrGatamam
   vyamuñcat	vyamuQcat-
   BhP_03.01.037/2 yasyāṅghri-pātaṃ raṇa-bhūr na sehe mārgaṃ gadāyāś carato	Bhu-_03.01.037/2 yasya-aFGri-pAtam raNa--BUH na sehe mArgam gadAyAH carataH-
   vicitram	vicitram
   BhP_03.01.038/1 kaccid yaśodhā ratha-yūthapānāṃ gāṇḍīva-dhanvoparatārir	Bhu-_03.01.038/1 kaccit yaSoDA raTa--yUTapAnAm gANxIva--Danva-uparatAriH-
   āste	Aste
   BhP_03.01.038/2 alakṣito yac-chara-kūṭa-gūḍho māyā-kirāto giriśas tutoṣa	Bhu-_03.01.038/2 alakzitaH yac-Sara-kUwa-gUXaH mAyA-kirAtaH giriSaH tutoza
   BhP_03.01.039/1 yamāv utasvit tanayau pṛthāyāḥ pārthair vṛtau pakṣmabhir	Bhu-_03.01.039/1 yamO uta-svid tanayO pRTAyAH pArTEH vRtO pakzmaBiH-
   akṣiṇīva	akziNI-iva
   BhP_03.01.039/2 remāta uddāya mṛdhe sva-rikthaṃ parāt suparṇāv iva	Bhu-_03.01.039/2 remAtaH uddAya mRDe sva-rikTam parAt suparNO iva
   vajri-vaktrāt	vajri-vaktrAt-
   BhP_03.01.040/1 aho pṛthāpi dhriyate 'rbhakārthe rājarṣi-varyeṇa vināpi	Bhu-_03.01.040/1 aho pRTA-api Driyate arBaka-arTe rAjarzi--varyeNa vinA-api
   tena	tena
   BhP_03.01.040/2 yas tv eka-vīro 'dhiratho vijigye dhanur dvitīyaḥ kakubhaś	Bhu-_03.01.040/2 yaH tu eka-vIraH aDiraTaH vijigye DanuH dvitIyaH kakuBaH-
   catasraḥ	catasraH
   BhP_03.01.041/1 saumyānuśoce tam adhaḥ-patantaṃ bhrātre paretāya vidudruhe	Bhu-_03.01.041/1 sOmya-anuSoce tam aDas--patantam BrAtre paretAya vidudruhe
   yaḥ	yaH
   BhP_03.01.041/2 niryāpito yena suhṛt sva-puryā ahaṃ sva-putrān	Bhu-_03.01.041/2 niryApitaH yena suhRd sva-puryAH aham sva-putrAn
   samanuvratena	samanuvratena
   BhP_03.01.042/1 so 'haṃ harer martya-viḍambanena dṛśo nṛṇāṃ cālayato	Bhu-_03.01.042/1 saH aham hareH martya--vixambanena dRSaH nRNAm cAlayataH-
   vidhātuḥ	viDAtuH
   BhP_03.01.042/2 nānyopalakṣyaḥ padavīṃ prasādāc carāmi paśyan gata-vismayo	Bhu-_03.01.042/2 na-anya-upalakzyaH padavIm prasAdAt carAmi paSyan gata--vismayaH-
   'tra	atra
   BhP_03.01.043/1 nūnaṃ nṛpāṇāṃ tri-madotpathānāṃ mahīṃ muhuś cālayatāṃ	Bhu-_03.01.043/1 nUnam nRpANAm tri-mada-utpaTAnAm mahIm muhur cAlayatAm
   camūbhiḥ	camUBiH
   BhP_03.01.043/2 vadhāt prapannārti-jihīrṣayeśo 'py upaikṣatāghaṃ bhagavān	Bhu-_03.01.043/2 vaDAt prapanna-Arti--jihIrzayA-ISaH api upEkzata-aGam BagavAn
   kurūṇām	kurUNAm
   BhP_03.01.044/1 ajasya janmotpatha-nāśanāya karmāṇy akartur grahaṇāya	Bhu-_03.01.044/1 ajasya janma-utpaTa--nASanAya karmANi akartuH grahaNAya
   puṃsām	puMsAm
   BhP_03.01.044/2 nanv anyathā ko 'rhati deha-yogaṃ paro guṇānām uta	Bhu-_03.01.044/2 nanu anyaTA kaH arhati deha--yogam paraH guNAnAm uta
   karma-tantram	karma-tantram
   BhP_03.01.045/1 tasya prapannākhila-lokapānām avasthitānām anuśāsane sve	Bhu-_03.01.045/1 tasya prapanna-aKila--lokapAnAm avasTitAnAm anuSAsane sve
   BhP_03.01.045/2 arthāya jātasya yaduṣv ajasya vārtāṃ sakhe kīrtaya	Bhu-_03.01.045/2 arTAya jAtasya yaduzu ajasya vArtAm saKe kIrtaya
   tīrtha-kīrteḥ	tIrTa-kIrteH
   BhP_03.02.001/0 śrī-śuka uvāca	BhP_03.02.001/0 SrI-SukaH uvAca
   BhP_03.02.001/1 iti bhāgavataḥ pṛṣṭaḥ kṣattrā vārtāṃ priyāśrayām	BhP_03.02.001/1 iti BAgavataH pRzwaH kzattrA vArtAm priya-ASrayAm
   BhP_03.02.001/2 prativaktuṃ na cotseha autkaṇṭhyāt smāriteśvaraḥ	Bhu-_03.02.001/2 prativaktum na ca-utseha OtkaNWyAt smArita-ISvaraH
   BhP_03.02.002/1 yaḥ pañca-hāyano mātrā prātar-āśāya yācitaḥ	Bhu-_03.02.002/1 yaH paQca-hAyanaH mAtrA prAtar--ASAya yAcitaH
   BhP_03.02.002/2 tan naicchad racayan yasya saparyāṃ bāla-līlayā	Bhu-_03.02.002/2 tat na-EcCat racayan yasya saparyAm bAla--lIlayA
   BhP_03.02.003/1 sa kathaṃ sevayā tasya kālena jarasaṃ gataḥ	Bhu-_03.02.003/1 sa kaTam sevayA tasya kAlena jarasam gataH
   BhP_03.02.003/2 pṛṣṭo vārtāṃ pratibrūyād bhartuḥ pādāv anusmaran	Bhu-_03.02.003/2 pRzwaH vArtAm pratibrUyAt BartuH pAdO anusmaran
   BhP_03.02.004/1 sa muhūrtam abhūt tūṣṇīṃ kṛṣṇāṅghri-sudhayā bhṛśam	Bhu-_03.02.004/1 sa muhUrtam aBUt tUzNIm kRzNa-aFGri--suDayA BRSam
   BhP_03.02.004/2 tīvreṇa bhakti-yogena nimagnaḥ sādhu nirvṛtaḥ	Bhu-_03.02.004/2 tIvreNa Bakti-yogena nimagnaH sADu nirvRtaH
   BhP_03.02.005/1 pulakodbhinna-sarvāṅgo muñcan mīlad-dṛśā śucaḥ	Bhu-_03.02.005/1 pulaka-udBinna--sarva-aFgaH muQcan mIlat--dRSA SucaH
   BhP_03.02.005/2 pūrṇārtho lakṣitas tena sneha-prasara-samplutaḥ	Bhu-_03.02.005/2 pUrNa-arTaH lakzitaH tena sneha--prasara--samplutaH
   BhP_03.02.006/1 śanakair bhagaval-lokān nṛlokaṃ punar āgataḥ	Bhu-_03.02.006/1 SanakEs Bagaval--lokAn nR-lokam punar AgataH
   BhP_03.02.006/2 vimṛjya netre viduraṃ prītyāhoddhava utsmayan	Bhu-_03.02.006/2 vimRjya netre viduram prItyA-aha-udDavaH utsmayan
   BhP_03.02.007/0 uddhava uvāca	Bhu-_03.02.007/0 udDavaH uvAca
   BhP_03.02.007/1 kṛṣṇa-dyumaṇi nimloce gīrṇeṣv ajagareṇa ha	Bhu-_03.02.007/1 kRzNa-dyumaNi nimloce gIrNezu ajagareNa ha
   BhP_03.02.007/2 kiṃ nu naḥ kuśalaṃ brūyāṃ gata-śrīṣu gṛheṣv aham	Bhu-_03.02.007/2 kim nu naH kuSalam brUyAm gata--SrIzu gRhezu aham
   BhP_03.02.008/1 durbhago bata loko 'yaṃ yadavo nitarām api	Bhu-_03.02.008/1 durBagaH bata lokaH ayam yadavaH nitarAm api
   BhP_03.02.008/2 ye saṃvasanto na vidur hariṃ mīnā ivoḍupam	Bhu-_03.02.008/2 ye saMvasantaH na viduH harim mInAH iva-uxupam
   BhP_03.02.009/1 iṅgita-jñāḥ puru-prauḍhā ekārāmāś ca sātvatāḥ	Bhu-_03.02.009/1 iFgita-jQAH puru-prOXAH eka-ArAmAH ca sAtvatAH
   BhP_03.02.009/2 sātvatām ṛṣabhaṃ sarve bhūtāvāsam amaṃsata	Bhu-_03.02.009/2 sAtvatAm RzaBam sarve BUtAvAsam amaMsata
   BhP_03.02.010/1 devasya māyayā spṛṣṭā ye cānyad asad-āśritāḥ	Bhu-_03.02.010/1 devasya mAyayA spRzwAH ye ca-anyat asat--ASritAH
   BhP_03.02.010/2 bhrāmyate dhīr na tad-vākyair ātmany uptātmano harau	Bhu-_03.02.010/2 BrAmyate DIH na tad--vAkyEH Atmani upta-AtmanaH harO
   BhP_03.02.011/1 pradarśyātapta-tapasām avitṛpta-dṛśāṃ nṛṇām	Bhu-_03.02.011/1 pradarSya-Atapta--tapasAm avitRpta-dRSAm nRNAm
   BhP_03.02.011/2 ādāyāntar adhād yas tu sva-bimbaṃ loka-locanam	Bhu-_03.02.011/2 AdAya-antar aDAt yaH tu sva--bimbam loka-locanam
   BhP_03.02.012/1 yan martya-līlaupayikaṃ sva-yoga- māyā-balaṃ darśayatā	BhP_03.02.012/1 yat martya--lIlA-Opayikam sva---yoga mAyA-balam darSayatA
   gṛhītam	gRhItam
   BhP_03.02.012/2 vismāpanaṃ svasya ca saubhagarddheḥ paraṃ padaṃ	Bhu-_03.02.012/2 vismApanam svasya ca sOBaga-RdDeH param padam
   bhūṣaṇa-bhūṣaṇāṅgam	BUzaNa--BUzaNa-aFgam
   BhP_03.02.013/1 yad dharma-sūnor bata rājasūye nirīkṣya dṛk-svastyayanaṃ	Bhu-_03.02.013/1 yat Darma-sUnoH bata rAjasUye nirIkzya dRk-svastyayanam
   tri-lokaḥ	tri-lokaH
   BhP_03.02.013/2 kārtsnyena cādyeha gataṃ vidhātur arvāk-sṛtau kauśalam ity	Bhu-_03.02.013/2 kArtsnyena ca-adya-iha gatam viDAtuH arvAk-sRtO kOSalam iti-
   amanyata	amanyata
   BhP_03.02.014/1 yasyānurāga-pluta-hāsa-rāsa- līlāvaloka-pratilabdha-mānāḥ	Bhu-_03.02.014/1 yasya-anurAga--pluta--hAsa--rAsa lIlA-avaloka--pratilabDa--mAnAH
   BhP_03.02.014/2 vraja-striyo dṛgbhir anupravṛtta- dhiyo 'vatasthuḥ kila	Bhu-_03.02.014/2 vraja--striyaH dRgBiH anupravRtta DiyaH avatasTuH kila
   kṛtya-śeṣāḥ	kRtya--SezAH
   BhP_03.02.015/1 sva-śānta-rūpeṣv itaraiḥ sva-rūpair abhyardyamāneṣv	Bhu-_03.02.015/1 sva-SAnta--rUpezu itarEH sva--rUpEH aByardyamAnezu-
   anukampitātmā	anukampita-AtmA
   BhP_03.02.015/2 parāvareśo mahad-aṃśa-yukto hy ajo 'pi jāto bhagavān	Bhu-_03.02.015/2 parAvara-ISaH mahat--aMSa--yuktaH hi ajaH api jAtaH BagavAn
   yathāgniḥ	yaTA-agniH
   BhP_03.02.016/1 māṃ khedayaty etad ajasya janma- viḍambanaṃ yad	Bhu-_03.02.016/1 mAm Kedayati etat ajasya janma vixambanam yat-
   vasudeva-gehe	vasudeva--gehe
   BhP_03.02.016/2 vraje ca vāso 'ri-bhayād iva svayaṃ purād vyavātsīd	Bhu-_03.02.016/2 vraje ca vAsaH ari-BayAt iva svayam purAt vyavAtsIt-
   yad-ananta-vīryaḥ	yat--ananta--vIryaH
   BhP_03.02.017/1 dunoti cetaḥ smarato mamaitad yad āha pādāv abhivandya	Bhu-_03.02.017/1 dunoti cetaH smarataH mama-etat yat Aha pAdO aBivandya
   pitroḥ	pitroH
