   saptama ucchvāsaḥ	saptamaH ucCvAsaH
   prathamaviliptāyudho nijayaśodhavalenācaraṇataścandanena śarīraṃ,	praTama-vilipta-AyuDaH nija-yaSaH-Davalena-AcaraNataH-candanena SarIraM,
   paridhāya rājahaṃsamithunalakṣmaṇī sadṛśe dukūle, parameśvaracihnabhūtāṃ	pariDAya rAjahaMsa-miTuna-lakzmaNI sadRSe dukUle, parameSvara-cihna-BUtAm
   śaśikalāmiva kalpayitvā sitakusumamuṇḍamālikāṃ śirasi, nītvā	SaSi-kalAm-iva kalpayitvA sita-kusuma-muNxa-mAlikAm Sirasi, nItvA
   karṇābharaṇamarakatamayūkhamiva karṇagocaratāṃ gorocanācchuritamabhinavaṃ	karNa-ABaraNa-marakatama-yUKam-iva karNa-gocara-tAm gorocanA-AcCuritam-aBinavam
   dūrvāpallavaṃ, vinyasya saha śāsanavalayena gamanamahgalapratisaraṃ	dUrvA-pallavan, vinyasya saha SAsana-valayena gamana-mahgala-pratisaram
   prakoṣṭhe,	prakozWe,
   paripūjitaprahṛṣṭapurohitakaraprakīryamāṇaśāntisalilasīkaranikarābhyukṣitaśirāḥ	paripUjita-prahRzwa-purohita-kara-prakIryamANa-SAnti-salila-sIkara-nikara-aByukzita-SirAH
   saṃpreṣya mahārhāṇi vāhanāni bahalaratnālokaliptakakubhi ca bhūṣaṇāni	saMprezya mahArhANi vAhanAni bahala-ratna-Aloka-liptaka-kuBi ca BUzaNAni
   bhūbhujāṃ savibhajya, kliṣṭakārpaṭikakulaputralokamocitaiḥ prasādadānaiśca	BUBujAm sa-viBajya, klizwa-kArpawika-kula-putra-lokam-ocitEH prasAda-dAnEH-ca
   vimucya bandhanāni sakalāni, niyujya tatkālasmaraṇasphuraṇena	vimucya banDanAni sakalAni, niyujya tad-kAla-smaraNa-sPuraNena
   kathitātmānamiva cāṣṭādaśadvīpajetavyādhikāre dakṣiṇaṃ	kaTita-AtmAnam-iva ca-azwAdaSa-dvIpa-jetavya-aDikAre dakziNam
   bhujastambhamahamahamikayā sevakairiva sanimittairapi samagrairagrato	Buja-stamBam-aham-ahamikayA sevakEH-iva sa-nimittEH-api samagrEH-agratas-
   bhavadbhiḥ pramuditaprajājanyamānajayaśabdakolāhalo hiraṇyagarbha iva	BavadBiH pramudita-prajA-janyamAna-jaya-Sabda-kolAhalaH hiraNyagarBaH iva
   brahnāṇḍātkṛtayugakaraṇāya bhavanānnirjagāma /	brahna-aNxAt-kRta-yuga-karaNAya BavanAt-nirjagAma /
   nātidūre ca nagarādupasarasvati nirmite mahati tṛṇamaye,	na-ati-dUre ca nagarAt-upasarasvati nirmite mahati tRNa-maye,
   samuttambhitatuṅgatoraṇe, vedīvinihitapallavalalāmahemakalaśe,	samuttamBita-tuFga-toraNe, vedI-vinihita-pallava-lalAma-hema-kalaSe,
   baddhavanamālādāmni, dhavaladhvajasālini, bhramacchuklavāsasi,	badDa-vanamAlA-dAmni, DavalaDvaja-sAlini, Bramat-Sukla-vAsasi,
   paṭhaddvijanmani mandire prasthānamakarot /	paWat-dvijanmani mandire prasTAnam-akarot /
   tatrasthasya cāsya grāmākṣapaṭalikaḥ sakalakaraṇiparikaraḥ "karotu devo	tatrasTasya ca-asya grAma-akza-pawalikaH sakala-karaNi-parikaraH "karotu devaH-
   divasagrahaṇamadyaivāvandhyaśāsanaḥ śāsanānām' ityabhidhāya	divasa-grahaNam-adya-eva-avanDya-SAsanaH SAsanAnAm-a iti-aBiDAya
   vṛṣāṅkāmabhinavaghaṭitāṃ hāṭakamayīṃ mudrāṃ samupaninye /	vRzAFkAm-aBinava-GawitAm hAwaka-mayIm mudrAm samupaninye /
   jagrāha ca tāṃ rājā /	jagrAha ca tAm rAjA /
   samupasthāpite ca prathamata eva mṛtpiṇḍe paribhraśya karakamalādadhomukhī	samupasTApite ca praTamatas eva mRd-piNxe pariBraSya kara-kamalAt-aDomuKI
   mahītale papāta mudrā /	mahI-tale papAta mudrA /
   mandāśyānapaṅkapaṭale mṛdumṛdi sarasvatītīre parisphuṭaṃ vyarājanta rājayo	mandASyAna-paFka-pawale mRdu-mRdi sarasvatI-tIre parisPuwam vyarAjanta rAjayo
   varṇānām /	varNAnAm /
   amaṅgalāśaṅkini ca viṣīdati parijane	amaFgalA-SaFkini ca vizIdati parijane
   narapatirakaronmanasyetat--"atattvadarśinyo hi bhavantyavidagdhānāṃ dhiyaḥ	narapatiH-akarot-manasi-etat---"a-tattva-darSinyaH hi Bavanti-avidagDAnAm DiyaH
   tathā hi--ekaśāsanamudrāṅkā bhūrbhavato bhaviṣyatīti niveditamapi	taTA hi--eka-SAsana-mudrA-aFkA BUH-BavataH Bavizyati-iti niveditam-api
   nimittenānyathā gṛhṇanti grāmyāḥ' /	nimittena-anyaTA gRhNanti grAmyAH-a /
   ityabhinandya manasā mahānimittaṃ tatsīrasahasrasaṃmitasīmnāṃ grāmāṇāṃ	iti-aBinandya manasA mahA-nimittam tad-sIra-sahasra-saMmita-sImnAm grAmANAm
   śatamadād dvijebhyaḥ /	SatamadAt dvijeByaH /
   nināya ca tatra taṃ divasam /	ninAya ca tatra tam divasam /
   pratipannāyāṃ sarvaryāṃ saṃmānitasarvarājalokaḥ suṣvāpa /	pratipannAyAm sarvaryAm saMmAnita-sarva-rAja-lokaH suzvApa /
   atha galati tṛtīye yāme suptasamastasanattvaniḥśabde	aTa galati tRtIye yAme supta-samasta-sanattva-niHSabde
   dikkuñjarajṛmbhamāṇagambhīradhvaniratāḍhyata prayāṇapaṭahaḥ /	diS-kuQjara-jRmBamANa-gamBIra-Dvani-ratAXyata prayANa-pawahaH /
   agrataḥ sthitvā ca muhūrtamiva punaḥ prayāṇakrośasaṃkhyāpakāḥ	agratas sTitvA ca muhUrtam-iva punar prayANa-kroSa-saMKyApakAH
   spaṣṭamaṣṭāvadīyanta prahārāḥ paṭahe paṭīyāṃsaḥ /	spazwam-azwAvadIyanta prahArAH pawahe pawIyAMsaH /
   atha galati tṛtīye yāme suptasamastasattvaniḥśabde	aTa galati tRtIye yAme supta-samasta-sattva-niHSabde
   dikkuñjarajṛmbhamāṇagambhīradhvaniratāḍyata prayāṇapaṭahaḥ agrataḥ sthitvā	diS-kuQjara-jRmBamANa-gamBIra-DvaniH-atAxyata prayANa-pawahaH agratas sTitvA
   ca muhūrtamiva punaḥ prayāṇakrīśasaṃkhyāpakāḥ spaṣṭamaṣṭāvadīyanta	ca muhUrtam-iva punar prayANa-krISa-saMKyApakAH spazwam-azwAvadIyanta
   prahārāḥ paṭahe paṭīyāṃsaḥ /	prahArAH pawahe pawIyAMsaH /
   tato raṭatpaṭahe, nandannāndīke, guñjadguñje, kūjatkāhale,	tatas rawat-pawahe, nandannAndIke, guQjat-guQje, kUjat-kAhale,
   śabdāyamānaśaṅkhe, kramopacīyamānakaṭakakalakale,	SabdAyamAna-SaFKe, krama-upacIyamAna-kawaka-kalakale,
   parijanotthāpanavyāpṛtavyavahāriṇi,	parijana-utTApana-vyApRta-vyavahAriNi,
   drutadrughaṇaghātaghaṭyamānakoṇikākīlakolāhalakalitakakubhi,	druta-dru-GaNa-GAta-GawyamAna-koNikA-kIla-kolAhala-kalita-kakuBi,
   balādhikṛtabadhyamānapāṭīpatipeṭake,	bala-aDikRta-baDyamAna-pAwI-pati-pewake,
   janajvalitolkāsahasrālokalupyamānatriyāmātamasi,	janajvalita-ulkA-sahasra-Alokalupya-mAna-triyAmAtamasi,
   yāmaceṭīcaraṇacalanotthāpyamānakāmimithune,	yAma-cewI-caraNa-calana-utTApyamAna-kAmi-miTune,
   kaṭukakaṭukanirdeśanaśyannidronmiṣanniṣādini,	kawuka-kawuka-nirdeSa-naSyat-nidrA-unmizat-nizAdini,
   prabuddhahāstikaśūnyīkriyamāṇaśayyāgṛhe, suptotthitāśvīyavidhūyamānasaṭeṣa	prabudDa-hAstika-SUnyI-kriyamANa-SayyA-gRhe, supta-utTita-ASvIya-viDUyamAna-saweza
   raṭatkaṭakamukharakhanitrakhanyamānakṣoṇīpāśe,	rawat-kawaka-muKara-Kanitra-KanyamAna-kzoNI-pASe,
   samutkīlyamānakīlaśiñjānāhiñjīre,	samutkIlyamAna-kIla-SiQjA-na-ahiQjIre,
   upanīyamānanigaḍatālakalaravottālaturaṅgataraṅgyamāṇakhurapuṭe,	upanIyamAna-nigaxa-tAla-kalarava-uttAla-turaFga-taraFgyamANa-Kura-puwe,
   leśikamucyamānamadasyandidantisaṃdānaśṛṅkhalākhanakhananinādanirbharabharitadaśadiśi,	leSikam-ucyamAna-mada-syandi-danti-saMdAna-SRFKala-AKana-Kana-ninAda-nirBara-Barita-daSa-diSi,
   bhāsapūlakaprahārapramṛṣṭapāṃsulakaripṛṣṭhatrasāryamāṇaprasphoṭitapramṛṣṭacarmaṇi,	BAsa-pUlaka-prahAra-pramRzwa-pAMsula-kari-pRzWatra-sAryamANa-prasPowita-pramRzwa-carmaNi,
   gṛhacintakaceṭakasaṃveṣṭyamānapaṭapuṭīkāṇḍapaṭamaṇḍapaparivastrāvitānake,	gRha-cintaka-cewaka-saMvezwya-mAna-pawa-puwI-kANxa-pawa-maNxapa-parivastrOvitAnake,
   kīlakalāpāpūryamāṇacipiṭacarmapuṭe, saṃbhāṇḍāyamānabhāṇḍāgāriṇi,	kIla-kalApa-ApUryamANa-cipiwa-carma-puwe, saMBANxAyamAna-BANxa-agAriNi,
   bhāṇḍāgāravahanasaṃvāhyamānabahunālīvāhike,	BANxAgAra-vahana-saMvAhyamAna-bahunAlI-vAhike,
   niṣādiniścalānekānekapāropyamāṇakośakalaśapīḍāpīḍasaṃkaṭāyamānasāmantaukasi,	nizAdi-niScala-aneka-aneka-pAropyamANa-koSa-kalaSa-pIxA-pIxa-saMkawAyamAna-sAmantOka-si,
   dūragatadakṣadāserakakṣipraprakṣipyamāṇopakaraṇasaṃbhārabhriyamāṇaduṣṭadantini,	dUra-gata-dakza-dAsera-kakzipra-prakzipyamANa-upakaraNa-saMBAra-BriyamANa-duzwa-dantini,
   tiryagānamajjāghanikarakṛcchrākṛṣṭalambamānaparatantratundilacundījanajanitajanahāse,	tiryagAna-majja-aGani-kara-kRcCra-AkRzwa-lamba-mAna-paratantra-tundila-cundI-jana-janita-jana-hAse,
   pīḍyamānaśāraśārivaratrāguṇagrāhitagātravihārabṛṃhadbahubṛhadunmadakariṇi,	pIxyamAna-SAra-SAri-varatrAguNa-grAhita-gAtra-vihAra-bRMhat-bahu-bRhat-unmada-kariNi,
   karighaṭāghaṭamānaghaṇṭāṭāṅkārakriyamāṇakarṇajvare,	kari-GawA-GawamAna-GaNwA-AwAFkAra-kriyamANa-karNa-jvare,
   pṛṣṭhapratiṣṭhāpyamānakaṇṭhālakakadarthitakūjatkarabhe,	pRzWa-pratizWApyamAna-kaNWa-alaka-kadarTita-kUjat-karaBe,
   abhijātarājaputrapreṣyamāṇa kupyayuktākulakulīnakulaputrakalatravāhane,	aBijAta-rAja-putra-prezyamANa kupya-yukta-Akula-kulI-nakula-putra-kalatra-vAhane,
   gamanavelāvipralabdhavāraṇādhoraṇānviṣyamāṇanavasevake,	gamana-velA-vipralabDa-vAraNa-aDoraNAn-vizyamANa-nava-sevake,
   prasādavittapattinīyamānanarapativallabhavāravājini,	prasAda-vittapattinIya-mAna-nara-pati-vallaBa-vAra-vAjini,
   cārucārabhaṭasanyanyasyamānanāsīramaṇḍalāḍambarasthūlasthāsake,	cAru-cAra-Bawa-sani-anyasya-mAna-na-AsIra-maNxala-Axambara-sTUla-sTAsake,
   sthānapālaparyamāṇalambamānalavaṇakalāyīkiṅkiṇīnālīsanāthasaṃkalitatalasārake,	sTAnapAla-paryamANa-lambamAna-lavaNa-kalAyI-kiFkiNI-nAlI-sanATa-saMkalita-tala-sArake,
   kuṇḍalīkṛtāvarakṣaṇījālajaṭilavallabhapālāśvadhaṭāniveśyamānasākhāmṛge,	kuNxalIkRta-avarakzaNI-jAla-jawila-valla-Ba-pAla-aSva-DawA-niveSya-mAna-sAKAmRge,
   parivardhakākṛṣyamāṇārdhajandhaprābhātikayogyāśanaprārohake,	parivarDaka-AkRzyamANa-arDa-janDa-prABAtika-yogya-aSana-prArohake,
   vyakrośīvijṛmbhamāṇaghāsikaghoṣe,	vyakroSI-vijRmBamANa-GAsika-Goze,
   gamanasaṃbhramabhraṣṭabhramaduttuṇḍataruṇaturaṅgamatanyamānānekamandurāvimarde,	gamana-saMBrama-Brazwa-Bramat-uttuNxa-taruNa-turaFgamatanyamAna-aneka-mandura-avimarde,
   sajjīkṛtakareṇukārohāhvānasatvarasundarīdīyamānamukhālepane,	sajjIkRta-ka-reNukA-roha-AhvAnasatvara-sundarI-dIyamAna-muKa-Alepane,
   calitamātaṅgaturaṅgapradhāvitaprākṛtaprātiveśikalokaluṇṭhyamānanirghāsasasyasaṃcaye,	calita-mAtaFga-turaFga-praDAvita-prAkRta-prAtiveSika-loka-luNWyamAna-nirGAsa-sasya-saMcaye,
   saṃcaraccelacakrākāntacakrīvati,	saMcarat-cela-cakrAkAnta-cakrIvati,
   cakracītkārigantrīgaṇagṛhyamāṇaprahatavartmani,	cakra-cIt-kAri-gantrI-gaNa-gRhyamANa-prahata-vartmani,
   akāṇḍakoḍḍīyamānabhāṇḍabharitānaḍuhi,	akANxaka-uxxIyamAna-BANxa-Barita-anaxuhi,
   nikaṭaghāsalābhalubhyallambamānaprathamaprasāryamāṇasārasaurabheye,	nikawa-GAsa-lABa-luByat-lambamAna-praTama-prasAryamANa-sAra-sOraBeye,
   pramukhapravartyamānamahāsamāmantamahānase, puraḥpradhāvaddhvajavāhini,	pramuKa-pravartyamAna-mahA-samAmanta-mahAnase, puras-praDAvat-Dvaja-vAhini,
   priyaśatopalabhyamānasaṃkaṭakuṭīrakāntarālaniḥsaraṇe,	priya-Sata-upalaByamAna-saMkawa-kuwIraka-antarAla-niHsaraNe,
   karicaraṇadalitamaṭhikotthitalokaloṣṭahanyamānameṇṭhakriyamāṇāsannasākṣiṃṇi,	kari-caraNa-dalita-maWikA-utTita-loka-lozwa-hanyamAna-meNWa-kriyamANa-Asanna-sAkziMNi,
   saṃghaṭṭavighaṭṭamānavyāghrapallīpalāyamānakṣudrakuṭumbake,	saMGawwa-viGawwamAna-vyAGra-pallI-palAyamAna-kzudra-kuwumbake,
   kalakalopadravadravaddraviṇabalīvardavidrāṇavaṇiji,	kalakala-upadravadravat-draviNa-balI-varda-vidrANa-vaNiji,
   puraḥsaradīpikālokaviralāyamānalokotpīḍāprasthitāntaḥpurakariṇīkadambake,	puraHsaradIpikA-loka-viralAyamAna-loka-utpIxA-prasTita-antaHpura-kariNI-kadambake,
   hayārohāhūyamānalambitaśuni,	haya-Aroha-AhUyamAna-lambita-Suni,
   sarabhasacaraṇanipatananiścalagamanasukhāyamānakhakkhaṭastūyamānatuṅgataṅgaṇaguṇe,	sa-raBasa-caraNa-nipatana-niScala-gamana-suKAyamAna-KakKawaH-tUyamAna-tuFga-taFgaNa-guNe,
   srastavesaravisaṃvādisīdaddākṣiṇātyasādini, rojajagdhajagati	srasta-vesara-visaMvAdi-sIdat-dAkziNAtyasAdini, roja-jagDa-jagati
   prayāṇasamaye,	prayANa-samaye,
   pratidiśamāgacchadbhirgajavadhūsamārūḍhairādhoraṇairūrdhvadhriyamāṇahemapatrabhaṅgaśāraśārṅgaiḥ,	pratidiSam-AgacCadBiH-gaja-vaDU-samArUXa-EH-ADoraNEH-UrDva-DriyamANa-hema-patra-BaFga-SAra-SArFgEH,
   antarāsanāsīnāntaraṅgagṛhītāsibhiḥ, tāmbūlikavidhūyamānacāmarapallavaiḥ,	antara-Asana-AsIna-antaraFga-gRhIta-asiBiH, tAmbUlika-viDUyamAna-cAmara-pallavEH,
   paścimāsanikārpitabhastrābharaṇabhindipālapūliṅkaiḥ,	paScima-AsanikA-arpita-BastrA-ABaraNa-BindipAla-pUliFkEH,
   patralatākuṭilakaladhautanalakapallavitaparyāṇaiḥ,	patra-latA-kuwila-kalaDOta-nalaka-pallavita-paryANEH,
   paryāṇapakṣakaparikṣepapaṭṭikābandhaniścalapaṭṭopadhānasthirāvadhānaiḥ,	paryANa-pakzaka-parikzepa-pawwikA-banDa-niScala-pawwa-upaDAna-sTira-avaDAnEH,
   pracalapādaphalikāsphālanasphāyamānapadabandhamaṇiśilāśabdaiḥ,	pracala-pAda-PalikA-sPAla-na-sPAyamAna-pada-banDa-maNi-SilA-SabdEH,
   uccitranetrasukumārasvasthānasthagitajaṅghākāṇḍaiśca	uccitra-netra-sukumAra-sva-sTAna-sTagita-jaFGA-kANxEH-ca
   kārdamikapaṭakalmāṣitapiśaṅgapiṅgaiḥ,	kArdamika-pawa-kalmAzita-pi-SaFga-piFgEH,
   alinīlamasṛṇasatulāsamutpāditasitāsamāyogaparabhāgaiścāvadātadehavaṇarvirājamānarājāvartamecakaiḥ,	ali-nIla-masRNa-sa-tulA-samutpAdita-sitA-samAyoga-para-BAgEH-ca-avadAta-deha-vaNarvi-rAjamAna-rAja-Avarta-mecakEH,
   kañcukaiścāpacitacīnacolakaiśca tāramuktāstabakitastavarakavārabāṇaiśca	kaQcukEH-ca-apacita-cIna-colakEH-ca tAra-muktA-astabaki-tastavaraka-vAra-bANEH-ca
   nānākaṣāyakarburakūpasikaiśya śukapicchacchāyācchādanakaiśca	nAnA-kazAya-karbura-kUpa-sikESya SukapicCa=-CAyA-AcCAdanakEH-ca
   vyāyāmolluptapārśvapraviṣṭacāruśastraśca	vyAyAma-ullupta-pArSva-pravizwa-cAru-SastraH-ca
   gativaśavellitahāralatāgalallolakuṇḍalonmocanapradhāvitaparijanaiḥ,	gati-vaSa-vellita-hAra-latA-galat-lola-kuNxala-unmocana-praDAvita-parijanEH,
   cāmīkarapatrāṅkurakarṇapūrakavighaṭṭamānavācālavālapāśaiścoṣṇīṣapaṭṭāvaṣṭabdhakarṇotpalanālaiśca	cAmIkara-patra-aFkura-karNapUraka-viGawwamAna-vAcA-la-vAla-pASEH-ca-uzNIza-pawwa-avazwabDa-karNa-utpala-nAlEH-ca
   kuṅkumarāgakomalottarīyāntaritottamāhgaiśca	kuFkuma-rAga-komala-uttarIya-antarita-uttama-ahgEH-ca
   cūḍāmaṇikhaṇḍakhacitakṣaumacolaiśya	cUxAmaNi-KaNxa-Kacita-kzOma-cola-ESya
   māyūrātapatrāyamāṇaśekharaṣaṭpadapaṭalaiśca	mAyUra-Atapa-trAyamANa-SeKara-zawpada-pawalEH-ca
   mārgāgataśārikaśārivāhavegadaṇḍaiḥ,	mArga-Agata-SArika-SAri-vAha-vega-daNxEH,
   punaścañcaccāmarakirmīrakārdaraṅgacarmamaṇḍalamaṇḍanoḍḍīyamānacaṭulaḍāmaracārabhaṭabharitabhuvanāntaraiḥ,	punar-caQcat-cAmara-kirmIrakArdaraFga-carma-maNxala-maNxana-uxxIyamAna-cawulaxA-amara-cAra-Bawa-Barita-Buvana-antarEH,
   āskandatkāmbojavājiśataśiñjānajātarūpāyānaravamukharitadiṅmukhaiśca	Askandat-kAmboja-vAji-Sata-SiQjAna-jAtarUpa-AyAna-rava-muKarita-diFmuKEH-ca
   nirdayaprahatalambāpaṭahaśatapaṭuravabadhirīkṛtaśravaṇavivaraiḥ,	nirdaya-prahata-lambA-pawaha-Sata-pawu-H-ava-baDirI-kRta-SravaNa-vivarEH,
   udghoṣyamāṇanāmabhiḥ, unmukhapādātapratipālyamānājñāpātai rājabhirāpupūre	udGozyamANa-nAmaBiH, unmuKa-pAdAta-pratipAlyamAna-AjQApAtEH rAjaBirApu-pUre
   rājadvāram /	rAja-dvAram /
   udite ca bhagavati dinakṛti rājñaḥ samāyogagrahaṇasamayaśaṃsī sasvāna	udite ca Bagavati dina-kRti rAjQaH samAyoga-grahaNa-samaya-SaMsI sa-svAna
   saṃjñāśaṅkho muhurmuhuḥ /	saMjQA-SaFKaH muhur-muhur /
   atha na cirādiva prathamaprayāṇa eva digvijayāya diggajasamāgamamiva	aTa na cirAt-iva praTama-prayANaH eva digvijayAya diggaja-samAgamam-iva
   gamanavilolakarṇatāladolāvilāsaiḥ kurvāṇayā kareṇukayā	gamana-vilola-karNa-tAla-dolA-vilAsEH kurvANayA kareNukayA
   siddhayātrayohyamānaḥ, vaidūryadaṇḍavikaṭenopari	sidDa-yAtrayA-uhyamAnaH, vEdUrya-daNxa-vikawena-upari
   pratyuptapajharāgakhaṇḍamayūkhakhacitatayā sūryodayadarśanakopādiva	pratyupta-paJa-rAga-KaNxa-mayUKa-Kacita-tayA sUrya-udaya-darSana-kopAt-iva
   lohitāyatayā dhriyamāṇena maṅgalātapatreṇa kadalīgarbhābhyadhikamradimnā	lohita-AyatayA DriyamANena maFgala-AtapatreNa kadalI-garBa-aByaDikamra-dimnA
   navanetranirmitena dvitīya iva bhogināmadhipatiraṅgalagnena	nava-netra-nirmitena dvitIyaH iva BoginAm-aDipatiH-aFga-lagnena
   kañcukenāmṛtamathanadivasa iva kṣīrodaphenapaṭaladhavalāmbaravāhī, bāla	kaQcukena-amRta-maTana-divasaH iva kzIra-uda-Pena-pawala-Davala-ambara-vAhI, bAla
   eva pārijātapādapa ivākhaṇḍalabhūmimārūḍhaḥ,	eva pArijAta-pAdapaH iva-AKaNxala-BUmim-ArUXaH,
   vidhūyamānacāmaramarudvidhūtakarṇapūrakusumamañjarīrajasā	viDUyamAna-cAmara-marut-viDUta-karNapUra-kusuma-maQjarI-rajasA
   sakalabhuvanavaśīkaraṇacūrṇenevadiśaśchurayannabhimukhacūḍāmaṇighaṭamānapāṭalapratibimbamudayamānaṃ	sakala-Buvana-vaSIkaraNa-cUrNena-iva-diSaH-Curayan=-aBimuKa-cUxAmaNi-GawamAna-pAwala-pratibimbam-udaya-mAnam
   savitāramapi pibanniva tejasā bahalatāmbūlasindūracchuritayā vilabhamāna	savitAram-api piban=-iva tejasA bahala-tAmbUla-sindUracCuritayA vilaBamAna
   iva dvīpāntarāṇyoṣṭhamudrayānurāgasya sphuranmahāhāramarīcicakravālāni	iva dvIpa-antarANi-ozWa-mudraya-anurAgasya sPurat-mahA-AhAra-marIci-cakravAlAni
   cāmarāṇīva diśo 'pi grāhayan, rājakekṣaṇotkṣiptatribhāgayā trīnapi lokān	cAmarANi-iva diSaH api grAhayan, rAjaka-IkzaNa-utkzipta-tri-BAgayA trIn-api lokAn
   karadānāyājñāpayanniva savibhramaṃ bhrūlatayā drāghīyasā bāhuprākāreṇa	kara-dAnAya-AjQApayan=-iva sa-viBramam BrU-latayA drAGIyasA bAhu-prAkAreNa
   parikṣipanniva rirakṣayā saptāpi sāgaramahākhātānakhilamiva	parikzipan=-iva rirakzayA sapta-api sAgara-mahA-KAtAn-aKilam-iva
   kṣorodamādhuryamādāyodgatayā lakṣmyā samupagūḍhaḥ, gāḍhamamṛtamaya iva	kzoroda-mADuryam-AdAya-udgatayA lakzmyA samupagUXaH, gAXam-amRta-mayaH iva
   pīyamānaḥ kutūhalottānakaṭakalokalocanasahasraaiḥ snehārdreṣu rājñāṃ	pIyamAnaH kutUhala-uttAna-kawaka-loka-locana-sahasraEH sneha-Ardrezu rAjQAm
   hṛdayeṣu guṇagauraveṇa majjanniva, limpannivasaubhāgyadraveṇa	hRdayezu guNa-gOraveNa majjat-=-iva, limpan=-iva-sOBAgya-draveNa
   draṣṭṝṇāmamarapatirivāgrajavadhakalahkaprakṣālanākulaḥ, pṛthuriva	drazwLNAm-amara-patiH-iva-agraja-vaDa-ka-lahka-prakzAlana-AkulaH, pRTuH-iva
   pṛthivīpariśodhanāvadhānasaṃkalitasakalamahībhṛtsamutsāraṇaḥ,	pRTivI-pariSoDana-avaDAna-saMkalita-sakala-mahIBRt-samutsAraNaH,
   puraḥsarairālokakārakaiḥ sahasrasaṃkhyairarka iva	puraHsarEH-Aloka-kArakEH sahasra-saMKyEH-arkaH iva
   kiraṇairadhikāracāturyacañcalacaraṇairvyavasthāsthāpananiṣṭhuraiḥ	kiraNEH-aDikAra-cAturya-caQcala-caraNEH-vyavasTA-sTApana-nizWurEH
   bhayapalāyamānalokotpīḍāntaritā dasāpi diśo grāhayadbhiriva,	Baya-palAyamAna-loka-utpIxA-antaritA dasA-api diSaH grAhayadBiH-iva,
   calitakadalikāsaṃpātapītapracāraṃ pavanamapi vinaye sthāpayadbhiriva,	calita-kadalikA-saMpAta-pIta-pracAram pavanam-api vinaye sTApayadBiH-iva,
   drutacaraṇoddhūtadhūlipaṭalāvadhūtān dinakarakilaṇānapyutsārayadbhiriva,	druta-caraNa-udDUta-DUli-pawala-avaDUtAn dinakara-kilaNAn-api-utsArayadBiH-iva,
   kanakavetralatālokavikṣipyamāṇaṃ dinamapi dūrīkurvadbhiriva,	kanaka-vetra-latA-loka-vikzipyamANam dinam-api dUrIkurvadBiH-iva,
   daṇḍibhiritastataḥ samutsāryamāṇajanasamūho nirjagāma narapatiḥ /	daNxiBiH-itas-tatas samutsAryamANa-jana-samUhaH nirjagAma narapatiH /
   avanamati ca vinayanamitavapuṣi, bhayacakitamanasi,	avanamati ca vinaya-namita-vapuzi, Baya-cakita-manasi,
   calanaśithilamaṇikanakamukuṭakiraṇanikaraparikararuciraśirasi,	calana-SiTila-maNi-kanaka-mukuwa-kiraNa-nikara-parikara-rucira-Sirasi,
   vilulitakusumaśekhararajasi rājacakre, prabhāmucāṃ	vilulita-kusuma-SeKara-rajasi rAja-cakre, praBAmucAm
   cūḍāmaṇīnāmavāñcastiryañca udañcaśca cañcanto marīcayaścāparāśaya iva	cUxAmaNInAm-avAQcaH-tiryaQca udaQcaH-ca caQcantaH marIcayaH-ca-aparASaye iva
