   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   tadanantaraṃ sa ca vyādhaṃ jñānakāraṇaṃ papraccha-"kathaṃ satī jñānavatī,	tad-anantaram sa ca vyADam jQAna-kAraNam papracCa-"kaTam satI jQAnavatI,
   kathaṃ ca tvaṃ jñānavān' /	kaTam ca tvam jQAnavAn-a /
   tena vyādhenoktam-	tena vyADena-uktam-
   nijānvayapraṇītaṃ yaḥ samyagdharmaṃ niṣevate /	nija-anvaya-praNItam yaH samyak-Darmam nizevate /
   uttamādhamamadhyeṣu vikāreṣu parāṅmukhaḥ // Suk_1.3 (=3) //	uttama-aDama-maDyezu vikArezu parAFmuKaH // Suc-_1.3 (=3) //
   sa gṛhī sa muniḥ sādhuḥ sa ca yogī sa dhārmikaḥ /	sa gRhI sa muniH sADuH sa ca yogI sa DArmikaH /
   pitṛśuśrūṣako nityaṃ jantuḥ sādhāraṇaśca yaḥ // Suk_1.4 (=4) //	pitR-SuSrUzakaH nityam jantuH sADAraNaH-ca yaH // Suc-_1.4 (=4) //
   ahaṃ sāpi ca evaṃ jñāninau tvaṃ ca nijapitarau parityajya bhramanmādṛśāṃ	aham sA-api ca evam jQAninO tvam ca nija-pitarO parityajya Braman-mAdRSAm
   na sambhāṣaṇārhaḥ /	na samBAzaNa-arhaH /
   paramatithiṃ matvā jalpitaḥ /	param-atiTim matvA jalpitaH /
   evamuktaḥ sa brāhmaṇo vinayaparaṃ vyādhaṃ papraccha /	evam-uktaH sa brAhmaNaH vinaya-param vyADam papracCa /
   tenoktam-	tena-uktam-
   na pūjayanti ye pūjyānmānyānna mānayanti ye /	na pUjayanti ye pUjyAn-mAnyAn-na mAnayanti ye /
   jīvanti nindyamānāste mṛtāḥ svargaṃ na yānti ca // Suk_1.5 (=5) //	jIvanti nindyamAnAH-te mRtAH svargam na yAnti ca // Suc-_1.5 (=5) //
   vyādhena bodhitastena sa yayau gṛhamātmanaḥ /	vyADena boDitaH-tena sa yayO gRham-AtmanaH /
   abhavatkīrtimāṃlloke parataḥ kīrtibhājanam // Suk_1.6 (=6) //	aBavat-kIrtimAn=-loke paratas kIrti-BAjanam // Suc-_1.6 (=6) //
   tasmādvaṇigdharmaṃ svakulodbhavaṃ smara pitrośca vinayaparo bhava' /	tasmAt-vaNij-Darmam sva-kula-udBavam smara pitroH-ca vinaya-paraH Bava-a /
   evamuktaḥ sa madanaḥ pitarau namaskṛtya tadanujñāto	evam-uktaH sa madanaH pitarO namaskRtya tad-anujQAtaH-
   bhāryāñcāpṛcchyapravahaṇamadhirūḍhaṃvān gato deśāntaram /	BAryAQcA-pRcCya-pravahaNam-aDirUXaMvAn gataH deSa-antaram /
   paścāttatpatnī katiciddināni śokayuktā nirvāhya svairiṇībhiḥ sakhībhiḥ	paScAt-tad-patnI katicid-dinAni Soka-yuktAH nirvAhya svEriNIBiH saKIBiH
   pratibodhitā puruṣāntarābhilāṣukābhavat /	pratiboDitA puruza-antara-aBilAzukA-Bavat /
   yatastābhirevamuktam-	yatas-tABiH-evam-uktam--
   tāvatpitā tathā bandhuryāvajjīvati mānavaḥ /	tAvat-pitA taTA banDuH-yAvat-jIvati mAnavaH /
   mṛto mṛta iti jñātvā kṣaṇātsneho nivartate // Suk_1.7 (=7) //	mRtaH mRtaH iti jQAtvA kzaNAt-snehaH nivartate // Suc-_1.7 (=7) //
   atastvaṃ svapatimaprāpyamāṇā nijaśarīrasya katiciddinasthāyiyauvanasya	atas-tvam sva-patim-aprApyamANAH nija-SarIrasya katicid-dina-sTAyi-yOvanasya
   puruṣāntararamaṇād gṛhāṇa phalam /	puruza-antara-ramaNAt gRhANa Palam /
   tatastāsāṃ vacanena puruṣāntarasya guṇacandrasaṃjñasya ramaṇāya śṛṅgāraṃ	tatas-tAsAm vacanena puruza-antarasya guNa-candra-saMjQasya ramaNAya SRFgAram
   vidhāya yāvatpracalitā tāvatsārikayā mā gacchetyādivacanairnirbhartsitā /	viDAya yAvat-pracalitA tAvat-sArikayA mA gacCa-ityAdi-vacanEH-nirBartsitAH /
   tato yāvatsā tāṃ sārikāṃ galamoṭanapūrvaṃ vināśayati tāvaduḍḍīya yayau /	tatas yAvat-sA tAm sArikAm gala-mowana-pUrvam vinASayati tAvat-uxxIya yayO /
   tataḥ kṣaṇaṃ sthitvā sveṣṭadevatāṃ hṛdi smṛtvā tāmbūlaṃ pragṛhya	tatas kzaNam sTitvA sva-izwadevatAm hRdi smRtvA tAmbUlam pragRhya
   yāvaccalitā tāvat śukaḥ prāha-"siddhirastu /	yAvat-calitA tAvat SukaH prAha-"-sidDiH-astu /
   kva gantavyam', ityādivākyaiḥ pṛṣṭā /	kva gantavyam-a, ityAdi-vAkyEH pRzwA /
   sā ca śukavacanaṃ śakunamiti kṛtvā prahasya tamāha-"he śukarāja!	sA ca Suka-vacanam Sakunam-iti kRtvA prahasya tam-Aha-"he Suka-rAja!
   narāntarāsvādaṃ vijñātuṃ pracalitāsmi' /	nara-antara-AsvAdam vijQAtum pracalitA-asmi-a /
   śuka uvāca- "yuktamidaṃ karttavyameva paraṃ duṣkaraṃ ninditaṃ ca	SukaH uvAca "yuktam-idam karttavyam-eva param duzkaram ninditam ca
   kulastrīṇām /	kula-strINAm /
   kiñca, tadā gamyatā yadi viparīte samāyāte sati tava buddhirasti /	kiQca, tadA gamyatA yadi viparIte samAyAte sati tava budDiH-asti /
   yadi nāsti tadā parābhavapadaṃ bhaviṣyasi /	yadi na-asti tadA parABava-padam Bavizyasi /
   yataḥ-	yatas--
   kautukānveṣiṇo nityaṃ durjanā vyasanāgame /	kOtuka-anveziNaH nityam durjanAH vyasana-Agame /
   māsopavāsinī yadvadvaṇikputrakacagrahe // Suk_1.8 (=8) //	mAsa-upavAsinI yadvat-vaNij-putra-kaca-grahe // Suc-_1.8 (=8) //
   papraccha sā tadā sārdhaṃ puṃścalībhiḥ kṛtādarā /	papracCa sA tadA sArDam puMScalIBiH kRta-AdarA /
   sasambhramā jagādedaṃ kimidaṃ bhāṣitaṃ śukaḥ // Suk_1.9 (=9) //	sa-samBramA jagAda-idam kim-idam BAzitam SukaH // Suc-_1.9 (=9) //
   yadi te kautukaṃ subhru parārthaṃ gaccha sundari /	yadi te kOtukam suBru para-arTam gacCa sundari /
   sthirībhūya tvayā paścāt śrāvyeyaṃ mahatī kathā // Suk_1.10 (=10) //	sTirIBUya tvayA paScAt SrAvyA-iyam mahatI kaTA // Suc-_1.10 (=10) //
   evaṃ śukoktaṃ śrutvā yadā sā kautukākulacetasā nijagṛha āsīnāsti tadā	evam Suka-uktam SrutvA yadA sA kOtuka-Akula-cetasA nija-gRhe AsInA-asti tadA
   śukaḥ kathāṃ prāha- asti candrāvatī puro /	SukaH kaTAm prAha asti candrAvatI puras /
   tasyāṃ bhīmanāmā nṛpaḥ /	tasyAm BIma-nAmA nRpaH /
   tatra sudhano nāma mohanaśreṣṭhisutaḥ tannagaravāsino haridattasya	tatra suDanaH nAma mohana-SrezWi-sutaH tad-nagara-vAsinaH haridattasya
   kalatraṃ lakṣmīṃ rantumīhate /	kalatram lakzmIm rantum-Ihate /
   tadvatsā na manyate /	tadvat-sA na manyate /
   tato māsopavāsinīṃ pūrṇābhidhānāṃ gatvā pūrṇadhanāvarjitāṃ kṛtvā haridatte	tatas mAsa-upavAsinIm pUrNa-aBiDAnAm gatvA pUrNa-Dana-AvarjitAm kRtvA haridatte
   nagarādbahirgate tadgṛhe dūtītvena preṣayāmāsa /	nagarAt-bahis-gate tad-gRhe dUtI-tvena prezayAmAsa /
   sāpi cāṭūktibhirlakṣmīṃ prasādayāmāsa /	sA-api cAwu-uktiBiH-lakzmIm prasAdayAmAsa /
   prasannayā ca tayetyuktam- "yattvaṃ yācase tatkaromi" /	prasannayA ca tayA-iti-uktam "yat-tvam yAcase tat-karomi" /
   pūrṇayoktam- "tarhi manmataṃ naraṃ bhaja" /	pUrNayA-uktam "tarhi mad-matam naram Baja" /
   tayoktam- "kulastrīṇāṃ naitadyujyate paraṃ yattavāgre pratipannaṃ	tayA-uktam "kula-strINAm na-etat-yujyate param yat-tava-agre pratipannam
   tatkaromi' /	tat-karomi-a /
   uktañca-	uktaQca-
   chijjau sīsaṃ aha hou bandhaṇaṃ caau savvahā lacchī /	CijjO sIsam aha hou banDaNam caO savvahA lacCI /
   paḍivaṇṇapālaṇe supurisāṇaṃ jaṃ hou taṃ hou // Suk_1.11 (=11) //	paxivaNNa-pAlaNe su-puri-sANam jam hou tam hou // Suc-_1.11 (=11) //
   [śīrṣa chidyatām atha bhavatu bandhanaṃ calatu savathā lakṣmīḥ /	[SIrza CidyatAm aTa Bavatu banDanam calatu savaTA lakzmIH /
   pratipannapālane supuruṣāṇāṃ yad bhavatu tad bhavatu] // Suk_1.11* (=11*)	pratipanna-pAlane su-puruzANAm yat Bavatu tat Bavatu] // Suc-_1.11* (=11*)
   tathāca	taTA-ca
   diḍhalohasiṃkhalāṇaṃ assāṇa vivihapāsabandhāṇaṃ /	diXa-loha-siMKa-lANam assANa vivihapAsa-banDANam /
   tāṇaṃ cia ahiaraaro vāābandho supurisassa // Suk_1.12 (=12) //	tANam cia ahiaraaraH vAAbanDo su-purisassaH // Suc-_1.12 (=12) //
   [dṛḍhalohaśṛṅkhalānāṃ bhavatu vivadhapāśabandhanam /	[dRXa-loha-SRFKalAnAm Bavatu vivaDa-pASa-banDanam /
   tābhyāmapi adhikataro vācābandhaḥ supuruṣasya] // Suk_1.12* (=12*) //	tAByAm-api aDikataraH vAcA-banDaH su-puruzasya] // Suc-_1.12* (=12*) //
   adyāpi nojjhati haraḥ kila kālakūṭaṃ, kūrmo bibharti dharaṇīṃ khalu	adya-api na-ujJati haraH kila kAlakUwaM, kUrmaH biBarti DaraNIm Kalu
   cātmapṛṣṭhe /	ca-Atma-pRzWe /
   ambhonidhirvahati duḥsahavāḍavāgnimaṅgīkṛtaṃ sukṛtinaḥ paripālayanti //	amBoniDiH-vahati duHsaha-vAxavAgnim-aFgIkRtam sukRtinaH paripAlayanti //
   Suk_1.13 (=13) //	Suc-_1.13 (=13) //
   tacchrutvā hṛṣṭā pūrṇā /	tat-SrutvA hRzwA pUrNA /
   "evamevaitat' /	"evam-eva-etat-a /
   tatastāṃ lakṣmīṃ pratividhāya guṇamohanārthe pradoṣe svagṛhe nināya /	tatas-tAm lakzmIm prativiDAya guNa-mohana-arTe pradoze sva-gRhe ninAya /
   tataḥ sa mohanaḥ kathitavelopari nāgataḥ kiñcitkāryādivaiyagryeṇa /	tatas sa mohanaH kaTita-velA-upari na-AgataH kiQcid-kArya-Adi-vEyagryeNa /
   tato lakṣmyā sakāmayoktam- "yatkamapi naraṃ samānaya' /	tatas lakzmyA sa-kAmayA-uktam "yatkam-api naram samAnaya-a /
   tataḥ pūrṇayā mūḍhayā tatpatireva samānītaḥ /	tatas pUrNayA mUXayA tad-patiH-eva samAnItaH /
   svabhartari samāyāte sā kathaṃ bhavatviti kathaṃ gṛhaṃ yātviti tvaṃ	sva-Bartari samAyAte sA kaTam Bavatu-iti kaTam gRham yAtu-iti tvam
   sakhyastava vā kathayantu /	saKyaH-tava vA kaTayantu /
   tā āhuḥ- "na jānīmaḥ /	tAH AhuH "na jAnImaH /
   tvameva kathaya' /	tvam-eva kaTaya-a /
   śuka āha- "yadi na yāsi tadā kathayāmi' /	SukaH Aha "yadi na yAsi tadA kaTayAmi-a /
   tayoktam-- "na yāsyāmi' /	tayA-uktam- "na yAsyAmi-a /
   śukaḥ-sā āgacchanneva svapatiriti jñātvā taṃ kacagrahaṃ	SukaH-sA AgacCan=-eva sva-patiH-iti jQAtvA tam kaca-graham
   pragṛhyaivamuvāca-he śaṭha! sarvadā tvamiti mamāgre jalpasi yanme tvāṃ	pragRhya-evam-uvAca--he SaWa! sarvadA tvam-iti mama-agre jalpasi yat-me tvAm
   vinā nānyā vallabhā asti /	vinA na-anyA vallaBAH asti /
   adhunā tu mayā parīkṣito jñātaśceti kopaṃ cakre' /	aDunA tu mayA parIkzitaH jQAtaH-ca-iti kopam cakre-a /
   sa ca tāṃ kaṣṭena sukomalavacanairanunīya svagṛhaṃ ninye /	sa ca tAm kazwena su-komala-vacanEH-anunIya sva-gRham ninye /
   kathāṃ śrutvā śukenoktāṃ bhayavismayakāriṇīm /	kaTAm SrutvA Sukena-uktAm Baya-vismaya-kAriNIm /
   puṃścalīvṛndasaṃyuktā suptā rātrau vaṇikpriyā // Suk_1.14 (=14) //	puMScalI-vRnda-saMyuktA suptA rAtrO vaNij-priyA // Suc-_1.14 (=14) //
   iti śukasaptatau prathamā kathā //	iti Suka-saptatO praTamA kaTA //
   START Suk 2:	START Suc 2:
   sā tathaiva samaṃ tābhirdvitīyo 'hni niśāmukhe /	sA taTA-eva samam tABiH-dvitIyaH ahni niSA-muKe /
   śukamāpṛcchya calitā śukastāmidamabravīt // Suk_2.1 (=15) //	Sukam-ApRcCya calitA SukaH-tAm-idam-abravIt // Suc-_2.1 (=15) //
   yatheṣṭaṃ gaccha suśroṇi yadi jānāsi duḥkṛte /	yaTezwam gacCa suSroNi yadi jAnAsi duHkRte /
   pratyuttaraṃ samāyāte yaśodevīva saṅkaṭe // Suk_2.2 (=16) //	pratyuttaram samAyAte yaSaH-devI-iva saFkawe // Suc-_2.2 (=16) //
   tataḥ prabhāvato pṛcchati- "kā yaśodevī /	tatas praBAvataH pRcCati "kA yaSodevI /
   kadā kasminsaṅkaṭe tayā ka upāyaḥ kṛta' iti /	kadA kasmin-saFkawe tayA kaH upAyaH kRta-a iti /
   śukaḥ- "yadā kathayāmi tadā mayi suratavighātena tava kopaḥ prāṇaniṣūdanaḥ	SukaH "yadA kaTayAmi tadA mayi surata-viGAtena tava kopaH prANa-nizUdanaH
   syāt' /	syAt-a /
   sā āha- "suhṛdāṃ sādhvasādhvapi śrotavyameva' ityanujñātaḥ śukaḥ āha- asti	sA Aha "suhRdAm sADu-asADu-api Srotavyam-eva-a iti-anujQAtaH SukaH Aha asti
   nandanaṃ nāma nagaram /	nandanam nAma nagaram /
   tatra nandano nāma rājā /	tatra nandanaH nAma rAjA /
   tatputro rājaśekharaḥ /	tad-putraH rAjaSeKaraH /
   tadvadhūḥ śaśiprabhā /	tad-vaDUH SaSi-praBA /
   tāṃ dhanasenasuto vīranāmā dṛṣṭvā sakāmaḥ san jvarapīḍito 'bhūt /	tAm Danasena-sutaH vIra-nAmA dRzwvA sa-kAmaH san jvara-pIxitaH aBUt /
   bhojanādi na vidhatte /	Bojana-Adi na viDatte /
   sa ca mātrā yaśodevyā pṛṣṭaḥ sansagadgadaṃ kāraṇamāha- "sā ca rājakanyā	sa ca mAtrA yaSodevyA pRzwaH san-sa-gadgadam kAraNam-Aha "sA ca rAja-kanyA
   durlabhā /	durlaBA /
   sa kathaṃ jīvatu' iti praśnaḥ /	sa kaTam jIvatu-a iti praSnaH /
   tayoktam- "tvameva kathaya' /	tayA-uktam "tvam-eva kaTaya-a /
   śukaḥ-yadi prabhāvati! adya na yāsi tadā kathayāmi, ityukte sā āha-	SukaH-yadi praBAvati! adya na yAsi tadA kaTayAmi, iti-ukte sA Aha-
   "kathayeti' /	"kaTayA-iti-a /
   atha śukaḥ-sā yaśodevī ekāṃ śunīṃ bhojanādyairāvarjayitvā ābharaṇāni	aTa SukaH-sA yaSodevI ekAm SunIm Bojana-AdyEH-AvarjayitvA ABaraNAni
   paridhāyātmanā sārdhaṃ gṛhītvā śaśiprabhāpārśve gatvā tāṃ vijane sagadgadā	pariDAya-AtmanA sArDam gRhItvA SaSi-praBA-pArSve gatvA tAm vijane sa-gadgadA
   jagāda-ahaṃ ca tvaṃ ca iyaṃ ca pūrvabhave bhaginyo 'bhūvan /	jagAda--aham ca tvam ca iyam ca pUrva-Bave BaginyaH aBUvan /
   mayā niḥśaṅkayā tvayā tu saśaṅkayā paranarābhilāṣaḥ pūritaḥ /	mayA niHSaFkayA tvayA tu sa-SaFkayA para-nara-aBilAzaH pUritaH /
   anayā tu naiva /	anayA tu na-eva /
   ato 'syāḥ śīlaprabhāvātkevalaṃ jātismaraṇameva na bhogāḥ śunikā ca sañjātā	atas asyAH SIla-praBAvAt-kevalam jAti-smaraNam-eva na BogAH SunikA ca san-jAtA
   sambhogavighnājjātismaraṇaṃ ca na te vartate /	samBoga-viGnAt-jAti-smaraNam ca na te vartate /
   mama punarbhogānnirvighnānnirvighnajātismaraṇaṃ ca /	mama punar-BogAt-nirviGnAt-nirviGna-jAti-smaraNam ca /
   ato 'hamanukampayā imāṃ śunakīṃ tvāṃ ca dṛṣṭvā kathayitumāgatā /	atas aham-anukampayA imAm SunakIm tvAm ca dRzwvA kaTayitum-AgatA /
   atastvayārthināṃ kāṅkṣitaṃ dātavyameva /	atas-tvayA-arTinAm kAFkzitam dAtavyam-eva /
   yo dānaṃ kuryātsa bhavetsarvasampadāṃ sthānam /	yaH dAnam kuryAt-sa Bavet-sarva-sampadAm sTAnam /
   uktañca--	uktaQca--
   kathayanti na yācante bhikṣāhārā gṛhe gṛhe /	kaTayanti na yAcante BikzA-AhArAH gRhe gRhe /
   arthibhyo dīyatāṃ nityamadātuḥ phalamīdṛśam // Suk_2.3 (=17) //	arTiByaH dIyatAm nityam-adAtuH Palam-IdRSam // Suc-_2.3 (=17) //
   tataḥ śaśiprabhā sakaṇṭhagrāhaṃ ruditvā prāha-- "māmapi kalyāṇi!	tatas SaSipraBA sa-kaNWa-grAham ruditvA prAha- "mAm-api kalyANi!
   puruṣāntareṇa yojaya' /	puruza-antareNa yojaya-a /
   tato yaśodevī tāṃ svasthīkṛtya bhartṛviditāṃ svagṛhaṃ nītvā svaputreṇa	tatas yaSodevI tAm svasTIkRtya BartR-viditAm sva-gRham nItvA sva-putreNa
   yojayāmāsa /	yojayAmAsa /
   sa ca rājaśekharo dravyādidānatoṣitaḥ sakhīyamiti kṛtvā na nivārayāmāsa /	sa ca rAja-SeKaraH dravya-Adi-dAna-tozitaH saKI-iyam-iti kRtvA na nivArayAmAsa /
   rājaputraṃ rājaputrīṃ pratāryaivaṃ ca bhāmini /	rAja-putram rAja-putrIm pratArya-evam ca BAmini /
   yaśodevyā mahadbuddhya nijakāryamanuṣṭhitam // Suk_2.4 (=18) //	yaSodevyAH mahat-budDya nija-kAryam-anuzWitam // Suc-_2.4 (=18) //
   buddhirasti yadaiṣā te vraja subhru parāntikam /	budDiH-asti yadA-ezA te vraja suBru para-antikam /
   bhaja nidrāṃ viśālākṣi mānyathā svaṃ viḍambaya // Suk_2.5 (=19) //	Baja nidrAm viSAla-akzi mA-anyaTA svam vixambayaH // Suc-_2.5 (=19) //
   iti śukakathāṃ śrutvā prabhāvatī suptā /	iti Suka-kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau dvitīyā kathā //	iti Suka-saptatO dvitIyA kaTA //
   START Suk 3:	START Suc 3:
   athānyadine prabhāvatī śukaṃ pṛcchati /	aTa-anya-dine praBAvatI Sukam pRcCati /
   śukaḥ-	SukaH-
   gaccha deva kimāścaryaṃ yatra te ramate manaḥ /	gacCa deva kim-AScaryam yatra te ramate manaH /
   nṛpavadyadi jānāsi paritrāṇaṃ tvamātmanaḥ // Suk_3.1 (=20) //	nRpa-vat-yadi jAnAsi paritrANam tvam-AtmanaH // Suc-_3.1 (=20) //
   prabhāvatī pṛcchati-kathametat /	praBAvatI pRcCati-kaTam-etat /
   śukaḥ kathayati-asti viśālā nagarī /	SukaH kaTayati-asti viSAlA nagarI /
   tatra sudarśano rājā /	tatra sudarSanaH rAjA /
   tatra ca vimalo nāma vaṇik /	tatra ca vimalaH nAma vaNij /
   tasya ca patnīdvayaṃ subhagaṃ rūpasampannaṃ dṛṣṭvā kuṭilanāmā	tasya ca patnI-dvayam suBagam rUpa-sampannam dRzwvA kuwila-nAmA
   dhūrtastadbhāryādvayagrahaṇecchayā ambikāṃ devīmārādhya vimalarūpaṃ yayāce	DUrtaH-tad-BAryA-dvaya-grahaNa-icCayA ambikAm devIm-ArADya vimala-rUpam yayAce
   labdhvā ca tatprakṛtiṃ vimale bahirgate tadgṛhaṃ gatvā prabhutvaṃ cakāra /	labDvA ca tat-prakRtim vimale bahis-gate tad-gRham gatvA praBu-tvam cakAra /
   prasādadhanadānairvaśīkṛto 'khilo 'pi parijanavargaḥ /	prasAda-Dana-dAnEH-vaSIkRtaH aKilaH api parijana-vargaH /
   tadbhāryādvayaṃ bahumānadānādinā santoṣya svecchayā bhuṅkte /	tad-BAryA-dvayam bahu-mAna-dAna-AdinA santozya sva-icCayA BuFkte /
   vimalo 'yaṃ dhanādyanityatāṃ śrutvā dātā babhūveti parijano 'navarataṃ	vimalaH ayam Dana-Adi-anitya-tAm SrutvA dAtA baBUva-iti parijanaH anavaratam
   cintayati /	cintayati /
   atha satyavimalo 'pi dvāramāgataḥ kuṭilājñayā dvārapālena niṣiddhaḥ /	aTa satya-vimalaH api dvAram-AgataH kuwila-AjQayA dvArapAlena nizidDaH /
   tato bahiḥsthaḥ phutkaroti "vañcito 'haṃ dhūrtarājena' /	tatas bahis-sTaH Putkaroti "vaQcitaH aham DUrta-rAjena-a /
   tasya caivaṃ krandato gotrajā janāḥ kautukācca militāḥ /	tasya ca-evam krandataH gotra-jAH janAH kOtukAt-ca militAH /
   tatkṣaṇāt haṭṭāni muktvā vaṇiksārtho militvā ārakṣikamantrimukhyānāṃ	tad-kzaNAt hawwAni muktvA vaNij-sArTaH militvA Arakzika-mantri-muKyAnAm
   purataḥ phūccakre /	puratas PUccakre /
   "rājanvañcito 'smi dhūrtarājena' /	"rAjan-vaQcitaH asmi DUrta-rAjena-a /
   tato rājñā tadavalokanāya prahitāḥ puruṣāḥ /	tatas rAjQA tad-avalokanAya prahitAH puruzAH /
