   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   svocitavividhavicitrānantabhogyabhogopakaraṇabhogasthānasamṛddhānantāścaryānantamahāvibhavānantaparimāṇanityaniravadyākṣaraparamavyomanilayaḥ,	sva ucita viviDa vicitra ananta Bogya Boga upakaraNa Boga sTAna samRdDa ananta AH caryA ananta mahA viBava ananta parimANa nitya niravadya akzara parama vyoma
   vividhavicitrānantabhogyabhoktṛvargaparipūrṇanikhilajagadudayavibhavalayalīlaḥ,	viviDa vicitra ananta Bogya BoktR varga paripUrNa niKila jagat udaya viBava laya lIlaH,
   paraṃ brahma puruṣottamo nārāyaṇaḥ, brahmādisthāvarāntam akhilaṃ jagat	param brahma puruzottamaH nArAyaNaH, brahma Adi sTAvara antam aKilam jagat 
   sṛṣṭvā ,svena rūpeṇāvasthito brahmādidevamanuṣyāṇāṃ	sRzwvA ,svena rUpeNa avasTitaH brahma Adi deva manuzyANAm
   dhyānārādhanādyagocaraḥ, apārakāruṇyasauśīlyavātsalyāudāryamahodadhiḥ,	DyAna ArADana Adi a gocaraH, apAra kAruNya sOSIlya vAtsalyOu dArya mahA udaDiH,
   svam eva rūpaṃ tat tat sajātīyasaṃsthānaṃ svasvabhāvam ajahad eva kurvan	svam eva rUpam tat tat sajAtIya saMsTAnam sva svaBAvam ajahat eva kurvan
   teṣu teṣu lokeṣv avatīryāvatīrya tais tair ārādhitas tat tad iṣṭānurūpaṃ	tezu tezu lokezu avatIrya avatIrya tEH tEH ArADitaH tat tat izwa anurUpam
   dharmārthakāmamokṣākhyaṃ phalaṃ prayacchan,	Darma arTa kAma mokza AKyam Palam prayacCan,
   bhūbhārāvatāraṇāpadeśenāsmadādīnām api samāśrayaṇīyatvāyāvatīryorvyāṃ	BU BAra avatAraNa apadeSena asmad AdInAm api samASrayaNIya tvAya avatIrya urvyAm
   sakalamanujanayanaviṣayatāṃ gataḥ,	sakalam anuja nayana vizaya tAm gataH,
   parāvaranikhilajanamanonayanahāridivyaceṣṭitāni kurvan,	parAvara niKila jana manaH nayana hAri divya cezwitAni kurvan,
   pūtanāśakaṭayamalārjunāriṣṭapralambadhenukakāliyakeśikuvalayāpīḍacāṇūramuṣṭikatosalakaṃsādīn	pUta nASa kawaya mala arjuna arizwa pralamba Denuka kAliya keSi kuvalaya ApIxacANUra muzwika tosala kaMsa AdIn
   nihatya anavadhikadayāsauhārdānurāgagarbhāvalokanālāpāmṛtair viśvam	nihatya anavaDika dayA sOhArda anurAga garBa avalokana AlApa amRtEH viSvam
   āpyāyayan, niratiśayasaundaryasauśīlyādiguṇagaṇāviṣkāreṇākrūramālākārādīn	ApyAyayan, niratiSaya sOndarya sOSIlya Adi guNa gaNa AvizkAreNa akrUra mAlA AkAra AdIn
   paramabhāgavatān kṛtvā, pāṇḍutanayayuddhaprotsāhanavyājena	parama BAgavatAn kRtvA, pANxu tanaya yudDa protsAhana vyAjena
   paramapuruṣārthalakṣaṇamokṣasādhanatayā vedāntoditaṃ svaviṣayaṃ	parama puruza arTa lakzaNa mokza sADana tayA vedAnta uditam sva vizayam
   jñānakarmānugṛhītaṃ bhaktiyogam avatārayām āsa / tatra pāṇḍavānāṃ kurūṇāṃ	jQAna karma anugRhItam Bakti yogam avatArayAm Asa / tatra pANxavAnAm kurUNAm
   ca yuddhe prārabdhe sa bhagavān puruṣottamaḥ sarveśvareśvaro	ca yudDe prArabDe sa BagavAn puruzottamaH sarva ISvara ISvaraH 
   jagadupakṛtimartyaḥ āśritavātsalyavivaśaḥ pārthaṃ rathinam ātmānaṃ ca	jagat upakRti martyaH ASrita vAtsalya vivaSaH pArTam raTinam AtmAnam ca
   sārathiṃ sarvalokasākṣikaṃ cakāra /	sAraTim sarva loka sAkzikam cakAra /
   dhṛtarāṣṭra uvāca	DRtarAzwraH uvAca
   dharmakṣetre kurukṣetre samavetā yuyutsavaḥ |	Darma kzetre kurukzetre samavetAH yuyutsavaH |
   māmakāḥ pāṇḍavāś caiva kim akurvata sañjaya || BhG_1.1 ||	mAmakAH pANxavAH ca eva kim akurvata saQjaya || Bhu _1.1 ||
   evaṃ jñātvāpi sarvātmanāndho dhṛtarāṣṭraḥ suyodhanavijayabubhutsayā	evam jQAtvA api sarva AtmanA anDaH DRtarAzwraH suyoDana vijaya buButsayA
   sañjayaṃ papraccha /	saQjayam papracCa /
   sañjaya uvāca	saQjayaH uvAca
   dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanas tadā |	dRzwvA tu pANxava anIkam vyUXam duryoDanaH tadA |
   ācāryam upasaṃgamya rājā vacanam abravīt || BhG_1.2 ||	AcAryam upasaMgamya rAjA vacanam abravIt || Bhu _1.2 ||
   paśyaitāṃ pāṇḍuputrāṇām ācārya mahatīṃ camūm |	paSya etAm pANxu putrANAm AcArya mahatIm camUm |
   vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā || BhG_1.3 ||	vyUXAm drupada putreNa tava SizyeNa DImatA || Bhu _1.3 ||
   atra śūrā maheṣvāsā bhīmārjunasamā yudhi |	atra SUrAH mahA izvAsAH BIma arjuna samAH yuDi |
   yuyudhāno virāṭaś ca drupadaś ca mahārathaḥ || BhG_1.4 ||	yuyuDAnaH virAwaH ca drupadaH ca mahA raTaH || Bhu _1.4 ||
   dhṛṣṭaketuś cekitānaḥ kāśīrājaś ca vīryavān |	DRzwaketuH cekitAnaH kASI rAjaH ca vIryavAn |
   purujitkuntibhojaś ca śaibyaś ca narapuṅgavaḥ || BhG_1.5 ||	purujit kuntiBojaH ca SEbyaH ca nara puFgavaH || Bhu _1.5 ||
   yudhāmanyuś ca vikrānta uttamaujāś ca vīryavān |	yuDAmanyuH ca vikrAntaH uttamOjAH ca vIryavAn |
   saubhadro draupadeyāś ca sarva eva mahārathāḥ || BhG_1.6 ||	sOBadraH drOpadeyAH ca sarve eva mahA raTAH || Bhu _1.6 ||
   asmākaṃ tu viśiṣṭā ye tān nibodha dvijottama |	asmAkam tu viSizwAH ye tAn niboDa dvijottamaH |
   nāyakā mama sainyasya saṃjñārthaṃ tān bravīmi te || BhG_1.7 ||	nAyakAH mama sEnyasya saMjQA arTam tAn bravImi te || Bhu _1.7 ||
   bhavān bhīṣmaś ca karṇaś ca kṛpaś ca samitiñjayaḥ |	BavAn BIzmaH ca karNaH ca kRpaH ca samitiQjayaH |
   aśvatthāmā vikarṇaś ca saumadattis tathaiva ca || BhG_1.8 ||	aSvatTAmA vikarNaH ca sOmadattiH taTA eva ca || Bhu _1.8 ||
   anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ |	anye ca bahavaH SUrAH mad arTe tyakta jIvitAH |
   nānāśastrapraharaṇās sarve yuddhaviśāradāḥ || BhG_1.9 ||	nAnA Sastra praharaNAH sarve yudDa viSAradAH || Bhu _1.9 ||
   aparyāptaṃ tad asmākaṃ balaṃ bhīṣmābhirakṣitam |	aparyAptam tat asmAkam balam BIzma aBirakzitam |
   paryāptaṃ tv idam eteṣāṃ balaṃ bhīmābhirakṣitam || BhG_1.10 ||	paryAptam tu idam etezAm balam BIma aBirakzitam || Bhu _1.10 ||
   ayaneṣu ca sarveṣu yathābhāgam avasthitāḥ |	ayanezu ca sarvezu yaTABAgam avasTitAH |
   bhīṣmam evābhirakṣantu bhavantaḥ sarva eva hi || BhG_1.11 ||	BIzmam eva aBirakzantu BavantaH sarve eva hi || Bhu _1.11 ||
   duryodhanaḥ svayam eva bhīmābhirakṣitaṃ pāṇḍavānāṃ balam, ātmīyaṃ ca	duryoDanaH svayam eva BIma aBirakzitam pANxavAnAm balam, AtmIyam ca
   bhīṣmābhirakṣitaṃ balam avalokya, ātmavijaye tasya balasya paryāptatām	BIzma aBirakzitam balam avalokya, Atma vijaye tasya balasya paryApta tAm
   ātmīyasya balasya tadvijaye cāparyāptatām ācāryāya nivedya antarviṣaṇṇo	AtmIyasya balasya tat vijaye ca aparyApta tAm AcAryAya nivedya antar vizaNNaH 
   'bhavat // BhGR_1.211 //	aBavat // BhGR_1.211 //
   tasya saṃjanayan harṣaṃ kuruvṛddhaḥ pitāmahaḥ |	tasya saMjanayan harzam kuruvRdDaH pitAmahaH |
   siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān || BhG_1.12 ||	siMhanAdam vinadya uccEs SaFKam daDmO pratApavAn || Bhu _1.12 ||
   tataḥ śaṅkhāś ca bheryaś ca paṇavānakagomukhāḥ |	tatas SaFKAH ca BeryaH ca paNava Anaka gomuKAH |
   sahasaivābhyahanyanta sa śabdas tumulo 'bhavat || BhG_1.13 ||	sahasA eva aByahanyanta sa SabdaH tumulaH aBavat || Bhu _1.13 ||
   tataḥ śvetair hayair yukte mahati syandane sthitau |	tatas SvetEH hayEH yukte mahati syandane sTitO |
   mādhavaḥ pāṇḍavaś caiva divyau śaṅkhau pradadhmatuḥ || BhG_1.14 ||	mADavaH pANxavaH ca eva divyO SaFKO pradaDmatuH || Bhu _1.14 ||
   pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanañjayaḥ |	pAQcajanyam hRzIkeSaH devadattam DanaQjayaH |
   pauṇḍraṃ dadhmau mahāśaṅkhaṃ bhīmakarmā vṛkodaraḥ || BhG_1.15 ||	pONxram daDmO mahA SaFKam BIma karmA vRkodaraH || Bhu _1.15 ||
   anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ |	ananta vijayam rAjA kuntI putraH yuDizWiraH |
   nakulaḥ sahadevaś ca sughoṣamaṇipuṣpakau || BhG_1.16 ||	nakulaH sahadevaH ca su Goza maNipuzpakO || Bhu _1.16 ||
   kāśyaś ca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ |	kASyaH ca parama izvAsaH SiKaNxI ca mahA raTaH |
   dhṛṣṭadyumno virāṭaś ca sātyakiś cāparājitaḥ || BhG_1.17 ||	DRzwadyumnaH virAwaH ca sAtyakiH ca aparAjitaH || Bhu _1.17 ||
   drupado draupadeyāś ca sarvataḥ pṛthivīpate |	drupadaH drOpadeyAH ca sarvatas pRTivIpate |
   saubhadraś ca mahābāhuḥ śaṅkhān dadhmuḥ pṛthak pṛthak || BhG_1.18 ||	sOBadraH ca mahA bAhuH SaFKAn daDmuH pRTak pRTak || Bhu _1.18 ||
   tasya viṣādam ālakṣya bhīṣmas tasya harṣaṃ janayituṃ siṃhanādaṃ	tasya vizAdam Alakzya BIzmaH tasya harzam janayitum siMhanAdam
   śaṅkhadhmānaṃ ca kṛtvā, śaṅkhabherīninādaiś ca vijayābhiśaṃsinaṃ ghoṣaṃ	SaFKa DmAnam ca kRtvA, SaFKa BerI ninAdEH ca vijaya aBiSaMsinam Gozam
   cākārayat // tataḥ taṃ ghoṣam ākarṇya sarveśvareśvaraḥ pārthasārathī rathī	ca akArayat // tatas tam Gozam AkarNya sarva ISvara ISvaraH pArTa sAraTI raTI
   ca pāṇḍutanayas trailokyavijayopakaraṇabhūte mahati syandane sthitau	ca pANxu tanayaH trElokya vijaya upakaraNa BUte mahati syandane sTitO
   sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat |	sa GozaH DArtarAzwrANAm hRdayAni vyadArayat |
   nabhaś ca pṛthivīṃ caiva tumulo 'py anunādayan || BhG_1.19 ||	naBaH ca pRTivIm ca eva tumulaH api anunAdayan || Bhu _1.19 ||
   atha vyavasthitān dṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ |	aTa vyavasTitAn dRzwvA DArtarAzwrAn kapiDvajaH |
   pravṛtte śastrasaṃpāte dhanur udyamya pāṇḍavaḥ || BhG_1.20 ||	pravRtte Sastra saMpAte DanuH udyamya pANxavaH || Bhu _1.20 ||
   hṛṣīkeśaṃ tadā vākyam idam āha mahīpate |	hRzIkeSam tadA vAkyam idam Aha mahIpate |
   arjuna uvāca	arjunaH uvAca
   senayor ubhayor madhye rathaṃ sthāpaya me 'cyuta || BhG_1.21 ||	senayoH uBayoH maDye raTam sTApaya me acyuta || Bhu _1.21 ||
   trailokyaṃ kampayantau śrīmatpāñcajanyadevadattau divyau śaṅkhau	trElokyam kampayantO SrImat pAQcajanya devadattO divyO SaFKO
   pradadhmatuḥ //	pradaDmatuH //
   tato yudhiṣṭhiro vṛkodarādayaś ca svakīyān śaṅkhān pṛthak pṛthak	tatas yuDizWiraH vRkodara AdayaH ca svakIyAn SaFKAn pRTak pRTak 
   pradadhmuḥ / sa ghoṣo duryodhanapramukhānāṃ sarveṣām eva bhavatputrāṇāṃ	pradaDmuH / sa GozaH duryoDana pramuKAnAm sarvezAm eva Bavat putrANAm
   hṛdayāni bibheda / "adyaiva naṣṭaṃ kurūṇāṃ balam" iti dhārtarāṣṭrā menire	hRdayAni biBeda / "adya eva nazwam kurUNAm balam" iti DArtarAzwrAH menire
   / evaṃ tadvijayābhikāṅkṣiṇe dhṛtarāṣṭrāya sañjayo 'kathayat // BhGR_1.1219	/ evam tad vijayA aBikAFkziNe DRtarAzwrAya saQjayaH akaTayat // BhGR_1.1219
   atha yuyutsūn avasthitān dhārtarāṣṭrān dṛṣṭvā laṅkādahanavānaradhvajaḥ	aTa yuyutsUn avasTitAn DArtarAzwrAn dRzwvA laFkA dahana vAnara DvajaH
   pāṇḍutanayo	pANxu tanayaH 
   yāvad etān nirīkṣe 'haṃ yoddhukāmān avasthitān |	yAvat etAn nirIkze aham yodDu kAmAn avasTitAn |
   kair mayā saha yoddhavyam asmin raṇasamudyame || BhG_1.22 ||	kEH mayA saha yodDavyam asmin raNa samudyame || Bhu _1.22 ||
   yotsyamānān avekṣe 'haṃ ya ete 'tra samāgatāḥ |	yotsyamAnAn avekze aham ye ete atra samAgatAH |
   dhārtarāṣṭrasya durbuddher yuddhe priyacikīrṣavaḥ || BhG_1.23 ||	DArtarAzwrasya durbudDeH yudDe priya cikIrzavaH || Bhu _1.23 ||
   sañjaya uvāca	saQjayaH uvAca
   evam ukto hṛṣīkeśo guḍākeśena bhārata |	evam uktaH hRzIkeSaH guxAkeSena BArata |
   senayor ubhayor madhye sthāpayitvā rathottamam || BhG_1.24 ||	senayoH uBayoH maDye sTApayitvA raTa uttamam || Bhu _1.24 ||
   bhīṣmadroṇapramukhataḥ sarveṣāṃ ca mahīkṣitām |	BIzma droNa pramuKatas sarvezAm ca mahIkzitAm |
   uvāca pārtha paśyaitān samavetān kurūn iti || BhG_1.25 ||	uvAca pArTa paSya etAn samavetAn kurUn iti || Bhu _1.25 ||
   tatrāpaśyat sthitān pārthaḥ pitQn atha pitāmahān |	tatra apaSyat sTitAn pArTaH pitQn aTa pitAmahAn |
   jñānaśaktibalāiśvaryavīryatejasāṃ nidhiṃ	jQAna Sakti balAi Svarya vIrya tejasAm niDim
   svasaṅkalpakṛtajagadudayavibhavalayalīlaṃ hṛṣīkeśaṃ	sva saFkalpa kRta jagat udaya viBava laya lIlam hRzIkeSam
   parāvaranikhilajanāntarabāhyakaraṇānāṃ sarvaprakāraniyamane 'vasthitam	parAvara niKila jana antara bAhya karaNAnAm sarva prakAra niyamane avasTitam
   āśritavātsalyavivaśatayā svasārathye 'vasthitam, "yuyutsūn yathāvad	ASrita vAtsalya vivaSa tayA sva sAraTye avasTitam, "yu yutsUn yaTAvat 
   avekṣituṃ tad īkṣanakṣame sthāne rathaṃ sthāpaya" ity acodayat //	avekzitum tat Ikzana kzame sTAne raTam sTApaya" iti acodayat //
   ācāryān mātulān bhrātQn putrān pautrān sakhīṃs tathā || BhG_1.26 ||	AcAryAn mAtulAn BrAtQn putrAn pOtrAn saKIn taTA || Bhu _1.26 ||
   śvaśurān suhṛdaś caiva senayor ubhayor api |	SvaSurAn suhRdaH ca eva senayoH uBayoH api |
   tān samīkṣya sa kaunteyaḥ sarvān bandhūn avasthitān || BhG_1.27 ||	tAn samIkzya sa kOnteyaH sarvAn banDUn avasTitAn || Bhu _1.27 ||
   kṛpayā parayāviṣṭo viṣīdann idam abravīt |	kRpayA parayA AvizwaH vizIdan idam abravIt |
   arjuna uvāca	arjunaH uvAca
   dṛṣṭvemaṃ svajanaṃ kṛṣṇa yuyutsuṃ samupasthitam || BhG_1.28 ||	dRzwvA imam sva janam kRzNa yuyutsum samupasTitam || Bhu _1.28 ||
   sīdanti mama gātrāṇi mukhaṃ ca pariśuṣyati |	sIdanti mama gAtrANi muKam ca pariSuzyati |
   vepathuś ca śarīre me romaharṣaś ca jāyate || BhG_1.29 ||	vepaTuH ca SarIre me romaharzaH ca jAyate || Bhu _1.29 ||
   gāṇḍīvaṃ sraṃsate hastāt tvak caiva paridahyate |	gANxIvam sraMsate hastAt tvac ca eva paridahyate |
   na ca śaknomy avasthātuṃ bhramatīva ca me manaḥ || BhG_1.30 ||	na ca Saknomi avasTAtum Bramati iva ca me manaH || Bhu _1.30 ||
   nimittāni ca paśyāmi viparītāni keśava |	nimittAni ca paSyAmi viparItAni keSavaH |
   na ca śreyo 'nupaśyāmi hatvā svajanam āhave || BhG_1.31 ||	na ca SreyaH anupaSyAmi hatvA sva janam Ahave || Bhu _1.31 ||
   na kāṅkṣe vijayaṃ Kṛṣṇa na ca rājyaṃ sukhāni ca |	na kAFkze vijayam KRzNa na ca rAjyam suKAni ca |
   kiṃ no rājyena govinda kiṃ bhogair jīvitena vā || BhG_1.32 ||	kim naH rAjyena govinda kim BogEH jIvitena vA || Bhu _1.32 ||
   yeṣām arthe kāṅkṣitaṃ no rājyaṃ bhogāḥ sukhāni ca |	yezAm arTe kAFkzitam naH rAjyam BogAH suKAni ca |
   ta ime 'vasthitā yuddhe prāṇāṃs tyaktvā dhanāni ca || BhG_1.33 ||	te ime avasTitAH yudDe prANAn tyaktvA DanAni ca || Bhu _1.33 ||
   ācāryāḥ pitaraḥ putrās tathaiva ca pitāmahāḥ |	AcAryAH pitaraH putrAH taTA eva ca pitAmahAH |
   mātulāḥ śvaśurāḥ pautrāḥ syālāḥ saṃbandhinas tathā || BhG_1.34 ||	mAtulAH SvaSurAH pOtrAH syAlAH saMbanDinaH taTA || Bhu _1.34 ||
   sa ca tena coditas tatkṣaṇād eva Bhīṣmaḍroṇādīnāṃ sarveṣām eva mahīkṣitāṃ	sa ca tena coditaH tad kzaNAt eva BhIzma xroNa AdInAm sarvezAm eva mahIkzitAm
   paśyatāṃ yathācoditam akarot / īdṛśī bhavadīyānāṃ vijayasthitir iti	paSyatAm yaTA coditam akarot / IdRSI BavadIyAnAm vijaya sTitiH iti
   cāvocat // BhGR_1.2025 //	ca avocat // BhGR_1.2025 //
   sa tu Pārtho mahāmanāḥ paramakāruṇiko dīrghabandhuḥ paramadhārmikaḥ	sa tu PArTaH mahAmanAH parama kAruNikaH dIrGabanDuH parama DArmikaH
   sabhrātṛko	sa BrAtRkaH 
   etān na hantum icchāmi ghnato 'pi madhusūdhana |	etAn na hantum icCAmi GnataH api maDu sUDana |
   api trailokyarājyasya hetoḥ kiṃ nu mahīkṛte || BhG_1.35 ||	api trElokya rAjyasya hetoH kim nu mahIkRte || Bhu _1.35 ||
   nihatya dhārtarāṣṭrān naḥ kā prītiḥ syāj janārdana |	nihatya DArtarAzwrAn naH kA prItiH syAt janArdana |
   pāpam evāśrayed asmān hatvaitān ātatāyinaḥ || BhG_1.36 ||	pApam eva ASrayet asmAn hatvA etAn AtatAyinaH || Bhu _1.36 ||
   tasmān nārhā vayaṃ hantuṃ dhārtarāṣṭrān sabāndhavān |	tasmAt na arhAH vayam hantum DArtarAzwrAn sa bAnDavAn |
   svajanaṃ hi katham hatvā sukhinaḥ syāma mādhava || BhG_1.37 ||	sva janam hi kaTam hatvA suKinaH syAma mADava || Bhu _1.37 ||
   yady apy ete na paśyanti lobhopahatacetasaḥ |	yadi api ete na paSyanti loBa upahata cetasaH |
   kulakṣayakṛtaṃ doṣaṃ mitradrohe ca pātakam || BhG_1.38 ||	kula kzaya kRtam dozam mitra drohe ca pAtakam || Bhu _1.38 ||
   kathaṃ na jñeyam asmābhiḥ pāpād asmān nivartitum |	kaTam na jQeyam asmABiH pApAt asmAt nivartitum |
   kulakṣayakṛtaṃ doṣaṃ prapaśyadbhir ñanārdana || BhG_1.39 ||	kula kzaya kRtam dozam prapaSyadBiH Qana ardana || Bhu _1.39 ||
   kulakṣaye praṇaśyanti kuladharmāḥ sanātanāḥ |	kula kzaye praNaSyanti kula DarmAH sanAtanAH |
   dharme naṣṭe kulaṃ kṛtsnam adharmo 'bhibhavaty uta || BhG_1.40 ||	Darme nazwe kulam kRtsnam aDarmaH aBiBavati uta || Bhu _1.40 ||
   adharmābhibhavāt kṛṣṇa praduṣyanti kulastriyaḥ |	aDarma aBiBavAt kRzNa praduzyanti kulastriyaH |
   strīṣu duṣṭāsu vārṣṇeya jāyate varṇasaṅkaraḥ || BhG_1.41 ||	strIzu duzwAsu vArzNeya jAyate varNa saFkaraH || Bhu _1.41 ||
   saṅkaro narakāyaiva kulaghnānāṃ kulasya ca |	saFkaraH narakAya eva kula GnAnAm kulasya ca |
   patanti pitaro hy eṣāṃ luptapiṇḍodakakriyāḥ || BhG_1.42 ||	patanti pitaraH hi ezAm lupta piNxa udaka kriyAH || Bhu _1.42 ||
   doṣair etaiḥ kulaghnānāṃ varṇasaṅkarakārakaiḥ |	dozEH etEH kula GnAnAm varNa saFkara kArakEH |
   utsādyante jātidharmāḥ kuladharmāś ca śāśvatāḥ || BhG_1.43 ||	utsAdyante jAti DarmAH kula DarmAH ca SASvatAH || Bhu _1.43 ||
   utsannakuladharmāṇāṃ manuṣyāṇāṃ ñanārdana |	utsanna kula DarmANAm manuzyANAm Qana ardana |
   narake niyataṃ vāso bhavatīty anuśuśruma || BhG_1.44 ||	narake niyatam vAsaH Bavati iti anuSuSruma || Bhu _1.44 ||
   aho bata mahat pāpaṃ kartuṃ vyavasitā vayam |	aho bata mahat pApam kartum vyavasitAH vayam |
   yad rājyasukhalābhena hantuṃ svajanam udyatāḥ || BhG_1.45 ||	yat rAjya suKa lABena hantum sva janam udyatAH || Bhu _1.45 ||
   yadi mām apratīkāram aśastraṃ śastrapāṇayaḥ |	yadi mAm apratIkAram aSastram Sastra pANayaH |
   dhārtarāṣṭrā raṇe hanyus tan me kṣemataraṃ bhavet || BhG_1.46 ||	DArtarAzwrAH raNe hanyuH tat me kzemataram Bavet || Bhu _1.46 ||
   bhavadbhir atighorair māraṇair jatugṛhadāhādibhir asakṛdvañcito 'pi	BavadBiH ati GorEH mAraNEH jatu gRha dAha AdiBiH asakRt vaQcitaH api
   paramapuruṣasahāyenātmanā haniṣya	parama puruza sahAyena AtmanA hanizya
   sañjaya uvāca	saQjayaH uvAca
   evam uktvārjunaḥ saṃkhye rathopastha upāviśat |	evam uktvA arjunaH saMKye raTopasTe upAviSat |
   visṛjya saśaraṃ cāpaṃ śokasaṃvignamānasaḥ || BhG_1.47 ||	visRjya sa Saram cApam Soka saMvigna mAnasaH || Bhu _1.47 ||
   māṇān bhavadīyān vilokya bandhusnehena parayā kṛpayā dharmabhayena	mANAn BavadIyAn vilokya banDu snehena parayA kRpayA Darma Bayena
   cātimātrasannasarvagātraḥ sarvathāhaṃ na yotsyāmīty uktvā	ca atimAtra sanna sarva gAtraH sarvaTA aham na yotsyAmi iti uktvA
   bandhuviśleṣajanitaśokasaṃvignamānasaḥ saśaraṃ cāpaṃ visṛjya rathopastha	banDu viSleza janita Soka saMvigna mAnasaH sa Saram cApam visRjya raTopasTa
   upāviśat //	upAviSat //
   ******************** ADHYAYA 2 ********************	******************** ADHYAYAH 2 ********************
   sañjaya uvāca	saQjayaH uvAca
   taṃ tathā kṛpayāviṣṭam aśrupūrṇākulekṣaṇam |	tam taTA kRpayA Avizwam aSru pUrNa Akula IkzaNam |
   viṣīdantam idaṃ vākyam uvāca madhusūdanaḥ || BhG_2.1 ||	vizIdantam idam vAkyam uvAca maDusUdanaH || Bhu _2.1 ||
   śrībhagavān uvāca	SrI BagavAn uvAca
   kutas tvā kaśmalam idaṃ viṣame samupasthitam |	kutas tvA kaSmalam idam vizame samupasTitam |
   anāryajuṣṭam asvargyam akīrtikaram arjuna || BhG_2.2 ||	anArya juzwam asvargyam akIrti karam arjunaH || Bhu _2.2 ||
   mā klaibyaṃ gaccha kaunteya naitat tvayy upapadyate |	mA klEbyam gacCa kOnteya na etat tvayi upapadyate |
   kṣudraṃ hṛdayadaurbalyaṃ tyaktvottiṣṭha parantapa || BhG_2.3 ||	kzudram hRdaya dOrbalyam tyaktvA uttizWa parantapaH || Bhu _2.3 ||
   evam upaviṣṭe pārthe kuto 'yam asthāne samupasthitaḥ śoka ity ākṣipya tam	evam upavizwe pArTe kutas ayam asTAne samupasTitaH SokaH iti Akzipya tam
   imaṃ viṣamasthaṃ śokam avidvatsevitaṃ paralokavirodhinam akīrtikaram	imam vizama sTam Sokam avidvat sevitam para loka viroDinam akIrti karam
   atikṣudraṃ hṛdayadaurbalyakṛtaṃ parityajya yuddhāyottiṣṭheti śrībhagavān	ati kzudram hRdaya dOrbalya kRtam parityajya yudDAya uttizWa iti SrI BagavAn
   uvāca //	uvAca //
   arjuna uvāca	arjunaH uvAca
