   (Vvs_3)	(VvH-_3)
   pudgalanairātmyadeśanāvineyās te pudgalanairātmyaṃ praviśanti |	pudgala-nErAtmya-deSana-AvineyAH te pudgala-nErAtmyam praviSanti |
   anyathā punaḥ |	anyaTA punar |
   deśanā dharmanairātmyapraveśaḥ	deSanA Darma-nErAtmya-praveSaH
   anyatheti vijñaptimātradeśanā | kathaṃ dharmanairātmyapraveśaḥ |	anyaTA-iti vijQaptimAtra-deSanA | kaTam Darma-nErAtmya-praveSaH |
   vijñaptimātram idaṃ rūpādidharmapratibhāsam utpadyate na tu rūpādilakṣaṇo	vijQapti-mAtram idam rUpa-Adi-Darma-pratiBAsam utpadyate na tu rUpa-Adi-lakzaNaH-
   dharmaḥ ko 'py astīti viditvā | yadi tarhi sarvathā dharmo nāsti tad api	DarmaH kaH api asti-iti viditvA | yadi tarhi sarvaTA DarmaH na-asti tat api
   vijñaptimātraṃ nāstīti kathaṃ tarhi vyavasthāpyate | na khalu sarvathā	vijQapti-mAtram na-asti-iti kaTam tarhi vyavasTApyate | na Kalu sarvaTA
   dharmo nāstīty evaṃ dharmanairātmyapraveśo bhavati | api tu |	DarmaH na-asti-iti evam Darma-nErAtmya-praveSaH Bavati | api tu |
   kalpitātmanā || 10 ||	kalpita-AtmanA || 10 ||
   yo bālair dharmāṇāṃ svabhāvo grāhyagrāhakādiḥ parikalpatas tena	yaH bAlEH DarmANAm svaBAvaH grAhya-grAhaka-AdiH parikalpataH tena
   kalpitenātmanā teṣāṃ nairātmyaṃ na tv anabhilāpyenātmanā yo buddhānāṃ	kalpitena-AtmanA tezAm nErAtmyam na tu anaBilApyena-AtmanA yaH budDAnAm
   viṣaya iti | evaṃ vijñaptimātrasyāpi vijñaptyantaraparikalpitenātmanā	vizayaH iti | evam vijQaptimAtrasya-api vijQapti-antara-parikalpitena-AtmanA
   nairātmyapraveśāt vijñaptimātravyavasthāpanayā sarvadharmāṇāṃ	nErAtmya-praveSAt vijQaptimAtra-vyavasTApanayA sarva-DarmANAm
   nairātmyapraveśo bhavati na tu tadastitvāpavādāt | itarathā hi vijñapter	nErAtmya-praveSaH Bavati na tu tad-astitva-apavAdAt | itaraTAH hi vijQapteH-
   api vijñaptyantaram arthaḥ syād iti vijñaptimātratvaṃ na	api vijQapti-antaram arTaH syAt iti vijQaptimAtra-tvam na
   sidhyetārthavatītvād vijñaptīnāṃ ||	siDyeta-arTavatI-tvAt vijQaptInAm ||
   kathaṃ punar idaṃ pratyetavyam anenābhiprāyeṇa bhagavatā	kaTam punar idam pratyetavyam anena-aBiprAyeNa BagavatA
   rūpādyāyatanāstitvam uktaṃ na punaḥ santy eva tāni yāni rūpādivijñaptīnāṃ	rUpa-Adi-Ayatana-astitvam uktam na punar santi eva tAni yAni rUpa-Adi-vijQaptInAm
   pratyekaṃ viṣayībhavanti iti | yasmāt |	pratyekam vizayIBavanti iti | yasmAt |
   na tad ekaṃ na cānekaṃ viṣayaḥ paramāṇuśaḥ |	na tat ekam na ca-anekam vizayaH paramANuSaH |
   na ca te saṃhatā yasmāt paramāṇur na sidhyati || 11 ||	na ca te saMhatAH yasmAt paramANuH na siDyati || 11 ||
   iti | kim uktaṃ bhavati | yat tadrūpādikam āyatanaṃ rūpādivijñaptīnāṃ	iti | kim uktam Bavati | yat tad-rUpa-Adikam Ayatanam rUpa-Adi-vijQaptInAm
   pratyekaṃ viṣayaḥ syāt tad ekaṃ vā syād yathāvayavirūpaṃ kalpyate	pratyekam vizayaH syAt tat ekam vA syAt yaTA-avayavi-rUpam kalpyate
   vaiśeṣikaiḥ | anekaṃ vā paramāṇuśaḥ | saṃhatā vā ta eva paramāṇavaḥ | na	vESezikEH | anekam vA paramANuSaH | saMhatAH vA te eva paramANavaH | na
   tāvad ekaṃ viṣayo bhavaty avayavebhyo 'nyasyāvayavirūpasya kvacid apy	tAvat ekam vizayaH Bavati avayaveByaH anyasya-avayavi-rUpasya kvacid api-
   agrahaṇāt | nāpy anekaṃ paramāṇūnāṃ (Vvs_7) pratyekam agrahaṇāt | nāpi te	agrahaNAt | na-api anekam paramANUnAm (VvH-_7) pratyekam agrahaNAt | na-api te
   saṃhatā viṣayībhavanti | yasmāt paramāṇur ekaṃ dravyaṃ na sidhyati ||	saMhatAH vizayIBavanti | yasmAt paramANuH ekam dravyam na siDyati ||
   kathaṃ na sidhyati | yasmāt |	kaTam na siDyati | yasmAt |
   ṣaṭkena yugapad yogāt paramāṇoḥ ṣaḍaṃśatā |	zawkena yugapad yogAt paramANoH zaz-aMSa-tA |
   ṣaḍbhyo digbhyaḥ ṣaḍbhiḥ paramāṇubhir yugapad yoge sati paramāṇoḥ	zaxByaH digByaH zaxBiH paramANuBiH yugapad yoge sati paramANoH
   ṣaḍaṃśatā prāpnoti | ekasya yo deśas tatrānyasyāsaṃbhavāt |	zaz-aMSa-tA prApnoti | ekasya yaH deSaH tatra-anyasya-asaMBavAt |
   ṣaṇṇāṃ samānadeśatvāt piṇḍaḥ syād	zaNNAm samAna-deSa-tvAt piNxaH syAt-
   aṇumātrakaḥ || 12 ||	aNu-mAtrakaH || 12 ||
   atha ya evaikasya paramāṇor deśaḥ sa eva ṣaṇṇāṃ | tena sarveṣāṃ	aTa yaH eva-ekasya paramANoH deSaH saH eva zaNNAm | tena sarvezAm
   samānadeśatvāt sarvaḥ piṇḍaḥ paramāṇumātraḥ syāt parasparāvyatirekād iti	samAna-deSa-tvAt sarvaH piNxaH paramANu-mAtraH syAt paraspara-avyatirekAt iti
   na kaścit piṇḍo dṛśyaḥ syāt ||	na kaScid piNxaH dRSyaH syAt ||
   naiva hi paramāṇavaḥ saṃyujyante niravayavatvāt | mā bhūd eṣa	na-eva hi paramANavaH saMyujyante niravayava-tvAt | mA BUt eza
   doṣaprasaṅgaḥ | saṃhatās tu parasparaṃ saṃyujyanta iti kāśmīravaibhāṣikās	doza-prasaFgaH | saMhatAH tu parasparam saMyujyante iti kASmIra-vEBAzikAs
   ta idaṃ praṣṭavyāḥ | yaḥ paramāṇūnāṃ saṃghāto na sa tebhyo 'rthāntaram iti	te idam prazwavyAH | yaH paramANUnAm saMGAtaH na sa teByaH arTa-antaram iti
   paramāṇor asaṃyogāt tatsaṃghāte 'sti kasya saḥ |	paramANoH asaMyogAt tad-saMGAte asti kasya saH |
   saṃyoga iti vartate |	saMyogaH iti vartate |
   na cānavayavatvena tatsaṃyogo na sidhyati || 13 ||	na ca-anavayava-tvena tad-saMyogaH na siDyati || 13 ||
   atha saṃghātā apy anyonyaṃ na saṃyujyante | na tarhi paramāṇūnāṃ	aTa saMGAtAH api anyonyam na saMyujyante | na tarhi paramANUnAm
   niravayavatvāt saṃyogo na sidhyatīti vaktavyaṃ | sāvayavasyāpi hi	niravayava-tvAt saMyogaH na siDyati-iti vaktavyam | sAvayavasya-api hi
   saṃghātasya saṃyogānabhyupagamāt | tasmāt paramāṇur ekaṃ dravyaṃ na	saMGAtasya saMyoga-anaByupagamAt | tasmAt paramANuH ekam dravyam na
   sidhyati | yadi ca paramāṇoḥ saṃyoga iṣyate yadi vā neṣyate |	siDyati | yadi ca paramANoH saMyogaH izyate yadi vA na-izyate |
   digbhāgabhedī yasyāsti tasyaikatvaṃ na yujyate |	digBAga-BedI yasya-asti tasya-ekatvam na yujyate |
   anyo hi paramāṇoḥ pūrvadigbhāgo yāvad adhodigbhāga iti digbhāgabhede sati	anyaH hi paramANoH pUrva-diS-BAgaH yAvat aDas-diS-BAgaH iti diS-BAga-Bede sati
   kathaṃ tadātmakasya paramāṇor ekatvaṃ yokṣyate |	kaTam tad-Atmakasya paramANoH eka-tvam yokzyate |
   chāyāvṛtī katha vā	CAyA-AvRtI kaTa vA
   yady ekaikasya paramāṇor digbhāgabhedo na syād ādityodaye katham anyatra	yadi ekEkasya paramANoH diS-BAga-BedaH na syAt Aditya-udaye kaTam anyatra
   chāyā bhavaty anyatrātapaḥ | na hi tasyānyaḥ pradeśo 'sti yatrātapo na	CAyA Bavati anyatra-AtapaH | na hi tasya-anyaH pradeSaH asti yatra-AtapaH na
   syāt | āvaraṇaṃ ca kathaṃ bhavati paramāṇoḥ paramāṇvantareṇa yadi	syAt | AvaraNam ca kaTam Bavati paramANoH paramANu-antareNa yadi
   digbhāgabhedo neṣyate | na hi kaścid api paramāṇoḥ parabhāgo 'sti	diS-BAga-BedaH na-izyate | na hi kaScid api paramANoH para-BAgaH asti
   yatrāgamanād anyenānyasya pratighātaḥ syāt | asati ca pratighāte sarveṣāṃ	yatra-AgamanAt anyena-anyasya pratiGAtaH syAt | asati ca pratiGAte sarvezAm
   samānadeśatvāt sarvaḥ saṃghātaḥ (Vvs_8) paramāṇumātraḥ syād ity uktaṃ |	samAna-deSa-tvAt sarvaH saMGAtaH (VvH-_8) paramANu-mAtraH syAt iti uktam |
   kim evaṃ neṣyate piṇḍasya te chāyāvṛtī na paramāṇor iti | kiṃ khalu	kim evam na-izyate piNxasya te CAyA-AvRtI na paramANoH iti | kim Kalu
   paramāṇubhyo 'nyaḥ piṇḍa iṣyate yasya te syātāṃ | nety āha |	paramANuByaH anyaH piNxe izyate yasya te syAtAm | na-iti Aha |
   anyo na piṇḍaś cen na tasya te || 14 ||	anyaH na piNxaH ced na tasya te || 14 ||
   yadi nānyaḥ paramāṇubhyaḥ piṇḍa iṣyate na te tasyeti siddhaṃ bhavati |	yadi na-anyaH paramANuByaH piNxaH izyate na te tasya-iti sidDam Bavati |
   saṃniveśaparikalpa eṣaḥ paramāṇuḥ saṃghāta iti vā ||	saMniveSa-parikalpaH ezaH paramANuH saMGAtaH iti vA ||
   kim anayā cintayā lakṣaṇaṃ / tu rūpādi yadi na pratiṣidhyate | kiṃ punas	kim anayA cintayA lakzaNam / tu rUpa-Adi yadi na pratiziDyate | kim punar-
   teṣāṃ lakṣaṇaṃ | cakṣurādiviṣayatvaṃ nīlāditvaṃ ca | tad evedaṃ	tezAm lakzaNam | cakzuH-Adi-vizaya-tvam nIla-Adi-tvam ca | tat eva-idam
   saṃpradhāryate | yat tac cakṣurādīnāṃ viṣayo nīlapītādikam iṣyate kiṃ tad	saMpraDAryate | yat tat cakzuH-AdInAm vizayaH nIla-pIta-Adikam izyate kim tat-
   ekaṃ dravyam atha vā tad anekam iti | kiṃ cātaḥ | anekatve doṣa uktaṃ |	ekam dravyam aTa vA tat anekam iti | kim ca-atas | aneka-tve dozaH uktam |
   ekatve na krameṇetir yugapan na grahāgrahau |	eka-tve na krameNa-itiH yugapad na graha-AgrahO |
   vicchinnānekavṛttiś ca sūkṣmānīkṣā ca no bhavet || 15 ||	vicCinna-aneka-vRttiH ca sUkzma-anIkzA ca naH Bavet || 15 ||
   yadi yāvad vicchinnaṃ nānekaṃ cakṣuṣo viṣayas tad ekaṃ dravyaṃ kalpyate	yadi yAvat vicCinnam na-anekam cakzuzaH vizayaH tat ekam dravyam kalpyate
   pṛthivyāṃ krameṇetir na syād gamanam ity arthaḥ | sakṛtpādakṣepeṇa	pRTivyAm krameNa-itiH na syAt gamanam iti arTaH | sakRt-pAda-kzepeNa
   sarvasya gatatvāt | arvāgbhāgasya ca grahaṇaṃ parabhāgasya cāgrahaṇaṃ	sarvasya gata-tvAt | arvAc-BAgasya ca grahaNam para-BAgasya ca-agrahaNam
   yugapan na syāt | na hi tasyaiva tadānīṃ grahaṇaṃ cāgrahaṇaṃ ca yuktam |	yugapad na syAt | na hi tasya-eva tadAnIm grahaNam ca-agrahaNam ca yuktam |
   vicchinnasya cānekasya hastyaśvādikasyaikatra vṛttir na syād yatraiva hy	vicCinnasya ca-anekasya hasti-aSva-Adikasya-ekatra vRttiH na syAt yatra-eva hi-
   ekaṃ tatraivāparam iti kathaṃ tayor viccheda iṣyate | kathaṃ vā tad ekaṃ	ekam tatra-eva-aparam iti kaTam tayoH vicCedaH izyate | kaTam vA tat ekam
   yat prāptaṃ ca tābhyāṃ na ca prāptam antarāle tac chūnyagrahaṇāt |	yat prAptam ca tAByAm na ca prAptam antarAle tat SUnya-grahaNAt |
   sūkṣmāṇāṃ caudakajantūnāṃ sthūlaiḥ samānarūpāṇām anīkṣaṇaṃ na syād | yadi	sUkzmANAm ca-Odaka-jantUnAm sTUlEH samAna-rUpANAm anIkzaNam na syAt | yadi
   lakṣaṇabhedād eva dravyāntaratvaṃ kalpyate nānyathā | tasmād avaśyaṃ	lakzaNa-BedAt eva dravya-antara-tvam kalpyate na-anyaTA | tasmAt avaSyam
