   Pariccheda 2	Pari=-CedaH 2
   saho1ktiḥ pari-vṛttyā3-śiḥ- $ saṃ-kīrṇam atha bhāvikam &	sahaH-1ktiH pari-vRtti-A3-SiH $ saM-kIrNam aTa BAvikam &
   iti vācām alaṃ-kārā % darśitāḥ pūrva-sūribhiḥ // 2.7 //	iti vAcAm alaM-kArAH % darSitAH pUrva-sUriBiH // 2.7 //
   [svabhāvokti (= svabhāvākhyāna = jāti)]	[svaBAva-ukti ( svaBAva-AKyAnaH  jAti)]
   nānā2va-sthaṃ padā1rthānāṃ $ rūpaṃ sā1kṣād vi-vṛṇvatī &	nAnA-2va--sTam padA1rTAnAm $ rUpam sA1kzAt vi-vRNvatI &
   sva-bhāvo1ktiś ca jātiś ce7ty % ādyā sā9laṃ-kṛtir yathā // 2.8 //	sva-BAvaH-1ktiH ca jAtiH ca-i7ti % AdyA sa-a9lan-kRtiH yaTA // 2.8 //
   [svabhāvokti: jāti]	[svaBAva-ukti: jAti]
   tuṇḍair ā-tāmra-kuṭilaiḥ $ pakṣair harita-komalaiḥ &	tuNxEH A-tAmra--kuwilEH $ pakzEH harita--komalEH &
   tri-varṇa-rājibhiḥ kaṇṭhair % ete mañju-giraḥ śukāḥ // 2.9 //	tri-varNa-rAjiBiH kaNWEH % ete maQju--giraH SukAH // 2.9 //
   [- svabhāvokti: kriyā]	[ svaBAva-ukti: kriyA]
   kala-kvaṇita-garbheṇa $ kaṇṭhenā8-ghūrṇite3kṣaṇaḥ &	kala--kvaNita--garBeNa $ kaNWena-a8-GUrNite3kzaNaH &
   pārāvataḥ pari-bhramya % riraṃsuś cumbati priyām // 2.10 //	pArAvataH pari-Bramya % riraMsuH cumbati priyAm // 2.10 //
   [- svabhāvokti: guṇa]	[ svaBAva-ukti: guNa]
   badhnann aṅgeṣu romā1ñcam $ kurvan manasi nir-vṛtim &	baDnan aFgezu roma-A1Qcam $ kurvan manasi nir-vRtim &
   netre cā8-mīlayann eṣa % priyā-sparśaḥ pra-vartate // 2.11 //	netre ca-a8-mIlayan ezaH % priyA--sparSaH pra-vartate // 2.11 //
   [- svabhāvokti: dravya]	[ svaBAva-ukti: dravya]
   kaṇṭhe-kālaḥ kara-sthena $ kapālene7ndu-śekharaḥ &	kaNWe--kAlaH kara--sTena $ kapAlena-i7ndu-SeKaraH &
   jaṭābhiḥ snigdha-tāmrābhir % āvir-āsīd vṛṣa-dhvajaḥ // 2.12 //	jawABiH snigDa--tAmrABiH % Avir-A-AsIt vRza-DvajaH // 2.12 //
   jāti-kriyā-guṇa-dravya- $ sva-bhāvā3khyānam īdṛśam &	jAti-kriyA--guNa--dravya $ sva-BAvA3-KyAnam IdRSam &
   śāstreṣv asyai8va sām-rājyaṃ % kāvyeṣv apy etad īpsitam // 2.13 //	SAstrezu asya-e8va sAm-rAjyam % kAvyezu api etat Ipsitam // 2.13 //
   [upamā]	[upamA]
   yathā kathaṃ-cid sā-dṛśyaṃ $ yatro7d-bhūtaṃ pratī1yate &	yaTA kaTaM-cit sA-dRSyam $ yatra-u7d--BUtam pratI1yate &
   upa-mā nāma sā tasyāḥ % pra-pañco 'yaṃ ni-darśyate // 2.14 //	upa-mA nAma sA tasyAH % pra-paQcaH ayam ni-darSyate // 2.14 //
   [- dharmopamā]	[ Darma-upamA]
   ambho-ruham ivā8-tāmraṃ $ mugdhe kara-talaṃ tava &	amBo-ruham iva-a8-tAmram $ mugDe kara-talam tava &
   iti dharmo1pa-mā sā1kṣāt % tulya-dharma-pra-darśanāt // 2.15 //	iti DarmaH-1pa-mA sA1kzAt % tulya--Darma--pra-darSanAt // 2.15 //
   [- vastūpamā]	[ vastu-upamA]
   rājīvam iva te vaktraṃ $ netre nīlo1tpale iva &	rAjIvam iva te vaktram $ netre nIlo1tpale iva &
   iyaṃ pratī1yamānai3ka- % dharmā vastū1pa-mai0va sā // 2.16 //	iyam pratI1yamAnE3ka % DarmAH vastu-u1pa-mA-e0va sA // 2.16 //
   [- viparyāsopamā]	[ viparyAsa-upamA]
   tavā8nanam ivo7n-nidram $ aravindam abhūd iti &	tava-a8nanam iva-u7n-nidram $ aravindam aBUt iti &
   sā pra-siddhi-vi-pary-āsād % vi-pary-āso3pa-me9ṣyate // 2.17 //	sA pra-sidDi--vi-pary-AsAt % vi-pary-Asa-u3pa-me9zyate // 2.17 //
   [- anyo'nyopamā]	[ anyaH-anya-upamA]
   tavā8nanam ivā7mbho-jam $ ambo-jam iva te mukham &	tava-A8nanam iva-a7mBaH--jam $ ambo-jam iva te muKam &
   ity anyo'nyo1pa-mā sā9yam % anyo-'nyo1t-karṣa-śaṃsinī // 2.18 //	iti anyaH-anyaH-1pa-mA sA9yam % anyo--anyo1t--karza--SaMsinI // 2.18 //
   [- niyamopamā]	[ niyama-upamA]
   tvan-mukhaṃ kamalenai8va $ tulyaṃ nā7nyena kena-cit &	tvan-muKam kamalena-e8va $ tulyam na-a7nyena kena-cid &
   ity anya-sāmya-vy-ā-vṛtter % iyaṃ sā ni-yamo3pa-mā // 2.19 //	iti anya--sAmya--vy-A--vRtteH % iyam sA ni-yamaH-3pa-mA // 2.19 //
   [- aniyamopamā]	[ aniyama-upamA]
   padmaṃ tāvat tavā7nv-eti $ mukham anyac ca tā-dṛśam &	padmam tAvat tava-a7nv-A-iti $ muKam anyat ca tA-dRSam &
   asti ced astu tat-kārī9ty % asāv a-ni-yamo1pa-mā // 2.20 //	asti ced astu tat-kArI9ti % asO a-ni-yamaH-1pa-mA // 2.20 //
   [- samuccayopamā]	[ samuccaya-upamA]
   sam-uc-cayo1pa-mā9py asti $ na kāntyai0va mukhaṃ tava &	sam-uc-cayaH-1pa-mA-a9pi asti $ na kAntyA-e0va muKam tava &
   hlādanā3-khyena cā7nv-eti % karmaṇe9ndum itī8-dṛśī // 2.21 //	hlAdana-A3-Kyena ca-a7nv-A-iti % karmaNA-i9ndum itI8-dRSI // 2.21 //
   [- atiśayopamā]	[ atiSaya-upamA]
   tvayy eva tvan-mukhaṃ dṛṣṭaṃ $ dṛśyate divi candramāḥ &	tvayi eva tvan-muKam dRzwam $ dRSyate divi candramAH &
   iyaty eva bhidā nā7nye9ty % asāv ati-śayo1pa-mā // 2.22 //	iyati eva BidA na-a7nye9ti % asO ati-SayaH-1pa-mA // 2.22 //
   [- utprekṣitopamā]	[ utprekzita-upamA]
   mayy evā7syā mukha-śrīr ity $ alam indor vi-katthanaiḥ &	mayi eva-a7syAH muKa--SrIH iti $ alam indoH vi-katTanEH &
   padme 'pi sā yad asty eve7ty % asāv ut-pre3kṣito1pa-mā // 2.23 //	padme api sA yat asti eva-i7ti % asO ut--pre3kzitaH-1pa-mA // 2.23 //
   [- adbhutopamā]	[ adButa-upamA]
   yadi kiṃ-cid bhavet padmaṃ $ su-bhru vi-bhrānta-locanam &	yadi kiM-cid Bavet padmam $ su-Bru vi-Bra-anta--locanam &
   tat te mukha-śriyaṃ dhattām % ity asāv adbhuto1pa-mā // 2.24 //	tat te muKa--Sriyam DattAm % iti asO adButaH-1pa-mA // 2.24 //
   [- mohopamā]	[ moha-upamA]
   śaśī9ty ut-pre3kṣya tanv-aṅgi $ tvan-mukhaṃ tvan-mukhā3-śayā &	SaSI9ti ut-pre3kzya tanu--aFgi $ tvan-muKam tvan-muKa-a3-SayA &
   indum apy anu-dhāvāmī7ty % eṣā moho1pa-mā smṛtā // 2.25 //	indum api anu-DAvAmI7ti % ezA mohaH-1pa-mA smRtAH // 2.25 //
   [- saṃśayopamā]	[ saMSaya-upamA]
   kiṃ padmam antar-bhrāntā1li $ kiṃ te lole3kṣaṇaṃ mukham &	kim padmam antar-BrAnta-a1li $ kim te lole3kzaNam muKam &
   mama dolāyate cittam % itī7yaṃ saṃ-śayo1pa-mā // 2.26 //	mama dolAyate cittam % iti-i7yam saM-SayaH-1pa-mA // 2.26 //
   [- nirṇayopamā]	[ nirNaya-upamA]
   na padmasye7ndu-ni-grāhyasy- $ -e7ndu-lajjā-karī dyutiḥ &	na padmasya-i7ndu--ni-grAhyasy $ -e7ndu-lajjA-karI dyutiH &
   atas tvan-mukham eve7dam % ity asau nir-ṇayo1pa-mā // 2.27 //	atas tvan-muKam eva-i7dam % iti asO nir-NayaH-1pa-mA // 2.27 //
   [- śleṣopamā]	[ Sleza-upamA]
   śiśirā1ṃśu-prati-spardhi $ śrī-mat su-rabhi-gandhi ca &	SiSira-a1MSu--prati-sparDi $ SrI-mat su-raBi--ganDi ca &
   ambho-jam iva te vaktram % iti śleṣo1pa-mā smṛtā // 2.28 //	amBo-jam iva te vaktram % iti SlezaH-1pa-mA smRtAH // 2.28 //
   [- samānopamā]	[ samAna-upamA]
   sa-rūpa-śabda-vācya-tvāt $ sā samāno1pa-mā yathā &	sa--rUpa--Sabda--vAcya--tvAt $ sA samAnaH-1pa-mA yaTA &
   bāle9vo7d-yāna-māle9yaṃ % sā(1)la(-)kā(3)nana-śobhinī // 2.29 //	bAle9vo7d-yAna--mAle9yam % sa-a(1)la-(-)kA(3)nana--SoBinI // 2.29 //
   [- nindo2pamā]	[ nindo2pamA]
   padmaṃ bahu-rajaś candraḥ $ kṣayī tābhyāṃ tavā8nanam &	padmam bahu-rajaH candraH $ kzayI tAByAm tava-a8nanam &
   samānam api so1t-sekam % iti nindo2pa-mā smṛtā // 2.30 //	samAnam api so1t-sekam % iti nindo2pa-mA smRtAH // 2.30 //
   [- praśaṃsopamā]	[ praSaMsA-upamA]
   brahmaṇo 'py ud-bhavaḥ padmaṃ $ candraḥ śaṃbhu-śiro-dhṛtaḥ &	brahmaNaH api ud-BavaH padmam $ candraH SaMBu--Siro--DRtaH &
   tau tulyau tvan-mukhene7ti % sā pra-śaṃso1pa-mo9cyate // 2.31 //	tO tulyO tvan-muKena-i7ti % sA pra-SaMsaH-1pa-maH-9cyate // 2.31 //
   [- ācikhyāso1pamā]	[ AciKya-Asa-u1pamA]
   candreṇa tvan-mukhaṃ tulyam $ ity ā-cikhyāsu me manaḥ &	candreNa tvan-muKam tulyam $ iti A-ciKyAsu me manaH &
   sa guṇo vā9stu doṣo ve9ty % ā-cikhyāso1pa-māṃ viduḥ // 2.32 //	sa guNaH vA9H-tu dozaH ve9ti % A-ciKyAsa-u1pa-mAm viduH // 2.32 //
   [- virodhopamā]	[ viroDa-upamA]
   śata-pattraṃ śarac-candras $ tvad-ānanam iti trayam &	Sata-pattram Sara-c-candraH $ tvad--Ananam iti trayam &
   paras-para-vi-rodhī7ti % sā vi-rodho1pa-mā matā // 2.33 //	paras-para-vi-roDI7ti % sA vi-roDaH-1pa-mA matA // 2.33 //
   [- pratiṣedhopamā]	[ pratizeDa-upamA]
   na jātu śaktir indos te $ mukhena prati-garjitum &	na jAtu SaktiH indoH te $ muKena prati-garjitum &
   kalaṅkino jaḍasye7ti % prati-ṣedho1pa-mai0va sā // 2.34 //	kalaFkinaH jaxasya-i7ti % prati-zeDa-u1pa-mA-e0va sA // 2.34 //
   [- caṭūpamā]	[ cawUpamA]
   mṛge3kṣaṇā1ṅkaṃ te vaktram $ mṛgeṇai8vā7ṅkitaḥ śaśī &	mRge3kzaNa-a1Fkam te vaktram $ mRgeNa-e8va-a7FkitaH SaSI &
   tathā9pi sama evā7sau % no7t-karṣī9ti caṭū1pa-mā // 2.35 //	taTA-a9pi samaH eva-a7sO % no7t-kaRzI9ti cawU1pa-mA // 2.35 //
   [- tattvākhyānopamā]	[ tattva-AKyAna-upamA]
   na padmaṃ mukham eve7daṃ $ na bhṛṅgau cakṣuṣī ime &	na padmam muKam eva-i7dam $ na BRFgO cakzuzI ime &
   iti vi-spaṣṭa-sā-dṛśyāt % tat-tvā3khyāno1pa-mai0va sā // 2.36 //	iti vi-spazwa--sA-dRSyAt % tat-tvA3-KyAnaH-1pa-mA-e0va sA // 2.36 //
   [- asādhāraṇopamā]	[ asADAraNa-upamA]
   candrā1ravindayoḥ kāntim $ ati-kramya mukhaṃ tava &	candrA1ravindayoH kAntim $ ati-kramya muKam tava &
   ātmanai0vā7bhavat tulyam % ity a-sā3-dhāraṇo1pa-mā // 2.37 //	AtmanE0vA7-Bavat tulyam % iti a-sA3-DAraNaH-1pa-mA // 2.37 //
   [- abhūtopamā]	[ aBUta-upamA]
   sarva-padma-pra-bhā-sāraḥ $ sam-ā-hṛta iva kva-cit &	sarva-padma--pra-BA--sAraH $ sam-A--hRtaH iva kva-cid &
   tvad-ānanaṃ vi-bhātī1ti % tām a-bhūto1pa-māṃ viduḥ // 2.38 //	tvad--Ananam vi-BAti-i1ti % tAm a-BUtaH-1pa-mAm viduH // 2.38 //
   [- asaṃbhāvitopamā]	[ asaMBAvita-upamA]
   candra-bimbād iva viṣaṃ $ candanād iva pāvakaḥ &	candra--bimbAt iva vizam $ candanAt iva pAvakaH &
   paruṣā vāg ito vaktrād % ity a-saṃ-bhāvito1pa-mā // 2.39 //	paruzA vAc itas vaktrAt % iti a-saM-BAvita-u1pa-mA // 2.39 //
   [- bahūpamā]	[ bahu-upamA]
   candano1daka-candrā1ṃśu- $ candra-kāntā3di-śītalaḥ &	candana-u1daka-candra-a1MSu $ candra-kAntA3di-SI-talaH &
   sparśas tave7ty ati-śayaṃ % bodhayantī bahū1pa-mā // 2.40 //	sparSaH tava-i7ti ati-Sayam % boDayantI bahU1pa-mA // 2.40 //
   [- vikriyopamā]	[ vikriyA-upamA]
   candra-bimbād ivo7t-kīrṇaṃ $ padma-garbhād ivo7d-dhṛtam &	candra--bimbAt iva-u7t-kIrNam $ padma-garBAt iva-u7d-DRtam &
   tava tanv-aṅgi vadanam % ity asau vi-kriyo2pa-mā // 2.41 //	tava tanu--aFgi vadanam % iti asO vi-kriyaH-2pa-mA // 2.41 //
   [- mālopamā]	[ mAlA-upamA]
   pūṣṇy ā-tapa ivā7hnī7va $ pūṣā vyomnī7va vāsaraḥ &	pUzNi A-tapaH iva-a7hnI7-va $ pUzA vyomnI7va vAsaraH &
   vi-kramas tvayy adhāl lakṣmīm % iti mālo2pa-mā matā // 2.42 //	vi-kramaH tvayi aDAt lakzmIm % iti mAlo2pa-mA matA // 2.42 //
   [- vākyārthopamā; zwei Arten]	[ vAkya-arTa-upamA; zwei Arten]
   vākyā1rtheṇai8va vākyā1rthaḥ $ ko 'pi yady upa-mīyate &	vAkya-A1rTeNa-e8va vAkya-a1rTaH $ kaH api yadi upa-mIyate &
   ekā1n-eke1va-śabda-tvāt % sā vākyā1rtho1pa-mā dvi-dhā // 2.43 //	ekA1n--eke1va--Sabda-tvAt % sA vAkya-a1rTaH-1pa-mA dvi-DA // 2.43 //
   [- (1.) vākyārthopamā mit einem iva]	[ (1.) vAkya-arTa-upamA mid einem iva]
   tvad-ānanam a-dhīrā1kṣam $ āvir-daśana-dīdhiti &	tvad--Ananam a-DIra-a1kzam $ Avir-daSana--dIDiti &
   bhramad-bhṛṅgam ivā7-lakṣya- % kesaraṃ bhāti paṅka-jam // 2.44 //	Bramat---BRFgam iva-a7-lakzya % kesaram BAti paFka-jam // 2.44 //
   [- (2.) vākyārthopamā mit mehreren iva]	[ (2.) vAkya-arTa-upamA mid mehreret iva]
   nalinyā iva tanv-aṅgyās $ tasyāḥ padmam ivā8nanam &	nalinyAH iva tanu--aFgyAH $ tasyAH padmam iva-a8nanam &
   mayā madhu-vratene7va % pāyaṃ pāyam aramyata // 2.45 //	mayA maDu-vratena-i7va % pAyam pAyam aramyate // 2.45 //
   [- prativastūpamā]	[ prativastu-upamA]
   vastu kiṃ-cid upa-ny-asya $ ny-asanāt tat-sa-dharmaṇaḥ &	vastu kiM-cid upa-ny-asya $ ny-asanAt tat-sa-DarmaNaH &
   sāmya-pratī1tir astī7ti % prati-vastū1pa-mā yathā // 2.46 //	sAmya--pratI1tiH asti-i7ti % prati-vastU1pa-mA yaTA // 2.46 //
   nai8ko 'pi tvā-dṛśo 'dyā7pi $ jāyamāneṣu rājasu &	nE8kaH api tvA-dRSaH adya-a7pi $ jAyamAnezu rAjasu &
   nanu dvitīyo nā7sty eva % pāri-jātasya pāda-paḥ // 2.47 //	nanu dvitIyaH na-a7sti eva % pAri-jAtasya pAda-paH // 2.47 //
   [- tulyayogopamā]	[ tulya-yoga-upamA]
   adhikena samī-kṛtya $ hīnam eka-kriyā-vidhau &	aDikena samI-kRtya $ hInam eka-kriyA-viDO &
   yad bruvanti smṛtā se8yaṃ % tulya-yogo1pa-mā yathā // 2.48 //	yat bruvanti smRtA se8yam % tulya--yogaH-1pa-mA yaTA // 2.48 //
   divo jāgarti rakṣāyai $ pulomā1rir bhuvo bhavān &	divaH jAgarti rakzAyE $ pulomA1riH BuvaH BavAn &
   asurās tena hanyante % sā1va-lepās tvayā nṛ-pāḥ // 2.49 //	asurAH tena hanyante % sa-a1va--lepAH tvayA nR-pAH // 2.49 //
   [- hetūpamā]	[ hetu-upamA]
   kāntyā candramasaṃ dhāmnā $ sūryaṃ dhairyeṇa cā7rṇavam &	kAntyA candramasam DAmnA $ sUryam DEryeNa ca-A7rNavam &
   rājann anu-karoṣī7ti % sai0ṣā hetū1pa-mā matā // 2.50 //	rAjan anu-karozI7ti % sE0zA hetU1-pa-mA matA // 2.50 //
   na liṅga-vacane bhinne $ na hīnā1dhika-tā9pi vā &	na liFga-vacane Binne $ na hIna-a1Dika-tA9pi vA &
   upa-mā-dūṣanāyā7laṃ % yatro7d-vego na dhīmatām // 2.51 //	upa-mA-dUzanAya-a7lam % yatra-u7d--vegaH na DImatAm // 2.51 //
   strī9va gacchati ṣaṇḍho 'yaṃ $ vakty eṣā strī pumān iva &	strI9va gacCati zaNXaH ayam $ vakti ezA strI pumAn iva &
   prāṇā iva priyo 'yam me % vidyā dhanam ivā7rjitam // 2.52 //	prANAH iva priyaH ayam me % vidyA Danam iva-a7rjitam // 2.52 //
   bhavān iva mahī-pāla $ deva-rājo vi-rājate &	BavAn iva mahI--pAla $ deva-rAjaH vi-rAjate &
   alam aṃśu-mataḥ kakṣām % ā-roḍhuṃ tejasā nṛ-paḥ // 2.53 //	alam aMSu-mataH kakzAm % A-roXum tejasA nR-paH // 2.53 //
   ity evam ādau sau-bhāgyaṃ $ na jahāty eva jātu-cit &	iti evam AdO sO-BAgyam $ na jahAti eva jAtu-cit &
   asty eva kva-cid ud-vegaḥ % pra-yoge vāg-vidāṃ yathā // 2.54 //	asti eva kva-cid ud--vegaH % pra-yoge vAc--vidAm yaTA // 2.54 //
   haṃsī9va dhavalaś candraḥ $ sarāṃsī7vā7-malaṃ nabhaḥ &	haMsI9va DavalaH candraH $ sarAMsI7-vA7--malam naBaH &
   bhartṛ-bhakto bhaṭaḥ śve9va % kha-dyoto bhāti bhānu-vat // 2.55 //	BartR-BaktaH BawaH Sve9va % Ka-dyotaH BAti BAnu-vat // 2.55 //
   īdṛśaṃ varjyate sadbhiḥ $ kāraṇaṃ tatra cintyatām &	IdRSam varjyate sadBiH $ kAraNam tatra cintyatAm &
   guṇa-doṣa-vi-cārāya % svayam eva manīṣibhiḥ // 2.56 //	guNa--doza--vi-cArAya % svayam eva manIziBiH // 2.56 //
   iva-vad-vā-yathā-śabdāḥ $ samāna-nibha-saṃ-nibhāḥ &	iva-vat--vA-yaTA--SabdAH $ samAna--niBa--saM-niBAH &
   tulya-saṃ-kāśa-ni-kāśa- % pra-kāśa-prati-rūpakāḥ // 2.57 //	tulya--saM-kASa--ni-kASa % pra-kASa--prati-rUpakAH // 2.57 //
   prati-pakṣa-prati-dvaṃdvi- $ praty-anīka-vi-rodhinaḥ &	prati-pakza--prati-dvaMdvi $ praty-anIka-vi-roDinaH &
   sa-dṛk-sa-dṛśa-saṃ-vādi- % sa-jātīyā1nu-vādinaḥ // 2.58 //	sa-dRk--sa-dRSa--saM-vAdi % sa-jAtIyA1nu-vAdinaH // 2.58 //
   prati-bimba-prati-cchanda- $ sa-rūpa-sama-saṃ-mitāḥ &	prati-bimba--prati-cCanda $ sa--rUpa-sama--saM-mitAH &
   sa-lakṣaṇa-sa-dṛkṣā3-bha- % sa-pakṣo1pa-mito1pa-māḥ // 2.59 //	sa-lakzaNa--sa-dRkzA-3-Ba % sa-pakza-u1pa-mita-u1pa-mAH // 2.59 //
   kalpa-deśīya-deśy-ādiḥ $ pra-khya-prati-nidhī api &	kalpa-deSIya-deSy-AdiH $ pra-Kya--prati-niDI api &
   sa-varṇa-tulatau śabdau % ye cā7-nyūnā1rtha-vādinaḥ // 2.60 //	sa-varNa--tulatO SabdO % ye ca-a7-nyUna-a1rTa-vAdinaH // 2.60 //
   sam-āsaś ca bahu-vrīhiḥ $ śaśā1ṅka-vadanā3diṣu &	sam-AsaH ca bahu-vrIhiH $ SaSA1Fka-vat-anA3dizu &
   spardhate jayati dveṣṭi % druhyati prati-garjati // 2.61 //	sparDate jayati dvezwi % druhyati prati-garjati // 2.61 //
   ā-krośaty ava-jānāti $ kad-arthayati nindati &	A-kroSati ava-jAnAti $ kad-arTayati nindati &
   vi-ḍambayati saṃ-dhatte % hasatī8rṣyaty asūyati // 2.62 //	vi-xambayati saM-Datte % hasati-I8rzyati asUyati // 2.62 //
   tasya muṣṇāti sau-bhāgyaṃ $ tasya kāntiṃ vi-lumpati &	tasya muzNAti sO-BAgyam $ tasya kAntim vi-lumpati &
   tena sā1rdhaṃ vi-gṛhṇāti % tulāṃ tenā7dhi-rohati // 2.63 //	tena sA1rDam vi-gRhNAti % tulAm tena-a7Di-rohati // 2.63 //
   tat-pada-vyām padaṃ dhatte $ tasya kakṣāṃ vi-gāhate &	tat-pada-vyAm padam Datte $ tasya kakzAm vi-gAhate &
   tam anv-ety anu-badhnāti % tac-chīlaṃ tan-ni-ṣedhati // 2.64 //	tam anv-A-iti anu-baDnAti % tac-SIlam tan--ni-zeDati // 2.64 //
   tasya cā7nu-karotī7ti $ śabdāḥ sā-dṛśyam ūcakāḥ &	tasya ca-a7nu-karotI7ti $ SabdAH sA-dRSyam UcakAH &
   upa-māyām ime pro1ktāḥ % kavīnāṃ buddhi-saukhya-dāḥ // 2.65 //	upa-mAyAm ime pro1ktAH % kavInAm budDi--sOKya--dAH // 2.65 //
   [rūpaka]	[rUpaka]
   [- samastarūpaka]	[ samasta-rUpaka]
   upamai0va tiro-bhūta- $ bhedā rūpakam ucyate &	upamA-e0va tiro-BUta $ BedAH rUpakam ucyate &
   yathā bāhu-latā pāṇi- % padmaṃ caraṇa-pallavaḥ // 2.66 //	yaTA bAhu-latA pANi % padmam caraNa-pallavaH // 2.66 //
   [- asamastarūpaka]	[ asamasta-rUpaka]
   aṅgulyaḥ pallavāny āsan $ kusumāni nakhā1rciṣaḥ &	aFgulyaH pallavAni Asan $ kusumAni naKA1rcizaH &
   bāhū late vasanta-śrīs % tvaṃ naḥ praty-akṣa-cāriṇī // 2.67 //	bAhU late vasanta--SrIH % tvam naH praty-akza--cAriNI // 2.67 //
   [- samastavyastarūpaka]	[ samasta-vyasta-rUpaka]
   ity etad a-sam-astā3-khyaṃ $ sam-astaṃ pūrva-rūpakam &	iti etat a-sam-aH-tA3-Kyam $ sam-astam pUrva-rUpakam &
   smitaṃ mukhe1ndor jyotsne9ti % sam-asta-vy-asta-rūpakam // 2.68 //	smitam muKe1ndoH jyotsne9ti % sam-asta--vy-asta-rUpakam // 2.68 //
   [- sakalarūpaka]	[ sakala-rUpaka]
   tāmrā1ṅguli-dala-śreṇi $ nakha-dīdhiti-kesaram &	tAmra-a1Fguli-dala--SreNi $ naKa-dIDiti--kesaram &
   dhriyate mūrdhni bhū-pālair % bhavac-caraṇa-paṅka-jam // 2.69 //	Driyate mUrDni BU-pAlEH % Bavac--caraNa--paFka-jam // 2.69 //
   aṅguly-ādau dalā3di-tvaṃ $ pāde cā8-ropya padma-tām &	aFguli--AdO dalA3di-tvam $ pAde ca-a8-ropya padma--tAm &
   tad-yogya-sthāna-vi-ny-āsād % etat sakala-rūpakam // 2.70 //	tad--yogya--sTAna--vi-nI--AsAt % etat sakala--rUpakam // 2.70 //
   [- avayavarūpaka]	[ avayava-rUpaka]
   akasmād eva te caṇḍi $ sphuritā1dhara-pallavam &	akasmAt eva te caNxi $ sPuritA1-Dara--pallavam &
   mukhaṃ muktā-ruco dhatte % gharmā1mbhaḥ-kaṇa-mañjarīḥ // 2.71 //	muKam muktA--rucaH Datte % Garma-a1mBaH--kaNa--maQjarIH // 2.71 //
   mañjarī-kṛtya gharmā1mbhaḥ $ pallavī-kṛtya cā7dharam &	maQjarI-kRtya Garma-a1mBaH $ pallavI-kRtya ca-a7Daram &
   nā7nyathā kṛtam atrā8syam % ato 'va-yava-rūpakam // 2.72 //	na-a7nyaTA kRtam atra-a8syam % atas ava-yava--rUpakam // 2.72 //
   [- avayavirūpakam]	[ avayavi-rUpakam]
   valgita-bhru galad-gharma- $ jalam ā-lohite3kṣaṇam &	valgita--Bru galad-Garma $ jalam A-lohite3kzaNam &
   vi-vṛṇāti (!) madā1va-sthām % idam vadana-paṅka-jam // 2.73 //	vi-vRNAti (!) mada-a1va--sTAm % idam vadana--paFka-jam // 2.73 //
   a-vi-kṛtya mukhā1ṅgāni $ mukham evā7ravinda-tām &	a-vi-kRtya muKa-a1FgAni $ muKam eva-a7ravinda-tAm &
   āsīd gamitam atre7dam % ato 'va-yavi-rūpakam // 2.74 //	AsIt gamitam atra-i7dam % atas ava-ya-vi-rUpakam // 2.74 //
   [- ekāṅgarūpaka]	[ eka-aFga-rUpaka]
   mada-pāṭala-gaṇḍena $ rakta-netro1t-palena te &	mada-pAwala--gaNxena $ rakta-netra-u1t--palena te &
