   śrīdevy uvāca |=20	SrI-devI uvAca |=20
   praharadvayamātreṇa vyomastho jāyate smaran || 14 ||	prahara-dvaya-mAtreNa vyoma-sTaH jAyate smaran || 14 ||
   trayeṇa mātaraḥ sarvā yogesvaryo mahābalāḥ |	trayeNa mAtaraH sarvAH yogesvaryaH mahA-balAH |
   vīrā vīresvarāḥ siddhā balavān śākinīgaṇaḥ || 15 ||	vIrAH vIresvarAH sidDAH balavAn SAkinI-gaNaH || 15 ||
   āgatya samayaṃ dattvā bhairaveṇa pracoditāḥ |	Agatya samayam dattvA BEraveNa pracoditAH |
   yacchanti paramāṃ siddhiṃ phalaṃ yad vā samīhitam || 16 ||	yacCanti paramAm sidDim Palam yat vA samIhitam || 16 ||
   anena siddhāḥ setsyanti sādhayanti ca mantriṇaḥ || 17 ||	anena sidDAH setsyanti sADayanti ca mantriNaH || 17 ||
   yatkiṃcid bhairave tantre sarvam asmāt prasidhyati |	yat-kiMcid BErave tantre sarvam asmAt prasiDyati |
   mantravīryasamāveśaprabhāvān na niyantriṇā || 18 ||	mantra-vIrya-samAveSa-praBAvAt na niyantriNA || 18 ||
   adṛṣṭama.ṅdalo 'py evam yaḥ kaścid vetti tattvataḥ |	adRzwam-a.FdalaH api evam yaH kaScid vetti tattvataH |
   sa siddhibhāg bhaven nityaṃ sa yogī sa ca dīkṣītaḥ || 19 ||	sa sidDi-BAj Bavet nityam sa yogI sa ca dIkzItaH || 19 ||
   anena jñātamātreṇa jñāyate sarvaśaktibhiḥ |	anena jQAta-mAtreNa jQAyate sarva-SaktiBiH |
   śākinīkulasāmānyo bhaved yogaṃ vināpi hi || 20 ||	SAkinI-kula-sAmAnyaH Bavet yogam vinA-api hi || 20 ||
   avidhijño vidhānajño jāyate yajanaṃ prati |	aviDi-jQaH viDAna-jQaH jAyate yajanam prati |
   kālāgnim āditaḥ kṛtvā māyāntam brahmadehagam || 21 ||	kAlAgnim Aditas kRtvA mAyA-antam brahma-deha-gam || 21 ||
   śivo viśvadyanantāntaḥ paraṃ śaktitrayaṃ matam |	SivaH viSvadyananta-antar param Sakti-trayam matam |
   tadantar varti yatkiṃcic chuddhamārge vyavasthitam || 22 ||	tad-antar varti yat-kiMcid SudDa-mArge vyavasTitam || 22 ||
   aṇur viśuddham acirād aisvaraṃ jñānam aśnute |	aNuH viSudDam acirAt Esvaram jQAnam aSnute |
   taccodakaḥ śivo jñeyaḥ sarvajñaḥ parameśvaraḥ || 23 ||	tat-ca-udakaH SivaH jQeyaH sarvajQaH parameSvaraH || 23 ||
   sarvago nirmalaḥ svacchas tṛptaḥ svāyatanaḥ śuciḥ |	sarvagaH nirmalaH svacCaH tRptaH su-a-AyatanaH SuciH |
   yathā nyagrodhabījasthaḥ śaktirūpo mahādrumaḥ || 24 ||	yaTA nyagroDa-bIja-sTaH Sakti-rUpaH mahA-drumaH || 24 ||
   tathā hṛdayabījasthaṃ jagad etac carācaram |	taTA hRdaya-bIja-sTam jagat etat carAcaram |
   evaṃ yo vetti tattvena tasya nirvāṇagāminī || 25 ||	evam yaH vetti tattvena tasya nirvANa-gAminI || 25 ||
   dīkṣā bhavaty asaṃdigdhā tilājyāhutivarjitā |	dIkzA Bavati asaMdigDA tila-Ajya-Ahuti-varjitAH |
   mūrdhni vaktre ca hṛdaye guhye murtau tathaiva ca || 26 ||	mUrDni vaktre ca hRdaye guhye murtO taTA-eva ca || 26 ||
   nyāsaṃ krtvā śikhāṃ baddhvā saptaviṃsatimantritām |	nyAsam krtvA SiKAm badDvA saptaviMsati-mantritAm |
   ekaikena diśāṃ bandhaṃ daśānām api kārayet || 27 ||	ekEkena diSAm banDam daSAnAm api kArayet || 27 ||
   tālatrayam purā dattvā saśabdaṃ vighnaśāntaye |	tAla-trayam purA dattvA sa-Sabdam viGna-SAntaye |
   śikhāsaṃkhyābhijaptena toyenābhyukṣayet tataḥ || 28 ||	SiKA-saMKyA-aBijaptena toyena-aByukzayet tatas || 28 ||
   puṣpādikaṃ kramāt sarvaṃ liṅgaṃ vā stha.ṅdilaṃ ca vā |	puzpa-Adikam kramAt sarvam liFgam vA sTa.Fdilam ca vA |
   caturdaśābhijaptena puṣpeṇāsanakalpanā || 29 ||	caturdaSa-aBijaptena puzpeNa-Asana-kalpanA || 29 ||
   tatra sṛṣṭiṃ yajed vīraḥ punar evāsanaṃ tataḥ |	tatra sRzwim yajet vIraH punar eva-Asanam tatas |
   sṛṣṭiṃ tu sampuṭīkṛtya paścād yajanam ārabhet || 30 ||	sRzwim tu sampuwIkRtya paScAt yajanam AraBet || 30 ||
   sarvatattvasusampūrṇām sarvāvayavaśobhitām |	sarva-tattva-su-sampUrNAm sarva-avayava-SoBitAm |
   yajed devīṃ mahābhāgā saptaviṃśatimantritām || 31 ||	yajet devIm mahABAgA saptaviMSati-mantritAm || 31 ||
   tataḥ sugandhipuṣpaiś ca yathāśaktyā samarcayet |	tatas suganDi-puzpEH ca yaTASaktyA samarcayet |
   pūjayet parayā bhaktyā svātmanaṃ ca nivedayet || 32 ||	pUjayet parayA BaktyA sva-Atmanam ca nivedayet || 32 ||
   evaṃ yajanam ākhyātam agnikārye 'py ayaṃ vidhiḥ |	evam yajanam AKyAtam agni-kArye api ayam viDiH |
   kṛtapūjāvidhiḥ samyak smaran bījam prasiddhyati || 33 ||	kRta-pUjA-viDiH samyak smaran bIjam prasidDyati || 33 ||
   ādyantarahitam bījaṃ vikasat tithimadhyagam |	Adi-anta-rahitam bIjam vikasat tiTi-maDya-gam |
   hṛtpadmāntargataṃ dhyāyet somāṃśuṃ nityam abhyasyet || 34 ||	hRd-padma-antargatam DyAyet soma-aMSum nityam aByasyet || 34 ||
   yān yān kāmayate kāmāṃs tān tāñ cchīghram avāpnuyāt |	yAn yAn kAmayate kAmAn tAn tAn cSIGram avApnuyAt |
   ajñaḥ pratyakṣatām eti sarvajñatvaṃ na saṃśayaḥ || 35 ||	ajQaH pratyakzatAm eti sarvajQa-tvam na saMSayaH || 35 ||
   evaṃ mantraphalāvaptir ity etad rudrayāmalam |	evam mantra-Pala-avaptiH iti etat rudrayAmalam |
   etad abhyāsataḥ siddhiḥ sarvajñatvam avāpyate || 36 ||	etat aByAsataH sidDiH sarvajQa-tvam avApyate || 36 ||
   Gandharva-nagaram / DSO Sanskrit Archive	GanDarva--nagaram / DSO Sanskrit ArCive
