   atha śabdādhyāyaḥ //	aTa Sabda-aDyAyaH //
   bhāṣācchandasostu katipayaśabdānāṃ	BAzAt-CandasoH-tu katipaya-SabdAnAm
   lakṣaṇabhedastattadānupūrvīpratiniyamāpekṣaḥ /	lakzaNa-BedaH-tad-tad-AnupUrvI-pratiniyama-apekzaH /
   bhāṣāprayuktaḥ sarvopi vede kvāpi prayogavān /	BAzA-prayuktaH sarva-upi vede kvApi prayogavAn /
   vedaikaniyataḥ śabdo nānyatreti vyavasthitiḥ //	veda-eka-niyataH SabdaH na-anyatra-iti vyavasTitiH //
   uktaṃ caitadvedārthasaṃgrahepi--- "vaidikā eva sarve vācakāḥ śabdāśca---"	uktam ca-etat-veda-arTa-saMgrahepi-- "vEdikAH eva sarve vAcakAH SabdAH-ca---"
   ityādinā //	ityAdinA //
   nyā. pa. śa. 3 vākyaṃ dvidhā---pauruṣeyāpauruṣeyabhedāt /	nyA. pa. Sa. 3 vAkyam dviDA-a----pOruzeya-apOruzeya-BedAt /
   puruṣasvātantryādhīnaracanāviśeṣaviśiṣṭaṃ pauruṣeyam /	puruza-svAtantrya-aDIna-racanA-viSeza-viSizwam pOruzeyam /
   taddvidhā, anvitārthamananvitārthaṃ ca, ādyaṃ yathā---agniruṣṇaḥ, āpo	tat-dviDA, anvita-arTam-ananvita-arTam ca, Adyam yaTA---agniH-uzNaH, ApaH-
   dravāḥ, iti /	dravAH, iti /
   dvitīyaṃ yathā---agniranuṣṇaḥ, āpaḥ kaṭhināḥ, iti //	dvitIyam yaTA---agniH-anuzNaH, ApaH kaWinAH, iti //
   nyā. pa. śa. 4 atraikadeśino vadanti---ananvayāgrahādanvitavyavahāraḥ	nyA. pa. Sa. 4 atra-eka-deSinaH vadanti---ananvaya-AgrahAt-anvita-vyavahAraH
   kvacijjāyata iti /	kvacid-jAyate iti /
   ata eva laukikavākye dṛṣṭavyabhicārasya na jhaṭati	atas eva lOkika-vAkye dRzwa-vyaBicArasya na Jawati
   vākyādvākyārthādhyavasāyaḥ; yogyatāvimarśasākāṅkṣatvāt /	vAkyAt-vAkya-arTa-aDyavasAyaH; yogya-tA-vimarSa-sa-AkAFkza-tvAt /
   sāmānyayogyatāgrahaṇepi vyaktiyogyatāyāḥ	sAmAnya-yogya-tA-grahaNepi vyakti-yogyatAyAH
   vaktṛjñānānumānamanteraṇāsiddheḥ---iti prameyasaṃgrahādiṣu samarthitam /	vaktR-jQAna-anumAnam-anteraNa-asidDeH---iti prameya-saMgraha-Adizu samarTitam /
   tathā---sanmātragrāhipratyakṣanirākaraṇāya śāstrasyānuvādakatvaprasaṅge	taTA-a---sanmAtra-grAhi-pratyakza-nirAkaraNAya SAstrasya-anuvAdaka-tva-prasaFge
   vivaraṇakārairuktam--- "abuddhabodhanasvarasasya śabdasyātathātvaṃ doṣa	vivaraNa-kArEH-uktam-- "abudDa-boDana-svarasasya Sabdasya-AtaTAtvam doza
   ityabhisandhiḥ /	iti-aBisanDiH /
   athavā anuvādakatvameva syāt /	aTavA anuvAdaka-tvam-eva syAt /
   na hi mānāntarapratīterthe śabdaḥ pramāṇam /	na hi mAna-antara-pratIterTe SabdaH pramANam /
   tathaiva hi tasya vyutpattiḥ" ityuktvā "nanvanuvādakatayaiva vyutpattiḥ	taTA-eva hi tasya vyutpattiH" iti-uktvA "nanu-anuvAdaka-tayA-eva vyutpattiH
   puṃvākyeṣu" ityādinā vaktṛjñānānumānamupapādya "satyam, daivāt	puMvAkya-izu" ityAdinA vaktR-jQAna-anumAnam-upapAdya "satyam, dEvAt-
   tadanuvādakatvamiti nābuddhabodhanasvārasyabhaṅgaprasaṅgaḥ, yathā	tad-anuvAdaka-tvam-iti na-abudDa-boDana-svArasya-BaFga-prasaFgaH, yaTA
   smṛtyanumitavedasyānuvādakatvepyarthāditi na mānatābhaṅgaḥ" ityādi uktaṃ	smRti-anumita-vedasya-anuvAdaka-tva-ipi-arTAt-iti na mAnatA-BaFgaH" ityAdi uktam
   ca prajñāparitrāṇe --- "pauruṣeyagiraḥ śaṅkāgrastā na sahasā mitim /	ca prajQA-paritrANe -- "pOruzeya-giraH SaFkA-grastAH na sahasA mitim /
   janayanti na yāvat tanmūlamānānavagrahaḥ //	janayanti na yAvat tad-mUla-mAnAnavagrahaH //
   anumāya ca vaktustanmūlayogyapramāntaram /	anumAya ca vaktuH-tad-mUla-yogya-pramA-antaram /
   taduktavākyaliṅgena vākyārthamanujānate //	tad-ukta-vAkya-liFgena vAkya-arTam-anujAnate //
   anvitārthābhidhānāya yogyaṃ vākyamidaṃ sadā /	anvita-arTa-aBiDAnAya yogyam vAkyam-idam sadA /
   asau ca nānṛtaṃ vakti saṃjñātvārthaṃ tadabravīt //	asO ca na-anRtam vakti saMjQAtva-arTam tat-abravIt //
   vaktṛjñānānumānena jñātājñātasvavākyataḥ /	vaktR-jQAna-anumAnena jQAta-ajQAta-sva-vAkyataH /
   anvitārthābhidhāyitvayogyatāmātradhīrgirām //	anvita-arTa-aBiDAyi-tva-yogya-tA-mAtra-DIrgirAm //
   parāmarśa iti prāpto nārthasaṃsargagocaraḥ /	parAmarSaH iti prAptaH na-arTa-saMsarga-gocaraH /
   mānāntarāvirodhitvaṃ yogyatetyabhidhīyate //	mAna-antara-aviroDi-tvam yogyatA-iti-aBiDIyate //
   nanvevaṃ laukikaṃ vākyaṃ liṅgaṃ celliṅgavat tataḥ /	nanu-evam lOkikam vAkyam liFgam ced-liFga-vat tatas /
   śabdo gṛhītasaṃbandhāt tadvadasyāpi liṅgatā //	SabdaH gRhIta-saMbanDAt tadvat-asya-api liFgatA //
   vyutpattikāle vyutpitsorliṅgadhīrnāstyasaṃśayāt /	vyutpatti-kAle vyutpitsoH-liFga-DIH-na-asti-asaMSayAt /
   yathāvyutpattiśabdāstu bodhakā iti cedataḥ //	yaTAvyutpatti-SabdAH-tu boDakAH iti ced-atas //
   svata evārthabodhaḥ syāditi naivāsya liṅgatā" //	svatas eva-arTa-boDaH syAt-iti na-eva-asya liFga-tA" //
   ityādi /	ityAdi /
   bhagavadyāmunamunibhistu āgamapramāṇye vaktṛjñānānumānaṃ dūṣitam /	Bagavat-yAmuna-muniBiH-tu Agama-pramANye vaktR-jQAna-anumAnam dUzitam /
   nigamitaṃ ca /	nigamitam ca /
   "tasmādasti nadītīre phalamityevamādiṣu /	"tasmAt-asti nadI-tIre Palam-iti-evamAdizu /
   yā siddhaviṣayā buddhiḥ sā śabdī nānumānukī" iti /	yA sidDa-vizayA budDiH sA SabdI na-anumAnukI" iti /
   ayameva pakṣonusṛto varadaviṣṇumiśraiḥ /	ayam-eva pakzonusRtaH vara-da-vizNu-miSrEH /
   tattvaratnākarepyāgamaprāmāṇyagranthopādānapūrvakaṃ prapañcitametat /	tattva-ratna-Akarepya-Agama-prAmANya-granTa-upAdAna-pUrvakam prapaQcitam-etat /
   apauruṣeyaṃ tu sarvamanvitārthamevākintu ādityo yūpaḥ-- ityādiṣūpacārato	apOruzeyam tu sarvam-anvita-arTam-eva-Akintu AdityaH yUpaH-- iti-Adizu-upacArataH-
   nirvāhaḥ /	nirvAhaH /
   ākāṅkṣāsattivogyatāvanti hi padānyanvitamabhidadhati, anvaye vā	AkAFkzA-satti-vogya-tAvanti hi padAni-anvitam-aBidaDati, anvaye vA
   viśrāmyanti /	viSrAmyanti /
   ādityayūpapadayoḥ pratyakṣasiddhasvārthabhedayorayogyatayā	Aditya-yUpa-padayoH pratyakza-sidDa-sva-arTa-BedayoH-ayogya-tayA
   mukhyavṛttiparityāgaḥ //	muKya-vRtti-parityAgaH //
   nyā. pa. śa. 5 vṛttirdvidhā---abhidhopacārabhedāt /	nyA. pa. Sa. 5 vRttiH-dviDA---aBiDa-upacAra-BedAt /
   vyutpattisiddhārtha eva vṛttirabhidhā /	vyutpatti-sidDArTaH eva vRttiH-aBiDA /
   yathā siṃhaśabdaspaya mṛgendre /	yaTA siMha-Sabdaspaya mRgendre /
   sā jātiguṇādiviṣayabhedād yogarūḍhitatsamuccayabhedācca bahuvidhā /	sA jAti-guNa-Adi-vizaya-BedAt yoga-rUXi-tat-samuccaya-BedAt-ca bahuviDAH /
   mukhyārthabādhe sati tadāsanne vṛttirupacāraḥ /	muKya-arTa-bADe sati tad-Asanne vRttiH-upacAraH /
   āsattiśca dvividhā---mukhyārthasaṃbandhastadguṇasaṃbandhaśceti /	AsattiH-ca dviviDA----muKya-arTa-saMbanDaH-tad-guNa-saMbanDaH-ca-iti /
   tatra pūrveṇa pravṛttirlakṣaṇā, yathā---gaṅgāyāṃ ghoṣaḥ prativasatītyatra	tatra pUrveNa pravRttiH-lakzaNA, yaTA---gaFgAyAm GozaH prativasati-iti-atra
   gaṅgaśabdasya pravāhaviśeṣarūpavācyasaṃbandhini tīre /	gaFga-Sabdasya pravAha-viSeza-rUpa-vAcya-saMbanDini tIre /
   evaṃ lakṣitalakṣaṇā grāhyā /	evam lakzita-lakzaNA grAhyA /
   dvitīyena pravṛttirgauṇī /	dvitIyena pravRttiH-gONI /
   yathā siṃho devadatta ityatra siṃhmaśabdasya śauryādigūṇaṇyogini devadatte	yaTA siMhaH devadattaH iti-atra siMhma-Sabdasya SOrya-Adi-gUNaNyogini devadatte
   tattvaratnākare tvevamuktam--- "abhidhānābhidheyatvamataḥ śabdārthayoḥ	tattva-ratna-Akare tu-evam-uktam--- "aBiDAna-aBiDeya-tvam-atas Sabda-arTayoH
   sthitam /	sTitam /
   saṃbandhotrābhidhā dvedhā bodhyā mukhyajaghanyataḥ //	saMbanDotra-aBiDAH dveDA boDyA muKya-jaGanyatas //
   abhidhārthāvagatyātmā śabdaṃ vyāpārayiṣyataḥ /	aBiDArTa-a=-agatya-AtmA Sabdam vyApArayizyataH /
   śabdaśaktinimittā sā svārthe mukhyābhidhīyate //	Sabda-Sakti-nimittA sA sva-arTe muKya-aBiDIyate //
   svārthābhidhānadvārā syājjaghanyārthāntare matā /	sva-arTa-aBiDAna-dvArA syAt-jaGanya-arTa-antare matA /
   " iti //	" iti //
   tadvistarastatraiva dgaṣṭavyaḥ //	tad-vistaraH-tatra-eva dgazwavyaH //
   na ca gauṇalākṣaṇikaprayogayoravācyaviṣayatvādavācyatvam /	na ca gONala-akzaNika-prayogayoH-avAcya-vizaya-tvAt-avAcya-tvam /
   saṃbandhasādṛśyamātrapravṛttepyanāditvāt /	saMbanDa-sAdRSya-mAtra-pravRttepi-ana-Adi-tvAt /
   tata eva vivakṣitasthale yathaucityaṃ prayogopapatteḥ /	tatas eva vivakzita-sTale yaTA-Ocityam prayoga-upapatteH /
   etāḥ sarvā api vṛttayaḥ anvitābhidhānavṛttyantarbhūtāḥ /	etAH sarvAH api vRttayaH anvita-aBiDAna-vRtti-antarBUtAH /
   pṛthakpadānāṃ smārakatvameva /	pRTak-padAnAm smAraka-tvam-eva /
   abhihitānvaye hi padānāṃ padārthe padārthānāṃ vāvayārthe padānāṃ ca	aBihita-anvaye hi padAnAm padArTe padArTAnAm vAvaya-arTe padAnAm ca
   tatreti śaktitrayakalpanāgāraivaṃ syāt, vākyārthasyāśābdatvaprasaṅgo vā /	tatra-iti Sakti-traya-kalpanAgAra-evam syAt, vAkya-arTasya-ASAbda-tva-prasaFgaH vA /
   padārthe lakṣaṇasamāpteḥ pramāṇaprasaṅgaśca /	padArTe lakzaNa-samApteH pramANa-prasaFgaH-ca /
   nacānvitābhidhānenyonyāśrayaṇam, mithaḥ smaraṇamātropajīvanāt /	naca-anvita-aBiDAnenyonya-ASrayaNam, miTas smaraNa-mAtra-upajIvanAt /
   yathāhuḥ--- "padajātaṃ śrutaṃ sarvaṃ smāritānanvitārthakam /	yaTA-AhuH-- "pada-jAtam Srutam sarvam smAritAn-anvita-arTakam /
   nyāyasaṃpāditavyakti paścādvākyārthabodhakam" //	nyAya-saMpAdita-vyakti paScAt-vAkya-arTa-boDakam" //
   iti //	iti //
   nāpi paunaruktyādidoṣaḥ; tattadaṃśapratiniyataśaktitvāt /	na-api pOnarukti-Adi-dozaH; tad-tad-aMSa-pratiniyata-Sakti-tvAt /
   nāpi vākyabhedaḥ, ekapradhānatayā svārthābhidhānāt /	na-api vAkya-BedaH, eka-praDAna-tayA sva-arTa-aBiDAnAt /
   "padārtha eva vākyārthaḥ saṃsṛṣṭo hyabhidhīyate" ityuktaṃ /	"padArTaH eva vAkya-arTaH saMsRzwaH hi-aBiDIyate" iti-uktam /
   tathā "nānā śabdādibhedāt" ityādhikaraṇe "yadyapi 'veda' 'upāsīta'	taTA "nAnA Sabda-Adi-Beda-at" iti-ADikaraNe "yadi-api avedaH-a aupAsIta-a
   ityādayaḥ śabdāḥ pratyayāvṛttyabhidhāyinaḥ, pratyayāśca brahmaikaviṣayāḥ;	ityAdayaH SabdAH pratyaya-AvRtti-aBiDAyinaH, pratyayAH-ca brahma-eka-vizayAH;
   tathāpi	taTA-api
   tattatprakaraṇoditajagadekakāraṇatvāpahatapāpmatvādiviśeṣaṇaviśiṣṭabrahmaviṣayapratyayāvṛttyavabodhinaḥ	tad-tad-prakaraNa-udita-jagat-eka-kAraNa-tva-apahata-pApma-tva-Adi-viSezaNa-viSizwa-brahma-vizaya-pratyaya-AvRtti-avaboDinaH
   pratyayāvṛttirūpā vidyā bhindanti" iti /	pratyaya-AvRtti-rUpA vidyA Bindanti" iti /
   vedārthasaṃgrahepi--- "śodhakeṣvapi 'satyaṃ jñānamanantaṃ brahma' 'ānando	veda-arTa-saMgrahepi-- "SoDakezu-api asatyam jQAnam-anantam brahma-a aAnandaH-
   brahma' ityādiṣu	brahma-a ityAdizu
   sāmānādhikaraṇyavyutpattisiddhānekaguṇaviśiṣṭhaikārthābhidhānamaviruddhamiti	sAmAnADikaraNya-vyutpatti-sidDa-an-eka-guNa-viSizWA-eka-arTa-aBiDAnam-avirudDam-iti
   sarvaviśiṣṭaṃ brahmaivābhidhīyate" iti /	sarva-viSizwam brahma-eva-aBiDIyate" iti /
   atraiva pūrvabhāge	atra-eva pUrva-BAge
   "samabhivyāhṛtapadāntaravācyānvayayogyamevetarapadapratipādyamityanvitābhidhāyipadasaṃghātarūpavākyaśravaṇasamanantarameva	"samaBivyAhRta-pada-antara-vAcya-anvaya-yogyam-eva-itara-pada-pratipAdyam-iti-anvita-aBiDAyi-pada-saMGAta-rUpa-vAkya-SravaNa-samanantaram-eva
   pratīyate /	pratIyate /
   tacca svargasādhanatvarūpam /	tat-ca svarga-sADana-tva-rUpam /
   ataḥ kriyāvadananyārthatā virodhādeva parityaktā" iti /	atas kriyAvat-ananyArTa-tA viroDAt-eva parityaktA" iti /
   eṣāṃ svārasyamanvitābhidhāne /	ezAm svArasyam-anvita-aBiDAne /
   na cātra parābhyupagamenoktamiti jñāpakamasti /	na ca-atra para-aByupagamena-uktam-iti jQApakam-asti /
   varadaviṣṇumiśrairapi "satyajñānādipadānāmakhaṇḍaikarasārthatve	vara-da-vizNu-miSrEH-api "satya-jQAna-Adi-padAnAm-aKaNxa-ekarasa-arTa-tve
   anvitābhidhānānupapatteśca" ityādiṣu bahuṣu pradeśeṣu anvitābhidhānameva	anvita-aBiDAna-anupapatteH-ca" ityAdizu bahuzu pradeSezu anvita-aBiDAnam-eva
   māyāvādinaṃ pratyuktam /	mAyA-vAdinam pratyuktam /
   uktaṃ cāgamaprāmāṇye--- "anyānvitābhidhānepi vyavahāropapattitaḥ /	uktam ca-Agama-prAmANye-- "anyA-anvitA-aBiDAna-ipi vyavahAra-upapattitaH /
   avaśyāśrayaṇīyeyamanvitārthābhidhāyitā" //	avaSya-ASrayaNIyA-iyam-anvita-arTa-aBiDAyitA" //
   ityārabhya, "tasmādākāṅkṣitāsannayogyārthāntarasaṅgate /	iti-AraBya, "tasmAt-AkAFkzita-Asanna-yogya-arTa-antara-saFgate /
   svārthe padānāṃ vyutpattirāstheyā sarvavādibhiḥ" //	sva-arTe padAnAm vyutpattiH-AsTeyA sarva-vAdiBiH" //
   iti /	iti /
   tattvaratnākarepi--- "avaśyāśrayaṇīyeyamanvitārthābhidhāyitā /	tattva-ratnAkarepi-- "avaSya-ASrayaNIyeyam-anvita-arTa-aBiDAyitA /
   ityāhuryāmunācāryāḥ padairevānvitābhidhām /	iti-AhuH-yAmunA-AcAryAH padEH-eva-anvita-aBiDAm /
   " ityārabhya prapañcenopapādyopasaṃhṛtam--- "ṣaḍbhiḥ	" iti-AraBya prapaQcena-upapAdya-upasaMhRtam-- "zaxBiH
   pratītipramukhopapattibhi- rnirdhūtacodyābhirihānvitābhidhā /	pratIti-pramuKa-upapattiBi rnirDUta-codyABiH-iha-anvitA-aBiDA /
   siddhā padairnābhihitānvayasthiti- rviparyayādityakhilaṃ samañjasam" //	sidDA padEH-na-aBihita-anvaya-sTiti rvi-paryayAt-iti-aKilam samaQja-sam" //
   iti //	iti //
   prajñāparitrāṇanyāyasudarśanayośca bahuśa uktam--- "anvitārthābhidhāyitvaṃ	prajQA-paritrANa-nyAya-su-darSanayoH-ca bahuSas uktam-- "anvita-arTa-aBiDAyi-tvam
   śabdaśaktinibandhanam /	Sabda-Sakti-nibanDanam /
   vyutpattyavagataṃ pundhīdoṣatosya viparyayaḥ" //	vyutpatti-avagatam punDI-doza-tosya viparyayaH" //
   ityādinā //	ityAdinA //
   nanvabhihitānvayadyotakānyapi vākyāni vidyante /	nanu-aBihita-anvaya-t-yotakAni-api vAkyAni vidyante /
   vedārthasaṃgrahe tāvat "evaṃ bodhakānāṃ padasaṃghātānāṃ saṃsargaviśeṣa	veda-arTa-saMgrahe tAvat "evam boDakAnAm pada-saMGAtAnAm saMsarga-viSeza
   bodhanena vākyaśabdābhidheyānāmuccāraṇakramo yatra puruṣabuddhipūrvakaḥ"	boDanena vAkya-Sabda-aBiDeyAnAm-uccAraNa-kramaH yatra puruza-budDi-pUrvakaH"
   ityādyuktam /	ityAdi-uktam /
   tathā tatraiva "prakṛtipratyayarūpeṇa padasyaivānekaviśeṣaṇagarbhatvāt,	taTA tatra-eva "prakRti-pratyaya-rUpeNa padasya-eva-aneka-viSezaNa-garBa-tvAt,
   anekapadārthasaṃsargabodhakatvācca vākyasya" iti /	aneka-padArTa-saMsarga-boDaka-tvAt-ca vAkyasya" iti /
   bhāṣyepi "śabdasya tu viśeṣeṇa saviśeṣa eva vastunyabhidhānasāmarthyaṃ,	BAzyepi "Sabdasya tu viSezeNa sa-viSezaH eva vastuni-aBiDAna-sAmarTyaM,
   padavākyarūpeṇa pravṛtteḥ /	pada-vAkya-rUpeNa pravRtteH /
   prakṛtipratyayayogena hi padatvam; prakṛtipratyayorarthabhedena padasyaiva	prakRti-pratyaya-yogena hi pada-tvam; prakRti-pratyayoH-arTa-Bedena padasya-eva
   viśiṣṭārthapratipādanamavarjanīyam /	viSizwa-arTa-pratipAdanam-avarjanIyam /
   padabhedaścārthabhedanibandhanaḥ /	pada-BedaH-ca-arTa-Beda-nibanDanaH /
   padasaṃghātarūpasya vākyasyānekapadārthasaṃsargāviśeṣābhidhāyitvena"	pada-saMGAta-rUpasya vAkyasya-aneka-padArTa-saMsarga-aviSeza-aBiDAyi-tvena"
   ityādyuktam /	ityAdi-uktam /
   evaṃ vyutpattinirūpaṇe vedārthasaṃgrahe "siddhavastuṣu śabdasya	evam vyutpatti-nirUpaNe veda-arTa-saMgrahe "sidDa-vastuzu Sabdasya
   bodhakatvaśaktigrahaṇamatyantasukaram" ityupakramya, "apavarake daṇḍaḥ	boDaka-tva-Sakti-grahaNam-atyanta-su-karam" iti-upakramya, "apavarake daNxaH
   sthitaḥ" iti vākye yādṛcchikavyutpattiprakāramupapādya, "tathā bālaḥ	sTitaH" iti vAkye yAdRcCika-vyutpatti-prakAram-upapAdya, "taTA bAlaH
   'tātoyam, anbaiṣā' ityādinā buddhipūrvavyutpādanena tattatpadānāṃ	atA-toyam, anbEzA-a ityAdinA budDi-pUrva-vyutpAdanena tad-tad-padAnAm
   tattatpadārtheṣveva bodhakatvaśaktigrahaṇamupapādya, punarapi "asya	tad-tad-padArTezu-eva boDaka-tva-Sakti-grahaNam-upapAdya, punar-api "asya
   śabdasyāyamartha iti pūrvavṛddhaiḥ śikṣitaḥ" ityādi coktvā, "evameva	Sabdasya-ayam-arTaH iti pUrva-vRdDEH SikzitaH" ityAdi ca-uktvA, "evam-eva
   sarvapadānāṃ svārthābhidhāyitvaṃ saṃghātaviśeṣāṇāṃ ca	sarva-padAnAm sva-arTa-aBiDAyi-tvam saMGAta-viSezANAm ca
   yathāvasthitasaṃsargaviśeṣavācitvaṃ ca jānāti" ityādyuktam //	yaTA-avasTita-saMsarga-viSeza-vAci-tvam ca jAnAti" ityAdi-uktam //
   bhāṣyepi prathamasūtrapūrvapakṣanirākaraṇe--- "evaṃ kila laukikāḥ	BAzyepi praTama-sUtra-pUrva-pakza-nirAkaraNe-- "evam kila lOkikAH
   śabdārthasaṃbandhamavadhārayanti---mātāpitṛprabhṛtibhiḥ ambātātamātulādīn"	Sabda-arTa-saMbanDam-avaDArayanti----mAtA-pitR-praBRtiBiH ambA-tAta-mAtula-AdIn-"
   ityādinā padavyutpattiḥ pūrvamupapāditā /	ityAdinA pada-vyutpattiH pUrvam-upapAditA /
