   Devīgītā	DevI-gItA
   naiva cordhvaṃ na tiryakca na madhye parijagrabhat // Dg_1.28 =	na-eva ca-UrDvam na tiryak-ca na maDye parijagraBat // Dk-_1.28 =
   DbhP_7,31.28 //	DBu-_7,31.28 //
   ādyantarahitaṃ tattu na hastādyaṅgasaṃyutam /	Adi-anta-rahitam tat-tu na hasta-Adi-aFga-saMyutam /
   na ca strīrūpamathavā na puṃrūpamathobhayam // Dg_1.29 = DbhP_7,31.29 //	na ca strI-rUpam-aTavA na puMrUpam-aTa-uBayam // Dk-_1.29  DBP_7,31.29 //
   dīptyā pidhānaṃ netrāṇāṃ teṣāmāsīnmahīpate /	dIptyA piDAnam netrANAm tezAm-AsIt-mahIpate /
   punaśca dhairyamālambya yāvatte dadṛśuḥ surāḥ // Dg_1.30 = DbhP_7,31.30 //	punar-ca DEryam-Alambya yAvat-te dadRSuH surAH // Dk-_1.30  DBP_7,31.30 //
   tāvattadeva strīrūpeṇābhāddivyaṃ manoharam /	tAvat-tat-eva strI-rUpeNa-ABAt-divyam manoharam /
   atīva ramaṇīyāṅgīṃ kumārīṃ navayauvanām // Dg_1.31 = DbhP_7,31.31 //	atIva ramaNIya-aFgIm kumArIm nava-yOvanAm // Dk-_1.31  DBP_7,31.31 //
   udyatpīnakucadvandvaninditāmbhojakuḍmalām /	udyat-pIna-kuca-dvandu-anindita-amBoja-kuxmalAm /
   raṇatkiṅkiṇikājālasiñjanmañjīramekhalām // Dg_1.32 = DbhP_7,31.32 //	raNat-kiFkiNikA-jAla-siQjan-maQjIra-meKalAm // Dk-_1.32  DBP_7,31.32 //
   kanakāṅgadakeyūragraiveyakavibhūṣitām /	kanaka-aFgada-keyUra-grEveyaka-viBUzitAm /
   anarghyamaṇisambhinnagalabandhavirājitām // Dg_1.33 = DbhP_7,31.33 //	anarGya-maNi-samBinnagala-banDa-virAjitAm // Dk-_1.33  DBP_7,31.33 //
   tanuketakasaṃrājannīlabhramarakuntalām /	tanu-ketaka-saMrAjan-nIla-Bramara-kuntalAm /
   nitambabimbasubhagāṃ romarājivirājitām // Dg_1.34 = DbhP_7,31.34 //	nitamba-bimba-suBagAm romarAji-virAjitAm // Dk-_1.34  DBP_7,31.34 //
   karpūraśakalonmiśratāmbūlapūritānanām /	karpUra-Sakala-unmiSra-tAmbUla-pUrita-AnanAm /
   kanatkanakatāṭaṅkaviṭaṅkavadanāmbujām // Dg_1.35 = DbhP_7,31.35 //	kanat-kanaka-tA-waFka-viwaFka-vadana-ambujAm // Dk-_1.35  DBP_7,31.35 //
   aṣṭamīcandrabimbābhalalāṭāmāyatabhruvam /	azwamI-candra-bimba-ABa-lalAwAm-Ayata-Bruvam /
   raktāravindanayanāmunnasāṃ madhurādharām // Dg_1.36 = DbhP_7,31.36 //	rakta-aravinda-nayanAm-unnasAm maDura-aDarAm // Dk-_1.36  DBP_7,31.36 //
   kundakuḍmaladantāgrāṃ muktāhāravirājitām /	kunda-kuxmala-danta-agrAm muktA-AhAra-virAjitAm /
   ratnasambhinnamukuṭāṃ candrarekhāvatāmsinīm // Dg_1.37 = DbhP_7,31.37 //	ratna-samBinna-mukuwAm candra-reKA-avatAmsinIm // Dk-_1.37  DBP_7,31.37 //
   mallikāmālatīmālākeśapāśavirājitām /	mallikA-mAlatI-mAlA-keSa-pASa-virAjitAm /
   kāśmīrabinduniṭilāṃ netratrayavilāsinīm // Dg_1.38 = DbhP_7,31.38 //	kASmIra-bindu-niwilAm netratraya-vilAsinIm // Dk-_1.38  DBP_7,31.38 //
   pāśāṅkuśavarābhīticaturbāhuṃ trilocanām /	pASa-aFkuSa-vara-aBIti-catur-bAhum trilocanAm /
   raktavastraparīdhānāṃ dāḍimīkusumaprabhām // Dg_1.39 = DbhP_7,31.39 //	rakta-vastra-parIDAnAm dAximI-kusuma-praBAm // Dk-_1.39  DBP_7,31.39 //
   sarvaśṛṅgāraveṣāḍhyāṃ sarvadevanamaskṛtām /	sarva-SRFgAra-veza-AXyAm sarva-deva-namaskRtAm /
   sarvāśāpūrikāṃ sarvamātaraṃ sarvamohinīm // Dg_1.40 = DbhP_7,31.40 //	sarva-ASA-pUrikAm sarva-mAtaram sarva-mohinIm // Dk-_1.40  DBP_7,31.40 //
   prasādasumukhīmambāṃ mandasmitamukhāmbujām /	prasAda-su-muKIm-ambAm manda-smita-muKa-ambujAm /
   avyājakaruṇāmūrtiṃ dadṛśuḥ purataḥ surāḥ // Dg_1.41 = DbhP_7,31.41 //	avyAja-karuNA-mUrtim dadRSuH puratas surAH // Dk-_1.41  DBP_7,31.41 //
   dṛṣṭvā tāṃ karuṇāmurtiṃ praṇemuḥ sakalāḥ surāḥ /	dRzwvA tAm karuNA-murtim praNemuH sakalAH surAH /
   vaktuṃ nāśaknuvan kiñcidvāṣpasaṃruddhaniḥsvanāḥ // Dg_1.42 = DbhP_7,31.42	vaktum na-aSaknuvan kiQcid-vAzpa-saMrudDa-niHsvanAH // Dk-_1.42  DBP_7,31.42
   kathañcitsthairyamālambya bhaktyā cānatakandharāḥ /	kaTaQcid-sTEryam-Alambya BaktyA ca-Anata-kanDarAH /
   premāśrupūrṇanayanāstuṣṭuvurjagadambikām // Dg_1.43 = DbhP_7,31.43 //	prema-aSru-pUrNa-nayanAH-tuzwuvuH-jagat-ambikAm // Dk-_1.43  DBP_7,31.43 //
   devā ūcuḥ	devAH UcuH
   namo devyai mahādevyai śivāyai satataṃ namaḥ /	namaH devyE mahAdevyE SivAyE satatam namaH /
   namaḥ prakṛtyai bhadrāyai niyatāḥ praṇatāḥ sma tām // Dg_1.44 =	namaH prakRtyE BadrAyE niyatAH praNatAH sma tAm // Dk-_1.44 =
   DbhP_7,31.44 //	DBu-_7,31.44 //
   tām agnivarṇāṃ tapasā jvalantīṃ vairocanīṃ karmaphaleṣu juṣṭām /	tAm agni-varNAm tapasA jvalantIm vErocanIm karma-Palezu juzwAm /
   durgāṃ devīṃ śaraṇamahaṃ prapadye sutarasi tarase namaḥ // Dg_1.45 =	durgAm devIm SaraNam-aham prapadye sutarasi tarase namaH // Dk-_1.45 =
   DbhP_7,31.45 //	DBu-_7,31.45 //
   devīṃ vācamajanayanta devāstāṃ viśvarūpāḥ paśavo vadanti /	devIm vAcam-ajanayanta devAH-tAm viSva-rUpAH paSavaH vadanti /
   sā no mandreṣamūrjaṃ duhānā dhenur vāgasmānupasuṣṭutaitu // Dg_1.46 =	sA naH mandrezam-Urjam duhAnA DenuH vAc-asmAn-upasuzwutA-etu // Dk-_1.46 =
   DbhP_7,31.46 //	DBu-_7,31.46 //
   kālarātrīṃ brahmastutāṃ vaiṣṇavīṃ skandamātaram /	kAlarAtrIm brahma-stutAm vEzNavIm skanda-mAtaram /
   sarasvatīmaditiṃ dakṣaduhitaraṃ namāmaḥ pāvanāṃ śivām // Dg_1.47 =	sarasvatIm-aditim dakza-duhitaram namAmaH pAvanAm SivAm // Dk-_1.47 =
   DbhP_7,31.47 //	DBu-_7,31.47 //
   mahālakṣmyai ca vidmahe sarvaśaktyai ca dhīmahi /	mahAlakzmyE ca vidmahe sarva-SaktyE ca DImahi /
   tanno devī pracodayāt // Dg_1.48 = DbhP_7,31.48 //	tat-naH devI pracodayAt // Dk-_1.48  DBP_7,31.48 //
   namo virāṭsvarūpiṇyai namaḥ sūtrātmamūrtaye /	namaH virAj-svarUpiNyE namaH sUtra-Atma-mUrtaye /
   namo 'vyākṛtarūpiṇyai namaḥ śrībrahma mūrtaye // Dg_1.49 = DbhP_7,31.49 //	namaH avyAkRta-rUpiNyE namaH SrI-brahma mUrtaye // Dk-_1.49  DBP_7,31.49 //
   yadajñānājjagaddhāti rajjusarpasragādivat /	yat-ajQAnAt-jagat-DAti rajju-sarpa-sraj-Adi-vat /
   yajjñānāllayamāpnoti numastāṃ bhuvaneśvarīm // Dg_1.50 = DbhP_7,31.50 //	yat-jQAnAt-layam-Apnoti numastAm BuvaneSvarIm // Dk-_1.50  DBP_7,31.50 //
   numastatpadalakṣyārthāṃ cidekarasarūpiṇīm /	numaH-tat-pada-lakzya-arTAm cit-eka-rasa-rUpiNIm /
   akhaṇḍānandarūpāṃ tāṃ vedatātparyabhūmikām // Dg_1.51 = DbhP_7,31.51 //	aKaNxa-Ananda-rUpAm tAm veda-tAtparya-BUmikAm // Dk-_1.51  DBP_7,31.51 //
   pañcakośātiriktāṃ tām avasthātrayasākṣiṇīm /	paQcakoSa-atiriktAm tAm avasTA-traya-sAkziNIm /
   punastvampadalakṣyārthāṃ pratyagātmasvarūpiṇīm // Dg_1.52 = DbhP_7,31.52	punar-tu-ampada-lakzya-arTAm pratyagAtma-svarUpiNIm // Dk-_1.52  DBP_7,31.52
   namaḥ praṇavarūpāyai namo hrīṅkāramūrtaye /	namaH praNava-rUpAyE namaH hrIFkAra-mUrtaye /
   nānāmantrātmikāyai te karuṇāyai namo namaḥ // Dg_1.53 = DbhP_7,31.53 //	nAnA-mantra-AtmikAyE te karuNAyE namaH namaH // Dk-_1.53  DBP_7,31.53 //
   iti stutā tadā devair maṇidvīpādhivāsinī /	iti stutA tadA devEH maNidvIpA-aDivAsinI /
   prāha vācā madhurayā mattakokilaniḥsvanā // Dg_1.54 = DbhP_7,31.54 //	prAha vAcA maDurayA matta-kokila-niHsvanAH // Dk-_1.54  DBP_7,31.54 //
   śrīdevyuvāca	SrI-devI-uvAca
   vedantu vibudhāḥ kāryaṃ yadarthamiha saṅgatāḥ /	vedantu vibuDAH kAryam yad-arTam-iha saFgatAH /
   varadāhaṃ sadā bhaktakāmakalpadrumāsmi ca // Dg_1.55 = DbhP_7,31.55 //	vara-dAham sadA Bakta-kAma-kalpadrumA-asmi ca // Dk-_1.55  DBP_7,31.55 //
   tiṣṭhantyāṃ mayi kā cintā yuṣmākaṃ bhaktiśālinām /	tizWantyAm mayi kA cintA yuzmAkam Bakti-SAlinAm /
   samuddharāmi madbhaktānduḥkhasaṃsārasāgarāt // Dg_1.56 = DbhP_7,31.56 //	samudDarAmi mad-BaktAn-duHKa-saMsAra-sAgarAt // Dk-_1.56  DBP_7,31.56 //
   iti pratijñāṃ me satyāṃ jānītha vibudhottamāḥ /	iti pratijQAm me satyAm jAnITa vibuDa-uttamAH /
   iti premākulāṃ vāṇīṃ śrutvā santuṣṭamānasāḥ // Dg_1.57 = DbhP_7,31.57 //	iti prema-AkulAm vANIm SrutvA santuzwa-mAnasAH // Dk-_1.57  DBP_7,31.57 //
   nirbhayā nirjarā rājannūcurduḥkhaṃ svakīyakam /	nirBayA nirjarAH rAjan=-UcuH-duHKam svakIyakam /
   devā ūcuḥ	devAH UcuH
   nājñātaṃ kiñcidapyatra bhvatyāsti jagastraye // Dg_1.58 = DbhP_7,31.58 //	na-ajQAtam kiQcid-api-atra BvatyA-asti jagastraye // Dk-_1.58  DBP_7,31.58 //
   sarvajñayā sarvasākṣirūpiṇyā parmeśvari /	sarvajQayA sarva-sAkzi-rUpiNyA parmeSvari /
   tārakeṇāsurendreṇa pīḍitāḥ smo divāniśam // Dg_1.59 = DbhP_7,31.59 //	tArakeNa-asura-indreNa pIxitAH smaH divAniSam // Dk-_1.59  DBP_7,31.59 //
   śivāṅgajādvadhastasya nirmito brahmaṇāśive /	Siva-aFgajAt-vaDaH-tasya nirmitaH brahmaNA-Sive /
   śivāṅganā tu naivāsti jānāsi tvaṃ maheśvari // Dg_1.60 = DbhP_7,31.60 //	Siva-aFganA tu na-eva-asti jAnAsi tvam maheSvari // Dk-_1.60  DBP_7,31.60 //
   sarvajñapurataḥ kiṃ vā vaktavyaṃ pāmarairjanaiḥ /	sarvajQa-puratas kim vA vaktavyam pAmarEH-janEH /
   etaduddeśataḥ proktamaparaṃ tarkayāmbike // Dg_1.61 = DbhP_7,31.61 //	etat-uddeSataH proktam-aparam tarkayA-ambike // Dk-_1.61  DBP_7,31.61 //
   sarvadā caraṇāmbhoje bhaktiḥ syāttava niścalā /	sarvadA caraNa-amBoje BaktiH syAt-tava niScalAH /
   prārthanīyamidaṃ mukhyamaparaṃ dehahetave // Dg_1.62 = DbhP_7,31.62 //	prArTanIyam-idam muKyam-aparam deha-hetave // Dk-_1.62  DBP_7,31.62 //
   iti teṣāṃ vacaḥ śrutvā provāca parameśvarī /	iti tezAm vacaH SrutvA provAca parameSvarI /
   mama śaktistu yā gaurī bhaviṣyati himālaye // Dg_1.63 = DbhP_7,31.63 //	mama SaktiH-tu yA gOrI Bavizyati himAlaye // Dk-_1.63  DBP_7,31.63 //
   śivāya sā pradeyā syāt sā vaḥ kāryaṃ vidhāsyati /	SivAya sA pradeyA syAt sA vaH kAryam viDAsyati /
   bhaktiryaccaraṇāmbhoje bhūyādyuṣmākamādarāt // Dg_1.64 = DbhP_7,31.64 //	BaktiH-yat-caraNa-amBoje BUyAt-yuzmAkam-AdarAt // Dk-_1.64  DBP_7,31.64 //
   himālayo hi manasā māmupāste 'tibhaktitaḥ /	himAlayaH hi manasA mAm-upAste ati-BaktitaH /
   tatastasya gṛhe janma mama priyakaraṃ matam // Dg_1.65 = DbhP_7,31.65 //	tatas-tasya gRhe janma mama priya-karam matam // Dk-_1.65  DBP_7,31.65 //
   vyāsa uvāca	vyAsaH uvAca
   himālayo 'pi tacchrutvātyanugrahakaraṃ vacaḥ /	himAlayaH api tat-SrutvA-atyanugraha-karam vacaH /
   bāṣpaiḥ saṃruddhakaṇṭhākṣo mahārājñīṃ vaco 'bravīt // Dg_1.66 =	bAzpEH saMrudDa-kaNWa-akzaH mahA-rAjQIm vacaH abravIt // Dk-_1.66 =
   DbhP_7,31.66 //	DBu-_7,31.66 //
   mahattaraṃ taṃ kuruṣe yasyānugrahamicchasi /	mahattaram tam kuruze yasya-anugraham-icCasi /
   nocetkvāhaṃ jaḍaḥ sthāṇuḥ kva tvaṃ saccitsvarūpiṇī // Dg_1.67 =	noced-kvAham jaxaH sTANuH kva tvam saccit-svarUpiNI // Dk-_1.67 =
   DbhP_7,31.67 //	DBu-_7,31.67 //
   asambhāvyaṃ janmaśataistvatpitṛtvaṃ mamānaghe /	asamBAvyam janma-SatEH-tvad-pitR-tvam mama-anaGe /
   aśvamedhādi puṇyairvā puṇyairvā tatsamādhijaiḥ // Dg_1.68 = DbhP_7,31.68	aSvameDa-Adi puNyEH-vA puNyEH-vA tad-samADi-jEH // Dk-_1.68  DBP_7,31.68
   adya prapañce kīrtiḥ syājjaganmātā sutābhavat /	adya prapaQce kIrtiH syAt-jaganmAtA sutA-aBavat /
   aho himālayasyāsya dhanyo 'sau bhāgyavāniti // Dg_1.69 = DbhP_7,31.69 //	aho himAlayasya-asya DanyaH asO BAgyavAn-iti // Dk-_1.69  DBP_7,31.69 //
   yasyāstu jaṭhare santi brahmāṇḍānāṃ ca koṭayaḥ /	yasyAH-tu jaWare santi brahmANxAnAm ca kowayaH /
   saiva yasya sutā jātā ko vā syāttatsamo bhuvi // Dg_1.70 = DbhP_7,31.70 //	sA-eva yasya sutA jAtA kaH vA syAt-tad-samaH Buvi // Dk-_1.70  DBP_7,31.70 //
   na jāne 'smatpitṝṇāṃ kiṃ sthānaṃ syānnirmitaṃ param /	na jAne asmad-pitLNAm kim sTAnam syAt-nirmitam param /
   etādṛśānāṃ vāsāya yeṣāṃ vaṃśe 'sti mādṛśaḥ // Dg_1.71 = DbhP_7,31.71 //	etAdRSAnAm vAsAya yezAm vaMSe asti mAdRSaH // Dk-_1.71  DBP_7,31.71 //
   idaṃ yathā ca dattaṃ me kṛpayā premapūrṇayā /	idam yaTA ca dattam me kRpayA prema-pUrNayA /
   sarvavedāntasiddhaṃ ca tvadrūpaṃ brūhi me tathā // Dg_1.72 = DbhP_7,31.72	sarva-vedAnta-sidDam ca tvad-rUpam brUhi me taTA // Dk-_1.72  DBP_7,31.72
   yogaṃ ca bhaktisahitaṃ jñānaṃ ca śrutisammatam /	yogam ca Bakti-sahitam jQAnam ca Sruti-sammatam /
   vadasva parameśāni tvamevāhaṃ yato bhaveḥ // Dg_1.73 = DbhP_7,31.73 //	vadasva parameSAni tvam-eva-aham yatas BaveH // Dk-_1.73  DBP_7,31.73 //
   vyāsa uvāca	vyAsaH uvAca
   iti tasya vacaḥ prasannamukhapaṅkajā /	iti tasya vacaH prasanna-muKa-paFkajAH /
   vaktumārabhatāmbā sā rahasyaṃ śrutigūhitam // Dg_1.74 = DbhP_7,31.74 //	vaktum-AraBata-ambA sA rahasyam Sruti-gUhitam // Dk-_1.74  DBP_7,31.74 //
   iti devīgītāyāṃ prathamo 'dhyāyaḥ -	iti devI-gItAyAm praTamaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāmekatriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm-ekatriMSaH-
   'dhyāyaḥ	aDyAyaH
   atha dvitīyo 'dhyāyaḥ -	aTa dvitIyaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha dvātriṃśo 'dhyāyaḥ	aTa dvAtriMSaH aDyAyaH
   śrīdevyuvāca	SrI-devI-uvAca
   śṛṇvantu nirjarāḥ sarve vyāharantyā vaco mama /	SRNvantu nirjarAH sarve vyAharantyAH vacaH mama /
   yasya śravaṇamātreṇa madrūpatvaṃ prapadyate // Dg_2.1 = DbhP_7,32.1 //	yasya SravaNa-mAtreNa mad-rUpa-tvam prapadyate // Dk-_2.1  DBP_7,32.1 //
   aham evāsa pūrvaṃ tu nānyatkiñcinnagādhipa /	aham eva-Asa pUrvam tu na-anyat-kiQcinnaga-aDipa /
   tadātmarūpaṃ citsaṃvit parabrahmaikanāmakam // Dg_2.2 = DbhP_7,32.2 //	tad-Atma-rUpam cit-saMvid para-brahma-eka-nAmakam // Dk-_2.2  DBP_7,32.2 //
   apratarkyam anirdeśyamanaupamyamanāmayam /	apratarkyam anirdeSyam-anOpamyam-anAmayam /
