   Vidyākaraśānti: Tarkasopāna	VidyAkara-SAnti: Tarka-sopAna
   dvitīyayeti samāsaḥ // prāptāpannālaṅgatisamāseṣu paraval liṅgapratiṣedhaḥ	dvitIyayA-iti samAsaH // prApta-Apanna-alaFga-ti-samAsezu para-vat liFga-pratizeDaH
   / tena pratyakṣaḥ pratyayaḥ pratyakṣā buddhiḥ / pratyakṣaṃ jñānam iti	/ tena pratyakzaH pratyayaH pratyakzA budDiH / pratyakzam jQAnam iti
   siddhaṃ bhavati / akṣāśritatvaṃ ca pratyakṣasya vyutpattimātranimittaṃ /	sidDam Bavati / akza-ASrita-tvam ca pratyakzasya vyutpatti-mAtra-nimittam /
   pravṛttinimittaṃ tu sākṣātkaraṇam eva / tena yat kiṃcid viṣayasya	pravRtti-nimittam tu sAkzAtkaraNam eva / tena yat kiMcid vizayasya
   sākṣātkāri jñānaṃ tat sarvaṃ pratyakṣaśabdavācyaṃ sidhyati / mīyate	sAkzAtkAri jQAnam tat sarvam pratyakza-Sabda-vAcyam siDyati / mIyate
   'neneti mānam / liṅgagrahaṇasaṃbandhasmaraṇayoḥ paścānmānam anumānam /	anena-iti mAnam / liFga-grahaNa-saMbanDa-smaraNayoH paScAt-mAnam anumAnam /
   etac ca rūḍhivaśāl labhyate / tena dharmiviśeṣavarti liṅgaṃ dṛṣṭavato	etat ca rUXi-vaSAt laByate / tena Darmi-viSeza-varti liFgam dRzwavataH-
   Iiṅgaliṅginoś ca saṃbandhaṃ smṛtavato yataḥ parokṣavastvālambanaṃ jñānam	IiFga-liFginoH ca saMbanDam smRtavataH yatas parokza-vastu-Alambanam jQAnam
   utpadyate tad anumānaśabdenābhidhīyate //	utpadyate tat anumAna-Sabdena-aBiDIyate //
   4. cakāraḥ pratyakṣānumānayos tulyabalatvaṃ samuccinoti /	4. cakAraH pratyakza-anumAnayoH tulya-bala-tvam samuccinoti /
   yathārthāvinābhāvitvāt pratyakṣaṃ pramāṇam / tathānumānam apy	yaTA-arTa-avinA-BAvi-tvAt pratyakzam pramANam / taTA-anumAnam api-
   arthāvinābhāvi pramāṇam iti tad uktam //	arTa-avinABAvi pramANam iti tat uktam //
   arthasyāsaṃbhave 'bhāvāt pratyakṣe 'pi pramāṇatā /	arTasya-asaMBave aBAvAt pratyakze api pramANa-tA /
   pratibaddhasvabhāvasya taddhetutve samaṃ dvayam iti //	pratibadDa-svaBAvasya tad-hetu-tve samam dvayam iti //
   anenaiva tulyabalatvakhyāpanena yad api mīmāṃsakair uktaṃ sarvapramāṇānāṃ	anena-eva tulya-bala-tva-KyApanena yat api mImAMsakEH uktam sarva-pramANAnAm
   pratyakṣam eva jyeṣṭhaṃ tatpūrvakatvād anumānāder iti tad api nirastam //	pratyakzam eva jyezWam tat-pUrvaka-tvAt anumAna-AdeH iti tat api nirastam //
   ātmasattālābhe sarvapramāṇānāṃ svakāraṇāpekṣatvān (Ts 77) na	Atma-sattA-lABe sarva-pramANAnAm sva-kAraNa-apekza-tvAn (TH 77) na
   jyeṣṭhetarabhāvakalpanā sādhvīti / evaṃ pratyakṣānumānabhedena dviprakāram	jyezWa-itara-BAva-kalpanA sADvI-iti / evam pratyakza-anumAna-Bedena dvi-prakAram
   eva pramāṇaṃ //	eva pramANam //
   5. dvividhavacanenaikaṃ pramāṇaṃ trīṇi catvāri pañca ṣad iti	5. dviviDa-vacanena-ekam pramANam trINi catvAri paQca zat iti
   vipratipattayo nirasyante / tathāhi pratyakṣam eva pramāṇaṃ bārhaspatyānām	vipratipattayaH nirasyante / taTA-hi pratyakzam eva pramANam bArhaspatyAnAm
   / pratyakṣānumānāgamāḥ pramāṇāni āṃkhyānām / upamānam api naiyāyikānām /	/ pratyakza-anumAna-AgamAH pramANAni AMKyAnAm / upamAnam api nEyAyikAnAm /
   arthāpattir api prābhākarāṇām / abhāvo hi pratyakṣaṃ śabdaś ca pramāṇam	arTApattiH api prABAkarANAm / aBAvaH hi pratyakzam SabdaH ca pramANam
   iti vaiyākarāṇaḥ //	iti vEyAkarANaH //
   6. tatra pratyakṣaṃ kalpanāpodham abhrāntam / yaj jñānaṃ kalpanayā	6. tatra pratyakzam kalpanA-apoDam aBrAntam / yat jQAnam kalpanayA
   kalpanātvena rahitam abhrāntaṃ ca tad eva pratyakṣam / etena yad uktam	kalpanA-tvena rahitam aBra-antam ca tat eva pratyakzam / etena yat uktam
   udyotakareṇa / yadi pratyakṣaśabdena pratyakṣam abhidhīyate / kathaṃ tat	udyota-kareNa / yadi pratyakza-Sabdena pratyakzam aBiDIyate / kaTam tat-
   kalpanāpoḍham / atha kalpanāpodhaṃ kathaṃ pratyakṣaṃ kalpanāpodham ity	kalpanA-apoXam / aTa kalpanA-apoDam kaTam pratyakzam kalpanA-apoDam iti-
   anena śabdenocyata iti / yad api bhartṛhariṇoktam / kalpanā hi jñānaṃ	anena Sabdena-ucyate iti / yat api BartR-hariNA-uktam / kalpanA hi jQAnam
   pratyakṣam api jñānaṃ / pratyakṣajñāne kalpanājñānaṃ pratiṣedhatānyasmin	pratyakzam api jQAnam / pratyakza-jQAne kalpanA-jQAnam pratizeDa-tAni-asmin
   jnāne jñānāntaram astīti pratipāditam / prāptipūrvakā hi pratiṣedhā	jnAne jQAna-antaram asti-iti pratipAditam / prApti-pUrvakA hi pratizeDA
   bhavantīti nyāyād iti / tat sarvam apāstam /	Bavanti-iti nyAyAt iti / tat sarvam apAstam /
   tādātmyapratiṣedhasyātrābhimatatvāt / ata eva vivṛtaṃ kalpanayā	tAdAtmya-pratizeDasya-atra-aBimata-tvAt / atas eva vivRtam kalpanayA
   kalpanātvena rahitam iti /	kalpanA-tvena rahitam iti /
   7. kutaḥ punaḥ kalpanābhramayor abhāvaḥ pratyakṣa iti cet / yasmāt	7. kutas punar kalpanA-BramayoH aBAvaH pratyakzaH iti ced / yasmAt-
   kalpanāvibhramayor artharūpasākṣātkaraṇaṃ nāsti / tathā hi /	kalpanA-viBramayoH arTa-rUpa-sAkzAt-karaNam na-asti / taTA hi /
   abhilāpasaṃsargayogyapratibhāsapratītiḥ kalpanā / abhilāpo vācakaḥ śabdaḥ	aBilApa-saMsarga-yogya-pratiBAsa-pratItiH kalpanA / aBilApaH vAcakaH SabdaH
   / sa ca sāmānyākāraḥ / tena saṃsargyas tadyogyaḥ (Ts 278) pratibhāso	/ sa ca sAmAnya-AkAraH / tena saMsargyaH tad-yogyaH (TH 278) pratiBAsaH-
   yasyāṃ pratītau sā abhilāpasaṃsargayogyapratibhāsā /	yasyAm pratItO sA aBilApa-saMsarga-yogya-pratiBAsA /
   yogyagrahaṇenāvyutpannasaṃketasya bālakasya kalpanā saṃgṛhyate / yady api	yogya-grahaNena-avyutpanna-saMketasya bAlakasya kalpanA saMgRhyate / yadi api
   tasyām abhilāpasaṃsargo nāsti tadyogyā tu bhavaty eva / tatpratibhāsino	tasyAm aBilApa-saMsargaH na-asti tad-yogyA tu Bavati eva / tad-pratiBAsinaH-
   'rthākārasyecchādhīnasaṃketānuvidhāyinā śabdenābhidhātuṃ śakyatvāt / kutaḥ	arTa-AkArasya-icCA-aDIna-saMketa-anuviDAyinA Sabdena-aBiDAtum Sakya-tvAt / kutas-
   punar bālakasya kalpanā siddheti cet / tatkāryasya pravṛttyādilakṣaṇasya	punar bAlakasya kalpanA sidDA-iti ced / tad-kAryasya pravRtti-Adi-lakzaNasya
   pradarśanāt // tathā hi bālako 'ṅguryādiparihāre stanādau pravartate / tad	pradarSanAt // taTA hi bAlakaH aFgurI-Adi-parihAre stana-AdO pravartate / tat-
   uktaṃ /	uktam /
   itikartavyatā loke sarvā śabdavyapāśrayā /	itikartavya-tA loke sarvA Sabda-vyapASrayA /
   tāṃ pūrvāhitasaṃskāro bālo 'pi pratipadyata // iti	tAm pUrva-Ahita-saMskAraH bAlaH api pratipadyate // iti
   bālake punaḥ saṃmūrcchitākṣarākāradhvaniviśiṣṭā buddhiviparivartinī	bAlake punar saMmUrcCita-akzara-AkAra-Dvani-viSizwA budDi-viparivartinI
   kalpanā ūhyā yayā paścāt saṃketagrahaṇakuśalo bhavati / na cedṛśīyam	kalpanA UhyA yayA paScAt saMketa-grahaNa-kuSalaH Bavati / na ca-IdRSI-iyam
   artharūpaṃ sākṣātkaroti / avyāpṛtendriyasya darśaṇavad buddhau	arTa-rUpam sAkzAtkaroti / avyApRta-indriyasya darSaNa-vat budDO
   śabdenāpratibhāsanād artharūpasya / sa hi śabdasyārtho yaḥ śābde pratyaye	Sabdena-apratiBAsanAt arTa-rUpasya / sa hi Sabdasya-arTaH yaH SAbde pratyaye
   pratibhāsate / upāyabhedāt pratipattibhedo nārthabhedāt / yathaika eva	pratiBAsate / upAya-BedAt pratipatti-BedaH na-arTa-BedAt / yaTA-ekaH eva
   devadatto dvārād dṛśyate jālena ceti cet / ayuktam etat / upāyabhede 'pi	devadattaH dvArAt dRSyate jAlena ca-iti ced / ayuktam etat / upAya-Bede api
   tadrūpasyaiva grahaṇāt kathaṃ pratipattibhedaḥ / na ca vastūnāṃ dve rūpe	tad-rUpasya-eva grahaNAt kaTam pratipatti-BedaH / na ca vastUnAm dve rUpe
   spaṣṭāspaṣṭalakṣaṇe virodhād etannibandhanatvāc ca bhedasya / ata eva	spazwa-aspazwa-lakzaNe viroDAt etat-nibanDana-tvAt ca Bedasya / atas eva
   dṛṣṭānto 'py asiddhaḥ / tad uktam /	dRzwAntaH api asidDaH / tat uktam /
   jāto nāmāśrayo nānyaś cetasāṃ tasya vastunaḥ /	jAtaH nAma-ASrayaH na-anyaH cetasAm tasya vastunaH /
   ekasyaiva kuto rūpaṃ bhinnākārāvabhāsi tad //	ekasya-eva kutas rUpam Binna-AkAra-avaBAsi tat //
   iti / tad evam abhilapituṃ śakyam evārthaṃ kalpanā (Ts 279) śabdena	iti / tat evam aBilapitum Sakyam eva-arTam kalpanA (TH 279) Sabdena
   saṃyojya gṛhṇīyāt / abhilāpyaṃ ca vastu sākṣātkriyamāṇaṃ śabdenāyojitam	saMyojya gRhNIyAt / aBilApyam ca vastu sAkzAt-kriyamANam Sabdena-ayojitam
   eva sākṣātkartavyam iti / siddham etat kalpanāyā nāsti vastusākṣātkaraṇam	eva sAkzAt-kartavyam iti / sidDam etat kalpanAyAH na-asti vastu-sAkzAt-karaNam
   iti /	iti /
   8.bhrāntam api jñānaṃ timirāśubhramaṇanauyānasaṃkṣobhādyāhitavibhramam	8.BrAntam api jQAnam timira-ASu-BramaNa-nOyAna-saMkzoBa-Adya-Ahita-viBramam
   artharūpavisaṃvādakam / tat katham anyathā sthitam arthaṃ sākṣātkuryāt /	arTa-rUpa-visaMvAdakam / tat kaTam anyaTA sTitam arTam sAkzAt-kuryAt /
   svarūpapratibhāsasya sākṣātkaraṇaśabdavācyatvāt / tasmān nāsti	svarUpa-pratiBAsasya sAkzAtkaraNa-Sabda-vAcya-tvAt / tasmAt na-asti
   vastusākṣātkaraṇaṃ vibhramasyāpīti siddham / ataś ca vijñānaṃ	vastu-sAkzAt-karaNam viBramasya-api-iti sidDam / atas ca vijQAnam
   viṣayasākṣātkāri niyamena kalpanāvibhramābhyāṃ viparītaṃ bhavat	vizaya-sAkzAt-kAri niyamena kalpanA-viBramAByAm viparItam Bavat-
   kalpanāpoḍham abhrāntaṃ cāvatiṣṭhate / tatra kalpanāpoḍhapadenānumānasya	kalpanA-apoXam aBra-antam ca-avatizWate / tatra kalpanA-apoXa-padena-anumAnasya
   nirodhaḥ / abhrāntapadena dvicandrajñānādeḥ / anyārthaṃ kṛtam anyārthaṃ	niroDaH / aBrAnta-padena dvi-candra-jQAna-AdeH / anya-arTam kRtam anya-arTam
   bhavatīti nyāyāt paravipratipattir api nirākṛtā draṣṭavyā / tathā hi	Bavati-iti nyAyAt para-vipratipattiH api nirAkRtAH drazwavyA / taTA hi
   vaiyākaraṇair uktam /	vEyAkaraNEH uktam /
   na so 'sti pratyayo loke yaḥ śabdānugamād ṛte /	na saH asti pratyayaH loke yaH Sabda-anugamAt Rte /
   anuviddham iva jñānaṃ sarvaṃ śabdena jāyata //	anuvidDam iva jQAnam sarvam Sabdena jAyata //
   iti / sarvapratyayānāṃ śabdānugatarūpatve sati kasyacid api	iti / sarva-pratyayAnAm Sabda-anugata-rUpa-tve sati kasyacid api
   jñānasyārthasākṣātkaraṇayogāt / anubhavasiddhaṃ ca kalpanāpoḍhaṃ	jQAnasya-arTa-sAkzAt-karaNa-yogAt / anuBava-sidDam ca kalpanA-apoXam
   pratyakṣaṃ katham aṅkayate / aśvavikalpanakāle gor anubhavāt / tad	pratyakzam kaTam aFkayate / aSva-vikalpana-kAle goH anuBavAt / tat-
   evāvikalpakaṃ pratyakṣaṃ / na cāśvavikalpa eva gāṃ pratipadyate /	eva-avikalpakam pratyakzam / na ca-aSva-vikalpaH eva gAm pratipadyate /
   svanāmopasaṃhitasya tasya tena grahaṇāt / na ca vikalpāntaraṃ dṛṣyaṃ	sva-nAma-upasaMhitasya tasya tena grahaNAt / na ca vikalpa-antaram dRzyam
   saṃvedyate / etenāśvādivikalpakāle gavādivikalpo 'pi vyākhyātaḥ / tathā	saMvedyate / etena-aSva-Adi-vikalpa-kAle gavA-Adi-vikalpaH api vyAKyAtaH / taTA
   mīmāṃsakair api /	mImAMsakEH api /
   (Ts 280)	(TH 280)
   asti hy ālocanājñanaṃ prathamaṃnirvikalpakaṃ /	asti hi Alocana-AjQanam praTamaMniH-vikalpakam /
   bālamūkādivijñānasadṛśaṃ śuddhavastujam //	bAla-mUka-Adi-vijQAna-sadRSam SudDa-vastu-jam //
   tataḥ paraṃ punar vastudharmair jātyādibhir yayā /	tatas param punar vastu-DarmEH jAti-AdiBiH yayA /
   buddhyāvasīyate sāpi pratyakṣatvena saṃmatā // ity	budDyA-avasIyate sA-api pratyakza-tvena saMmatAH // iti-
   anena vikalpasyāpi pratyakṣatvam iṣṭam / naiyāyikādibhir api	anena vikalpasya-api pratyakza-tvam izwam / nEyAyika-AdiBiH api
   vyavasāyātmakam ity ādinā niścayasyaiva pratyakṣatvam uktam etad api	vyavasAya-Atmakam iti AdinA niScayasya-eva pratyakza-tvam uktam etat api
   kalpanāpoḍham ity anenaiva nirastam / yadi kalpanātmakaṃ pratyakṣaṃ syād	kalpanA-apoXam iti anena-eva nirastam / yadi kalpanA-Atmakam pratyakzam syAt-
   arthasākṣātkaritaiva hīyeta iti//	arTa-sAkzAt-karitA-eva hIyeta iti//
   9. abhrāntagrahaṇenāpi śuklaśaṅkhādau pītaśaṅkhādivijñānaṃ nirasyate /	9. aBra-anta-grahaNena-api Sukla-SaFKa-AdO pIta-SaFKa-Adi-vijQAnam nirasyate /
   saty api bhrame 'rthakriyāvisaṃvādābhāvāt / nāpi tad anumānaṃ yujyate	sati api Brame arTa-kriyA-visaMvAda-aBAvAt / na-api tat anumAnam yujyate
   liṅgajatvāt / ataḥ pratyakṣam iti / kathaṃ punar etad	liFga-ja-tvAt / atas pratyakzam iti / kaTam punar etat-
   abhrāntagrahaṇenāvisaṃvādārthena nirasyate / ucyate /	aBra-anta-grahaNena-avisaMvAda-arTena nirasyate / ucyate /
   adhyavasitārthākārapratirūpārthakriyāprāpter asaṃbhavāt / yadi hy	aDyavasita-arTa-AkAra-pratirUpa-arTa-kriyA-prApteH asaMBavAt / yadi hi-
   avisaṃvāditāmātreṇa pramāṇaṃ syāt keśoṇḍukādijñāne 'pi ālokādeḥ	avisaMvAditA-mAtreNa pramANam syAt keSoNxukA-Adi-jQAne api Aloka-AdeH
   saṃvādasaṃbhavāt tad api pramāṇaṃ syāt //	saMvAda-saMBavAt tat api pramANam syAt //
   10. tat pratyakṣaṃ caturvidhaṃ / indriyajñānaṃ mānasaṃ svasaṃvedanaṃ	10. tat pratyakzam caturviDam / indriya-jQAnam mAnasam sva-saMvedanam
   yogijñānaṃ ceti //	yogi-jQAnam ca-iti //
   11. indriyāṇāṃ cakṣuḥśrotaghrāṇajihvākāyānām āśritaṃ jñānam indriyajñānaṃ	11. indriyANAm cakzuH-Srota-GrANa-jihvA-kAyAnAm ASritam jQAnam indriya-jQAnam
   / svaviṣayakṣaṇopādeyasajātīyakṣaṇasahitenendriyajñānena	/ sva-viza-yakzaNa-upAdeya-sajAtI-yakzaNa-sahitena-indriya-jQAnena
   samanantarapratyayena janitaṃ manomātrāśrayatvān mānasam /	samanantara-pratyayena janitam manaH-mAtra-ASraya-tvAt mAnasam /
   sarvacittacaittānām ātmā saṃvedyate yena rūpeṇa tat svasaṃvedanam / yogaḥ	sarva-citta-cEttAnAm AtmA saMvedyate yena rUpeNa tat sva-saMvedanam / yogaH
   śamathaḥ prajñā yeṣām asti te yoginaḥ / teṣāṃ yaj jñānaṃ	SamaTaH prajQA yezAm asti te yoginaH / tezAm yat jQAnam
   pramāṇopapannārthabhāvanāprakarṣaparyantajaṃ tad yogijñānam / (Ts 281)	pramANa-upapanna-arTa-BAvanA-prakarza-paryanta-jam tat yogi-jQAnam / (TH 281)
   prakāracatuṣṭayākhyānena yair indriyam eva draṣṭṛ kalpitaṃ mānase ca	prakAra-catuzwaya-AKyAnena yEH indriyam eva drazwR kalpitam mAnase ca
   pratyakṣe doṣa udbhāvitaḥ svasaṃvedanaṃ nābhyupagataṃ yogijñānaṃ ca yogina	pratyakze dozaH udBAvitaH sva-saMvedanam na-aByupagatam yogi-jQAnam ca yogina
   eva na santi kutas teṣāṃ jñānam iti te sarve nirastā bhavanti //	eva na santi kutas tezAm jQAnam iti te sarve nirastAH Bavanti //
   12. tathā hi vaibhāṣikais tāvaj jñānasyāpratighatvād yadi tad draṣṭṛ syād	12. taTA hi vEBAzikEH tAvat jQAnasya-apratiGa-tvAt yadi tat drazwR syAt-
   tadā vyavahitam api gṛhṇīyād itīndriyaṃ draṣṭṛ kalpitaṃ / na caitad yuktam	tadA vyavahitam api gRhNIyAt iti-indriyam drazwR kalpitam / na ca-etat yuktam
   / yadi hi jñānaṃ gatvārthaṃ gṛhṇāti tadā gamanavibandhakābhāvād vyavahitam	/ yadi hi jQAnam gatvA-arTam gRhNAti tadA gamana-vibanDaka-aBAvAt vyavahitam
   api gṛhṇīyād iti yujyate vaktum / kiṃ tu / yadākāraṃ taj jñānam utpadyate	api gRhNIyAt iti yujyate vaktum / kim tu / yat-AkAram tat jQAnam utpadyate
   tat tena gṛhītam ity ucyate na cāyogyadeśastho 'rthas tatsarūpakaḥ / tat	tat tena gRhItam iti ucyate na ca-ayogya-deSa-sTaH arTaH tad-sarUpakaH / tat-
   kathaṃ tasya tena grahaṇaṃ syāt / kiṃ ca / yadīndriyaṃ draṣṭṛ syāt tadā	kaTam tasya tena grahaNam syAt / kim ca / yadi-indriyam drazwR syAt tadA
   kācādivyavahitasyārthasya grahaṇaṃ na syāt / sapratighā daśa rūpiṇa iti	kAca-Adi-vyavahitasya-arTasya grahaNam na syAt / sa-pratiGAH daSa rUpiNaH iti
   siddhāntāt / katham āgame uktam / cakṣuṣā gṛhyate rūpam iti / aupacāriko	sidDAntAt / kaTam Agame uktam / cakzuzA gRhyate rUpam iti / OpacAriko
   'sau nirdeśaḥ //	asO nirdeSaH //
   13. yad api kumārilādibhir uktam / yadīndriyajñānagṛhītam arthaṃ gṛhṇāti	13. yat api kumArila-AdiBiH uktam / yadi-indriya-jQAna-gRhItam arTam gRhNAti
   mānasam / tadā gṛhītagrāhitvād asyāprāmāṇyam / athendriyajñānāgṛhītam	mAnasam / tadA gRhIta-grAhi-tvAt asya-aprAmANyam / aTa-indriya-jQAna-agRhItam
   arthaṃ gṛhṇāti / tadā cāndhabadhirādyabhāvadoṣaprasaṅga iti / tad api	arTam gRhNAti / tadA ca-anDa-baDira-Adi-aBAva-doza-prasaFgaH iti / tat api
   svaviṣayakṣaṇopādeyasajātīyakṣaṇasahitenendriyajñānena yaj janitam ity	sva-viza-yakzaNa-upAdeya-sajAtI-yakzaNa-sahitena-indriya-jQAnena yat janitam iti-
   anenaiva nirastam / tathā hīndriyajñānaviṣayopādeyabhūtakṣaṇagrāhi mānasam	anena-eva nirastam / taTA hi-indriya-jQAna-vizaya-upAdeya-BU-ta-kzaNa-grAhi mAnasam
   / na ca indriyajñānam andhādīnām asti / tat kuto 'ndhabadhirādyahhāvadoṣaḥ	/ na ca indriya-jQAnam anDa-AdInAm asti / tat kutas anDa-baDira-Adi-ahha-ava-dozaH
   / nāpi (Ts 282) gṛhītagrāhitā / indriyajñānaviṣayopādeyabhūtakṣaṇasyānena	/ na-api (TH 282) gRhIta-grAhitA / indriya-jQAna-vizaya-upAdeya-BU-ta-kzaNasya-anena
   grahaṇāt / etac ca mānasaṃ pratyakṣam uparatavyāpāre cakṣurādau pratyakṣam	grahaNAt / etat ca mAnasam pratyakzam uparata-vyApAre cakzuH-AdO pratyakzam
   iṣyate / vyāpriyamāṇe punar etasmin yat pratyakṣaṃ tac ced anindriyajaṃ	izyate / vyApriyamANe punar etasmin yat pratyakzam tat ced anindriya-jam
   kim anyad indriyajaṃ bhaviṣyati / na ca nimīlitākṣasya rūpadarśanābhāvād	kim anyat indriya-jam Bavizyati / na ca nimIlita-akzasya rUpa-darSana-aBAvAt-
   anubhavaviruddhatvam āśaṅkanīyam / kṣaṇamātrabhāvitvena duravadhāratvāt //	anuBava-virudDa-tvam ASaFkanIyam / kzaNa-mAtra-BAvi-tvena duravaDAra-tvAt //
   14. kim arthaṃ tarhy etad upanyastam iti cet / ucyate / yat tat siddhānte	14. kim arTam tarhi etat upanyastam iti ced / ucyate / yat tat sidDAnte
   mānasam uktaṃ tad yady evaṃlakṣaṇaṃ syād tadā na kaścit parokto doṣa ity	mAnasam uktam tat yadi evaMlakzaNam syAt tadA na kaScid para-uktaH dozaH iti-
   ādarśayitum / yad api svasaṃvedanaṃ nābhyupagamyate parais cittacaittānāṃ	AdarSayitum / yat api sva-saMvedanam na-aByupagamyate parEH citta-cEttAnAm
   tad api ayuktam / na tāvac cittacaittānāṃ prakāśo nāsty eva / prakāśasya	tat api ayuktam / na tAvat citta-cEttAnAm prakASaH na-asti eva / prakASasya
   sarvaprāṇinām anubhavasiddhatvāt / na caiṣāṃ pareṇa prakāśo yuktaḥ / tad	sarva-prANinAm anuBava-sidDa-tvAt / na ca-ezAm pareNa prakASaH yuktaH / tat-
   dhi paraṃ samānakālabhāvi tāvat prakāśakam anupapannam upakārābhāvāt /	Di param samAna-kAla-BAvi tAvat prakASakam anupapannam upakAra-aBAvAt /
   bhinnakālabhāvy api na prakāśakaṃ prakāśyābhāvāt / tasmād yathā pradīpaḥ	Binna-kAla-BAvi api na prakASakam prakASya-aBAvAt / tasmAt yaTA pradIpaH
   prakāśakasvabhāvatvād ātmānaṃ prakāśayati tathā jñānam apīti / nanu	prakASaka-svaBAva-tvAt AtmAnam prakASayati taTA jQAnam api-iti / nanu
   pradīpo 'pi cakṣuṣā prakāśyata iti cet / na sajātīyaprakāśanirapekṣatvena	pradIpaH api cakzuzA prakASyate iti ced / na sajAtIya-prakASa-nirapekza-tvena
   dṛṣṭāntīkṛtatvāt //	dRzwAntIkRta-tvAt //
   15. kiṃ ca / yadi jñānam ātmānaṃ na saṃvedayate / tadā svato 'pratyakṣatve	15. kim ca / yadi jQAnam AtmAnam na saMvedayate / tadA svatas apratyakza-tve
   'rthānudbhavo 'py apratyakṣatayā na syāt / atra prayogaḥ / yad	arTAn-udBavaH api apratyakza-tayA na syAt / atra prayogaH / yat-
   avyaktavyaktikaṃ na tad vyaktaṃ / yathā kiṃcit kadācit kathaṃcid	avyakta-vyaktikam na tat vyaktam / yaTA kiMcid kadAcid kaTaMcid-
   avyaktavyaktikam / avyaktavyaktikaś ca jñānaparokṣatve ghaṭādir artha iti	avyakta-vyaktikam / avyakta-vyaktikaH ca jQAna-parokza-tve Gawa-AdiH arTaH iti
   vyāpakānupalabdhiprasaṅgaḥ / iha vyaktatvaṃ niṣedhyaṃ / tasya vyāpakaṃ	vyApaka-anupalabDi-prasaFgaH / iha vyakta-tvam nizeDyam / tasya vyApakam
   vyaktavyaktikatvam / tasya cehānupalabdhir iti / jñānasya jñānāntareṇa	vyakta-vyaktika-tvam / tasya ca-iha-anupalabDiH iti / jQAnasya jQAna-antareNa
   vyakter hetur ayam asiddha iti cet / (Ts 283) na / ghaṭādijñānodayakāle	vyakteH hetuH ayam asidDaH iti ced / (TH 283) na / Gawa-Adi-jQAna-udaya-kAle
