   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ko 'sāvabhināya ityāha  	kaH asO= aBinAyaH iti Aha  
   bhavedabhinayo 'vasthānukāraḥ sa caturvidhaḥ /	Bavet aBinayaH avasTA anukAraH sa caturviDaH /
   āṅgiko vācikaścaivamāhāryaḥ sāttvikastathā // VisSd_6.2 //	AFgikaH vAcikaH ca evam AhAryaH sAttvikaH taTA // VisSd _6.2 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) tadāropahetutvena prāptamabhinayaṃ pṛcchāte   ko 'sāviti /	(vi, Ga) tadAra upa hetu tvena prAptam aBinayam pRcCAte   kaH asO= iti /
        āhārya iti /	AhArya iti /
        āṅgikavācikau dvāvapyāhāryo /	AFgika vAcikO dvO= api AhAryaH /
        sātvikaḥ ca tena cāturvidhyam /	sAtvikaH ca tena cAturviDyam /
        tatra nāṭyasya sattvānudrekāt rasāveśābhāvena kriyamāṇavāhāryyau /	tatra nAwyasya sattva anudrekAt rasa AveSa aBAvena kriyamANa vAhAryyO /
        satvodrekādrasāveśena kriyamāṇai sāttvikau /	satva udrekAt rasa AveSena kriyamANE sAttvikO /
        Locanā:	LocanA:
        (lo, ī) aṅgakṛtaḥ āṅgikaḥ /	(lo, I) aFga kRtaH AFgikaH /
        vacasā vācikaḥ /	vacasA vAcikaH /
        āhāryyaṃ mukuṭakeyūrādiracanā /	AhAryyam mukuwa keyUra Adi racanA /
        sāttvikaḥ stambasvedādiḥ /	sAttvikaH stamba sveda AdiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   naṭairaṅgādibhī rāmayudhiṣṭhirādīnāmavasthānukaraṇamabhinayaḥ /	nawEH aFga AdiBiH rAma yuDizWira AdInAm avasTA anukaraNam aBinayaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi ṅa) taccatuḥ sādhāraṇamabhinayalakṣaṇamāha   naṭairaṅgādibhiriti	(vi Fa) tat catuH sADAraNam aBinaya lakzaNa m Aha   nawEH aFga AdiBiH iti
        aṅgaṃ śarīram /	aFgam SarIram /
        ādipadāt vacanaparigrahaḥ /	Adi padAt vacana parigrahaH /
        avasthāstadīyā dharmāḥ manaḥ kathāvākyapāṇḍutvādirūpaveśādhāraṇaḥ	avasTAH tadIyAH DarmAH manaH kaTA vAkya pANxu tva Adi rUpa veSa ADAraNaH
   tasyā anukaraṇaṃ tādrūpyeṇa pratyāyanam /	tasyAH anukaraNam tAdrUpyeNa pratyAyanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rupakasya bhedānāha  	rupakasya BedAn Aha  
   nāṭakamatha prakaraṇaṃ bhāṇavyāyogasamavakāraḍimāḥ /	nAwakam aTa prakaraNam BANa vyA yoga samavakAraximAH /
   īhāmṛgāṅkavīthyaḥ prahasanamiti rūpakāṇi daśa // VisSd_6.3 //	IhAmRgAFka vITyaH prahasanam iti rUpakANi daSa // VisSd _6.3 //
   kiñca   	kiQca   
   nāṭikā troṭakaṃ goṣṭhī saṭṭakaṃ nāṭyarāsakam /	nAwikA trowakam gozWI sawwakam nAwya rAsakam /
   prasthānollāpyakāvyāni preṅkhaṇaṃ rāsakaṃ tathā // VisSd_6.4 //	prasTAna ullApya kAvyAni preFKaNam rAsakam taTA // VisSd _6.4 //
   saṃlāpakaṃ śrīgaditaṃ śilpakaṃ ca vilāsikā /	saMlApakam SrI gaditam Silpakam ca vilAsikA /
   durmallikā prakaraṇī hallīśo bhāṇiketi ca // VisSd_6.5 //	durmallikA prakaraNI hallISaH BANikA iti ca // VisSd _6.5 //
   aṣṭādaśa prāhuruparūpakāṇi manīṣiṇaḥ /	azwAdaSa prAhuH uparUpakANi manIziNaH /
   vinā viśeṣaṃ sarveṣāṃ lakṣma nāṭakavanmatam // VisSd_6.6 //	vinA viSezam sarvezAm lakzma nAwaka vat matam // VisSd _6.6 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) daśavidhaṃ rūpakamuttkīrtyāṣṭādaśavidharūpakamutkīrttayati /	(vi, ca) daSaviDam rUpakam uttkIrtyA azwAdaSaviDa rUpakam utkIrttayati /
        kiñcanāṭiketi /	kiQcanAwikA iti /
        nāṭyātmakamityekam /	nAwya Atmakam iti ekam /
        vinā viśeṣamiti   taduktastattadviśeṣa eva bhedakaḥ /	vinA viSeza m iti   tad uktaH tad tad viSezaH eva BedakaH /
        taṃ vihāya sarveṣāṃ lakṣma lakṣaṇaṃ nāṭakavadevetyarthaḥ /	tam vihAya sarvezAm lakzma lakzaNam nAwaka vat eva iti arTaH /
        Locanā:	LocanA:
        (lo, u) lakṣma vakṣyamāṇaṃ lakṣaṇam /	(lo, u) lakzma vakzyamANam lakzaNam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sarveṣāṃ prakaraṇādirūpakāṇāṃ nāṭikādyuparūpakāṇāṃ ca /	sarvezAm prakaraNa Adi rUpakANAm nAwikA Adi uparUpakANAm ca /
   tatra   	tatra   
   nāṭakaṃ khyātavṛttaṃ syāt pañcasaṃdhisamanvitam /	nAwakam KyAta vRttam syAt paQca saMDi samanvitam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) nāṭakalakṣaṇamāha /	(vi, Ca) nAwaka lakzaNam Aha /
        nāṭakamiti   khyātetivṛttādayaḥ svayameva vyākhyāyante	nAwaka miti   KyAta iti vRtta AdayaH svayam eva vyAKyAyante
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vilāsarddhyādiguṇavadyuktaṃ nānāvibhūtibhaiḥ // VisSd_6.7 //	vilAsa RdDi Adi guNavat yuktam nAnA viBUti BEH // VisSd _6.7 //
   sukhaduḥkhasamudbhūti nānārasanirantaram /	suKa duHKa samudBUti nAnA rasa nirantaram /
   pañcādikā daśaparāstatrāṅkāḥ parikīrttitāḥ // VisSd_6.8 //	paQca AdikAH daSa parAH tatra aFkAH parikIrttitAH // VisSd _6.8 //
   prakhyātavaṃśo rājarṣirdhorodāttaḥ pratāpavān /	praKyAta vaMSaH rAjarziH DorA udAttaH pratApavAn /
   divyo 'tha divyādivyo vā guṇāvānnāyako mataḥ // VisSd_6.9 //	divyaH aTa divya AdivyaH vA guNAvAn nAyakaH mataH // VisSd _6.9 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja)	(vi, ja)
        [text missing in printed ed.]	[text missinc id printet ed.]
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   eka eva bhavedaṅgī śṛṅgāro vīra eva vā /	ekaH eva Bavet aFgI SRFgAraH vIraH eva vA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) eva eveti /	(vi, Ja) eva eva iti /
        nāṭake 'vāntaranānārasasambhave 'pi te 'ṅgānyeva /	nAwake avAntara nAnA rasa samBave api te aFgAni eva /
        samastarasanirvāhaḥ śṛṅgāravīrayoreka eva tvaṅgī pradhānamityarthaḥ /	samasta rasa nirvAhaH SRFgAra vIrayoH ekaH eva tu aFgI praDAnam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aṅgamanye rasāḥ sarve kāryo nirvahaṇo 'dbhutaḥ // VisSd_6.10 //	aFgamanye rasAH sarve kAryaH nirvahaNaH adButaH // VisSd _6.10 //
   catvāraḥ pañca vā mukhyāḥ kāryavyāpṛtapūruṣāḥ /	catvAraH paQca vA muKyAH kArya vyApRta pUruzAH /
   gopucchāgrasamāgraṃ tu bandhanaṃ tasya kīrtitam // VisSd_6.11 //	go pucCa agra sama agram tu banDanam tasya kIrtitam // VisSd _6.11 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ū) yathoddeśaṃ lakṣaṇamāha  naṭakāmeti /	(lo, U) yaToddeSam lakzaNam Aha  nawa kAma iti /
        yaduktaṃ kavinā /	yat uktam kavinA /
        nānāvibhūtisamayuktamṛddhivilāsādibhirguṇaiścaiveti /	nAnA viBUti sama yuktam RdDi vilAsa AdiBiH guNEH ca eva iti /
        nirvahaṇe 'ntimasandhau catvāraḥ pañca vā ityupalakṣaṇamātraṃ	nirvahaNe antima sanDO catvAraH paQca vA iti upalakzaNa mAtram
   kāryavyāpāriṇāṃ prayatne nālpatvaṃ vidheyam, bahutve 'bhinayaduḥ	kArya vyApAriNAm prayatne na alpa tvam viDeyam, bahu tve aBinayaduH
   khāvahatvāt /	KAvaha tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   khyātaṃ rāmāyaṇādiprasiddhaṃ vṛttam /	KyAtam rAmAyaNa Adi prasidDam vRttam /
   yathā  rāmacaritādi /	yaTA  rAma carita Adi /
   sandhayo vakṣyante /	sanDayaH vakzyante /
   nānāvibhūtibhiryuktamiti mahāsahāyam /	nAnA viBUtiBiH yuktam iti mahAsahAyam /
   sukhaduḥkhasamudbhūtatvaṃ rāmayudhiṣṭhirādivṛttānteṣvabhiktam /	suKa duHKa samudBUta tvam rAma yuDizWira Adi vRttAntezu aBiktam /
   rājarṣayo duṣyantādayaḥ /	rAjarzayaH duzyanta AdayaH /
   divyāḥ śrīkṛṣṇādayaḥ /	divyAH SrI kRzNa AdayaH /
   divyā divyaḥ, yo divyo 'pyātmaninarābhimānī /	divyAH divyaH, yaH divyaH api Atma ninara aBimAnI /
   yathā śrīrāmacandraḥ /	yaTA SrI rAma candraH /
   gopucchagrasamāgramiti "krameṇāṅkāḥ sūkṣmāḥ kartavyāḥ" iti kecit /	go pucCagra sama agram iti "krameNa aFkAH sUkzmAH kartavyAH" iti kecid /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ṛ) sūkṣmāḥ svalpāḥ /	(lo, R) sUkzmAH su alpAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   anye tvāhuḥ  "yathā gopucche kecidvālā hrasvāḥ keciddīrghāstatheha	anye tu AhuH  "yaTAH gopucCe kecid vAlAH hrasvAH kecid dIrGAH taTA iha
   kānicitkāryāṇi mukhasaṃdho samāptāni kānicitpratimukhe /	kAnicid kAryANi muKa saMDaH samAptAni kAnicid pratimuKe /
   evamanyeṣvapi kānicitkānicit" iti /	evam anyezu api kAnicid kA nicit" iti /
   pratyakṣanetṛcarito rasabhāvasamujjvalaḥ /	pratyakzanetR caritaH rasa BAva samujjvalaH /
   bhavedagūḍhaśabdārthaḥ kṣudracūrṇakasaṃyutaḥ // VisSd_6.12 //	Bavet agUXa Sabda arTaH kzudra cUrNaka saMyutaH // VisSd _6.12 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ṝ) ko 'sāvaṅka ityāha   pratyakṣa iti /	(lo, L) kaH asO= aFkaH iti Aha    pratyakzaH iti /
        netārau nāyako nāyikā ca /	netArO nAyakaH nAyikA ca /
        tayorekasya dvayorvā caritaṃ tatra pratyakṣaṃ darśanīyamiti bhāvaḥ /	tayoH ekasya dvayoH vA caritam tatra pratyakzam darSanIyam iti BAvaH /
        cūrṇakānāṃ kṣudratvaṃ jhaṭiti bodhaphalaṃ	cUrNakAnAm kzudra tvam Jawiti boDa Palam
   vicchinnāvanāntaraikārthatvādi antimāṅkavarjaṃ nyāyasiddham /	vicCinnA vana antara eka arTa tva Adi antima aFka varjam nyAya sidDam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vicchinnāvāntaraikārthaḥ kiñcitsaṃlagnabindukaḥ /	vicCinnOvAntara eka arTaH kiQcid saMlagna bindukaH /
   yukto na bahubhiḥ kāryairbojasaṃhṛtimānna ca // VisSd_6.13 //	yuktaH na bahuBiH kAryEH boja saMhRtimAn na ca // VisSd _6.13 //
   nānāvidhānasaṃyukto nātipracurapadyavān /	nAnA viDAna saMyuktaH na ati pracura padyavAn /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, ḷ) tatra sarvārthavicchedāt /	(lo, ?) tatra sarva arTa vicCedAt /
        padyānāṃ prācuryamabhinayaduḥ khāvahatvāt heyam /	padyAnAm prAcuryam aBinaya duH KAvaha tvAt heyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āvaśyakānāṃ kāryāṇāmavirodhādvinimitaḥ // VisSd_6.14 //	AvaSyakAnAm kAryANAm aviroDAt vinimitaH // VisSd _6.14 //
   nānekadinanirvartyakathayā saṃprayojitaḥ /	na aneka dina nirvartya kaTayA saMprayojitaH /
   āsannanāyakaḥ pātrairyutastricaturaistathā // VisSd_6.15 //	Asanna nAyakaH pAtrEH yutaH tricaturEH taTA // VisSd _6.15 //
   dūrāhvānaṃ vadho yuddhaṃ rājyadeśādiviplavaḥ /	dUra AhvAnam vaDaH yudDam rAjya deSa Adi viplavaH /
   vivāho bhojanaṃ śāpotsargau mṛtyū rataṃ tathā // VisSd_6.16 //	vivAhaH Bojanam SApa utsargO mRtyuH ratam taTA // VisSd _6.16 //
   dantacchedyaṃ nakhacchedyamanyadvrīḍākaraṃ ca yat /	danta= Cedyam naKa= Cedyam anyat vrIxA akaram ca yat /
   śayanādharapānādi nagarādyavarodhanam // VisSd_6.17 //	Sayana aDara pAna Adi nagara Adi avaroDanam // VisSd _6.17 //
   snānānulepane caibhirvarjito nāstivistaraḥ /	snAna anulepane ca eBiH varjitaH nAsti vistaraH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) khyātaṃ rāmāyaṇadīti   kāryaṃ nirvahaṇe 'dbhutamiti yaduktaṃ	(vi, Qa) KyAtam rAmAyaNa dIti    kAryam nirvahaNe adButam iti yat uktam
   tattatprakīṇārtasamuccayīkaraṇarūpe nirvahaṇe 'dbhutaṃ kāryamityarthaḥ /	tad tad prakINa Arta samuccayIkaraNa rUpe nirvahaNe adButam kAryam iti arTaH /
        nirvahaṇasandhirhi nānāsthale prakīrṇarthānāṃ	nirvahaNa sanDiH hi nAnA sTale prakIrNarTAnAm
   vaiśiṣṭyarūpamaikātmyamiti vakṣyate /	vESizwya rUpam EkAtmyam iti vakzyate /
        sandhayo vakṣyante /	sanDayaH vakzyante /
        tatraikenaiva prayojanenānvitānāṃ kathāṃśānāmavāntaraikārthasaṃbandha	tatra ekena eva prayojanena anvitAnAm kaTA aMSAnAm avAntara eka arTa saMbanDa
   iti sandhisāmānyalakṣaṇam /	iti sanDi sAmAnya lakzaNam /
        tatra ca ekenaikenetyarthaḥ /	tatra ca ekena ekena iti arTaH /
        tatra itivṛttasyotsāhasahitabījasamutpattirmukhasandhiḥ /	tatra iti vRttasya utsAha sahita bIja samutpattiH muKa sanDiH /
        itivṛttamabhinetavyaprasaṅgaḥ /	iti vRttam aBinetavya prasaFgaH /
        bījaṃ tadaṅkuraḥ tasyaiva yatnayukta udbhedaḥ pratimukhasandhiḥ /	bIjam tat aFkuraH tasya eva yatna yuktaH udBedaH pratimuKa sanDiH /
        hrāsonmeṣavānuddeśyaprāptyāśāyuktaḥ phalapradhānopāyasyodbhedo	hrAsa unmeza vAn uddeSya prApti ASA yuktaH Pala praDAna upAyasya udBedaH 
   garbhasandhiḥ /	garBa sanDiH /
        garbhasandhitoradhikatayā udbhinno mukhyaphalopāyaḥ śāpādinā vighnito	garBa sanDitoH aDika tayA udBinnaH muKya Pala upAyaH SApa AdinA viGnitaH 
   vimarṣasandhiḥ /	vimarza sanDiH /
        bījavatāṃ prakīrṇanāṃsakalasandhyuktārthānāmekārthatāprāpaṇaṃ	bIjavatAm prakIrNa nAMsakala sanDi ukta arTAnAm ekArTa tA prApaNam
   nirvahaṇasandhiḥ /	nirvahaNa sanDiH /
        ayamupasaṃhṛtisandhirityucyate /	ayam upasaMhRti sanDiH iti ucyate /
        ete pañca sandhayaḥ /	ete paQca sanDayaH /
        mahāsahāyamati /	mahAsahAyam ati /
        rāmādeḥ sugrīvādayo mahāsahāyāḥ /	rAma AdeH sugrIva AdayaH mahA sahAyAH /
        nāyakaḥ pradhānapātram /	nAyakaH praDAna pAtram /
        pañcādhikadaśaparāstatrāṅkā ityuktatvāt paricchedarūpasyāṅkasya	paQca aDika daSa parAH tatra aFkAH iti ukta tvAt paricCeda rUpasya aFkasya
   svarūpamāha   pratyakṣeti /	svarUpam Aha    pratyakzA iti /
        pratyakṣanetreti /	pratyakza netra iti /
        aṅka iti kīrttita ityagrenvayaḥ /	aFkaH iti kIrttitaH iti agrenu ayaH /
        netā nāyakaḥ, taccaritaṃ pratyakṣaṃ yatra tādṛśaḥ /	netA nAyakaH, tat caritam pratyakzam yatra tAdRSaH /
        rasabhāveti /	rasa BAva iti /
        bhāvo nāyakanāyakayorākūtam /	BAvaH nAyaka nAyakayoH AkUtam /
        kṣudracūrṇakamadīrghasamāsaṃ saṃskṛtam /	kzudra cUrNa kama dIrGa samAsam saMskRtam /
        vicchinneti /	vicCinnA iti /
        vyāpakaprasaṅgasya evadeśarūpor'tho vicchinnasamāpito yatra tādṛśaḥ /	vyApaka prasaFgasya eva deSa rUpor aTo vicCinna samApitaH yatra tAdRSaH /
        kiñcitsaṃsagnabinduka iti /	kiQcid saMsagna bindukaH iti /
        avāntarārthavicchede 'pi prasaṅgāntaroktyākāṅkṣotthāpakaṃ vastu	avAntara arTa vicCede api prasaFga antara ukti AkAFkza utTApakam vastu
   bindusaṃjñakam /	bindu saMjQakam /
        "avāntarārthavicchede bindvavicchedakāraṇam"iti vakṣyamāṇatvāt /	"ava antara arTa vicCede bindu avicCeda kAraNam "iti vakzyamANa tvAt /
        kiñcittadvān ityarthaḥ /	kiQcid tadvAn iti arTaH /
        bījamabhinetavyaprasaṅgasyāṅkura ityarthaḥ /	bIjam aBinetavya prasaFgasya aFkuraH iti arTaH /
        naca tatsaṃhṛtimān tadvicchedavān /	na ca tad saMhRtimAn tad vicCedavAn /
        aṅke 'bhinetavyavastunāṃ niṣedhamāha   dūrāhvānamiti /	aFke aBinetavya vastunAm nizeDa mAha   dUra AhvAnam iti /
        dūrasthajanasyāhvānamityarthaḥ /	dUra sTa janasya AhvAnam iti arTaH /
        bhojanamannabhojanam /	Bojanam anna Bojanam /
        dantacchedyanakhacchedyayorvastunorapi bhakṣaṇaniṣedhaḥ /	danta= Cedya naKa= CedyayoH vastunoH api BakzaNa nizeDaH /
        tadapi nābhinetavyamityarthaḥ /	tat api na aBinetavyam iti arTaH /
        eṣāmabhinayaḥ sadasyānāmamaṅgalamitya bhiprāyaḥ /	ezAm aBinayaH sa dasyAnAm amaFgalamitya BiprAyaH /
        Locanā:	LocanA:
        (lo, e) nāneketyādinā   ekadine kathaivāṅke 'bhineyā iti	(lo, e) na aneka ityAdi nA   eka dine kaTA eva aFke aBineyAH iti
   tricaturairiti pūrvavadupalakṣaṇam /	tricaturEH iti pUrvavat upalakzaNam /
        dūrāhvānamityādibhirvarjita iti sambandhaḥ /	dUra AhvAnam ityAdiBiH varjitaH iti sambanDaH /
        vūdhayuddhādikañca yasya kasyacit mukhenānyena vā	vUDa yudDa Adi kaQca yasya kasyacid muKena anyena vA
   kavipratibhotthitena prakāreṇa darśanīyam /	kavi pratiBA utTitena prakAreNa darSanIyam /
        tathārthepakṣepakairiti vakṣyate /	taTA arTa IpakzepakEH iti vakzyate /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   devīparijanādīnāmamātyavaṇijamapi // VisSd_6.18 //	devI parijana AdInAm amAtya vaNijam api // VisSd _6.18 //
   pratyakṣacitracaritairyukto bhāvarasodbhavaiḥ /	pratyakza citra caritEH yuktaH BAva rasa udBavEH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) devīparijanādīnāṃ pratyakṣacitracaritairyukta ityanvayaḥ /	(vi, wa) devI parijana AdInAm pratyakza citra caritEH yuktaH iti anvayaH /
        bhāvarasodbhavairiti /	BAva rasa udBavEH iti /
        bhāvo līlā raso vaidagdhyam /	BAvaH lIlA rasaH vEdagDyam /
        tena rasabhāvasamujjvala ityanena na paunaruktyam /	tena rasa BAva samujjvalaH iti anena na pOnaruktyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   antaniṣkrāntanikhilapātro 'ṅka iti kīrttitaḥ // VisSd_6.19 //	anta nizkrAnta niKila pAtraH aFkaH iti kIrttitaH // VisSd _6.19 //
   bindvādayo vakṣyante /	bindu AdayaH vakzyante /
   āvaśyakaṃ saṃdhyāvandanāhi /	AvaSyakam saMDyA vandanAhi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) kandhyāvandanādīti /	(vi, Wa) kanDyA vandana Adi iti /
        rasāntaraprasaktasya nāyakasyeti bodhyam /	rasa antara prasaktasya nAyakasya iti boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aṅkaprastāvādgarbhāṅkamāha 	aFka prastAvAt garBa aFkam Aha 
   aṅkodarapraviṣṭo yo raṅga dvārāmukhādimān /	aFka udara pravizwaH yaH raFga dvArA muKa AdimAn /
   aṅko 'paraḥ sa garbhāṅkaḥ sabījaḥ phalavānapi // VisSd_6.20 //	aFkaH aparaH sa garBa aFkaH sa bIjaH PalavAn api // VisSd _6.20 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) garbhāṅkaḥ pradhānāṅkamadhye 'vāntaravicchedarūpo 'paro	(vi, xa) garBa aFkaH praDAna aFka maDye avAntara vicCeda rUpaH aparaH 
   'ṅkastallakṣaṇamāha  aṅkodareti /	aFkaH tad lakzaNam Aha  aFka udara iti /
        prathamato 'bhinayena naṭapraveśo raṅgadvāram /	praTamatas aBinayena nawa praveSaH raFga dvAram /
        tadvakṣyati "yasmādabhinayāt pūrvam"ityādinātra cābhinayo	tat vakzyati "yasmAt aBinayAt pUrvam "itya AdinA atra ca aBinayaH 
   nāṭyavastupradarśanam /	nAwya vastu pradarSanam /
        garbhāṅkaḥ prathamāṅka eveti niyamābhāvāt āha  raṅgadvārāmukhādīti /	garBa aFkaH praTama aFkaH eva iti niyama aBAvAt Aha  raFga dvArA muKa Adi iti /
        āmukhaṃ prastāvanā tallakṣaṇamagre vakṣyate /	AmuKam prastAvanA tad lakzaNam agre vakzyate /
        raṅgadvārāmukhe prathamāṅke /	raFga dvArA muKe praTama aFke /
        ādipadāt	AdipadAt 
   vakṣyamāṇalakṣaṇakaśuddhasaṃkīrṇaviṣkambhakadvayasyapraveśakasya ca	vakzyamANa lakzaNaka SudDa saMkIrNa vizkamBaka dvayasya praveSakasya ca
   parigrahaḥ /	parigrahaH /
        vakṣyate hi   vṛttavarttiṣyamāṇakathāṃśapradarśakobhinayo	vakzyate hi   vRtta varttizyamANa kaTA aMSa pradarSa koBinayaH 
   viṣkambhakaḥ /	vizkamBakaH /
        saca madhyavidhajanapravarttitaḥ śuddhaḥ /	saca maDya viDa jana pravarttitaH SudDaH /
        madhyanīcābhyāṃ pravarttitaḥ saṃkīrṇaḥ /	maDya nIcAByAm pravarttitaH saMkIrNaH /
        nīcajanamātrapravarttitaḥ praveśakaḥ /	nIca jana mAtra pravarttitaH praveSakaH /
        teṣāntu sakalāṅka eva sambhavaḥ /	tezAntu sakala aFkaH eva samBavaH /
        aṅkodara iti /	aFkodaraH iti /
        mukhyanāṭakamadhye kenāpi pātreṇa nāṭakāntarapradarśanaṃ garbhāṅka	muKya nAwaka maDye kena api pAtreNa nAwaka antara pradarSanam garBa aFka
   ityarthaḥ /	iti arTaH /
        tatpradarśanaphalamāha   sabīja iti	tad pradarSana Palam Aha   sa bIjaH iti
   tatpradarśanāt,mukhyanāṭakabhinetavyārthasyāṅkuraphalayorlābhāt tad	tad pradarSana at, muKya nAwaka Binetavya arTasya aFkura PalayoH lABAt tat 
   dvayavānityarthaḥ /	dvayavAn iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā bālarāmāyaṇo rāvaṇaṃ prati kohalaḥ   	yaTA bAla rAmAyaNaH rAvaNam prati kohalaH   
   "śravaṇaiḥ peyamanekairdṛśyaṃ dīrghaiśca locanairbahubhiḥ /	"SravaNEH peyam anekEH dRSyam dIrGEH ca locanEH bahuBiH /
   bhavadarthamiva nibaddhaṃ nāṭyaṃ sītāsvayaṃvaraṇam" //	Bavat arTam iva nibadDam nAwyam sItA svayaMvaraNam" //
