   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   yatrendranīlopalakuṭṭimeṣu praviṣṭabimbāṃ prathamendulekhām /	yatra-indranIla-upala-kuwwimezu pravizwa-bimbAm praTama-indu-leKAm /
   mṛṇālakhaṇḍaspṛhayā marālāścañcūpuṭaiścarvitumutsahante // 1.25 //	mRNAla-KaNxa-spRhayA marAlAH-caQcU-puwEH-carvitum-utsahante // 1.25 //
   abhyudgataṃ yadgṛhadhūparāśimakāṇḍaghāṭīpaṭurāhudarśam /	aByudgatam yat-gRha-DUpa-rASima-kANxa-GAwI-pawuH-Ahu-darSam /
   paśyan bhayenaiva patirdinānāmantardadhātyambudharāṭavīṣu // 1.26 //	paSyan Bayena-eva patiH-dinAnAm-antardaDAti-ambuDarAwavIzu // 1.26 //
   bimbapraviṣṭāḥ sphaṭikasthalīṣu vakraśriyo yadvaravarṇinīnām /	bimba-pravizwAH sPawika-sTalIzu vakra-SriyaH yat-varavarNinInAm /
   vikāsināṃ vyomanadījaleṣu saroruhāṇāṃ vitaranti śaṅkām // 1.27 //	vikAsinAm vyoma-nadI-jalezu saroruhANAm vitaranti SaFkAm // 1.27 //
   sālaṃ yadīyaṃ samatītya gantumapārayan dhikkṛtacakravālam /	sAlam yadi-iyam samatItya gantum-apArayan DikkRta-cakravAlam /
   patistviṣāmuttaradakṣiṇārdhavyājena tatpārśvabhuvā prayāti // 1.28 //	patiH-tvizAm-uttara-dakziNa-arDa-vyAjena tad-pArSva-BuvA prayAti // 1.28 //
   prabhañjanakṣobhavijṛmbhitābhirvīcibhirullaṅghitatīradeśam /	praBaQjana-kzoBa-vijRmBitABiH-vIciBiH-ullaFGita-tIra-deSam /
   khātaṃ yadīyaṃ kalaśāmburāśiṃ jetuṃ samudyogamivātanoti // 1.29 //	KAtam yadi-iyam kalaSa-ambu-rASim jetum samudyogam-iva-Atanoti // 1.29 //
   kananti kālāgarudhūpamiśrā yatsaudhacīnadhvajavaijayantyaḥ /	kananti kAlAgaru-DUpa-miSrAH yad-sODa-cIna-Dvaja-vEjayantyaH /
   kallolabhinnāstapanātmajāyāḥ svarlokasindhoriva vīcimālāḥ // 1.30 //	kallola-BinnAH-tapana-AtmajAyAH svar-loka-sinDoH-iva vIci-mAlAH // 1.30 //
   mahīpatistatra babhūva mānyaḥ śākyānvayaḥ śāśvatarājalakṣmīḥ /	mahIpatiH-tatra baBUva mAnyaH SAkya-anvayaH SASvata-rAja-lakzmIH /
   dharmānurodhārjanaśuddhavṛttiḥ śuddhodano nāma yathārthanāmā // 1.31 //	Darma-anuroDa-arjana-SudDa-vRttiH SudDodanaH nAma yaTArTa-nAmA // 1.31 //
   vibhuḥ pratāpānalameva vīdhraṃ vivāhasākṣye viracayya vīraḥ /	viBuH pratApa-analam-eva vIDram vivAha-sAkzye viracayya vIraH /
   yaḥ paryaṇaiṣīdarirājalakṣmīṃ kṛpāṇadhārājalapātapūrvam // 1.32 //	yaH paryaNEzIt-ari-rAja-lakzmIm kRpANa-DArA-jala-pAta-pUrvam // 1.32 //
   yaḥ pūrvamādhāya mahābhiṣekaṃ kṛtebhakumbhairgaladasrapūraiḥ /	yaH pUrvam-ADAya mahA-aBizekam kRta-iBa-kumBEH-gala-dasra-pUrEH /
   paścādarīṇāṃ hṛdayāravindaiḥ pupoṣa pūjāṃ raṇadevatāyāḥ // 1.33 //	paScAt-arINAm hRdaya-aravindEH pupoza pUjAm raNa-devatAyAH // 1.33 //
   pāṇau kṛpāṇī virarāja yasya vibhūṣitāṅgī pulakākṣareṇa /	pANO kRpANI virarAja yasya viBUzita-aFgI pulaka-akzareNa /
   ākāraṇāya dviṣatāṃ yamena sampreṣitā śāsanapatrikeva // 1.34 //	AkAraNAya dvizatAm yamena samprezitA SAsana-patrikA-iva // 1.34 //
   niruddhabhūbhṛnmahimātireko niḥśeṣapītāhitavāhinīśaḥ /	nirudDa-BUBRt-mahimA-atirekaH niHSeza-pIta-Ahita-vAhinISaH /
   yaccandrahāso bhuvanaprasādaṃ prāsūyatāgastya ivodayena // 1.35 //	yat-candrahAsaH Buvana-prasAdam prAsUyatA-agastyaH iva-udayena // 1.35 //
   yo vāhinīṃ megha ivāttadhanvā vipakṣabhūbhṛtkaṭakaprabhūtām /	yaH vAhinIm meGaH iva-Atta-DanvA vipakza-BUBRt-kawaka-praBUtAm /
   āsārayannākularājahaṃsāṃ cakre samuccelakabandhanṛttām // 1.36 //	AsArayan=-Akula-rAjahaMsAm cakre samuccelaka-banDa-nRt-tAm // 1.36 //
   alaṃkṛtāṅgāḥ subhaṭāntramālyairādāya śṛṅgāniva nāgahastān /	alaMkRta-aFgAH su-Bawa-antra-mAlyEH-AdAya SRFgAn-iva nAga-hastAn /
   yadvairiraktāmbutaraṅgiṇīṣu vyātyukṣilīlā vidadhuḥ piśācāḥ // 1.37 //	yat-vEri-rakta-ambu-taraFgiNIzu vyAti-ukzi-lIlAH vidaDuH piSAcAH // 1.37 //
   praśastivadhvā pravarasya yasya pratāpadīpāñjanasaṃgrahāya /	praSasti-vaDvA pravarasya yasya pratApa-dIpa-aQjana-saMgrahAya /
   āsthāpitaṃ pātramivendranīlamabhraṃ ghanaśyāmalamābabhāṣe // 1.38 //	AsTApitam pAtram-iva-indranIlam-aBram Gana-SyAmalam-AbaBAze // 1.38 //
   āpūrite nirbharamantarikṣe yasyāṇḍakukṣimbharibhiryaśobhiḥ /	ApUrite nirBaram-antarikze yasya-aNxa-kukzimBariBiH-yaSoBiH /
   pṛthvīpatīnāṃ yaśasaḥ prasartumāsīt pareṣāmiva nāvakāśaḥ // 1.39 //	pRTvIpatInAm yaSasaH prasartum-AsIt parezAm-iva na-avakASaH // 1.39 //
   yaśastadīyaṃ yadi nābhaviṣyacchītāṃśuśubhraṃ śiśiropacāraḥ /	yaSaH-tadIyam yadi na-aBavizyat-SItAMSu-SuBram SiSira-upacAraH /
   soḍhuṃ pratāpānalamaprasahyamapārayiṣyat kathameṣa lokaḥ // 1.40 //	soXum pratApa-analam-aprasahyam-apArayizyat kaTam-eza lokaH // 1.40 //
   bhujena bhogīndradhurandhareṇa yasmin dṛḍhaṃ bhūvalayaṃ dadhāne /	Bujena Bogi-indraDuranDareNa yasmin dRXam BU-valayam daDAne /
   pratyarthikāntābhujavallarībhyaḥ papāta bhūṣāvalayaṃ vicitram // 1.41 //	pratyarTikAnta-aBuja-vallarIByaH papAta BUzA-valayam vicitram // 1.41 //
   dayālumāśritya tamatyudāraṃ vanīpakā nāparamabhyagacchan /	dayAlum-ASritya tam-ati-udAram vanIpakAH na-aparam-aByagacCan /
   āsādya vārākaramambubāhāḥ kāsāramanyaṃ kimu kāmayante! // 1.42 //	AsAdya vArAkaram-ambu-bAhAH kAsAram-anyam kimu kAmayante! // 1.42 //
   tasyāṃsadhārāsadane 'vataṃsamālyāsavasyandanitāntaśīte /	tasya-aMsa-DArA-sadane avataMsa-mAlya-Asava-syandanitAnta-SIte /
   bahiḥ pratāpajvaravihvaleva vimuktalauyā vijahāra lakṣmīḥ // 1.43 //	bahis pratApa-jvara-vihvalA-iva vimukta-lOyA vijahAra lakzmIH // 1.43 //
   tasyābhiṣeke sacivāvamuktairgaṅgāditīrthopanataiḥ payobhiḥ /	tasya-aBizeke saciva-avamuktEH-gaFgA-Adi-tIrTa-upanatEH payoBiH /
   śatrupratāpānalaśaktitarāsi sahaiva puṃsāṃ hṛdayajvareṇa // 1.44 //	Satru-pratApa-anala-SaktitarA-asi saha-eva puMsAm hRdaya-jvareNa // 1.44 //
   suvarṇarūpaṃ sumanoniṣevyaṃ tuṅgaṃ sudharmāspadamadvitīyam /	suvarNa-rUpam sumanaH-nizevyam tuFgam suDarma-Aspadam-advitIyam /
   taṃ bhūbhṛtaṃ merumiva prapannāścakāśire ṣaḍguṇaratnasārthāḥ // 1.45 //	tam BUBRtam merum-iva prapanna-aH-cakASire zaxguNa-ratna-sArTAH // 1.45 //
   anyatra karṇaḥ sudhiyāmasaktastasyāpadānaśravaṇe sasajja /	anyatra karNaH suDiyAm-asaktaH-tasya-apadAna-SravaNe sa-sajjaH /
   apāsya pīyūṣarasaṃ surāṇāṃ rasāntare kiṃ ramate rasajñā! // 1.46 //	apAsya pIyUza-rasam surANAm rasa-antare kim ramate rasajQA! // 1.46 //
   sahasraśassantvapare 'pi bhūpāstenaiva saurājyavatī dharitrī /	sahasraSassantu-apare api BUpAH-tena-eva sOrAjyavatI DaritrI /
   anekaratnaprabhavo 'yudanvān ratnākaro 'bhūnnanu kaustubhena // 1.47 //	aneka-ratna-praBavaH ayudanvAn ratna-AkaraH aBUt-nanu kOstuBena // 1.47 //
   mahātmanā tena makhairajasramāhūyamāneṣvamṛtāśaneṣu /	mahAtmanA tena maKEH-ajasram-AhUyamAnezu-amRta-aSanezu /
   pariṣkriyājāyata pārijātaḥ paraṃ surādhīśvararājadhānyāḥ // 1.48 //	parizkriyA-ajAyata pArijAtaH param sura-aDISvara-rAjaDAnyAH // 1.48 //
   tasyāpadānāni taṭasthitābhiḥ saṅgīyamānāni surāṅganābhiḥ /	tasya-apadAnAni tawa-sTitABiH saFgIyamAnAni sura-aFganABiH /
   ākarṇya harṣād dravatīva meruradyāpi niṣyandajalāpadeśāt // 1.49 //	AkarNya harzAt dravati-iva meruH-adya-api nizyanda-jala-apadeSAt // 1.49 //
   tasmin nṛpe tanvati dānavarṣaṃ naiko 'pyasampūrṇamanoratho 'bhūt /	tasmin nRpe tanvati dAna-varzam na-ekaH api-asampUrNa-manoraTaH aBUt /
   mahāghane varṣati baddhadhāramalabdhapūrttyasti saraḥ kimurvyām! // 1.50	mahA-Gane varzati badDa-DAram-alabDa-pUrtti-asti saraH kimurvyAm! // 1.50
   nadīva sindhornalinīva bhānoḥ kaleva cendoḥ kamaleva viṣṇoḥ /	nadI-iva sinDoH-nalinI-iva BAnoH kalA-iva ca-indoH kamalA-iva vizNoH /
   saudāminīvāmbudharasya tasya māyeti nāmnā mahiṣī babhūva // 1.51 //	sOdAminI-iva-ambuDarasya tasya mAyA-iti nAmnA mahizI baBUva // 1.51 //
   tasyāḥ pravālodarasodarābhaṃ yugmaṃ padāmbhoruhayorbabhāra /	tasyAH pravAla-udara-sodara-ABam yugmam pada-amBoruhayoH-baBAra /
   sāmantakāntālakavallarīṇāṃ puṣpāyamāṇān nakhapūrṇacandrān // 1.52 //	sAmanta-kAntAlaka-vallarINAm puzpAyamANAn naKa-pUrNa-candrAn // 1.52 //
   vijṛmbhamāṇā nakharatnadīptiḥ padasya tasyāḥ patidevatāyāḥ /	vijRmBamANA naKa-ratna-dIptiH padasya tasyAH pati-devatAyAH /
   cakāra śaṅkāṃ śaraṇāgatāyāḥ svarbhānubhītyā śaśicandrikāyāḥ // 1.53 //	cakAra SaFkAm SaraNa-AgatAyAH svarBAnu-BItyA SaSi-candrikAyAH // 1.53 //
   ākāramatyadbhutasanniveśaṃ dadhānayordaśitasaukumāryam /	AkAram-ati-adButa-sanniveSam daDAnayoH-daSita-sOkumAryam /
   tajjaṅghayostādṛśakāntimatyorna cādhikaṃ nāpi samaṃ babhūva // 1.54 //	tad-jaFGayoH-tAdRSa-kAnti-matyoH-na ca-aDikam na-api samam baBUva // 1.54 //
   ye darśanīyā dviparājahastā ye cābhijātāḥ kadalīviśeṣāḥ /	ye darSanIyAH dvipa-rAjahastAH ye ca-aBijAtAH kadalI-viSezAH /
   tadūrukāṇḍadvayajṛmbhamāṇasaundaryaratnākarabindavaste // 1.55 //	tad-Uru-kANxa-dvaya-jRmBamANa-sOndarya-ratna-Akara-bindavaH-te // 1.55 //
   māṇikyakāñcīvalayānuviddhaśroṇībharā kṣmāpatidharmapatnī /	mANikya-kAQcI-valaya-anuvidDa-SroNI-BarA kzmApati-Darma-patnI /
   vasundharevārṇavaratnagarbhavelāsamāliṅgitasaikatāntā // 1.56 //	vasunDarA-iva-arNava-ratna-garBa-velA-samAliFgita-sEkata-antAH // 1.56 //
   surārṇavāvartamanojñaśobhaṃ natabhruvo 'lakṣyata nābhirandhram /	sura-arNava-Avarta-manojQa-SoBam nata-BruvaH alakzyata nABi-ranDram /
   kucādrikāntidravanirjharasya nimnīkṛtaṃ sthānamiva prapātaiḥ // 1.57 //	kuca-adri-kAnti-drava-nirJarasya nimnIkRtam sTAnam-iva prapAtEH // 1.57 //
   tasyā vapuḥkṣetramanaṅgaśāli saundaryaniṣyandajalairjiṣektum /	tasyAH vapuH-kzetram-anaFga-SAli sOndarya-nizyanda-jalEH-jizektum /
   āsūtritā yauvanahālikena trayīva kulyā trivalī cakāśe // 1.58 //	AsUtritA yOvana-hAlikena trayI-iva kulyA trivalI cakASe // 1.58 //
   vilagnamālagnavalitrayīkaṃ daridratājanmagṛhaṃ tadīyam /	vilagna-m-Alagna-vali-trayIkam daridra-tA-janma-gRham tadIyam /
   amartyagaṅgājalaveṇikābhirāśliṣṭamākāśamivābabhāse // 1.59 //	amartya-gaFgA-jala-veNikABiH-ASlizwam-AkASam-iva-AbaBAse // 1.59 //
   tamālanīlā navaromarājistasyā babhau tāmarasekṣaṇāyāḥ /	tamAla-nIlA nava-romarAjiH-tasyAH baBO tAmarasa-IkzaNAyAH /
   vivṛṇvatī bālyadaśāvināśamutpātadhūmāvalirutthiteva // 1.60 //	vivRNvatI bAlya-daSa-avinASam-utpAta-DUmO=-aliH-utTitA-iva // 1.60 //
   ātanvataścetasi komalāṅgyāḥ kodaṇḍaśikṣāṃ kusumāyudhasya /	AtanvataH-cetasi komala-aFgyAH kodaNxa-SikzAm kusumAyuDasya /
   maurvī bahirbimbagateva mānyā tanvyāścakāśe tanuromarekhā // 1.61 //	mOrvI bahis-bimba-gatA-iva mAnyA tanvyAH-cakASe tanu-roma-reKA // 1.61 //
   vijṛmbhamāṇena vilaṅghya velāṃ tasyāstaruṇyāḥ stanamaṇḍalena /	vijRmBamANena vilaFGya velAm tasyAH-taruNyAH stana-maNxalena /
   niḥśeṣamākrāntanijāvakāśamāsīdavalagnaśeṣam // 1.62 //	niHSezam-AkrAnta-nija-avakASam-AsIt-avalagna-Sezam // 1.62 //
   mṛṇālikā vibhramadīrghikāyā vidyullatā yauvanameghapaṃkteḥ /	mRNAlikA viBrama-dIrGikAyAH vidyut-latA yOvana-meGapaMkteH /
   maṅgalyamālā makaradhvajasya bāhā babhau vāmavilocanāyāḥ // 1.63 //	maFgalya-mAlA makaraDvajasya bAhAH baBO vAma-vilocanAyAH // 1.63 //
   āmuktamuktāsaradarśanīyamābibhratī kaṇṭhamatīva reje /	Amukta-muktA-sara-darSanIyam-AbiBratI kaNWam-atIva reje /
   niṣṭhyūtamuktānikarābhirāmaśaṅkhojjvalā sāgaravīcikeva // 1.64 //	nizWyUta-muktA-nikara-aBirAma-SaFKa-ujjvalA sAgaravIcikA-iva // 1.64 //
   tadānanenduṃ bhuvi nissapatnaṃ nirmātukāmena pitāmahena /	tadA-Anana-indum Buvi nissapatnam nirmAtu-kAmena pitAmahena /
   akāri padmaṃ dhruvamāttagandhamantaḥkalaṅkaṃ ca sudhāṃśubimbam // 1.65 //	akAri padmam Druva-mAtta-ganDam-antar-kalaFkam ca suDAMSu-bimbam // 1.65 //
   tarupravālāścalasaukumāryāt sindhupravālāḥ sthirakarkaśatvāt /	taru-pravAlAH-cala-sOkumAryAt sinDu-pravAlAH sTira-karkaSa-tvAt /
   na jagmurasyā nalinekṣaṇāyā bimbādharaupamyakathāprasaṅgam // 1.66 //	na jagmuH-asyAH nalina-IkzaNAyAH bimba-aDara-Opamya-kaTA-prasaFgam // 1.66 //
   bimbādharoṣṭhadyutirāyatākṣyāstasyā vilāsasmitaviprakīrṇā /	bimba-aDara-uzWa-dyutiH-Ayata-akzyAH-tasyAH vilAsa-smita-viprakIrNA /
   sandhyeva bandhukaruciścakāśe candrātapaiḥ śāritasanniveśā // 1.67 //	sanDyA-iva banDuka-ruciH-cakASe candra-AtapEH SArita-sanniveSAH // 1.67 //
   nitāntakāntālikacandralekhāniṣyandasaundaryamahāpraṇālī /	nitAnta-kAntAlika-candra-leKA-nizyanda-sOndarya-mahA-praNAlI /
   sīmāntarekhā nayanāntanadyornāsā babhāse navayauvanāyāḥ // 1.68 //	sImAnta-reKA nayana-antanadyoH-nAsA baBAse nava-yOvanAyAH // 1.68 //
   kastūrikākalpitapatralekhastasyāḥ kapolaḥ śaśimaṇḍalaśrīḥ /	kastUrikA-kalpita-patra-leKaH-tasyAH kapolaH SaSi-maNxala-SrIH /
   ākramya tasthau mukurasya śobhāmambhodavātairmalinodarasya // 1.69 //	Akramya tasTO mukurasya SoBAm-amBoda-vAtEH-malina-udarasya // 1.69 //
   babhūva tasyā nayanotpalasya nīlotpalasyāpi mahān viśeṣaḥ /	baBUva tasyAH nayana-utpalasya nIlotpalasya-api mahAn viSezaH /
   amoghamastraṃ kusumāyudhasya pūrvaṃ dvitīyaṃ tu tapaḥsu śīrṇam // 1.70 //	amoGam-astram kusumAyuDasya pUrvam dvitIyam tu tapaHsu SIrNam // 1.70 //
   tasyā viśālena vilocanena vilāsagarbheṇa vijīyamānāḥ /	tasyAH viSAlena vilocanena vilAsa-garBeNa vijIyamAnAH /
   adyāpi vāsaṃ vanakandareṣu hriyeva kurvanti kuraṅgaśāvāḥ // 1.71 //	adya-api vAsam vana-kandarezu hriyA-iva kurvanti kuraFga-SAvAH // 1.71 //
   saubhāgyavārākaravīcikābhyāṃ tāruṇyakalpadrumaśākhikābhyām /	sOBAgya-vArAkaravIcikAByAm tAruNya-kalpadruma-SAKikAByAm /
   bhrūvallarībhyāṃ vadanaṃ tadīyaṃ babhāvivābjaṃ bhramarāvalībhyām // 1.72	BrU-vallarIByAm vadanam tadIyam baBO=-iva-abjam Bramara-AvalIByAm // 1.72
   rarāja rājīvavilocanāyā lalāṭarekhā racitālakāntā /	rarAja rAjIva-vilocanAyAH lalAwa-reKA racita-alaka-antAH /
   ālakṣyanāmākṣarabindupaṃktiranaṅgajaitradhvajapaṭṭikeva // 1.73 //	Alakzya-nAma-akzara-bindu-paMktiH-anaFga-jEtra-Dvaja-pawwikA-iva // 1.73 //
   viloladṛṣṭidvayalobhanīyaṃ tasyā mukhaṃ sāmyamupācakāra /	vilola-dRzwi-dvaya-loBanIyam tasyAH muKam sAmyam-upAcakAra /
   pariplutāntaḥparivartamānapāṭhīnayugmasya payoruhasya // 1.74 //	paripluta-antar-parivartamAna-pAWIna-yugmasya payoruhasya // 1.74 //
