   Var-v § 0 -	Var-u § 0 -
   śayanāsanagrāhako saṃmanyeta. evaṃnāmā śayanāsanagrāhako bhikṣuḥ saṃghasya	Sayana-Asana-grAhakaH saMmanyeta. evaMnAmA Sayana-Asana-grAhakaH BikzuH saMGasya
   vārṣikaṃ śayanāsanaṃ grāhayiṣyati. eṣā jñaptiḥ.	vArzikam Sayana-Asanam grAhayizyati. ezA jQaptiH.
   Var-v § 1.2.5 evaṃ ca karma kartavyaṃ.	Var-u § 1.2.5 evam ca karma kartavyaM.
   śṛṇotu bhadantāḥ saṃghaḥ. evaṃnāmā śayanāsanagrāhako bhikṣur utsahate	SRNotu BadantAH saMGaH. evaMnAmA Sayana-Asana-grAhakaH BikzuH utsahate
   saṃghasya vārṣikaṃ śayanāsanaṃ grāhayituṃ. tat saṃgha evaṃnāmānaṃ	saMGasya vArzikam Sayana-Asanam grAhayituM. tat saMGaH evaMnAmAnam
   śayanāsanagrāhakaṃ bhikṣuṃ saṃmanyeta. ayam evaṃnāmā śayanāsanagrāhako	Sayana-Asana-grAhakam Bikzum saMmanyeta. ayam evaMnAmA Sayana-Asana-grAha-kaH-
   bhikṣuḥ saṃghasya vārṣikaṃ śayanāsanaṃ grāhayiṣyati.	BikzuH saMGasya vArzikam Sayana-Asanam grAhayizyati.
   yeṣām āyuṣmatāṃ kṣamate evaṃnāmānaṃ śayanāsanagrāhakaṃ bhikṣuṃ saṃmantuṃ,	yezAm AyuzmatAm kzamate evaMnAmAnam Sayana-Asana-grAhakam Bikzum saMmantuM,
   te tūṣṇīṃ. na kṣamate bhāṣantāṃ.	te tUzNIM. na kzamate BAzantAM.
   saṃmataḥ saṃghena evaṃnāmā śayanāsanagrāhako bhikṣuḥ. saṃghasya vārṣikaṃ	saMmataH saMGena evaMnAmA Sayana-Asana-grAhakaH BikzuH. saMGasya vArzikam
   śayanāsanaṃ grāhayiṣyati. kṣāntam anujñātaṃ saṃghena, yasmāt tūṣṇīm, evam	Sayana-Asanam grAhayizyati. kzAntam anujQAtam saMGena, yasmAt tUzNIm, evam
   etad dhārayāmi.	etat DArayAmi.
   Var-v § 1.2.6 śayanāsanagrāhakasyāhaṃ bhikṣor āsamudācārikān dharmān	Var-u § 1.2.6 Sayana-Asana-grAhakasya-aham BikzoH AsamudAcArikAn DarmAn
   prajñapayiṣyāmi.	prajQapayizyAmi.
   Var-v § 1.2.6.1 -	Var-u § 1.2.6.1 -
   Var-v § 1.2.6.2-	Var-u § 1.2.6.2-
   Var-v § 1.2.6.3 (75r = GBM 732) tataḥ paścāt kriyākāra ārocayitavyaḥ.	Var-u § 1.2.6.3 (75H  GBm 732) tatas paScAt kriyAkAraH ArocayitavyaH.
   śṛṇotu bhadantāḥ saṃghaḥ. asminn āvase ayaṃ cāyaṃ kriyākāraḥ. yo yuṣmākam	SRNotu BadantAH saMGaH. asmin Avase ayam ca-ayam kriyAkAraH. yaH yuzmAkam
   utsahate anena cānena ca kriyākāreṇa varṣā upagantuṃ sa śalākāṃ gṛhṇātu.	utsahate anena ca-anena ca kriyAkAreNa varzAH upagantum sa SalAkAm gRhNAtu.
   na ca vaḥ kenacid bhikṣuṇā varṣe + + + + + + + + + + + + + + yo vaḥ	na ca vaH kenacid BikzuNA varze + + + + + + + + + + + + + + yaH vaH
   kasyacit kiṃcij jānīte sa idānīṃ vadatu. mā paścād antavarṣe raṇam	kasyacid kiMcid jAnIte saH idAnIm vadatu. mA paScAt anta-varze raNam
   utpādayiṣyati. yo vo antavarṣe raṇam utpādayiṣyati tasya saṃgha uttare	utpAdayizyati. yaH vaH anta-varze raNam utpAdayizyati tasya saMGaH uttare
   upaparīkṣitavyaṃ maṃsyate.	upaparIkzitavyam maMsyate.
   Var-v § 1.2.6.4 tataḥ paścāt* śayanāsanagrāhakeṇa bhikṣuṇā śalākāś	Var-u § 1.2.6.4 tatas paSca-at* Sayana-Asana-grAhakeNa BikzuNA Sala-AkAS
   cārayitavyāḥ. + + + śāstuḥ śalakā grāhayitavyāḥ. tataḥ paścāt	cArayitavyAH. + + + SAstuH SalakAH grAhayitavyAH. tatas paScAt-
   saṃghasthavireṇārdham āsanaṃ muktvā śalākā gṛhya śanaiḥ sthāpayitavyāḥ.	saMGa-sTa-vireNa-arDam Asanam muktvA SalAkAH gRhya SanEs sTApayitavyAH.
   evaṃ yāvat saṃghanavakena. śrāmaṇerāṇām ācāryopapādhyāyaiḥ śalākā	evam yAvat saMGanavakena. SrAmaNerANAm AcArya-upapADyAyEH SalAkA
   grāhayitavyāḥ. tataḥ paścād gaṇayitavyaṃ. asminn āvāse iyadbhir bhikṣubhiḥ	grAhayitavyAH. tatas paScAt gaNayitavyan. asmin AvAse iyadBiH BikzuBiH
   śalākā gṛhīteti.	SalAkA gRhIta-iti.
   Var-v § 1.2.6.5.a tataḥ paścāt* śayanāsanagrāhakena bhikṣuṇā tāḍakaṃ	Var-u § 1.2.6.5.a tatas paScAt* Sayana-Asana-grAhakena BikzuNA tAxakam
   kuṃcikāṃ ca gṛhītvā saṃghasthavirasya purataḥ sthitvā vaktavyaṃ. sthavira	kuMcikAm ca gRhItvA saMGa-sTavirasya puratas sTitvA vaktavyan. sTavira
   amuko vihāraḥ salābhaḥ sacīvarikaḥ. gṛhāṇa. saced gṛhṇāti yat	amukaH vihAraH sa-lABaH sacIvarikaH. gRhANa. saced gRhNAti yat-
   saṃghasthavirasya vihāraḥ sa dvitīyasthavirāya dātavyaḥ. + + + + + + + + +	saMGa-sTavirasya vihAraH sa dvitIya-sTavirAya dAtavyaH. + + + + + + + + +
   Var-v § 1.2.6.5.b sacet saṃghasthaviro na gṛhṇāti dvitīyasthavirāya	Var-u § 1.2.6.5.b saced saMGa-sTaviraH na gRhNAti dvitIya-sTavirAya
   dātavyaḥ. dvitīyasthaviro na gṛhṇāti tṛtīyasthavirāya dātavyaḥ. sacet	dAtavyaH. dvitIya-sTaviraH na gRhNAti tRtIya-sTavirAya dAtavyaH. saced-
   tṛtīyasthavireṇa gṛhīto bhavati saṃghasthaviro yācate, prathamāyāṃ vāci na	tRtIya-sTavireNa gRhItaH Bavati saMGa-sTaviraH yAcate, praTamAyAm vAci na
   dātavyaḥ. dvitīyāyāṃ vāci na dātavyaḥ. tṛtīyāyāṃ dātavyaḥ. saṃghasthaviraś	dAtavyaH. dvitIyAyAm vAci na dAtavyaH. tRtIyAyAm dAtavyaH. saMGa-sTaviraS
   ca vinayātisāriṇīṃ duṣkṛtām āpattiṃ deśāpayitavyaḥ. evaṃ yāvat	ca vinaya-atisAriNIm duzkRtAm Apattim deSApayitavyaH. evam yAvat-
   saṃghanavakena gṛhītaḥ, sacet saṃghatṛtīyanavako yācate, prathamāyāṃ vāci	saMGanavakena gRhItaH, saced saMGa-tRtIya-navakaH yAcate, praTamAyAm vAci
   na dātavyaḥ. dvitīyāyāṃ na dātavyaḥ. trtīyāyāṃ dātavyaḥ.	na dAtavyaH. dvitIyAyAm na dAtavyaH. trtIyAyAm dAtavyaH.
   saṃghatṛtīyanavakaś ca vinayātisāriṇīṃ duṣkṛtām āpattiṃ deśayitavyaḥ.	saMGa-tRtIya-navakaH ca vinaya-atisAriNIm duzkRtAm Apattim deSayitavyaH.
   Var-v § 1.3.1 bhikṣavaḥ sarvān vihārān uddiśanti. āgantukā bhikṣavaḥ	Var-u § 1.3.1 BikzavaH sarvAn vihArAn uddiSanti. AgantukAH BikzavaH
   vihanyante. bhagavān āha. āgantukānāṃ bhikṣūṇām sārthāya anuddiṣṭaṃ vastuṃ	vihanyante. BagavAn Aha. AgantukAnAm BikzUNAm sArTAya anuddizwam vastum
   dhārayitavyaṃ.	DArayitavyaM.
   Var-v § 1.3.2 bhikṣavaḥ dvārakoṣṭhake apy uddiśanti / bhagavān āha.	Var-u § 1.3.2 BikzavaH dvAra-kozWake api uddiSanti / BagavAn Aha.
   dvārakoṣṭhake noddeṣṭavyam*.	dvAra-kozWake na-uddezwavyam*.
   bhikṣavaḥ prāsāde vastum uddiśanti. bhagavān āha / prāsāde noddeṣṭavyam	BikzavaH prAsAde vastum uddiSanti. BagavAn Aha / prAsAde na-uddezwavyam
   iti.	iti.
   Var-v § 1.4 nirāvāseṣu prāsādeṣu kākacaṭakapārāvatāḥ vāsaṃ kurvanti.	Var-u § 1.4 nirAvAsezu prAsAdezu kAka-cawaka-pArAvatAH vAsam kurvanti.
   bhagavān āha // peḍavāriko bhikṣur uddeṣṭavyaḥ. tena pratyavekṣitavyaḥ.	BagavAn Aha // pexavArikaH BikzuH uddezwavyaH. tena pratyavekzitavyaH.
   saced aṇḍāny amuktāni bhavanti, śātayitavyaḥ. āhosvin muktāni,	saced aNxAni amuktAni Bavanti, SAtayitavyaH. Ahosvit muktAni,
   sthāpayitavyaḥ. tryaṃbukatrailāṭāḥ vāsaṃ kurvanti. bhagavān āha /	sTApayitavyaH. tri-aMbuka-tra-elAwAH vAsam kurvanti. BagavAn Aha /
   pratyavekṣitavyaṃ. aṇḍāny amuktāni bhavanti / śātayitavyaḥ. ahosvin	pratyavekzitavyan. aNxAni amuktAni Bavanti / SAtayitavyaH. ahosvin
   muktāni, sūtrakaṃ bandhitavyaṃ vṛddhiṃ na gamiṣyantīti /	muktAni, sUtrakam banDitavyam vRdDim na gamizyanti-iti /
   Var-v § 1.5 tataḥ paścāc chayanāsanaṃ dātavyaṃ / yadi tāvad alpāni vastūni	Var-u § 1.5 tatas paScAt Sayana-Asanam dAtavyam / yadi tAvat alpAni vastUni
   bhavanti, ekaikaṃ dātavyaṃ. āhosvin bahūni bhavanti, dvayaṃdvayaṃ	Bavanti, ekEkam dAtavyan. Ahosvin bahUni Bavanti, dvayaMdvayam
   trayaṃtrayaṃ vā dātavyam* /	trayaMtrayam vA dAtavyam* /
   aparāṇi mahānti vastūni bhavanti / vṛddhavṛddhā bhikṣavaḥ klāmyante	aparANi mahAnti vastUni Bavanti / vRdDa-vRdDAH BikzavaH klAmyante
   parikarmaṇā: bhagavān āha / tāni niśṛtānāṃ dātavyāni.	parikarmaNA: BagavAn Aha / tAni niSRtAnAm dAtavyAni.
   Var-v § 1.6.1 tataḥ paścāc chayanāsanagrāhakena bhikṣuṇā kriyākāra	Var-u § 1.6.1 tatas paScAt Sayana-Asana-grAhakena BikzuNA kriyAkAra
   ārocayitavyaḥ. na kenacid bhikṣuṇā sāṃghikaṃ śayanāsanaṃ vinā	ArocayitavyaH. na kenacid BikzuNA sAMGikam Sayana-Asanam vinA
   pratyāstaraṇena paribhoktavyaṃ (75v = GBM 733) na kalpapratyāstaraṇena na	pratyAstaraNena pariBoktavyam (75u  GBm 733) na kalpa-pratyAsta-raNena na
   plotikena ghanena vā ekapuṭena pailoṭikena vā dvipuṭena. yāvat sāṃghikaṃ	plotikena Ganena vE eka-puwena pElowikena vA dvi-puwena. yAvat sAMGikam
   śayanāsanaṃ aparibhogena paribhuṃjīta, tasya saṃgha uttare	Sayana-Asanam apariBogena pariBuMjIta, tasya saMGaH uttare
   upaparīkṣitavyaṃ maṃsyate.	upaparIkzitavyam maMsyate.
   Var-v § 1.6.2 śayanāsanagrāhakeṇa bhikṣuṇā anvardhamāsaṃ śayanāsanaṃ	Var-u § 1.6.2 Sayana-Asana-grAhakeNa BikzuNA anvarDa-mAsam Sayana-Asanam
   pratyavekṣitavyaṃ yadi tāvad vṛddhaṃ paśyaty aparibhogena śayanāsanaṃ	pratyavekzitavyam yadi tAvat vRdDam paSyati apariBogena Sayana-Asanam
   paribhuṃjānaṃ, saṃghena ārocayitvā ākṣeptavyaṃ. āhosvin navakam	pariBuMjAnaM, saMGena ArocayitvA Akzeptavyan. Ahosvit navakam
   ācāryopādhyāyānām ārocayitvā ākṣeptavyaṃ.	AcArya-upADyAyAnAm ArocayitvA AkzeptavyaM.
   Var-v § 1.7.1 tataḥ paścāt sāmagryām ārocayitavyaṃ. amukena gocaragrāmeṇa	Var-u § 1.7.1 tatas paScAt sAmagryAm Arocayitavyan. amukena gocara-grAmeNa
   śvaḥ saṃgho varṣā upagamiṣyatīti.	Svas saMGaH varzA upagamizyati-iti.
   Var-v § 1.7.2 tataḥ paścād bhikṣubhir āvāsaṃ gocaraṃ cāvalokayitvā channe	Var-u § 1.7.2 tatas paScAt BikzuBiH AvAsam gocaram ca-avalokayitvA Canne
   praviśya varṣā upagantavyaṃ.	praviSya varzAH upagantavyaM.
   Var-v § 1.7.2.a katham āvāso 'valokayitavyaḥ. kiṃ nu bhaviṣyanti me 'smin	Var-u § 1.7.2.a kaTam AvAsaH avalokayitavyaH. kim nu Bavizyanti me asmin
   sthāne vijñāḥ sabrahmacāriṇo ye 'nutpannaṃ duḥkhaṃ daurmanasyaṃ	sTAne vijQAH sa-brahmacAriNaH ye anutpannam duHKam dOrmanasyam
   notpādayiṣyanti utpannaṃ ca kṣipram eva prativinodayiṣyanti, ye	na-utpAdayizyanti utpannam ca kzipram eva prativinodayizyanti, ye
   cānutpannaṃ sukhaṃ saumanasyam utpādayiṣyanti utpannaṃ ca sādhu ca suṣṭhu	ca-anutpannam suKam sOmanasyam utpAdayizyanti utpannam ca sADu ca suzWu
   cānurakṣitavyaṃ (MSV IV.136) maṃsyante / glānasya vā glānopasthāyakaḥ,	ca-anurakzitavyam (MSV IV.136) maMsyante / glAnasya vA glAna-upasTAyakaH,
   evam āvāso 'valokayitavyaḥ.	evam AvAsaH avalokayitavyaH.
   Var-v § 1.7.2.b kathaṃ gocaro 'valokayitavyaḥ. kiṃ nu bhaviṣyanti me 'smiṃ	Var-u § 1.7.2.b kaTam gocaraH avalokayitavyaH. kim nu Bavizyanti me asmin
   grāmopavicāragrāme piṇḍakasya dātāro glānasya vā + + + bhaiṣajyasya ca	grAma-upavicAra-grAme piNxakasya dAtAraH glAnasya vA + + + BEzajyasya ca
   dātāra iti, evaṃ gocaro 'valokayitavyaḥ.	dAtAraH iti, evam gocaraH avalokayitavyaH.
   Var-v § 1.7.3 tataḥ paścāc channe praviśya bhikṣor yathāvṛddhikayā sāmīcīṃ	Var-u § 1.7.3 tatas paScAt Canne praviSya BikzoH yaTAvRdDikayA sAmIcIm
   kṛtvā utkuṭukena sthitvā aṃjaliṃ pragṛhya idaṃ syād vacanīyaṃ.	kRtvA utkuwukena sTitvA aMjalim pragRhya idam syAt vacanIyaM.
   samanvāhara āyuṣmaṃ. adya saṃghasya varṣopanyakāṣāḍhī + + + + + + + + + +	samanvAharaH Ayuzman. adya saMGasya varza-upanyaka-Aza-AXI + + + + + + + + + +
   so 'ham evaṃnāmā asminn āvāse antaḥsīme pūrvikāṃ traimāsīṃ varṣā	saH aham evaMnAmA asmin AvAse antar-sIme pUrvikAm trEmAsIm varzA
   upagacchāmi amukena vaiyyāpṛtyakareṇa amukena gocaragrāmeṇa yāvad	upagacCAmi amukena vEyyApRtya-kareNa amukena gocara-grAmeNa yAvat-
   evāsyāvāsasya khaṇḍaphuṭtapratisaṃskaraṇārthaṃ. iha me varṣā iha me	eva-asya-AvAsasya KaNxa-Puwta-pratisaMskaraNa-arTaM. iha me varzAH iha me
   varṣāvāsaḥ. evaṃ dvir api, evaṃ trir api.	varzA-vAsaH. evam dvis api, evam tris api.
   Var-v § 1.8 bhikṣavaḥ varṣā upagantavyā: na ca punar varṣoṣitena bhikṣuṇā	Var-u § 1.8 BikzavaH varzAH upagantavyA: na ca punar varza-uzitena BikzuNA
   bahiḥsīmāṃ gantavyaṃ . // saced gacchati na tatra vastavyaṃ.	bahis-si-imAm gantavyam . // saced gacCati na tatra vastavyaM.
   Var-v § 1.8.1.a uktaṃ bhagavatā na bhikṣuṇā varṣoṣitena bahiḥsīmāṃ	Var-u § 1.8.1.aH uktam BagavatA na BikzuNA varza-uzitena bahis-si-imAm
   gantavyam*. saced gacchati na tatra vastavyam iti /	gantavyam-*. saced gacCati na tatra vastavyam iti /
   Var-v § 1.8.1.b hastibālagrāmake udayano nāma gṛhapatiḥ prativasati. tasya	Var-u § 1.8.1.B hasti-bAla-grAmake udayanaH nAma gRhapatiH prativasati. tasya
   gṛhakaḍatraṃ pratyupasthitam ātmano veṣṭanaṃ. tena tatra prabhūto	gRha-kaxatram pratyupasTitam AtmanaH vezwanan. tena tatra praBUtaH-
   vastralābhaḥ āmiṣalābhaś ca samudānītaḥ. tena bhikṣūṇāṃ dūto 'nupreṣitaḥ.	vastra-lABaH Amiza-lABaH ca samudAnItaH. tena BikzUNAm dUtaH anuprezitaH.
   āgacchantv āryāḥ paribhokṣyante iti.	AgacCantu AryAH pariBokzyante iti.
   bhikṣavaḥ pṛcchitum ārabdhāḥ. kiyad dūre hastibālagrāmakaḥ. sātirekais	BikzavaH pRcCitum ArabDAH. kiyat dUre hasti-bAla-grAmakaH. sa-atirekEH-
   tribhir yojanaiḥ śakṣyāmo vayam adyaiva gatvā āgantuṃ na śakṣyāmaḥ. te	triBiH yojanEH SakzyAmaH vayam adya-eva gatvA Agantum na SakzyAmaH. te
   saṃlakṣayanti / uktaṃ bhagavatā na bhikṣuṇā varṣopagatena bahiḥsīmāṃ	saMlakzayanti / uktam BagavatA na BikzuNA varza-upagatena bahis-si-imAm
   gantavyaṃ. saced gacchati na tatra vastavyam iti. te na gatāḥ.	gantavyan. saced gacCati na tatra vastavyam iti. te na gatAH.
   tatra ye bhikṣavaḥ hastibālagrāmakasyopavicāre varṣopagatās teṣāṃ prabhūto	tatra ye BikzavaH hasti-bAla-grAmakasya-upavicAre varza-upagatAH tezAm praBUtaH-
   vastralābha āmiṣalābhaś cānupradattaḥ.	vastra-lABaH Amiza-lABaH ca-anupradattaH.
   Var-v § 1.8.1.c te trayāṇāṃ vārṣikāṇāṃ māsānām atyayāt kṛtacīvarā	Var-u § 1.8.1.d te trayANAm vArzikANAm mAsAnAm atyayAt kRta-cIvarA
   niṣṭhitacīvarāḥ samādāya pātracīvaraṃ yena śrāvastī tena cārikāṃ	nizWita-cIvarAH samAdAya pAtra-cIvaram yena SrAvastI tena cArikAm
   prakrāntāḥ. anupūrveṇa cārikāṃ carantaḥ śrāvastīm anuprāptāḥ. te	prakrAntAH. anupUrveNa cArikAm carantaH SrAvastIm anuprAptAH. te
   bhikṣubhir dūrata eva dṛṣṭvābhihitāḥ. (76r = GBM 734) svāgataṃsvāgatam	BikzuBiH dUratas eva dRzwvA-aBihitAH. (76H  GBm 734) svAgataMsvAgatam
   āyuṣmantaḥ. viśrāmitāḥ uktāḥ. kuto yūyam āyuṣmantaḥ etarhy āgacchata,	AyuzmantaH. viSrAmitAH uktAH. kutas yUyam AyuzmantaH etarhi AgacCata,
   kutra vā stha varṣā upagatā. hastibālagrāmakād vayam āyuṣmanta etarhy	kutra vA sTa varzAH upagatA. hasti-bAla-grAmakAt vayam AyuzmantaH etarhi-
   āgacchāma: hastibālagrāmake vā sma varṣā upagatāḥ. kaccid yūyam āyuṣmantaḥ	AgacCAma: hasti-bAla-grAmake vA sma varzAH upagatAH. kaccit yUyam AyuzmantaH
   hastibālagrāmake sukhaṃ sparśaṃ varṣā uṣitāḥ, na vā stha klāntāḥ	hasti-bAla-grAmake suKam sparSam varzAH uzitAH, na vA sTa klAntAH
   piṇḍakena. tathyaṃ vayam āyuṣmantaḥ hastibālagrāmake sukhaṃ sparśaṃ varṣā	piNxakena. taTyam vayam AyuzmantaH hasti-bAla-grAmake suKam sparSam varzA
   upagatā, na vā sma klāntāḥ piṇḍakena.	upagatA, na vA sma klAntAH piNxakena.
   yathākatham āyuṣmantaḥ hastibālagrāmake sukhaṃ sparśaṃ varṣā upagatāḥ, na	yaTAkaTam AyuzmantaH hasti-bAla-grAmake suKam sparSam varzAH upagatAH, na
   vā stha klāntāḥ piṇḍakena. tatra hastibālagrāmake udayano nāma gṛhapatiḥ	vA sTa klAntAH piNxakena. tatra hasti-bAla-grAmake udayanaH nAma gRhapatiH
   prativasati. tasya gṛhakaḍatraṃ pratyupasthitaṃ ātmano veṣṭanaṃ.	prativasati. tasya gRha-kaxatram pratyupasTitam AtmanaH vezwanaM.
   tenāsmākaṃ prabhūto vastralābhaḥ āmiṣalābhaś cānupradatta. evaṃ vayam	tena-asmAkam praBUtaH vastra-lABaH Amiza-lABaH ca-anupradatta. evam vayam
   āyuṣmanto hastibālagrāmake sukhaṃ sparśaṃ varṣā uṣitāḥ. na vā sma klāntāḥ	AyuzmantaH hasti-bAla-grAmake suKam sparSam varzAH uzitAH. na vA sma klAntAH
   piṇḍakena.	piNxakena.
   te kathayanty. āyuṣmanto 'smākam api tena gṛhapatinā dūto 'nupreṣita.	te kaTayanty. AyuzmantaH asmAkam api tena gRhapatinA dUtaH anuprezita.
   āgacchantv āryāḥ paribhokṣyanta iti. tair asmābhiḥ pṛṣṭaḥ. kiyad dūre	AgacCantu AryAH pariBokzyante iti. tEH asmABiH pRzwaH. kiyat dUre
   hastibālagrāmakaḥ. sātirekais tribhir yojanaiḥ. teṣām asmākaṃ buddhir	hasti-bAla-grAmakaH. sa-atirekEH triBiH yojanEH. tezAm asmAkam budDiH-
   utpannāḥ. uktaṃ bhagavatā na bhikṣuṇā varṣopagatena bahiḥsīmāṃ gantavyaṃ.	utpannAH. uktam BagavatA na BikzuNA varza-upagatena bahis-si-imAm gantavyaM.
   saced gacchati na tatra vastavyam iti. vayaṃ na gatāḥ. etat prakaraṇaṃ	saced gacCati na tatra vastavyam iti. vayam na gatAH. etat prakaraNam
   bhikṣavo bhagavata ārocayanti.	BikzavaH BagavataH Arocayanti.
   Var-v § 1.8.1.d bhagavān saṃlakṣayaty. ākāṃkṣanti bata me śrāvakāḥ	Var-u § 1.8.1.d BagavAn saMlakzayaty. AkAMkzanti bata me SrAvakAH
   vastralābham āmiṣalābhañ ca. yanv ahaṃ bhikṣūṇāṃ sukhasparśavihārārthaṃ	vastra-lABam Amiza-lABan ca. yanu aham BikzUNAm suKa-sparSa-vihAra-arTam
   datṝṇāṃ ca deyadharmaparibhogārthaṃ saptāham anujānīyāṃ. tasmād anujānāmi	datLNAm ca deya-Darma-pariBoga-arTam sapta-aham anujAnIyAn. tasmAt anujAnAmi
   saptāham adhiṣṭhāya gantavyaṃ karaṇīyena.	sapta-aham aDizWAya gantavyam karaNIyena.
   Var-v § 1.8.2 uktaṃ bhagavatā saptāham adhiṣṭhāya gantavyaṃ karaṇīyeneti.	Var-u § 1.8.2 uktam BagavatA sapta-aham aDizWAya gantavyam karaNIyena-iti.
   bhikṣavo na jānate kasya karaṇīyaṃ. etat prakaraṇaṃ bhikṣavo bhagavata	BikzavaH na jAnate kasya karaNIyan. etat prakaraNam BikzavaH Bagavata
   ārocayanti.	Arocayanti.
   bhagavān āha / upāsakasya karaṇīyena upāsikāyāḥ karaṇīyena bhikṣoḥ	BagavAn Aha / upAsakasya karaNIyena upAsikAyAH karaNIyena BikzoH
   karaṇīyena bhikṣuṇyāḥ śikṣamāṇāyāḥ śrāmaṇerakasya śrāmaṇerikāyāḥ	karaNIyena BikzuNyAH SikzamANAyAH SrAmaNerakasya SrAmaNa-IrikAyAH
