   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   sukhaduḥkhayostu vipākajatvādvipākopacāraḥ /	suKa duHKayoH tu vipAka ja tvAt vipAka upacAraH /
   dṛṣṭaśrutatamavijñātānarthāniti dṛṣṭaṃ yacca kṣuṣānubhūtam, śrutaṃ	dRzwa Srutatama vijQAta an arTAn iti dRzwam yat ca kzuzA anuBUtam, Srutam
   yacchrotreṇānubhūtam, mataṃ yatsvayamabhyūhitamevaṃ caivaṃ ca	yat SrotreNa anuBUtam, matam yat svayam aByUhitam evam ca evam ca
   bhavitavyamiti, vijñātaṃ yatpratyātmamanubhūtamiti /	Bavitavyam iti, vijQAtam yat pratyAtmam anuBUtam iti /
   vyavaharatītyabhilāpaiḥ prāpa[ya]tītyarthaḥ // nānāvasthāsu ceti	vyavaharati iti aBilApEH prApa[ya]ti iti arTaH // nAnA avasTAsu ca iti
   sukhaduḥkhādyāsu //	suKa duHKa AdyAsu //
   yena cakṣuṣā rūpāṇi dṛṣṭavānityatītavijñānopabhogadhārakatvena dhātutva	yena cakzuzA rUpANi dRzwavAn iti atIta vijQAna upaBoga DAraka tvena DAtu tva
   darśayati / paśyatīti vartamānavijñānopabhogadhārakatvena / yacca tasya	darSayati / paSyati iti vartamAna vijQAna upaBoga DAraka tvena / yat ca tasya
   cakṣuṣo bījamupacitamālayavijñānaṃ yata āyatyāṃ cakṣunirvartiṣyate,	cakzuzaH bIjam upacitam Alaya vijQAnam yatas AyatyAm cakzu nirvartizyate,
   vaipākyaṃ ca yato nirvṛttam, tadapi dvividhaṃ bījaṃ cakṣurdhāturityucyate,	vEpAkyam ca yatas nirvRttam, tat api dviviDam bIjam cakzuH DAtuH iti ucyate,
   cakṣuṣo hetutvāt / yaccakṣurdhātoḥ rūpe ādhipatyamiti rūpīndriyādhipatyena	cakzuzaH hetu tvAt / yat cakzuH DAtoH rUpe ADipatyam iti rUpi indriya ADipatyena
   bāhyaviṣayanirvartanāt /	bAhya vizaya nirvartanAt /
   (Abhidh s bh 3)	(a aBiD s B 3)
   taddhātuvaddraṣṭavyaṃ tacca yathāyogamiti yena cakṣuṣā rūpāṇi drakṣyati	tad DAtu vat drazwavyam tat ca yaTAyogam iti yena cakzuzA rUpANi drakzyati
   yacca tadbījamityevamādi yojayitavyam //	yat ca tat bIjam iti evamAdi yojayitavyam //
   catvāri ca mahābhūtānyupādāyeti / kathamupādāyarūpam / catvāri	catvAri ca mahABUtAni upAdAya iti / kaTam upAdAya rUpam / catvAri
   mahābhūtānyupādāya jananasaṃniśrayapratiṣṭhopastaṃbhopabṛṃhaṇahetutvena /	mahABUtAni upAdAya janana saMniSraya pratizWA upastaMBa upabRMhaNa hetu tvena /
   jananādi hetutvaṃ punarbhūtānāmupādāyarūpe pañcavidhaṃ hetutvamadhikṛtya /	janana Adi hetu tvam punar BUtAnAm upAdAya rUpe paQcaviDam hetu tvam aDikRtya /
   utpattihetutvaṃ tairvinā tadanutpatteḥ / vṛttihetutvaṃ bhūtāni	utpatti hetu tvam tEH vinA tad anutpatteH / vRtti hetu tvam BUtAni
   pratyākhyāyopādāyarūpasya pṛthagdeśāvaṣṭambhasāmarthyābhāvāt /	pratyAKyAya upAdAya rUpasya pRTak deSa avazwamBa sAmarTya aBAvAt /
   anuvṛttihetutvaṃ bhūtavikāreṇa tatpratiṣṭhitopādāyarūpavikriyāgamanāt /	anuvRtti hetu tvam BUta vikAreNa tad pratizWita upAdAya rUpa vikriyA AgamanAt /
   sthitihetutvaṃ sadṛśotpattikāle	sTiti hetu tvam sadRSa utpatti kAle
   bhūtairupādāyarūpasaṃtānasyānupacchedayogena saṃdhāraṇāt / upacayahetutvaṃ	BUtEH upAdAya rUpa saMtAnasya anupacCeda yogena saMDAraNAt / upacaya hetu tvam
   vṛttikāle bhūtairūpādāyarūpāpyāyanāditi /	vRtti kAle BUtErUpa AdAya rUpa ApyAyanAt iti /
   nīlādīnāṃ pañcaviṃśatīnāṃ rūpāṇāṃ vyavasthānaṃ ṣaḍbhirākārairveditavyam /	nIla AdInAm paQcaviMSatInAm rUpANAm vyavasTAnam zaxBiH AkArEH veditavyam /
   lakṣaṇataḥ saṃniveśato 'nugrahopaghātataḥ kriyāsaṃniśrayataḥ	lakzaNataH saMniveSataH anugraha upaGAtataH kriyA saMniSrayataH
   kriyālakṣaṇataḥ maṇḍanataśca caturṇā daśānāmaṣṭānāmekaikasya ca	kriyA lakzaNataH maNxanataH ca caturNA daSAnAm azwAnAm ekEkasya ca
   yathākramam / tatrābhyavakāśastadanyaprativārakaspraṣṭavyarahito yo deśaḥ	yaTAkramam / tatra aByavakASaH tad anya prativAraka sprazwavya rahitaH yaH deSaH
   / nabho yadupariṣṭānnīlaṃ dṛśyate //	/ naBaH yat uparizwAt nIlam dRSyate //
   śabdavyavasthānaṃ lakṣaṇato 'nugrahopaghātataḥ hetuprabhedato	Sabda vyavasTAnam lakzaNataH anugraha upaGAtataH hetu praBedataH 
   deśanāprabhedato vyavahāraprabhedataśca / lakṣaṇataḥ śrotrendriyagrāhyo yo	deSanA praBedataH vyavahAra praBedataH ca / lakzaNataH Srotra indriya grAhyaH yaH 
   'rtha iti / deśanāprabhedato lokaprasiddhādayastrayaḥ / śeṣaṃ yathāyogaṃ	arTaH iti / deSanA praBedataH loka prasidDa AdayaH trayaH / Sezam yaTAyogam
   veditavyam / tatropāttamahābhūtahetukastadyathā vākchabdaḥ /	veditavyam / tatra upAtta mahABUta hetukaH tat yaTA vAc SabdaH /
   anupāttamahābhūtahetukastadyathā vṛkṣaśabdaḥ / tadubhayastadyathā	anupAtta mahABUta hetukaH tat yaTA vRkza SabdaH / tad uBayaH tat yaTA
   hastamṛdaṅgaśabdaḥ / lokaprasiddho laukikabhāṣāsaṃgṛhītaḥ / siddhopanīta	hasta mRdaFga SabdaH / loka prasidDaH lOkika BAzA saMgRhItaH / sidDa upanIta
   āryerdeśitaḥ / parikalpitastīrthyerdeśitaḥ / āryānāryavyāvahārikau	AryeH deSitaH / parikalpitaH tIrTyeH deSitaH / Arya anArya vyAvahArikO
   tudṛṣṭādīnaṣṭau vyavahārānadhikṛtya veditavyau //	tudRzwa AdIn azwO vyavahArAn aDikRtya veditavyO //
   gandhavyavasthānaṃ svalakṣaṇato 'nugrahopaghātataḥ prabhedataśca //	ganDa vyavasTAnam sva lakzaNataH anugraha upaGAtataH praBedataH ca //
   rasavyavasthānamapyevameva veditavyam // tatra sahajo gandhaścandanādonām,	rasa vyavasTAnam api evam eva veditavyam // tatra sahajaH ganDaH candanAdonAm,
   sāṃyogiko dhūpayuktyadīnām, pāriṇāmikaḥ pakvaphalādīnāmiti /	sAMyogikaH DUpa yukti adInAm, pAriNAmikaH pakva Pala AdInAm iti /
   spraṣṭavyaikadeśavyavasthānamāmarśanata ātulanataḥ sparśanata āpīḍanataḥ	sprazwavya eka deSa vyavasTAnam AmarSanataH Atula nataH sparSanataH ApIxanataH
   saṃsargato dhātuvaiṣamyasāmyataśca / abvāyusaṃsargācchītam / (Abhidh s bh	saMsargataH DAtu vEzamya sAmyataH ca / abvAyu saMsargAt SItam / (a aBiD s B
   4) appṛthavīsaṃsargātpicchalam / viśrāmo balamūrjā ca dhātusāmyāt / ūrjā	4) ap pRTavI saMsargAt picCalam / viSrAmaH bala mUrjA ca DAtu sAmyAt / UrjA
   punarvaiśāradyaṃ veditavyam / tṛptirubhayathā / śeṣā jighatsādayo	punar vESAradyam veditavyam / tRptiH uBayaTA / SezAH jiGatsAdayaH 
   dhātuvaiṣamyādveditavyāḥ //	DAtu vEzamyAt veditavyAH //
   ābhisāṃkṣepikaṃ paramāṇurūpam / ābhyavakāśikaṃ tadeva yathoktaṃ	ABisAMkzepikam paramANu rUpam / AByavakASikam tat eva yaToktam
   tadanyaprativārakaspraṣṭavyarahitam / sāmādānikamavijñaptirūpam /	tad anya prativAraka sprazwavya rahitam / sAma AdAnikam avijQapti rUpam /
   parikalpitaṃ pratibimbarūpam / vaibhūtvikaṃ vimokṣadhyāyigocaraṃ yadrūpam	parikalpitam pratibimba rUpam / vEBUtvikam vimokza DyAyi gocaram yat rUpam
   vedanāskandhavyavasthānamāśrayataḥ svabhāvata āśrayasaṃkalanataḥ	vedanA skanDa vyavasTAnam ASrayataH svaBAvataH ASraya saMkalanataH
   saṃkleśavyavadānataśca / tatra rūpāśrayasaṃkalanataḥ	saMkleSa vyavadAnataH ca / tatra rUpa ASraya saMkalanataH
   kāyikīvedanāvyavasthānam /	kAyikI vedanA vyavasTAnam /
   arūpyāśrayasaṃkalanataścaitasikīvedanāvyavasthānam / saṃkleśataḥ	arUpya ASraya saMkalanataH cEtasikI vedanA vyavasTAnam / saMkleSataH
   sāmiṣādīnām, vyavadānato nirāmiṣādīnāṃ vyavasthānaṃ veditavyam /	sa Amiza AdInAm, vyavadAnataH nirAmiza AdInAm vyavasTAnam veditavyam /
   tattṛṣṇāviyukteti visaṃyuktā visaṃyogyānukūlā ca veditavyā //	tad tRzNA viyuktA iti visaMyuktA visaMyogya anukUlA ca veditavyA //
   avyavahārakuśalasyāśikṣitabhāṣatayā rūpe saṃjñā bhavati na tu rūpamiti /	avyavahAra kuSalasya aSikzita BAzatayA rUpe saMjQA Bavati na tu rUpam iti /
   tasmādanimittasaṃjñetyucyate / animittadhātusamāpannasya	tasmAt animitta saMjQA iti ucyate / animitta DAtu samApannasya
   rūpādisarvanimittāpagate 'nimitte nirvāṇe saṃjñānimittasaṃjñā /	rUpa Adi sarva nimitta apagate animitte nirvANe saMjQA nimitta saMjQA /
   bhavāgrasamāpannasyāpaṭutvenālaṃbanānimittīkaraṇādanimittasaṃjñā /	Bava agra samApannasya apawu tvena AlaMbanA nimittIkaraNAt animitta saMjQA /
   parīttaḥ kāmadhātuḥ nikṛṣṭa tvāt / mahadgato rūpadhātustata utkṛṣṭatvāt /	parIttaH kAmaDAtuH nikRzwa tvAt / mahat gataH rUpa DAtuH tatas utkRzwa tvAt /
   apramāṇe ākāśa vijñānānantyāyatane 'paryantatvāt / tasmāttadālaṃbanāḥ	apramANe AkASa vijQAna Ananti Ayatane aparyanta tvAt / tasmAt tad AlaMbanAH
   saṃjñāḥ parīttādisaṃjñā veditavyāḥ /	saMjQAH parItta Adi saMjQAH veditavyAH /
   vedanāsaṃjñāvarjyānāṃ sarveṣāṃ caitasikānāṃ cittaviprayuktānāṃ ca	vedanA saMjQA varjyAnAm sarvezAm cEtasikAnAm citta viprayuktAnAm ca
   saṃskāraskandhalakṣaṇatve cetanāmātrasyaiva tannidaśe grahaṇaṃ	saMskAra skanDa lakzaNa tve cetanA mAtrasya eva tad nidaSe grahaNam
   tatpūrvakatvāditareṣāmiti kāraṇajñāpanārthamāha   yayā kuśalatvāya	tad pUrvaka tvAt itarezAm iti kAraNa jQApana arTam Aha  yayA kuSala tvAya
   cetayata ityevamādi / tatra kuśalā vakṣyamāṇāḥ śraddhādayaḥ / saṃkleśā	cetayate iti evamAdi / tatra kuSalAH vakzyamANAH SradDA AdayaH / saMkleSA
   rāgādayaḥ kleśopakleśāḥ / avasthābhedataḥ cetanāpreritasaṃskārāvasyāsu	rAga AdayaH kleSa upakleSAH / avasTA BedataH cetanA prerita saMskArO= asyAsu
   prajñaptāḥ cittaviprayuktāḥ saṃskārāḥ //	prajQaptAH citta viprayuktAH saMskArAH //
   cetanādīnāṃ caitasikānāṃ lakṣaṇataḥ karmataśca nirdeśo veditavyaḥ / tatra	cetana AdInAm cEtasikAnAm lakzaNataH karmataH ca nirdeSaH veditavyaH / tatra
   cetanāyāḥ cittābhisaṃskāro manaskarmeti lakṣaṇanirdeśaḥ /	cetanAyAH citta aBisaMskAraH manaskarmA iti lakzaNa nirdeSaH /
   kuśalākuśalāvyākṛteṣu cittapreraṇakarmiketi karmanirdeśaḥ / tathāhi	kuSala akuSala avya akRtezu citta preraNa karmikA iti karma nirdeSaH / taTA hi
   (Abhidh s bh 5) yathābhisaṃskāraṃ kuśalādiṣu dharmeṣu cittasya	(a aBiD s B 5) yaTA aBisaMskAram kuSala Adizu Darmezu cittasya
   pravṛttirbhavatīti / ālaṃbane cittadhāraṇaṃ tatraiva punaḥ punarāvarjanaṃ	pravRttiH Bavati iti / AlaMbane citta DAraNam tatra eva punar punar Avarjanam
   veditavyam / ata eva samādhilābhī mana(ḥ) saṃskāralābhītyucyate /	veditavyam / atas eva samADi lABI mana(H) saMskAra lABI iti ucyate /
   vijñānotpattāvindriyasya sukhādivedanotpattyanukūlo yo vikārastadākāraḥ	vijQAna utpattO= indriyasya suKa Adi vedana utpatti anukUlaH yaH vikAraH tad AkAraH
   sparśo veditavyaḥ / tattadupasaṃhitā kartukāmateti	sparSaH veditavyaH / tat tad upasaMhitA kartu kAma tA iti
   darśanaśravaṇādisarvakriyecchāsaṃgrahārtham / yathāniścayaṃ dhāraṇā	darSana SravaNa Adi sarva kriyA icCA saMgraha arTam / yaTA niScayam DAraNA
   evametannānyathetyadhimuktiḥ / ata eva tatpradhāno 'nyaiḥ saṃhartu na	evam etat na anyaTA iti aDimuktiH / atas eva tad praDAnaH anyEH saMhartu na
   śakyate saṃstutaṃ vastu pūrvānubhūtaṃ veditavyam / avikṣepakarmikatvaṃ	Sakyate saMstutam vastu pUrva anuBUtam veditavyam / avikzepa karmika tvam
   punaḥ smṛterālaṃbanābhilapane sati cittāvikṣepatāmupādāya /	punar smRteH AlaMbana aBilapane sati citta avikzepa tAm upAdAya /
   cittasyaikāgratāvikṣepaḥ / jñānasaṃniśrayadānaṃ samāhitacittasya	cittasya ekAgra tA vikzepaH / jQAna saMniSraya dAnam samAhita cittasya
   yathābhūtajñānāt / saṃśayavyāvartanaṃ prajñayā dharmān pravicinvato	yaTA BUta jQAnAt / saMSaya vyAvartanam prajQayA DarmAn pravicinvataH 
   niścayalābhāt / astitve 'bhisaṃpratyayākārā śraddhā / guṇatve prasādākārā	niScaya lABAt / astitve aBisaMpratyaya AkArA SradDA / guNa tve prasAda AkArA
   / śakyatve 'bhilāṣākārā, śakyaṃ mayā prāptuṃ niṣpādayituṃ veti / hryādayaḥ	/ Sakya tve aBilAza AkArA, Sakyam mayA prAptum nizpAdayitum vA iti / hri AdayaH
   sugamatvānna vibhajyante / upapattiprātilambhikaṃ śrutacintāmayaṃ	sugama tvAt na viBajyante / upapatti prAtilamBikam Sruta cintA mayam
   bhāvanāmayaṃ ca yathākramaṃ vipākāgamādhigamarūpaṃ veditavyam /	BAvanA mayam ca yaTAkramam vipAka Agama aDigama rUpam veditavyam /
   pratisaṃkhyāprajñā dhairyasahitā / sthāmavānvīryavānutsāhī dṛḍhaparākramo	pratisaMKyA prajQA DErya sahitA / sTAmavAn vIryavAn utsAhI dRXa parAkramaH 
   'nikṣiptadhuraḥ kuśaleṣu dharmeṣvityevamādisūtrapadāni yathākramaṃ	anikzipta DuraH kuSalezu Darmezu iti evamAdi sUtra padAni yaTAkramam
   saṃnāhādiṣvabhyutsāhavastuṣu yojayitavyāni / paripūraṇaṃ yathā maulaṃ	saMnAha Adizu aByutsAha vastuzu yojayitavyAni / paripUraNam yaTA mOlam
   praveśaḥ / niṣpādanaṃ tasyaiva suparikarmakṛtatvam /	praveSaH / nizpAdanam tasya eva su parikarma kRta tvam /
   sarvāvaraṇaniṣkarṣaṇaṃ tadvaśenāśrayaparivṛttito draṣṭavyam /	sarva AvaraNa nizkarzaNam tad vaSena ASraya parivRttitaH drazwavyam /
   sarvakuśalabhāvanāyā vīryādipūrvakatvātteṣvapramādaprajñapti / sāsravā	sarva kuSala BAvanAyAH vIrya Adi pUrvaka tva At tezu apramAda prajQapti / sa AsravA
   dharmā āsravā āsravasthānīyāśca viṣayā iha veditavyāḥ /	DarmAH AsravAH Asrava sTAnIyAH ca vizayAH iha veditavyAH /
   cittasamatādibhirupekṣāyā ādimadhyāvasānāvasthā vyākhyātāḥ /	citta samata AdiBiH upekzAyAH Adi maDya avasAna avasTAH vyAKyAtAH /
   tathāhyupekṣayā yuktaṃ cittaṃ layādiveṣamyābhāvādāditaḥ samam / tato	taTA hi upekzayA yuktam cittam laya Adi vezamya aBAvAt Aditas samam / tatas 
   'nabhisaṃskāreṇa vahanātpraśaṭham / tataḥ	anaBisaMskAreNa vahanAt praSaWam / tatas 
   saṃkleśāśaṅkābhāvādanābhogāvasthitamiti / a vihiṃsā pyadveṣāvyatirekāt	saMkleSa ASaFkA BAvAt anABoga avasTitam iti / a vihiMsA pyadveza avyatirekAt 
   prajñaptisatī veditavyā / duḥkhasaṃjananakarmaka iti tṛṣṇāvaśena	prajQaptisatI veditavyA / duHKa saMjanana karmakaH iti tRzNA vaSena
   pañcopādānaskandha nirvartanāt / asparśavihāra āghātacittasya	paQca upAdAna skanDa nirvartanAt / asparSa vihAraH AGAta cittasya
   duḥkhavihārāt / agauravaṃ guruṣu guṇavatsu ca stabdhatā / duḥkhotpattiḥ	duHKa vihArAt / agOravam guruzu guNavatsu ca stabDa tA / duHKa utpattiH
   (Abhidh s bh 6) punarbhavotpattirvedi tavyā / mithyāniścayairviparītaṃ	(a aBiD s B 6) punarBava utpattiH vedi tavyAH / miTyA niScayEH viparItam
   jñānam / vicikitsā saṃśayaḥ / saṃkleśotpattiḥ rāgādikleśasamudācāraḥ /	jQAnam / vicikitsA saMSayaH / saMkleSa utpattiH rAga Adi kleSa samudAcAraH /
   tatsaṃniśrayadānaṃ mūḍhasya sarvakleśapravṛtteriti / ratneṣu	tad saMniSraya dAnam mUXasya sarva kleSa pravRtteH iti / ratnezu
   vimatirmārgasatye nirodhasatye ca yathāyogam / tayā kuśalapakṣe	vimatiH mArga satye niroDa satye ca yaTAyogam / tayA kuSala pakze
   'pravṛttiralabdhaniścayasyānārambhāt //	apravRttiH alabDa niScayasya anAramBAt //
   madhyamā pratipacchāśvatocchedagrāhavarjitaṃ pratītyasamutpādajñānam /	maDyamA pratipad SASvata ucCeda grAha varjitam pratItyasamutpAda jQAnam /
   śīlavrataṃ kudṛṣṭipūrvakaṃ veditavyama / śramavaiphalyaṃ tenāniryāṇāt /	SIla vratam kudRzwi pUrvakam veditavyama / Srama vEPalyam tena aniryANAt /
   nāsti dattaṃ nāstīṣṭaṃ nāsti kṛtaṃ nāsti sucaritaṃ nāsti duścaritamityayaṃ	na asti dattam na asti izwam na asti kRtam na asti su caritam na asti duScaritam iti ayam
   hetvapavādaḥ / nāsti duścaritasucaritānāṃ karmaṇāṃ phalavipāka iti	hetu apavAdaH / na asti duScarita su caritAnAm karmaNAm Pala vipAkaH iti
   phalāpavādaḥ / nāstyayaṃ loko nāsti paraloko nāsti mātā nāsti pitā nāsti	Pala apavAdaH / na asti ayam lokaH na asti para lokaH na asti mAtA na asti pitA na asti
   sattva upapāduka iti kriyāpavādaḥ, lokāntaragamanāgamanakriyāyā	sattvaH upapAdukaH iti kriyA apavAdaH, loka antara gamana Agamana kriyAyAH 
   bījādhānakriyāyāḥ pratisaṃdhibandhakriyāyāścāpavādāt / na santi loke	bIja ADAna kriyAyAH pratisaMDi banDa kriyAyAH ca apavAdAt / na santi loke
   'rhanta ityevamādi sadvastunāśanam / tadanyadyat kiṃcidviparītadarśanaṃ	arhante iti evamAdi sat vastu nASanam / tat anyat yat kiMcid viparIta darSanam
   tanmithyāparikalpanaṃ veditavyam / kuśalamūlasamucchedo viśiṣṭāyā eva	tat miTyA parikalpanam veditavyam / kuSala mUla samucCedaH viSizwAyAH eva
   mithyādṛṣṭerna sarvasyāḥ /	miTyA dRzweH na sarvasyAH /
   pañcaskandhātmake jñeye ātmātmīyasvabhāvasamāropikā satkāyadṛṣṭiḥ /	paQca skanDa Atmake jQeye Atma AtmIya svaBAva samAropikA sat kAya dRzwiH /
   ātmanityānityaviśeṣasamāropikāntagrāhadṛṣṭiḥ / kudṛṣṭāvagratā samāropako	Atma nitya anitya viSeza samAropikAnta grAha dRzwiH / kudRzwO= agra tA samAropako
   dṛṣṭiparāmarśaḥ / tatraiva śuddhisamāropakaḥ śīlavrataparāmarśaḥ / ekā	dRzwi parAmarSaH / tatra eva SudDi samAropakaH SIla vrata parAmarSaH / ekA
   yadbhūyaseti mithyāvikalpikā yā nāvaśyamapavādikatvāt / lakṣaṇato	yat BUyasA iti miTyA vikalpikA yA na avaSyam apavAdika tvAt / lakzaNataH 
   dvābhyāmantagrāhamithyādṛṣṭibhyām, saparivārataḥ sarvābhyaḥ /	dvAByAm anta grAha miTyA dRzwiByAm, sa parivArataH sarvAByaH /
   rūpādayo nātmā, tadvilakṣaṇatvāt na hi te ātmalakṣaṇā iti / na teṣvātmā,	rUpa AdayaH na AtmA, tad vilakzaNa tvAt na hi te Atma lakzaNAH iti / na tezu AtmA,
   anityatādoṣāt / na hyāśrayābhāve āśritaṃ bhavatīti / na rūpavānātmā,	anitya tA dozAt / na hi ASraya aBAve ASritam Bavati iti / na rUpavAn AtmA,
