   abhidharmadīpaḥ	aBiDarma dIpaH
   'dvitīye 'nye 'pyupaplavāḥ |'; prādhānātmakapakṣa ete ca doṣāḥ	advitIye anye api upaplavAH | a; prADAna Atmaka pakzaH ete ca dozAH
   prasajantyanye 'pi copaplavāḥ sādhāraṇatvādakṛtābhyāgamānirmokṣaprasaṅgāt	prasajanti anye api ca upaplavAH sADAraNa tvAt akRta aByAgamA niH mokza prasaFgAt 
   | tasmāt trīṇyeva ca sarvajñābhihitānyasaṃskṛtāni nityānīti siddham |	| tasmAt trINi eva ca sarvajQa aBihitAni asaMskRtAni nityAni iti sidDam |
   vyākhyātāḥ aṣṭau padārthāḥ  saṃskṛtāḥ pañca, trayaścāsaṃskṛtāḥ |	vyAKyAtAH azwO padArTAH saMskRtAH paQca, trayaH ca asaMskRtAH |
   etāvaccaitatsarvaṃ yaduta saṃskṛtaṃ cāsaṃskṛtaṃ ceti |	etAvat ca etat sarvam yat uta saMskRtam ca asaMskRtam ca iti |
   taccaitadāyatanadhātuvyavasthānena vyavasthāpyate |	tat ca etat Ayatana DAtu vyavasTAnena vyavasTApyate |
   (Jaini_5)	(JEni_5)
   dvādaśa khalvāyatanāni | cakṣurādīni dharmāyatanāntāni |	dvAdaSa Kalu AyatanAni | cakzuH AdIni Darma Ayatana antAni |
   aṣṭādaśa dhātavaḥ | cakṣurdhātū	azwAdaSa DAtavaH | cakzuH DAtU
   rūpadhātuścakṣurvijñānadhāturyāvanmanodhāturdharmadhāturmanovijñānadhāturiti	rUpa DAtuH cakzuH vijQAna DAtuH yAvat manaH DAtuH DarmaDAtuH manaH vijQAna DAtuH iti
   tatra tāvat	tatra tAvat 
   rūpaskandho hi netrādyā daśāyatanadhātavaḥ /	rUpa skanDaH hi netra AdyAH daSa Ayatana DAtavaH /
   dharmasaṃjñe trayaskandhāḥ sāvijñaptirdhruvatrayāḥ // Abhidh d_4 //	Darma saMjQe traya skanDAH sa avijQaptiH Druva trayAH // ABiD t _4 //
   manaḥsaṃjñakamanyo 'pi saptavijñānadhātavaḥ /	manaH saMjQakam anyaH api sapta vijQAna DAtavaH /
   iti |	iti |
   kaḥ punarāyatanadhātvarthaḥ ? taducyate |	kaH punar Ayatana DAtu arTaH ? tat ucyate |
   āyadvāraṃ hyāyatanaṃ dhāturgotraṃ nirucyate // Abhidh d_5 //	Aya dvAram hi Ayatanam DAtuH gotram nirucyate // ABiD t _5 //
   taduktaṃ bhavati  cittacaitasikākhyamāyametāni tanvantītyāyatanāni |	tat uktam Bavati citta cEtasikA AKyam Ayam etAni tanvanti iti AyatanAni |
   yasmātsapta cittadhātavaścatvāraścārūpiṇaḥ skandhā	yasmAt sapta citta DAtavaH catvAraH ca arUpiNaH skanDA
   ebhyaścatuṣpratyayātmakebhyaḥ pratāyante tadutpattiṃ vā pratyāyante	eByaH catuzpratyaya AtmakeByaH pratAyante tad utpattim vA pratyAyante
   tasmādāyatanāni |	tasmAt AyatanAni |
   dhātvarthastu gotrārthaḥ | taduktaṃ bhavati  ekasmiṃñccharīraparvate	DAtvarTaH tu gotra arTaH | tat uktam Bavati ekasminQt SarIra parvate
   'ṣṭādaśa (Jaini_6) dharmagotrāṇi  iti | dhruvadvayasyāpyatra	azwAdaSa (JEni_6) Darma gotrANi iti | Druva dvayasya api atra
   pratinidhisthānīyāḥ prāptayo gotrabhūtā vidyante | ākāśaṃ ca	pratiniDi sTAnIyAH prAptayaH gotra BUtAH vidyante | AkASam ca
   sarvabhūtabhaumikarūpādhāramiti tadapyatrāstīti | svalakṣaṇadhāraṇādvā	sarva BUta BOmika rUpa ADAram iti tat api atra asti iti | sva lakzaNa DAraNAt vA
   taddhātutvam |	tad DAtu tvam |
   atha kasmāddvādaśāyatanānyaṣṭādaśa ca dhātavaḥ pṛthaṅnirucyante ?	aTa kasmAt dvAdaSa AyatanAni azwAdaSa ca DAtavaH pRTak nirucyante ?
   nanvanyataranirdeśādgatārthametaditi | atrocyate |	nanu anyatara nirdeSAt gata arTam etat iti | atra ucyate |
   yogarūpyānukūlyāderdvādaśāyatanīṃ muniḥ /	yoga rUpya AnukUlI AdeH dvAdaSa AyatanIm muniH /
   buddhyādyekatvadhīhānyai dhātūṃścāṣṭādaśoktavān // Abhidh d_6 //	budDi Adi ekatvaDI ha anyE DAtUn= ca azwAdaSa uktavAn // ABiD t _6 //
   skandheṣu hi dṛśyamāneṣu yoginorasarvajñeyapratibimbakānyupatiṣṭhanti |	skanDezu hi dRSyamAnezu yoginA UH asarva jQeya pratibimbakAni upatizWanti |
   dhātuṣvapi saptacittadhātupratibimbakāni sādṛśyād duravadhārāṇi bhavanti |	DAtuzu api sapta citta DAtu pratibimbakAni sAdRSyAt duravaDArANi Bavanti |
   dhātuskandhavyavasthā cāyataneṣūkteṣvabhihitakāraṇā bhavanti sulakṣā ceti	DAtu skanDa vyavasTA ca Ayatanezu uktezu aBihita kAraNAH Bavanti sulakzA ca iti
   dhātudeśanā | tadūrdhvaṃ skandhaprajñaptiḥ | yathoktam  "cakṣuḥ pratītya	DAtu deSanA | tad UrDvam skanDa prajQaptiH | yaTA uktam "cakzuH pratItya
   rūpaṃ cotpadyate cakṣurvijñānam | trayāṇāṃ sannipātāt sparśaḥ | sahajā	rUpam ca utpadyate cakzuH vijQAnam | trayANAm sannipAtAt sparSaH | sahajA
   vedanā cetanā" iti | tasmādāyatanāni dhātūnāṃ yoniḥ, dhātavaḥ	vedanA cetanA" iti | tasmAt AyatanAni DAtUnAm yoniH, DAtavaH
   skandhānāmiti |	skanDAnAm iti |
   'buddhyādyekatvadhīhānyai dhātūṃścāṣṭādaśoktavān |'; sapta vijñānadhātavo	abudDi Adi ekatvaDI ha anyE DAtUn= ca azwAdaSa uktavAn |a; sapta vijQAna DAtavaH 
   hi deśyamānā buddhyaikatvagrāhaṃ nivartayanti | piṇḍaikātmagrāhaṃ ca	hi deSyamAnAH budDyA ekatva grAham nivartayanti | piNxa eka Atma grAham ca
   nivartayanti |	nivartayanti |
   vaibhāṣāḥ punarāhuḥ  "rūpasaṃmūḍhānāmāyatanadeśanā |	vEBAzAH punar AhuH "rUpa saMmUXAnAm Ayatana deSanA |
   cittacaittasaṃmūḍhānāṃ skandhadeśanā | rūpacittasaṃmūḍhānāṃ dhātudeśanā |	citta cEtta saMmUXAnAm skanDa deSanA | rUpa citta saMmUXAnAm DAtu deSanA |
   tīkṣṇendriyāṇāṃ vā skandhadeśanā | madhyendriyāṇāmāyatanadeśanā |	tIkzNa indriyANAm vA skanDa deSanA | maDya indriyANAm Ayatana deSanA |
   mṛdvindriyāṇāṃ dhātudeśanā | evaṃ saṃkṣiṃptamapyavistararucīnām |"	mRd u indriyANAm DAtu deSanA | evam saMkziMptam api avistara rucInAm |"
   athavā 'buddhyaikatvādidhīhānyai dhātūṃścāṣṭādaśoktavān |'; ye khalu	aTavA abudDyA eka tva AdiDi iha anyE DAtUn= ca azwAdaSa uktavAn |a; ye Kalu
   buddhyaikatvamadhyavasitā (Jaini_7) manasaścetanāyāṃ vā rūpacittaikatvaṃ	budDyA ekatva maDyavasitAH (JEni_7) manasaH cetanAyAm vA rUpa citta eka tvam
   vā teṣāṃ mamatva buddhinirāsārthamaṣṭādaśadhātūnuktavāniti |	vA tezAm mamatva budDi nirAsa arTam azwAdaSa DAtUn uktavAn iti |
   kaḥ punarayaṃ ṣaḍbhyo vijñānakāyebhyo 'nyo manodhātuḥ ? na khalu	kaH punar ayam zaxByaH vijQAna kAyeByaH anyaH manaH DAtuH ? na Kalu
   kaścidanyaḥ | kiṃ tarhi ?	kaScid anyaH | kim tarhi ?
   ṣaṇṇāmanyo nyatantratvātkāraṇaṃ yaddhi tanmanaḥ /	zaNNAm anyaH nyatantra tvAt kAraNam yat hi tat manaH /
   (Jaini_8)	(JEni_8)
   svaviṣayālambanakriyāpekṣayā vijñānāntarotpādanādiśaktyapekṣayā caikasya	sva vizaya Alambana kriyA apekzayA vijQAna antara utpAdana Adi Sakti apekzayA ca ekasya
   vijñānasya tridhā nirdeśaḥ kriyate  'manaścittaṃ vijñānaṃ ca';	vijQAnasya triDA nirdeSaH kriyate  amanaH cittam vijQAnam ca a;
   ityanāgatasyātītasyāpi bhūtabhāvinyā saṃjñayā vyapadeśaḥ | evaṃ sati	iti anAgatasya atItasya api BUta BAvinyA saMjQayA vyapadeSaH | evam sati
   "aṣṭādaśadhātavastraiyadhvikāḥ" ityabhidharmagrantho 'pyanulomito bhavati	"azwAdaSa DAtavaH trEyaDvikAH" iti aBiDarma granTaH api anulomitaH Bavati
   | sūtre 'pi coktam  "yatpunastadbhavati cittamiti vā mana iti vā" iti	| sUtre api ca uktam "yat punar tat Bavati cittam iti vA manaH iti vA" iti
   vistaraḥ | tadevaṃ vyācakṣāṇena bhavatā nityaṃ karaṇaṃ mano 'nityaścātmā	vistaraH | tat evam vyAcakzANena BavatA nityam karaNam manaH anityaH ca AtmA
   kartā'; iti pratiṣiddhaṃ bhavati |	kartA a; iti pratizidDam Bavati |
   atha kasmāttadeva cakṣurvijñānādīnāṃ pañcānāmapyāśrayatvena noktamiti ?	aTa kasmAt tat eva cakzuH vijQAna AdInAm paQcAnAm api ASraya tvena na uktam iti ?
   atra brūmaḥ 	atra brUmaH 
   rūpyarūpāśrayāstitvātpañcānāṃ rūpyudāhṛtaḥ // Abhidh d_7 //	rUpya rUpa ASraya astitvAt paQcAnAm rUpi udAhRtaH // ABiD t _7 //
   cakṣurādīnāmasādhāraṇatvāditi |	cakzuH AdInAm asADAraNa tvAt iti |
   atha yaduktam  'sasaṃprayogā sahasaṃgraheṇa iti | kau punarimau	aTa yat uktam asa saMprayogA saha saMgraheNa iti | kO punar imO
   saṃgrahasaṃprayogāvityetadapadiśyate |	saMgraha saMprayogO= iti etat apadiSyate |
   skandhāyatanadhātūnāṃ svātmanā saṃgrahaḥ smṛtaḥ /	skanDa Ayatana DAtUnAm sva AtmanA saMgrahaH smRtaH /
   (Jaini_9)	(JEni_9)
   kṣaṇaparamāṇujātisaṃkhyānāṃ pratyekaṃ yathāyogaṃ saṃgraho veditavyaḥ |	kzaNa paramANu jAti saMKyAnAm pratyekam yaTAyogam saMgrahaH veditavyaH |
   kasmāt ?	kasmAt ?
   svātmanā nityamaviyogāt	sva AtmanA nityam aviyogAt 
   tasmād dravyātmasaṃgrahaḥ | sacchabdanimittaṃ hi sato bhāvaḥ sattā dravyaṃ	tasmAt dravya Atma saMgrahaH | sat Sabda nimittam hi sataH BAvaH sattA dravyam
   prakṛtyarthaḥ | dravyātmasaṃgrahaḥ pratyayārthaḥ, satkriyā	prakRti arTaH | dravya Atma saMgrahaH pratyaya arTaH, satkriyA
   vopacārasattārūpā | vaiśeṣikasattā tu nobhayamarthāntaratvāt | na	vA upacAra sattA rUpA | vESezika sattA tu na uBayam arTa antara tvAt | na
   hyarthāntaraṃ svātmopapadyate | kiñca, svātantryāt | niruktyapabhraṃśācca	hi arTa antaram sva AtmA upapadyate | kiQca, svAtantryAt | nirukti apaBraMSAt ca
   | nahi ghaṭena sattotpādyate | āvaraṇābhāvāttannityatvābhyu pagamācca |	| na hi Gawena satta utpAdyate | AvaraNa aBAvAt tad nitya tva aByu pagamAt ca |
   niruktyapi bhraśyate  sattāyogātsantī ti | syānmālyādivatsattāvānvā	niruktI api BraSyate sattA yogAt santI ti | syAt mAlya Adi vat sattAvAn vA
   kriyāvaditi | yastvayaṃ saṃgravastvādiṣu saṃgrahaḥ proktaḥ sa	kriyAvat iti | yaH tu ayam saMgravaH tu Adizu saMgrahaH proktaH sa
   kādācitkatvād gauṇo mantavyo na mukhyaḥ |	kAdAcid ka tvAt gONaH mantavyaH na muKyaH |
   saṃprayogastu	saMprayogaH tu
   samatvaṃ cittacaitasām // Abhidh d_8 //	sama tvam citta cEtasAm // ABiD t _8 //
   pañcabhiḥ samālambane prayujyanta iti | samprayuktāścittacaitasā eva	paQcaBiH samAlambane prayujyante iti | samprayuktAH citta cEtasAH eva
   dharmā nānya iti ||	DarmAH na anyaH iti ||
   atha ya ete sūtrāntareṣu skandhāyatanadhātusaṃśabditā dharmāḥ śrūyante te	aTa ye ete sUtra antarezu skanDa Ayatana DAtu saMSabditAH DarmAH SrUyante te
   kimeṣveva saṃgrahaṃ gacchanti, āhosvinneti ? atrocyate |	kim ezu eva saMgraham gacCanti, Ahosvit na iti ? atra ucyate |
   tadākhyā ye 'nyasūtroktāsteṣāmeṣveva saṃgraham /	tad AKyAH ye anya sUtra uktAH tezAm ezu eva saMgraham /
   brūyācchāstranayābhijño buddhyāpekṣya svalakṣaṇam // Abhidh d_9 //	brUyAt SAstra nayA aBijQaH budDyA apekzya sva lakzaNam // ABiD t _9 //
   tatra tāvacchīlaskandhādīnāṃ pañcānāṃ skandhānāṃ śīlaskandho rūpaskandhena	tatra tAvat SIla skanDa AdInAm paQcAnAm skanDAnAm SIla skanDaH rUpa skanDena
   saṃgṛhītaḥ | śeṣāḥ saṃskāraskandhena | daśa	saMgRhItaH | SezAH saMskAra skanDena | daSa
   kṛtsnāyatanānyapyalobhasvābhāvyādaṣṭānāṃ dharmāyatanena | saparivāṇāṇi tu	kRtsnA AyatanAni api aloBa svABAvyAt azwAnAm Darma Ayatanena | sa parivANANi tu
   manodharmāyatanābhyāṃ pañcaskandhasvabhāvatvāt | (Jaini_10) antye dve	manaH Darma AyatanAByAm paQca skanDa svaBAva tvAt | (JEni_10) antye dve
   kṛtsnāyatane catuḥskandhasvabhāvatvāt, manodharmāyatanābhyām |	kRtsnA Ayatane catur skanDa svaBAva tvAt, manaH Darma AyatanAByAm |
   dhātūnāmapi ṣaḍ dhātavaḥ | tebhyaścatvāraḥ spraṣṭavyadhātūnām, pañcamo	DAtUnAm api zaw DAtavaH | teByaH catvAraH sprazwavya DAtU nAm, paQcamaH 
   rūpadhātūnāṃ, ṣaṣṭhaḥ saptabhiścittadhātubhiḥ ||	rUpa DAtUnAM, zazWaH saptaBiH citta DAtuBiH ||
   anyonyasaṃgraho jñeyaḥ skandhādīnāṃ yathāyatham /	anyonya saMgrahaH jQeyaH skanDa AdInAm yaTAyaTam /
   rūpaskandhasya daśasvāyatanadhātuṣu rūpiṣu saṃgraho veditavyaḥ |	rUpa skanDasya daSasu Ayatana DAtuzu rUpizu saMgrahaH veditavyaH |
   dharmāyatanadhātupradeśena trayāṇāmapi skandhānāṃ	Darma Ayatana DAtu pradeSena trayANAm api skanDAnAm
   yathāyogadharmāyatanadhātubhyām | antyasya tu manaāyatanasya	yaTAyoga Darma Ayatana DAtuByAm | antyasya tu manaA Ayatanasya
   saptabhiścittadhātubhiriti ||	saptaBiH citta DAtuBiH iti ||
   atha kasmādasaṃskṛtaṃ skandhairasaṃgṛhītam ? brūmaḥ |	aTa kasmAt asaMskRtam skanDEH asaMgRhItam ? brUmaH |
   nādhvasvapatanādibhyo nityānāṃ skandhasaṃgrahaḥ // Abhidh d_10 //	na aDva svapatana AdiByaH nityAnAm skanDa saMgrahaH // ABiD t _10 //
   ādiśabdānniṣkriyatvaskandhalakṣaṇaviyuktatvācceti ||	Adi SabdAt nizkriya tva skanDa lakzaNa viyukta tvAt ca iti ||
   dharmaskandhasahastrāṇāmaśīterapi saṃgrahaḥ /	Darma skanDa sahastrANAm aSIteH api saMgrahaH /
   jñeyo 'vataraṇeṣveva taiḥ sanmārgāvatāraṇāt // Abhidh d_11 //	jQeyaH avataraNezu eva tEH sat mArga avatAraNAt // ABiD t _11 //
   aśītiḥ khalvavataraṇasahasrāṇi yairvineyāḥ sanmārgamavatāryante ||	aSItiH Kalu avataraNa sahasrANi yEH vineyAH sat mArgam avatAryante ||
   (Jaini_11)	(JEni_11)
   kiṃ punasteṣāmekaikasya pramāṇam ? brūmaḥ | atrācāryāṇāṃ bhedaṃgatā	kim punar tezAm ekEkasya pramANam ? brUmaH | atra AcAryANAm BedaMgatA
   buddhayaḥ | kecidāhuḥ	budDayaH | kecid AhuH
   dharmaskandhapramāṇaṃ tu satyāderekaśaḥ kathā /	Darma skanDa pramANam tu satya AdeH ekaSas kaTA /
   satyadhyānasamādhisamāpattivimokṣapratītyasamutpādaskandhādīnāmekaśaḥ	satya DyAna samADi samApatti vimokza pratItya samutpAda skanDa AdInAm ekaSas 
   kathā dharmaskandhaḥ | rāgādicaritapratipakṣo dharmaskandha ityācāryakam |	kaTA Darma skanDaH | rAga Adi carita pratipakzaH Darma skanDaH iti AcAryakam |
   tatsatattvaṃ tu keṣāñcidvāṅnāmāpīṣyate paraiḥ // Abhidh d_12 //	tat sa tattvam tu kezAQcid vAc nAm ApIzyate parEH // ABiD t _12 //
   yeṣāṃ tāvadvāksvabhāvaṃ buddhavacanaṃ teṣāmaśītidharmaskandhasahastrāṇi	yezAm tAvat vAc svaBAvam budDa vacanam tezAm aSIti Darma skanDa sahastrANi
