   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   yathā vidyā tathā karma coditatvāviśeṣataḥ /	yaTA vidyA taTA karma codita-tva-aviSezataH /
   pratyavāyasmṛteś caiva kāryaṃ karma mumukṣubhiḥ // SamUpad_I,1.9 //	pratyavAya-smRteH ca-eva kAryam karma mumukzuBiH // SamUpat-_I,1.9 //
   nanu dhruvaphalā vidyā nānyat kiṃcid apekṣate /	nanu Druva-PalA vidyA na-anyat kiMcid apekzate /
   nāgniṣṭomo yathaivānyad dhruvakāryo 'py apekṣate // SamUpad_I,1.10 //	na-agnizwomaH yaTA-eva-anyat Druva-kAryaH api apekzate // SamUpat-_I,1.10 //
   tathā dhruvaphalā vidyā karma nityam apekṣate /	taTA DruvaPalA vidyA karma nityam apekzate /
   ity evaṃ kecid icchanti na karma pratikūlataḥ // SamUpad_I,1.11 //	iti evam kecid icCanti na karma pratikUlataH // SamUpat-_I,1.11 //
   vidyāyāḥ pratikūlaṃ hi karma syāt sābhimānataḥ /	vidyAyAH pratikUlam hi karma syAt sa-aBimAnataH /
   nirvikārātmabuddhiś ca vidyetīha prakīrtitā // SamUpad_I,1.12 //	nirvikAra-Atma-budDiH ca vidyA-iti-iha prakIrtitAH // SamUpat-_I,1.12 //
   ahaṃ kartā mamedaṃ syād iti karma pravartate /	aham kartA mama-idam syAt iti karma pravartate /
   vastvadhīnā bhaved vidyā kartradhīno bhaved vidhiḥ // SamUpad_I,1.13 //	vastu-aDInA Bavet vidyA kartR-aDInaH Bavet viDiH // SamUpat-_I,1.13 //
   kārakāṇy upamṛdnāti vidyābbuddhim ivoṣare /	kArakANi upamRdnAti vidyA-abbudDim iva-Uzare /
   tatsatyamatim ādāya karma kartuṃ vyavasyati // SamUpad_I,1.14 //	tad-satya-matim AdAya karma kartum vyavasyati // SamUpat-_I,1.14 //
   viruddhatvād ataḥ śakyaṃ karma kartuṃ na vidyayā /	virudDa-tvAt atas Sakyam karma kartum na vidyayA /
   sahaivaṃ viduṣā tasmāt karma heyaṃ mumukṣuṇā // SamUpad_I,1.15 //	saha-evam viduzA tasmAt karma heyam mumukzuNA // SamUpat-_I,1.15 //
   dehādyair aviśeṣeṇa dehino grahaṇaṃ nijam /	deha-AdyEH aviSezeNa dehinaH grahaNam nijam /
   prāṇināṃ tad avidyotthaṃ tāvat karmavidhir bhavet // SamUpad_I,1.16 //	prANinAm tat avidyA-utTam tAvat karma-viDiH Bavet // SamUpat-_I,1.16 //
   neti netīti dehādīn apohyātmāvaśeṣitaḥ /	na-iti na-iti-iti deha-AdIn apohya-Atma-avaSezitaH /
   aviśeṣātmabodhārthaṃ tenāvidyā nivartitā // SamUpad_I,1.17 //	aviSeza-Atma-boDa-arTam tena-avidyA nivartitAH // SamUpat-_I,1.17 //
   nivṛttā sā kathaṃ bhūyaḥ prasūyeta pramāṇataḥ /	nivRttA sA kaTam BUyas prasUyeta pramANataH /
   asaty evāviśeṣe hi pratyagātmani kevale // SamUpad_I,1.18 //	asati eva-aviSeze hi pratyagAtmani kevale // SamUpat-_I,1.18 //
   na ced bhūyaḥ prasūyeta kartā bhokteti dhīḥ katham /	na ced BUyas prasUyeta kartA BoktA-iti DIH kaTam /
   sad asmīti ca vijñāne tasmād vidyāsahāyikā // SamUpad_I,1.19 //	sat asmi-iti ca vijQAne tasmAt vidyA-sa-hAyikAH // SamUpat-_I,1.19 //
   atyarecayad ity ukto nyāsaḥ śrutyāta eva hi /	atyarecayat iti uktaH nyAsaH SrutyAtaH eva hi /
   karmabhyo mānasāntebhya etāvad iti vājinām // SamUpad_I,1.20 //	karmaByaH mAnasa-anteByaH etAvat iti vAjinAm // SamUpat-_I,1.20 //
   amṛtatvaṃ śrutaṃ tasmāt tyājyaṃ karma mumukṣubhiḥ /	amRta-tvam Srutam tasmAt tyAjyam karma mumukzuBiH /
   agniṣṭomavad ity uktaṃ tatredam abhidhīyate // SamUpad_I,1.21 //	agnizwoma-vat iti uktam tatra-idam aBiDIyate // SamUpat-_I,1.21 //
   naikakārakasādhyatvāt phalānyatvāc ca karmaṇaḥ /	na-eka-kAraka-sADya-tvAt Pala-anyatvAt ca karmaNaH /
   vidyā tadviparītāto dṛṣṭānto viṣamo bhavet // SamUpad_I,1.22 //	vidyA tad-viparIta-ataH dRzwAntaH vizamaH Bavet // SamUpat-_I,1.22 //
   kṛṣyādivat phalārthatvād anyakarmopabṛṃhaṇam /	kRzi-Adi-vat Pala-arTa-tvAt anya-karma-upabRMhaNam /
   agniṣṭomas tv apekṣeta vidyānyat kim apekṣate // SamUpad_I,1.23 //	agnizwomaH tu apekzeta vidyA-anyat kim apekzate // SamUpat-_I,1.23 //
   pratyavāyas tu tasyaiva yasyāhaṃkāra iṣyate /	pratyavAyaH tu tasya-eva yasya-ahaMkAraH izyate /
   ahaṃkāraphalārthitve vidyete nātmavedinaḥ // SamUpad_I,1.24 //	ahaMkAra-Pala-arTi-tve vidyete na-Atma-vedinaH // SamUpat-_I,1.24 //
   tasmād ajñānahānāya saṃsāravinivṛttaye /	tasmAt ajQAna-hAnAya saMsAra-vinivRttaye /
   brahmavidyāvidhānāya prārabdhopaniṣat tv iyam // SamUpad_I,1.25 //	brahma-vidyA-viDAnAya prArabDa-upanizad tu iyam // SamUpat-_I,1.25 //
   sader upanipūrvasya kvipi copaniṣad bhavet /	sadeH upanipUrvasya kvipi ca-upanizad Bavet /
   mandīkaraṇabhāvāc ca garbhādeḥ śātanāt tathā // SamUpad_I,1.26 //	mandIkaraNa-BAvAt ca garBa-AdeH SAtanAt taTA // SamUpat-_I,1.26 //
   iti caitanyaprakaraṇam // SamUpad_I,1 //	iti cEtanya-prakaraNam // SamUpat-_I,1 //
   pratiṣeddhum aśakyatvān neti netīti śeṣitam /	pratizedDum aSakya-tvAt na-iti na-iti-iti Sezitam /
   idaṃ nāham idaṃ nāham ity addhā pratipadyate // SamUpad_I,2,1 //	idam na-aham idam na-aham iti adDA pratipadyate // SamUpat-_I,2,1 //
   idaṃdhīr idamātmotthā vācārambhaṇagocarā /	idaMDIH idam-AtmA-utTAH vAcA-AramBaNa-gocarA /
   niṣiddhātmodbhavatvāt sā na punar mānatāṃ vrajet // SamUpad_I,2.2 //	nizidDa-AtmA-udBava-tvAt sA na punar mAna-tAm vrajet // SamUpat-_I,2.2 //
   pūrvabuddhim abādhitvā nottarā jāyate matiḥ /	pUrva-budDim abADitvA na-uttarA jAyate matiH /
   dṛśir ekaḥ svayaṃsiddhaḥ phalatvāt sa na bādhyate // SamUpad_I,2.3 //	dRSiH ekaH svayaMsidDaH Pala-tvAt sa na bADyate // SamUpat-_I,2.3 //
   idaṃvanam atikramya śokamohādidūṣitam /	idaMvanam atikramya Soka-moha-Adi-dUzitam /
   vanād gāndhārako yadvat svam ātmānaṃ prapadyate // SamUpad_I,2.4 //	vanAt gAnDArakaH yadvat svam AtmAnam prapadyate // SamUpat-_I,2.4 //
   iti pratiṣedhaprakaraṇam // SamUpad_I,2 //	iti pratizeDa-prakaraNam // SamUpat-_I,2 //
   īśvaraś ced anātmā syān nāsāv asmīti dhārayet /	ISvaraH ced anAtmA syAt na-asO asmi-iti DArayet /
   ātmā ced īśvaro 'smīti  vidyā sānyanivartikā // SamUpad_I,3.1 //	AtmA ced ISvaraH asmi-iti  vidyA sa-anya-nivartikAH // SamUpat-_I,3.1 //
   ātmano 'nyasya ced dharmā asthūlatvādayo matāḥ /	AtmanaH anyasya ced DarmAH asTUla-tva-AdayaH matAH /
   ajñeyatve 'sya kiṃ taiḥ syād ātmatve tv anyadhīhnutiḥ // SamUpad_I,3.2 //	ajQeya-tve asya kim tEH syAt Atma-tve tu anya-DIhnutiH // SamUpat-_I,3.2 //
   mithyādhyāsaniṣedhārthaṃ tato 'sthūlādi gṛhyatām /	miTyA-aDyAsa-nizeDa-arTam tatas asTUla-Adi gRhyatAm /
   paratra cen niṣedhārthaṃ śūnyatāvarṇanaṃ hi tat // SamUpad_I,3.3 //	paratra ced nizeDa-arTam SUnyatA-AvarNanam hi tat // SamUpat-_I,3.3 //
   bubhutsor yadi cānyatra pratyagātmana iṣyate /	buButsoH yadi ca-anyatra pratyagAtmanaH izyate /
   aprāṇo hy amanāḥ śubhra iti cānarthakaṃ vacaḥ // SamUpad_I,3.4 //	aprANaH hi amanAH SuBraH iti ca-anarTakam vacaH // SamUpat-_I,3.4 //
   itīśvaraprakaraṇam // SamUpad_I,3 //	iti-ISvara-prakaraNam // SamUpat-_I,3 //
   ahaṃpratyayabījaṃ yad ahaṃpratyayavatsthitam /	ahaMpratyaya-bIjam yat ahaMpratyaya-vat-sTitam /
   nāhaṃpratyayavahnyuṣṭaṃ kathaṃ karma prarohati // SamUpad_I,4.1 //	na-ahaMpratyaya-vahni-uzwam kaTam karma prarohati // SamUpat-_I,4.1 //
   dṛṣṭavac cet prarohaḥ syān nānyakarmā sa iṣyate /	dRzwa-vat ced prarohaH syAt na-anya-karmA saH izyate /
   tannirodhe kathaṃ tat syāt pṛcchāmo vas tad ucyatām // SamUpad_I,4.2 //	tad-niroDe kaTam tat syAt pRcCAmaH vaH tat ucyatAm // SamUpat-_I,4.2 //
   dehādyārambhasāmarthyāj jñānaṃ sadviṣayaṃ tvayi /	deha-Adi-AramBa-sAmarTyAt jQAnam sat-vizayam tvayi /
   abhibhūya phalaṃ kuryāt karmānte jñānam udbhavet // SamUpad_I,4.3 //	aBiBUya Palam kuryAt karmAnte jQAnam udBavet // SamUpat-_I,4.3 //
   ārabdhasya phale hy ete bhogo jñānaṃ ca karmaṇaḥ /	ArabDasya Pale hi ete BogaH jQAnam ca karmaNaH /
   avirodhas tayor yukto vaidharmyaṃ cetarasya tu // SamUpad_I,4.4 //	aviroDaH tayoH yuktaH vEDarmyam ca-itarasya tu // SamUpat-_I,4.4 //
   dehātmajñānavaj jñānaṃ dehātmajñānabādhakam /	deha-Atma-jQAna-vat jQAnam deha-Atma-jQAna-bADakam /
   ātmany eya bhaved yasya sa necchann api mucyate // SamUpad_I,4.5 //	Atmani eya Bavet yasya sa na-icCan api mucyate // SamUpat-_I,4.5 //
   [tataḥ sarvam idaṃ siddhaṃ prayogo 'smābhir īritaḥ // SamUpad_I,4.5 //]	[tatas sarvam idam sidDam prayogaH asmABiH IritaH // SamUpat-_I,4.5 //]
   ity ahaṃpratyayaprakaraṇam // SamUpad_I,4 //	iti ahaMpratyaya-prakaraNam // SamUpat-_I,4 //
   mūtrāśaṅko yathodaṅko nāgrahīd amṛtaṃ muniḥ /	mUtrASaFkaH yaTA-udaFkaH na-agrahIt amRtam muniH /
   karmanāśabhayāj jantor ātmajñānāgrahas tathā // SamUpad_I,5.1 //	karma-nASa-BayAt jantoH Atma-jQAna-AgrahaH taTA // SamUpat-_I,5.1 //
   buddhisthaś calatīvātmā dhyāyatīva ca dṛśyate /	budDi-sTaH calati-iva-AtmA DyAyati-iva ca dRSyate /
   naugatasya yathā vṛkṣās tadvat saṃsāravibhramaḥ // SamUpad_I,5.2 //	nOgatasya yaTA vRkzAH tadvat saMsAra-viBramaH // SamUpat-_I,5.2 //
   nausthasya prātilomyena nagānāṃ gamanaṃ yathā /	nOsTasya prAtilomyena nagAnAm gamanam yaTA /
   ātmanaḥ saṃsṛtis tadvad dhyāyatīveti hi śrutiḥ // SamUpad_I,5.3 //	AtmanaH saMsRtiH tadvat DyAyati-iva-iti hi SrutiH // SamUpat-_I,5.3 //
   caitanyapratibimbena vyāpto bodho hi jāyate /	cEtanya-pratibimbena vyAptaH boDaH hi jAyate /
   buddheḥ śabdādinirbhāsas tena momuhyate jagat // SamUpad_I,5.4 //	budDeH Sabda-Adi-nirBAsaH tena mom-uhyate jagat // SamUpat-_I,5.4 //
   caitanyābhāsatāhamas tādarthyaṃ ca tad asya yat /	cEtanya-ABAsa-ta-ahamaH tAdarTyam ca tat asya yat /
   idamaṃśaprahāṇe na paraḥ so 'nubhavo bhavet // SamUpad_I,5.5 //	idam-aMSa-prahANe na paraH saH anuBavaH Bavet // SamUpat-_I,5.5 //
   iti mūtrāśaṅkaprakaraṇam // SamUpad_I,5 //	iti mUtra-ASaFka-prakaraNam // SamUpat-_I,5 //
   chittvā tyaktena hastena svayaṃ nātmā viśeṣyate /	CittvA tyaktena hastena svayam na-AtmA viSezyate /
   tathā śiṣṭena sarveṇa yena yena viśeṣyate // SamUpad_I,6.1 //	taTA Sizwena sarveNa yena yena viSezyate // SamUpat-_I,6.1 //
   tasmāt tyaktena hastena tulyaṃ sarvaṃ viśeṣaṇam /	tasmAt tyaktena hastena tulyam sarvam viSezaNam /
   anātmatvena tasmāj jño muktaḥ sarvaviśeṣaṇaiḥ // SamUpad_I,6.2 //	anAtma-tvena tasmAt jQaH muktaH sarva-viSezaNEH // SamUpat-_I,6.2 //
   viśeṣaṇam idaṃ sarvaṃ sādhvalaṃkaraṇaṃ yathā /	viSezaNam idam sarvam sADu-alaMkaraNam yaTA /
   avidyāstam ataḥ sarvaṃ jñāta ātmany asad bhavet // SamUpad_I,6.3 //	avidyAH-tam atas sarvam jQAtaH Atmani asat Bavet // SamUpat-_I,6.3 //
   jñātaivātmā sadā grāhyo jñeyam utsṛjya kevalaḥ /	jQAtA-eva-AtmA sadA grAhyaH jQeyam utsRjya kevalaH /
   aham ity api yad grāhyaṃ vyapetāṅgasamaṃ hi tat // SamUpad_I,6.4 //	aham iti api yat grAhyam vyapeta-aFga-samam hi tat // SamUpat-_I,6.4 //
   yāvān syād idamaṃśo yaḥ sa svato 'nyo viśeṣaṇam /	yAvAn syAt idam-aMSaH yaH sa svatas anyaH viSezaNam /
   viśeṣaprakṣayo yatra siddho jñaś citragur yathā // SamUpad_I,6.5 //	viSeza-prakzayaH yatra sidDaH jQaH citraguH yaTA // SamUpat-_I,6.5 //
   idam aṃśo 'ham ity atra tyājyo nātmeti paṇḍitaiḥ /	idam aMSaH aham iti atra tyAjyaH na-AtmA-iti paNxitEH /
   ahaṃ brahmeti śiṣṭo 'ṃśo bhūtapūrvagater bhavet // SamUpad_I,6.6 //	aham brahma-iti SizwaH aMSaH BUta-pUrva-gateH Bavet // SamUpat-_I,6.6 //
   iti chittvāprakaraṇam // SamUpad_I,6 //	iti CittvA-prakaraNam // SamUpat-_I,6 //
   buddhyārūḍhaṃ sadā sarvaṃ dṛśyate yatra tatra vā /	budDi-ArUXam sadA sarvam dRSyate yatra tatra vA /
   mayā tasmāt paraṃ brahma sarvajñaś cāsmi sarvagaḥ // SamUpad_I,7.1 //	mayA tasmAt param brahma sarvajQaH ca-asmi sarva-gaH // SamUpat-_I,7.1 //
   yathātmabuddhicārāṇāṃ sākṣī tadvat pareṣv api /	yaTA-Atma-budDi-cArANAm sAkzI tadvat parezu api /
   naivāpoḍhuṃ na vādātuṃ śakyas tasmāt paro hy aham // SamUpad_I,7.2 //	na-eva-apoXum na vAdAtum SakyaH tasmAt paraH hi aham // SamUpat-_I,7.2 //
   vikāritvam aśuddhatvaṃ bhautikatvaṃ na cātmanaḥ /	vikAri-tvam aSudDa-tvam BOtika-tvam na ca-AtmanaH /
   aśeṣabuddhisākṣitvād buddhivac cālpavedanā // SamUpad_I,7.3 //	aSeza-budDi-sAkzi-tvAt budDi-vat ca-alpa-vedanAH // SamUpat-_I,7.3 //
   maṇau prakāśyate yadvad raktādyākāratātape /	maNO prakASyate yadvat rakta-Adi-AkAra-tA-Atape /
   mayi saṃdṛśyate sarvam ātapeneva tan mayā // SamUpad_I,7.4 //	mayi saMdRSyate sarvam Atapena-iva tat mayA // SamUpat-_I,7.4 //
   buddhau dṛśyaṃ bhaved buddhau satyāṃ nāsti viparyaye /	budDO dRSyam Bavet budDO satyAm na-asti viparyaye /
   draṣṭā yasmāt sadā draṣṭā tasmād dvaitaṃ na vidyate // SamUpad_I,7.5 //	drazwA yasmAt sadA drazwA tasmAt dvEtam na vidyate // SamUpat-_I,7.5 //
   avivekāt parābhāvaṃ yathā buddhir avet tathā /	avivekAt parABAvam yaTA budDiH avet taTA /
   vivekāt tu parād anyaḥ svayaṃ cāpi na vidyate // SamUpad_I,7.6 //	vivekAt tu parAt anyaH svayam ca-api na vidyate // SamUpat-_I,7.6 //
   iti buddhyārūḍhaprakaraṇam // SamUpad_I,7 //	iti budDi-ArUXa-prakaraNam // SamUpat-_I,7 //
   citisvarūpaṃ svata eva me mate rasādiyogas tava mohakāritaḥ /	citi-svarUpam svatas eva me mate rasa-Adi-yogaH tava moha-kAritaH /
   ato na kiṃcit tava ceṣṭitena me phalaṃ bhavet sarvaviśeṣahānataḥ //	atas na kiMcid tava cezwitena me Palam Bavet sarva-viSeza-hAnataH //
   SamUpad_I,8.1 //	SamUpat-_I,8.1 //
   vimucya māyāmayakāryatām iha praśāntim āyāhy asadīhitāt sadā /	vimucya mAyA-maya-kArya-tAm iha praSAntim AyAhi asat-IhitAt sadA /
   ahaṃ paraṃ brahma sadā vimuktavat tathājam ekaṃ dvayavarjitaṃ yataḥ //	aham param brahma sadA vimukta-vat taTA-Ajam ekam dvaya-varjitam yatas //
   SamUpad_I,8.2 //	SamUpat-_I,8.2 //
   sadā ca bhūteṣu samo 'smi kevalo yathā ca khaṃ sarvagam akṣaraṃ śivam /	sadA ca BUtezu samaH asmi kevalaH yaTA ca Kam sarvagam akzaram Sivam /
   nirantaraṃ niṣkalam akriyaṃ paraṃ tato na me 'stīha phalaṃ tavehitaiḥ //	nirantaram nizkalam akriyam param tatas na me asti-iha Palam tava-IhitEH //
   SamUpad_I,8.3 //	SamUpat-_I,8.3 //
   ahaṃ mamaiko na tadanyad iṣyate tathā na kasyāpy aham asmy asaṅgataḥ /	aham mama-ekaH na tat-anyat izyate taTA na kasya-api aham asmi asaFgataH /
   asaṅgarūpo 'ham ato na me tvayā kṛtena kāryaṃ tava cādvayatvataḥ //	asaFga-rUpaH aham atas na me tvayA kRtena kAryam tava ca-advayatvataH //
   SamUpad_I,8.4 //	SamUpat-_I,8.4 //
   phale ca hetau ca jano viṣaktavān iti pracintyāham ato vimokṣaṇe /	Pale ca hetO ca janaH vizaktavAn iti pracintya-aham atas vimokzaNe /
   janasya saṃvādam imaṃ prakḷptavān svarūpatattvārthavibodhakāraṇam //	janasya saMvAdam imam prak?ptavAn svarUpa-tattva-arTa-viboDa-kAraNam //
   SamUpad_I,8.5 //	SamUpat-_I,8.5 //
   saṃvādam etaṃ yadi cintayen naro vimucyate 'jñānamahābhayāgamāt /	saMvAdam etam yadi cintayet naraH vimucyate ajQAna-mahA-Baya-AgamAt /
   vimuktakāmaś ca tathā janaḥ sadā caraty aśokaḥ sama ātmavit sukhī //	vimukta-kAmaH ca taTA janaH sadA carati aSokaH samaH Atma-vid suKI //
   SamUpad_I,8.6 //	SamUpat-_I,8.6 //
   iti citisvarūpaprakaraṇam // SamUpad_I,8 //	iti citi-svarUpa-prakaraNam // SamUpat-_I,8 //
   sūkṣmatāvyāpite jñeye gandhāder uttarottaram /	sUkzma-tA-vyApite jQeye ganDa-AdeH uttarottaram /
   pratyagātmāvasāneṣu pūrvapūrvaprahāṇataḥ // SamUpad_I,9.1 //	pratyagAtma-avasAnezu pUrva-pUrva-prahANataH // SamUpat-_I,9.1 //
   śārīrā pṛthivī tāvad yāvad bāhyā pramāṇataḥ /	SArIrA pRTivI tAvat yAvat bAhyA pramANataH /
   abādīni ca tattvāni tāvaj jñeyāni kṛtsnaśaḥ // SamUpad_I,9.2 //	ap-AdIni ca tattvAni tAvat jQeyAni kRtsnaSas // SamUpat-_I,9.2 //
   vāyvādīnāṃ yathotpatteḥ pūrvaṃ khaṃ sarvagaṃ tathā /	vAyu-AdInAm yaTA-utpatteH pUrvam Kam sarvagam taTA /
   aham ekaḥ sadā sarvaś cinmātraḥ sarvago 'dvayaḥ // SamUpad_I,9.3 //	aham ekaH sadA sarvaH cit-mAtraH sarva-gaH advayaH // SamUpat-_I,9.3 //
   brahmādyāḥ sthāvarāntā ye prāṇino mama pūḥ smṛtāḥ /	brahma-AdyAH sTAvara-antAH ye prANinaH mama pUH smRtAH /
   kāmakrodhādayo doṣā jāyeran me kuto 'nyataḥ // SamUpad_I,9.4 //	kAma-kroDa-AdayaH dozAH jAyeran me kutas anyatas // SamUpat-_I,9.4 //
   bhūtadoṣaiḥ sadāspṛṣṭaṃ sarvabhūtastham īśvaram /	BUta-dozEH sadA-aspRzwam sarva-BUta-sTam ISvaram /
   nīlaṃ vyoma yathā bālo duṣṭaṃ māṃ vīkṣate janaḥ // SamUpad_I,9.5 //	nIlam vyoma yaTA bAlaH duzwam mAm vIkzate janaH // SamUpat-_I,9.5 //
   maccaitanyāvabhāsyatvāt sarvaprāṇidhiyāṃ sadā /	mad-cEtanya-avaBAsya-tvAt sarva-prANi-DiyAm sadA /
   pūr mama prāṇinaḥ sarve sarvajñasya vipāpmanaḥ // SamUpad_I,9.6 //	pUH mama prANinaH sarve sarvajQasya vipApmanaH // SamUpat-_I,9.6 //
   janimaj jñānavijñeyaṃ svapnajñānavad iṣyate /	janimat jQAna-vijQeyam svapna-jQAna-vat izyate /
   nityaṃ nirviṣayaṃ jñānaṃ tasmād dvaitaṃ na vidyate // SamUpad_I,9.7 //	nityam nirvizayam jQAnam tasmAt dvEtam na vidyate // SamUpat-_I,9.7 //
   jñātur jñātir hi nityoktā suṣupte tv anyaśūnyataḥ /	jQAtuH jQAtiH hi nitya-uktA suzupte tu anya-SUnyataH /
   jāgrajjñātis tv avidyātas tad grāhyaṃ cāsad iṣyatām // SamUpad_I,9.8 //	jAgrat-jQAtiH tu avidyAtaH tat grAhyam ca-asat izyatAm // SamUpat-_I,9.8 //
   rūpavattvādyasattvān na dṛṣṭyādeḥ karmatā yathā /	rUpavat-tva-Adi-asattvAt na dRzwi-AdeH karma-tA yaTA /
   evaṃ vijñānakarmatvaṃ bhūmno nāstīti gamyate // SamUpad_I,9.9 //	evam vijQAna-karma-tvam BUmnaH na-asti-iti gamyate // SamUpat-_I,9.9 //
   iti sūkṣmatāprakaraṇam // SamUpad_I,9 //	iti sUkzma-tA-prakaraNam // SamUpat-_I,9 //
   dṛśisvarūpaṃ gaganopamaṃ paraṃ sakṛdvibhātaṃ tv ajam ekam akṣaram /	dRSi-svarUpam gagana-upamam param sakRt-viBAtam tu ajam ekam akzaram /
   alepakaṃ sarvagataṃ yad advayaṃ tad eva cāhaṃ satataṃ vimukta om //	alepakam sarva-gatam yat advayam tat eva ca-aham satatam vimuktaH om //
   SamUpad_I,10.1 //	SamUpat-_I,10.1 //
   dṛśis tu śuddho 'ham avikriyātmako na me 'sti kaścid viṣayaḥ svabhāvataḥ /	dRSiH tu SudDaH aham avikriyA-AtmakaH na me asti kaScid vizayaH svaBAvataH /
   puras tiraś cordhvam adhaś ca sarvataḥ supūrṇabhūmā tv aja ātmani sthitaḥ	puras tiras ca-UrDvam aDas ca sarvatas su-pUrNa-BUmA tu ajaH Atmani sTitaH
   // SamUpad_I,10.2 //	// SamUpat-_I,10.2 //
   ajo 'maraś caiva tathājaro 'mṛtaḥ svayaṃprabhaḥ sarvagato 'ham advayaḥ /	ajaH amaraH ca-eva taTA-ajaraH amRtaH svayaMpraBaH sarva-gataH aham advayaH /
   na kāraṇaṃ kāryam atīva nirmalaḥ sadaiva tṛptaś ca tato vimukta om //	na kAraNam kAryam atIva nirmalaH sadA-eva tRptaH ca tatas vimuktaH om //
   SamUpad_I,10.3 //	SamUpat-_I,10.3 //
   suṣuptajāgratsvapataś ca darśanaṃ na me 'sti kiṃcit svam iveha mohanam /	suzupta-jAgrat-svapataH ca darSanam na me asti kiMcid svam iva-iha mohanam /
   svataś ca teṣāṃ parato 'py asattvatas turīya evāsmi sadā dṛg advayaḥ //	svatas ca tezAm paratas api asattvataH turIyaH eva-asmi sadA dRS advayaH //
   SamUpad_I,10.4 //	SamUpat-_I,10.4 //
   śarīrabuddhīndriyaduḥkhasaṃtatir na me na cāhaṃ mama nirvikārataḥ /	SarIra-budDIndriya-duHKa-saMtatiH na me na ca-aham mama nirvikArataH /
   asattvahetoś ca tathaiva saṃtater asattvam asyāḥ svapato hi dṛśyavat //	asattva-hetoH ca taTA-eva saMtateH asattvam asyAH svapataH hi dRSya-vat //
   SamUpad_I,10.5 //	SamUpat-_I,10.5 //
   idaṃ tu satyaṃ mama nāsti vikriyā vikārahetur na hi me 'dvayatvataḥ /	idam tu satyam mama na-asti vikriyA vikAra-hetuH na hi me advayatvataH /
   na puṇyapāpe na ca mokṣabandhane na cāsti varṇāśramatāśarīrataḥ //	na puNya-pApe na ca mokza-banDane na ca-asti varNa-ASrama-tA-SarIrataH //
   SamUpad_I,10.6 //	SamUpat-_I,10.6 //
   anādito nirguṇato na karma me phalaṃ ca tasmāt paramo 'ham advayaḥ /	anAditaH nirguNataH na karma me Palam ca tasmAt paramaH aham advayaH /
   yathā nabhaḥ sarvagataṃ na lipyate tathā hy ahaṃ dehagato 'pi sūkṣmataḥ //	yaTA naBaH sarva-gatam na lipyate taTA hi aham deha-gataH api sUkzmataH //
   SamUpad_I,10.7 //	SamUpat-_I,10.7 //
