   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   anirṇīte tu yady arthe K_070a	anirNIte tu yadi arTe K_070a
   anirdiṣṭasvarūpakam K_520b	anirdizwa-svarUpakam K_520b
   anirdiṣṭaṃ ca tad bhavet K_520d	anirdizwam ca tat Bavet K_520d
   anirdiṣṭaṃ ca nirdiṣṭam K_519a	anirdizwam ca nirdizwam K_519a
   anirdiṣṭaṃ tu vijñeyaṃ K_491c	anirdizwam tu vijQeyam K_491c
   anirdeśaś ca deśasya K_248a	anirdeSaH ca deSasya K_248a
   aniṣeddhākṣamo yaḥ syāt K_834a	anizedDa-akzamaH yaH syAt K_834a
   aniṣṭoktau guṇānvitāḥ K_746b	anizwa-uktO guNa-anvitAH K_746b
   anisṛṣṭaṃ praveśayet K_527b	anisRzwam praveSayet K_527b
   anīśāḥ strīdhanasyoktā K_915c	anISAH strIDanasya-uktA K_915c
   anukuryād anubrūyād K_768c	anukuryAt anubrUyAt K_768c
   anuktam etan manyante K_181c	anuktam etat manyante K_181c
   anuktaṃ sādhu kalpitam K_953d	anuktam sADu kalpitam K_953d
   anuttīrṇāś ca nāsedhyā K_108c	anuttIrNAH ca na-AseDyA K_108c
   anudvegakaraṃ sthiram K_064b	anudvega-karam sTiram K_064b
   anupasthāpayan mūlaṃ K_619a	anupasTApayan mUlam K_619a
   anubhūtaṃ tu yad bhavet K_346b	anuBUtam tu yat Bavet K_346b
   anumānaṃ vidur hetuṃ K_242c	anumAnam viduH hetum K_242c
   anumānād guruḥ sakṣī K_315a	anumAnAt guruH sakzI K_315a
   anumārgeṇa kāryeṣu K_611a	anumArgeNa kAryezu K_611a
   anṛtākhyānaśīlānāṃ K_778c	anRta-AKyAna-SIlAnAm K_778c
   anekapadasaṃkīrṇaḥ K_136c	aneka-pada-saMkIrNaH K_136c
   anekārthābhiyoge 'pi K_473a	aneka-arTa-aBiyoge api K_473a
   anena vidhinā jñeyaṃ K_447c	anena viDinA jQeyam K_447c
   anena vidhinā yac ca K_945c	anena viDinA yat ca K_945c
   anena vidhinā yuktaṃ K_043a	anena viDinA yuktam K_043a
   anena vidhinā labdhaṃ K_645c	anena viDinA labDam K_645c
   anena vidhinā lekhyaṃ K_264a	anena viDinA leKyam K_264a
   antarveśmani rātrau ca K_367a	antarveSmani rAtrO ca K_367a
   antevāsī samācaret K_714b	antevAsI samAcaret K_714b
   antyānām antyayonayaḥ K_351d	antyAnAm antya-yonayaH K_351d
   anyakṣetre tu jātānāṃ K_761a	anya-kzetre tu jAtAnAm K_761a
   anyagrāme tripakṣakam K_703b	anya-grAme tri-pakzakam K_703b
   anyatra daṇḍapāruṣya- K_163c	anyatra daNxa-pAruzya K_163c
   anyatra rajakavyādha- K_570a	anyatra rajaka-vyADa K_570a
   anyatra sthāvareṣu tu K_387d	anyatra sTAvarezu tu K_387d
   anyathā kāritā vṛddhir K_498e	anyaTA kAritA vRdDiH K_498e
   anyathā kilviṣī nṛpaḥ K_816d	anyaTA kilvizI nRpaH K_816d
   anyathā tu yathākramam K_513d	anyaTA tu yaTAkramam K_513d
   anyathā tulyadoṣaḥ syān K_777a	anyaTA tulya-dozaH syAt K_777a
   anyathā dūrataḥ kāryaṃ K_295a	anyaTA dUratas kAryam K_295a
   anyathā na pravarteta K_639c	anyaTA na pravarteta K_639c
   anyathā na bṛhaspatiḥ K_346d	anyaTA na bRhaspatiH K_346d
   anyathā naiva vaktavyaṃ K_080c	anyaTA na-eva vaktavyam K_080c
   anyathābādhanaṃ yatra K_043c	anyaTAbADanam yatra K_043c
   anyad uktaṃ likhed anyad K_132a	anyat uktam liKet anyat K_132a
   anyadgurutaraṃ yadi K_191b	anyat-gurutaram yadi K_191b
   anyapakṣāśrayas tena K_195c	anya-pakza-ASrayaH tena K_195c
   anyapakṣāśrayeṇa ca K_208b	anya-pakza-ASrayeNa ca K_208b
   anyavādīādihīnebhya K_265a	anya-vAdIAdi-hIneByaH K_265a
   anyavādī paṇān pañca K_202a	anya-vAdI paNAn paQca K_202a
   anyasaṃjñānuyogī vā K_773c	anya-saMjQA-anuyogI vA K_773c
   anyasmin vacanān mama K_611b	anyasmin vacanAt mama K_611b
   anyahastāt paribhraṣṭam K_811a	anya-hastAt pariBrazwam K_811a
   anyān maulādibhiḥ saha K_742b	anyAn mOla-AdiBiH saha K_742b
   anyāpadeśavādī ca K_774c	anya-apadeSa-vAdI ca K_774c
   anyāyaṃ vā karoty ayam K_139b	anyAyam vA karoti ayam K_139b
   anyāyena kṛtaṃ tu tat K_068b	anyAyena kRtam tu tat K_068b
   anyāyena hi yo rāṣṭrāt K_019a	anyAyena hi yaH rAzwrAt K_019a
   anyāyenāpi taṃ yāntaṃ K_075a	anyAyena-api tam yAntam K_075a
   anyāyeṣu pravartate K_021d	anyAyezu pravartate K_021d
   anyāyopārjitaṃ nyastaṃ K_971a	anyAya-upArjitam nyastam K_971a
   anyārthaṃ cātidoṣavat K_173d	anya-arTam ca-ati-dozavat K_173d
   anye dharmavido janāḥ K_710d	anye Darma-vidaH janAH K_710d
   anyena hārayed divyaṃ K_436c	anyena hArayet divyam K_436c
   anyena hi kṛtaḥ sākṣī K_360a	anyena hi kRtaH sAkzI K_360a
   anye punar anirdiṣṭāḥ K_356a	anye punar anirdizwAH K_356a
   anyeṣāṃ lagnakopetaṃ K_628c	anyezAm lagnaka-upetam K_628c
   anyeṣu cātipāpeṣu K_093c	anyezu ca-ati-pApezu K_093c
   anyonyāpahṛtaṃ dravyaṃ K_886a	anyonya-apahRtam dravyam K_886a
   anyo brūyāt tu daivikīm K_218b	anyaH brUyAt tu dEvikIm K_218b
   anvādheyaṃ tad uktaṃ tu K_899c	anvADeyam tat uktam tu K_899c
   anvādheyaṃ tu tad bhṛguḥ K_900d	anvADeyam tu tat BRguH K_900d
   apacārakriyyayuktā K_928e	apacAra-kriyya-yuktA K_928e
   aparādhasya yatnataḥ K_102b	aparADasya yatnatas K_102b
   aparādhasya yatnataḥ K_490b	aparADasya yatnatas K_490b
   aparādhe pravartate K_804d	aparADe pravartate K_804d
   aparādho yadā bhavet K_959b	aparADaH yadA Bavet K_959b
   apāsya śrotriyadravyaṃ K_931c	apAsya Srotriya-dravyam K_931c
   api cālpam ataḥ param K_685d	api ca-alpam atas param K_685d
   apitryaṃ draviṇaṃ prāptaṃ K_865c	apitryam draviNam prAptam K_865c
   aputrasyātha kulajā K_927a	aputrasya-aTa kula-jA K_927a
   aputrāpi divaṃ vrajet K_925d	aputrA-api divam vrajet K_925d
   aputrā śayanaṃ bhartuḥ K_921a	aputrA Sayanam BartuH K_921a
   apṛṣṭaḥ sarvavacane K_402a	apRzwaH sarva-vacane K_402a
   apṛṣṭair arthinā sadā K_368b	apRzwEH arTinA sadA K_368b
   apekṣaṃ bhojanaṃ smṛtam K_113b	apekzam Bojanam smRtam K_113b
   aprajāyām atātāyāṃ K_919c	aprajAyAm atAtAyAm K_919c
   aprapannāpi sā dāpyā K_547c	aprapannA-api sA dApyA K_547c
   aprasiddhaṃ tad uttaram K_176d	aprasidDam tat uttaram K_176d
   aprasiddhaṃ nirābādhaṃ K_140a	aprasidDam nirAbADam K_140a
   aprasiddhaṃ viruddhaṃ yad K_173a	aprasidDam virudDam yat K_173a
   aprāptavyavahāraś cet K_553a	aprApta-vyavahAraH ced K_553a
   aprāptavyavahārāṇāṃ ca K_845:1a	aprApta-vyavahArANAm ca K_845:1a
   aprāpte na tu dāpyate K_606d	aprApte na tu dApyate K_606d
   aprāpte 'rthakriyākāle K_684a	aprApte arTa-kriyA-kAle K_684a
   aprāpte vai sa kāle tu K_609c	aprApte vE sa kAle tu K_609c
   apriyasya ca yo vaktā K_955c	apriyasya ca yaH vaktA K_955c
   aprvṛttaṃ kṛtaṃ yatra K_051a	aprvRttam kRtam yatra K_051a
   apsu praveśane yasya K_444c	apsu praveSane yasya K_444c
   abādhatyāgamātreṇa K_161c	abADa-tyAga-mAtreNa K_161c
   abruvan daṇḍam arhati K_398d	abruvan daNxam arhati K_398d
   abhakṣyabhakṣaṇe caiva K_094c	aBakzya-BakzaNe ca-eva K_094c
   abhāvayan dhanam dāpyaḥ K_384a	aBAvayan Danam dApyaH K_384a
   abhāve tad apatyānāṃ K_920c	aBAve tat apatyAnAm K_920c
   abhāve 'pi vivādayet K_390b	aBAve api vivAdayet K_390b
   abhāve bhrtṛgāmi tat K_918d	aBAve BrtR-gAmi tat K_918d
   abhāve 'rthaharā jñeyā K_932c	aBAve arTa-harA jQeyA K_932c
   abhāve hi pituḥ sutāḥ K_885d	aBAve hi pituH sutAH K_885d
   abhijñaiḥ pāpabhīrubhiḥ K_705b	aBijQEH pApa-BIruBiH K_705b
   abhidhāya gate diśam K_578d	aBiDAya gate diSam K_578d
   abhiyuktaś ca ruddhaś ca K_111a	aBiyuktaH ca rudDaH ca K_111a
   abhiyuktas tu kālabhāk K_134d	aBiyuktaH tu kAla-BAj K_134d
   abhiyuktas tv anantaram K_121b	aBiyuktaH tu anantaram K_121b
   abhiyuktaṃ tu yatnena K_456c	aBiyuktam tu yatnena K_456c
   abhiyuktaṃ vidur budhāḥ K_111d	aBiyuktam viduH buDAH K_111d
   abhiyuktāya dātavyaṃ K_244c	aBiyuktAya dAtavyam K_244c
   abhiyuktāya dātavyaṃ K_411c	aBiyuktAya dAtavyam K_411c
   abhiyukto bṛhaspatiḥ K_474d	aBiyuktaH bRhaspatiH K_474d
   abhiyukto 'bhiyoktāram K_163a	aBiyuktaH aBiyoktAram K_163a
   abhiyukto 'bhiyogasya K_167a	aBiyuktaH aBiyogasya K_167a
   abhiyujya paraṃ vadet K_196b	aBiyujya param vadet K_196b
   abhiyuñjīta karhicit K_163b	aBiyuQjIta karhicit K_163b
   abhiyoktā dhanaṃ kuryāt K_613a	aBiyoktA Danam kuryAt K_613a
   abhiyoktṛabhiyuktānāṃ K_260c	aBiyoktR-aBiyuktAnAm K_260c
   abhivandya ca gurvādīn K_054c	aBivandya ca guru-AdIn K_054c
   abhiśāpe samāgate K_256b	aBiSApe samAgate K_256b
   abhiśāpe samuttīrṇe K_255a	aBiSApe samuttIrNe K_255a
   abhīkṣṇaṃ codyamāno 'pi K_235a	aBIkzNam codyamAnaH api K_235a
   abhūtair vātha bhūtair vā K_770c	aBUtEH vA-aTa BUtEH vA K_770c
   abhogabhuktiḥ sīmā ca K_732c	aBoga-BuktiH sImA ca K_732c
   abhyantaras tu nikṣepe K_353a	aByantaraH tu nikzepe K_353a
   amatenaiva putrasya K_571a	amatena-eva putrasya K_571a
   amātyaṃ kāryacintakam K_011b	amAtyam kArya-cintakam K_011b
   amedhyaṃ śodhayitvā tu K_758c	ameDyam SoDayitvA tu K_758c
   ayacchantaṃ ca dāpayet K_192b	ayat-Cantam ca dApayet K_192b
   ayathoktaprayuktaṃ tu K_439c	ayaTA-ukta-prayuktam tu K_439c
   ayaḥsandānaguptās tu K_825a	ayaH-sandAna-guptAH tu K_825a
   ayuktaṃ caiva yo brūte K_671c	ayuktam ca-eva yaH brUte K_671c
   ayuktaṃ tatra yo brūyāt K_206e	ayuktam tatra yaH brUyAt K_206e
   ayukte kāraṇe yasmāt K_572c	ayukte kAraNe yasmAt K_572c
   aratnidvayam utsṛjya K_754c	aratni-dvayam utsRjya K_754c
   arājadaivikenāpi K_598a	arAja-dEvikena-api K_598a
   arthakālabalāpekṣair K_237c	arTa-kAla-bala-apekzEH K_237c
   arthataḥ śabdato vāpi K_166c	arTataH SabdataH vA-api K_166c
   arthaśāstraviśāradaiḥ K_057d	arTaSAstra-viSAradEH K_057d
   arthaśāstroktam utsṛjya K_020a	arTaSAstra-uktam utsRjya K_020a
   arthasyopari vaktavyaṃ K_389a	arTasya-upari vaktavyam K_389a
   arthārthī cānyaviṣaye K_331c	arTa-arTI ca-anya-vizaye K_331c
   arthinā prahitaś ca yaḥ K_357b	arTinA prahitaH ca yaH K_357b
   arthinā prahitaḥ sākṣī K_353c	arTinA prahitaH sAkzI K_353c
   arthinābhyarthito yas tu K_336a	arTinA-aByarTitaH yaH tu K_336a
   arthinā saṃniyukto vā K_091a	arTinA saMniyuktaH vA K_091a
   arthinā svayam ānīto K_371a	arTinA svayam AnItaH K_371a
   arthinā svārthasiddyarthaṃ K_374a	arTinA sva-arTa-siddI-arTam K_374a
   arthipratyarthinor api K_135d	arTi-pratyarTinoH api K_135d
   arthipratyarthivākyāni K_259a	arTi-pratyarTi-vAkyAni K_259a
   arthipratyarthisaṃnidhau K_342b	arTi-pratyarTi-saMniDO K_342b
   arthipratyarthisāṃnidhyād K_346a	arTi-pratyarTi-sAMniDyAt K_346a
   arthipratyarthisāṃnidhye K_388a	arTi-pratyarTi-sAMniDye K_388a
   arthī tṛtīyapāde tu K_215c	arTI tRtIya-pAde tu K_215c
   arthī yatra vipannaḥ syāt K_377a	arTI yatra vipannaH syAt K_377a
   arthe 'sminn iti bhāṣitum K_178b	arTe asmin iti BAzitum K_178b
   ardhaṃ dvayor apahṛtaṃ K_622c	arDam dvayoH apahRtam K_622c
   ardhādhike krayaḥ sidhyed K_711a	arDa-aDike krayaH siDyet K_711a
   arhanti na kadācana K_383b	arhanti na kadAcana K_383b
   alubdhaṃ satyavādinam K_024d	alubDam satya-vAdinam K_024d
   alubdhā dhanavantaś ca K_071a	alubDAH DanavantaH ca K_071a
   alekhyasākṣike daivīṃ K_224c	aleKya-sAkzike dEvIm K_224c
   alpaṃ vā bahu vā kālaṃ K_147c	alpam vA bahu vA kAlam K_147c
   avakrayas tribhāgena K_711c	avakrayaH tri-BAgena K_711c
   avaśenaiva daivāt tu K_959c	avaSena-eva dEvAt tu K_959c
   avaṣṭambhābhiyuktasya K_454a	avazwamBa-aBiyuktasya K_454a
   avijñātakrayo doṣas K_623a	avijQAta-krayaH dozaH K_623a
   avijñātaṃ tu yat krītaṃ K_688a	avijQAtam tu yat krItam K_688a
   avijñātāśrayāt krītaṃ K_621c	avijQAta-ASrayAt krItam K_621c
   avijñātopalabdhyarthaṃ K_644a	avijQAta-upalabDi-arTam K_644a
   avidvān yājako vā syāt K_828a	avidvAn yAjakaH vA syAt K_828a
   avibhakte dhanāṃśe tu K_922c	aviBakte Dana-aMSe tu K_922c
   avibhakte 'nuje prete K_855a	aviBakte anuje prete K_855a
   avibhajya pṛthagbhūtaiḥ K_624c	aviBajya pRTak-BUtEH K_624c
   avibhājyaṃ ca bandhubhiḥ K_881d	aviBAjyam ca banDuBiH K_881d
   avirodhena dharmasya K_669a	aviroDena Darmasya K_669a
   aviluptākṣarakramam K_252b	avilupta-akzara-kramam K_252b
   avīcivāsino ye tu K_009c	avIci-vAsinaH ye tu K_009c
   avekṣya bījaṃ kāryā syān K_723c	avekzya bIjam kAryA syAt K_723c
   avelāsthānasaṃsthitiḥ K_829b	avelA-sTAna-saMsTitiH K_829b
   avyāpakaṃ vyastapadaṃ K_174a	avyApakam vyasta-padam K_174a
   avyāpyasāraṃ saṃdigdhaṃ K_187c	avyApi-asAram saMdigDam K_187c
   avyāhatā tripuruṣī K_315c	avyAhatA tripuruzI K_315c
   avrataṃ ṣaṭtriṃśadābdikam K_331b	avratam zawtriMSat-Abdikam K_331b
   aśaktapretanaṣṭeṣu K_765a	aSakta-preta-nazwezu K_765a
   aśaktito na dadyāc cet K_764a	aSaktitaH na dadyAt ced K_764a
   aśaktau bandhanāgāraṃ K_479c	aSaktO banDana-AgAram K_479c
   aśakya āgamo yatra K_352a	aSakyaH AgamaH yatra K_352a
   aśāsanāt tu pāpānāṃ K_961c	aSAsanAt tu pApAnAm K_961c
   aśāstravihitaṃ yac ca K_952a	aSAstra-vihitam yat ca K_952a
   aśirāṃsi ca divyāni K_414c	aSirAMsi ca divyAni K_414c
   aśītes tu vināśe vai K_418c	aSIteH tu vinASe vE K_418c
   aśuddho daṇḍabhāg bhavet K_459b	aSudDaH daNxa-BAj Bavet K_459b
   aśubhaṃ karma kārayet K_590b	aSuBam karma kArayet K_590b
   aśnuvīta sa tatphalam K_765d	aSnuvIta sa tad-Palam K_765d
   aślīlaṃ nyaṅgasaṃjñitam K_769d	aSlIlam nyaFga-saMjQitam K_769d
   aślīlā sā budhaiḥ smṛtā K_771d	aSlIlA sA buDEH smRtA K_771d
   aṣṭādaśa kriyābhedād K_029c	azwAdaSa kriyA-BedAt K_029c
   asat sad iti yaḥ pakṣaḥ K_495a	asat sat iti yaH pakzaH K_495a
   asatsad iva dṛśyate K_308b	asat-sat iva dRSyate K_308b
   asamāhāryamūlas tu K_618a	asamAhArya-mUlaH tu K_618a
   asavarṇaprasūtaś ca K_863c	asavarNa-prasUtaH ca K_863c
   asaṃdigdhaṃ sphuṭākṣaram K_253b	asaMdigDam sPuwa-akzaram K_253b
   asaṃdigdhaṃ sphuṭākṣaram K_267b	asaMdigDam sPuwa-akzaram K_267b
   asaṃdigdhe pratiśrute K_104b	asaMdigDe pratiSrute K_104b
   asaṃmohārtham āryāṇāṃ K_935c	asaMmoha-arTam AryANAm K_935c
   asākṣimatsākṣimac ca K_249c	asAkzimat-sAkzimat ca K_249c
   asādhujananaṃ krūraṃ K_933c	asADu-jananam krUram K_933c
   asādhyaṃ vā viruddhaṃ vā K_140c	asADyam vA virudDam vA K_140c
   asāram iti tattvena K_186c	asAram iti tattvena K_186c
   asārāṇi bahūny api K_222b	asArANi bahUni api K_222b
   astināstitvam eva ca K_732b	astina-astitvam eva ca K_732b
   aspṛśyadhūrtadāsānāṃ K_783a	aspRSya-DUrta-dAsAnAm K_783a
   aspṛśyādhamadāsānāṃ K_433a	aspRSya-aDama-dAsAnAm K_433a
   asmārte 'nugamābhāvāt K_321c	asmArte anugama-aBAvAt K_321c
   asmai dattaṃ mayā sārdhaṃ K_182a	asmE dattam mayA sArDam K_182a
   asvatantrakṛtaṃ kāryaṃ K_465a	asvatantra-kRtam kAryam K_465a
   asvatantrakṛtāḥ siddhiṃ K_467c	asvatantra-kRtAH sidDim K_467c
   asvatantreṇa mugdhena K_692c	asvatantreNa mugDena K_692c
   asvargyā lokanāśāya K_044a	asvargyAH loka-nASAya K_044a
   asvasthamattonmattārta- K_096c	asvasTa-matta-unmatta-Arta K_096c
   asvāmivikrayaṃ dānam K_612a	asvAmi-vikrayam dAnam K_612a
   asvāmyanumatenaiva K_762a	asvAmi-anumatena-eva K_762a
   ahīnakramacihnaṃ ca K_253c	ahIna-krama-cihnam ca K_253c
   ahīnakramacihnaṃ ca K_267c	ahIna-krama-cihnam ca K_267c
   ākārakasya sarvatra K_113c	AkArakasya sarvatra K_113c
   ākāro 'ṅgitaceṣṭābhis K_385a	AkAraH aFgita-cezwABiH K_385a
   ākāśabhūtam ādadhyād K_520c	AkASa-BUtam AdaDyAt K_520c
   ākṛṣyo 'sau nṛpājñayā K_028d	AkRzyaH asO nRpa-AjQayA K_028d
   ākṛṣyo 'sau nṛpājñayā K_103d	AkRzyaH asO nRpa-AjQayA K_103d
   ākṣepo niṣṭhuraṃ jñeyam K_769c	AkzepaH nizWuram jQeyam K_769c
   ācaturdaśakād ahno K_463a	AcaturdaSakAt ahnaH K_463a
   ācāradravyadāneṣṭa- K_160a	AcAra-dravya-dAna-izwa K_160a
   ācāreṇāvasanno 'pi K_171a	AcAreNa-avasannaH api K_171a
   ācāryaś ceti śilpinaḥ K_632b	AcAryaH ca-iti SilpinaH K_632b
   ācāryasya pitur mātur K_481a	AcAryasya pituH mAtuH K_481a
   ācāryasyaiva tat phalam K_714d	AcAryasya-eva tat Palam K_714d
   ācāryo latayā vinā K_794b	AcAryaH latayA vinA K_794b
   ācchedo yatra yoṣitaḥ K_909b	AcCedaH yatra yozitaH K_909b
   ājñayāpi krayaś cāpi K_701c	AjQayA-api krayaH ca-api K_701c
   ājñāsedhavyatikramaḥ K_949b	AjQA-seDa-vyatikramaH K_949b
   āḍhyasya nikaṭasthasya K_291a	AXyasya nikawa-sTasya K_291a
   ātatāyini cotkṛṣṭe K_801a	AtatAyini ca-utkRzwe K_801a
   ātmanaiva tu yojayet K_638d	AtmanA-eva tu yojayet K_638d
   ātmaśuddhividhāne ca K_412c	Atma-SudDi-viDAne ca K_412c
   ātmārthaṃ viniyuktaṃ vā K_674c	Atma-arTam viniyuktam vA K_674c
   ātmīyaṃ cātmanā kṛtam K_849b	AtmIyam ca-AtmanA kRtam K_849b
   ātmīye saṃsthitā dharme K_009a	AtmIye saMsTitAH Darme K_009a
   ātharvaṇena hantā ca K_802c	ATarvaNena hantA ca K_802c
   ādadīta sa pāpabhāk K_019d	AdadIta sa pApa-BAj K_019d
   ādadītārtham evaṃ tu K_586a	AdadIta-arTam evam tu K_586a
   ādadyād brāhmaṇīṃ yas tu K_726a	AdadyAt brAhmaNIm yaH tu K_726a
   ādadhyāt tat kathaṃ na syāc K_521c	AdaDyAt tat kaTam na syAt K_521c
   ādāne vā visarge vā K_911c	AdAne vA visarge vA K_911c
