   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   asaṃpāṭhyā avivāhinaḥ YSS_1.18b	asaMpAWyAH avivAhinaH YSH-_1.18b
   asaṃbhojyā apratigrāhyā YSS_1.18a	asaMBojyAH apratigrAhyAH YSH-_1.18a
   āgomaithunam āsevyaḥ YSS_1.27c	AgomETunam AsevyaH YSH-_1.27c
   ācāryasya pitur bhrātuḥ YSS_2.34a	AcAryasya pituH BrAtuH YSH-_2.34a
   ādāya gacchaty aviśiṣṭabuddhiḥ YSS_1.47b	AdAya gacCati aviSizwa-budDiH YSH-_1.47b
   āraṇyakā ye yadi daṃṣṭriṇas tu YSS_1.54a	AraNyakAH ye yadi daMzwriNaH tu YSH-_1.54a
   ārūḍhapatitāj jāto YSS_1.36a	ArUXa-patitAt jAtaH YSH-_1.36a
   āśramasthaṃ sukhāsīnaṃ YSS_1.1a	ASrama-sTam suKa-AsInam YSH-_1.1a
   āsane tu samāsīna YSS_2.35a	Asane tu samAsIna YSH-_2.35a
   āsye ca maithunaṃ kṛtvā YSS_1.32Ac	Asye ca mETunam kRtvA YSH-_1.32Ac
   iti saṃcintya daṇḍayet YSS_2.74d	iti saMcintya daNxayet YSH-_2.74d
   ihaloke paratra ca YSS_1.16d	ihaloke paratra ca YSH-_1.16d
   īkṣitaṃ bhuktamiśritaṃ YSS_2.68b	Ikzitam Bukta-miSritam YSH-_2.68b
   ucchiṣṭasalilasrāvaṃ YSS_2.42a	ucCizwa-salila-srAvam YSH-_2.42a
   uttame 'sminn avasthite YSS_2.35b	uttame asmin avasTite YSH-_2.35b
   utsṛṣṭāgnis tu yo vipras YSS_2.8a	utsRzwA-agniH tu yaH vipraH YSH-_2.8a
   unmānañ ca tathāmānaṃ YSS_2.36a	unmAnan ca taTAmAnam YSH-_2.36a
   upapātakayukto yo YSS_2.4a	upapAtaka-yuktaH yaH YSH-_2.4a
   upapātakinas tathā YSS_1.2b	upapAtakinaH taTA YSH-_1.2b
   upasthānārcano sūryaṃ YSS_2.8c	upasTAna-arcanaH sUryam YSH-_2.8c
   upāyaiś śuddhim āyāti YSS_2.71c	upAyEH SudDim AyAti YSH-_2.71c
   upekṣako yo rājā tu YSS_2.72a	upekzakaH yaH rAjA tu YSH-_2.72a
   ubhayāvāsinaḥ pāpā YSS_1.9a	uBayA-vAsinaH pApAH YSH-_1.9a
   ekaike tu kṛte pāpe YSS_1.12a	ekEke tu kRte pApe YSH-_1.12a
   eko hato yo bahubhiḥ sametaiḥ YSS_1.55a	ekaH hataH yaH bahuBiH sametEH YSH-_1.55a
   evam eva dviguṇitā YSS_2.60c	evam eva dvi-guNitA YSH-_2.60c
   evaṃ dviguṇatāṃ dadyāt YSS_2.53a	evam dviguNa-tAm dadyAt YSH-_2.53a
   evaṃ pañca viśād rājā YSS_2.75a	evam paQca viSAt rAjA YSH-_2.75a
   eṣāṃ bhuktvā ca pītvā ca YSS_1.32Aa	ezAm BuktvA ca pItvA ca YSH-_1.32Aa
   eṣāṃ bhuktvā striyo gatvā YSS_1.23Aa	ezAm BuktvA striyaH gatvA YSH-_1.23Aa
   eṣāṃ bhuktvā striyo gatvā YSS_1.33a	ezAm BuktvA striyaH gatvA YSH-_1.33a
   aindavābhyāṃ viśudhyanti YSS_1.9c	EndavAByAm viSuDyanti YSH-_1.9c
   kaṇṭakānāṃ tu kathitaṃ YSS_2.76a	kaNwakAnAm tu kaTitam YSH-_2.76a
   kaṇṭakānāṃ tu sarveṣāṃ YSS_2.73a	kaNwakAnAm tu sarvezAm YSH-_2.73a
   kaṇṭakānāṃ samuddharet YSS_2.75b	kaNwakAnAm samudDaret YSH-_2.75b
   kapālagrahaṇaṃ smṛtam YSS_1.13b	kapAla-grahaNam smRtam YSH-_1.13b
   kapālaṃ tuṣam eva ca YSS_2.41b	kapAlam tuzam eva ca YSH-_2.41b
   kartā kārayitā svāṅgair YSS_2.55c	kartA kArayitA sva-aFgEH YSH-_2.55c
   kartānumantā 'py upadeśadātā YSS_1.42a	kartA-anumantA api upadeSa-dAtA YSH-_1.42a
   kartā yadi vipadyate YSS_1.16b	kartA yadi vipadyate YSH-_1.16b
   karmaprayogena tathā yudhena YSS_1.49b	karma-prayogena taTA yuDena YSH-_1.49b
   kāpālikānnabhoktṝṇāṃ YSS_1.14a	kApAlika-anna-BoktLNAm YSH-_1.14a
   kālād āyakasāhasī YSS_2.74b	kAlAt Ayaka-sAhasI YSH-_2.74b
   kāle kāle tv anāturaḥ YSS_2.33d	kAle kAle tu anAturaH YSH-_2.33d
   kuṇḍagolakam eva ca YSS_1.22d	kuNxa-golakam eva ca YSH-_1.22d
   kuṇḍāḥ te golakāḥ smṛtāḥ YSS_1.37Ad	kuNxAH te golakAH smRtAH YSS_1.37Ad
   kuṇḍo jīvati bhartari YSS_1.37b	kuNxaH jIvati Bartari YSH-_1.37b
   kurvāṇo vapanaṃ yadi YSS_2.54d	kurvANaH vapanam yadi YSH-_2.54d
   kulācārasmṛto yeṣāṃ YSS_1.34a	kula-AcAra-smRtaH yezAm YSH-_1.34a
   kulādayo vivādasya YSS_2.77a	kula-AdayaH vivAdasya YSH-_2.77a
   kṛcchraṃ cāpi caren nityaṃ YSS_1.24c	kRcCram ca-api caret nityam YSH-_1.24c
   kṛcchraṃ sāṃtapanaṃ kuryād YSS_1.22a	kRcCram sAMtapanam kuryAt YSH-_1.22a
   kṛcchraṃ sāṃtapanaṃ caret YSS_1.10d	kRcCram sAMtapanam caret YSH-_1.10d
   kṛcchrābdam abdakṛcchraṃ vā YSS_1.23Ac	kRcCra-abdam abda-kRcCram vA YSS_1.23Ac
   kṛcchrābdaṃ samprakurvīta YSS_1.11c	kRcCra-abdam samprakurvIta YSH-_1.11c
   kṛtvopaskaram eva ca YSS_2.22b	kRtvA-upaskaram eva ca YSH-_2.22b
   kṛmibhir vraṇasaṃbhūtair YSS_1.11a	kRmiBiH vraNa-saMBUtEH YSH-_1.11a
   kecid vadanty evam idaṃ pramānam YSS_1.56b	kecid vadanti evam idam pramAnam YSH-_1.56b
   kaivartaś caiva śailūṣo YSS_1.32c	kEvartaH ca-eva SElUzaH YSH-_1.32c
   koṇe 'py adhigatā śāstrair YSS_2.77c	koNe api aDigatA SAstrEH YSH-_2.77c
   kramam apy aṣṭakādeśāt YSS_2.51a	kramam api azwakA-deSAt YSH-_2.51a
   kramaśaś coditaṃ śṛṇu YSS_2.1d	kramaSas coditam SRNu YSH-_2.1d
   kṣīraṃ kṣīravikārañ ca YSS_2.44a	kzIram kzIra-vikAran ca YSH-_2.44a
   kṣetraṃ tathā dhānyadhanaṃ śarīram YSS_1.41c	kzetram taTA DAnya-Danam SarIram YSH-_1.41c
   kharāśvasūkarādīnaṃ YSS_2.53c	Kara-aSva-sUkara-AdInam YSH-_2.53c
   khalu miśritya vā punaḥ YSS_2.39b	Kalu miSritya vA punar YSH-_2.39b
   gacchatāprasthitena tu YSS_2.35d	gacCatA-prasTitena tu YSH-_2.35d
   gacchaṃs tathājayonau tu YSS_2.59a	gacCan taTA-ajayonO tu YSH-_2.59a
   gatopagamanād eva YSS_2.62c	gata-upagamanAt eva YSH-_2.62c
   gatvā tu praviśed agniṃ YSS_1.29c	gatvA tu praviSet agnim YSH-_1.29c
   gatvaitāṃś ca sagotrāṃ ca YSS_1.31c	gatvA-etAn ca sagotrAm ca YSH-_1.31c
   gamanād eva śūdrāyāṃ tv YSS_2.63a	gamanAt eva SUdrAyAm tu YSH-_2.63a
   gāvo mriyante yadi tā adagdhāḥ YSS_1.54b	gAvaH mriyante yadi tAH adagDAH YSH-_1.54b
   gṛhī yaḥ parimuñcati YSS_2.42b	gRhI yaH parimuQcati YSH-_2.42b
   gṛhṇāno vṛṣalālayāt YSS_2.51b	gRhNAnaH vRzala-AlayAt YSH-_2.51b
   gṛhyārtham api vā dvijaḥ YSS_2.64b	gRhya-arTam api vA dvijaH YSH-_2.64b
   godholūkāṃś ca vāyasān YSS_2.5b	goDA-ulUkAn ca vAyasAn YSH-_2.5b
   gobrāhmaṇahataṃ dagdhvā YSS_1.10a	go-brAhmaNa-hatam dagDvA YSH-_1.10a
   gomāṃsabhakṣaṇe 'pi vā YSS_1.15b	go-mAMsa-BakzaNe api vA YSH-_1.15b
   gomūtrayāvakāhāro YSS_1.6c	go-mUtra-yAvaka-AhAraH YSH-_1.6c
   goṣu maithunakāriṇaḥ YSS_1.28b	gozu mETuna-kAriNaH YSH-_1.28b
   grahapradāneṣu niruddhabaddhāḥ YSS_1.51c	graha-pradAnezu nirudDa-badDAH YSH-_1.51c
   grāmād bahiḥ prakurvīta YSS_2.26c	grAmAt bahis prakurvIta YSH-_2.26c
   grāme vā vṛṣaḷīpatiṃ YSS_2.72b	grAme vA vRza?I-patim YSH-_2.72b
   caṇḍāḷotsṛṣṭam utsṛjet YSS_2.22d	caNxA?a-utsRzwam utsRjet YSH-_2.22d
   caṇḍālamuṣṭikāś caiva YSS_1.32 Ba	caNxAla-muzwikAH ca-eva YSH-_1.32 Ba
   caṇḍālādyāsu nārīṣu YSS_1.28a	caNxAla-AdyAsu nArIzu YSH-_1.28a
   caṇḍālānnaṃ kathañcana YSS_1.6b	caNxAla-annam kaTaQcana YSH-_1.6b
   caṇḍālau tāv ubhau jñeyau YSS_1.36c	caNxAlO tO uBO jQeyO YSH-_1.36c
   caturṇām api varṇānāṃ YSS_1.35a	caturNAm api varNAnAm YSH-_1.35a
   caturvarṣādhikasya ca YSS_1.20b	catur-varza-aDikasya ca YSH-_1.20b
   caturvidhā kriyā proktā YSS_2.76c	caturviDA kriyA proktA YSH-_2.76c
   catvāro 'py aviśeṣataḥ YSS_1.25b	catvAraH api aviSezatas YSH-_1.25b
   carec cāndrāyaṇavratam YSS_1.23b	caret cAndrAyaNa-vratam YSH-_1.23b
   cāndrāyaṇādīni hi pāvanāni YSS_1.57a	cAndrAyaNa-AdIni hi pAvanAni YSH-_1.57a
   cāndrāyaṇena śudhyanti YSS_1.8c	cAndrAyaNena SuDyanti YSH-_1.8c
   cāṣamaṇḍūkamārjāra- YSS_2.5a	cAza-maNxUka-mArjAra YSH-_2.5a
   cuṃbayan guhyam eva vā YSS_2.57d	cuMbayan guhyam eva vA YSH-_2.57d
   chardiś ca na bhavet pathi YSS_2.16b	CardiH ca na Bavet paTi YSH-_2.16b
   chidradātā vilaṃbhane YSS_2.29b	Cidra-dAtA vilaMBane YSH-_2.29b
   chidrapradātā stenānāṃ YSS_2.30a	Cidra-pradAtA stenAnAm YSH-_2.30a
   chettā tarūṇāṃ ghaṭasevitānāṃ YSS_1.40b	CettA tarUNAm Gawa-sevitAnAm YSH-_1.40b
   janakañ janakādhyakṣo YSS_2.46a	janakan janaka-aDyakzaH YSH-_2.46a
   janakaṃ śuḷbasaṃspṛṣṭaṃ YSS_2.70a	janakam Su?ba-saMspRzwam YSH-_2.70a
   japtvāghamarṣaṇaṃ pakṣaṃ YSS_1.28c	japtvA-aGamarzaNam pakzam YSH-_1.28c
   japtvāghamarṣaṇaṃ sūktaṃ YSS_1.26c	japtvA-aGamarzaNam sUktam YSH-_1.26c
   jalāgnyudbandhanabhraṣṭāḥ YSS_1.7a	jala-agni-udbanDana-BrazwAH YSH-_1.7a
   jātihīnau tathāiva tau YSS_1.37d	jAti-hInO taTA-iva tO YSH-_1.37d
   jāyate viphalaṃ sarvaṃ YSS_2.28c	jAyate viPalam sarvam YSH-_2.28c
   jārajātaḥ savarṇāyāṃ YSS_1.37a	jAra-jAtaH savarNAyAm YSH-_1.37a
   jīvamāno 'pi vā śastraiḥ YSS_2.9c	jIvamAnaH api vA SastrEH YSH-_2.9c
   jñātvā liṅgaiḥ pravāsayet YSS_2.31d	jQAtvA liFgEH pravAsayet YSH-_2.31d
   jñānapradīpena tamo 'ndhakāre YSS_1.57d	jQAna-pradIpena tamaH anDakAre YSH-_1.57d
   jñānāt kṛcchrābdam uddiṣṭam YSS_1.14c	jQAnAt kRcCra-abdam uddizwam YSH-_1.14c
   jñānāt kṛcchrābdam uddiṣṭam YSS_1.33c	jQAnAt kRcCra-abdam uddizwam YSH-_1.33c
   jñeyas sahāyas tu sukhāsukheṣu YSS_1.49d	jQeyaH sahAyaH tu suKa-asuKezu YSH-_1.49d
   tat kāpālikam asyāgraṃ YSS_1.13c	tat kApAlikam asya-agram YSH-_1.13c
   tatra vratam akurvāṇaṃ YSS_2.3c	tatra vratam akurvANam YSH-_2.3c
   tatrāpi doṣañ ca paśupramāṇaṃ YSS_1.53c	tatra-api dozan ca paSu-pramANam YSH-_1.53c
   tatrāpi doṣaṃ na vadanti tajjñāḥ YSS_1.47c	tatra-api dozam na vadanti tad-jQAH YSH-_1.47c
   tatraiva śuddhaś ca tathaiva daṇḍyaḥ YSS_1.47d	tatra-eva SudDaH ca taTA-eva daNxyaH YSH-_1.47d
   tatsvāminaḥ prāṇidhanair vimucyaḥ YSS_1.52b	tad-svAminaH prANi-DanEH vimucyaH YSH-_1.52b
   tathā dāpyaś caturguṇaṃ YSS_2.38d	taTA dApyaH caturguNam YSH-_2.38d
   tathā dāpyo bhavec chataṃ YSS_2.58d	taTA dApyaH Bavet Satam YSH-_2.58d
   tathā purīṣam uddiṣṭaṃ YSS_2.16a	taTA purIzam uddizwam YSH-_2.16a
   tathā bhoktā ca māsikaṃ YSS_2.50d	taTA BoktA ca mAsikam YSH-_2.50d
   tathā bhojayitā svaṃ vā YSS_2.56c	taTA BojayitA svam vA YSH-_2.56c
   tathā vai śūnyavaktāraṃ YSS_2.31c	taTA vE SUnya-vaktAram YSH-_2.31c
   tathā śyenaṃś ca kukkuṭaṃ YSS_2.6b	taTA Syenan ca kukkuwam YSH-_2.6b
   tathā saṃkīrṇayonijāḥ YSS_1.32 Bb	taTA saMkIrNa-yoni-jAH YSH-_1.32 Bb
   tathaiva pratigṛhya ca YSS_1.23Ab	taTA-eva pratigRhya ca YSH-_1.23a-ab
   tathaiva pratigṛhya ca YSS_1.33b	taTA-eva pratigRhya ca YSH-_1.33b
   tathaiva vanabarhiṇaṃ YSS_2.6d	taTA-eva vana-barhiNam YSH-_2.6d
   tathaivaṃ vaiśyayoṣitā YSS_2.71b	taTA-evam vESya-yozitA YSH-_2.71b
   tad arpite bhoktari nānuśeyaṃ YSS_1.43c	tat arpite Boktari na-anuSeyam YSH-_1.43c
   tannārīgāmināṃ tathā YSS_1.14b	tad-nArI-gAminAm taTA YSH-_1.14b
   tan no brūhi mahāmune YSS_1.2d	tat naH brUhi mahA-mune YSH-_1.2d
   tanmālābaddhaśekharaṃ YSS_2.25b	tad-mAlA-badDa-SeKaram YSH-_2.25b
   taptakṛcchradvayena vā YSS_1.8d	taptakRcCra-dvayena vA YSH-_1.8d
   taptakṛcchraparikliṣṭo YSS_1.15c	taptakRcCra-pariklizwaH YSH-_1.15c
   taptakṛcchraṃ samācaret YSS_1.32Ad	taptakRcCram samAcaret YSH-_1.32Ad
   tarkapramāṇaiḥ pratitarkayitvā YSS_1.56a	tarka-pramANEH pratitarkayitvA YSH-_1.56a
   tasmāc chūdras tu yajñārthaṃ YSS_2.64a	tasmAt SUdraH tu yajQa-arTam YSH-_2.64a
   tasmāt sāhasino rājā YSS_2.73c	tasmAt sAhasinaH rAjA YSH-_2.73c
   tasmād avaśyaṃ śrāddheṣu YSS_2.67a	tasmAt avaSyam SrAdDezu YSH-_2.67a
   tasmin damo na prayojyo YSS_2.2c	tasmin damaH na prayojyaH YSH-_2.2c
   tasya hṛtvā tu sarvasvaṃ YSS_2.30c	tasya hRtvA tu sarva-svam YSH-_2.30c
   tasyāṃ tu śuklasektāraṃ YSS_2.27a	tasyAm tu Sukla-sektAram YSH-_2.27a
   taṃ ghātayet mudgarapātaghātaiḥ YSS_1.41d	tam GAtayet mudgara-pAta-GAtEH YSH-_1.41d
   taṃ dāpayitvā dhanine nṛpeṇa YSS_1.52a	tam dApayitvA Danine nRpeNa YSH-_1.52a
   tulyadoṣe vidaṇḍanam YSS_2.3b	tulya-doze vidaNxanam YSH-_2.3b
   tulyair atulyair vā dravyaiḥ YSS_2.40a	tulyEH atulyEH vA dravyEH YSH-_2.40a
   te 'kulācārikāḥ smṛtāḥ YSS_1.34d	te akula-AcArikAH smRtAH YSH-_1.34d
   tena nityaṃ samācaret YSS_2.40d	tena nityam samAcaret YSH-_2.40d
   te śastravaddhyā na vihīnadaṇḍyāḥ YSS_1.40d	te Sastra-vat-DyAH na vihIna-daNxyAH YSH-_1.40d
   teṣāṃ daṇḍaṃ vratañ cāpi YSS_2.1c	tezAm daNxam vratan ca-api YSH-_2.1c
   tailaṃ vā miśritaṃ ghṛtaiḥ YSS_2.37d	tElam vA miSritam GRtEH YSH-_2.37d
   tyaktāgniṃ sarvam ādāya YSS_2.24c	tyakta-agnim sarvam AdAya YSH-_2.24c
   tyaktāvāritā vijñeyāḥ YSS_2.18c	tyakta-avAritAH vijQeyAH YSH-_2.18c
   tripaṇaṃ brāhmaṇo bhavet YSS_2.43b	tri-paNam brAhmaNaH Bavet YSH-_2.43b
   triṃśat paṇam avāpnoti YSS_2.6c	triMSat paNam avApnoti YSH-_2.6c
   trīn paṇān dāpyate damaṃ YSS_2.34d	trIn paNAn dApyate damam YSH-_2.34d
   tvacañ ca vikrayaṃ kurvan YSS_2.45c	tvacan ca vikrayam kurvan YSH-_2.45c
   tv anṛtaṃ kurvate tamaḥ YSS_2.19d	tu anRtam kurvate tamaH YSH-_2.19d
   tv asnāto 'mantrato 'pi vā YSS_2.8b	tu asnAtaH amantrataH api vA YSH-_2.8b
   daṇḍaṃ dviguṇam āvahet YSS_2.17d	daNxam dviguNam Avahet YSH-_2.17d
   daṇḍitvā sākṣiṇaṃ nṛpaḥ YSS_2.32b	daNxitvA sAkziNam nRpaH YSH-_2.32b
   dattvā dhenuṃ tathā vṛṣaṃ YSS_1.9d	dattvA Denum taTA vRzam YSH-_1.9d
   dadyāc chaktyā ca dakṣiṇām YSS_1.24b	dadyAt SaktyA ca dakziNAm YSH-_1.24b
   dadyāt tasyāpi miśritaṃ YSS_2.39d	dadyAt tasya-api miSritam YSH-_2.39d
   damaś caturguṇaḥ proktas YSS_2.40c	damaH caturguNaH proktaH YSH-_2.40c
   damaṃ paṇam avāpnoti YSS_2.46c	damam paNam avApnoti YSH-_2.46c
   daśarātreṇa śudhyati YSS_1.6d	daSa-rAtreNa SuDyati YSH-_1.6d
   daṣṭaḥ snātvā śuciḥ sadyo YSS_1.5c	dazwaH snAtvA SuciH sadyas YSH-_1.5c
   dāpyaḥ ..... paṇaṃ YSS_2.41d	dApyaH ..... paNam YSH-_2.41d
   dāpyaḥ syāt pūrvasāhasaṃ YSS_2.56d	dApyaH syAt pUrvasAhasam YSH-_2.56d
   dāpyaḥ syāt prathamaṃ damaṃ YSS_2.55d	dApyaH syAt praTamam damam YSH-_2.55d
   dārvasthiśṛṅgapāṣāṇair YSS_2.54a	dAru-asTi-SRFga-pAzANEH YSH-_2.54a
   digvāsaṃ gamayed rājā YSS_2.25c	digvAsam gamayet rAjA YSH-_2.25c
   divā vātārkasaṃspṛṣṭaṃ YSS_1.3a	divA vAta-arka-saMspRzwam YSH-_1.3a
   divyena teṣām upalabhya hantā YSS_1.55c	divyena tezAm upalaBya hantA YSH-_1.55c
   diśaṃ vīkṣya tu mūtrayan YSS_2.17b	diSam vIkzya tu mUtrayan YSH-_2.17b
   dṛṣṭvāpatyaṃ tu śūdrāyāṃ YSS_2.65a	dRzwvA-apatyam tu SUdrAyAm YSH-_2.65a
   dṛṣyate yasya tasya svaṃ YSS_2.36c	dRzyate yasya tasya svam YSH-_2.36c
   devabrahmasvayonyas tu YSS_2.29a	deva-brahma-sva-yonyaH tu YSH-_2.29a
   'deśadātāpratiśrayaḥ YSS_2.61d	adeSa-dAtA-pratiSrayaH YSH-_2.61d
   dehabhedam avāpnoti YSS_2.29c	dehaBedam avApnoti YSH-_2.29c
   doṣe kṛte tena nareṇa kartā YSS_1.43b	doze kRte tena nareNa kartA YSH-_1.43b
   doṣeṣv eteṣu somapāḥ YSS_2.53b	dozezu etezu somapAH YSH-_2.53b
   dravyapradānena samāsamena YSS_1.49a	dravya-pradAnena samAsamena YSH-_1.49a
   dvayaṃ saṃbadhyate tataḥ YSS_2.23b	dvayam saMbaDyate tatas YSH-_2.23b
   dviguṇaṃ tasya sūtake YSS_2.48d	dviguNam tasya sUtake YSH-_2.48d
   dviguṇaṃ daṇḍam āpnoti YSS_2.16c	dviguNam daNxam Apnoti YSH-_2.16c
   dviguṇaṃ daṇḍam āpnoti YSS_2.42c	dviguNam daNxam Apnoti YSH-_2.42c
   dviguṇaṃ dāpayed damaṃ YSS_2.14d	dviguNam dApayet damam YSH-_2.14d
   dviguṇaṃ pratipīḍānāṃ YSS_2.52c	dviguNam pratipIxAnAm YSH-_2.52c
   dvijair utpāditāś ca ye YSS_1.37Ab	dvijEH utpAditAH ca ye YSH-_1.37a-ab
   dharmam arthaṃ tathāyuṣyaṃ YSS_2.75c	Darmam arTam taTA-Ayuzyam YSH-_2.75c
   dharmārthakāmapratipattihetor YSS_1.46c	Darma-arTa-kAma-pratipatti-hetoH YSH-_1.46c
   dharmārthavādeṣu gavādayo hi YSS_1.53a	Darma-arTa-vAdezu gavA-AdayaH hi YSH-_1.53a
   dhānyaṃ pulākapāṣāṇaiḥ YSS_2.39a	DAnyam pulAkapAzANEH YSH-_2.39a
   dhārāsvahastaṃ pravadanti pāpaṃ YSS_1.54d	DArAsu-ahastam pravadanti pApam YSH-_1.54d
   nakārakas tu prabhur eṣa dharmaḥ YSS_1.48d	nakArakaH tu praBuH eza DarmaH YSH-_1.48d
   naktaṃ rātrau tu janitā YSS_2.31a	naktam rAtrO tu janitA YSH-_2.31a
   na jñāyate kasya mṛtopaghātaiḥ YSS_1.55b	na jQAyate kasya mRta-upaGAtEH YSH-_1.55b
   naṭo buruḍa eva ca YSS_1.32b	nawaH buruxaH eva ca YSH-_1.32b
   na tu daṇḍo vidhīyate YSS_2.15b	na tu daNxaH viDIyate YSH-_2.15b
   na tu śūdrāṅganāṃ gataḥ YSS_2.71d	na tu SUdra-aFganAm gataH YSH-_2.71d
   na pātake 'rtthadaṇḍo 'sti YSS_2.3a	na pAtake artTa-daNxaH asti YSH-_2.3a
   naraṃ samayalaṅghinaṃ YSS_2.25d	naram samaya-laFGinam YSH-_2.25d
   naraṃ saṃsargapātakaṃ YSS_2.26d	naram saMsarga-pAtakam YSH-_2.26d
   naraḥ saṃdhyādirātriṣu YSS_1.5d	naraH saMDyA-Adi-rAtrizu YSH-_1.5d
   navaite pratyavasitāḥ YSS_1.8a	navA-ete pratyavasitAH YSH-_1.8a
   na hy uttaraṃ naiva kṛtaṃ kṛtās te YSS_1.39d	na hi uttaram na-eva kRtam kRtAH te YSH-_1.39d
   nācakṣate dharmavidas tathaiva YSS_1.53d	na-Acakzate Darma-vidaH taTA-eva YSH-_1.53d
   nānyaśuddhir vidhīyate YSS_1.29d	na-anya-SudDiH viDIyate YSH-_1.29d
   nāparādho na pātakaṃ YSS_1.21b	na-aparADaH na pAtakam YSH-_1.21b
   nikarṣan viṣamopame YSS_2.46b	nikarzan vizama-upame YSH-_2.46b
   nityāntajīvo mriyate kadācid YSS_1.56c	nitya-anta-jIvaH mriyate kadAcid YSH-_1.56c
   nivartanīyo nṛpasaṃniyuktaiḥ YSS_1.55d	nivartanIyaH nRpa-saMniyuktEH YSH-_1.55d
   nivedya vratam ācaret YSS_2.2b	nivedya vratam Acaret YSH-_2.2b
   niṣpāpakaḥ pātakaśuddhikāryāt YSS_1.55Ab	nizpApakaH pAtaka-SudDi-kAryAt YSH-_1.55a-ab
   naiteṣu bhaktapradadoṣam āhuḥ YSS_1.45d	na-etezu Bakta-prada-dozam AhuH YSH-_1.45d
   nyāyena prathamena yaḥ YSS_2.76b	nyAyena praTamena yaH YSH-_2.76b
   paṅkeṣu vṛṣalīpatiḥ YSS_2.69d	paFkezu vRzalI-patiH YSH-_2.69d
   paṅktau tulyo 'pi ca dvijaḥ YSS_2.69b	paFktO tulyaH api ca dvijaH YSH-_2.69b
   pañcaite grāmakaṇṭakāḥ YSS_2.18d	paQca-ete grAma-kaNwakAH YSH-_2.18d
   paṇañ caturdaśāpnoti YSS_2.48c	paNan caturdaSa-Apnoti YSH-_2.48c
   paṇan tāvad avāpnuyāt YSS_2.49b	paNan tAvat avApnuyAt YSH-_2.49b
   paṇāñ caturdaśāpnoti YSS_2.50c	paNAn caturdaSa-Apnoti YSH-_2.50c
   patitakṣetrasaṃbhūtāḥ YSS_1.34c	patita-kzetra-saMBUtAH YSH-_1.34c
