   akṣahīno 'pi karṣakaḥ KirT_3.11d	akza-hInaH api karzakaH KirT_3.11d
   aśuddhaḥ pudgalo 'pyevaṃ KirT_2.9c	aSudDaH pudgalaH api-evam KirT_2.9c
   aśeṣapāśaviśleṣo KirT_6.18a	aSeza-pASa-viSlezaH KirT_6.18a
   asti heturataḥ kaścit KirT_3.12c	asti hetuH-atas kaScid KirT_3.12c
   ātmanaḥ kiṃ na dharmo 'sau KirT_2.23a	AtmanaH kim na DarmaH asO KirT_2.23a
   ātmano 'nādisambandhād KirT_2.23c	AtmanaH anAdi-sambanDAt KirT_2.23c
   ātmano nirvikalpakaḥ KirT_5.28d	AtmanaH nirvikalpakaH KirT_5.28d
   ātmasthaṃ tatpaśutvaṃ syāt KirT_2.18c	Atma-sTam tat-paSu-tvam syAt KirT_2.18c
   ādimattvaṃ yadā siddhaṃ KirT_2.3a	Adimattvam yadA sidDam KirT_2.3a
   ānarthakyaprasaṅgaḥ syād KirT_5.29c	AnarTakya-prasaFgaH syAt KirT_5.29c
   āste tasya vapuryataḥ KirT_4.11d	Aste tasya vapuH-yatas KirT_4.11d
   icchānugrahakartṛtvāl KirT_3.24c	icCA-anugraha-kartR-tvAt KirT_3.24c
   icchaiva karaṇaṃ tasya KirT_3.11a	icCA-eva karaNam tasya KirT_3.11a
   īdṛgrūpaṃ smṛtaṃ tābhyāṃ KirT_2.3c	IdRS-rUpam smRtam tAByAm KirT_2.3c
   īśaḥ sadāśivaḥ śāntaḥ KirT_3.13c	ISaH sadASivaH SAntaH KirT_3.13c
   īśvaro 'dhaḥsthavidyānāṃ KirT_3.25c	ISvaraH aDas-sTa-vidyAnAm KirT_3.25c
   uktākṣobhyā vibhutvātsā KirT_4.20a	ukta-akzoByAH viBu-tvAt-sA KirT_4.20a
   ucyate sā tirohikā KirT_5.25b	ucyate sA tirohikA KirT_5.25b
   upacāreṇa śabdānāṃ KirT_5.3a	upacAreNa SabdAnAm KirT_5.3a
   uparyeva vikārabhāk KirT_4.18b	upari-eva vikAra-BAj KirT_4.18b
   upāyaḥ sa niyāmakaḥ KirT_6.9d	upAyaH sa niyAmakaH KirT_6.9d
   upāyācchaktisaṃrodhaḥ KirT_2.28a	upAyAt-Sakti-saMroDaH KirT_2.28a
   upāyānāmahetutā KirT_6.6d	upAyAnAm-ahetu-tA KirT_6.6d
   upāyāste prakīrtitāḥ KirT_6.10b	upAyAH-te prakIrtitAH KirT_6.10b
   ekadeśe karotyasau KirT_2.13d	eka-deSe karoti-asO KirT_2.13d
   ekasminvastuni sphuṭam KirT_4.27d	ekasmin-vastuni sPuwam KirT_4.27d
   ekasminvyajyate jñānam KirT_2.25c	ekasmin-vyajyate jQAnam KirT_2.25c
   ekaḥ kasmādupāyo na KirT_6.10c	ekaH kasmAt-upAyaH na KirT_6.10c
   ekā satī bahūnāṃ sā KirT_5.21a	ekA satI bahUnAm sA KirT_5.21a
   etacca kurute śambhuḥ KirT_4.29c	etat-ca kurute SamBuH KirT_4.29c
   etasmādasya bhoktṛtvaṃ KirT_3.4c	etasmAt-asya BoktR-tvam KirT_3.4c
   evamīśaḥ sthitaḥ sākṣād KirT_3.22a	evam-ISaH sTitaH sAkzAt KirT_3.22a
   evamukto haraḥ prāha KirT_1.11a	evam-uktaH haraH prAha KirT_1.11a
   evametatsamādiṣṭaṃ KirT_4.26e	evam-etat-samAdizwam KirT_4.26e
   evametadanantena KirT_4.28c	evam-etat-anantena KirT_4.28c
   evaṃ kramādvibaddhaḥ san KirT_1.22c	evam kramAt-vibadDaH san KirT_1.22c
   evaṃ jñānādikaṃ sarvaṃ KirT_6.13a	evam jQAna-Adikam sarvam KirT_6.13a
   evaṃ tacchaktisaṃyogād KirT_5.22c	evam tad-Sakti-saMyogAt KirT_5.22c
   evaṃ tacchaktisāmarthyād KirT_4.11c	evam tad-Sakti-sAmarTyAt KirT_4.11c
   evaṃ tattvakalābaddhaḥ KirT_1.19a	evam tattva-kalA-badDaH KirT_1.19a
   evaṃ tadbhinnasaṃsthānaṃ KirT_4.26a	evam tat-Binna-saMsTAnam KirT_4.26a
   evaṃ paśutvamāpekṣya KirT_3.4a	evam paSu-tvam-Apekzya KirT_3.4a
   evaṃ puṃso malakṣayaḥ KirT_2.32b	evam puMsaH mala-kzayaH KirT_2.32b
   evaṃ yadyapi tulyatvaṃ KirT_5.20c	evam yadi-api tulya-tvam KirT_5.20c
   evaṃ yeṣāṃ yathā prokto KirT_6.8c	evam yezAm yaTA proktaH KirT_6.8c
   evaṃ śaktinipāto 'pi KirT_5.4c	evam Sakti-nipAtaH api KirT_5.4c
   evaṃ śaktisamāyogaḥ KirT_5.22a	evam Sakti-samAyogaH KirT_5.22a
   evaṃ śivo hyamūrto 'pi KirT_3.10c	evam SivaH hi-amUrtaH api KirT_3.10c
   evaṃ sūkṣmaṃ samānatvaṃ KirT_5.9e	evam sUkzmam samAna-tvam KirT_5.9e
   kañcitkālamapekṣate KirT_5.15d	kaQcid-kAlam-apekzate KirT_5.15d
   kathametadbravīhi me KirT_6.24d	kaTam-etat-bravIhi me KirT_6.24d
   kathametadbhaviṣyati KirT_2.6d	kaTam-etat-Bavizyati KirT_2.6d
   kathaṃcitkriyate male KirT_2.28b	kaTaMcid-kriyate male KirT_2.28b
   kathaṃ tajjñānayuktatvād KirT_2.24a	kaTam tad-jQAna-yukta-tvAt KirT_2.24a
   kathaṃ tasya prajāyate KirT_5.11b	kaTam tasya prajAyate KirT_5.11b
   kathaṃ bodhaṃ karoti cet KirT_5.21b	kaTam boDam karoti ced KirT_5.21b
   kathaṃ syādvapuṣaḥ sthitiḥ KirT_6.18d	kaTam syAt-vapuzaH sTitiH KirT_6.18d
   kartavyo 'nugraho deva KirT_6.5c	kartavyaH anugrahaH deva KirT_6.5c
   kartṛtvaṃ yujyate katham KirT_3.9d	kartR-tvam yujyate kaTam KirT_3.9d
   karma cet na hyacetanam KirT_3.12d	karma ced na hi-acetanam KirT_3.12d
   karmaṇaḥ kāla eva saḥ KirT_5.20d	karmaNaH kAlaH eva saH KirT_5.20d
   karmaṇāṃ tulyataiva ca KirT_5.8d	karmaNAm tulya-tA-eva ca KirT_5.8d
   karmataḥ saṃsthitaḥ paśoḥ KirT_3.5d	karmataH saMsTitaH paSoH KirT_3.5d
   karmasāmyavivakṣayā KirT_5.30b	karma-sAmyavivakzayA KirT_5.30b
   karmāpyevamanādikam KirT_3.7b	karma-api-evam-anAdikam KirT_3.7b
   karmārjanaṃ tanau satyāṃ KirT_3.6c	karma-arjanam tanO satyAm KirT_3.6c
   karmāṃśo yo 'dhikaḥ pūrvaṃ KirT_5.10c	karma-aMSaH yaH aDikaH pUrvam KirT_5.10c
   kalādyavanilakṣitam KirT_2.10b	kalA-Adi-avani-lakzitam KirT_2.10b
   kalāhīna iti smṛtaḥ KirT_3.21d	kalA-hInaH iti smRtaH KirT_3.21d
   kasmāttāmraṃ sakālikam KirT_2.4b	kasmAt-tAmram sa-kAlikam KirT_2.4b
   kānicitpratibudhyanti KirT_4.3c	kAnicid-pratibuDyanti KirT_4.3c
   kāmamohitaśailaja KirT_1.8d	kAma-mohita-SEla-ja KirT_1.8d
   kāraṇaṃ jagataḥ sthitā KirT_4.20b	kAraNam jagataH sTitA KirT_4.20b
   kāraṇaṃ tena sā jñeyā KirT_4.22a	kAraNam tena sA jQeyA KirT_4.22a
   kāryabhogavimohitaḥ KirT_1.18d	kArya-Boga-vimohitaH KirT_1.18d
   kāryamāgāmiko malaḥ KirT_2.12b	kAryam-AgAmikaH malaH KirT_2.12b
   kāryamicchā pratīyate KirT_3.11f	kAryam-icCA pratIyate KirT_3.11f
   kāryaṃ bījanimittajam KirT_4.26d	kAryam bIja-nimitta-jam KirT_4.26d
   kāryāṇubhiḥ sadā siddhais KirT_6.21c	kArya-aNuBiH sadA sidDEH KirT_6.21c
   kāla eva sa niṣṇātaḥ KirT_5.14a	kAlaH eva sa nizNAtaH KirT_5.14a
   kālakūṭabalāpaha KirT_1.4b	kAlakUwa-bala-apaha KirT_1.4b
   kālacchidramiti proktaṃ KirT_5.15a	kAla=-Cidram-iti proktam KirT_5.15a
   kāladaṣṭo 'pi śaktitaḥ KirT_4.11b	kAla-dazwaH api SaktitaH KirT_4.11b
   kālāntaravaśāttataḥ KirT_1.20d	kAla-antara-vaSAt-tatas KirT_1.20d
   kālena kālasaṃkhyāna- KirT_1.18c	kAlena kAla-saMKyAna KirT_1.18c
   kālo 'pi yogyatā sā ced KirT_5.20a	kAlaH api yogyatA sA ced KirT_5.20a
   kālo vā sa ca kaḥ prokto KirT_5.2c	kAlaH vA sa ca kaH proktaH KirT_5.2c
   kiñcijjñatvavivarjitaḥ KirT_1.21d	kiQcijjQatva-vivarjitaH KirT_1.21d
   kiñcijjño dehasaṃyutaḥ KirT_1.19b	kiQcijjQaH deha-saMyutaH KirT_1.19b
   kiñcijjño 'sau mayoditaḥ KirT_2.2b	kiQcijjQaH asO mayA-uditaH KirT_2.2b
   kimanyatparipṛcchasi KirT_1.23d	kim-anyat-paripRcCasi KirT_1.23d
   kiraṇākhyaṃ mahātantraṃ KirT_1.12a	kiraNa-AKyam mahAtantram KirT_1.12a
   kilānantaḥ prabudhyati KirT_4.1b	kila-anantaH prabuDyati KirT_4.1b
   kiṃ kṣipatyanyato jalāt KirT_2.33b	kim kzipati-anyatas jalAt KirT_2.33b
   kiṃcijjñaḥ sarvavicchivaḥ KirT_2.1b	kiMcid-jQaH sarva-vid-SivaH KirT_2.1b
   kiṃnimittaṃ punarbaddho KirT_2.5a	kiMnimittam punar-badDaH KirT_2.5a
   kīdṛśo badhyate katham KirT_1.14b	kIdRSaH baDyate kaTam KirT_1.14b
   kuto 'nyaḥ sahajo malaḥ KirT_2.18b	kutas anyaH sahajaH malaH KirT_2.18b
   kurute kāryamicchayā KirT_3.10d	kurute kAryam-icCayA KirT_3.10d
   kurute 'nugrahaṃ dehī KirT_3.18c	kurute anugraham dehI KirT_3.18c
   kurute śaktisaṃrodhaṃ KirT_2.33a	kurute Sakti-saMroDam KirT_2.33a
   kurvate 'dhastanaṃ jagat KirT_3.26b	kurvate aDastanam jagat KirT_3.26b
   kṛtyabhedādvibhidyate KirT_3.13d	kRtya-BedAt-viBidyate KirT_3.13d
   kṛtyasaṃsthānabhedagā KirT_5.31b	kRtya-saMsTAna-Beda-gA KirT_5.31b
   kṛtvā tacchaktisaṃrodhaṃ KirT_2.29c	kRtvA tad-Sakti-saMroDam KirT_2.29c
   kṛtsnaṃ māyātmakaṃ kāryaṃ KirT_4.24c	kRtsnam mAyA-Atmakam kAryam KirT_4.24c
   keciccātra kriyāyogyās KirT_6.7c	kecid-ca-atra kriyA-yogyAH KirT_6.7c
   kevalaḥ sakalaḥ śuddhas KirT_1.23a	kevalaH sakalaH SudDaH KirT_1.23a
   kailāsaśikharāsīnaṃ KirT_1.1a	kElAsa-SiKara-AsInam KirT_1.1a
   kramo yadi sa neṣyate KirT_5.17b	kramaH yadi sa na-izyate KirT_5.17b
   kriyate bhavaniḥspṛhaḥ KirT_2.29d	kriyate Bava-niHspRhaH KirT_2.29d
   kriyākhyā sūkṣmarūpiṇī KirT_4.21b	kriyA-AKyA sUkzma-rUpiNI KirT_4.21b
   kriyācaryāsamopetaṃ KirT_1.13c	kriyA-caryA-samopetam KirT_1.13c
   kriyājñānavratādīnām KirT_6.6c	kriyA-jQAna-vrata-AdInAm KirT_6.6c
   krīḍāvikṣobhadāruṇa KirT_1.5d	krIxA-vikzoBa-dAruNa KirT_1.5d
   kṣiptaṃ sakaluṣe jale KirT_2.32d	kziptam sa-kaluze jale KirT_2.32d
   kṣīṇaṃ vā yadi vāsamam KirT_5.9b	kzINam vA yadi vA-asamam KirT_5.9b
   kṣīravatpariṇāminī KirT_5.30d	kzIra-vat-pariNAminI KirT_5.30d
   kṣobho 'syāḥ syāttadīraṇam KirT_4.19b	kzoBaH asyAH syAt-tat-IraNam KirT_4.19b
   guṇastadvyatirikto vā KirT_2.11c	guNaH-tad-vyatiriktaH vA KirT_2.11c
   guruṇā dīkṣito yadā KirT_1.21b	guruNA dIkzitaH yadA KirT_1.21b
   gururyathāgrataḥ śiṣyān KirT_5.6c	guruH-yaTA-agratas SizyAn KirT_5.6c
   gṛhyate mantraśaktyāsau KirT_6.26c	gRhyate mantra-SaktyA-asO KirT_6.26c
   grahaṇaṃ mocanaṃ vibhoḥ KirT_3.19d	grahaNam mocanam viBoH KirT_3.19d
   grahaṇe mocane 'pi hi KirT_3.19b	grahaNe mocane api hi KirT_3.19b
   caryāyogyāstathāpare KirT_6.8b	caryA-yogyAH-taTA-apare KirT_6.8b
   ciddharme puṃsi no dharmo KirT_2.25a	cit-Darme puMsi naH DarmaH KirT_2.25a
   cidrūpānugrahaḥ proktaḥ KirT_6.4c	cit-rUpa-anugrahaH proktaH KirT_6.4c
   cetanasya na yujyate KirT_2.26b	cetanasya na yujyate KirT_2.26b
   caitanyadyotikātmanaḥ KirT_2.13b	cEtanyadyotika-AtmanaH KirT_2.13b
   cauryaṃ hi bījamāpekṣya KirT_3.3c	cOryam hi bIjam-Apekzya KirT_3.3c
   chinnā chinnodbhavā yadvat KirT_4.9c	CinnA CinnodBavA yadvat KirT_4.9c
   chivaḥ kālamapekṣate KirT_5.14d	CivaH kAlam-apekzate KirT_5.14d
   chiṣṭakarmanimittajam KirT_4.6d	Cizwa-karma-nimitta-jam KirT_4.6d
   jagatyasminvikāriṇī KirT_4.15d	jagati-asmin-vikAriNI KirT_4.15d
   jagadyoniryataḥ proktā KirT_4.16a	jagadyoniH-yatas proktA KirT_4.16a
   jaḍatvānna tanormataḥ KirT_6.4b	jaxa-tvAt-na tana-UH-mataH KirT_6.4b
   jaya krūrajanendrāsya- KirT_1.6c	jaya krUra-jana-indra-Asya KirT_1.6c
   jaya dāruvanodyāna- KirT_1.5a	jaya dAru-vana-udyAna KirT_1.5a
   jaya nṛttamahārambha- KirT_1.5c	jaya nRtta-mahA-AramBa KirT_1.5c
   jaya pātālamūlordhva- KirT_1.9c	jaya pAtAlamUla-UrDva KirT_1.9c
   jaya prathitasāmarthya- KirT_1.3c	jaya praTita-sAmarTya KirT_1.3c
   jaya pravaravīreśa- KirT_1.2c	jaya pravara-vIra-ISa KirT_1.2c
   jaya vīraparispanda- KirT_1.7a	jaya vIra-parispanda KirT_1.7a
   jaya śvetanimittogra- KirT_1.8a	jaya Sveta-nimitta-ugra KirT_1.8a
   jayākhilasureśāna- KirT_1.3a	jaya-aKila-sura-ISAna KirT_1.3a
   jayācyutatanudhvaṃsa- KirT_1.4a	jaya-acyuta-tanu-DvaMsa KirT_1.4a
   jayādbhutamahāliṅga- KirT_1.7c	jaya-adButa-mahA-liFga KirT_1.7c
   jayāndhakapṛthuskandha- KirT_1.2a	jaya-anDaka-pRTu-skanDa KirT_1.2a
   jayāvartamahāṭopa- KirT_1.4c	jaya-Avarta-mahA-Awopa KirT_1.4c
   jayāśeṣasukhāvāsa- KirT_1.8c	jaya-aSeza-suKa-AvAsa KirT_1.8c
   jayograrūpasaṃrambha- KirT_1.6a	jaya-ugra-rUpa-saMramBa KirT_1.6a
   jayopamanyusantāpa- KirT_1.9a	jaya-upamanyu-santApa KirT_1.9a
   jātāyāmarthaniṣpattau KirT_6.18c	jAtAyAm-arTa-nizpattO KirT_6.18c
   jātāyāṃ ghaṭaniṣpattau KirT_6.19a	jAtAyAm Gawa-nizpattO KirT_6.19a
   jñatvāddoṣo mahānbhavet KirT_6.11d	jQa-tvAt-dozaH mahAn-Bavet KirT_6.11d
   jñānayogyāstathā cānye KirT_6.8a	jQAna-yogyAH-taTA ca-anye KirT_6.8a
   jñānaṃ kena nivāryate KirT_4.8b	jQAnam kena nivAryate KirT_4.8b
   jñānādīnāmupāyānāṃ KirT_6.9a	jQAna-AdInAm-upAyAnAm KirT_6.9a
   jñeyaṃ kāraṇaśaktyutthaṃ KirT_4.26c	jQeyam kAraNa-Sakti-utTam KirT_4.26c
   jñeyā mantrāṇavaḥ khaga KirT_6.26f	jQeyAH mantrANavaH Kaga KirT_6.26f
   taccihnaṃ vāsanāniṣṭhā- KirT_6.25a	tat-cihnam vAsanA-nizWA KirT_6.25a
   tacchaktasya prakāśayet KirT_6.13b	tad-Saktasya prakASayet KirT_6.13b
   tacchaktipratibodhitaḥ KirT_3.27d	tad-Sakti-pratiboDitaH KirT_3.27d
   tacchakteḥ kriyate vadhaḥ KirT_2.27d	tad-SakteH kriyate vaDaH KirT_2.27d
   tajjñaśca bhagavāñchivaḥ KirT_5.15b	tad-jQaH-ca BagavAn-SivaH KirT_5.15b
   tajjño 'pi sa śivastadvat KirT_5.16a	tad-jQaH api sa SivaH-tadvat KirT_5.16a
   tataḥ sukhādikaṃ kṛtsnaṃ KirT_1.20a	tatas suKa-Adikam kRtsnam KirT_1.20a
   tato niyatisaṃśleṣāt KirT_1.18a	tatas niyati-saMSlezAt KirT_1.18a
   tatkarmaṇyavikalpanā KirT_6.25b	tad-karmaNi-avikalpanA KirT_6.25b
   tatkāryakārikā śaktiḥ KirT_4.21a	tad-kArya-kArikA SaktiH KirT_4.21a
   tatkāryaṃ vigrahāśrayam KirT_4.26f	tat-kAryam vigraha-ASrayam KirT_4.26f
   tatkṣayānna ca tatkṣayaḥ KirT_2.30b	tad-kzayAt-na ca tad-kzayaH KirT_2.30b
   tatra sthitasya tasyeha KirT_5.28a	tatra sTitasya tasya-iha KirT_5.28a
   tatrāpi vyabhicāritā KirT_6.23b	tatra-api vyaBicAritA KirT_6.23b
   tatsadbhāvātpaśuḥ pāśyaḥ KirT_2.21a	tad-sadBAvAt-paSuH pASyaH KirT_2.21a
   tatsāmarthyādanantasya KirT_4.5a	tad-sAmarTyAt-anantasya KirT_4.5a
   tatsthaṃ sarpaṃ viṣaṃ yadvat KirT_4.8c	tad-sTam sarpam vizam yadvat KirT_4.8c
   tatsthānamabhigacchati KirT_5.13b	tad-sTAnam-aBigacCati KirT_5.13b
   tathā karotu sa svāmī KirT_5.24a	taTA karotu sa svAmI KirT_5.24a
   tathātmā deśikaṃ prati KirT_5.6b	taTA-AtmA deSikam prati KirT_5.6b
   tathā na tadviṣaṃ kṣīṇam KirT_2.32a	taTA na tat-vizam kzINam KirT_2.32a
   tathānādiḥ śivaḥ kartā KirT_3.8c	taTA-anAdiH SivaH kartA KirT_3.8c
   tathā naiva śivātmanoḥ KirT_2.4d	taTA na-eva Siva-AtmanoH KirT_2.4d
   tathānyāni na jātucit KirT_4.3d	taTA-anyAni na jAtucit KirT_4.3d
   tathāpi prabhuratreśaḥ KirT_5.20e	taTA-api praBuH-atra-ISaH KirT_5.20e
   tathāpi bhāskaraḥ prokto KirT_5.19c	taTA-api BAskaraH proktaH KirT_5.19c
   tathāpyetatsusaṃśliṣṭam KirT_4.27c	taTA-api-etat-su-saMSlizwam KirT_4.27c
   tathāmūrtatayāpi ca KirT_6.24b	taTA-amUrta-tayA-api ca KirT_6.24b
   tathā vapuridaṃ sthitam KirT_6.19d	taTA vapuH-idam sTitam KirT_6.19d
   tathā sakalaniṣkalaḥ KirT_3.13b	taTA sakala-nizkalaH KirT_3.13b
   tathāsau kurute sarvaṃ KirT_3.27c	taTA-asO kurute sarvam KirT_3.27c
   tatheśasya na tau yataḥ KirT_4.4b	taTA-ISasya na tO yatas KirT_4.4b
   tathaiveśaḥ prasādakṛt KirT_6.7b	taTA-eva-ISaH prasAda-kRt KirT_6.7b
   tadabhāvānna nirvṛtiḥ KirT_2.8b	tad-aBAvAt-na nirvRtiH KirT_2.8b
   tadabhāve na kiñcitsyāt KirT_6.14a	tad-aBAve na kiQcid-syAt KirT_6.14a
   tadekaṃ ceddvidhā katham KirT_4.25b	tat-ekam ced-dviDA kaTam KirT_4.25b
   tadgataṃ na vibādhate KirT_4.8d	tad-gatam na vibADate KirT_4.8d
   tadgataḥ pāśasañcayaḥ KirT_4.9b	tad-gataH pASa-saQcayaH KirT_4.9b
   tadyuktasya vimokṣaḥ syād KirT_5.28c	tad-yuktasya vimokzaH syAt KirT_5.28c
   tadyuktyā grāhapūrvakam KirT_6.23d	tad-yuktyA grAha-pUrvakam KirT_6.23d
   tadvacchaktinipāto 'pi KirT_5.5c	tadvat-Sakti-nipAtaH api KirT_5.5c
   tadvatkarmakṣayastviha KirT_6.17d	tadvat-karma-kzayaH-tu-iha KirT_6.17d
   tadvattacchaktisaṃrodhād KirT_2.29a	tadvat-tad-Sakti-saMroDAt KirT_2.29a
   tadvadevātra boddhavyaṃ KirT_3.19c	tadvat-eva-atra bodDavyam KirT_3.19c
   tadvadbodho mahābalaḥ KirT_4.13b	tadvat-boDaH mahA-balaH KirT_4.13b
   tadvaśādakhilaṃ phalam KirT_4.29f	tad-vaSAt-aKilam Palam KirT_4.29f
   tadvikārāḥ kalādayaḥ KirT_4.16b	tad-vikArAH kalA-AdayaH KirT_4.16b
   tanurbhogo 'nyahetujaḥ KirT_3.4d	tanuH-BogaH anya-hetu-jaH KirT_3.4d
   tanusthaṃ hi kathaṃ caitat KirT_6.25c	tanu-sTam hi kaTam ca-etat KirT_6.25c
   tantrairupakṛtaḥ kalyo KirT_4.12c	tantrEH-upakRtaH kalyaH KirT_4.12c
   tannipātasya saḥ kālaḥ KirT_5.8c	tat-nipAtasya saH kAlaH KirT_5.8c
   tanmayaḥ sahajāvṛtaḥ KirT_1.19d	tad-mayaH sahaja-AvRtaH KirT_1.19d
   tayodbalitacaitanyo KirT_1.16c	tayA-udbalita-cEtanyaH KirT_1.16c
   tayoścānādisambandhād KirT_2.26c	tayoH-ca-anAdi-sambanDAt KirT_2.26c
   tasmācchaktinipātaḥ syān KirT_5.8a	tasmAt-Sakti-nipAtaH syAt KirT_5.8a
   tasmātkalā tuṭiḥ saṃsthā KirT_4.22c	tasmAt-kalA tuwiH saMsTA KirT_4.22c
   tasmādanādikaṃ karma KirT_3.8a	tasmAt-anAdikam karma KirT_3.8a
   tasmādanyatra yātyeva KirT_5.6a	tasmAt-anyatra yAti-eva KirT_5.6a
   tasmādekādaśākṣāṇi KirT_4.23c	tasmAt-ekAdaSa-akzANi KirT_4.23c
   tasmānmāyā malo naiva KirT_2.17c	tasmAt-mAyA malaH na-eva KirT_2.17c
   tasminyaśca layaḥ proktaḥ KirT_2.10c	tasmin-yaH-ca layaH proktaH KirT_2.10c
   tasya dharmo na dharmatve KirT_2.24c	tasya DarmaH na Darma-tve KirT_2.24c
   tasya nāśo na kiṃ bhavet KirT_2.27b	tasya nASaH na kim Bavet KirT_2.27b
   tasya bhaktirvilakṣaṇā KirT_5.13d	tasya BaktiH-vilakzaNA KirT_5.13d
   tasya bhedāḥ prakīrtitāḥ KirT_2.21d	tasya BedAH prakIrtitAH KirT_2.21d
   tasyāśuddhasya sambandhaṃ KirT_1.16a	tasya-aSudDasya sambanDam KirT_1.16a
   tasyaivaṃ pāśamuktatvāj KirT_4.8a	tasya-evam pASa-mukta-tvAt KirT_4.8a
   taṃ natvā vimalaṃ śivārkakiraṇe śāstre pare racyate KirT_0.1a	tam natvA vimalam Siva-arka-kiraNe SAstre pare racyate KirT_0.1a
   tāvanno gurupaddhatiḥ KirT_3.18b	tAvat-naH guru-padDatiH KirT_3.18b
   tiraskārakarastamaḥ KirT_2.19d	tiraskAra-karaH-tamaH KirT_2.19d
   tirobhāvakarī śaktir KirT_5.23c	tiroBAva-karI SaktiH KirT_5.23c
   tirobhāvagatānāṃ sā KirT_5.24c	tiroBAva-gatAnAm sA KirT_5.24c
   tirobhāvagato bhavet KirT_5.29b	tiroBAva-gataH Bavet KirT_5.29b
   tirobhāvaḥ pradṛśyate KirT_5.23b	tiroBAvaH pradRSyate KirT_5.23b
   tirobhāvāya pāto na KirT_5.25c	tiroBAvAya pAtaH na KirT_5.25c
   tīvraśaktinipātena KirT_1.21a	tIvra-Sakti-nipAtena KirT_1.21a
   tulyatvaṃ karmaṇaḥ kālaḥ KirT_5.9a	tulya-tvam karmaNaH kAlaH KirT_5.9a
   te ca mantrāḥ śivātmikāḥ KirT_3.17b	te ca mantrAH Siva-AtmikAH KirT_3.17b
   tena jāterna vaktavyo KirT_6.4a	tena jAteH-na vaktavyaH KirT_6.4a
   tena tenāsvatantratvān KirT_2.8c	tena tena-asvatantra-tvAn KirT_2.8c
   tena te śivayojakāḥ KirT_6.21d	tena te Siva-yojakAH KirT_6.21d
   tena teṣāṃ vimuktiḥ syād KirT_6.12a	tena tezAm vimuktiH syAt KirT_6.12a
   tena preritamātrāste KirT_3.26a	tena prerita-mAtrAH-te KirT_3.26a
   tena sāmarthyayogena KirT_4.14c	tena sAmarTya-yogena KirT_4.14c
