   Āryabhaṭakṛtam	Ārya Bawa kRtam
   uṣṭrikā" iti [aṣṭādhyāyī aí 4, pādaḥ 1, sūtram 3, pātañjalamahābhāṣyam,	uzwrikA" iti [azwa aDyAyI aí 4, pAdaH 1, sUtram 3, pAtaQjala mahA BAzyam,
   ākṣepavārtikaḥ	Akzepa vArtikaH
   athavā brahmaṇoḥ dvayoḥ apy ācāryeṇa praṇipātaḥ kṛtaḥ, śabdabrahmaṇaḥ	aTavA brahmaNoH dvayoH api AcAryeNa praNipAtaH kRtaH, SabdabrahmaNaH
   parabrahmaṇaḥ ca | tayoḥ upavarṇanā iyam kriyate ã praṇipatya iti |	para brahmaNaH ca | tayoH upavarNanA iyam kriyate ã praNipatya iti |
   nigadavyākhyānam evam ã ekam, parijñānataḥ tu tattvasya abhedarūpatvāt,	nigada vyAKyAnam evam ã ekam, parijQAnataH tu tattvasya aBeda rUpa tvAt,
   yasmāt sarveṣu eva jñeyeṣu parijñānamātrasāmānyam ekam; anekam	yasmAt sarvezu eva jQeyezu parijQAna mAtra sAmAnyam ekam ; anekam
   ṛgyajuḥsāmātharvetihāsapurāṇaśikṣākalpavyākaraṇaniruktachandovicitijyotiṣam	Rc yajuH sAma aTarvA itihAsa purANa SikzA kalpa vyAkaraNa nirukta CandaH viciti jyotizam
   iti ādiśabdarūpeṇa vyavasthitatvāt anekam | kaḥ iti śabdabrahmaṇaḥ	iti Adi Sabda rUpeNa vyavasTita tvAt anekam | kaH iti SabdabrahmaNaH
   ākhyānam | kam ekam anekam	AKyAnam | kam ekam anekam
   praṇipatya | satyām devatām iti etat dvayoḥ brahmaṇoḥ śeṣaḥ, satyā devatā	praNipatya | satyAm devatAm iti etat dvayoH brahmaNoH SezaH, satyA devatA
   śabdabrahma | uktam ca ã	Sabdabrahma | uktam ca ã
   jñānāntarabhāvi yat ca hi phalam jñātvā kriyā ataḥ ca yat	jQAna antara BAvi yat ca hi Palam jQAtvA kriyAH atas ca yat 
   sarvasya avyabhicārikāraṇam iti jñānasthitau niścayaḥ |	sarvasya avyaBicAri kAraNam iti jQAna sTitO niScayaH |
   jñeyam ca aparimāṇam alpaviṣayaśrautādiśāstram punar	jQeyam ca aparimANam alpa vizaya SrOta Adi SAstram punar 
   divyam cakṣuḥ atīndriye api viṣaye vyāhanyate na kvacit ||	divyam cakzuH atIndriye api vizaye vyAhanyate na kvacid ||
   param brahma | "param" śabdaḥ prakarṣavācī | prakṛṣṭam brahma param	param brahma | "param"  SabdaH prakarza vAcI | prakRzwam brahma param
   brahma, yat sarvaiḥ api muktivādibhiḥ prārthyate, mokṣadaḥ paramātmā iti	brahma, yat sarvEH api mukti vAdiBiH prArTyate, mokza daH paramAtmA iti
   arthaḥ | evam ca dvayoḥ brahmaṇoḥ praṇāmaḥ kṛtaḥ | anyatra api	arTaH | evam ca dvayoH brahmaNoH praNAmaH kRtaH | anyatra api
   "brahma" śabdena śabdabrahma parabrahmaṇoḥ eva grahaṇam | tad yathā ã	"brahma "  Sabdena Sabdabrahma para brahmaNoH eva grahaNam | tat yaTA ã
   dve brahmaṇī veditavye śabdabrahma param ca yat |	dve brahmaNI veditavye Sabdabrahma param ca yat |
   śabdabrahmaṇi niṣṇātaḥ param brahma adhigacchati ||	SabdabrahmaNi nizNAtaH param brahma aDigacCati ||
   [amṛtabindūpaniṣad, śloí 7; vāyupurāṇam, amśaḥ 6, aí 5, śloí 64]	[amRta bindu upanizad, Sloí 7; vAyupurANam, amSaH 6, aí 5, Sloí 64]
   iti |	iti |
   athavā, praṇipatya kam hiraṇyagarbham, ekānekasvarūpam, sarvaprāṇinām	aTavA, praNipatya kam hiraNyagarBam, eka aneka svarUpam, sarva prANinAm
   mahat nāma | tatra viśeṣaḥ ekam, tasya tasya yataḥ adhiṣṭhātṛdevatā	mahat nAma | tatra viSezaH ekam, tasya tasya yatas aDizWAtR devatA
   hiraṇyagarbhaḥ ekaḥ eva | yadā kāraṇānām adhiṣṭhātṛdevatāviśeṣabhedena	hiraNyagarBaH ekaH eva | yadA kAraNAnAm aDizWAtR devatA viSeza Bedena
   vivakṣyate tadā anekam | tat yathā ã trayodaśa kāraṇāni, tvacaḥ vāyuḥ,	vivakzyate tadA anekam | tat yaTA ã trayodaSa kAraNAni, tvacaH vAyuH,
   cakṣuṣaḥ sūryaḥ, śrotrasyāḥ ākāśaḥ, rasanasyāḥ āpaḥ, ghrāṇasya pṛthivī,	cakzuzaH sUryaH, SrotrasyAH AkASaH, rasanasyAH ApaH, GrANasya pRTivI,
   evam pañcānām buddhīndriyāṇām adhiṣṭhātryaḥ devatāḥ, vācaḥ agniḥ, pāṇeḥ	evam paQcAnAm budDIndriyANAm aDizWAtryaH devatAH, vAcaH agniH, pANeH
   indraḥ, pādasya	indraH, pAdasya
   viṣṇuḥ, pāyunaḥ mitraḥ, upasthasya prajāpatiḥ, evam	vizNuH, pAyunaH mitraH, upasTasya prajApatiH, evam
   karmendriyādhiṣṭhātryaḥ devatāḥ, manasaḥ candraḥ, buddheḥ savitā,	karmendriya aDizWAtryaH devatAH, manasaH candraH, budDeH savitA,
   ahaṅkārasya rudraḥ iti | satyām devatām antaryāminaḥ īśvarasya bhagavataḥ	ahaFkArasya rudraH iti | satyAm devatAm antaryAminaH ISvarasya BagavataH
   paramātmanaḥ kāraṇaśaktyā adhiṣṭhitāḥ sarve eva padārthāḥ svārthe	paramAtmanaH kAraNa SaktyA aDizWitAH sarve eva padArTAH sva arTe
   pravartante | ataḥ tām paramātmanaḥ kāraṇaśaktim satyām devatām | ataḥ eva	pravartante | atas tAm paramAtmanaH kAraNa Saktim satyAm devatAm | atas eva
   strīliṅgena nirdeśaḥ kṛtaḥ | param brahma yat tat adhikārī brahma	strI liFgena nirdeSaH kRtaH | param brahma yat tat aDikArI brahma
   paramātmā tam | evam brahmatrayam praṇipatya	paramAtmA tam | evam brahma trayam praNipatya
   | yadi evam, cakāraḥ tarhi kartavyam | na kartavyam | antareṇa api cakāram	| yadi evam, cakAraH tarhi kartavyam | na kartavyam | antareNa api cakAram
   ca arthaḥ gamyate eva | tat yathā ã	ca arTaH gamyate eva | tat yaTA ã
   bāle vṛddhe kṣate kṣīṇe kṣīram yuktyā prayojayet |	bAle vRdDe kzate kzINe kzIram yuktyA prayojayet |
   iti | bāle ca vṛddhe ca kṣate ca kṣīṇe ca iti gamyate | evam atra api ca	iti | bAle ca vRdDe ca kzate ca kzINe ca iti gamyate | evam atra api ca
   arthaḥ, kam ca satyām devatām ca param brahma ca iti |	arTaH, kam ca satyAm devatAm ca param brahma ca iti |
   āryabhaṭaḥ ācāryasya samākhyānaḥ | trīṇi gadati | trīṇi vastūni gadati iti	Arya BawaH AcAryasya samAKyAnaH | trINi gadati | trINi vastUni gadati iti
   | nanu atra evam yuktam vaktum ã "āryabhaṭaḥ aham trīṇi gadāmi" iti,	| nanu atra evam yuktam vaktum ã "Arya BawaH aham trINi gadAmi" iti,
   anyathā anyasya kasyacit etat vākyam ābhāti | yathā kiṃcit kaścit pṛcchati	anyaTA anyasya kasyacid etat vAkyam ABAti | yaTA kiMcid kaScid pRcCati
   ã "rājakule kena kim uktam iti āha ã evam ukte rājani evam devadatto	ã "rAja kule kena kim uktam iti Aha ã evam ukte rAjani evam devadattaH 
   bravīti | yajñadattaḥ api evam eva nigadati" iti | tasmāt tatra api	bravIti | yajQadattaH api evam eva nigadati" iti | tasmAt tatra api
   āryabhaṭaḥ trīṇi gadati iti, na tat ācāryasya vacanam iti | atra ucyate |	Arya BawaH trINi gadati iti, na tat AcAryasya vacanam iti | atra ucyate |
   ayam ācāryaḥ mahānubhāvaḥ svayam	ayam AcAryaH mahA anuBAvaH svayam
   eva bruvan paratvam āpādya kathayati, yathā āha kauṭilyaḥ ã	eva bruvan paratvam ApAdya kaTayati, yaTA Aha kOwilyaH ã
   sukhagrahaṇavijñeyam tattvārthapadaniścitam |	suKa grahaNa vijQeyam tattva arTa pada niScitam |
   kauṭilyena kṛtam śāstram vimucya granthavistaram ||	kOwilyena kRtam SAstram vimucya granTa vistaram ||
   [arthaśāstram, 1.1.19]	[arTa SAstram, 1.1.19]
   iti | athavā yaḥ tejasvī puruṣaḥ samareṣu nikṛṣṭāsitejovitānacchuritabāhuḥ	iti | aTavA yaH tejasvI puruzaH samarezu nikRzwa asi tejaH vitAn acCurita bAhuH
   śatrusaṅghātam prakāśam praviśya praharan evam āha ã "ayam asau uditaḥ	Satru saFGAtam prakASam praviSya praharan evam Aha ã "ayam asO uditaH
   aditikulaprasūtaḥ samareṣu anivāritavīryaḥ yajñadattaḥ praharati | yadi	aditi kula prasUtaH samarezu anivArita vIryaH yajQadattaH praharati | yadi
   kasyacit śaktiḥ pratipraharatu" iti | evam asau api ācāryaḥ	kasyacid SaktiH pratipraharatu" iti | evam asO api AcAryaH
   gaṇitakālakriyāgolātiśayajñānodadhipāragaḥ vitsabhām avagāhya "āryabhaṭaḥ	gaNita kAla kriyA gola atiSaya jQAna udaDi pAragaH vid saBAm avagAhya "Arya BawaH
   trīṇi gadati gaṇitam kālakriyām golam" iti uktavān |	trINi gadati gaNitam kAla kriyAm golam" iti uktavAn |
   gaṇitam kālakriyām golam | gaṇitam,	gaNitam kAla kriyAm golam | gaNitam,
   kṣetracchāyāśreḍhīsamakaraṇakuṭṭākārādikam | kālaḥ,	kzetra= CAyA SreXI sama karaNa kuwwa AkAra Adikam | kAlaH,
   prāṇavināḍīnāḍyahorātrapakṣamāsasaṃvatsarayugādikam | tatparijñānārtham	prANa vinAxI nAxI ahorAtra pakza mAsa saMvatsara yuga Adikam | tad parijQAna arTam
   kriyā kālakriyā | anye punaḥ kriyā avyatiriktam kālam etena	kriyA kAla kriyA | anye punar kriyA avyatiriktam kAlam etena
   abhyupagacchanti | teṣām ayam vigrahaḥ ã kālaḥ ca asau kriyā ca kālakriyā	aByupagacCanti | tezAm ayam vigrahaH ã kAlaH ca asO kriyA ca kAla kriyA
   | evam etau dvau pakṣau ã kecit kālam kriyāvyatiriktam manyante, anye	| evam etO dvO pakzO ã kecid kAlam kriyA vyatiriktam manyante, anye
   kriyā eva kālaḥ iti | ubhayathāḥ asmākam adoṣaḥ iti, yena asmadīye	kriyAH eva kAlaH iti | uBayaTAH asmAkam adozaH iti, yena asmadIye
   siddhānte	sidDAnte
   sūryodayāt prabhṛti yāvat aparaḥ sūryodayaḥ tāvat ahorātram, yaḥ ca	sUrya udayAt praBRti yAvat aparaH sUrya udayaH tAvat ahorAtram, yaH ca
   sūryācandramasoḥ paraḥ viprakarṣaḥ saḥ ardhamāsaḥ, yaḥ ca tayoḥ paraḥ	sUryAcandramasoH paraH viprakarzaH saH arDa mAsaH, yaH ca tayoH paraH
   sannikarṣaḥ sa māsaḥ; evam dvādaśamāsāḥ saṃvatsaraḥ iti ayam kālaḥ,	sannikarzaH sa mAsaH; evam dvAdaSa mAsAH saMvatsaraH iti ayam kAlaH,
   kriyāvyatiriktaḥ vā astu kriyā vā iti | golam,	kriyA vyatiriktaH vE astu kriyAH vA iti | golam,
   grahabhramaṇadharitrīsaṃsthānadarśanopāyam | gadati iti kartṛvācakaḥ	graha BramaNa DaritrI saMsTAna darSana upAyam | gadati iti kartR vAcakaH
   śabdaḥ, vākyatvāt | gaṇitakālakriyāgolānām dvitīyaikavacane nirdeśaḥ	SabdaH, vAkya tvAt | gaNita kAla kriyA golAnAm dvitIya eka vacane nirdeSaH
   gaṇitam kālakriyām golam iti gaṇitaśabdaḥ napuṃsakaliṅgam, kālakriyā	gaNitam kAla kriyAm golam iti gaNita SabdaH napuMsaka liFgam, kAla kriyA
   strīliṅgam, golaḥ pulliṅgam | eteṣām sāmānyopakrameṇa napuṃsakaliṅgena eva	strI liFgam, golaH put liFgam | etezAm sAmAnya upakrameNa napuMsa kaliFgena eva
   ācāryeṇa abhidhānam [kṛtam] "trīṇi gadati" iti |	AcAryeNa aBiDAnam [kRtam] "trINi gadati" iti |
   atra ayam gaṇitaśabdaḥ aśeṣagaṇitābhidhāyī, tasmāt aśeṣagaṇitābhidhāyitvāt	atra ayam gaNita SabdaH aSeza gaNita aBiDAyI, tasmAt aSeza gaNita aBiDAyi tvAt
   yathā kṣetragaṇitam bravīti, evam grahagaṇitam api; grahagaṇitasya ca	yaTA kzetra gaNitam bravIti, evam graha gaNitam api; graha gaNitasya ca
   kṣetrādyavyatiriktatvāt kālakriyāgolayoḥ ca gaṇitāvyatiriktatvāt gaṇitam	kzetra Adyavyatirikta tvAt kAla kriyA golayoH ca gaNita avyatirikta tvAt gaNitam
   nigadati iti etāvat eva siddhe kālakriyāgolagrahaṇam kurvan ācāryaḥ	nigadati iti etAvat eva sidDe kAla kriyA gola grahaNam kurvan AcAryaH
   jñāpayati ã kṣetracchāyāśreḍhīsamakaraṇakuṭṭākārādikam sāmānyagaṇitam	jQApayati ã kzetra= CAyA SreXI sama karaNa kuwwa AkAra Adikam sAmAnya gaNitam
   kiṃcit vakṣye, viśeṣagaṇite punaḥ kālakriyayā golena tātparyam iti |	kiMcid vakzye, viSeza gaNite punar kAla kriyayA golena tAtparyam iti |
   anyathā	anyaTA
   aśeṣagaṇitābhidhāyigaṇitaśabdena eva siddhatvāt kālakriyāgolayoḥ	aSeza gaNita aBiDAyi gaNita Sabdena eva sidDa tvAt kAla kriyA golayoH
   pṛthaggrahaṇam anāvaśyakam syāt | tathā ca, ācāryeṇa gaṇitapāde	pRTak grahaNam anAvaSyakam syAt | taTA ca, AcAryeNa gaNita pAde
   gaṇitavastu diṅmātram eva abhihitam, kālakriyāgolayoḥ kālakriyāgola	gaNitavastu diS mAtram eva aBihitam, kAla kriyA golayoH kAla kriyA gola
   [vastu] viśeṣeṇa | avaśyam ayam arthaḥ abhyupagantavyaḥ ã kiṃcit gaṇitam	[vastu] viSezeNa | avaSyam ayam arTaH aByupagantavyaH ã kiMcid gaNitam
   iti / anyathā hi mahat gaṇitavastu, aṣṭau vyavahārāḥ	iti / anyaTA hi mahat gaNita vastu, azwO vyavahArAH
   miśraka śreḍhī kṣetra khāta citi krākacika rāśi cchāyābhidhāyinaḥ |	miSraka  SreXI  kzetra KAta citi krAka cika  rASi = CAyA aBiDAyinaH |
   miśrakaḥ iti sakalagaṇitavastusaṃmiśrakaḥ saṃsparśakaḥ iti arthaḥ	miSrakaH iti sakala gaNita vastu saMmiSrakaH saMsparSakaH iti arTaH
   | śreḍhī iti ādyuttarapracitaḥ iti arthaḥ | kṣetram iti	| SreXI iti Adi uttara pracitaH iti arTaH | kzetram iti
   anekāśrikṣetraphalāni ānayati iti arthaḥ | khātaḥ iti khanyapramāṇam	aneka aSri kzetra PalAni Anayati iti arTaH | KAtaH iti Kanya pramANam
   nirdiśati iti arthaḥ | citiḥ iti iṣṭakāpramāṇena uparinicitavastupramāṇam	nirdiSati iti arTaH | citiH iti izwakA pramANena upari nicita vastu pramANam
   āvedayati iti arthaḥ | krākacikam iti, krakacaḥ nama dārucchedakam, tasmin	Avedayati iti arTaH | krAkacikam iti, krakacaH nama dAru= Cedakam, tasmin
   krakace bhavaḥ krākacikaḥ, tadvastupramāṇam avagamayati iti arthaḥ | rāśiḥ	krakace BavaH krAkacikaH, tad vastu pramANam avagamayati iti arTaH | rASiH
   iti dhānyādirūpavastunicitam tadvastupramāṇam janayati iti arthaḥ | chāyā	iti DAnya Adi rUpa vastu nicitam tad vastu pramANam janayati iti arTaH | CAyA
   iti śaṅkvādicchāyāpramāṇena kālam kathayati	iti SaFkvAdi= CAyA pramANena kAlam kaTayati
   iti arthaḥ | iti vyavahāragaṇitasya aṣṭābhidhāyinaḥ catvāri bījāni	iti arTaH | iti vyavahAra gaNitasya azwa aBiDAyinaH catvAri bIjAni
   prathamadvitīyatṛtīyacaturthāni yāvat tāvat vargāvargaghanāghanaviṣamāṇi |	praTama dvitIya tRtIya caturTAni yAvat tAvat varga Avarga GanAGana vizamANi |
   etat ekaikasya granthalakṣaṇalakṣyam maskari pūraṇa mudgala prabhṛtibhiḥ	etat ekEkasya granTa lakzaNa lakzyam maskari  pUraNa  mudgala  praBRtiBiH
   ācāryaiḥ nibaddham kṛtam, sa katham anena ācāryeṇa alpena granthena	AcAryEH nibadDam kRtam, sa kaTam anena AcAryeNa alpena granTena
   śakyate vaktum | tat suṣṭhu uktam asmābhiḥ kiṃcit gaṇitam viśeṣataḥ	Sakyate vaktum | tat suzWu uktam asmABiH kiMcid gaNitam viSezataH
   kālagolau iti | evam iyam āryā vyākhyātā || 1||	kAlagolO iti | evam iyam AryA vyAKyAtAH || 1||
   [ saṃkhyāvinyāse paribhāṣā ]	[ saMKyA vinyAse pariBAzA ]
   yugabhagaṇādisaṅkhyāsaṃkṣepam vivakṣuḥ ācāryaḥ	yugaBagaNa Adi saFKyA saMkzepam vivakzuH AcAryaH
   [pari]bhāṣāsūtrapradarśanāya gītikāsūtram āha ã	[pari]BAzA sUtra pradarSanAya gItikA sUtram Aha ã
   vargākṣarāṇi varge avarge avargākṣarāṇi kāt ṅmau yaḥ |	varga akzarANi varge avarge avarga akzarANi kAt FmO yaH |
   khadvinavake svarāḥ nava varge avarge navānti avarge vā || 2 ||	Ka t vinavake svarAH nava varge avarge navAnti avarge vA || 2 ||
   asya gītisūtrasya padāni ã vargākṣarāṇi, varge, avarge, avargākṣarāṇi,	asya gIti sUtrasya padAni ã varga akzarANi, varge, avarge, avarga akzarANi,
   kāt, ṅmau, yaḥ, khadvinavake, svarāḥ, nava, varge, avarge, nava,	kAt, FmO, yaH, Ka t vinavake, svarAH, nava, varge, avarge, nava,
   atyantavarge, vā |	atyanta varge, vA |
   vargākṣarāṇi, vargākṣarāṇi kakārādīni makāraparyantāni | "te vargāḥ pañca	varga akzarANi, varga akzarANi kakAra AdIni makAra paryantAni | "te vargAH paQca
   pañca" iti [kātantram, 1.1.10 ] | vargākṣaroccāraṇakrameṇa yā saṅkhyā	paQca" iti [kAtantram, 1.1.10 ] | varga akzara uccAraNa krameNa yA saFKyA
   abhidhīyate sā saṅkhyā vargaśabdena ucyate, abhedopacārāt | ataḥ	aBiDIyate sA saFKyA varga Sabdena ucyate, aBeda upacArAt | atas 
   vargākṣarasaṅkhyā iti arthaḥ | sā varge, varge iti gaṇitaśāstre	varga akzara saFKyAH iti arTaH | sA varge, varge iti gaNita SAstre
   viṣamasthānasyāḥ ākhyā, tasmin viṣamasthāne vargākṣarasaṅkhyā upacīyate |	vizama sTAnasyAH AKyA, tasmin vizama sTAne varga akzara saFKyA upacIyate |
   avarge, na vargaḥ avargaḥ samasthānaḥ, tasmin avargasaṃjñite samasthāne |	avarge, na vargaH avargaH sama sTAnaH, tasmin avarga saMjQite sama sTAne |
   avargākṣarāṇi, tāni yakārādīni	avarga akzarANi, tAni yakAra AdIni
   hakāraparyavasānāni | kutaḥ etat? "nañ iva yuktam anyasadṛśādhikaraṇe	hakAra paryavasAnAni | kutas etat? "nan iva yuktam anya sadRSa aDikaraNe
   tathā hy arthagatiḥ" [aṣṭādhyāyī, 3.1.12, pātañjalabhāṣyam] iti |	taTA hi arTa gatiH" [azwa aDyAyI, 3.1.12, pAtaQjala BAzyam] iti |
   vargākṣarāṇi kakārādīni |	varga akzarANi kakAra AdIni |
   yādīnām [tu] yathā abrāhmaṇam ānaya iti ukte brāhmaṇākṛtitulyam eva	yAdInAm [tu] yaTA abrAhmaNam AnayaH iti ukte brAhmaNa AkRti tulyam eva
   kṣatriyam ānayati nāntyajādi, evam atra api kevalam vyañjanānām eva	kzatriyam Anayati na antyaja Adi, evam atra api kevalam vyaQjanAnAm eva
   grahaṇam | teṣām yakārādīnām avargākṣarāṇām yā saṅkhyā sā avargasthāne	grahaNam | tezAm yakAra AdInAm avarga akzarANAm yA saFKyA sA avarga sTAne
   upacīyate | sā [vargākṣarāṇām saṅkhyā] vargasthāne upacīyamānā	upacIyate | sA [varga akzarANAm saFKyA] varga sTAne upacIyamAnA
   avargasthānam api yadā prāpnoti, tadā prāpnuvānā yā teṣām svavargākṣarāṇām	avarga sTAnam api yadA prApnoti, tadA prApnuvAnA yA tezAm sva varga akzarANAm
   upacitiḥ sā vargasthānaḥ eva, tasyāḥ antyopacititvāt |	upacitiH sA varga sTAnaH eva, tasyAH antya upaciti tvAt |
   vargākṣarasaṅkhyāyāḥ vargasthāne	varga akzara saFKyAyAH varga sTAne
   upacīyamānāt avakāśaḥ na asti cet saṅkhyāyāḥ sargaḥ na vidyate iti	upacIyamAnAt avakASaH na asti ced saFKyAyAH sargaH na vidyate iti
