   chap.1.nakSatrakarmaphala 20	Cap.1.nakSatra-karma-Pala 20
   TY_1.7cd/.yady aste hibuke vā tathāpi śatrur hato vācyaḥ//	TY_1.7cd/.yadi aste hibuke vA taTA-api SatruH hataH vAcyaH//
   TY_1.8ab/.praśne manoramā bhūr maṅgalyadravyadarśanaṃ śastam/	TY_1.8ab/.praSne manoramA BUH maFgalya-dravya-darSanam Sastam/
   TY_1.8cd/.yadi cādareṇa pṛcchati daivajño nirdiśed vijayam//	TY_1.8cd/.yadi ca-AdareNa pRcCati dEvajQaH nirdiSet vijayam//
   TY_1.9ab/.nandā bhadrā vijayā riktā pūrṇā ca nāmasadṛśaphalāḥ/	TY_1.9ab/.nandA BadrA vijayA riktA pUrNA ca nAma-sadRSa-PalAH/
   TY_1.9cd/.nyūnasameṣṭā daśame tithayaḥ śukle kṛṣṇe pratīpās tāḥ//	TY_1.9cd/.-nyUna-samezwAH daSame tiTayaH Sukle kRzNe pratIpAH tAH//
   TY_1.10ab/.nakṣatrapuṭākiraṇaṃ paścāt sandhyāgataṃ grahair bhinnam/	TY_1.10ab/.nakzatra-puwa-AkiraNam paScAt sanDyA-gatam grahEH Binnam/
   TY_1.10cd/.krūranipīḍitam utpātadūṣitaṃ cāśubhaṃ sarvam//	TY_1.10cd/.-krUra-nipIxitam utpAta-dUzitam ca-aSuBam sarvam//
   TY_1.11ab/.citrāsvātiviśākhābharaṇīpitryeṣakṛttikāśleṣāḥ/	TY_1.11ab/.-citrA-svAti-viSAKA-ABaraNI-pitri-eza-kRttika-ASlezAH/
   TY_1.11cd/.nātiśubhadāni yāne śeṣāṇi śubhāni dhiṣṇyāni//	TY_1.11cd/.nAti-SuBa-dAni yAne SezANi SuBAni DizNyAni//
   TY_1.12ab/.śatruviṣayaṃ didhakṣor anyatrārkodayāc chubhāgneyī/	TY_1.12ab/.-Satru-vizayam diDakzoH anyatra-arka-udayAt SuBa-AgneyI/
   TY_1.12cd/.na viśākhārohiṇyuttareṣu divasasya pūrvāhṇe//	TY_1.12cd/.na viSAKA-ArohiNI-uttarezu divasasya pUrvAhNe//
   TY_1.13ab/.jyeṣṭhāmūlāśleṣāraudreṣu vivarjayec ca madhyāhṇam/	TY_1.13ab/.jyezWA-mUla-ASlezA-rOdrezu vivarjayet ca maDyAhNam/
   TY_1.13cd/.svātyāśvipuṣyahasteṣv aparāhṇe varjayed yātrām//	TY_1.13cd/.svAtya-aSvi-puzya-hastezu aparAhNe varjayet yAtrAm//
   TY_1.14ab/.maitrendavacitrārevatīṣu yāyāt pradoṣam utsṛjya/	TY_1.14ab/.-mEtra-indavacitra-ArevatIzu yAyAt pradozam utsRjya/
   TY_1.14cd/.pūrveṣu triṣu yāmye pitrye ca vihāya madhyaniśam//	TY_1.14cd/.-pUrvezu trizu yAmye pitrye ca vihAya maDya-niSam//
   TY_1.15ab/.na niśāpaścimabhāge punarvasau triṣu ca vaiṣṇavādyeṣu/	TY_1.15ab/.na niSA-paScima-BAge punarvasO trizu ca vEzNava-Adyezu/
   TY_1.15cd/.sarve 'pi śubhāḥ kālāḥ śravaṇendravahastapuṣyeṣu//	TY_1.15cd/.-sarve api SuBAH kAlAH SravaNa-indra-vahaH-tapuzya-izu//
   TY_1.16ab/.prācyādi sapta sapta kramena dhiṣṇyāni kṛttikādīni/	TY_1.16ab/.-prAcI-a-Adi sapta sapta kramena DizNyAni kRttikA-AdIni/
   TY_1.16cd/.anulomāny ekatvaṃ pūrvottaraś roṇitarayoś ca//	TY_1.16cd/.-anulomAni eka-tvam pUrva-uttaraH roNitarayoH ca//
   TY_1.17ab/.analāniladigrekhāṃ parighākhyāṃ yānti ye samutkramya/	TY_1.17ab/.a-nala-anila-diS-reKAm pariGa-AKyAm yAnti ye samutkramya/
   TY_1.17cd/.ājñām iva kuliśabhṛtaḥ patanti na cireṇa te vyasane//	TY_1.17cd/.AjQAm iva kuliSa-BRtaH patanti na cireNa te vyasane//
   TY_1.18ab/.sarvadvārikasaṃjñaṃ nakṣatracatuṣṭayaṃ samuddiṣṭaṃ/	TY_1.18ab/.-sarvadvArika-saMjQam nakzatra-catuzwayam samuddizwaM/
   TY_1.18cd/.puṣyo hastāśvinyau nakṣatraṃ mitradevaṃ ca//	TY_1.18cd/.-puzyaH hasta-ASvinyO nakzatram mitradevam ca//
   TY_1.19ab/.jyeṣṭhā prāgbhādrapadā rohiṇy athottarā ca phalgunyā/	TY_1.19ab/.jyezWA prAc-BAdrapadA rohiNI aTa-uttarA ca PalgunyA/
   TY_1.19cd/.śūlāni prācyādiṣu teṣu gato 'tyeti yadi citram//	TY_1.19cd/.-SUlAni prAcI-a-Adizu tezu gataH atyeti yadi citram//
   TY_1.20ab/.tārās tu janmasampadvipatkarā kṣemā (?) 'pāyaśubhakaṣṭā/	TY_1.20ab/.tArAH tu janma-sampad-vipat-karA kzemA (?) apAyaSuBa-kazwA/
   TY_1.20cd/.maitrātimaitrasaṃjñāś caitāḥ saṃjñānurūpaphalāḥ//E20	TY_1.20cd/.-mEtra-ati-mEtra-saMjQAH ca-etAH saMjQA-anurUpa-PalAH//E20
   chap.2.dineśaphala	Cap.2.-dineSa-Pala
   TY_2.1ab/.sūryadine dhananāśaś cāndre śaktikṣayo 'nnahāniś ca/	TY_2.1ab/.-sUrya-dine Dana-nASaH cAndre Sakti-kzayaH anna-hAniH ca/
   TY_2.1cd/.jvalanāsṛkpittarujāḥ kauje baudhe suhṛtprāptiḥ//	TY_2.1cd/.-jvalana-asRk-pitta-rujAH kOje bODe suhRd-prAptiH//
   TY_2.2ab/.jīve jayadhanalabdhiḥ śaukre strīvastragandhadhanalābhāḥ/	TY_2.2ab/.jIve jaya-Dana-labDiH SOkre strI-vastra-ganDa-Dana-lABAH/
   TY_2.2cd/.dainyaṃ ca bandharogān prāpnoti dine 'rkaputrasya//	TY_2.2cd/.-dEnyam ca banDa-rogAn prApnoti dine arka-putrasya//
   TY_2.3ab/.upacayakaragrahadine siddhiḥ krūre 'pi yāyināṃ bhavati/	TY_2.3ab/.upacaya-kara-graha-dine sidDiH krUre api yAyinAm Bavati/
   TY_2.3cd/.saumye 'py anupacayasthe na bhavati yātrā śubhā yātuḥ//E3	TY_2.3cd/.-sOmye api anupacaya-sTe na Bavati yAtrA SuBA yAtuH-//E3
   chap.3.muhūrtakarmaguṇa	Cap.3.-muhUrta-karma-guNa
   TY_3.1ab/.garavaṇijā(ja)viṣṭi(pari)varjitāni karaṇāni yātur	TY_3.1ab/.gara-vaNija-a(ja)vizwi(-pari)varjitAni karaNAni yAtuH-
   aniṣṭāni(iṣṭāni)/	anizwA-ni(izwAni)/
   TY_3.1cd/.garam api kaiś cic chastaṃ vaṇijā(jāṃ) ca vaṇikkriyāsv eva//	TY_3.1cd/.garam api kEH cit Sastam vaNijA(jAM) ca vaNij-kriyAsu eva//
   TY_3.2ab/.śivabhujagamitrapitṛvasujalaviśvaviriñcipaṅkajaprabhavāḥ/	TY_3.2ab/.-Siva-Bujaga-mitra-pitR-vasu-jala-viSva-viriQci-paFkaja-praBavAH/
   TY_3.2cd/.indrāgnīndraniśācaravaruṇāryyamayonayaś cāhni//	TY_3.2cd/.indra-agni-indra-niSAcara-varuNa-arI-yama-yonayaH ca-ahni//
   TY_3.3ab/.rudrājāhirbudhnyāḥ pūṣā dakhāntakāgnidhātāraḥ/	TY_3.3ab/.rudra-aja-ahirbuDnyAH pUzA daKAntaka-agni-DAtAraH/
   TY_3.3cd/.indvaditiguruhariravitvaṣṭranilākhyāḥ kṣaṇā rātrau//	TY_3.3cd/.indva-diti-guru-hari-ravi-tvazwR-a-nila-AKyAH kzaNAH rAtrO//
   TY_3.4ab/.ahnaḥ pañcadaśāṃśo rātreś caivaṃ muhūrta iti saṃjñā/	TY_3.4ab/.ahnaH paQcadaSa-aMSaH rAtreH ca-evam muhUrtaH iti saMjQA/
   TY_3.4cd/.sa ca vijñeyas tajjñaiś chāyāyantrāmbubhir yuktyā//	TY_3.4cd/.sa ca vijQeyaH tad-jQEH CAyAyantra-ambuBiH yuktyA//
   TY_3.5ab/.nakṣatravat kṣaṇānāṃ parighādi tadīśvaraiḥ samaṃ cintyam/	TY_3.5ab/.nakzatra-vat kzaNAnAm pariGa-Adi tad-ISvarEH samam cintyam-/
   TY_3.5cd/.phalam api tad eva dṛṣṭaṃ gargādyais tatra ca ślokāḥ//	TY_3.5cd/.-Palam api tat eva dRzwam garga-AdyEH tatra ca SlokAH//
   TY_3.6ab/.ahorātraṃ ca saṃpūrṇaṃ candranakṣatrayojitam/	TY_3.6ab/.ahorAtram ca saMpUrNam candra-nakzatra-yojitam/
   TY_3.6cd/.tannakṣatramuhūrttāś ca samakarmaguṇāḥ smṛtāḥ//	TY_3.6cd/.-tad-nakzatra-muhUrttAH ca sama-karma-guNAH smRtAH//
   TY_3.7ab/.yaś cāṣṭamo muhūrto viriñcināmābhijit sa nirdiṣṭaḥ/	TY_3.7ab/.yaH ca-azwamaH muhUrtaH viriQci-nAmA-aBijit sa nirdizwaH/
   TY_3.7cd/.tasmiṃs trya (lacuna) yāmyām atyantagatasya jayalabdhiḥ//	TY_3.7cd/.-tasmin tryaH (lacuna) yAmyAm atyanta-gatasya jaya-labDiH//
   TY_3.8ab/.aṣṭamena divase same śubho yo	TY_3.8ab/.azwamena divase same SuBaH yaH-
   viriñcivibhusaṃjñitāḥ(taḥ)(add.kṣaṇaḥ)/	viriQci-viBu-saMjQitAH(taH)(add.kzaNaH)/
   TY_3.8cd/.tena yānam apahāyi(ya)dakṣiṇāṃ sarvadikṣu	TY_3.8cd/.tena yAnam apahAyi(ya)-dakziNAm sarva-dikzu
   a(kṣvabhi)jit(tā)praśasyate//E8	a(kzu-aBi)jit(tA)-praSasyate//E8
   chap.4.candraphala	Cap.4.candra-Pala
   TY_4.1ab/.upacayagṛhasaptamagaḥ śubhaḥ śaśī janmabhe 'pi yātrāyām/	TY_4.1ab/.upacaya-gRha-saptama-gaH SuBaH SaSI janma-Be api yAtrAyAm/
   TY_4.1cd/.upajayakarayukto vā śubhamadhye śubham upāsajña(?)//	TY_4.1cd/.-upajaya-kara-yuktaH vA SuBa-maDye SuBam upAsa-jQa(?)//
   TY_4.2ab/.janmatriṣaḍekādaśasaptamago 'pi neṣyate candraḥ/	TY_4.2ab/.janma-trizaz-ekAdaSa-saptama-gaH api na-izyate candraH/
   TY_4.2cd/.pañcamanavamantyāṣṭa(ma)caturdvivedhavān iṣṭaphalaḥ//	TY_4.2cd/.-paQcam-anavamantyA-azwa(ma)catur-dvi-veDavAn izwa-PalaH//
   TY_4.3ab/.sitapakṣādau candre śubhe śubhaṃ pakṣam aśubham aśubhe ca/	TY_4.3ab/.sita-pakza-AdO candre SuBe SuBam pakzam aSuBam aSuBe ca/
   TY_4.3cd/.kṛṣṇe gocaraśubhado na śubhaṃ pakṣa(kṣe) śubham atonyat//E3	TY_4.3cd/.-kRzNe gocara-SuBa-daH na SuBam pakza(kze) SuBam atonyat//E3
   chap.5.lagnaviśuddhi	Cap.5.-lagna-viSudDi
   TY_5.1ab/.iṣṭaṃ svajanmalagnaṃ na janmarāśyudgamas tayoḥ sthānāt/	TY_5.1ab/.izwam sva-janma-lagnam na janma-rASi-udgamaH tayoH sTAnAt-/
   TY_5.1cd/.tryāyagṛhāni (lacuna) hitāny udaye neṣṭāni śeṣāṇi//	TY_5.1cd/.-tryAya-gRhAni (lacuna) hitAni udaye na-izwAni SezANi//
   TY_5.2ab/.ripunaidhane ripuvadho (ripu)ṣaṣṭa(ṣṭhe) lagnage vadho yātuḥ/	TY_5.2ab/.ripu-nA-eDane ripu-vaDaH (ripu)zazwa(zWe) lagna-ge vaDaH yAtuH/
   TY_5.2cd/.kecij jagus tathādite ku(krū)repāḥ sthāne//	TY_5.2cd/.kecid jaguH taTA-Adite ku(krU)repAH sTAne//
   TY_5.3ab/.āye janmani rāśiṣu yeṣu śubhā bhāskaradvitīyai//	TY_5.3ab/.Aye janmani rASizu yezu SuBA BAskara-dvitIyE//
   TY_5.3cd/.te lagne śasyante neṣṭāḥ pāpagrahāpyu(lacuna)//	TY_5.3cd/.te lagne Sasyante na-izwAH pApa-graha-api-u(-lacuna)//
   TY_5.4ab/.śīrṣodayeṣu vijayo bhaṅgaḥ ṣaṣṭhodayeṣu lagneṣu/	TY_5.4ab/.SIrza-udayezu vijayaH BaFgaH zazWa-udayezu lagnezu/
   TY_5.4cd/.diganuddhāreṣu jayo vidvāraṣv āvaho(have)bhaṅgaḥ//	TY_5.4cd/.diS-anudDArezu jayaH vidvArazu Avaho(have)BaFgaH//
   TY_5.5ab/.mīne kuṭilo mārgo bhavati tadasenya(tya)śaśilagne (pi)/	TY_5.5ab/.mIne kuwilaH mArgaH Bavati tat-asenya(ti-a)Sa-Silagne (pi)/
   TY_5.5cd/.nauyānam āpyalagnakāryaṃ tu tannavāṃśe vā//E5	TY_5.5cd/.-nOyAnam Apya-lagna-kAryam tu tad-nava-aMSe vA//E5
   chap.6.lagnabheda	Cap.6.-lagna-Beda
   TY_6.1ab/.senduṣyabhe navāṅgau krūrāṇānirgavignasthaḥ?/	TY_6.1ab/.sa-induzyaBe nava-aFgO krUrANa-anirga-vigna-sTaH?/
   TY_6.1cd/.yauvanadurlalitair iva vicakṣaṇo 'ntyeṣu divaseṣu//	TY_6.1cd/.-yOvana-durlalitEH iva vicakzaNaH antyezu divasa-izu//
   TY_6.2ab/.puṣṭir bhavati yiyāsoḥ śubhagrahāṇāṃ navāṅgalagneṣu/	TY_6.2ab/.puzwiH Bavati yiyAsoH SuBa-grahANAm nava-aFga-lagnezu/
   TY_6.2cd/.yauvanakāntāram iva pratītya kuśalena dharmavatām//	TY_6.2cd/.-yOvana-kAntAram iva pratItya kuSalena DarmavatAm//
   TY_6.3ab/.saumye navaṅgakalagne ripubalabhogaṃ karoty asāhāryam/	TY_6.3ab/.-sOmye navaFgaka-lagne ripu-bala-Bogam karoti asAhAryam/
   TY_6.3cd/.yadyasya phalaṃ divasis tadaśeṣaṃ kālahorāyām//	TY_6.3cd/.yat-yasya Palam divasiH tad-aSezam kAlahorAyAm//
   TY_6.4ab/.upacayakarasya vargaṃ kū(krū)rasyāpi praśasyate lagno(gne)/	TY_6.4ab/.upacaya-karasya vargam kU(krU)rasyA-api praSasyate lagnaH-(gne)/
   TY_6.4cd/.candre pādadyukte(?) tantrādhipatesya(śca)saumyasya//	TY_6.4cd/.candre pAdadyukte(?) tantra-aDipatesya(H-ca)-sOmyasya//
   TY_6.5ab/.ityaṣṭamagāḥ pāpā vivarjā(rja)ye(da)ṣṭamaṃ vilagnaṃ ca/	TY_6.5ab/.iti-azwama-gAH pApAH vivarjA(rja)ye(da)zwamam vilagnam ca/
   TY_6.5cd/.candra(drop.)candrañca (lacuna) nidhanasthaṃ	TY_6.5cd/.-candra(drop.)candraQca (lacuna) niDana-sTam
   sarvārambhaḥ(mbha)prayogeṣu//	sarva-AramBaH(mBa)-prayoga-izu//
   TY_6.6ab/.lagnena rahitā yātrā yosetonmanta(yā saivonmatta?)bhāminī/	TY_6.6ab/.lagnena rahitA yAtrA yaH-seta-unmanta(yA sA-eva-unmatta?)-BAminI/
   TY_6.6cd/.durjānaṃ(taṃ)jani(na)māsādya yāty abhāvaḥ(vaṃ)śanaiḥ śanaiḥ//	TY_6.6cd/.-durjAnaM(taM)ja-ni(na)m-a-AsAdya yAti aBAvaH(vaM)SanEH SanEs-//
   TY_6.7ab/.lagnapradhāna(nā) yā yātrā śīlenaiva kulāṅganā/	TY_6.7ab/.lagna-praDAna(nA) yA yAtrA SIlena-eva kula-aFganA/
   TY_6.7cd/.bhāvāstamantra(nu)hartante guṇa(ṇā)rūpam ivottamaḥ(māḥ)//E7	TY_6.7cd/.-BAva-astamantra-(nu)hartante guNa(NA)rUpam iva-uttamaH(mAH)//E7
   chap.7.grahaviśuddhiḥ	Cap.7.graha-viSudDiH
   TY_7.1ab/.lagnopagataiḥ saumyair ārogyaṃ bhavati cittasaukhyañ ca/	TY_7.1ab/.-lagna-upagatEH sOmyEH Arogyam Bavati citta-sOKyan ca/
   TY_7.1cd/.arthasthair arthacayo yodhavivṛddhis tṛtīyasthaiḥ//	TY_7.1cd/.arTa-sTEH arTa-cayaH yoDa-vivRdDiH tRtIya-sTEH//
   TY_7.2ab/.vāhanasuhṛdāṃ vṛddhiś caturthagaiḥ pañcagaiś ca mantribalam/	TY_7.2ab/.vAhana-suhRdAm vRdDiH caturTa-gEH paQca-gEH ca mantri-balam/
   TY_7.2cd/.ripunāśaḥ ṣaṣṭhasthaiḥ bhṛguvarjaṃ saptameṣu hitāḥ//	TY_7.2cd/.ripu-nASaH zazWa-sTEH BRgu-varjam saptamezu hitAH//
   TY_7.3ab/.rakṣanty āyunni(rni)dhane śaśivarjaṃ navamabheṣu vasusampat/	TY_7.3ab/.rakzanti Ayut-ni(rni)Dane SaSi-varjam navama-Bezu vasu-sampat/
   TY_7.3cd/.karmaṇi siddhir lābho balasampātaś ca daśamādyaiḥ//	TY_7.3cd/.karmaNi sidDiH lABaH bala-sampAtaH ca daSama-AdyEH//
   TY_7.4ab/.bhaumārkārkiśaśāṅkair lagne vadhabandhamaraṇasantrāsāḥ/	TY_7.4ab/.BOma-arka-Arki-SaSAFkEH lagne vaDa-banDa-maraNa-santrAsAH/
   TY_7.4cd/.arthakṣayo dvitīyais tṛtīyasaṃsthair yaśo dyutimat//	TY_7.4cd/.arTa-kzayaH dvitIyEH tRtIya-saMsTEH yaSaH dyutimat//
   TY_7.5ab/.vāhanabandhuviyogo mantrakhāvo ripukṣayaś ceti/	TY_7.5ab/.vAhana-banDu-viyogaH mantra-KAvaH ripu-kzayaH ca-iti/
   TY_7.5cd/.hibukādiṣu saptamagaiḥ svaviṣayanāśo bhṛgusute ca//	TY_7.5cd/.-hibuka-Adizu saptama-gEH sva-vizaya-nASaH BRgusute ca//
   TY_7.6ab/.mṛtyur nidhanopagataiḥ senāvyasanaṃ mahan navamasaṃsthaiḥ/	TY_7.6ab/.mRtyuH niDana-upagatEH senA-vyasanam mahat navama-saMsTEH/
   TY_7.6cd/.kujasūryau daśamasthau jayadau bhaṅgapradaḥ sauriḥ//	TY_7.6cd/.-kuja-sUryO daSama-sTO jaya-dO BaFga-pradaH sOriH//
   TY_7.7ab/.jayam ekādaśasaṃsthaiḥ krūrair antyopagaiḥ svabalabhedaḥ/	TY_7.7ab/.jayam ekAdaSa-saMsTEH krUrEH antya-upagEH sva-bala-BedaH/
   TY_7.7cd/.upacayavarjaṃ saumyair yātuḥ pāpair viparyastam//	TY_7.7cd/.-upacaya-varjam sOmyEH yAtuH pApEH viparyastam//
   TY_7.8ab/.krūro 'py anukūlasthaḥ śasto lagne śubho 'pi vāniṣṭaḥ/	TY_7.8ab/.krUraH api anukUla-sTaH SastaH lagne SuBaH api vA-anizwaH/
   TY_7.8cd/.vakrī na śubhaḥ kendre tadahas tadvargalagnañ ca//	TY_7.8cd/.vakrI na SuBaH kendre tat-ahar tad-varga-lagnan ca//
   TY_7.9ab/.sāmapatī jīvasitau bhedasya tu rāhuketubudhasaurāḥ/	TY_7.9ab/.sAma-patI jIva-sitO Bedasya tu rAhu-ketu-buDa-sOrAH/
   TY_7.9cd/.daṇḍasyārkakṣitijābudha(v atha) pradānasya śītāṃśuḥ//	TY_7.9cd/.-daNxasya-arka-kziti-jAbuDa(u aTa) pradAnasya SItAMSuH//
   TY_7.10ab/.āṭaviko(ka)deśaripumantrimauli(ka)śreṇibhṛtakavīryeśāh/	TY_7.10ab/.Awa-viko(ka-)deSa-ripu-mantri-mOli(ka)-SreNi-BRtaka-vIrya-ISa-ah/
   TY_7.10cd/.sūryādibhir anukūlais tad udayavargaiś ca tatsiddhiḥ//	TY_7.10cd/.-sUrya-AdiBiH anukUlEH tat udaya-vargEH ca tad-sidDiH//
   TY_7.11ab/.nīcasthā grahavijitā ravyabhibhūtā viraśmayo hrasvāḥ/	TY_7.11ab/.nIca-sTAH graha-vijitAH ravi-aBiBUtAH viraSmayaH hrasvAH/
   TY_7.11cd/.bhujagā iva mantrahatā bhavanty akāryakṣamā lagne//	TY_7.11cd/.-BujagAH iva mantra-hatAH Bavanti akArya-kzamA lagne//
   TY_7.12ab/.yeṣāṃ game navamapañcamakaṇṭakasthāḥ saumyās	TY_7.12ab/.yezAm game navama-paQcama-kaNwaka-sTAH sOmya-as
   trītīyaripulābhagatāś ca pāpāḥ/	trItIya-ripu-lABa-gatAH ca pApAH/
   TY_7.12cd/.āyānti te svabhavanāni punaḥ kṛtārthāḥ dattā dvijātiṣu tathā	TY_7.12cd/.AyAnti te sva-BavanAni punar kRtArTAH dattA dvijAtizu taTA
   vidhivad yathārthāḥ//	viDivat yaTArTAH//
   TY_7.13ab/.ekasminn api kendre yadi saumyo na graho 'sti yātrāyām/	TY_7.13ab/.ekasmin api kendre yadi sOmyaH na grahaH asti yAtrAyAm/
   TY_7.13cd/.janmany atha vā karmaṇi na tac chubhaṃ prāhur ācāryāḥ//	TY_7.13cd/.-janmani aTa vA karmaNi na tat SuBam prAhuH AcAryAH//
   TY_7.14ab/.rāhvarkāraśikhisitā yāyina iti śarvarīśa ākrandaḥ/	TY_7.14ab/.rAhu-arkAra-SiKi-sitAH yAyinaH iti SarvarI-ISaH AkrandaH/
   TY_7.14cd/.gurubudhhasaurāḥ paurāḥ pauraḥ sūryo 'pi pūrvāhṇe//	TY_7.14cd/.-guru-buDha-sOrAH pOrAH pOraH sUryaH api pUrvAhNe//
   TY_7.15ab/.yāyibhir anukūlasthair yānaṃ paurair vigṛhya cāsīnam/	TY_7.15ab/.yAyiBiH anukUla-sTEH yAnam pOrEH vigRhya ca-AsInam-/
   TY_7.15cd/.pauretarair api śubhair yāyād ardhena sainyasya//	TY_7.15cd/.-pOra-itarEH api SuBEH yAyAt arDena sEnyasya//
   TY_7.16ab/.sarvair apy aśubhakaraiḥ śubhadaivaṃ saṃśrayet pradhānanṛpam/	TY_7.16ab/.-sarvEH api aSuBa-karEH SuBa-dEvam saMSrayet praDAna-nRpam/
   TY_7.16cd/.balasiddhiḥ saumyaphalair balibhiḥ krūrair jayo yuddhe//E16	TY_7.16cd/.-bala-sidDiH sOmya-PalEH baliBiH krUrEH jayaH yudDe//E16
   chap.8.diggrahānulomyaḥ	Cap.8.diggraha-AnulomyaH
   TY_8.1ab/.ayanānukūlagamanaṃ hitam arkendvor dvayor asaṃpattau/	TY_8.1ab/.ayana-anukUla-gamanam hitam arka-indvoH dvayoH asaMpattO/
   TY_8.1cd/.dyuniśaṃ jayāya yāyād viparyaye kleśabhaṅgavadhāḥ//	TY_8.1cd/.dyuniSam jayAya yAyAt viparyaye kleSa-BaFga-vaDAH//
   TY_8.2ab/.udito yato yataś ca bhramaṇe yadvārabheṣu cāragate/	TY_8.2ab/.uditaH yatas yatas ca BramaNe yat-vAraBezu cAra-gate/
   TY_8.2cd/.tadri?bidhaṃ pratiśukraṃ tyājyas tatrodayo yatnāt//	TY_8.2cd/.-tadri?biDam pratiSukram tyAjyaH tatra-udayaH yatna-at//
   TY_8.3ab/.na pratiśukre siddhiṃ svalpo 'py arthaḥ prayāti yātṛṇām/	TY_8.3ab/.na pratiSukre sidDim su-alpaH api arTaH prayAti yAtRNAm/
   TY_8.3cd/.kāmaṃ vrajet pratibhṛguṃ jijīviṣur nāstage śukre//	TY_8.3cd/.-kAmam vrajet pratiBRgum jijIvizuH na-asta-ge Sukre//
   TY_8.4ab/.kaluṣi vapuṣi grahahate pratilome nīcage 'stage ca bhṛgau/	TY_8.4ab/.kaluzi vapuzi graha-hate pratilome nIca-ge asta-ge ca BRgO/
   TY_8.4cd/.balasaṃpanno 'pi nṛpo yātā śatror vaśaṃ yāti//	TY_8.4cd/.-bala-saMpannaH api nRpaH yAtA SatroH vaSam yAti//
   TY_.add8.1a/.[[lalāṭo(ṭe) 'gnibhayaṅkaro 'diti(tidi)nakṛt kośakṣayaṃ	TY_.add8.1a/.[[lala-Awo(we) agni-BayaFkaraH aditi(ti-di)na-kRt koSa-kzayam
   lohitaḥ	lohitaH
   TY_.add8.1b/.[śatrūṇāṃ vijaya(yaṃ) śaśāṅkatanayaḥ sainyopabhebhaṃ(daṃ)	TY_.add8.1b/.[-SatrUNAm vijaya(yaM) SaSAFka-tanayaH sEnya-upaBeBan(daM)
   guruḥ/	guruH/
