   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   abhrāntau tatra dharmādi- VMv_1.20c	aBrAntO tatra Darma-Adi VMu-_1.20c
   amuktānāṃ ca sarveṣāṃ VMv_1.4c	amuktAnAm ca sarvezAm VMu-_1.4c
   amuṣmād anyathābhāve VMv_1.29c	amuzmAt anyaTA-aBAve VMu-_1.29c
   amṛtaṃ jīvanopāyas VMv_4.52c	amRtam jIvana-upAyaH VMu-_4.52c
   ameghe vidyutaṃ paśyet VMv_1.64c	ameGe vidyutam paSyet VMu-_1.64c
   amlāditvaṃ ca rasato VMv_1.114a	amla-Adi-tvam ca rasataH VMu-_1.114a
   ayaṃ mantro daśākṣaraḥ VMv_3.62d	ayam mantraH daSa-akzaraH VMu-_3.62d
   ayācitānnapānādi- VMv_4.36a	ayAcita-anna-pAna-Adi VMu-_4.36a
   ariṣṭānām anantatvān VMv_1.18a	arizwAnAm ananta-tvAn VMu-_1.18a
   arundhatīṃ rohiṇīṃ ca VMv_1.72a	arunDatIm rohiNIm ca VMu-_1.72a
   ardhaṃ yasya kalevaram VMv_1.79b	arDam yasya kalevaram VMu-_1.79b
   ardhaṃ śītaṃ tathā coṣṇam VMv_1.79a	arDam SItam taTA ca-uzNam VMu-_1.79a
   alpanidro bahudhyāno VMv_4.3c	alpa-nidraH bahu-DyAnaH VMu-_4.3c
   alpāyur api dīrghāyuḥ VMv_3.12a	alpa-AyuH api dIrGa-AyuH VMu-_3.12a
   aśabdajapalakṣeṇa VMv_4.54a	aSabda-japa-lakzeNa VMu-_4.54a
   aśabdo japa ucyate VMv_4.53d	aSabdaH japaH ucyate VMu-_4.53d
   aśvayuṅmāsasaṃkrānti- VMv_2.22a	aSvayuj-mAsa-saMkrAnti VMu-_2.22a
   aṣṭakoṣṭhakam aṣṭābhir VMv_4.31a	azwa-kozWakam azwABiH VMu-_4.31a
   aṣṭādaśadinād ūrdhvaṃ VMv_1.81c	azwAdaSa-dinAt UrDvam VMu-_1.81c
   aṣṭādaśāhaṃ ṣaṭtriṃśad- VMv_2.48a	azwAdaSa-aham zawtriMSad VMu-_2.48a
   aṣṭāhaṃ cet tribhir varṣair VMv_2.43a	azwa-aham ced triBiH varzEH VMu-_2.43a
   asimusalaparaśu- VMv_4.11c	asi-musala-paraSu VMu-_4.11c
   asyaiva kṛṣṇarūpasya VMv_4.46a	asya-eva kRzNa-rUpasya VMu-_4.46a
   ahiṃsā paramo dharmaḥ VMv_3.11a	ahiMsA paramaH DarmaH VMu-_3.11a
   ahorātratrayād ūrdhvaṃ VMv_1.36c	ahorAtra-trayAt UrDvam VMu-_1.36c
   ahorātrān na saṃśayaḥ VMv_2.16d	ahorAtrAt na saMSayaH VMu-_2.16d
   ahorātreṇa sattvānāṃ VMv_4.51c	ahorAtreNa sattvAnAm VMu-_4.51c
   ākāram uccaret pūrvaṃ VMv_3.40a	AkAram uccaret pUrvam VMu-_3.40a
   ākāśadohanadhyānam VMv_4.72a	AkASa-dohana-DyAnam VMu-_4.72a
   ākāśadhenor ādohāt VMv_4.70a	AkASa-DenoH AdohAt VMu-_4.70a
   ākāśam iva taṃ mṛtyuḥ VMv_4.72c	AkASam iva tam mRtyuH VMu-_4.72c
   āgamoktam idaṃ siddhaṃ VMv_3.80a	Agama-uktam idam sidDam VMu-_3.80a
   ācaret satataṃ yogī VMv_3.78c	Acaret satatam yogI VMu-_3.78c
   āṭānāṭīyakaṃ tathā VMv_3.23b	AwAnAwIyakam taTA VMu-_3.23b
   ātmanaiva hi yaḥ paśyet VMv_1.77c	AtmanA-eva hi yaH paSyet VMu-_1.77c
   ātmano yadi paśyati VMv_1.119b	AtmanaH yadi paSyati VMu-_1.119b
   ātmānam īdṛśaṃ svapne VMv_1.136c	AtmAnam IdRSam svapne VMu-_1.136c
   ādadyād dharmasaṃvalam VMv_1.54d	AdadyAt Darma-saMvalam VMu-_1.54d
   ādarādiviśeṣitam VMv_4.83b	Adara-Adi-viSezitam VMu-_4.83b
   ādāyāsecayen muhuḥ VMv_4.71b	AdAya-Asecayet muhur VMu-_4.71b
   ādau kṛtvā dinārdhaṃ sakaladinam athā-harniśaṃ yāvad eva VMv_2.52a	AdO kRtvA dina-arDam sakala-dinam aTa-A-harniSam yAvat eva VMu-_2.52a
   ādau dharmaparo bhūyān VMv_3.7a	AdO Darma-paraH BUyAn VMu-_3.7a
   ādhidaivika ucyate VMv_1.15b	ADidEvikaH ucyate VMu-_1.15b
   ādhibhautika ucyate VMv_1.16b	ADiBOtikaH ucyate VMu-_1.16b
   ādhyātmikam idānīṃ tu VMv_4.1a	ADyAtmikam idAnIm tu VMu-_4.1a
   ānāpānasmṛter vātha VMv_4.50a	Ana-apAnasmRteH vA-aTa VMu-_4.50a
   āntaraṃ dhyānakarmabhiḥ VMv_3.2b	Antaram DyAna-karmaBiH VMu-_3.2b
   āntaraṃ yogaśaktibhiḥ VMv_3.2d	Antaram yoga-SaktiBiH VMu-_3.2d
   āpādatalaparyantaṃ VMv_4.61a	ApAda-tala-paryantam VMu-_4.61a
   āpūrya mukhakoṭaram VMv_1.88b	ApUrya muKa-kowaram VMu-_1.88b
   āptam ataḥ kuśalaṃ yad amṛtyus VMv_4.101c	Aptam atas kuSalam yat amRtyuH VMu-_4.101c
   ābaddhavajraparyaṅkaṃ VMv_4.19c	AbadDa-vajra-paryaFkam VMu-_4.19c
   ābaddhavajraparyaṅkāṃ VMv_4.28c	AbadDa-vajra-paryaFkAm VMu-_4.28c
   āyurindriyacittānāṃ VMv_1.5a	AyuH-indriya-cittAnAm VMu-_1.5a
   āyur nityaṃ vivardhate VMv_3.20d	AyuH nityam vivarDate VMu-_3.20d
   āyurmaṇidharo vāpi VMv_3.36c	AyuH-maNiDaraH vA-api VMu-_3.36c
   āyurvṛddhir jarāroga- VMv_3.69c	AyuH-vRdDiH jarA-roga VMu-_3.69c
   āyuṣaḥ prāṇavāyoś ca VMv_2.54c	AyuzaH prANa-vAyoH ca VMu-_2.54c
   āyuṣo vṛddhir āpyate VMv_3.18d	AyuzaH vRdDiH Apyate VMu-_3.18d
   āryamahāpratisarā- VMv_3.56a	Arya-mahA-pratisarA VMu-_3.56a
   āryamahāpratisarā- VMv_3.59c	Arya-mahA-pratisarA VMu-_3.59c
   āṣāḍhapuṣyayor ante VMv_1.34a	AzAXapuzyayoH ante VMu-_1.34a
   āṣāḍhasaṃkrāntidine VMv_1.27a	AzAXa-saMkrAnti-dine VMu-_1.27a
   āṣāḍhāt kramaśo vṛddhiḥ VMv_1.31a	AzAXAt kramaSas vRdDiH VMu-_1.31a
   āṣāḍhāntadinair ebhiḥ VMv_1.35a	AzAXa-anta-dinEH eBiH VMu-_1.35a
   āṣāḍhān makarāvadheḥ VMv_1.30b	AzAXAt makara-avaDeH VMu-_1.30b
   āsannam api dūrasthaṃ VMv_3.29c	Asannam api dUra-sTam VMu-_3.29c
   āsaṃsāraṃ na mṛtyubhāk VMv_4.20d	AsaMsAram na mRtyu-BAj VMu-_4.20d
   itaratra vikālakam VMv_2.32d	itaratra vikAlakam VMu-_2.32d
   itaś cetaś ca bahudhā VMv_2.17a	itas ca-itas ca bahuDA VMu-_2.17a
   iti karmavicitratā VMv_1.89d	iti karma-vicitra-tA VMu-_1.89d
   iti kālavicakṣaṇāḥ VMv_2.25d	iti kAla-vicakzaNAH VMu-_2.25d
   iti cintāparā mṛtāḥ VMv_4.96d	iti cintA-parAH mRtAH VMu-_4.96d
   iti jñānasamanvitaḥ VMv_4.7d	iti jQAna-samanvitaH VMu-_4.7d
   iti dhyānaikacetanaḥ VMv_4.6d	iti DyAna-eka-cetanaH VMu-_4.6d
   iti nigaditam etad vañcanaṃ mṛtyuśatroḥ VMv_4.98a	iti nigaditam etat vaQcanam mRtyu-SatroH VMu-_4.98a
   iti paśyed anityatām VMv_1.119d	iti paSyet anitya-tAm VMu-_1.119d
   iti puṇyakriyāparaḥ VMv_4.5b	iti puNya-kriyA-paraH VMu-_4.5b
   iti vidhāya bahiṣkriyam ādarān VMv_3.83a	iti viDAya bahizkriyam AdarAn VMu-_3.83a
   iti vīryapuraḥsaraḥ VMv_4.6b	iti vIrya-puraHsaraH VMu-_4.6b
   iti śraddhāvivardhakaḥ VMv_4.5d	iti SradDA-vivarDakaH VMu-_4.5d
   iti saṅgavivarjitaḥ VMv_4.7b	iti saFga-vivarjitaH VMu-_4.7b
   ity āgamavicakṣaṇāḥ VMv_1.118d	iti Agama-vicakzaNAH VMu-_1.118d
   ityādi leśato dharmaḥ VMv_3.33a	ityAdi leSataH DarmaH VMu-_3.33a
   ity āntarāṇy api mayā kathitāni mṛtyor VMv_2.55a	iti AntarANi api mayA kaTitAni mRtyoH VMu-_2.55a
   idaṃ kartāsmi śvaḥ punar idam idaṃ cāsya parato VMv_4.97a	idam kartAsmi Svas punar idam idam ca-asya paratas VMu-_4.97a
   idaṃ nityaṃ samācaret VMv_4.72b	idam nityam samAcaret VMu-_4.72b
   idaṃ maraṇavañcanam VMv_4.100d	idam maraNa-vaQcanam VMu-_4.100d
   idānīm āntaraṃ mṛtyor VMv_2.1a	idAnIm Antaram mRtyoH VMu-_2.1a
   indranīlamaṇicchāyān VMv_1.91a	indranIla-maNi=-CAyAn VMu-_1.91a
   indriyāṇi na gṛhṇanti VMv_1.62a	indriyANi na gRhNanti VMu-_1.62a
   iṣṭakādipradānataḥ VMv_3.19b	izwakA-Adi-pradAnataH VMu-_3.19b
   īpsitārthapradānena VMv_3.16c	Ipsita-arTa-pradAnena VMu-_3.16c
   uktvā vairocanaṃ pūrvaṃ VMv_3.42a	uktvA vErocanam pUrvam VMu-_3.42a
   uktvendriyabalaśabdaṃ VMv_3.58c	uktvA-indriya-bala-Sabdam VMu-_3.58c
   ucyate śāstrasaṃgatam VMv_1.3d	ucyate SAstra-saMgatam VMu-_1.3d
   uttarābhimukhasthasya VMv_1.27c	uttara-aBimuKa-sTasya VMu-_1.27c
   udghāta iti saṃjñaiṣā VMv_4.63a	udGAtaH iti saMjQA-ezA VMu-_4.63a
   udghātas trividho mataḥ VMv_4.62d	udGAtaH triviDaH mataH VMu-_4.62d
   udghāto 'sau mato hīno VMv_4.66c	udGAtaH asO mataH hInaH VMu-_4.66c
   udvego vā bhayādi vā VMv_2.18d	udvegaH vA Baya-Adi vA VMu-_2.18d
   unneyā vṛddhir āyuṣaḥ VMv_4.55b	unneyA vRdDiH AyuzaH VMu-_4.55b
   upāyakuśalo bhūtvā VMv_4.55c	upAya-kuSalaH BUtvA VMu-_4.55c
   upāyair jīvitaṃ dīrghaṃ VMv_1.5c	upAyEH jIvitam dIrGam VMu-_1.5c
   upāyair yuktiyojitaiḥ VMv_1.8b	upAyEH yukti-yojitEH VMu-_1.8b
   ubhayakṣobhato mṛtyur VMv_1.17a	uBaya-kzoBatas mRtyuH VMu-_1.17a
   ubhayakṣobho vajrādi- VMv_1.17c	uBaya-kzoBaH vajra-Adi VMu-_1.17c
   ubhayājjo nigadyate VMv_1.17b	uBayAt-jaH nigadyate VMu-_1.17b
   ubhayor api mārgayoḥ VMv_2.15b	uBayoH api mArgayoH VMu-_2.15b
   ubhayor niścayān mṛtyur VMv_2.3a	uBayoH niScayAt mRtyuH VMu-_2.3a
   ulkāyāḥ patanaṃ tathā VMv_1.65b	ulkAyAH patanam taTA VMu-_1.65b
   uṣṇīṣagarbhacaityādi- VMv_3.27a	uzNIza-garBa-cEtya-Adi VMu-_3.27a
   ūnatriṃśaddinaṃ vahet VMv_2.38b	UnatriMSat-dinam vahet VMu-_2.38b
   ūnaviṃśati ced aṣṭa- VMv_2.48c	UnaviMSati ced azwa VMu-_2.48c
   ūrṇāsthāne pravedhanāt VMv_1.41d	UrNA-sTAne praveDanAt VMu-_1.41d
   ūrdhvādhobhyāṃ saṃpuṭayogaṃ VMv_3.73a	UrDva-aDoByAm saMpuwa-yogam VMu-_3.73a
   ūṃ oṃ mṛtyuñjaya oṃ syād VMv_3.62c	Um om mRtyuQjaya om syAt VMu-_3.62c
   ṛtumatkanyānarayoḥ VMv_3.74c	Rtumat-kanyA-narayoH VMu-_3.74c
   ekadvitricatuḥpañca- VMv_2.13a	eka-dvi-tri-catur-paQca VMu-_2.13a
   ekapakṣaviparyāsād VMv_2.12c	eka-pakza-viparyAsAt VMu-_2.12c
   ekamāsātyayān mṛtyur VMv_1.109c	eka-mAsa-atyayAt mRtyuH VMu-_1.109c
   ekavaktreṇa śaknoti VMv_1.138c	eka-vaktreNa Saknoti VMu-_1.138c
   ekaviṃśati ṣaḍmāsāt VMv_2.49a	ekaviMSati zaz-mAsAt VMu-_2.49a
   ekākinīm athānyair vā VMv_3.68a	ekAkinIm aTa-anyEH vE VMu-_3.68a
   ekākī yāti pañcatām VMv_1.38d	ekAkI yAti paQcatAm VMu-_1.38d
   ekāgracitto vidhivad VMv_4.53c	ekAgra-cittaH viDivat VMu-_4.53c
   ekāgro vācayen nityaṃ VMv_3.25c	ekAgraH vAcayet nityam VMu-_3.25c
   ekābdavigame nūnaṃ VMv_1.133a	eka-abda-vigame nUnam VMu-_1.133a
   ekaikapadavṛddhiḥ syād VMv_1.30a	eka-eka-pada-vRdDiH syAt VMu-_1.30a
   ekaikapādyahrāsaḥ syān VMv_1.30c	ekEka-pAdya-hrAsaH syAt VMu-_1.30c
   etat sāmānyato jñeyaṃ VMv_1.104c	etat sAmAnyatas jQeyam VMu-_1.104c
   etāni mṛtyoḥ pratipādakāni VMv_1.139a	etAni mRtyoH pratipAdakAni VMu-_1.139a
   evamādikriyārambhād VMv_3.32a	evamAdi-kriyA-AramBAt VMu-_3.32a
   evam eva vahec candre VMv_2.27a	evam eva vahet candre VMu-_2.27a
   evaṃ kṛṣṇaṃ samārabhya VMv_2.10a	evam kRzNam samAraBya VMu-_2.10a
   evaṃ dharmaparo bhūtvā VMv_3.34a	evam Darma-paraH BUtvA VMu-_3.34a
   evaṃ vināśitāśeṣa- VMv_4.18a	evam vinASita-aSeza VMu-_4.18a
   eṣām apy antarāleṣu VMv_1.101a	ezAm api antarAlezu VMu-_1.101a
   eṣā mātrocyate kāla- VMv_4.65c	ezA mAtrA-ucyate kAla VMu-_4.65c
   oṅkāram ādito dattvā VMv_4.33a	oFkAram Aditas dattvA VMu-_4.33a
   oṃ amṛta hūṃ hūṃ phaṭ phaṭ VMv_4.17c	om amRta hUm hUm Paw Paw VMu-_4.17c
   oṃ ādau tata āṅkāraḥ VMv_3.62a	om AdO tatas AFkAraH VMu-_3.62a
   oṃ ādau ruru tato 'taḥ VMv_3.45a	om AdO ruru tatas atas VMu-_3.45a
   oṃ uktvā padaṃ vimale VMv_3.57a	om uktvA padam vimale VMu-_3.57a
   oṃ tato 'mṛtakuṇḍali VMv_4.12a	om tatas amRta-kuNxali VMu-_4.12a
   oṃ prāg uktvā huluhulu- VMv_4.16a	om prAk uktvA huluhulu VMu-_4.16a
   oṃhāvyañjanamadhyastha- VMv_4.31c	oMha-avyaQjana-maDya-sTa VMu-_4.31c
   kaṅkālarūpanidhyānaṃ VMv_4.42a	kaFkAla-rUpa-niDyAnam VMu-_4.42a
   kaṇṭḥoṣṭhatālujihvānāṃ VMv_1.69a	kaNwHozWa-tAlu-jihvAnAm VMu-_1.69a
   kaṇṭharandhrordhvasaṃlagnāṃ VMv_4.48a	kaNWa-ranDra-UrDva-saMlagnAm VMu-_4.48a
   kaṇṭhoṣṭhatālurasanā- VMv_1.70a	kaNWa-uzWa-tAlu-rasanA VMu-_1.70a
   kathyate jñāyate yena VMv_1.10c	kaTyate jQAyate yena VMu-_1.10c
   kathyate yena niyataṃ VMv_4.1c	kaTyate yena niyatam VMu-_4.1c
   kaniṣṭhānāṃ ca saṃdhayaḥ VMv_1.44b	kanizWAnAm ca saMDayaH VMu-_1.44b
   kapālākārabhāvakam VMv_4.41d	kapAla-AkAra-BAvakam VMu-_4.41d
   kapolamāṃsavicchedān VMv_1.53c	kapola-mAMsa-vicCedAn VMu-_1.53c
   karadvayam anākulam VMv_4.24b	kara-dvayam anAkulam VMu-_4.24b
   karavīramālā svapne VMv_1.128c	karavIra-mAlA svapne VMu-_1.128c
   karkaṭe makare cāpi VMv_1.26c	karkawe makare ca-api VMu-_1.26c
   karkaṭo rāśir āṣāḍhaḥ VMv_1.26a	karkawaH rASiH AzAXaH VMu-_1.26a
   karṇamūle bhruvor madhye VMv_1.50a	karNa-mUle BruvoH maDye VMu-_1.50a
   karṇaśaṣkulikāpṛṣṭha- VMv_1.59a	karNa-SazkulikA-pRzWa VMu-_1.59a
   karṇāgre tīkṣṇavedhanāt VMv_1.41b	karNa-agre tIkzNa-veDanAt VMu-_1.41b
   karṇau pidhāya sudṛḍhaṃ VMv_1.99a	karNO piDAya su-dRXam VMu-_1.99a
   karṇau bhraṣṭau svadeśataḥ VMv_1.56b	karNO BrazwO sva-deSataH VMu-_1.56b
   kardame pāṃśudeśe vā VMv_1.85a	kardame pAMSu-deSe vA VMu-_1.85a
   kalaṅkarahitaṃ candraṃ VMv_1.73a	kalaFka-rahitam candram VMu-_1.73a
   kalpādijīvanārthaṃ ye VMv_3.63a	kalpa-Adi-jIvana-arTam ye VMu-_3.63a
   kalpādīṃś ca vināśayet VMv_4.45d	kalpa-AdIn ca vinASayet VMu-_4.45d
   kalpāntam api tiṣṭhati VMv_4.89d	kalpa-antam api tizWati VMu-_4.89d
   kalpāntaṃ kiṃ na tiṣṭhati VMv_4.90d	kalpa-antam kim na tizWati VMu-_4.90d
   kalpoktavidhibhir yad vā VMv_3.67a	kalpa-ukta-viDiBiH yat vA VMu-_3.67a
   kalyudvegādi jāyate VMv_2.13d	kali-udvega-Adi jAyate VMu-_2.13d
   kavitā vaktṛtā medhā VMv_4.37a	kavi-tA vaktR-tAH meDAH VMu-_4.37a
   kāmaśokādibuddhivat VMv_4.83d	kAma-Soka-Adi-budDi-vat VMu-_4.83d
   kāyakleśair bahuvidhair VMv_3.4a	kAya-kleSEH bahuviDEH VMu-_3.4a
   kāyavākkarmabhir bāhyam VMv_3.2a	kAya-vAc-karmaBiH bAhyam VMu-_3.2a
   kāruṇyasyandivigraham VMv_4.24d	kAruNya-syandi-vigraham VMu-_4.24d
   kāruṇyasyandi hṛdayaṃ VMv_3.10a	kAruNyasyandi hRdayam VMu-_3.10a
   kālapañcāśikām api VMv_4.99d	kAla-paQcASikAm api VMu-_4.99d
   kālam ārabhya ced vahet VMv_2.24b	kAlam AraBya ced vahet VMu-_2.24b
   kālam ārabhya mārutaḥ VMv_2.21b	kAlam AraBya mArutaH VMu-_2.21b
   kālam ārabhya mārutaḥ VMv_2.22b	kAlam AraBya mArutaH VMu-_2.22b
   kālarātrī tu sā jñeyā VMv_1.127c	kAlarAtrI tu sA jQeyAH VMu-_1.127c
   kālaṃ nirūpayed vidvān VMv_2.32c	kAlam nirUpayet vidvAn VMu-_2.32c
   kālākālanirūpaṇam VMv_1.34d	kAla-akAla-nirUpaNam VMu-_1.34d
   kālākālasamudbhūtam VMv_3.81c	kAla-akAla-samudBUtam VMu-_3.81c
   kālī kāmayate naraṃ VMv_1.128b	kAlI kAmayate naram VMu-_1.128b
   kālī kumārī saṃkruddhā VMv_1.127a	kAlI kumArI saMkrudDAH VMu-_1.127a
   kāle pauṣṇe samās tās trinayanaśaśinaḥ ṣaṭtriyugmendavo ye VMv_2.53c	kAle pOzNe samAH tAH trinayana-SaSinaH zax-tri-yugma-indavaH ye VMu-_2.53c
   kālottaraṃ kālāvalīṃ VMv_4.99c	kAla-uttaram kAla-AvalIm VMu-_4.99c
   kālo dvividha iṣyate VMv_1.23b	kAlaH dviviDaH izyate VMu-_1.23b
   kālo niyata ity ukto VMv_1.24c	kAlaH niyataH iti uktaH VMu-_1.24c
   kālo 'sau pauṣṇanāmeti VMv_2.29c	kAlaH asO pOzNanAma-iti VMu-_2.29c
   kāṣāyamātrakaṇṭhebhyo VMv_3.31c	kAzAya-mAtra-kaNWeByaH VMu-_3.31c
   kāṣṭhād agnir jāyate mathyamānād VMv_4.93a	kAzWAt agniH jAyate maTyamAnAt VMu-_4.93a
   kiñcitkārī no yamarājā VMv_3.73d	kiQcid-kArI naH yama-rAjA VMu-_3.73d
   kim anyair dharmavistaraiḥ VMv_3.10d	kim anyEH Darma-vistarEH VMu-_3.10d
   kiyatkālavilambanam VMv_1.4d	kiyat-kAla-vilambanam VMu-_1.4d
   kiṃ teṣāṃ dharmavistaraiḥ VMv_3.9d	kim tezAm Darma-vistarEH VMu-_3.9d
   kiṃ punar mṛtyuvañcanam VMv_3.50d	kim punar mRtyu-vaQcanam VMu-_3.50d
   kiṃśukaṃ kovidāraṃ ca VMv_1.122a	kiMSukam kovidAram ca VMu-_1.122a
   kuṭiprasrāvayoḥ kāle VMv_1.39a	kuwi-prasrAvayoH kAle VMu-_1.39a
   kumbhakaś cet pravartate VMv_4.68b	kumBakaH ced pravartate VMu-_4.68b
   kumbhakas tena jīyate VMv_4.64b	kumBakaH tena jIyate VMu-_4.64b
   kuruta saṃprati tat punar āntaram VMv_3.83d	kuruta saMprati tat punar Antaram VMu-_3.83d
   kurvīta kusumaiḥ sitaiḥ VMv_3.60d	kurvIta kusumEH sitEH VMu-_3.60d
   kṛkalāso mṛtis tasya VMv_1.82c	kRkalAsaH mRtiH tasya VMu-_1.82c
   kṛtvā tatpariṇāmena VMv_4.41c	kRtvA tad-pariNAmena VMu-_4.41c
   kṛtvā mūrdhni tathāñjalim VMv_1.96b	kRtvA mUrDni taTA-aQjalim VMu-_1.96b
   kṛtvā vijanadeśagaḥ VMv_3.39b	kRtvA vijana-deSa-gaH VMu-_3.39b
   kṛśaḥ kruddho bhayākulaḥ VMv_1.61b	kRSaH krudDaH Baya-AkulaH VMu-_1.61b
   kṛṣṇapiṅgalavarṇakam VMv_1.86b	kRzNa-piFgala-varNakam VMu-_1.86b
   kṛṣṇabhāgaṃ parityajya VMv_1.117a	kRzNa-BAgam parityajya VMu-_1.117a
   kṛṣṇarūpair gabhastibhiḥ VMv_4.46b	kRzNa-rUpEH gaBastiBiH VMu-_4.46b
   kṛṣṇavastrā tu yā nārī VMv_1.128a	kRzNa-vastrA tu yA nArI VMu-_1.128a
   kṛṣṇaṃ yadi bhavec chukraṃ VMv_1.49a	kRzNam yadi Bavet Sukram VMu-_1.49a
   kṛṣṇe vā yadi vā śukle VMv_1.116a	kRzNe vA yadi vA Sukle VMu-_1.116a
   keśoṇḍukasamākṛtīn VMv_1.91b	keSoNxuka-samAkRtIn VMu-_1.91b
