   Devatāsūtra (GBM 1542.5)	DevatA-sUtra (GBm 1542.5)
   bhagavān āha /	BagavAn Aha /
        gṛhītaṃ yat svayaṃ dattaṃ yad gṛhe tad ihojjhitaṃ / (Ds; GBM 1543.3)	gRhItam yat svayam dattam yat gRhe tat iha-ujJitam / (Ds; GBm 1543.3)
        abhedyaṃ kavacaṃ kṣānti prajñā tīkṣṇam ihāyudham / 4	aBedyam kavacam kzAnti prajQA tIkzNam iha-AyuDam / 4
   devatā prāha /	devatA prAha /
        ko nv asau procyate cauro dhanaṃ kiṃ vā satāṃ mataṃ /	kaH nu asO procyate cOraH Danam kim vA satAm matam /
        ke vā sadevake loke procyante muṣitā iti / 5 (Ds; GBM 1543.4)	ke vA sa-devake loke procyante muzitAH iti / 5 (Ds; GBm 1543.4)
   bhagavān āha /	BagavAn Aha /
        vitarkaḥ kuśalaś cauro dhanaṃ śīlaṃ satāṃ mataṃ /	vitarkaH kuSalaH cOraH Danam SIlam satAm matam /
        te cāpi muṣitā loke yaiḥ śīlaṃ vinipātitam / 6 (Ds; GBM 1543.5)	te ca-api muzitAH loke yEH SIlam vinipAtitam / 6 (Ds; GBm 1543.5)
   devatā prāha /	devatA prAha /
        ko nv asau sukhito jñeya ko vā yaḥ parameśvaraḥ	kaH nu asO suKitaH jQeya kaH vA yaH parameSvaraH
        ko vā vibhūṣito nityaṃ brūhi ko vā viḍaṃbitaḥ 7	kaH vA viBUzitaH nityam brUhi kaH vA vixaMbitaH 7
   bhagavān āha / (Ds; GBM 1543.6)	BagavAn Aha / (Ds; GBm 1543.6)
        alpecchaḥ sukhito jñeyaḥ saṃtuṣṭo parameśvaraḥ	alpa-icCaH suKitaH jQeyaH saMtuzwaH parameSvaraH
        śīlavāṃ vibhūṣito nityaṃ bhraṣṭaśīlo viḍaṃbitaḥ 8	SIlavAm viBUzitaH nityam Brazwa-SIlaH vixaMbitaH 8
   devatā prāha /	devatA prAha /
        kiṃ svid agnir na dahati na bhinatti ca mārutaḥ (Ds; GBM 1543.7)	kim svid agniH na dahati na Binatti ca mArutaH (Ds; GBm 1543.7)
        kiṃ svin na kledayanty āpaḥ plāvayanto vasundharām / 9	kim svid na kledayanti ApaH plAvayantaH vasunDarAm / 9
   bhagavān āha /	BagavAn Aha /
        puṇyam agnir na dahati na bhinatti ca mārutaḥ	puNyam agniH na dahati na Binatti ca mArutaH
        puṇyaṃ na kledayanty āpaḥ plāvayanto vasundharām / 10 (Ds; GBM	puNyam na kledayanti ApaH plAvayantaH vasunDarAm / 10 (Ds; GBM
   devatā prāha /	devatA prAha /
        kiṃ svid rājā ca caurāś ca spandamānā samudyatā /	kim svid rAjA ca cOrAH ca spandamAnA samudyatA /
        nāpahartuṃ śaknuvanti striyā vā puruṣasya vā / 11 (Ds; GBM 1544.1)	na-apahartum Saknuvanti striyAH vA puruzasya vA / 11 (Ds; GBm 1544.1)
   bhagavān āha /	BagavAn Aha /
        puṇyaṃ rājā ca caurāś ca spandamānā samudyatā /	puNyam rAjA ca cOrAH ca spandamAnA samudyatA /
        nāpahartuṃ śaknuvanti striyā vā puruṣasya vā / 12	na-apahartum Saknuvanti striyAH vA puruzasya vA / 12
   devatā prāha /	devatA prAha /
        vatsalo bāndhavaḥ ko 'sau ko vā duṣṭāśayo ripuḥ (Ds; GBM 1544.2)	vatsalaH bAnDavaH kaH asO kaH vA duzwa-ASayaH ripuH (Ds; GBm 1544.2)
        kiṃ vā tad dāruṇaṃ duḥkhaṃ kiṃ vā paramaṃ sukham / 13	kim vA tat dAruNam duHKam kim vA paramam suKam / 13
   bhagavān āha /	BagavAn Aha /
        vatsalo bāndhavaḥ puṇyaṃ pāpaṃ duṣṭāśayo ripuḥ (Ds; GBM 1544.3)	vatsalaH bAnDavaH puNyam pApam duzwa-ASayaH ripuH (Ds; GBm 1544.3)
        nārakaṃ dāruṇaṃ duḥkhaṃ śuddhā bhāvaḥ paramaṃ sukham / 14	nArakam dAruNam duHKam SudDAH BAvaH paramam suKam / 14
   devatā prāha /	devatA prAha /
        kenāyam āvṛto lokaḥ kena loko vaśīkṛtaḥ	kena-ayam AvRtaH lokaH kena lokaH vaSIkRtaH
        kena tyajati mitrāṇi kena svargaṃ na gacchati / 15 (Ds; GBM 1544.4)	kena tyajati mitrANi kena svargam na gacCati / 15 (Ds; GBm 1544.4)
   bhagavān āha /	BagavAn Aha /
        ajñānenāvṛto loko mohena ca vaśīkṛtaḥ	ajQAnena-AvRtaH lokaH mohena ca vaSIkRtaH
        lobhāt tyajati mitrāṇi saṃgāt svargaṃ na gacchati / 16 (Ds; GBM	loBAt tyajati mitrANi saMgAt svargam na gacCati / 16 (Ds; GBM
   devatā prāha /	devatA prAha /
        kiṃ tat priyam apathyaṃ ca kiṃ vā pathyaṃ na ca priyaṃ	kim tat priyam apaTyam ca kim vA paTyam na ca priyam
        ko vā pīḍākaro vyādhiḥ ko 'sāv eko bhiṣag varaḥ / 17	kaH vA pIxA-karaH vyADiH kaH asO ekaH Bizaj varaH / 17
   bhagavān āha /	BagavAn Aha /
        kāmāḥ priyā apathyāś ca mokṣaḥ pathyo na ca priyaḥ (Ds; GBM 1544.6)	kAmAH priyAH apaTyAH ca mokzaH paTyaH na ca priyaH (Ds; GBm 1544.6)
        rāgaḥ pīḍākaro vyādhir buddhaś caiko bhiṣag varaḥ / 18	rAgaH pIxA-karaH vyADiH budDaH ca-ekaH Bizaj varaH / 18
   devatā prāha /	devatA prAha /
        kena mitrāṇi vardhante kena śāmyanti śatravaḥ (Ds; GBM 1544.7)	kena mitrANi varDante kena SAmyanti SatravaH (Ds; GBm 1544.7)
        kena svargam avāpnoti kena mokṣaṃ ca gacchati / 19	kena svargam avApnoti kena mokzam ca gacCati / 19
   bhagavān āha /	BagavAn Aha /
        tyāgān mitrāṇi vardhante maitryā śāmyanti śatravaḥ	tyAgAt mitrANi varDante mEtryA SAmyanti SatravaH
        śīlāt svargam avāpnoti jñānān mokṣaṃ ca gacchati / 20 (Ds; GBM	SIlAt svargam avApnoti jQAnAt mokzam ca gacCati / 20 (Ds; GBM
   devatā prāha /	devatA prAha /
        idaṃ saṃśayam adyāpi mama tvaṃ chettum arhasi /	idam saMSayam adya-api mama tvam Cettum arhasi /
        asmāl lokāt paraṃ lokaṃ ko gato 'tyantavaṃcitaḥ / 21 (Ds; GBM 1545.1)	asmAt lokAt param lokam kaH gataH atyanta-vaMcitaH / 21 (Ds; GBm 1545.1)
   bhagavān āha /	BagavAn Aha /
        vidyamāneṣu bhogeṣu puṇyaṃ yena na saṃcitaṃ /	vidyamAnezu Bogezu puNyam yena na saMcitam /
        asmāl lokāt paraṃ lokaṃ so gato 'tyantavaṃcitaḥ / 22	asmAt lokAt param lokam saH gataH atyanta-vaMcitaH / 22
   devatā prāha (Ds; GBM 1545.2)	devatA prAha (Ds; GBm 1545.2)
        cirasya bata paśyāmi brāhmaṇaṃ parinirvṛtaṃ /	cirasya bata paSyAmi brAhmaNam parinirvRtam /
        sarvavairabhayātītaṃ tīrṇaṃ loke viṣaktikām // 23	sarva-vEra-Baya-atItam tIrNam loke vizaktikAm // 23
   ity uktvā sā devatā bhagavato bhāṣitam (Ds; GBM 1545.3) abhinandyānumodya	iti uktvA sA devatAH BagavataH BAzitam (Ds; GBm 1545.3) aBinandya-anumodya
   bhagavataḥ pādau śirasā vanditvā bhagavato 'ntikāt prakrāntā //	BagavataH pAdO SirasA vanditvA BagavataH antikAt prakrAntAH //
   Alpadevatāsūtra = Ads	Alpa-devatA-sUtra  Ads
   evaṃ mayā śrutam ekasmiṃ samaye bhagavāṃ cchrāvastyāṃ (Ads; GBM 1545.4)	evam mayA Srutam ekasmim samaye BagavAm cCrAvaH-tyAm (Ads; GBm 1545.4)
   viharati sma jetavane anāthapiṇḍadasyārāme athānyatamā devatā	viharati sma jetavane anATapiNxadasya-ArAme aTa-anyatamA devatA
   atikrāntavarṇā atikrāntāyāṃ rātryāṃ yena bhagavāṃs (Ads; GBM 1545.5)	atikrAnta-varNAH atikrAntAyAm rAtryAm yena BagavAn (Ads; GBm 1545.5)
   tenopasaṃkrāntā upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte	tena-upasaMkrAntAH upasaMkramya BagavataH pAdO SirasA vanditvA-ekAnte
   niṣaṇṇā apīdānīṃ tasyā devatāyā varṇānubhāvena (Ads; GBM 1545.6) sarvaṃ	nizaNNAH api-idAnIm tasyAH devatAyAH varNa-anuBAvena (Ads; GBm 1545.6) sarvam
   jetavanaṃ udāreṇāvabhāsena sphuṭam abhūt / ekānte niṣaṇṇā sā devatā tasyāṃ	jetavanam udAreNa-avaBAsena sPuwam aBUt / ekAnte nizaNNA sA devatA tasyAm
   velāyāṃ gāthām abhāṣata //	velAyAm gATAm aBAzata //
        kiṃśīlāḥ kiṃsamācārāḥ ke guṇāḥ kena karmaṇā / (Ads; GBM 1545.7)	kiMSIlAH kiMsamAcArAH ke guNAH kena karmaNA / (Ads; GBm 1545.7)
        ke .e .ihādi .. prājñāḥ ke janā svargagāminaḥ 1	ke .e .iha-Adi .. prAjQAH ke janA svarga-gAminaH 1
        tasyā śāstā vyākārṣī devatā .. .. .. .. ..ḥ (Ads; GBM 1545.8)	tasyAH SAstA vyAkArzI devatAH .. .. .. .. ..H (Ads; GBm 1545.8)
        śrūyatāṃ devate mahyaṃ ye janā svargagāminaḥ 2	SrUyatAm devate mahyam ye janA svarga-gAminaH 2
        prāṇātipātād viratā suśīlāḥ saṃyame ratāḥ	prANa-atipAtAt viratA su-SIlAH saMyame ratAH
        yena hiṃsanti bhūtāni te janāḥ svargagāminaḥ 3	yena hiMsanti BUtAni te janAH svarga-gAminaH 3
