   Abhisamayālaṅkāra (Asa)	ABisamaya alaFkAraH (Asa)
   dhyāmīkaraṇatādīni śiṣyakhaḍgapathau ca yau /	DyAmIkaraNa tA AdIni Sizya Kaxga paTO ca yO /
   mahānuśaṃso dṛṅmārga ehikāmutrikairguṇaiḥ // Asa_1.8 //	mahA anuSaMsaH dRS mArgaH ehikAmutrikEH guNEH // Asa_1.8 //
   kāritramadhimuktiśca stutastobhitaśaṃsitāḥ /	kAritram aDimuktiH ca stuta stoBita SaMsitAH /
   pariṇāme 'numode ca manaskārāvanuttamau // Asa_1.9 //	pariNAme anumode ca manaskArO= anuttamO // Asa_1.9 //
   nirhāraḥ śuddhiratyantamityayaṃ bhāvanāpathaḥ /	nirhAraH SudDiH atyantam iti ayam BAvanApaTaH /
   vijñānāṃ bodhisattvānāmiti mārgajñatoditā // Asa_1.10 //	vijQAnAm boDisattvAnAm iti mArga jQa toditA // Asa_1.10 //
   prajñayā na bhave sthānaṃ kṛpayā na śame sthitiḥ /	prajQayA na Bave sTAnam kRpayA na Same sTitiH /
   anupāyena dūratvam upāyenāvidūratā // Asa_1.11 //	anupAyena dUra tvam upAyena avidUra tA // Asa_1.11 //
   vipakṣapratipakṣau ca prayogaḥ samatāsya ca /	vipakza pratipakzO ca prayogaH sama tA asya ca /
   dṛṅmārgaḥ śrāvakādīnāmiti sarvajñateṣyate // Asa_1.12 //	dRS mArgaH SrAvaka AdInAm iti sarvajQa tA izyate // Asa_1.12 //
   ākārāḥ saprayogāśca guṇā doṣāḥ salakṣaṇāḥ /	AkArAH sa prayogAH ca guNAH dozAH sa lakzaNAH /
   mokṣanirvedhabhāgīye śaikṣo 'vaivartiko gaṇaḥ // Asa_1.13 //	mokza nirveDa BAgIye SEkzaH avEvartikaH gaNaH // Asa_1.13 //
   samatā bhavaśāntyośca kṣetraśuddhiranuttarā /	samatA Bava SAntyoH ca kzetra SudDiH anuttarA /
   sarvākārābhisambodha eṣa sopāyakauśalaḥ // Asa_1.14 //	sarva AkAra aBisamboDaH eza sa upAya kOSalaH // Asa_1.14 //
   liṅgaṃ tasya vivṛddhiśca nirūḍhiścittasaṃsthitiḥ /	liFgam tasya vivRdDiH ca nirUXiH citta saMsTitiH /
   caturdhā ca vikalpasya pratipakṣaścaturvidhaḥ // Asa_1.15 //	caturDA ca vikalpasya pratipakzaH caturviDaH // Asa_1.15 //
   pratyekaṃ darśanākhye ca bhāvanākhye ca vartmani /	pratyekam darSana AKye ca BAvanA AKye ca vartmani /
   ānantaryasamādhiśca saha vipratipattibhiḥ // Asa_1.16 //	Anantarya samADiH ca saha vipratipattiBiH // Asa_1.16 //
   mūrdhābhisamayastredhā daśadhā cānupūrvikaḥ /	mUrDa aBisamayaH treDA daSaDA ca AnupUrvikaH /
   ekakṣaṇābhisambodho lakṣaṇena caturvidhaḥ // Asa_1.17 //	eka kzaNa aBisamboDaH lakzaNena caturviDaH // Asa_1.17 //
   svābhāvikaḥ sasāmbhogo nairmāṇiko 'parastathā /	svABAvikaH sasA amBogaH nErmANikaH aparaH taTA /
   dharmakāyaḥ sakāritraścaturdhā samudīritaḥ // Asa_1.18 //	Darma kAyaH sa kAritraH caturDA samudIritaH // Asa_1.18 //
   sarvākārajñatā	sarva AkAra jQa tA
   1   cittotpādaḥ	1  citta utpAdaH
   cittotpādaḥ parārthāya samyaksambodhikāmatā /	citta utpAdaH para arTAya samyaksamboDikA matA /
   samāsavyāsataḥ sā ca yathāsūtraṃ sa cocyate // Asa_1.19 //	samAsa vyAsataH sA ca yaTAsUtram sa ca ucyate // Asa_1.19 //
   bhūhemacandrajvalanairnidhiratnākarārṇavaiḥ /	BU hema candra jvalanEH niDi ratna Akara arNavEH /
   vajrācalauṣadhīmitraiścintāmaṇyarkagītibhiḥ // Asa_1.20 //	vajra acala ozaDI mitrEH cintAmaNI arka gItiBiH // Asa_1.20 //
   nṛpagañjamahāmārgayānaprasravaṇodakaiḥ /	nRpagaQja mahA mArga yAna prasravaNa udakEH /
   ānandoktinadīmevairdvāviṃśatividhaḥ sa ca // Asa_1.21 //	Ananda ukti nadIm evEH dvAviMSativiDaH sa ca // Asa_1.21 //
   2   avavādaḥ	2  avavAdaH
   pratipattau ca satyeṣu buddharatnādiṣu triṣu /	pratipattO ca satyezu budDa ratna Adizu trizu /
   asaktāvapariśrānto pratipatsamparigrahe // Asa_1.22 //	asaktO= apariSrAntaH pratipad samparigrahe // Asa_1.22 //
   cakṣuḥṣu pañcasu jñeyaḥ ṣaṭsvabhijñāguṇeṣu ca /	cakzuHzu paQcasu jQeyaH zawsu aBijQA guNezu ca /
   dṛṅmārge bhāvanākhye cetyavavādo daśātmakaḥ // Asa_1.23 //	dRS mArge BAvanA AKye ca iti avavAdaH daSa AtmakaH // Asa_1.23 //
   mṛdutīkṣṇendriyau śraddhādṛṣṭiprāptau kulaṅkalau /	mRdu tIkzNa indriyO SradDA dRzwi prAptO kulaFkalO /
   ekavīcyantarotpadya kārākārākaniṣṭhagāḥ // Asa_1.24 //	ekavIcI antara utpadya kAra AkArA ka nizWa gAH // Asa_1.24 //
   plutāstrayo bhavasyāgraparamo rūparāgahā /	plutAH trayaH Bavasya agra paramaH rUpa rAga hA /
   dṛṣṭadharmaśamaḥ kāyasākṣī khaḍgaśca viṃśatiḥ // Asa_1.25 //	dRzwa Darma SamaH kAya sAkzI KaxgaH ca viMSatiH // Asa_1.25 //
   3   nirvedhāṅgam	3  nirveDa aFgam
   ālambanata ākārāddhetutvāt samparigrahāt /	AlambanataH AkArAt hetu tvAt samparigrahAt /
   caturvikalpasaṃyogaṃ yathāsvaṃ bhajatāṃ satām // Asa_1.26 //	catur vikalpa saMyogam yaTAsvam BajatAm satAm // Asa_1.26 //
   śrāvakebhyaḥ sakhaḍgebhyo bodhisattvasya tāyinaḥ /	SrAvakeByaH sa KaxgeByaH boDisattvasya tAyinaH /
   mṛdumadhyādhimātrāṇāmūṣmādīnāṃ viśiṣṭatā // Asa_1.27 //	mRdu maDya aDimAtrANAm Uzma AdInAm viSizwa tA // Asa_1.27 //
   ālambanamanityādi satyādhāraṃ tadākṛtiḥ /	Alambanam anitya Adi satya ADAram tad AkRtiH /
   niṣedho 'bhiniveśāderheturyānatrayāptaye // Asa_1.28 //	nizeDaH aBiniveSa AdeH hetuH yAn atraya Aptaye // Asa_1.28 //
   rūpādyāyavyayau viṣṭhāsthiti prajñaptyavācyate /	rUpa AdyAya vyayO vizWA sTiti prajQapti avAcyate /
   rūpāvādavasthitisteṣāṃ tadbhāvenāsvabhāvatā // Asa_1.29 //	rUpAvAdavasTitiH tezAm tad BAvena asvaBAva tA // Asa_1.29 //
   tayormithaḥ svabhāvatvaṃ tadanityādyasaṃsthitiḥ /	tayoH miTas svaBAva tvam tat anitya Adi asaMsTitiH /
   tāsāṃ tadbhāvaśūnyatvaṃ mithaḥ svābhāvyametayoḥ // Asa_1.30 //	tAsAm tad BAva SUnya tvam miTas svABAvyam etayoH // Asa_1.30 //
   anudgraho yo dharmāṇāṃ tannimittāsamīkṣaṇam /	anudgrahaH yaH DarmANAm tad nimitta asam IkzaNam /
   parīkṣaṇaṃ ca prajñāyāḥ sarvasyānupalambhataḥ // Asa_1.31 //	parIkzaNam ca prajQAyAH sarvasya anupalamBataH // Asa_1.31 //
   rūpāderasvabhāvatvaṃ tadabhāvasvabhāvatā /	rUpa AdeH asvaBAva tvam tad aBAva svaBAva tA /
   tadajātiraniryāṇaṃ śuddhistadanimittatā // Asa_1.32 //	tad ajAtiH aniryANam SudDiH tad animitta tA // Asa_1.32 //
   tannimittānadhiṣṭhānānadhimuktirasaṃjñatā /	tad nimittAn aDizWAna anaDimuktiH asaMjQa tA /
   samādhistasya kāritraṃ vyākṛtirmananākṣayaḥ // Asa_1.33 //	samADiH tasya kAritram vyAkRtiH mananA kzayaH // Asa_1.33 //
   mithastrikasya svābhāvyaṃ samādheravikalpanā /	miTas trikasya svABAvyam samADeH avikalpanA /
   iti nirvedhabhāgīyaṃ mṛdumadhyādhimātrataḥ // Asa_1.34 //	iti nirveDa BAgIyam mRdu maDya aDimAtrataH // Asa_1.34 //
   dvaividhyaṃ grāhyakalpasya vastutatpratipakṣataḥ /	dvEviDyam grAhya kalpasya vastu tad pratipakzataH /
   moharāśyādibhedena pratyekaṃ navadhā tu saḥ // Asa_1.35 //	moha rASi Adi Bedena pratyekam navaDA tu saH // Asa_1.35 //
   dravyaprajñaptyadhiṣṭhāno dvividho grāhako mataḥ /	dravya prajQapti aDizWAnaH dviviDaH grAhakaH mataH /
   svatantrātmādirūpeṇa skandhādyāśrayatastathā // Asa_1.36 //	svatantra Atma Adi rUpeNa skanDa Adi ASrayataH taTA // Asa_1.36 //
   cittānavalīnatvādinaiḥsvābhāvyādideśakaḥ /	citta anavalIna tva AdinEH svABAvyAdideSakaH /
   tadvipakṣaparityāgaḥ sarvathā samparigrahaḥ // Asa_1.37 //	tad vipakza parityAgaH sarvaTA samparigrahaH // Asa_1.37 //
   4   pratipatterādhāraḥ	4  pratipatteH ADAraH
   ṣoḍhādhigamadharmasya pratipakṣaprahāṇayoḥ /	zoXA aDigama Darmasya pratipakza prahANayoH /
   tayoḥ paryupayogasya prajñāyāḥ kṛpayā saha // Asa_1.38 //	tayoH paryupayogasya prajQAyAH kRpayA saha // Asa_1.38 //
   śiṣyāsādhāraṇatvasya parārthānukramasya ca /	Sizya asADAraNa tvasya para arTa anukramasya ca /
   jñānasyāyatnavṛtteśca pratiṣṭhā gotramucyate // Asa_1.39 //	jQAnasya ayatna vRtteH ca pratizWA gotram ucyate // Asa_1.39 //
   dharmadhātorasambhedād gotrabhedo na yujyate /	DarmaDAtoH asamBedAt gotra BedaH na yujyate /
   ādheyadharmabhedāttu tadbhedaḥ parigīyate // Asa_1.40 //	ADeya Darma BedAt tu tad BedaH parigIyate // Asa_1.40 //
   5   ālambanam	5  Alambanam
   ālambanaṃ sarvadharmāste punaḥ kuśalādayaḥ /	Alambanam sarva DarmAH te punar kuSala AdayaH /
   laukikādhigamākhyāśca ye ca lokottarā matāḥ // Asa_1.41 //	lOkika aDigama AKyAH ca ye ca lokottarAH matAH // Asa_1.41 //
   sāsravānāsravā dharmāḥ saṃskṛtāsaṃskṛtāśca ye /	sa Asrava anAsravAH DarmAH saMskRta AsaMskRtAH ca ye /
   śiṣyasādhāraṇā dharmā ye cāsādhāraṇā muneḥ // Asa_1.42 //	Sizya sADAraNAH DarmAH ye ca asADAraNAH muneH // Asa_1.42 //
   6   samuddeśaḥ	6  samuddeSaH
   sarvasattvāgratācittaprahāṇādhigamatraye /	sarva sattva agra tA citta prahANa aDigama traye /
   tribhirmahattvairuddeśo vijñeyo 'yaṃ svayambhuvām // Asa_1.43 //	triBiH mahat tvEH uddeSaH vijQeyaH ayam svayamBuvAm // Asa_1.43 //
   7   sannāhapratipattiḥ	7  sannAha pratipattiH
   dānādau ṣaḍvidhe teṣāṃ pratyekaṃ saṃgraheṇa yā /	dAna AdO zaxviDe tezAm pratyekam saMgraheNa yA /
   sannāhapratipattiḥ sā ṣaḍbhiḥ ṣaṭkairyathoditā // Asa_1.44 //	sannAha pratipattiH sA zaxBiH zawkEH yaTA uditA // Asa_1.44 //
   8   prasthānapratipattiḥ	8  prasTAna pratipattiH
   dhyānārūpyeṣu dānādau mārge maitryādikeṣu ca /	DyAna ArUpyezu dAna AdO mArge mEtrI Adikezu ca /
   gatopalambhayoge ca trimaṇḍalaviśuddhiṣu // Asa_1.45 //	gata upalamBa yoge ca tri maNxala viSudDizu // Asa_1.45 //
   uddeśe ṣaṭsvabhijñāsu sarvākārajñatānaye /	uddeSe zawsu aBijQAsu sarva AkAra jQa tA naye /
   prasthānapratipajjñeyā mahāyānādhirohiṇī // Asa_1.46 //	prasTAna pratipad jQeyA mahAyAna aDirohiNI // Asa_1.46 //
   9   sambhārapratipattiḥ	9  samBAra pratipattiH
   dayā dānādikaṃ ṣaṭkaṃ śamathaḥ savidarśanaḥ /	dayA dAna Adikam zawkam SamaTaH sa vidarSanaH /
   yuganaddhaśca yo mārga upāye yacca kauśalam // Asa_1.47 //	yuganadDaH ca yaH mArgaH upAye yat ca kOSalam // Asa_1.47 //
   jñānaṃ puṇyaṃ ca mārgaśca dhāraṇī bhūmayo daśa /	jQAnam puNyam ca mArgaH ca DAraNI BUmayaH daSa /
   pratipakṣaśca vijñeyaḥ sambhārapratipatkramaḥ // Asa_1.48 //	pratipakzaH ca vijQeyaH samBAra pratipad kramaH // Asa_1.48 //
   pramuditā bhūmiḥ	pramuditA BUmiH
   labhyate prathamā bhūmirdaśadhā parikarmaṇā	laByate praTamA BUmiH daSaDA parikarmaNA
   āśayo hitavastutvaṃ sattveṣu samacittatā // Asa_1.49 //	ASayaH hita vastu tvam sattvezu sama citta tA // Asa_1.49 //
   tyāgaḥ sevā ca mitrāṇāṃ saddharmālambanaiṣaṇā /	tyAgaH sevA ca mitrANAm sat Darma Alamba na ezaNAH /
   sadā naiṣkramyacittatvaṃ buddhakāyagatā spṛhā // Asa_1.50 //	sadA nEzkramya citta tvam budDa kAya gatA spRhA // Asa_1.50 //
   dharmasya deśanā satyaṃ daśamaṃ vākyamiṣyate /	Darmasya deSanA satyam daSamam vAkyam izyate /
   jñeyaṃ ca parikarmaiṣāṃ svabhāvānupalambhataḥ // Asa_1.51 //	jQeyam ca parikarmA ezAm svaBAva anupalamBataH // Asa_1.51 //
   vimalā bhūmiḥ	vimalA BUmiH
   śīlaṃ kṛtajñatā kṣāntiḥ prāmodyaṃ mahatī kṛpā /	SIlam kRtajQa tA kzAntiH prAmodyam mahatI kRpA /
   gauravaṃ guruśuśrūṣā vīryaṃ dānādike 'ṣṭamam // Asa_1.52 //	gOravam guru SuSrUzA vIryam dAna Adike azwamam // Asa_1.52 //
   prabhākarī bhūmiḥ	praBAkarI BUmiH
   atṛptatā śrute dānaṃ dharmasya ca nirāmiṣam /	atRpta tA Srute dAnam Darmasya ca nirAmizam /
   buddhakṣetrasya saṃśuddhiḥ saṃsārāparikheditā // Asa_1.53 //	budDa kzetrasya saMSudDiH saMsAra apariKeditA // Asa_1.53 //
   hrīrapatrāpyamityetat pañcadhā mananātmakam /	hrIH apatrApyam iti etat paQcaDA mananA Atmakam /
   arciṣmatī bhūmiḥ	arcizmatI BUmiH
   vanāśālpecchatā tuṣṭirdhūtasaṃlekhasevanam // Asa_1.54 //	vanASa alpa icCatA tuzwiH DUta saMleKa sevanam // Asa_1.54 //
   śikṣāyā aparityāgaḥ kāmānāṃ vijugupsanam /	SikzAyAH aparityAgaH kAmAnAm vijugupsanam /
   nirvitsarvāstisantyāgo 'navalīnānapekṣate // Asa_1.55 //	nirvitsarvAsti santyAgaH anavalIna anapekzate // Asa_1.55 //
   sudurjayā bhūmiḥ	su durjayA BUmiH
   saṃstavaṃ kulamātsaryaṃ sthānaṃ saṅgaṇikāvaham / ātmotkarṣaparāvajñe	saMstavam kula mAtsaryam sTAnam saFgaNika Avaham / Atma utkarza para avajQe
   karmamārgān daśāśubhān // Asa_1.56 //	karma mArgAn daSa aSuBAn // Asa_1.56 //
   mānaṃ stambhaṃ viparyāsaṃ vimatiṃ kleśamarṣaṇam /	mAnam stamBam viparyAsam vimatim kleSa marzaNam /
   vivarjayan samāpnoti daśaitān pañcamī bhuvam // Asa_1.57 //	vivarjayan samApnoti daSa etAn paQcamI Buvam // Asa_1.57 //
   abhimukhī bhūmiḥ	aBimuKI BUmiH
   dānaśīlakṣamāvīryadhyānaprajñāprapūraṇāt /	dAna SIla kzamA vIrya DyAna prajQA prapUraNAt /
   śiṣyakhaḍgaspṛhātrāsacetasāṃ parivarjakaḥ // Asa_1.58 //	Sizya Kaxga spRhA trAsa cetasAm parivarjakaH // Asa_1.58 //
   yācito 'navalīnaśca sarvatyāge 'pyadurmanāḥ /	yAcitaH anavalInaH ca sarva tyAge api adurmanAH /
   kṛśo 'pi nārthināṃ kṣeptā ṣaṣṭhīṃ bhūmiṃ samaśnute // Asa_1.59 //	kRSaH api na arTinAm kzeptA zazWIm BUmim samaSnute // Asa_1.59 //
   dūraṅgamā bhūmiḥ	dUraFgamA BUmiH
   ātmasattvagraho jīvapudgalocchedaśāśvataḥ /	Atma sattva grahaH jIva pudgala ucCeda SASvataH /
   nimittahetvoḥ skandheṣu dhātuṣvāyataneṣu ca // Asa_1.60 //	nimitta hetvoH skanDezu DAtuzu Ayatanezu ca // Asa_1.60 //
   traidhātuke pratiṣṭhānaṃ saktirālīnacittatā /	trEDAtuke pratizWAnam saktiH AlIna citta tA /
   ratnatritayaśīleṣu taddṛṣṭayabhiniveśitā // Asa_1.61 //	ratna tritaya SIlezu tad dRzwayaBiniveSitA // Asa_1.61 //
   śūnyatāyāṃ vivādaśca tadvirodhaśca viṃśatiḥ /	SUnyatAyAm vivAdaH ca tad viroDaH ca viMSatiH /
   kalaṅkā yasya vicchinnāḥ saptamīmetyasau bhuvam // Asa_1.62 //	kalaFkAH yasya vicCinnAH saptamImA iti asO Buvam // Asa_1.62 //
   trivimokṣamukhajñānaṃ trimaṇḍalaviśuddhatā /	tri vimokza muKa jQAnam tri maNxala viSudDa tA /
   karuṇāmananā dharmasamataikanayajñatā // Asa_1.63 //	karuNA mananA Darma samata ekanaya jQa tA // Asa_1.63 //
   anutpādakṣamājñānaṃ dharmāṇāmekadheraṇā /	anutpAda kzama ajQAnam DarmANAm eka DeraNAH /
   kalpanāyāḥ samudghātaḥ saṃjñādṛkkleśavarjanam // Asa_1.64 //	kalpanAyAH samudGAtaH saMjQA dRS kleSa varjanam // Asa_1.64 //
   śamathasya ca nidhyaptiḥ kauśalaṃ ca vidarśane /	SamaTasya ca niDyaptiH kOSalam ca vidarSane /
   cittasya dāntatā jñānaṃ sarvatrapratighāti ca // Asa_1.65 //	cittasya dAnta tA jQAnam sarvatra pratiGAti ca // Asa_1.65 //
   sakterabhūmiryatrecchaṃ kṣetrāntaragatiḥ samam /	sakteH aBUmiH yatra icCam kzetra antara gatiH samam /
   sarvatra svātmabhāvasya darśanaṃ ceti viṃśatiḥ // Asa_1.66 //	sarvatra sva Atma BAvasya darSanam ca iti viMSatiH // Asa_1.66 //
   acalā bhūmiḥ	acalA BUmiH
   sarvasattvamanojñānamabhijñākrīḍanaṃ śubhā /	sarva sattva manaH jQAnam aBijQA krIxanam SuBA /
   buddhakṣetrasya niṣpattirbuddhasevāparīkṣaṇe // Asa_1.67 //	budDa kzetrasya nizpattiH budDa sevA parIkzaNe // Asa_1.67 //
   akṣajñānaṃ jinakṣetraśuddhirmāyopamā sthitiḥ /	akza jQAnam jina kzetra SudDiH mAyA upamA sTitiH /
   saṃcintya ca bhavādānamidaṃ karmāṣṭadhoditam // Asa_1.68 //	saMcintya ca Bava AdAnam idam karma azwaDA uditam // Asa_1.68 //
   sādhumato bhūmiḥ	sADu mataH BUmiH
   praṇidhānānyanantāni devādīnāṃ rūtajñatā /	praNiDAnAni anantAni deva AdInAm rUta jQa tA /
   nadīva pratibhānānāṃ garbhāvakrāntiruttamā // Asa_1.69 //	nadI iva pratiBAnAnAm garBAvakrAntiH uttamA // Asa_1.69 //
   kulajātyośca gotraśca parivārasya janmanaḥ /	kula jAtyoH ca gotraH ca parivArasya janmanaH /
   naiṣkramyabodhivṛkṣāṇāṃ guṇapūre svasampadaḥ // Asa_1.70 //	nEzkramya boDi vRkzANAm guNa pUre sva sampadaH // Asa_1.70 //
   dharmamedhā bhūmiḥ	DarmameDA BUmiH
   navabhūmīratikramya buddhabhūmau pratiṣṭhate /	nava BUmIH atikramya budDa BUmO pratizWate /
   yena jñānena sā jñeyā daśamī bodhisattvabhūḥ // Asa_1.71 //	yena jQAnena sA jQeyA daSamI boDisattva BUH // Asa_1.71 //
   [pratipakṣasambhāraḥ] pratipakṣo 'ṣṭadhā jñeyo darśanābhyāsamārgayoḥ /	[pratipakza samBAraH] pratipakzaH azwaDA jQeyaH darSana aByAsa mArgayoH /
   grāhyagrāhakavikalpānāmaṣṭānāmupaśāntaye // Asa_1.72 //	grAhya grAhaka vikalpAnAm azwAnAm upaSAntaye // Asa_1.72 //
   20   niryāṇapratipattiḥ	20  niryANa pratipattiH
   uddeśe samatāyāṃ ca sattvārthe yatnavarjane /	uddeSe samatAyAm ca sattva arTe yatna varjane /
   atyantāya ca niryāṇaṃ niryāṇaṃ prāptilakṣaṇam // Asa_1.73 //	atyantAya ca niryANam niryANam prApti lakzaNam // Asa_1.73 //
   sarvākārajñatāyāṃ ca niryāṇaṃ mārgagocaram /	sarva AkAra jQa tAyAm ca niryANam mArga gocaram /
   niryāṇapratipajjñeyā seyamaṣṭavidhātmikā // Asa_1.74 //	niryANa pratipad jQeyA sA iyam azwa viDa AtmikA // Asa_1.74 //
   ityabhisamayālaṅkāre nāma	iti aBisamaya alaFkAre nAma
   prajñāpāramitopadeśaśāstre prathamādhikāraḥ /	prajQApAramitA upadeSa SAstre praTama aDikAraH /
   2 Mārgajñatādhikāraḥ dvitīyaḥ	2 MArgajQa tA aDikAraH dvitIyaH
   1   dhyāmīkaraṇatādīni	1  DyAmIkaraNa tA AdIni
   dhyāmīkaraṇatā bhābhirdevānāṃ yogyatāṃ prati /	DyAmIkaraNa tA BABiH devAnAm yogya tAm prati /
   viṣayo niyato vyāptiḥ svabhāvastasya karma ca // Asa_2.1 //	vizayaH niyataH vyAptiH svaBAvaH tasya karma ca // Asa_2.1 //
   2   śrāvakamārgaḥ	2  SrAvaka mArgaH
   caturṇāmāryasatyānāmākārānupalambhataḥ /	caturNAm Arya satyAnAm AkAra anupalamBataH /
   śrāvakāṇāmayaṃ mārgo jñeyo mārgajñatānaye // Asa_2.2 //	SrAvakANa Amayam mArgaH jQeyaH mArga jQa tA naye // Asa_2.2 //
   rūpādiskandhaśūnyatvācchūnyatānāmabhedataḥ /	rUpa Adi skanDa SUnya tvAt SUnyatAnAm a BedataH /
   ūsmāṇau 'nupalambhena teṣāṃ mūrdhagataṃ matam // Asa_2.3 //	UsmANO anupalamBena tezAm mUrDa gatam matam // Asa_2.3 //
   kṣāntayasteṣu nityādiyogasthānaniṣedhataḥ /	kzAntayaH tezu nitya Adi yoga sTAna nizeDataH /
   daśa bhūmīḥ samārabhya vistarāsthānadeśanāt // Asa_2.4 //	daSa BUmIH samAraBya vistara AsTAna deSanAt // Asa_2.4 //
   agradharmagataṃ proktamāryaśrāvakartmani /	agra Darma gatam proktam Arya SrAva kartmani /
   tatkasya hetorbuddhena buddhvā dharmāsamīkṣaṇāt // Asa_2.5 //	tat kasya hetoH budDena budDvA Darma asam IkzaNAt // Asa_2.5 //
   3   pratyekabuddhamārgaḥ	3  pratyekabudDa mArgaH
   paropadeśavaiyarthyaṃ svayambodhāt svayambhuvām /	para upadeSa vEyarTyam svayamboDAt svayamBuvAm /
   gambhīratā ca jñānasya khaḍgānāmabhidhīyate // Asa_2.6 //	gamBIra tA ca jQAnasya KaxgAnAm aBiDIyate // Asa_2.6 //
   śuśrūṣā yasyā yasyārthe yatra yatra yathā yathā /	SuSrUzA yasyAH yasya arTe yatra yatra yaTA yaTA /
   sa so 'rthaḥ khyātyaśabdo 'pi tasya tasya tathā tathā // Asa_2.7 //	sa saH arTaH KyAti aSabdaH api tasya tasya taTA taTA // Asa_2.7 //
   grāhyārthakalpanāhānād grāhakasyāprahāṇataḥ /	grAhya arTa kalpanA AhAnAt grAhakasya aprahANataH /
   ādhārataśca vijñeyaḥ khaḍgamārgasya saṃgrahaḥ // Asa_2.8 //	ADArataH ca vijQeyaH Kaxga mArgasya saMgrahaH // Asa_2.8 //
   prajñapteravirodhena dharmatāsūcanākṛtiḥ /	prajQapteH aviroDena DarmatA sUcana AkRtiH /
   ūṣmagaṃ mūrdhagaṃ rūpādyahānādiprabhāvitam // Asa_2.9 //	Uzmagam mUrDa gam rUpa Adi ahAnAdi praBAvitam // Asa_2.9 //
   adhyātmaśūnyatādyābhī rūpāderaparigrāhāt /	aDyAtma SUnyatA AdyABiH rUpa AdeH aparigrAhAt /
   kṣāntī rūpādyanutpādādyākārairagradharmatā // Asa_2.10 //	kzAntiH rUpa Adi anutpAda Adi AkArEH agra DarmatA // Asa_2.10 //
   4   bodhisattvamārgaḥ	4  boDisattva mArgaH
   kṣāntijñānakṣaṇaiḥ satyaṃ satyaṃ prati caturvidhaiḥ /	kzAnti jQA na kzaNEH satyam satyam prati caturviDEH /
   mārgajñatāyāṃ dṛṅmārgaḥ sānuśaṃso 'yamucyate // Asa_2.11 //	mArga jQa tAyAm dRS mArgaH sa anuSaMsaH ayam ucyate // Asa_2.11 //
   ādhārādheyatābhāvāttathatābuddhayormithaḥ /	ADAra ADeya tA BAvAt taTatA budDayoH miTas /
