   oṃ namaḥ sarvajñāya ||	om namaH sarvajQAya ||
   mahānubhāvo varadakṣiṇīyo	mahA-anuBAvaH vara-dakziNIyo
        vimocayitvā {bahavaṃ hi satvā /	vimocayitvA {bahavam hi satvAH /
   saṃsāraduḥkhakalilā mahābhayaḥ	saMsAra-duHKa-kalilA mahA-BayaH
        vimocayitvā} punaraṃ hi āgamī //	vimocayitvA} punar-am hi AgamI //
   athāyuṣmān ānando bhagavata imā gāthā bhāṣitvā tūṣṇīṃ sthito 'bhūt* | atha	aTa-AyuzmAn AnandaH BagavataH imA gATA BAzitvA tUzNIm sTitaH aBUt* | aTa
   bhagavān* śrāvastyāṃ mahānagaryāṃ nātidūre sthito 'bhūt* | atha te sarve	BagavAn* SrAvastyAm mahA-nagaryAm na-ati-dUre sTitaH aBUt* | aTa te sarve
   gavākṣatoraṇaniryūhakā [hiraṇya]mayāḥ sphaṭikamayā rūpyamayāḥ	gavAkza-toraNa-niryUhakAH [hiraNya]mayAH sPawika-mayAH rUpya-mayAH
   prādurabhūvan* | tathā śrāvastyāṃ ma[hānagaryāṃ] mahāntaṃ janakāyaṃ	prAduraBUvan* | taTA SrAvastyAm ma[hAna-garyAn] mahAntam jana-kAyam
   saṃsthito 'bhūvan* | atha sa janakāyaḥ saṃśayajāto babhūva ko hetuḥ kaḥ	saMsTitaH aBUvan* | aTa sa jana-kAyaH saMSaya-jAtaH baBUva kaH hetuH kaH
   pratyayaḥ nagarasya śubhanimittaṃ prādurabhūt* | mā cedaṃ nagaraṃ	pratyayaH nagarasya SuBa-nimittam prAduraBUt* | mA ca-idam nagaram
   bhasmapralayaṃ syāt* | atha tatra janakāye anekavarṣaśatasahasriko (Asv	Basma-pralayam syAt* | aTa tatra jana-kAye aneka-varza-Sata-sahasrikaH (Asu-
   105) jīrṇo vṛddho mahallakaḥ puruṣaḥ saṃsthito 'bhūt* | atha sa puruṣas	105) jIrNaH vRdDaH mahallakaH puruzaH saMsTitaH aBUt* | aTa sa puruzas
   taṃ janakāyaṃ samāśvāsayann evam āha | mā bhaiṣur bhoḥ kulaputrāḥ | asminn	tam jana-kAyam samASvAsayan evam Aha | mA BEzuH BoH kula-putrAH | asmin=-
   eva pṛthivīpradeśe jetavanaṃ nāma vihāraḥ | tatra śākyamunir nāma	eva pRTivI-pradeSe jetavanam nAma vihAraH | tatra SAkyamuniH nAma
   tathāgato 'rhan samyaksaṃbuddho vidyācaraṇasaṃpannaḥ sugato lokavid	taTAgataH arhan samyaksaMbudDaH vidyA-caraNa-saMpannaH sugataH loka-vid
   anuttaraḥ puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ ca buddho	anuttaraH puruza-damya-sAraTiH SAstA devAnAm ca manuzyANAm ca budDaH-
   bhagavān* | so 'yaṃ śrāvastīṃ mahānagarīṃ piṇḍāya prāviśat* |	BagavAn* | saH ayam SrAvastIm mahA-nagarIm piNxAya prAviSat* |
   tasyāgamanakālasamaye idaṃ śubhanimittam abhūt* | atha sa janakāyas taṃ	tasya-Agamana-kAla-samaye idam SuBa-nimittam aBUt* | aTa sa jana-kAyaH tam
   jīrṇakaṃ puruṣaṃ kṛtāñjalir [evam āha] | yat tasya bhagavatas	jIrNakam puruzam kRtAQjaliH [evam Aha] | yat tasya Bagavatas
   tathāgatasyārhataḥ samyaksaṃbuddhasya gu[ṇavarṇasamudīraṇa]samaye idaṃ	taTAgatasya-arhataH samyaksaMbudDasya gu[Na-varNa-samudIraNa]-samaye idam
   śubhanimittam abhūt* | dṛṣṭamātrasya tasya tathāgatasyārhataḥ	SuBa-nimittam aBUt* | dRzwa-mAtrasya tasya taTAgatasya-arhataH
   samyaksaṃbuddhasya kīdṛśaḥ puṇyābhisaṃskāro bhaviṣyati | atha sa	samyaksaMbudDasya kIdRSaH puNya-aBisaMskAraH Bavizyati | aTa sa
   jīrṇakapuruṣas taṃ janakāyaṃ bhagavato guṇavarṇasamudīraṇatayā gāthābhir	jIrNakapuruzaH tam jana-kAyam BagavataH guNa-varNa-samudIraNa-tayA gATABiH-
   adhyabhāṣata |	aDyaBAzata |
   yo lokanāthasya hi nāmu yaḥ śruṇe	yaH loka-nATasya hi na-amu yaH SruNe
        saṃsāraduḥkhā vinimuktu so naro /	saMsAra-duHKAH vinimuktu saH naraH /
   apāyagāmī na kadāci bheṣyate	apAya-gAmI na kadAci Bezyate
        svargaṃ ca so yāsyati śīghram evam* /	svargam ca saH yAsyati SIGram evam* /
   yo lokanāthasya hi nāmu yaḥ śruṇe	yaH loka-nATasya hi na-amu yaH SruNe
        dṛḍhapratijño bahukalpakoṭibhiḥ /	dRXa-pratijQaH bahu-kalpa-kowiBiH /
   mahānubhāvo sugato mahātmanaḥ	mahA-anuBAvaH sugataH mahAtmanaH
        kalpānakoṭīnayutān acintiyān* //	kalpAn-a-kowIn-a-yutAn acintiyAn* //
   (Asv 106)	(Asu 106)
   so bodhisatvo sthita gaṅgavālukān	saH boDisatvaH sTitaH gaFga-vAlukAn
        kadāci so gacchati durgatī bhayam* /	kadAci saH gacCati durgatI Bayam* /
   yo lokanāthasya hi nāmu yaḥ śruṇe	yaH loka-nATasya hi na-amu yaH SruNe
        apāyagāmī na kadāci bheṣyate //	apAya-gAmI na kadAci Bezyate //
   kalpānakoṭīnayutān acintiyā	kalpAna-kowIn-a-yutAn acintiyA
        rājā sa bhotī sada cakravartī /	rAjA sa BotI sada cakravartI /
   yo lokanāthasya hi nāmu dhārayet* //	yaH loka-nATasya hi na-amu DArayet* //
   yat kiṃci pūrvaṃ sada pāpu yat kṛtaṃ	yat kiMci pUrvam sada pApu yat kRtam
        sarvaṃ kṣayaṃ yāsyati śīghram etat* /	sarvam kzayam yAsyati SIGram etat* /
   śakro 'pi devendramahānubhāvo	SakraH api deva-indra-mahA-anuBAvaH-
        kalpānakoṭīnayutān acintiyā //	kalpAn-a-kowIn-a-yutAn acintiyA //
   sukhāvatīṃ gacchati buddhakṣetraṃ	suKAvatIm gacCati budDa-kzetram
        paryaṅkabaddho sa ca bodhisatvo /	paryaFka-badDaH sa ca boDisatvaH /
   brahmasvaro susvaru maṃjughoṣa	brahma-svaraH susvaru maMjuGoza
        bhavanti varṣānasahasrakoṭibhiḥ //	Bavanti varzAna-sahasra-kowiBiH //
   apāyagāmī na kadāci bheṣyate	apAya-gAmI na kadAci Bezyate
        yo lokanāthasya hi nāmu dhārayet* /	yaH loka-nATasya hi na-amu DArayet* /
   atha sa jīrṇakaḥ puruṣo janakāyaṃ bhagavato guṇavarṇam udīrayitvā tūṣṇīṃ	aTa sa jIrNakaH puruzaH jana-kAyam BagavataH guNa-varNam udIrayitvA tUzNIm
   sthito 'bhūt* | atha bhagavān pūrveṇa nagaradvāreṇa śrāvastīṃ mahānagarīṃ	sTitaH aBUt* | aTa BagavAn pUrveNa nagara-dvAreNa SrAvastIm mahA-nagarIm
   praviṣṭo 'bhūt* | tatra ca nagaradvāre dvādaśakoṭyaḥ padmānāṃ	pravizwaH aBUt* | tatra ca nagara-dvAre dvAdaSa-kowyaH padmAnAm
   prādurabhūvan* | teṣu ca padmeṣu dvādaśakoṭyo bodhisatvānāṃ	prAduraBUvan* | tezu ca padmezu dvAdaSa-kowyaH boDisatvAnAm
   paryaṅkaniṣaṇṇāḥ (Asv 107) prādurabhūvan prāñjalayaḥ | atha bhagavataḥ	paryaFka-nizaNNAH (Asu 107) prAduraBUvan prAQjalayaH | aTa BagavataH
   praviṣṭamātreṇa śrāvastyāṃ mahānagaryāṃ navanavatikoṭīniyutaśatasahasrāṇi	pravizwa-mAtreNa SrAvastyAm mahA-nagaryAm navanavati-kowI-niyuta-Sata-sahasrANi
   satvānāṃ sukhāvatyāṃ lokadhātau pratiṣṭhāpitāni	satvAnAm suKAvatyAm lokaDAtO pratizWApitAni
   caturaśītisatvakoṭīniyutaśatasahasrāṇy ābhiratyā lo[kadhāto]r	caturaSIti-satva-kowI-niyuta-Sata-sahasrANi ABiratyA lo[ka-DAto]r
   akṣobhyatathāgatasya buddhakṣetraṃ pratiṣṭhāpitāni |	akzoBya-taTAgatasya budDa-kzetram pratizWApitAni |
   atha bhagavān ā[nandena saha nagarā]valambikāyā dārikāyā gṛhe samāgato	aTa BagavAn A[nandena saha nagara-a]valambikAyAH dArikAyAH gRhe samAgataH-
   'bhūt* | atha bhagavān nagarāvalambikāyā dārikāyā gṛhe cakrikaṃ	aBUt* | aTa BagavAn nagara-avalambikAyAH dArikAyAH gRhe cakrikam
   kaṭakaṭāpayām āsa | atha sā dārikā taṃ cakrīśabdaṃ śrutvā saṃśayajātābhūt*	kawa-kawApayAm Asa | aTa sA dArikA tam cakrI-Sabdam SrutvA saMSaya-jAta-aBUt*
   | ko hetuḥ kaḥ pratyayaḥ | mama gṛhe na kadācit piṇḍapātika āgato 'bhūt* |	| kaH hetuH kaH pratyayaH | mama gRhe na kadAcid piNxapAtikaH AgataH aBUt* |
   atha sā nagarāvalambikā dārikā śūnyākāragṛhe niṣaṇṇā aśrukaṇṭhī rudantī	aTa sA nagara-avalambikA dArikA SUnya-AkAra-gRhe nizaNNA aSru-kaNWI rudantI
   paridevantī sthitābhūt tīkṣṇadhāram asiṃ gaveṣantī paridevantī rudantī	paridevantI sTitA-aBUt tIkzNa-DAram asim gavezantI paridevantI rudantI
   sthitābhūt* | atha [sā] dārikā śūnyākāragṛhe niṣaṇṇā paridevantī	sTitABUt* | aTa [sA] dArikA SUnya-AkAra-gRhe nizaNNA paridevantI
   aśru[kaṇṭhī] rudantī gāthābhir adhyabhāṣata |	aSru[-kaNWI] rudantI gATABiH aDyaBAzata |
   aho bata duḥkhu daridrake gṛhe	aho bata duHKu daridrake gRhe
        varaṃ mama maraṇu na cāpi jīvitam* /	varam mama maraNu na ca-api jIvitam* /
   kiṃ cāpi me kāryuṣu jīvitena	kim ca-api me kAryuzu jIvitena
        yadyaivāhaṃ duḥkhu śarīra pīḍitam* /	yadi-a-eva-aham duHKu SarIra pIxitam* /
   kana ...................... hyatrāṇaṃ bhavate parāyaṇam* /	kanaH ...................... hi-atrANam Bavate parAyaNam* /
   anāthabhūtā aham adyameva yadyaivāhaṃ jāta daridrake gṛhe //	anATa-BUtAH aham adyam-eva yadi-a-eva-aham jAta daridrake gRhe //
   (Asv 108)	(Asu 108)
   atha sa nagarāvalambikā dārikā śūnyākāragṛhe [niṣaṇṇā] imā gāthā bhāṣitvā	aTa sa nagara-avalambikA dArikA SUnya-AkAra-gRhe [nizaNNA] imA gATA BAzitvA
   tūṣṇīṃ sthitābhūt* |	tUzNIm sTitABUt* |
   atha śuddhavāsakāyiko devaputro 'ntarīkṣagataḥ sthitaś cintayati sma |	aTa SudDa-vAsa-kAyikaH deva-putraH antarIkza-gataH sTitaH cintayati sma |
   paśyec ced imāṃ bhagavān* | anekaduṣkarakoṭiniyutaśatasahasracīrṇacaritaḥ	paSyet ced imAm BagavAn* | aneka-duzkara-kowi-niyuta-Sata-sahasra-cIrNa-caritaH
   sa śākyamunis tathāgato nagarāvalambikāyā dārikāyā gṛhe sthito 'bhūt* |	sa SAkya-muniH taTAgataH nagara-avalambikAyAH dArikAyAH gRhe sTitaH aBUt* |
   atha śuddhavāsakāyiko devaputraḥ śatasahasramūlyaṃ muktāhāraṃ gṛhītvā	aTa SudDa-vAsa-kAyikaH deva-putraH Sata-sahasra-mUlyam muktA-hAram gRhItvA
   śatarasabhojanapiṭakaṃ gṛhītvā kāśikāni vastrāṇi gṛhītvā yena	Sata-rasa-Bojana-piwakam gRhItvA kASikAni vastrANi gRhItvA yena
   nagarāvalambikāyā dārikāyā gṛhaṃ tenopasaṃkrānto 'bhūt* | atha	nagara-avalambikAyAH dArikAyAH gRham tena-upasaMkrAntaH aBUt* | aTa
   śuddhavāsakāyiko devaputro nagarāvalambikāṃ dārikām evam āha | prāvara	SudDa-vAsa-kAyikaH deva-putraH nagara-avalambikAm dArikAm evam Aha | prAvara
   dārike imāni kāśikāni vastrāṇi imāny anekaśatasahasramūlyāny ābharaṇāni |	dArike imAni kASikAni vastrANi imAni aneka-Sata-sahasra-mUlyAni ABaraNAni |
   prāvṛtya cedaṃ śatasahasramūlyaṃ muktāhāraṃ gṛhītvā imaṃ	prAvRtya ca-idam Sata-sahasra-mUlyam muktA-hAram gRhItvA imam
   śatarasabhojanapiṭakaṃ gṛhītvā bhagavantam upanāmaya | atha sā dārikā tāni	Sata-rasa-Bojana-piwakam gRhItvA Bagavantam upanAmaya | aTa sA dArikA tAni
   kāśikāni vastrāṇi prāvṛtya śatasahasramūlyaṃ muktāhāraṃ gṛhītvā taṃ	kASikAni vastrANi prAvRtya Sata-sahasra-mUlyam muktA-hAram gRhItvA tam
   śatarasabhojanapiṭakaṃ gṛhītvā yena bhagavāṃs tenopasaṃkrāntā |	Sata-rasa-Bojana-piwakam gRhItvA yena BagavAn tena-upasaMkrAntA |
   upasaṃkramya bhagavantam upanāmayati sma | atha bhagavāṃs tāṃ	upasaMkramya Bagavantam upanAmayati sma | aTa BagavAn tAm
   nagarāvalambikām evam āha | pariṇāmaya tvaṃ dārike yathā pariṇāmitaṃ	nagara-avalambikAm evam Aha | pariNAmaya tvam dArike yaTA pariNAmitam
   vipaśyiśikhiviśvabhukkakutsundakanakamunikāśyapaprabhṛtibhiḥ sadbhis	vipaSyi-SiKi-viSvaBuj-kakutsunda-kanaka-muni-kASyapa-praBRtiBiH sadBiH-
   tathāgatair arhadbhiḥ samyaksaṃbuddhaiḥ | anto bhaviṣyati strībhāvād anto	taTAgatEH arhadBiH samyaksaMbudDEH | antaH Bavizyati strI-BAvAt anto
   bhaviṣyati daridragṛhāt* | atha sā dārikā taṃ piṇḍapātaṃ pariṇāmayitvā	Bavizyati daridra-gRha-at* | aTa sA dArikA tam piNxa-pAtam pariNAmayitvA
   (Asv 109) bhagavantam upanāmayām āsa | anena piṇḍapātakuśalamūlena mā	(Asu 109) Bagavantam upanAmayAm Asa | anena piNxa-pAta-kuSala-mUlena mA
   kasmiṃścid daridragṛhe upapadyeya |	kasmiMScid daridra-gRhe upapadyeya |
   atha sā nagarāvalambikā dārikā taṃ piṇḍapātaṃ pariṇāmayitvā bhagavate	aTa sA nagara-avalambikA dArikA tam piNxa-pAtam pariNAmayitvA Bagavate
   datvā svagṛhagamanam ārabdhā | atha bhagavāṃs tāṃ nagarāvalambikāṃ dārikām	datvA sva-gRha-gamanam ArabDAH | aTa BagavAn tAm nagara-avalambikAm dArikAm
   evam āha | pratinivartasva dārike | pūrvajātinidānaṃ samanusmarāmi | tad	evam Aha | pratinivartasva dArike | pUrva-jAti-nidAnam samanusmarAmi | tat-
   ahaṃ pa[rikīrta]yiṣyāmi | atha sā dārikā pratinivṛtya	aham pa[rikIrta]yizyAmi | aTa sA dArikA pratinivRtya
   sarvāṅgapraṇi[pātena] bhagavantaṃ prapatitā | atha sā nagarāvalambikā	sarva-aFga-praNi[pAtena] Bagavantam prapatitA | aTa sA nagara-avalambikA
   dārikā bhagava[ntaṃ gā]thābhir adhyabhāṣata |	dArikA Bagava[ntam gA]TABiH aDyaBAzata |
   avaśyaṃ me pūrvakṛtena karmaṇā	avaSyam me pUrva-kRtena karmaNA
        yenāhaṃ [jāta] daridrake gṛhe /	yena-aham [jAta] daridrake gRhe /
   karohi kāruṇya mamaṃ hi duḥkhita	karohi kAruNya mamam hi duHKita
        [vinivartayasva] narakā hi pālān* //	[vinivartayasva] narakAH hi pAlAn* //
   karohi kāruṇya mama duḥkhitāyā	karohi kAruNya mama duHKitAyAH-
        istribhāvā upapannu nāyaka /	iH-tri-BAvAH upapannu nAyakaH /
   tvaṃ lokanātha jaravyādhiśoka	tvam lokanATa jaravyADi-Soka
        vimocaye maṃ mama duḥkhitāyāḥ //	vimocaye mam mama duHKitAyAH //
   trāṇaṃ bhavāhī śaraṇaṃ parāyaṇaṃ	trANam BavAhI SaraNam parAyaNam
        vimocayāhī mama duḥkhitāyāḥ /	vimocayAhI mama duHKitAyAH /
   kṛtaṃ hi nātha praṇidhiṃ tvayā hi	kRtam hi nATa praNiDim tvayA hi
        ye keci satvā iha jambudvīpe //	ye keci satvAH iha jambudvIpe //
   (Asv 110)	(Asu 110)
   tiṣṭhanti ye vai daśasu diśāsu	tizWanti ye vE daSasu diSAsu
        satvā hi sarve sukhitā [kari]ṣye /	satvAH hi sarve suKitAH [kari]zye /
   sarve ca haṃ mocayi duḥkhasāgarāt	sarve ca ham mocayi duHKa-sAgarAt-
        trāṇaṃ bhavāhī śa[raṇaṃ parāya]ṇam* //	trANam BavAhI Sa[raNam parAya]Nam* //
   tvayaṃ hi nātha mayi mocayī jagat*	tu-ayam hi nATa mayi mocayI jagat*
        avaśyaṃ me pūrvakṛ[tena] karmaṇā /	avaSyam me pUrva-kR[tena] karmaNA /
   yenāhaṃ jātu daridrake gṛhe	yena-aham jAtu daridrake gRhe
        trāṇaṃ bhavāhī mama [duḥkhitāyāḥ] //	trANam BavAhI mama [duHKitAyAH] //
   [bhavaṃ] tu nātha jaravyādhimocakaṃ	[Bavan] tu nATa jara-vyADi-mocakam
        trāṇaṃ bhavāhī guṇa saṃci[tāgra] /	trANam BavAhI guNa saMci[ta-agra] /
   na cā kariṣye punar eva pāpaṃ	na cA karizye punar eva pApam
        yad vedayāmī imi vedanāni //	yat vedayAmI imi vedanAni //
   kṛpaṃ jani ...... magra satvā	kRpam jani ...... magra satvA
        trāṇaṃ bhavāhī śaraṇaṃ parāyaṇam* /	trANam BavAhI SaraNam parAyaNam* /
   ye keci satvā iha jambudvīpe	ye keci satvAH iha jambudvIpe
        nāmaṃ ca vai dhāraya paśca kāle //	nAmam ca vE DAraya paH-ca kAle //
   parinirvṛtasya tata paścakāle	parinirvRtasya tata paSca-kAle
        bhaviṣyati śāsanavipralopam* /	Bavizyati SAsana-vipralopam* /
   yat kiṃci pāpaṃ tadapūrva yat kṛtaṃ	yat kiMci pApam tat-apUrva yat kRtam
        sarvaṃ kṣayaṃ yāsyati śīghram e[ta]t* //	sarvam kzayam yAsyati SIGram e[ta]t* //
   atha sā nagarāvalambikā dārikā bhagavantaṃ gāthā bhāṣitvā pu[nar api]	aTa sA nagara-avalambikA dArikA Bagavantam gATA BAzitvA pu[nar api]
   gṛhagamanam ārabdhā | atha bhagavān tāṃ nagarāvalambikāṃ (Asv 111)	gRha-gamanam ArabDAH | aTa BagavAn tAm nagara-avalambikAm (Asu 111)
   [dārikāṃ kala]viṅkarutasvaranirghoṣeṇaivam āha | pratinivartasva [dārike	[dArikAm kala]viFka-ruta-svara-nirGozeNa-evam Aha | pratinivartasva [dArike
   pūrvajātinidānaṃ sa]manusmarāmi tad ahaṃ parikīrtayiṣyāmi | [atha sā	pUrva-jAti-nidAnam sa]m-anusmarAmi tat aham parikIrtayizyAmi | [aTa sA
   dārikā] pratinivṛtyaivam āha |	dArikA] pratinivRtya-evam Aha |
   parikīrtaya lokavināyakādya	parikIrtaya loka-vinAyaka-at-ya
        ya[d yat kṛtaṃ] pāpa sadā sudāruṇam* /	ya[t yat kRtaM] pApa sadA su-dAruNam* /
   avaśya me pāpu kṛtaṃ sudāruṇaṃ	avaSya me pApu kRtam su-dAruNam
        yenā[haṃ jātu] daridrake gṛhe //	yena-a[ham jAtu] daridrake gRhe //
   tvaṃ sārthavāhu iha sarvaloke	tvam sArTavAhu iha sarva-loke
        vimocaye maṃ iha istribhāvā /	vimocaye mam iha iH-tri-BAvAH /
   trāṇaṃ bhavāhī śaraṇaṃ parāyaṇaṃ	trANam BavAhI SaraNam parAyaNam
        kṛtajñahaṃ nitya bhavāmi nāyake //	kRtajQaham nitya BavAmi nAyake //
   saṃśrāvaye maṃ imu dharmanetrī	saMSrAvaye mam imu DarmanetrI
        nāsau kadācit tajate apāyam* /	na-asO kadAcid tajate apAyam* /
   saṃśodhayī karma yathākṛtaṃ mayā	saMSoDayI karma yaTAkRtam mayA
        trāṇaṃ bhavāhī śaraṇaṃ parāyaṇam* //	trANam BavAhI SaraNam parAyaNam* //
   asaṅgajñānī varalokanāyaka	asaFga-jQAnI vara-loka-nAyaka
        vandāmi nātha śaraṇaṃ kṛtāñjalī //	vandAmi nATa SaraNam kRtAQjalI //
   atha bhagavāṃs tāṃ dārikām evam āha | bhūtapūrvo dārike atīte 'dhvani	aTa BagavAn tAm dArikAm evam Aha | BUta-pUrvaH dArike atIte aDvani
   asaṃkhyeyaiḥ kalpaiḥ ratnaśikhī nāma tathāgato 'rhan samyaksaṃbuddho	asaMKyeyEH kalpEH ratnaSiKI nAma taTAgataH arhan samyaksaMbudDaH-
   vidyācaraṇasaṃpannaḥ sugato lokavid anuttaraḥ puruṣadamyasārathiḥ śāstā	vidyA-caraNa-saMpannaH sugataH loka-vid anuttaraH puruza-damya-sAraTiH SAstA
   devānāṃ ca manuṣyāṇāṃ ca buddho bhagavān* | tena (Asv 112) khalu punaḥ	devAnAm ca manuzyANAm ca budDaH BagavAn* | tena (Asu 112) Kalu punar-
   samayena padmāvatī nāma rājadhāny abhūt* | tena khalu punaḥ samayena	samayena padmAvatI nAma rAjaDAni aBUt* | tena Kalu punar samayena
   padmāvatyāṃ rājadhānyāṃ padmaprabho nāma gṛhapatir abhūt* | tasya	padmAvatyAm rAjaDAnyAm padmapraBaH nAma gRhapatiH aBUt* | tasya
   padmaprabhasya gṛhapates tvaṃ [duhi]tābhūḥ | tena khalu punaḥ samayena	padma-praBasya gRhapateH tvam [duhi]tA-BUH | tena Kalu punar samayena
   grāmanagaranigamajanapadeṣu piṇḍapātiko bhikṣuḥ piṇḍapātāyāvatarati | yadā	grAma-nagara-nigama-janapadezu piNxapAtikaH BikzuH piNxa-pAtAya-avatarati | yadA
   tvadgṛham āgato 'bhūt tadā tvaṃ dārike piṇḍapātaṃ gṛhītvā gṛhān niṣkrāntā	tvad-gRham AgataH aBUt tadA tvam dArike piNxa-pAtam gRhItvA gRhAt nizkrAntA
   punar eva praviṣṭābhūḥ | na cāhaṃ muṇḍitaśiraso 'dhanyasya piṇḍapātaṃ	punar eva pravizwABUH | na ca-aham muNxita-SirasaH aDanyasya piNxa-pAtam
   dāsyāmi | tena karmopacayena tvayā dārike dvādaśa kalpasahasrāṇi punaḥ	dAsyAmi | tena karma-upacayena tvayA dArike dvAdaSa kalpa-sahasrANi punar-
   punar daridragṛhe duḥkhāny anubhūtāni | ekena tvayā dārike kuśalamūlena	punar daridra-gRhe duHKAni anuBUtAni | ekena tvayA dArike kuSala-mUlena
   bodhivyākaraṇaṃ pratilapsyase | yat tvayā tasya bhikṣo rūpaliṅgasaṃsthā na	boDi-vyAkaraNam pratilapsyase | yat tvayA tasya BikzaH rUpa-liFga-saMsTA na
   dṛṣṭā bhaviṣyasi tvaṃ dārike anāgate 'dhvani acintyair aparimāṇaiḥ kalpair	dRzwA Bavizyasi tvam dArike anAgate aDvani acintyEH aparimANEH kalpEH-
   nagaradhvajo nāma tathāgato 'rhan samyaksaṃbuddho vidyācaraṇasaṃpannaḥ	nagaraDvajaH nAma taTAgataH arhan samyaksaMbudDaH vidyA-caraNa-saMpannaH
   sugato lokavid anuttaraḥ puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ	sugataH loka-vid anuttaraH puruza-damya-sAraTiH SAstA devAnAm ca manuzyANAm
   ca buddho bhagavān* loke | atha sā dārikā bhagavantaṃ triḥ pradakṣiṇaṃ	ca budDaH BagavAn* loke | aTa sA dArikA Bagavantam tris pradakziNam
