   Mahāpratisarāvidyādhāraṇī	MahA-pratisara-avidyA-DAraNI
   rakṣa-rakṣa māṃ sarvasattvāṃśca sarvadā bhayebhyaḥ sarvopadravebhyaḥ	rakza-rakza mAm sarva-sattvAn=-ca sarvadA BayeByaH sarva-upadraveByaH
   sarvavyādhibhyaḥ cili-cili viri-viri dhiri-dhiri vigatāvaraṇaviśodhani	sarva-vyADiByaH cili-cili viri-viri Diri-Diri vigata-AvaraNa-viSoDani
   vividhāvaraṇavināśini | muci-muci muri-muri muli-muli kili-kili mili-mili	viviDa-AvaraNa-vinASini | muci-muci muri-muri muli-muli kili-kili mili-mili
   kamale vimale-vimale jayavijayāvahe jayavati viśeṣavati bhagavati	kamale vimale-vimale jaya-vijayA-Avahe jayavati viSezavati Bagavati
   ratnamakuṭamālādhari bahuvividhavicitraveśadhāriṇi | bhagavati mahāvidyā	ratna-makuwa-mAlA-Dari bahu-viviDa-vicitra-veSa-DAriNi | Bagavati mahAvidyA
   devi rakṣa rakṣa māṃ sarvasattvāṃśca samantātsarvapāpaviśodhani |	devi rakza rakza mAm sarva-sattvAn=-ca samantAt-sarva-pApa-viSoDani |
   hulu-hulu mulu-mulu rakṣa-rakṣa māṃ	hulu-hulu mulu--mulu rakza-rakza mAm
   sarvasattvānāñcā(ttvāṃścā)nāthānatrāṇāna(nni)rayanānaśaraṇānaparāyaṇān	sarva-sattva-anAQcA(t-tvAn=-ca-a)nATAn-atrANAn-a(n-ni)raya-nAna-SaraNAn-aparAyaNAn
   parimocaya sarvaduḥkhebhyaḥ | caṇḍi-caṇḍi caṇḍini-caṇḍini vegavati	parimocaya sarva-duHKeByaH | caNxi-caNxi caNxi-ni-caNxini vegavati
   sarvaduṣṭanivāriṇi vijayavāhini | huru-huru curu-curu turu-turu	sarva-duzwa-nivAriNi vijaya-vAhini | huru-huru curu-curu turu-tuH-u
   āyuḥpāla(li)ni suravarapramathani sarvadevagaṇapūjite | ciri-ciri	AyuH-pAla(li)ni sura-vara-pramaTani sarva-deva-gaNa-pUjite | ciri-ciri
   viri-viri samantāvalokite prabhe-prabhe suprabhe suprabhaviśuddhe	viri-viri samantA-avalokite praBe--praBe su-praBe su-praBaviSudDe
   sarvapāpaviśuddhe sarvapāpaviśodhani dhuru-dhuru dharaṇidhare dhara-dhara	sarva-pApa-viSudDe sarva-pApa-viSoDani Duru-Duru DaraNiDare Dara-Dara
   sumuja sumuru-sumuru ru ru cale cālaya sarvaduṣṭān pūrayāśān (Mpv-Dh_132)	sumuja su-muru-su-muru ru ru cale cAlaya sarva-duzwAn pUra-yASAn (Mpv-Dm_132)
   māttaṅgini śrīvapudhare jayakamale kṣiṇi-kṣiṇi varadāṅkuśe | om	mAttaFgini SrI-vapuDare jaya-kamale kziNi-kziNi vara-da-aFkuSe | om
   padmaviśuddhe śodhaya-śodhaya śuddhe-śuddhe bhara-bhara bhiri-bhiri	padma-viSudDe SoDaya--SoDaya SudDe--SudDe Bara--Bara Biri-BiH-i
   bhuru-bhuru maṅgalaviśuddhe | pavitramukhi khaḍgini-khaḍgini khara-khara	Buru-Buru maFgala-viSudDe | pavitra-muKi Kaxgi-ni-Kaxgini Kara-Kara
   jvalitaśikhare-jvalitaśikhare samantāvalokitaprabhe suprabhaviśuddhe	jvalita-SiKare--jvalita-SiKare samantA-avalokita-praBe supraBaviSudDe
   samaṃtāt prasāritāvabhāsitaviśuddhe jvala-jvala sarvadevagaṇasamākarṣaṇi	samaMtAt prasArita-avaBAsita-viSudDe jvala--jvala sarva-deva-gaNa-samAkarzaNi
   satyavrate | om hrīṃṃ traṃ tara-tara tāraya māṃ bhagavati sarvasattvāṃśca	satyavrate | om hrIMm tram tara-tara tAraya mAm Bagavati sarva-sattvAn=-ca
   nāgavilokite laghu-laghu lahu-lahu hulu-hulu hutu-hutu turu-turu tuhu-tuhu	nAga-vilokite laGu--laGu lahu--lahu hulu-hulu hutu-hutu turu-turu tuhu-tuhu
   kiṇi-kiṇi kṣiṇi-kṣiṇi sarvagrahabhakṣaṇi piṃgari-piṃgari mucu-4 sumu-sumu	kiNi-kiNi kziNi-kziNi sarva-graha-BakzaNi piMgari--piMgari mucu-4 su-mu-sumu
   suvicale tara-tara nāgavilokini tāraya māṃ bhagavati sarvasattvāṃśca	su-vicale tara-tara nAga-vilokini tAraya mAm Bagavati sarva-sattvAn=-ca
   saṃsārārṇavāt bhagavati aṣṭamahādāruṇabhayebhyaḥ | sarvatra samantena	saMsAra-arNavAt Bagavati azwa-mahA-dAruNa-BayeByaH | sarvatra samantena
   diśābandhena vajrapāśabandhane vajrajvālini vajrajvālāviśuddhe |	diSAbanDena vajra-pASa-banDane vajra-jvAlini vajra-jvAlA-viSudDe |
   bhuri-bhuri bhara-bhara bhiri-bhiri bhuru-bhuru bhagavati garbhaviśuddhe	Buri-Buri Bara--Bara Biri-Biri Buru-Buru Bagavati garBa-viSudDe
   garvasaṃśodhani kukṣisaṃpūraṇi rakṣa-rakṣaṇi | jvala-jvala cara-cara | om	garva-saMSoDani kukzi-saMpUraNi rakza--rakzaNi | jvala-jvala cara-cara | om
   jvālini varṣantu(tu) devaḥ samantena divyodakena amṛtavarṣaṇi	jvAlini varzantu(tu) devaH samantena divya-udakena amRta-varzaNi
   devatāvatāriṇi | abhiṣiñcatu māṃ sugatavaravacanāmṛtavapuṣe | rakṣa-rakṣa	devatAvatAriNi | aBiziQcatu mAm sugata-vara-vacana-amRta-vapuze | rakza-rakza
   māṃ sarvasattvāṃśca sarvatra sarvadāsarvabhayebhyaḥ sarvopasargebhyaḥ	mAm sarva-sattvAn=-ca sarvatra sarvadA-sarva-BayeByaH sarva-upasargeByaH
   sarvaduṣṭabhayabhītebhyaḥ sarvakalikalahavivādasarvabhayaviśodhani	sarva-duzwa-Baya-BIteByaH sarva-kali-kalaha-vivAda-sarva-Baya-viSoDani
   duḥsvapna-durnimittā-maṅgalapāpaviśodhani kukṣisaṃpūraṇi	duHsvapna--durnimittA--maFgala-pApa-viSoDani kukzi-saMpUraNi
   sarvayakṣarākṣasanāgavidāriṇi bala-bala balavati jaya-jaya vijaya-vijaya	sarva-yakza-rAkzasa-nAga-vidAriNi bala-bala balavati jaya-jaya vijaya-vijaya
   jayatu sarvatra sarvakālaṃ siddhayantu(tu) me iyaṃ mahāvidyā sādhaya	jayatu sarvatra sarvakAlam sidDayan-tu(tu) me iyam mahAvidyA sADaya
   maṇḍalaṃ (Mpv-Dh_133) ghāṭaya vidhnān jaya-jaya sidhya-sidhya	maNxalam (Mpv-Dh_133) GAwaya viDnAn jaya-jaya siDya--siDya
   budhya-budhya pūraya-pūraya pūraṇi-pūraṇi pūraya me āśāṃ vidhodgatamūrte	buDya-buDya pUraya--pUraya pUraNi-pUraNi pUraya me ASAm viDa-udgata-mUrte
   jayottari jayakari jayavati tiṣṭha-tiṣṭha bhagavati samayamanupālaya	jaya-uttari jaya-kari jayavati tizWa-tizWa Bagavati samayam-anupAlaya
   sarvatathāgatahṛdayaviśuddhe vyavalokaya māṃ sarvasattvāṃśca sarvāśāṃ	sarva-taTAgata-hRdaya-viSudDe vyavalokaya mAm sarva-sattvAn=-ca sarva-ASAm
   paripūraya sarvasattvānāñca trāyasva māmaṣṭamahādāruṇabhayebhyaḥ sara-sara	paripUraya sarva-sattva-anAQca trAyasva mAm-azwa-mahA-dAruNa-BayeByaH sara-sara
   prasara-prasara sarvāvaraṇaviśodhani samantākāra - viśuddhe vigate-vigate	prasara--prasara sarva-AvaraNa-viSoDani samantAkAraH  viSudDe vigate--vigate
   vigatamale sarvamalaviśodhani sarvamaṅgalaviśuddhe | kṣiṇi-kṣiṇi	vigata-male sarva-mala-viSoDani sarva-maFgala-viSudDe | kziNi-kziNi
   sarvapāpaviśuddhe | malavigate jayavati tejovati vajravati | vajre	sarva-pApa-viSudDe | mala-vigate jayavati tejovati vajravati | vajre
   vajravati | om trailokyādhiṣṭhite svāhā | sarvatathāgatamūrdhābhiṣikte	vajravati | om trElokya-aDizWite svAhA | sarva-taTAgata-mUrDABizikte
   svāhā | sarvatathāgatahṛdayādhiṣṭhite hṛdaya svāhā | sarvatathāgatasamaye	svAhA | sarva-taTAgata-hRdaya-aDizWite hRdaya svAhA | sarva-taTAgata-samaye
   siddhe svāhā | indre indravati indravyavalokite svāhā | brahme	sidDe svAhA | indre indravati indra-vyavalokite svAhA | brahme
   brahmādhyuṣite svāhā | sarvatathāgatādhiṣṭhite svāhā | viṣṇunamaskṛte	brahma-aDyuzite svAhA | sarva-taTAgata-aDizWite svAhA | vizNu-namaskRte
   svāhā | maheśvaravaṃdita-pūjitāya svāhā |	svAhA | maheSvara-vaMdita--pUjitAya svAhA |
   vajradharavajrapāṇibalavīryādhiṣṭhite svāhā | dhṛtarāṣṭrāya svāhā |	vajraDara-vajrapANi-bala-vIrya-aDizWite svAhA | DRtarAzwrAya svAhA |
   viruḍhakāya svāhā | virupākṣāya svāhā | vaiśravaṇāya svāhā |	viruXakAya svAhA | virupAkzAya svAhA | vESravaNAya svAhA |
   caturmahārājanamaskṛtāya svāhā | yamāya svāhā | yamapūjitanamaskṛtāya	catur-mahA-rAja-namaskRtAya svAhA | yamAya svAhA | yama-pUjita-namaskRtAya
   svāhā | varuṇāya svāhā | vāruṇāya svāhā | mārutāya svāhā | mahāmārutāya	svAhA | varuNAya svAhA | vAruNAya svAhA | mArutAya svAhA | mahA-mArutAya
   svāhā | agnaye svāhā | vāyavye(ve) svāhā | nāgavilokitāya svāhā |	svAhA | agnaye svAhA | vAyavye(ve) svAhA | nAga-vilokitAya svAhA |
   devagaṇebhyaḥ svāhā | nāgagaṇebhyaḥ svāhā | yakṣagaṇebhyaḥ svāhā |	deva-gaNeByaH svAhA | nAga-gaNeByaH svAhA | yakza-gaNeByaH svAhA |
   rākṣasagaṇebhyaḥ svāhā | gandharvagaṇebhyaḥ svāhā | apasmāragaṇebhyaḥ	rAkzasa-gaNeByaH svAhA | ganDarva-gaNeByaH svAhA | apasmAra-gaNeByaH
   svāhā | asuragaṇebhyaḥ svāhā | garuḍagaṇebhyaḥ svāhā | kinnaragaṇebhyaḥ	svAhA | asura-gaNeByaH svAhA | garuxa-gaNeByaH svAhA | kinnara-gaNeByaH
   svāhā | mahoragagaṇebhyaḥ svāhā | manuṣyagaṇebhyaḥ svāhā |	svAhA | mahA-uraga-gaNeByaH svAhA | manuzya-gaNeByaH svAhA |
   amanuṣyagaṇebhyaḥ svāhā | sarvagrahebhyaḥ svāhā | sarvanakṣatrebhyaḥ svāhā	amanuzya-gaNeByaH svAhA | sarva-graheByaH svAhA | sarva-nakzatreByaH svAhA
   | sarvabhūtebhyeḥ svāhā | (Mpv-Dh_134) sarvapretebhyaḥ svāhā |	| sarva-BUteByeH svAhA | (Mpv-Dh_134) sarva-preteByaH svAhA |
   sarvapiśācebhyaḥ svāhā | sarvāpasmārebhyaḥ svāhā | sarvakubhāṇḍebhyaḥ	sarva-piSAceByaH svAhA | sarva-apasmAreByaH svAhA | sarva-kuBANxeByaH
   svāhā | sarvapūtanebhyaḥ svāhā | sarvakaṭhapūtanebhyaḥ svāhā |	svAhA | sarva-pUtaneByaH svAhA | sarva-kaWa-pUtaneByaH svAhA |
   sarvaduṣṭapraduṣṭebhyaḥ svāhā | om dhuru-dhuru svāhā | om turu-turu svāhā	sarva-duzwa-praduzweByaH svAhA | om Duru-Duru svAhA | om turu-turu svAhA
   | om kuru-kuru svāhā | om curu-curu svāhā | om muru-muru svāhā | om	| om kuru-kuru svAhA | om curu-curu svAhA | om muru-muru svAhA | om
   hana-hana sarvaśatrūn svāhā | om daha-daha sarvaduṣṭān svāhā | om	hana-hana sarva-SatrUn svAhA | om daha-daha sarva-duzwAn svAhA | om
   paca-paca pratyarthikān pratyamitrān svāhā | ye mamāhitaiṣiṇasteṣāṃ	paca-paca pratyarTikAn pratyamitrAn svAhA | ye mama-ahita-eziNaH-tezAm
   sarveṣāṃ śarīraṃjvālaya-jvālaya sarvaduṣṭacittānāṃ svāhā | vajrajvālāya	sarvezAm SarIraMjvAlaya--jvAlaya sarva-duzwa-cittAnAm svAhA | vajra-jvAlAya
   svāhā | samaṃtajvālāya svāhā | maṇibhadrāya svāhā | pūrṇabhadrāya svāhā |	svAhA | samaMtajvAlAya svAhA | maNiBadrAya svAhA | pUrNaBadrAya svAhA |
   samantabhadrāya svāhā | mahāsamantabhadrāya svāhā | ākāśamātṝṇāṃ svāhā |	samantaBadrAya svAhA | mahA-samantaBadrAya svAhA | AkASa-mAtLNAm svAhA |
   samudragāminīnāṃ svāhā | rātricarāṇāṃ svāhā | divācarāṇāṃ svāhā |	samudra-gAminInAm svAhA | rAtri-carANAm svAhA | divAcarANAm svAhA |
   trisandhyācarāṇāṃ svāhā | velācarāṇāṃ svāhā | avelācarāṇāṃ svāhā |	tri-sanDyA-carANAm svAhA | velA-carANAm svAhA | avelA-carANAm svAhA |
   garbhaharebhyaḥ svāhā | garbhadharebhyaḥ svāhā | garbhahāriṇībhyaḥ svāhā |	garBa-hareByaH svAhA | garBa-DareByaH svAhA | garBa-hAriNIByaH svAhA |
   garbhasaṃdhāriṇībhyaḥ svāhā | calu-calu svāhā | hulu-hulu svāhā | om svāhā	garBa-saMDAriNIByaH svAhA | calu-calu svAhA | hulu-hulu svAhA | om svAhA
   | bhūḥ svāhā | bhuvaḥ svāhā | svaḥ svāhā | bhurbhuva ḥ[sva] svāhā |	| BUH svAhA | BuvaH svAhA | svar svAhA | BuH-BuvaH H[sva] svAhA |
   cili-cili svāhā | dharaṇī svāhā | dhāraṇī svāhā | agneḥ svāhā | tejovāyū	cili-cili svAhA | DaraNI svAhA | DAraNI svAhA | agneH svAhA | tejaH-vAyU
   svāhā | cili-cili svāhā | sili-sili svāhā | mili-mili svāhā |	svAhA | cili-cili svAhA | sili-sili svAhA | mili-m-ili svAhA |
   budhya-budhya svāhā | maṇḍalabandhe svāhā | sīmābandhe svāhā | sarvaśatrūn	buDya-buDya svAhA | maNxala-banDe svAhA | sImA-banDe svAhA | sarva-SatrUn
   bhaṃjaya svāhā | jambhaya-jambhaya svāhā | stambhaya-stambhaya svāhā |	BaMjaya svAhA | jamBaya-jamBaya svAhA | stamBaya-stamBaya svAhA |
   cchinda-cchinda svāhā | bhinda-bhinda svāhā | bhaṃjaya-bhaṃjaya svāhā |	cCinda-cCinda svAhA | Binda-Binda svAhA | BaMjaya-BaMjaya svAhA |
   bandha-bandha svāhā | mohaya-mohaya svāhā | maṇiviśuddhe svāhā | sūrye	banDa-banDa svAhA | mohaya--mohaya svAhA | maNi-viSudDe svAhA | sUrye
   sūryaviśuddhe svāhā | śodhani svāhā | viśodhani svāhā | candre-candre	sUrya-viSudDe svAhA | SoDani svAhA | viSoDani svAhA | candre-candre
   pūrṇacandre (Mpv-Dh_135) svāhā | grahebhyaḥ svāhā | nakṣatrebhyaḥ svāhā |	pUrNa-candre (Mpv-Dh_135) svAhA | graheByaH svAhA | nakzatreByaH svAhA |
   piśācebhyaḥ svāhā | śivebhyaḥ svāhā | viśvebhyaḥ svāhā | śāntibhyaḥ svāhā	piSAceByaH svAhA | SiveByaH svAhA | viSveByaH svAhA | SAntiByaH svAhA
   | puṣṭibhyaḥ svāhā | svastyayanebhyaḥ svāhā | garbhaharebhyaḥ svāhā |	| puzwiByaH svAhA | svastyayaneByaH svAhA | garBa-hareByaH svAhA |
   śivaṃkari svāhā | śāntikari svāhā | puṣṭikari svāhā | balavarddhani svāhā	SivaMkari svAhA | SAntikari svAhA | puzwi-kari svAhA | bala-vardDani svAhA
   | śrīkari svāhā | śrīvarddhani svāhā | balavarddhanakari svāhā |	| SrIkari svAhA | SrI-vardDani svAhA | bala-vardDana-kari svAhA |
   śrījvālini svāhā | muci svāhā | namuci svāhā | vegavati svāhā | om svāhā |	SrI-jvAlini svAhA | muci svAhA | namuci svAhA | vegavati svAhA | om svAhA |
   sarvatathāgatamūrte pravaravigate vigatabhayasva me bhagavati	sarva-taTAgata-mUrte pravara-vigate vigata-Bayasva me Bagavati
   sarvapāpasvastirbhavatu mama sarvasattvānāñca svāhā | om muni-muni	sarva-pApasvastiH-Bavatu mama sarva-sattva-anAQca svAhA | om muni--muni
   vimuni-vimuni dhari-dhari cari-cari valane bhagavati	vimuni--vimuni Dari-Dari cari-cari valane Bagavati
   bhayaharaṇi-bhayaharaṇi bodhi-bodhi bodhaya-bodhaya budhiri-budhiri	Baya-haraNi-Baya-haraNi boDi--boDi boDaya--boDaya buDiri--buDiri
   cuṃbili-cuṃbili svāhā | sarvatathāgatahṛdayajuṣṭe svāhā | om muni-muni	cuMbili--cuMbili svAhA | sarva-taTAgata-hRdaya-juzwe svAhA | om muni--muni
   munivare abhiṣiñca māṃ saparivāraṃ sarvasattvānāñca sarvatathāgatāḥ	muni-vare aBiziQca mAm sa-parivAram sarva-sattva-anAQca sarva-taTAgatAH
   sarvavidyābhiṣekairmahākavacamudrāmudritaiḥ	sarva-vidyA-aBizekEH-mahA-kavaca-mudrA-mudritEH
   sarvatathāgatahṛdayādhiṣṭhitaśuddhe mudre vajre svāhā |	sarva-taTAgata-hRdaya-aDizWita-SudDe mudre vajre svAhA |
   samantajvālāmālāviśuddhisphuritacintāmaṇirmahāmudrāhṛdayāparājitāmahādhāraṇī	samanta-jvAlA-mAlA-viSudDi-sPurita-cintA-maNiH-mahAmudrA-hRdaya-aparAjitA-mahADAraNI
   punarevamaparamantrāḥ siddhāḥ sarvakarmakarāḥ śubhāḥ |	punar-evam-apara-mantrAH sidDAH sarva-karma-karAH SuBAH |
   sarvakāmaṃdadā bhadrāsyaṃprabhāṣe śṛṇuṣva ca ||	sarva-kAmaMdadAH BadrAsi-aMpraBAze SRNuzva ca ||
   tadyathā om amṛtavare vara-vara pravara viśuddhe hūṃ-hūṃ phaṭ-phaṭ svāhā |	tat-yaTA om amRta-vare vara-vara pravara viSudDe hUn-hUm Paw--Paw svAhA |
   om amṛtavilokini garbha saṃrakṣaṇi ākarṣaṇi hūṃ hūṃ phaṭphaṭ svāhā |	om amRta-vilokini garBa saMrakzaNi AkarzaNi hUm hUm Paw-Pah svAhA |
   aparājitāhṛdayam |	aparAjitA-hRdayam |
   om vimale vipule jayavare jayavāhini amṛtaviraje hūṃ hūṃ phaṭphaṭ svāhā |	om vimale vipule jaya-vare jaya-vAhini amRta-viraje hUm hUm Paw-Pah svAhA |
   om bhara-bhara saṃbhara-saṃbhara indriye balaviśodhani hūṃ hūṃ phaṭphaṭru	om Bara--Bara saMBara--saMBaraH indriye bala-viSoDani hUm hUm Paw-Pawru
   ru cale svāhā | om maṇidhari vajriṇi mahāpratisare hūṃ hūṃ phaṭphaṭ svāhā	ru cale svAhA | om maNiDari vajriNi mahA-pratisare hUm hUm Paw-Pah svAhA
   | upahṛdayavidyā |	| upahRdaya-vidyA |
   (Mpv-Dh_136)	(Mpv-Dh_136)
   asyāḥ śravaṇamātreṇa sarvapāpakṣayaṃgatā |	asyAH SravaNa-mAtreNa sarva-pApa-kzayaMgatA |
   yayā yukto vajrakāyo namastasyai namo namaḥ ||	yayA yuktaH vajra-kAyaH namaH-tasyE namaH namaH ||
   yāṃsmaran rāhulo rakṣa mātaraṃkukṣisaṃsthitaḥ |	yAMsmaran rAhulaH rakza mAtaraMkukzi-saMsTitaH |
   prakṣipte yo viṣanadyāṃ namastasyai namo namaḥ ||	prakzipte yaH viza-nadyAm namaH-tasyE namaH namaH ||
   yo rakṣedvaṇijaḥ putraṃ krūrasarpavadhodyatam |	yaH rakzet-vaNijaH putram krUra-sarpa-vaDa-udyatam |
   viṣadāhamu .... ṣaśca namastasyai namo namaḥ ||	viza-dAhamu .... zaH-ca namaH-tasyE namaH namaH ||
   brahmadatto mahārājo yayā rakṣitamaṣṭakaḥ |	brahmadattaH mahA-rAjaH yayA rakzitam-azwakaH |
   ripuṃjitvāvirājo 'bhūnnamastasyai manassadā ||	ripuMjitvA-avirAjaH aBUt-namaH-tasyE manassadA ||
   bhikṣuduḥśīlako rogī yayā kaṇṭhe prabandhitaḥ |	Bikzu-duHSIlakaH rogI yayA kaNWe prabanDitaH |
   prāṇāmukto yayai svargaṃ namastasyai namo namaḥ ||	prANAmuktaH yayE svargam namaH-tasyE namaH namaH ||
   samudre potasaṃkṣubdhe vaṇijānprāṇarakṣakaḥ |	samudre pota-saMkzubDe vaNijAn-prANa-rakzakaH |
   yāṃ smaransārthavāho 'bhūnnamastasyai namo namaḥ ||	yAm smaran-sArTavAhaH aBUt-namaH-tasyE namaH namaH ||
   yayā pratibaddhāyāṃ bhāryāyāṃ sutamāptavān |	yayA pratibadDAyAm BAryAyAm sutam-AptavAn |
   prasāritabhujo rājā namastasyai namo namaḥ ||	prasArita-BujaH rAjA namaH-tasyE namaH namaH ||
   daridrāṃyāṃ pratismṛtvā dīnāraṃ pradadau jine |	daridra-aMyAm pratismRtvA dInAram pradadO jine |
   rājājiṣṭa pradātābhūnnamastasyai namo namaḥ ||	rAjA-ajizwa pradAtA-aBUt-namaH-tasyE namaH namaH ||
   yāṃ prabuddhāsurairbaddho .... cūḍāmaṇau prabhuḥ |	yAm prabudDa-asurEH-badDaH .... cUxAmaNO praBuH |
   labdhavānvijayaṃ vajrī namastasyai namo namaḥ ||	labDavAn-vijayam vajrI namaH-tasyE namaH namaH ||
   yasyāvantabalenaiva pūrya pāramitāṣaṭ |	yasya-avanta-balena-eva pUrya pAramitA-zaw |
   mārāñjitvā jinā buddhā namastasyai namo namaḥ ||	mArAn-jitvA jinAH budDAH namaH-tasyE namaH namaH ||
   aparādhī vadhārho'pi prakṣiptaḥ sarvasaṃkaṭe |	aparADI vaDa-arhaH-api prakziptaH sarva-saMkawe |
   yāṃ smṛtaḥ parimuktobhūnnamastasyai namo namaḥ ||	yAm smRtaH parimukta-uBUt-namaH-tasyE namaH namaH ||
   (Mpv-Dh_137)	(Mpv-Dh_137)
   yayā bandhitakaṇṭhaśca muktopāyasaṃkaṭāt |	yayA banDita-kaNWaH-ca mukta-upAya-saMkawAt |
   nagare nāyakobhūnnamastasyai namo namaḥ ||	nagare nAyaka-uBUt-namaH-tasyE namaH namaH ||
   yā cāparājitāvijyā(dyā)sarvabuddhaiśca dhāritā |	yA ca-aparAjita-avijyA(dyA)-sarva-budDEH-ca DAritA |
   mudritā bhāṣitā nityaṃ paṭhitā paradeśitā ||	mudritA BAzitA nityam paWitA para-deSitAH ||
   likhitā moditā sattvahitāya pūjitā sadā |	liKitA moditA sattva-hitAya pUjitA sadA |
   smṛtvā kāyagatāṃ kṛtvā namastasyai namo namaḥ ||	smRtvA kAya-gatAm kRtvA namaH-tasyE namaH namaH ||
   yasyāḥ śravaṇamātraṃca durlabha bhuvanatraye |	yasyAH SravaNa-mAtraMca durlaBa Buvana-traye |
   pāṭhasvādhyayanaṃ vāpi namastasyai namo namaḥ ||	pAWa-sva-aDyayanam vA-api namaH-tasyE namaH namaH ||
   yā vidyā durlabhā buddhairvyākṛtā saṃpraśaṃsitā |	yA vidyA durlaBA budDEH-vyAkRtA saMpraSaMsitA |
   mahatī dhāraṇī khyātā sarvapāpakṣayaṃkarī ||	mahatI DAraNI KyAtA sarva-pApa-kzayaMkarI ||
   mahābalā mahāsarppā mahātejā mahatprabhā |	mahA-balA mahA-sarppA mahA-tejAH mahat-praBA |
   mahāguṇavatī vidyāsarvamāravidāriṇī ||	mahA-guNavatI vidyA-sarvamAra-vidAriNI ||
   pāpasaṃdhisamudghāṭī māramadapramocanī |	pApa-saMDi-samudGAwI mAra-mada-pramocanI |
   jananī bodhisattvānāṃ sarvaduṣṭavināśinī ||	jananI boDisattvAnAm sarva-duzwa-vinASinI ||
   rakṣiṇī poṣiṇī dhātrīparamantravighāṭinī |	rakziNI poziNI DAtrI-para-mantra-viGAwinI |
   kākhorddaviṣayogānāṃ vidhvaṃsanakarīśivā ||	kAKa-UH-dda-viza-yogAnAm viDvaMsana-karI-SivAH ||
   mahāyānaratānāñca gṛhṇatāṃ likhatāṃ tathā |	mahAyAna-rata-anAQca gRhNatAm liKatAm taTA |
   pāṭhādhyayanakṛtāṃ nityaṃ dadhatāṃ śrūyatāṃ tathā ||	pAWA-aDyayana-kRtAm nityam daDatAm SrUyatAm taTA ||
   parebhyo diśatāṃ caiva nityaṃ manasi bhāvitām |	pareByaH diSatAm ca-eva nityam manasi BAvitAm |
   sapustakagatāṃ kṛtvā pūjyamānyanamaskṛtam ||	sa-pustaka-gatAm kRtvA pUjyamAnya-namaskRtam ||
   sarvapāpaharī bhadrā bodhisaṃbhārapūraṇī |	sarva-pApa-harI BadrA boDi-saMBAra-pUraNI |
   namastasyai namastasyai namastasyai namo namaḥ ||	namaH-tasyE namaH-tasyE namaH-tasyE namaH namaH ||
   yasyā mantraprabhāveṇa sarvabhaya upadravāḥ |	yasyAH mantra-praBAveNa sarva-BayaH upadravAH |
   duṣṭāsuramanuṣyāśca daityagandharvarākṣasāḥ ||	duzwa-asura-manuzyAH-ca dEtya-ganDarva-rAkzasAH ||
   (Mpv-Dh_138)	(Mpv-Dh_138)
   grahāḥ skaṃdā apasmārāḥ piśācā yakṣakinnarāḥ |	grahAH skaMdAH apasmArAH piSAcAH yakza-kinnarAH |
   ḍākinyaḥ śākinīsaṃghā nāgāḥ kāṣordda tu vyādhayaḥ |	xAkinyaH SAkinI-saMGAH nAgAH kAzoH-dda tu vyADayaH |
   jvarāśca vividhā rogāḥ parakarmakṛtāstathā ||	jvarAH-ca viviDAH rogAH para-karma-kRtAH-taTA ||
