   navamaḥ paricchedaḥ	navamaH paricCedaH
   rasādīnāmarthācchabdārthaśarīrasya kāvyasyātmabhūtānām /	rasa-AdInAm-arTAt-Sabda-arTa-SarIrasya kAvyasya-Atma-BUtAnAm /
   Locanā:	LocanA:
   (lo, ā) padānāṃ saṅgaṭanā racanā arthāt viśiṣṭā, viśeṣaśca	(lo, A) padAnAm saFgawanAH racanA arTAt viSizwA, viSezaH-ca
   viśeṣalakṣaṇeṣvabhivyaktaḥ /	viSeza-lakzaNezu-aBivyaktaH /
   rasādīnāmiti /	rasa-AdInAm-iti /
   aṅgasaṃsthāviśeṣo yathā loke ātmānamupakaroti tathā kāvyeṣu /	aFga-saMsTA-viSezaH yaTA loke AtmAnam-upakaroti taTA kAvyezu /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ---sā punaḥ syāccaturvidhā // VisSd_9.1 //	---sA punar syAt-caturviDAH // VisSd-_9.1 //
   vaidarbho cātha gauḍī ca pāñcālī lāṭikā tathā /	vEdarBaH ca-aTa gOxI ca pAQcAlI lAwikA taTA /
   sarītiḥ /	sarItiH /
   tatra---	tatra---
   mādhuryavyañjakervarṇai racanā lalitātmikā // VisSd_9.2 //	mADurya-vyaQjakeH-varNEH racanA lalita-AtmikAH // VisSd-_9.2 //
   avṛttiralpavṛttirvā vaidarbho rītiriṣyate /	avRttiH-alpa-vRttiH-vA vEdarBaH rItiH-izyate /
   yathā---"anaṅgamaṅgalabhuvaḥ--" ityādi /	yaTA---"anaFga-maFgala-BuvaH--" ityAdi /
   rudraṭastvāha---	rudrawaH-tu-Aha---
   asamastaikasamastā yuktā daśabhirguṇaiśca vaidarbho /	asamasta-eka-samastAH yuktAH daSaBiH-guNEH-ca vEdarBaH /
   vargadvitīyabahulā svalpaprāṇākṣarā ca suvidheyā //	varga-dvitIya-bahulA su-alpa-prANa-akzarA ca suviDeyAH //
   atra daśaguṇāstanmatoktāḥ śleṣādayaḥ /	atra daSaguNAH-tad-mata-uktAH Sleza-AdayaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ga) anaṅgamaṅgalabhuva ityādi vyākhyātam /	(vi, ga) anaFga-maFgala-BuvaH ityAdi vyAKyAtam /
        ekapadasamastā na tvanekapadairderghasamastā /	eka-pada-samastAH na tu-aneka-padEH-derGa-samastAH /
        svalpaprāṇāni akṣarāṇi īṣat prayatnoccāryyāpi kakārahakārādīni yatra	su-alpa-prANAni akzarANi Izat prayatna-uccAryya-api kakAra-hakAra-AdIni yatra
        śleṣādirdaśaguṇāḥ /	Sleza-AdiH-daSa-guNAH /
        Locanā:	LocanA:
        (lo, i) lalitātmikā sukumārasvarūpā /	(lo, i) lalita-AtmikA sukumAra-svarUpAH /
        vṛttiḥ samāsaḥ /	vRttiH samAsaH /
        atra rudraṭācāryyamataprakaṭanam /	atra rudrawA-cAryi-amata-prakawanam /
        ekasamastā ekapadasamāsayuktā, svalpaprāṇākṣarā mūrddhnā	eka-samastAH eka-pada-samAsa-yuktA, su-alpa-prANa-akzarA mUrdDnA
   mṛdvṛttetyādivat na kaṣṭoccāraṇīyavarṇā /	mRd-vRtta-ityAdi-vat na kazwa-uccAraNIya-varNAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ojaḥ prakāśakairvaṇairbandha āḍambaraḥ punaḥ // VisSd_9.3 //	ojaH prakASakErvaNEH-banDaH AxambaraH punar // VisSd-_9.3 //
   samāsabahulā gauḍī---	samAsa-bahulA gOxI---
   yathā---"cañcadbhuja--" ityādi /	yaTA---"caQcat-Buja--" ityAdi /
   puruṣottamastvāha---	puruzottamaH-tu-Aha---
   "bahutarasamāsayuktā sumahāprāṇākṣarā ca gauḍīyā /	"bahutara-samAsa-yuktA su-mahA-prANa-akzarA ca gOxIyAH /
   rītiranuprāsamahimaparatantrā stokavākyā ca" //	rItiH-anuprAsa-mahima-paratantrA stoka-vAkyA ca" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, gha) āḍambara uddatavarṇaghaṭitaḥ /	(vi, Ga) AxambaraH uddata-varNa-GawitaH /
        puruṣottastviti /	puruzottaH-tu-iti /
        anyāpekṣayā prāklikhitabandha āḍambaraḥ; etanmate	anya-apekzayA prAkliKita-banDaH AxambaraH; etat-mate
   uktavarṇānāmanuprasitatvaniyama iti	ukta-varNAnAm-anuprasita-tva-niyamaH iti
   viśeṣastadāhaanuprāsamahimaparatantreti /	viSezaH-tadAhaanuprAsa-mahima-paratantrA-iti /
        pāratantryaṃ vyāptiḥ /	pAratantryam vyAptiH /
        astobhavākya yatirahitavākyā /	astoBavAkya yati-rahita-vAkyAH /
        Locanā:	LocanA:
        (lo, ī) anuprāsamahimaparatantrānuprāsabahulā /	(lo, I) anuprAsa-mahima-paratantra-anuprAsa-bahulA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ---varṇaiḥ śeṣaiḥ punardvayoḥ /	---varNEH SezEH punar-dvayoH /
   samastapañcaṣapado bandhaḥ pāñcālikā matā // VisSd_9.4 //	samasta-paQcaza-padaH banDaH pAQcAlikA matA // VisSd-_9.4 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṅa) pāñcālikāṃ rītimāha---varṇairiti /	(vi, Fa) pAQcAlikAm rItim-Aha---varNEH-iti /
        dvayoḥ śeṣairavaśiṣṭairvarṇairityarthaḥ /	dvayoH SezEH-avaSizwEH-varNEH-iti-arTaH /
        samastapañcamapada iti atra padapadam akṣaram /	samasta-paQcama-padaH iti atra pada-padam akzaram /
        tena samāsagatapañcamākṣara ityarthaḥ /	tena samAsa-gata-paQcama-akzaraH iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   dvayorvaidarbhogauḍyoḥ /	dvayoH-vEdarBaH-gOxyoH /
   yathā---	yaTA---
   "madhurayā madhubodhitamādhavīmadhusamṛddhisamedhitamedhayā /	"maDurayA maDu-boDita-mADavI-maDu-samRdDi-sameDita-meDayA /
   madhukarāṅganayā muhurunmadadhvanibhṛtā nibhṛtākṣaramujjage" //	maDukara-aFganayA muhur-unmada-Dvani-BRtA niBRta-akzaram-ujjage" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ca) madhurayeti /	(vi, ca) maDurayA-iti /
        madhukarāṅganayā bhramaryyā nibhṛtākṣaraṃ guptākṣaramasphuṭākṣaraṃ	maDukara-aFganayA BramaryyAH niBRta-akzaram gupta-akzaram-asPuwa-akzaram
   yathā syāttathā muhurujjage 'gīyata /	yaTA syAt-taTA muhur-ujjage agIyata /
        kīdṛśyā madhurayā dhvanimadhuratayaiva tasyā madhuratā, tathā madhunā	kIdRSyA maDurayA Dvani-maDura-tayA-eva tasyAH maDura-tA, taTA maDunA
   vasantena bodhitāyā udvodhitāyā mādhavīlatāyā madhuno makarandasya	vasantena boDitAyAH udvoDitAyAH mADavI-latAyAH maDunaH makarandasya
   samṛddhyā sampattyā samedhitā dīptā medhā buddhiryasyāstādṛśyā /	samRdDyA sampattyA sameDitAH dIptAH meDAH budDiH-yasyAH-tAdRSyAH /
        tathonmadadvanibhṛtā uccatvamevonmadatvam /	taTA-unmada-dvaniBRtAH ucca-tvam-eva-unmada-tvam /
        atra makāranakārau pañcamavarṇau samāsagatau /	atra makAra-nakArO paQcama-varNO samAsa-gatO /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   bhojastvāha---	BojaH-tu-Aha---
   "samastapañcaṣapadāmojaḥ kāntisamanvitām /	"samasta-paQcaza-padAm-ojaH kAnti-samanvitAm /
   madhurāṃ sukumārāṃ ca pāñcālīṃ kavayo viduḥ" //	maDurAm sukumArAm ca pAQcAlIm kavayaH viduH" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, cha) kaṇṭhāraṇakṛto bhojasya sampatalakṣaṇamāha---bhojastviti /	(vi, Ca) kaNWa-araNa-kRtaH Bojasya sampata-lakzaNam-Aha---BojaH-tu-iti /
        ojaḥ kāntīti /	ojaH kAnti-iti /
        sābhiprāyatvarūpeṇa ojasā aujjvalyarūpayā kāntvā ca	sa-aBiprAya-tva-rUpeNa ojasA Ojjvalya-rUpayA kAntvA ca
   samanvitāmityarthaḥ /	samanvitAm-iti-arTaH /
        madhurāṃsukumārāṃ ceti /	maDurAMsu-kumArAm ca-iti /
        pṛthak padatvarūpeṇa mādhuryyeṇa saukumāryeṇa ca yuktāmityarthaḥ /	pRTak padatva-rUpeNa mADuryyeNa sOkumAryeNa ca yuktAm-iti-arTaH /
        anaṅgamaṅgalabhuva iti vaidarbhyudāharaṇe pañcamamūrddhāna eva varṇā	anaFga-maFgala-BuvaH iti vEdarByudAharaNe paQcama-mUrdDAnaH eva varNA
   iti /	iti /
        na tatra samastapañcamavarṇaghaṭitapāñcālītvaprasaktiḥ /	na tatra samasta-paQcama-varNa-Gawita-pAQcAlI-tva-prasaktiH /
        madhurayetyādipāñcālyudāharaṇe samāsagatā eva pañcamavarṇā iti na	maDuraya-ityAdi-pAQcAli-udAharaNe samAsa-gatAH eva paQcama-varNAH iti na
   tatra pañcamamūrddhavarṇaghaṭitavaidarbhotvaprasaktiḥ /	tatra paQcama-mUrdDa-varNa-Gawita-vEdarBotva-prasaktiH /
        tatra mādhuryyavyañjakairityatra bahuvacanādatra madhukarāṅganayā	tatra mADuryya-vyaQjakEH-iti-atra bahuvacanAt-atra maDukara-aFganayA
   ityatra tadvyañjakaikavarṇamātrasattvena tatprasaktyabhāvāt /	iti-atra tad-vyaQjaka-eka-varNa-mAtra-sattvena tad-prasakti-aBAvAt /
        Locanā:	LocanA:
        (lo, u) ojaḥ--kāntī tanmatoktau guṇaviśeṣau /	(lo, u) ojaH---kAntI tad-mata-uktO guNa-viSezO /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   lāṭī tu rītirvaidarbhopāñcālyorantare sthitā /	lAwI tu rItiH-vEdarBa-upAQcAlyoH-antare sTitA /
   Locanā:	LocanA:
   (lo, ū) antarā sthitetyanena nātyalpasamāsā na bahulasamāsā, evamanyatra /	(lo, U) antarA sTitA-iti-anena na-ati-alpa-samAsAH na bahula-samAsA, evam-anyatra /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "ayamudayati mudrābhañjanaḥ padminīnāmudayagirivanālībālamandārapuṣpam /	"ayam-udayati mudrA-BaQjanaH padminInAm-udaya-girivanAlI-bAla-mandAra-puzpam /
   virahavidhurakokadvandvabandhuvibhindan	viraha-viDura-koka-dvandva-banDu-viBindan
   kupitakapikapolakroḍatāmrastamāṃsi" //	kupita-kapi-kapola-kroxa-tAmraH-tamAMsi" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ja) ayamudayatīti /	(vi, ja) ayam-udayati-iti /
        lāṭyudāharaṇe tadubhayamiśraṇaṃ darśayiṣyate /	lAwi-udAha-raNe tad-uBaya-miSraNam darSayizyate /
        tadarthastu ayam arthāt sūryya udayati /	tad-arTaH-tu ayam arTAt sUryyaH udayati /
        kīdṛśaḥ /	kIdRSaH /
        padminīnāṃ mudrāyāḥ saṅkocasya bhañjanaḥ tatpuṣpavikāśakaratvāt /	padminInAm mudrAyAH saFkocasya BaQjanaH tad-puzpa-vikASa-kara-tvAt /
        tathā udayagiristhāyā vanaśreṇyā navīnamandārapuṣpasvarūpaḥ /	taTA udayagiri-sTAyAH vana-SreNyAH navIna-mandAra-puzpa-svarUpaH /
        virahaduḥ khitasya cakravākamithunasya bandhurmitraṃ	virahaduH Kitasya cakravAka-miTunasya banDuH-mitram
   tadvirahanāśakatvāt /	tad-virahanASaka-tvAt /
        tamāṃsi bhindan ca kupitasya vānarasya kapolakroḍobhayavat tāmraśca /	tamAMsi Bindan ca kupitasya vAnarasya kapola-kroxa-uBaya-vat tAmraH-ca /
        kopaśāt kapolasya tāmratā kroḍasya tu svābhāvikī /	kopaSAt kapolasya tAmra-tA kroxasya tu svABAvikI /
        atra bhañjaneti, mandāreti, dvandvabandhuriti, bhindanniti	atra BaQjanA-iti, mandAra-iti, dvandva-banDuH-iti, Bindan=-iti
   pañcamamūrddhavarṇānāṃ vaidarbhoghaṭakatvaṃ taccheṣavarṇānāṃbahūnāmevaṃ	paQcama-mUrdDa-varNAnAm vEdarBaH-Gawaka-tvam tat-Seza-varNAnAMbahUnAm-evam
   pāñcālīghaṭakatvamityubhayamiśraṇam /	pAQcAlI-Gawaka-tvam-iti-uBaya-miSraNam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kaścidāha---	kaScid-Aha---
   "mṛdupadasamāsasubhagā yuktairvarṇairna cātibhūyiṣṭhā /	"mRdu-pada-samAsa-suBagA yuktEH-varNEH-na ca-ati-BUyizWAH /
   Locanā:	LocanA:
   (lo, ṛ) yuktaiḥ saṃyuktaiḥ /	(lo, R) yuktEH saMyuktEH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ucitaviśeṣaṇapūritavastunyāsā bhavellāṭī" //	ucita-viSezaNa-pUrita-vastu-nyAsAH Bavet-lAwI" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, jha) kaścidāheti---lāṭīlakṣaṇamiti śeṣaḥ /	(vi, Ja) kaScid-AhA-iti----lAwI-lakzaNam-iti SezaH /
        mṛdupadeti---padasamāsayorubhayatra mṛdutvānvayaḥ /	mRdupadeti----pada-samAsayoH-uBayatra mRdu-tva-anvayaH /
        yuktaiḥ saṃyuktairvarṇairnacātibhūyiṣṭhā,	yuktEH saMyuktEH-varNEH-nacA-ati-BUyizWA,
   bhūyiṣṭhasaṃyuktavarṇarahitetyarthaḥ /	BUyizWa-saMyukta-varNa-rahitA-iti-arTaH /
        uciteti---ucitam uktadoṣarahitaṃ viśeṣaṇaṃ pūritam pratipālitaṃ yena	ucitA-iti----ucitam ukta-doza-rahitam viSezaNam pUritam pratipAlitam yena
   tādṛśasya vastuno nyāsayuktā lāṭī bhavedityarthaḥ /	tAdRSasya vastunaH nyAsa-yuktA lAwI Bavet-iti-arTaH /
        etadapyuktodāharaṇe eva sambhavati /	etat-api-ukta-udAharaNe eva samBavati /
        tattadguṇavyañjakānāṃ varṇādīnāṃ	tad-tad-guNa-vyaQjakAnAm varNa-AdInAm
   tattadguṇavyañjanārthamupādeyatvenoktatvāt /	tad-tad-guNa-vyaQjana-arTam-upAdeya-tvena-ukta-tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   anye tvāhuḥ---	anye tu-AhuH---
   "gauḍī ḍambarabaddhā syādvaidarbho lalitakramā /	"gOxI xambara-badDA syAt-vEdarBaH lalita-kramA /
   pāñcālī miśrabhāvena lāṭī tu mṛdubhaiḥ padaiḥ" //	pAQcAlI miSra-BAvena lAwI tu mRduBEH padEH" //
   kvacittu vaktrādyaucityādanyathā racanādayaḥ // VisSd_9.5 //	kvacid-tu vaktra-Adi-OcityAt-anyaTA racana-AdayaH // VisSd-_9.5 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ña) kvacittattadrasābhāvena tadguṇavyañjanārthamanupādeyatve 'pi	(vi, Qa) kvacid-tad-tad-rasa-aBAvena tad-guNa-vyaQjana-arTam-anupAdeya-tve api
   vaktrādyaucityād anyathā racanādaya ityāha---kvacidvaktrādīti /	vaktra-Adi-OcityAt anyaTA racanA-AdayaH iti-Aha----kvacit-vaktra-Adi-iti /
        tadguṇavyañjanābhāve 'pi tannibandha evānyathātvam /	tad-guNa-vyaQjana-aBAve api tad-nibanDaH eva-anyaTAtvam /
        Locanā:	LocanA:
        (lo, ṝ) iha saṅghaṭanādīnāṃ guṇaparatantratve 'pi	(lo, L) iha saFGawana-AdInAm guNa-paratantra-tve api
   viśeṣamāha--kvaciditi /	viSeza-mAha---kvacid-iti /
        yadāha sarvatraiva rasāśritā racanādayo vaktrādyapekṣāyāṃ tu	yat-Aha sarvatra-eva rasa-ASritAH racana-AdayaH vaktra-Adi-apekzAyAm tu
   kiñcittarātamyamiti /	kiQcittarAtamyam-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vāktradītyādiśabdādvācyaprabandhau . racanādītyādiśabdādvṛttivarṇau /	vAktra-dIti-Adi-SabdAt-vAcya-prabanDO . racanA-Adi-ityAdi-SabdAt-vRtti-varNO /
   tatra vaktraucityādyathā---	tatra vaktra-OcityAt-yaTA---
   "manthāyastārṇavāmbhaḥ plutakuharacalanmandaradhvānadhaīraḥ koṇāghāteṣu	"manTAyaH-ta-arNava-amBaH pluta-kuhara-calat-mandara-DvAna-DaIraH koNAGAtezu
   garjatpralayaghanaghaṭānyonyasaṅghaṭṭacaṇḍaḥ /	garjat-pralaya-Gana-Gawa-anyonya-saFGawwa-caNxaH /
   kṛṣṇākrodhagraḍhūtaḥ kurukulanidhanotpātanirghātavātaḥ	kRzNA-kroDa-graXUtaH kuru-kula-niDana-utpAta-nirGAta-vAtaH
   kenāsmatsiṃhanādapratirasitasakho dundubhistāḍito 'yam" //	kena-asmad-siMhanAda-pratirasita-saKaH dunduBiH-tAxitaH ayam" //
   atra vācyakrodhādya(na) bhivyañjakatve 'pi bhīmasenavaktatvenoddhatā	atra vAcya-kroDAt-ya(na) Bivyan-jaka-tve api BImasena-vakta-tvena-udDatA
   racanādayaḥ /	racana-AdayaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭa) manthāyastetyādi---raṇasthale dundubhiśabdaṃ śrutvā	(vi, wa) manTAyaH-ta-ityAdi----raNa-sTale dunduBi-Sabdam SrutvA
   bhīmasyeyaṃ pṛcchā /	BImasya-iyam pRcCA /
        kenāyaṃ dundubhistāḍitaḥ--tāḍanena janitaḥ /	kena-ayam dunduBiH-tAxitaH---tAxanena janitaH /
        yathā śrute viśeṣaṇānāṃ dundubhau anvayaḥ /	yaTA Srute viSezaNAnAm dunduBO anvayaH /
        śabdaḥ kīdṛśaḥ /	SabdaH kIdRSaH /
        manthanena mathanena āyastasya prāptāyāsasyārṇavasyāmbhasāpulutaṃ	manTanena maTanena AyaH-tasya prApta-AyAsasya-arNavasya-amBasA-pulutam
   vyāptaṃ kuharaṃ guhā yasya tādṛśasya calataḥ mandarasya dhvānavat dhīraḥ /	vyAptam kuharam guhA yasya tAdRSasya calataH mandarasya DvAna-vat DIraH /
        koṇasya vādanadaṇḍasyāghāteṣu tāḍaneṣu satsu /	koNasya vAdana-daNxasya-AGAtezu tAxanezu satsu /
        garjjantyāḥ pralayaghanaghaṭāyā anyo 'nyasaṃghaṭṭanena caṇḍaḥ /	garjjantyAH pralaya-Gana-GawAyAH anyaH anya-saMGawwanena caNxaH /
        yadvā--- ḍhakkāśatasahastrāṇi bherīśataśatāni ca /	yat-vA-- XakkA-Sata-sahastrANi BerI-Sata-SatAni ca /
        ekadā yatra vādyante koṇāghātaḥ sa ucyate //	ekadA yatra vAdyante koNAGAtaH saH ucyate //
        yatreti nimittasaptamyāṃ yādṛśaśabdanimittaṃ ḍhakkādaya ekadā	yatra-iti nimitta-saptamyAm yAdRSa-Sabda-nimittam Xakka-AdayaH ekadA
   tāḍyante sa śabdaḥ koṇaāghāta ityarthaḥ /	tAxyante sa SabdaH koNaAGAtaH iti-arTaH /
        tathā ca tādṛśaśabdeṣu madhye ayaṃ garjjat ityādi caṇḍa ityarthaḥ /	taTA ca tAdRSa-Sabdezu maDye ayam garjjat ityAdi caNxaH iti-arTaH /
        kṛṣṇāyā draupadyāḥ krodhasya agradūtaḥ tatpravarttakatvāt	kRzNAyAH drOpadyAH kroDasya agra-dUtaH tad-pravarttaka-tvAt
   kurukulanidhanasūcaka utpātabhūto nirghātavātaśca ityarthaḥ /	kuru-kula-niDana-sUcakaH utpAta-BUtaH nirGAta-vAtaH-ca iti-arTaH /
        atreti vācyapadamatra pratipādyaparaṃ tathā ca lakṣyasya	atra-iti vAcya-padam-atra pratipAdya-param taTA ca lakzyasya
   dundubhiśabdasya ityarthaḥ /	dunduBi-Sabdasya iti-arTaH /
        Locanā:	LocanA:
        (lo, ḷ) manthāyastetyādau kodhāvyañjakatvaṃ vākyasya ca	(lo, ?) manTAyaH-ta-ityAdO koDa-avyaQjaka-tvam vAkyasya ca
   nāṭakarūpasyābhineyaduḥ- khāvahatvāt /	nAwaka-rUpasya-aBineya-duH Ka-Avaha-tvAt /
        anucitamapi dīrghasamāsāntatve 'pi viśeṣamāha---dhīroddhato bhīmaseno	anucitam-api dIrGa-samAsa-anta-tve api viSeza-mAha---DIra-udDataH BImasenaH-
   vakteti nānaucityamiti bhāvaḥ /	vaktA-iti na-anOcityam-iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vācyaucityādyathodāhṛte "mūrdhavyādhūyamāna---" ityādau /	vAci-OcityAt-yaTA-udAhRte "mUrDa-vyADUyamAna---" ityAdO /
   Locanā:	LocanA:
   (lo, e) mūrddhavyādhūyamānetyādau ca na vaktraucityam, nāṭakāntaḥ	(lo, e) mUrdDa-vyADUyamAna-ityAdO ca na vaktra-Ocityam, nAwaka-antaH
   pātitvācca uktaprakāreṇa prabandhaucityamapi /	pAti-tvAt-ca ukta-prakAreNa prabanDa-Ocityam-api /
   kintu kāvyasya uddhatārthaprakāśakatvāduddhataracanā /	kintu kAvyasya udData-arTa-prakASaka-tvAt-udData-racanA /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   prabandhaucityādyathā nāṭakādau raudre 'pyabhinayapratikūlatvena na	prabanDa-OcityAt-yaTA nAwaka-AdO rOdre api-aBinaya-pratikUla-tvena na
   dīrghasamāsādayaḥ /	dIrGa-samAsa-AdayaH /
   evamākhyāyikāyāṃ śṛṅgāre 'pi na masṛṇavarṇādayaḥ /	evam-AKyAyikAyAm SRFgAre api na masRNa-varNa-AdayaH /
   kathāyāṃ raudre 'pi nātyantamuddhatāḥ /	kaTAyAm rOdre api na-atyantam-udDatAH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭha) ākhyāyikākathe prabandhaviśeṣau /	(vi, Wa) AKyAyikA-kaTe prabanDa-viSezO /
        iti śrīmaheśvaranyāyālaṅkārabhaṭṭācāryyakṛtāyāṃ sāhityadarpaṇaṭīkāyāṃ	iti SrI-maheSvara-nyAya-alaFkAra-Bawwa-AcAryi-a-kRtAyAm sAhitya-darpaNa-wI-kAyAm
   rītinirūpaṇakhyasya navamaparicchedasya vivaraṇam /	rIti-nirUpaNa-Kyasya navama-paricCedasya vivaraNam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   evamanyadapi jñeyam /	evam-anyat-api jQeyam /
   Locanā:	LocanA:
   (lo, ai) ākhyāyikādilakṣaṇamuktameva /	(lo, E) AKyAyikA-Adi-lakzaNam-uktam-eva /
   ākhyāyikāyā gadyamayaprabandhatvenagadyasya ca	AKyAyikAyAH gadya-maya-prabanDa-tvena-gadyasya ca
   vikaṭabandhadīrghasamāsabahulaprācuryyautityāt tatra śṛṅgāre 'pi na	vikawa-banDa-dIrGa-samAsa-bahula-prAcuryyOtityAt tatra SRFgAre api na
   prāyeṇa sukumāraracanādiḥ /	prAyeNa sukumAra-racanA-AdiH /
   yaduktaṃ dhvanikṛtā--- "rasabaddhoktamaucityaṃ bhāti sarvatra saṃśritā /	yat-uktam Dvani-kRtA-- "rasa-badDa-uktam-Ocityam BAti sarvatra saMSritAH /
   racanāviṣayāpekṣaṃ tattu kiñcid vibhedavat" //	racanA-vizaya-apekzam tat-tu kiQcid viBedavat" //
   iti kathāprabandhasya gadyamayatve 'pi	iti kaTA-prabanDasya gadya-maya-tve api
   śṛṅgārarasamayatvādraudādirasapraveśe 'pi nātyantamuddhataracanādayo	SRFgAra-rasa-maya-tva-adrOdAdi-rasa-praveSe api na-atyantam-udDataraca-nAdayaH-
   vidheyāḥ /	viDeyAH /
   evamanyadapi /	evam-anyat-api /
   yaduktaṃ dhvanikṛtā---"sandānikādiṣu vikaṭabandhaucityād	yat-uktam Dvani-kRta-a---"sandAnika-Adizu vikawa-banDa-OcityAt-
   madhyamasamāsadīrgharamāse eva saṅghaṭane" /	maDyama-samAsa-dIrGa-ra-mAse eva saFGawane" /
   iti śrīsāhityadarpaṇalocane rītiviveko nāma navamaḥ paricchedaḥ /	iti SrI-sAhitya-darpaNa-locane rItivivekaH nAma navamaH paricCedaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   iti sāhityādarpaṇe rītivivecano nāma navamaḥ paricchedaḥ /	iti sAhityAt-arpaNe rItivivecanaH nAma navamaH paricCedaH /
