   nāgānandam	nAga-Anandam
   madhuramiva vadanti svāgataṃ bhṛṅgaśabdai-	maDuram-iva vadanti svAgatam BRFga-SabdE-
   rnatimiva phalanamraiḥ kurvate 'mī śirobhiḥ /	rnatim-iva Pala-namrEH kurvate amI SiroBiH /
   mama dadata ivārghyaṃ puṣpavṛṣṭīḥ kirantaḥ	mama dadataH iva-arGyam puzpa-vRzwIH kirantaH
   kathamatithisaparyyāṃ śikṣitāḥ śākhino 'pi // Nā_1.12 //	kaTam-atiTi-saparyyAm SikzitAH SAKinaH api // NA_1.12 //
   sthānaprāptyā dadhānaṃ prakaṭitagamakāṃ mandratāravyavasthāṃ	sTAna-prAptyA daDAnam prakawita-gamakAm mandra-tAra-vyavasTAm
   nirhrādinyā vipañcyā militamaliruteneva tantrīsvareṇa /	nirhrAdinyAH vipaQcyE militam-ali-rutena-iva tantrI-svareNa /
   ete dantāntarālasthitatṛṇakavalacchedaśabdaṃ niyamya	ete danta-antarAla-sTita-tRNa-kavala=-Ceda-Sabdam niyamya
   vyājihyāṅgāḥ kuraṅgāḥ sphuṭalalitapadaṃ gītamākarṇayanti // Nā_1.13 //	vyAjihya-aFgAH kuraFgAH sPuwa-lalita-padam gItam-AkarNayanti // NA_1.13 //
   ulphullakalamalakesaraparāgagauradyute ! mama hi gauri !	ulPulla-kalamala-kesara-parAga-gOra-dyute ! mama hi gOri !
   abhivāñchitaṃ prasidhyatu bhagavati ! yuṣmatprasādena // Nā_1.14 //	aBivAQCitam prasiDyatu Bagavati ! yuzmad-prasAdena // NA_1.14 //
   vyaktirvyañcanadhātunā daśavidhenāpyatra labdhāmunā	vyaktiH-vyaQcana-DAtunA daSaviDena-api-atra labDa-amunA
   vispaṣṭo drutamadhyalambitaparicchinnastridhāyaṃ layaḥ /	vispazwaH druta-maDya-lambita-paricCinnaH-triDAyam layaH /
   gopucchapramukhāḥ krameṇa yatayastistro 'pi sampāditā-	go-pucCa-pramuKAH krameNa yatayaH-tistraH api sampAditA-
   stattvaughānugatāśca vādyavidhayaḥ samyak trayo darśitāḥ // Nā_1.15 //	stattva-oGa-anugatAH-ca vAdya-viDayaH samyak trayaH darSitAH // NA_1.15 //
   svargastrī yadi tatkṛtārthamabhavaccakṣuḥsahastra hare-	svarga-strI yadi tad-kRtArTam-aBavat-cakzuH-sahastra hare-
   rnāgī cenna rasātalaṃ śaśabhṛtā śūnyaṃ mukhe 'syāḥ sthite /	rnAgI ced-na rasAtalam SaSaBRtA SUnyam muKe asyAH sTite /
   jātirnaḥ sakalānyajātijayinī vidyādharī cediyaṃ	jAtiH-naH sakalAni-ajAti-jayinI vidyADarI ced-iyam
   syātsiddhānvayajā yadi tribhuvane siddhā prasiddhāstataḥ // Nā_1.16 //	syAt-sidDa-anvaya-jAH yadi triBuvane sidDA prasidDAH-tatas // NA_1.16 //
   tanuriyaṃ taralāyatalocane ! śvasitakampitapīnaghanastani !	tanuH-iyam tarala-Ayata-locane ! Svasita-kampita-pIna-Ganastani !
   śramamalaṃ tapasaiva gatā punaḥ kimiti sambhramakāriṇi ! khidyate //	Srama-malam tapasA-eva gatA punar kim-iti samBrama-kAriNi ! Kidyate //
   Nā_1.17 //	NA_1.17 //
   uṣṇīṣaḥ sphuṭa eṣa mūrddhani vibhātyūrṇeyamantarbhruvo-	uzNIzaH sPuwaH eza mUrdDani viBAti-UrNeyam-antar-Bruvo-
   ścakṣustāmarasānukāri hariṇā vakṣaḥsthalaṃ sparddhate /	ScakzuH-tAmarasa-anukAri hariNA vakzaH-sTalam spardDate /
   cakrāṅkañca yathā padadvayamidaṃ manye tathā ko 'pyayaṃ	cakrAFkaQca yaTA pada-dvayam-idam manye taTA kaH api-ayam
   no vidyādharacakravarttipadavīmaprāpya viśrāmyati // Nā_1.18 //	naH vidyADara-cakravartti-padavIm-aprApya viSrAmyati // NA_1.18 //
   ekkato guruvaaṇaṃ aṇṇato daiadaṃsaṇasuhāiṃ /	ekkatas guru-vaaNam aNNataH dEadaMsaNa-suhAim /
   gamaṇāgamaṇādhirūḍhaṃ ajja bi dolaedi me hiaaṃ // Nā_1.19 //	gamaNa-AgamaNa-aDirUXam ajja bi dolaedi me hiaam // NA_1.19 //
   ekato guruvacanamanyato dayitadarśanasukhāni /	ekatas guru-vacanam-anyatas dayita-darSana-suKAni /
   gamanāgamanādhirūḍhamadyāpi dolāyate me hṛdayam // Nā_1.19 //	gamana-Agamana-aDirUXam-adya-api dolAyate me hRdayam // NA_1.19 //
   anayā jaghanābhogamantharayānayā /	anayA jaGana-ABoga-manTarayA-anayA /
   anyato 'pi vrajantyā me hṛdaye nihitaṃ padam // Nā_1.20 //	anyatas api vrajantyA me hRdaye nihitam padam // NA_1.20 //
   tāpāt tatkṣaṇaghṛṣṭacandanarasāpāṇḍū kapālau vahan	tApAt tad-kzaNa-GRzwa-candana-rasa-ApANxU kapAlO vahan
   saṃsavaktairnijakarṇatālapavanaiḥ saṃvijyamānānanaḥ /	saMsa-vaktEH-nija-karNa-tAla-pa-vanEH saMvijyamAna-AnanaH /
   sampratyeṣa viśeṣasiktahṛdayā hastojjhitaiḥ śīkarai-	samprati-eza viSeza-sikta-hRdayAH hasta-ujJitEH SIkarE-
   rgāḍhāyallakaduḥsahāmiva daśāṃ dhatte gajānāṃ patiḥ // Nā_1.21 //	rgAXAyallaka-duHsahAm-iva daSAm Datte gajAnAm patiH // NA_1.21 //
   iti prathamo 'ṅkaḥ /	iti praTamaH aFkaH /
   dvitīyo 'ṅkaḥ	dvitIyaH aFkaH
   kuṇasi ghaṇacandaṇaladāpallavasaṃsaggasīalaṃ pi imaṃ /	kuNasi GaNa-candaNa-ladA-pallava-saMsaggasIalam pi imam /
   ṇīsāsehiṃ tumaṃ evva kaalīdalamāruaṃ uṇhaṃ // Nā_2.1 //	NI-sAsehim tumam evva kaalI-dala-m-Aruam uNham // NA_2.1 //
   vyāvṛtyaiva sitāsitekṣaṇarucā tānāaśrame śākhinaḥ	vyAvRtya-eva sita-asita-IkzaNa-rucA tAnAa-Srame SAKinaH
   kurvatyā viṭapāvasaktavilasatkṛṣṇājinaudhāniva /	kurvatyAH viwapa-avasakta-vilasat-kRzNAjinODAn-iva /
   yad dṛṣṭosmi tayā munerapi purastenaiva mayyāhate	yat dRzwosmi tayA muneH-api purastena-eva mayi-Ahate
   puṣpeṣo ! bhavatā mudhaiva kimiti kṣipyanta ete śarāḥ? // Nā_2.2 //	puzpezaH ! BavatA muDA-eva kim-iti kzipyante ete SarAH? // NA_2.2 //
   nītāḥ kiṃ na niśāḥ śaśāṅkadhavalā nāghrātamindīvaraṃ?	nItAH kim na niSAH SaSAFka-DavalA na-AGrAtam-indI-varaM?
   kiṃ nonmīlitamālatīsurabhayaḥ soḍhāḥ pradoṣānilāḥ?	kim na-unmIlita-mAlatI-suraBayaH soXAH pradoza-anilAH?
   jhaṅkāraḥ kamalākare madhulihāṃ kiṃ vā mayā na śruto?	JaFkAraH kamala-Akare maDu-lihAm kim vA mayA na SrutaH-?
   nirvyājaṃ vidhureṣvadhīra iti māṃ yenābhidhatte bhavān? // Nā_2.3 //	nirvyAjam viDurezu-aDIraH iti mAm yena-aBiDatte BavAn? // NA_2.3 //
   strīhṛdayena na soḍhāḥ kṣiptāḥ kusumeṣavo 'pyanaṅgena /	strI-hRdayena na soXAH kziptAH kusumezavaH api-anaFgena /
   yenādyaiva purastava vadāmi dhīra iti sa kathamaham? // Nā_2.4 //	yena-adya-eva puras-tava vadAmi DIraH iti sa kaTam-aham? // NA_2.4 //
   candanalatāgṛhamidaṃ sacandramaṇiśilamapi priyaṃ na mama /	candana-latA-gRham-idam sa-candra-maNi-Silam-api priyam na mama /
   candrānanayā rahitaṃ candrikayā mukhamiva niśāyāḥ // Nā_2.5 //	candrAn-anayA rahitam candrikayA muKam-iva niSAyAH // NA_2.5 //
   śaśimaṇiśilā seyaṃ yasyāṃ vipāṇḍuramānanaṃ	SaSi-maNi-SilA sA-iyam yasyAm vipANxuram-Ananam
   karakisalaye kṛtvā vāme ghanaśvasitodgamā /	kara-kisalaye kRtvA vAme Gana-Svasita-udgamAH /
   cirayati mayi vyaktākūtā manāk sphuritairbhruvo-	cirayati mayi vyakta-akUtAH manAk sPuritEH-Bruvo-
   rviramitamanomanyurdṛṣṭā mayā rudatī priyā // Nā_2.6 //	rviramita-manaH-manyuH-dRzwA mayA rudatI priyA // NA_2.6 //
   niṣyandata ivānena mukhacandrodayena te /	nizyandate iva-anena muKa-candra-udayena te /
   etad vāṣpāmbunā siktaṃ candrakāntaśilātalam // Nā_2.7 //	etat vA-azpa-ambunA siktam candrakAnta-SilA-talam // NA_2.7 //
   akliṣṭabimbaśobhādharasya nayanotsavasya śaśina iva /	aklizwa-bimba-SoBADarasya nayana-utsavasya SaSinaH iva /
   dayitāmukhasya sukhayati rekhāpi prathamadṛṣṭayem // Nā_2.8 //	dayitA-muKasya suKayati reKA-api praTama-dRzwayem // NA_2.8 //
   priyā sannihitaiveyaṃ saṅkalpasthāpitā puraḥ /	priyA sannihitA-eva-iyam saFkalpa-sTApitA puras /
   dṛṣṭvā dṛṣṭvā likhāmyenāṃ yadi tat ko 'tra vismayaḥ ! // Nā_2.9 //	dRzwvA dRzwvA liKAmi-enAm yadi tat kaH atra vismayaH ! // NA_2.9 //
   yaddhidyādhararājavaṃśatilakaḥ prājñaḥ satāṃ sambhato	yat-hidyADara-rAja-vaMSa-tilakaH prAjQaH satAm samBataH-
   rūpeṇāpratimaḥ parākramadhano viddhān vinīto yuva /	rUpeNa-apratimaH parAkrama-DanaH vidDAn vinItaH yuva /
   yaccasūnapi santyajet karuṇayā sattvārthamabhyudyata-	yat-casUn-api santyajet karuNayA sattva-arTam-aByudyata-
   stenāsmai dadataḥ svasāramatulāṃ tuṣṭirviṣādaśca me // Nā_2.10 //	stena-asmE dadataH sva-sAram-atulAm tuzwiH-vizAdaH-ca me // NA_2.10 //
   na khalu na khalu mugdhe ! sāhasaṃ kāryamīdṛk	na Kalu na Kalu mugDe ! sAhasam kAryam-IdRS-
   vyapanaya karametaṃ pallavābhaṃ latāyāḥ /	vyapanaya karam-etam pallava-ABam latAyAH /
   kusumamapi vicetuṃ yo na manye samarthaḥ	kusumam-api vicetum yaH na manye samarTaH
   kalayati sa kathaṃ te pāśamudbandhanāya? // Nā_2.11 //	kalayati sa kaTam te pASam-udbanDanAya? // NA_2.11 //
   kaṇṭhe hāralatāyogye yena pāśastvayārpitaḥ /	kaNWe hAra-latA-yogye yena pASaH-tvayA-arpitaH /
   gṛhītaḥ sāparādho 'yaṃ kathaṃ te mucyate karaḥ? // Nā_2.12 //	gRhItaH sa-aparADaH ayam kaTam te mucyate karaH? // NA_2.12 //
   vṛṣṭayā piṣṭātakasya dyutimiha malaye meyutulyāṃ dadhānaḥ	vRzwayA pizwAtakasya dyutim-iha malaye meyu-tulyAm daDAnaH
   sadyaḥ sindūradūrīkṛtadivasasamārambhasandhyātapaśrīḥ /	sadyas sindUra-dUrIkRta-divasa-samAramBa-sanDi-Atapa-SrIH /
   udūgitairaṅganānāṃ calacaraṇaraṇannūpurahrādahṛdyai-	udUgitEH-aFganAnAm cala-caraNa-raNat-nUpura-hrAda-hRdyE-
   rūdvāhasnānavelāṃ kathayati bhavataḥ siddhaye siddhalokaḥ // Nā_2.13 //	rUdvAha-snAna-velAm kaTayati BavataH sidDaye sidDa-lokaH // NA_2.13 //
   anyonyadarśanakṛtaḥ samānarūpānurāgakulavayasām /	anyonya-darSana-kRtaH samAna-rUpa-anurAga-kula-vayasAm /
   keṣāñcideva manye samāgamo bhavati puṇyavatām // Nā_2.14 //	kezAQcid-eva manye samAgamaH Bavati puNyavatAm // NA_2.14 //
   iti dvitiyo 'ṅkaḥ /	iti dvi-tiyaH aFkaH /
   tṛtīyo 'ṅkaḥ	tRtIyaH aFkaH
   ṇiccaṃ jo pibai suraṃ jaṇassa piasagamaṃ ca jo kuṇai /	Niccam jaH pibE suram jaNassa piasagamam ca jaH kuNEH /
   maha de do abi devā baladeo kāmadeo a // Nā_3.1 //	maha de daH abi devAH bala-deaH kAma-deaH a // NA_3.1 //
   vacchatthalamhi daiā diṇṇuppalavāsiā muhe mairā /	vacCatTalamhi dEAH diNNuppalavAsiA muhe mErAH /
   sīsammi a seharao ṇiccaṃ via saṃṭhiā jassa // Nā_3.2 //	sIsammi a seharaaH Niccam via saMWiA jassaH // NA_3.2 //
   hariharapidāmahāṇaṃ pi gavvido jo ṇa jāṇai ṇamiduṃ /	hari-hara-pidAmahANam pi gavvidaH jaH Na jANE Nam-idum /
   so seharao calaṇesu tujja ṇomālie padai // Nā_3.3 //	saH seharaaH calaNesu tujja NaH-mAlie padE // NA_3.3 //
   dṛṣṭā dṛṣṭimadho dadāti kurute nālāpamābhāṣitā	dRzwA dRzwim-aDas dadAti kurute na-AlApam-ABAzitA
   śayyāyāṃ parivṛtya tiṣṭhati balādāliṅgitā vepate /	SayyAyAm parivRtya tizWati balAt-AliFgitAH vepate /
   niryantīṣu sakhīṣu vāsabhavanānnirgantumevehate	niryantIzu saKIzu vAsa-BavanAt-nirgantum-eva-Ihate
   jātā vāmatayaiva me 'dya sutarāṃ prityai navoḍhā priyā // Nā_3.4 //	jAtAH vAma-tayA-eva me adya sutarAm prityE na-voXA priyA // NA_3.4 //
   huṅkāraṃ dadatā mayā prativaco yanmaunamāsevitaṃ	huFkAram dadatA mayA prativacaH yat-mOnam-Asevitam
   yad dāvānaladīptibhistanuriyaṃ candrātapaistāpitā /	yat dAva-anala-dIptiBiH-tanuH-iyam candra-AtapEH-tApitA /
   dhyātaṃ yat subahūnyanamanasā naktandināni priye !	DyAtam yat su-bahUni-anamanasA naktandinAni priye !
   tasyaitat tapasaḥ phalaṃ mukhamidaṃ paśyāmi yatte 'dhunā // Nā_3.5 //	tasya-etat tapasaH Palam muKam-idam paSyAmi yat-te aDunA // NA_3.5 //
   khedāya stanabhāra eva kimu te madhyasya hāro 'paraḥ?	KedAya stana-BAraH eva kimu te maDyasya hAraH aparaH?
   śrāmyatyūruyugaṃ nitambabharataḥ kāñcyānayā kiṃ punaḥ?	SrAmyati-Uru-yugam nitamba-BarataH kAQcya-anayA kim punar-?
   śaktiḥ pādayugatya norupugalaṃ voḍhu kuto nūpurau?	SaktiH pAdayugatya na-uru-pugalam voXu kutas nUpurO?
   svāṅgaireva vimūṣitāsi vahasi kleśāya kiṃ maṇḍanam? // Nā_3.6 //	sva-aFgEH-eva vimUzitA-asi vahasi kleSAya kim maNxanam? // NA_3.6 //
   niṣyandaścandanānāṃ śiśirayati latāmaṇḍape kuṭṭimāntā-	nizyandaH-candanAnAm SiSirayati latA-maNxape kuwwima-antA-
   nārād dhārāgṛhāṇāṃ dhvanimanu tatute tāṇḍavaṃ nolakaṇṭhaḥ /	nArAt DArAgRhANAm Dvanim-anu tatute tANxavam nola-kaNWaH /
   yantronmuktaśca vegād calati viṭapināṃ pūrayannālavālā-	yantra-unmuktaH-ca vegAt calati viwapinAm pUrayat-=-Ala-vAlA-
   nāpātotpīḍahelāhṛta kusumarajaḥpiñjaro 'yaṃ jalaughaḥ // Nā_3.7 //	na-apAta-utpIxa-hela-AhRta kusuma-rajaH-piQjaraH ayam jala-oGaH // NA_3.7 //
   api ca-	api ca-
   amī gītārambhaimukharitalatāmaṇḍapabhuvaḥ	amI gIta-AramBEmu-Karita-latA-maNxapa-BuvaH
   parāgaiḥ puṣpāṇāṃ prakaṭapaṭavāsavyatikarāḥ /	parAgEH puzpANAm prakawa-pawa-vAsa-vyatikarAH /
   pibantaḥ paryyāptaṃ saha sahacarībhirmaghurasaṃ	pibantaH paryyAptam saha sahacarIBiH-maGu-H-asam
   samantādāpānotsavamanabhavantīva madhupāḥ // Nā_3.8 //	samantAt-ApAna-utsavam-anaBavanti-iva maDupAH // NA_3.8 //
   digdhāṅgā haricandanena dadhataḥ santānakānāṃ srajo	digDa-aFgAH haricandanena daDataH santAnakAnAm srajaH-
   māṇikyābharaṇaprabhāvyatikaraiścitrīkṛtācchāṃśukāḥ /	mANikya-ABaraNa-praBA-vi-atikarEH-citrIkRta-acSAMSukAH /
   sārddha siddhajanairmadhūni dayitāpītāvaśiṣṭānyamī	sArdDa sidDa-janEH-maDUni dayitA-pIta-avaSizwAni-amI
   miśrībhūya pibanti candanatarucchāyāsu vidyādharāḥ // Nā_3.9 //	miSrIBUya pibanti candana-taru=-CAyAsu vidyADarAH // NA_3.9 //
   etanmukhaṃ priyāyāḥ śaśinaṃ jitvā kapolayāḥ kāntyā /	etat-muKam priyAyAH SaSinam jitvA kapolayAH kAntyA /
   tāpānurktamadhunā kamalaṃ dhruvamīhate jetum // Nā_3.10 //	tApa-anurktam-aDunA kamalam Druvam-Ihate jetum // NA_3.10 //
   etatte bhrulatollāsi pāṭalādharapallavam /	etat-te Brula-tA-ullAsi pAwalA-aDara-pallavam /
   mukhaṃ nandanamudyānamato 'nyatkevalaṃ vanam // Nā_3.11 //	muKam nandanam-udyAnam-atas anyat-kevalam vanam // NA_3.11 //
   smitapuṣpodgamo 'yaṃ te dṛśyate 'dharapallave /	smita-puzpa-udgamaH ayam te dRSyate aDara-pallave /
   phalaṃ tvanyatra mugdhākṣi ! cakṣuṣormama paśyataḥ // Nā_3.12 //	Palam tu-anyatra mugDa-akzi ! cakzuzoH-mama paSyataH // NA_3.12 //
   dinakarakarāmṛṣṭaṃ bibhrat dyutiṃ paripāṭalāṃ	dinakara-kara-amRzwam biBrat dyutim paripAwalAm
   daśanakiraṇauḥ saṃsarpadbhiḥ sphuṭīkṛtakesaram /	daSana-kiraNOH saMsarpadBiH sPuwIkRta-kesaram /
   ayi makhamidaṃ mugdhe ! satyaṃ samaṃ kamalena te	ayi maKam-idam mugDe ! satyam samam kamalena te
   madhu madhukaraḥ kintvetasmin pibbanna vibhāvyate? // Nā_3.13 //	maDu maDukaraH kintu-etasmin pibban-na viBAvyate? // NA_3.13 //
   anihatya taṃ sapatnaṃ kathamiva jīmūtavāhanasyāham /	anihatya tam sapatnam kaTam-iva jImUtavAhanasya-aham /
   kathayiṣyāmi hṛtaṃ tava rājyaṃ rīpuṇeti nirlajjaḥ? // Nā_3.14 //	kaTayizyAmi hRtam tava rAjyam rIpuNA-iti nirlajjaH? // NA_3.14 //
   saṃsarpadbhiḥ samantāt kṛtasakalaviyanmārgayānairvimānaiḥ	saMsarpadBiH samantAt kRta-sakala-viyat-mArga-yAnEH-vimAnEH
   kurvāṇāḥ prāvṛṣīva sthagitaravirucaḥ śyāmatāṃ vāsarasya /	kurvANAH prAvRzi-iva sTagita-ravi-rucaH SyAma-tAm vAsarasya /
   ete yātāśca sadyastava vacanamitaḥ prāpya yuddhāya siddhāḥ	ete yAtAH-ca sadyas-tava vacanam-itas prApya yudDAya sidDAH
   siddhañcodvṛttaśatrukṣayabhayavinamudrājakaṃ te svarājyam // Nā_3.15 //	sidDaQca-udvRtta-Satru-kzaya-Baya-vinam-udrAjakam te sva-rAjyam // NA_3.15 //
   ekākināpi hi mayā rabhasāvakṛṣṭanistriṃśadīdhitisaṭābharabhāsureṇa /	ekAkinA-api hi mayA raBasA-avakRzwa-nistriMSa-dIDiti-sawA-BaraBAsureNa /
   ārānnipatya hariṇeva mataṅgajendramājau mataṅgahatakaṃ viddhi // Nā_3.16	ArAt-nipatya hariNA-iva mataFgaja-indram-AjO mataFga-hatakam vidDi // NA_3.16
   svaśarīramapi parārthe yaḥ khalu dadyādayācitaḥ kṛpayā /	sva-SarIram-api para-arTe yaH Kalu dadyAt-ayAcitaH kRpayA /
   rājyasya kṛte sa kathaṃ prāṇivadhakrauryamanumanute // Nā_3.17 //	rAjyasya kRte sa kaTam prANi-vaDa-krOryam-anum-anute // NA_3.17 //
   nidrāmudrāvabandhānmadhukaramaniśaṃ padmakāśādapāsya-	nidrA-mudrA-avabanDAn-maDukaram-aniSam padmakASAt-apAsya-
   nnāśāpūraikakarmapravaṇanijakaraprīṇitāśeṣaviśvaḥ /	nnASA-pUra-eka-karma-pravaNa-nija-kara-prINita-aSeza-viSvaH /
   dṛṣṭaḥ siddhaiḥ prasaktastutimukharamukhairastamapyeṣa gacchan	dRzwaH sidDEH prasakta-stuti-muKara-muKEH-astam-api-eza gacCan
   ekaḥ ślāghyo vivasvān parahitakaraṇāyaiva yasya prayāsaḥḥ // Nā_3.18 //	ekaH SlAGyaH vivasvAn para-hita-karaNAya-eva yasya prayAsaHH // NA_3.18 //
   iti tṛtīyo 'ṅka /	iti tRtIyaH aFkaH /
   caturtho 'ṅkaḥ	caturTaH aFkaH
   kañcukī-	kaQcukI-
   antaḥpurāṇāṃ vihitavyavasthaḥ pade pade 'haṃ skhalanāni rakṣan /	antaHpurANAm vihita-vyavasTaH pade pade aham sKalanAni rakzan /
   jarāturaḥ samprati daṇḍanītyā sarvāṃ nṛpasyānukaromi vṛttim // Nā_4.1 //	jarA-AturaH samprati daNxanItyA sarvAm nRpasya-anukaromi vRttim // NA_4.1 //
   śayyā śādvalamāsanaṃ śuciśilā sadma drumāṇāmadhaḥ	SayyA SAdvalam-Asanam Suci-SilA sadma drumANAm-aDas-
   śītaṃ nirjharavāri pānamaśanaṃ kandāḥ sahāyā mṛgāḥ /	SItam nirJara-vAri pAnam-aSanam kandAH sahAyAH mRgAH /
