   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   akhaṇḍadvādaśīvratam__Vdha_016.021	aKaNxa dvAdaSI vratam__VDaH _016.021
   akhaṇḍadvādaśī samyag__Vdha_016.022	aKaNxadvAdaSI samyak __VDaH _016.022
   akhaṇḍadvādaśīṃ naraḥ__Vdha_016.020	aKaNxa dvAdaSIm naraH__VDaH _016.020
   akhaṇḍitaprabhāvais tvaṃ__Vdha_028.020	aKaNxita praBAvEH tvam__VDaH _028.020
   akhilaṃ manujeśvara__Vdha_105.109	aKilam manuja ISvara__VDaH _105.109
   akhilaṃ samavāpnuyāt__Vdha_105.104	aKilam samavApnuyAt __VDaH _105.104
   agatīnāṃ gatir bhava__Vdha_004.040	agatInAm gatiH Bava__VDaH _004.040
   agastyagītā maudgalyāḥ__Vdha_044.011	agastya gItAH mOdgalyAH__VDaH _044.011
   agādhe vimale śuddhe__Vdha_055.010	agADe vimale SudDe__VDaH _055.010
   agāyanta ca yā gāthā__Vdha_082.002	agAyanta ca yA gATA__VDaH _082.002
   agnayo nātra saṃśayaḥ__Vdha_051.008	agnayaH na atra saMSayaH__VDaH _051.008
   agnayo mā praṇaśyantu__Vdha_041.008	agnayaH mA praNaSyantu__VDaH _041.008
   agnijihvo darbharomā__Vdha_066.043	agnijihvaH darBa romA__VDaH _066.043
   agnijvālāgataṃ tāmraṃ__Vdha_078.063	agni jvAlA gatam tAmram__VDaH _078.063
   agnijvālo mahānādaḥ__Vdha_045.012	agni jvAlaH mahA nAdaH__VDaH _045.012
   agnitāpāḥ sudāruṇāḥ__Vdha_060.020	agni tApAH su dAruNAH__VDaH _060.020
   agnipraveśī niyataṃ__Vdha_047.005	agnipraveSI niyatam__VDaH _047.005
   agnir hi devatāḥ sarvāḥ__Vdha_058.004	agniH hi devatAH sarvAH__VDaH _058.004
   agnivarṇaiś ca saṃdaṃśair__Vdha_050.010	agni varNEH ca saMdaMSEH __VDaH _050.010
   agniṣṭomasya yajñasya__Vdha_056.024	agnizwomasya yajQasya__VDaH _056.024
   agniṣṭomādibhir yajñair__Vdha_060.019	agnizwoma AdiBiH yajQEH __VDaH _060.019
   agniṣṭomādibhir yajñair__Vdha_061.001	agnizwoma AdiBiH yajQEH __VDaH _061.001
   agnihotram amantrakam__Vdha_022.023	agnihotram amantrakam__VDaH _022.023
   agnihotram upādāya__Vdha_057.014	agnihotram upAdAya__VDaH _057.014
   agner indrasya somasya__Vdha_063.002	agneH indrasya somasya__VDaH _063.002
   agner yat paramaṃ padam__Vdha_066.*(88)	agneH yat paramam padam__VDaH _066.*(88)
   agnau vā suhute rājan__Vdha_046.001	agnO vA su hute rAjan__VDaH _046.001
   agnyabhāve ca kurvanti__Vdha_058.005	agni aBAve ca kurvanti__VDaH _058.005
   agrataḥ kauśikaṃ dvijam__Vdha_070.016	agratas kOSikam dvijam__VDaH _070.016
   agrā bhavati saṃtatiḥ__Vdha_047.010	agrA Bavati saMtatiH__VDaH _047.010
   agrāhi tac ca vidhṛtaṃ__Vdha_096.028	agrAhi tat ca viDRtam__VDaH _096.028
   agrāhyakam anirdeśyaṃ__Vdha_095.004	agrAhyakam anirdeSyam__VDaH _095.004
   agrāhy agrāhyadharmiṇaḥ__Vdha_099.011	agrAhi agrAhya DarmiNaH__VDaH _099.011
   agrāhyo nirguṇaḥ śāstā__Vdha_068.026	agrAhyaH nirguNaH SAstA__VDaH _068.026
   aṅgārapūrṇamadhyo 'sau__Vdha_023.003	aFgAra pUrNa maDyaH asO__VDaH _023.003
   aṅgāriṣṭho 'bravīn nṛpaḥ__Vdha_038.062	aFgArizWaH abravIt nRpaH__VDaH _038.062
   aṅguṣṭhāgre tu govindaṃ__Vdha_028.*(18).020	aFguzWa agre tu govindam__VDaH _028.*(18).020
   aṅgopāṅgavilokanam__Vdha_038.029	aFga upAFga vilokanam__VDaH _038.029
   aṅgopāṅgādikaṃ sarvaṃ__Vdha_038.024	aFga upAFga Adikam sarvam__VDaH _038.024
   aṅgopāṅgāni caivāsya__Vdha_029.027	aFga upAFgAni ca eva asya__VDaH _029.027
   acalā hy akṣayā bhūmiḥ__Vdha_060.003	acalAH hi akzayA BUmiH__VDaH _060.003
   acikitsyā hi mohitāḥ__Vdha_065.023	acikitsyAH hi mohitAH__VDaH _065.023
   acintyam aparigraham__Vdha_001.057	acintyam aparigraham__VDaH _001.057
   acintyam avyaktam anantarūpaṃ__Vdha_067.043	acintyam avyaktam ananta rUpam__VDaH _067.043
   acirād bhraṃśam eṣyasi__Vdha_076.047	acirAt BraMSam ezyasi__VDaH _076.047
   acīrṇavratavedā vā__Vdha_051.005	acIrNa vrata vedAH vA__VDaH _051.005
   acchidraṃ yena jāyate__Vdha_016.010	acCidram yena jAyate__VDaH _016.010
   acyutaṃ cāmṛtaṃ caiva__Vdha_040.024	acyutam ca amRtam ca eva__VDaH _040.024
   acyutaṃ jagataḥ patim__Vdha_003.052	acyutam jagataH patim__VDaH _003.052
   acyutaṃ jagataḥ patim__Vdha_074.004	acyutam jagataH patim__VDaH _074.004
   acyutaṃ niyataḥ śuciḥ__Vdha_084.011	acyutam niyataH SuciH__VDaH _084.011
   acyutaṃ parataḥ param__Vdha_072.051	acyutam paratas param__VDaH _072.051
   acyutaṃ parameśvaram__Vdha_068.009	acyutam parameSvaram__VDaH _068.009
   acyutaṃ skandhayor api__Vdha_028.*(18).036	acyutam skanDayoH api__VDaH _028.*(18).036
   acyutaḥ prīyatām iti__Vdha_088.032	acyutaH prIyatAm iti__VDaH _088.032
   acyutānanta govinda__Vdha_026.014	acyuta ananta govinda__VDaH _026.014
   acyutānantagovinda __Vdha_028.039	acyuta ananta govinda __VDaH _028.039
   acyutāya namo nityam__Vdha_092.018	acyutAya namaH nityam__VDaH _092.018
   acyutāya nivedayet__Vdha_081.044	acyutAya nivedayet __VDaH _081.044
   acyutārādhanasya me__Vdha_027.027	acyuta ArADanasya me__VDaH _027.027
   acyutārādhanecchayā__Vdha_037.040	acyuta ArADana icCayA__VDaH _037.040
   acyute niścalā matiḥ__Vdha_072.115	acyute niScalA matiH__VDaH _072.115
   acyute bhavati prabho__Vdha_064.003	acyute Bavati praBo__VDaH _064.003
   acyute hṛdaye sthite__Vdha_064.072	acyute hRdaye sTite__VDaH _064.072
   ajam akṣayam acyutam__Vdha_064.015	ajam akzayam acyutam__VDaH _064.015
   ajam ārtiharaṃ harim__Vdha_066.023	ajam Arti haram harim__VDaH _066.023
   ajāyata ca viprasya__Vdha_094.053	ajAyata ca viprasya__VDaH _094.053
   ajāyata ca viśveśaḥ__Vdha_090.015	ajAyata ca viSveSaH__VDaH _090.015
   ajāyata sa govindo__Vdha_076.063	ajAyata sa govindaH __VDaH _076.063
   ajitaṃ cādhikaṃ caiva__Vdha_040.027	ajitam ca aDikam ca eva__VDaH _040.027
   ajitāya mahātmane__Vdha_067.*(100),001	ajitAya mahAtmane__VDaH _067.*(100),001
   ajeya khaṇḍaparaśo__Vdha_068.022	ajeya KaNxaparaSaH __VDaH _068.022
   ajñānatamasāchanne__Vdha_083.004	ajQAna tamasA Canne__VDaH _083.004
   ajñānatimirāndhānāṃ__Vdha_038.052	ajQAna timira anDAnAm__VDaH _038.052
   ajñānato jñānato vā__Vdha_070.077	ajQAnataH jQAnataH vA__VDaH _070.077
   ajñānapaṭalacchannān__Vdha_072.083	ajQAna pawala= CannAn__VDaH _072.083
   ajñānapaṭalācchanair__Vdha_096.009	ajQAna pawalAt SanEs __VDaH _096.009
   ajñānād aghanāśanam__Vdha_032.068	ajQAnAt aGa nASanam__VDaH _032.068
   ajñānād athavā jñānāt__Vdha_018.012	ajQAnAt aTavA jQAnAt __VDaH _018.012
   ajñānino jñānavido bhavantu__Vdha_092.032	ajQAninaH jQAna vidaH Bavantu__VDaH _092.032
   aṭavyāṃ nārasiṃhas tu__Vdha_068.058	awavyAm nArasiMhaH tu__VDaH _068.058
   aṇor aṇīyāṃsam ajaṃ__Vdha_094.078	aNoH aNIyAMsam ajam__VDaH _094.078
   ataptvaiva tathā tapaḥ__Vdha_088.066	ataptvA eva taTA tapaH__VDaH _088.066
   atarkyāyāprameyāya__Vdha_067.*(100),009	atarkyAya aprameyAya__VDaH _067.*(100),009
   atas te paripanthinaḥ__Vdha_072.092	atas te paripanTinaH__VDaH _072.092
   atithīñ jāmayo 'dhvagān__Vdha_073.022	atiTIn jAmayaH aDvagAn__VDaH _073.022
   atithes tarpaṇaṃ tadvad__Vdha_022.023	atiTeH tarpaNam tadvat __VDaH _022.023
   atidānaṃ tu sarveṣāṃ__Vdha_060.003	atidAnam tu sarvezAm__VDaH _060.003
   atiduṣkṛtakarmakṛt__Vdha_064.040	ati duzkRta karma kRt __VDaH _064.040
   atiduḥkhaṃ kuputratā__Vdha_030.003	ati duHKam ku putra tA__VDaH _030.003
   atiduḥsaham ulvaṇam__Vdha_094.070	ati duHsaham ulvaNam__VDaH _094.070
   atiprītyatiśītalam__Vdha_040.048	ati prIti ati SItalam__VDaH _040.048
   atibālye ca yat kiṃcit__Vdha_021.016	atibAlye ca yat kiMcid __VDaH _021.016
   atibhāti ca me kāntyā__Vdha_082.038	atiBAti ca me kAntyA__VDaH _082.038
   atimānuṣaceṣṭitam__Vdha_035.016	atimAnuza cezwitam__VDaH _035.016
   atimūḍho 'dhruve kāye__Vdha_038.054	ati mUXaH aDruve kAye__VDaH _038.054
   atiraktauṣṭhavadanaṃ__Vdha_028.*(18).107	ati rakta ozWa vadanam__VDaH _028.*(18).107
   atirātrasya yajñasya__Vdha_006.017	atirAtrasya yajQasya__VDaH _006.017
   atiriktavilocana__Vdha_028.*(22)	atirikta vilocana__VDaH _028.*(22)
   ativimalasugātraṃ raupyapātrastham annaṃ__Vdha_028.*(18).118	ati vimala sugAtram rOpya pAtra sTam annam__VDaH _028.*(18).118
   atisūkṣmatamaṃ mahat__Vdha_002.045	ati sUkzmatamam mahat __VDaH _002.045
   atītānāgatānīha__Vdha_079.084	atIta anAgatAni iha__VDaH _079.084
   atīte daśame janmany__Vdha_037.040	atIte daSame janmani __VDaH _037.040
   atītya sarvaduḥkhāni__Vdha_062.019	atItya sarva duHKAni__VDaH _062.019
   atītyāmaralokaṃ ca__Vdha_079.047	atItya amara lokam ca__VDaH _079.047
   atīndriya namas tubhyaṃ__Vdha_068.031	atIndriya namaH tuByam__VDaH _068.031
   atīva karmaṇā yena__Vdha_082.026	atIva karmaNA yena__VDaH _082.026
   atīvabhīṣaṇān itthaṃ__Vdha_024.001	atIva BIzaNAn itTam__VDaH _024.001
   atīvālpe 'pi vastuni__Vdha_032.020	atIva alpe api vastuni__VDaH _032.020
   atīveṣṭā vasuṃdharā__Vdha_031.019	atIva izwA vasuMDarA__VDaH _031.019
   atulaṃ sukhadharmāṇaṃ__Vdha_071.008,*(115)	atulam suKa DarmANam__VDaH _071.008,*(115)
   atuṣṭāv asurā yayuḥ__Vdha_025.014	atuzwO asurAH yayuH__VDaH _025.014
   ato 'dhikataro lobhaḥ__Vdha_032.062	atas aDikataraH loBaH__VDaH _032.062
   attavyaṃ tadanujñayā__Vdha_101.023	attavyam tad anujQayA__VDaH _101.023
   attā mayā yeṣu na jantavaś ca__Vdha_094.092	attAH mayA yezu na jantavaH ca__VDaH _094.092
   atyantabhakto deveśaṃ__Vdha_076.008	atyanta BaktaH deveSam__VDaH _076.008
   atyantavayasā vṛddhyā__Vdha_079.130	atyanta vayasA vRdDyA__VDaH _079.130
   atyantasukhinas tatra__Vdha_059.034	atyanta suKinaH tatra__VDaH _059.034
   atyantādipratikriyā__Vdha_038.063	atyanta Adi pratikriyA__VDaH _038.063
   atra mārge mayoditam__Vdha_088.078	atra mArge mayA uditam__VDaH _088.078
   atrāpi śrūyatāṃ vṛttaṃ__Vdha_030.010	atra api SrUyatAm vRttam__VDaH _030.010
   atrāpi śrūyate bhūpa__Vdha_088.013	atra api SrUyate BUpa__VDaH _088.013
   atrāpi śrūyate siddhā__Vdha_027.001	atra api SrUyate sidDAH __VDaH _027.001
   atrāpy udāharantīmam__Vdha_067.010	atra api udAharanti imam__VDaH _067.010
   atrāpy udāharantīmaṃ__Vdha_038.009	atra api udAharanti imam__VDaH _038.009
   atrāpy udāharantīmaṃ__Vdha_081.015	atra api udAharanti imam__VDaH _081.015
   atrigehasamudbhūtaṃ__Vdha_079.033	atri geha samudBUtam__VDaH _079.033
   atrer dattvā varaṃ caiva__Vdha_066.057	atreH dattvA varam ca eva__VDaH _066.057
   atraiva pratipālaya__Vdha_070.023	atra eva pratipAlaya__VDaH _070.023
   atroktavidhiyuktasya__Vdha_105.111	atra ukta viDi yuktasya__VDaH _105.111
   atha kopena vābhyeti__Vdha_077.033	aTa kopena vA aByeti__VDaH _077.033
   atha cet tan avāpnoti__Vdha_038.005	aTa ced tat avApnoti__VDaH _038.005
   atha cen mama suvrata__Vdha_065.023	aTa ced mama suvrata__VDaH _065.023
   atha dantojjvalamukhaḥ__Vdha_067.026	aTa danta ujjvala muKaH__VDaH _067.026
   atha daityeśvaraṃ prāha__Vdha_077.070	aTa dEtya ISvaram prAha__VDaH _077.070
   atha dhyānaṃ pravakṣyāmi__Vdha_028.*(18).077	aTa DyAnam pravakzyAmi__VDaH _028.*(18).077
   atha nārāyaṇo dhairya __Vdha_102.041	aTa nArAyaNaH DErya __VDaH _102.041
   atha pātakabhītas tvaṃ__Vdha_064.070	aTa pAtaka BItaH tvam__VDaH _064.070
   atha vakṣyāmi durvacaḥ__Vdha_018.012	aTa vakzyAmi durvacaH__VDaH _018.012
   athavā nindyarūpeṇa__Vdha_064.059	aTavA nindya rUpeNa__VDaH _064.059
   athavā pratijihvikā__Vdha_001.017	aTavA pratijihvikA__VDaH _001.017
   athāmaraguruṃ viṣṇum__Vdha_066.011	aTa amara gurum vizNum__VDaH _066.011
   athāsurapatiṃ prahvaṃ__Vdha_077.041	aTa asura patim prahvam__VDaH _077.041
   adakṣiṇās tathā yajñāḥ__Vdha_077.085	adakziNAH taTA yajQAH__VDaH _077.085
   adattadānā gacchanti__Vdha_045.023	adatta dAnAH gacCanti__VDaH _045.023
   adattvāpoṣitā hi ye__Vdha_037.026	adattvA apozitAH hi ye__VDaH _037.026
   adattvā bhuñjate tu ye__Vdha_023.023	adattvA BuQjate tu ye__VDaH _023.023
   adadaṃ cāpy atandritaḥ__Vdha_079.072	adadam ca api atandritaH__VDaH _079.072
   adadaṃ na ca tena vai__Vdha_079.079	adadam na ca tena vE__VDaH _079.079
   adadaṃ ratnaparvatān__Vdha_079.071	adadam ratnaparvatAn__VDaH _079.071
   adambhitvam amatsaram__Vdha_097.017	adamBi tvam amatsaram__VDaH _097.017
   adarśanam itā so 'pi__Vdha_070.040	adarSanam itA saH api__VDaH _070.040
   aditir nāma devānāṃ__Vdha_075.008	aditiH nAma devAnAm__VDaH _075.008
   aditis tvaṃ mahābhāge__Vdha_090.008	aditiH tvam mahABAge__VDaH _090.008
   adityā cepsitāḥ putrā__Vdha_019.020	adityA ca IpsitAH putrAH __VDaH _019.020
   aduṣṭasyeha kasyacit__Vdha_102.099	aduzwasya iha kasyacid __VDaH _102.099
   aduṣṭāṃś cātmano bhṛtyān__Vdha_094.036	aduzwAn ca AtmanaH BRtyAn__VDaH _094.036
   adṛśyam acchedyam anādimadhyaṃ__Vdha_067.044	adRSyam acCedyam anAdi maDyam__VDaH _067.044
   adṛśyaḥ sarvabhūtānāṃ__Vdha_075.032	adRSyaH sarva BUtAnAm__VDaH _075.032
   adṛśyā rakṣasā tena__Vdha_070.040	adRSyA rakzasA tena__VDaH _070.040
   adṛṣṭā dṛṣṭatattvānāṃ__Vdha_098.025	adRzwAH dRzwa tattvAnAm__VDaH _098.025
   adeśike deśiko 'ham__Vdha_088.078	adeSike deSikaH aham__VDaH _088.078
   adbhutaṃ lokabhāvanam__Vdha_068.010	adButam loka BAvanam__VDaH _068.010
   adyakālikayā buddhyā__Vdha_032.047	adya kAlikayA budDyA__VDaH _032.047
   adya tvāṃ kṣutpipāsitaḥ__Vdha_070.031	adya tvAm kzuD pipAsitaH__VDaH _070.031
   adyaprabhṛti deveśe__Vdha_076.061	adya praBRti deveSe__VDaH _076.061
   adyaprabhṛty ahaṃ māsaṃ__Vdha_089.029	adya praBRti aham mAsam__VDaH _089.029
   adyāpi na nivartante__Vdha_068.*(112)	adya api na nivartante__VDaH _068.*(112)
   adrohaḥ sarvajantuṣu__Vdha_097.019	adrohaH sarva jantuzu__VDaH _097.019
   advaitadvaitarūpasya__Vdha_097.002	advEta dvEta rUpasya__VDaH _097.002
   advaitabhāvanopāyo__Vdha_104.003	advEta BAvanA upAyaH __VDaH _104.003
   advaitam api bhūpate__Vdha_096.022	advEtam api BUpate__VDaH _096.022
   advaitaṃ dvaitam eva ca__Vdha_104.003	advEtam dvEtam eva ca__VDaH _104.003
   advaitaṃ paramārthataḥ__Vdha_096.024	advEtam paramArTataH__VDaH _096.024
   advaitaṃ paramārtho hi__Vdha_096.019	advEtam parama arTaH hi__VDaH _096.019
   advaitaṃ bhāvayet katham__Vdha_102.002	advEtam BAvayet kaTam__VDaH _102.002
   advaite yat tvayoditam__Vdha_102.001	advEte yat tvayA uditam__VDaH _102.001
   adhanānāṃ tathā dhanam__Vdha_090.047	aDanAnAm taTA Danam__VDaH _090.047
   adhano labhate dhanam__Vdha_019.023	aDanaH laBate Danam__VDaH _019.023
   adharāyāṃ trivikramaḥ__Vdha_028.*(18).018	aDarAyAm trivikramaH__VDaH _028.*(18).018
   adharmaś cāyam evokto__Vdha_040.008	aDarmaH ca ayam eva uktaH __VDaH _040.008
   adharmasevanān mūḍhas__Vdha_057.006	aDarma sevanAt mUXaH __VDaH _057.006
   adhaś cordhvaṃ tathāgrataḥ__Vdha_079.107	aDas ca UrDvam taTA agratas __VDaH _079.107
   adhastād vasudhātalāt__Vdha_077.069	aDastAt vasuDA talAt __VDaH _077.069
   adhaḥśāyī brahmacārī__Vdha_007.016	aDas SAyI brahmacArI__VDaH _007.016
   adhaḥ sūryāṃśubhis taptair__Vdha_037.018	aDas sUrya aMSuBiH taptEH __VDaH _037.018
   adhītahutataptasya__Vdha_063.008	aDIta huta taptasya__VDaH _063.008
   adhītāny avratāni ca__Vdha_077.085	aDItAni avratAni ca__VDaH _077.085
   adhīte svargam anvicchaṃs__Vdha_057.015	aDIte svargam anvicCan= __VDaH _057.015
   adhītya caturo vedān__Vdha_064.058	aDItya caturaH vedAn__VDaH _064.058
   adhītya vedān vedau vā__Vdha_101.027	aDItya vedAn vedO vA__VDaH _101.027
   adhokṣajāya bhadrāya__Vdha_028.*(20).023	aDokzajAya BadrAya__VDaH _028.*(20).023
   adhyātmagaticintakāḥ__Vdha_052.015	aDyAtma gati cintakAH__VDaH _052.015
   adhyātmikādiduḥkhānām__Vdha_038.063	aDyAtmika Adi duHKAnAm__VDaH _038.063
   adhyāyapāraṇaṃ cāsya__Vdha_105.089	aDyAya pAraNam ca asya__VDaH _105.089
   adhyāyaṃ tapaso vakṣye__Vdha_054.001	aDyAyam tapasaH vakzye__VDaH _054.001
   adhvani khinnagātras tu__Vdha_045.029	aDvani Kinna gAtraH tu__VDaH _045.029
   adhvareṣu haviḥsravaiḥ__Vdha_072.076	aDvarezu haviH sravEH__VDaH _072.076
   adhvānam upari śrāntaṃ__Vdha_064.041	aDvAnam upari SrAntam__VDaH _064.041
   anaḍvāhaṃ suvrataṃ yo dadāti__Vdha_059.024	anaxvAham suvratam yaH dadAti__VDaH _059.024
   anantakarasaṅginam__Vdha_078.045	ananta kara saFginam__VDaH _078.045
   anantatvāc ca so 'vyayaḥ__Vdha_006.022	ananta tvAt ca saH avyayaH__VDaH _006.022
   anantanāmasmaraṇaṃ__Vdha_008.003	ananta nAma smaraNam__VDaH _008.003
   anantapuṇyopacayaṃ__Vdha_030.019	ananta puNya upacayam__VDaH _030.019
   anantaphalabhāg bhavet__Vdha_007.029	ananta Pala BAj Bavet __VDaH _007.029
   anantabalapauruṣam__Vdha_068.012	ananta bala pOruzam__VDaH _068.012
   anantam ajam avyayam__Vdha_066.011	anantam ajam avyayam__VDaH _066.011
   anantam ajam avyayam__Vdha_094.075	anantam ajam avyayam__VDaH _094.075
   anantam aparājitam__Vdha_022.004	anantam aparAjitam__VDaH _022.004
   anantam aparājitam__Vdha_070.045	anantam aparAjitam__VDaH _070.045
   anantam aparājitam__Vdha_093.004	anantam aparAjitam__VDaH _093.004
   anantam aparājitam__Vdha_094.115	anantam aparAjitam__VDaH _094.115
   anantam amitaujasam__Vdha_001.024	anantam amita ojasam__VDaH _001.024
   anantam asthūlam arūpagandham__Vdha_035.030	anantam asTUlam arUpa ganDam__VDaH _035.030
   anantam īḍyaṃ puruṣaṃ purāṇaṃ__Vdha_001.064	anantam Ixyam puruzam purANam__VDaH _001.064
   anantam udakeśayam__Vdha_066.005	anantam udakeSayam__VDaH _066.005
   anantaraṃ ca yo 'śnīyāt__Vdha_045.025	anantaram ca yaH aSnIyAt __VDaH _045.025
   anantarāya caikāya__Vdha_067.*(100),005	anantarAya ca ekAya__VDaH _067.*(100),005
   anantavratamāhātmyād__Vdha_030.053	ananta vrata mAhAtmyAt __VDaH _030.053
   anantavratasaṃjñaṃ vai__Vdha_030.038	ananta vrata saMjQam vE__VDaH _030.038
   anantaśaktim īśeśaṃ__Vdha_100.033	ananta Saktim ISeSam__VDaH _100.033
   anantaśirasaḥ pūjāṃ__Vdha_030.032	ananta SirasaH pUjAm__VDaH _030.032
   anantasyāprameyasya__Vdha_035.001	anantasya aprameyasya__VDaH _035.001
   anantasyāprameyasya__Vdha_078.050	anantasya aprameyasya__VDaH _078.050
   anantaṃ gītavādyena__Vdha_008.005	anantam gIta vAdyena__VDaH _008.005
   anantaṃ nāsikopari__Vdha_028.*(18).030	anantam nAsikA upari__VDaH _028.*(18).030
   anantaṃ parataḥ param__Vdha_089.016	anantam paratas param__VDaH _089.016
   anantaṃ puruṣottamam__Vdha_068.009	anantam puruzottamam__VDaH _068.009
   anantaṃ pratipadyate__Vdha_104.006	anantam pratipadyate__VDaH _104.006
   anantaṃ bhagavān phalam__Vdha_030.018	anantam BagavAn Palam__VDaH _030.018
   anantaṃ rāmam īśvaram__Vdha_079.113	anantam rAmam ISvaram__VDaH _079.113
   anantaṃ lokabhāvanam__Vdha_068.003	anantam loka BAvanam__VDaH _068.003
   anantaṃ samupāśritāḥ__Vdha_080.030	anantam samupASritAH__VDaH _080.030
   anantaṃ saindhavāraṇye__Vdha_036.021	anantam sEnDava araNye__VDaH _036.021
   anantaḥ prīyatām iti__Vdha_030.021	anantaH prIyatAm iti__VDaH _030.021
   anantaḥ sarvakāmānām__Vdha_030.018	anantaH sarva kAmAnAm__VDaH _030.018
   anantaḥ sarvakāmānām__Vdha_030.023	anantaH sarva kAmAnAm__VDaH _030.023
   anantākhyaṃ vrataṃ tava__Vdha_030.054	ananta AKyam vratam tava__VDaH _030.054
   anantācyutakīrtanam__Vdha_040.032	ananta acyuta kIrtanam__VDaH _040.032
   anantāja namo 'stu te__Vdha_066.025	anantAja namaH astu te__VDaH _066.025
   anantāya namo namaḥ__Vdha_067.*(100),010	anantAya namaH namaH__VDaH _067.*(100),010
   anantāya namo namaḥ__Vdha_092.018	anantAya namaH namaH__VDaH _092.018
   anantāya mahātmane__Vdha_028.*(20).003	anantAya mahAtmane__VDaH _028.*(20).003
   anantāya mahātmane__Vdha_028.*(20).034	anantAya mahAtmane__VDaH _028.*(20).034
   anantāya mahātmane__Vdha_067.054	anantAya mahAtmane__VDaH _067.054
   anantāraṃ sudarśanam__Vdha_078.*(129)	anantAram sudarSanam__VDaH _078.*(129)
   anantārādhanaṃ śuciḥ__Vdha_008.006	ananta ArADanam SuciH__VDaH _008.006
   ananyagatir ekasthas__Vdha_082.051	ananya gatiH ekasTaH __VDaH _082.051
   ananyāsaktadṛṣṭiṃ ca__Vdha_074.*(117)	ananya Asakta dRzwim ca__VDaH _074.*(117)
   anapatyā tapas tepe__Vdha_089.021	anapatyA tapaH tepe__VDaH _089.021
   anapāśrityajīvinaḥ__Vdha_052.011	anapASritya jIvinaH__VDaH _052.011
   anabhyarcya yathānyāyam__Vdha_029.012	anaByarcya yaTAnyAyam__VDaH _029.012
   anayā ca samaṃ sādhvyā__Vdha_082.050	anayA ca samam sADvyA__VDaH _082.050
   anayā cottarīyānta __Vdha_082.066	anayA ca uttarIya anta __VDaH _082.066
   anayor akṣayātmanoḥ__Vdha_102.051	anayoH akzaya AtmanoH__VDaH _102.051
   anarcayitvā yo bhuṅkte__Vdha_064.041	anarcayitvA yaH BuFkte__VDaH _064.041
   analaś cāpy aśīśamat__Vdha_088.044	analaH ca api aSISamat __VDaH _088.044
