   oṃ tatsadbrahmaṇe namaḥ |	om tad-sat-brahmaNe namaH |
   kṛcchreṇa śuddhim āpnoti śūdrā dānopavāsataḥ // YS99v_14 //	kRcCreNa SudDim Apnoti SUdrAH dAna-upavAsataH // YS99u-_14 //
   anucchiṣṭena saṃspṛṣṭe snānaṃ yena vidhīyate /	anucCizwena saMspRzwe snAnam yena viDIyate /
   tenaivocchiṣṭasaṃspṛṣṭaḥ prājāpatyaṃ samācaret // YS99v_15 //	tena-eva-ucCizwa-saMspRzwaH prAjApatyam samAcaret // YS99u-_15 //
   ṛtau tu garbhaśaṅkitvāt snānaṃ maithuninaḥ smṛtam /	RtO tu garBa-SaFki-tvAt snAnam mETuninaH smRtam /
   anṛtau tu striyaṃ gatvā śaucaṃ mūtrapurīṣavat // YS99v_16 //	anRtO tu striyam gatvA SOcam mUtra-purIza-vat // YS99u-_16 //
   ubhāv apy aśucī syātāṃ daṃpatī śayanaṃ gatau /	uBO api aSucI syAtAm daMpatI Sayanam gatO /
   śayanād utthitā nārī śuciḥ syād aśuciḥ pumān // YS99v_17 //	SayanAt utTitA nArI SuciH syAt aSuciH pumAn // YS99u-_17 //
   bhartuḥ śarīraṃ śuśrūṣāṃ daurātmyād aprakurvatī /	BartuH SarIram SuSrUzAm dOrAtmyAt aprakurvatI /
   daṇḍyā dvādaśakaṃ nārī varṣaṃ tyājyā dhanaṃ vinā // YS99v_18 //	daNxyA dvAdaSakam nArI varzam tyAjyAH Danam vinA // YS99u-_18 //
   tyajanto 'patitān bandhūn daṇḍyā uttamasāhasam /	tyajantaH apatitAn banDUn daNxyAH uttamasAhasam /
   pitā hi patitaḥ kāmaṃ na tu mātā kadācana // YS99v_19 //	pitA hi patitaH kAmam na tu mAtA kadAcana // YS99u-_19 //
   ātmānaṃ ghātayed yas tu rajjvādibhir upakramaiḥ /	AtmAnam GAtayet yaH tu rajju-AdiBiH upakramEH /
   mṛto 'medhyena leptavyo jīvato dviśataṃ damaḥ // YS99v_20 //	mRtaH ameDyena leptavyaH jIvataH dvi-Satam damaH // YS99u-_20 //
   daṇḍyās tat putramitrāṇi pratyekaṃ paṇikaṃ damam /	daNxyAH tat putra-mitrANi pratyekam paNikam damam /
   prāyaścittaṃ tataḥ kuryur yathā śāstrapracoditam // YS99v_21 //	prAyaScittam tatas kuryuH yaTA SAstra-pracoditam // YS99u-_21 //
   jalādyudbandhanabhraṣṭāḥ pravrajyānāśakacyutāḥ /	jala-Adi-udbanDana-BrazwAH pravrajyA-anASaka-cyutAH /
   viṣaprapatanaprāya- śastraghātahatāś ca ye // YS99v_22 //	viza-prapatana-prAya Sastra-GAta-hatAH ca ye // YS99u-_22 //
   navaite pratyavasitāḥ sarvalokabahiṣkṛtāḥ /	navA-ete pratyavasitAH sarva-loka-bahizkRtAH /
   cāndrāyaṇena śudhyanti taptakṛcchradvayena vā // YS99v_23 //	cAndrAyaNena SuDyanti taptakRcCra-dvayena vA // YS99u-_23 //
   ubhayāvasitaḥ pāpaḥ śyāmāc chabalakāc cyutaḥ /	uBaya-avasitaH pApaH SyAmAt SabalakAt cyutaH /
   cāndrāyaṇābhyāṃ śudhyeta dattvā dhenuṃ tathā vṛṣam // YS99v_24 //	cAndrAyaNAByAm SuDyeta dattvA Denum taTA vRzam // YS99u-_24 //
   śvaśṛgālaplavaṅgādyair mānuṣaiś ca ratiṃ vinā /	Sva-SRgAla-plavaFga-AdyEH mAnuzEH ca ratim vinA /
   daṣṭaḥ snātvā śuciḥ sadyo divā saṃdhyāsu rātriṣu // YS99v_25 //	dazwaH snAtvA SuciH sadyas divA saMDyAsu rAtrizu // YS99u-_25 //
   ajñānād brāhmaṇo bhuktvā caṇḍālānnaṃ kadācana /	ajQAnAt brAhmaNaH BuktvA caNxAla-annam kadAcana /
   gomūtrayāvakāhāro māsārdhena viśudhyati // YS99v_26 //	go-mUtra-yAvaka-AhAraH mAsa-arDena viSuDyati // YS99u-_26 //
   gobrāhmaṇagṛhaṃ dagdhā mṛtaṃ codbandhanādinā /	go-brAhmaNa-gRham dagDA mRtam ca-udbanDa-na-AdinA /
   pāśāṃś chittvā tathā tasya kṛcchram ekaṃ cared dvijaḥ // YS99v_27 //	pASAn CittvA taTA tasya kRcCram ekam caret dvijaH // YS99u-_27 //
   caṇḍālapukkasānāṃ ca bhuktvā gatvā ca yoṣitam /	caNxAla-pukkasAnAm ca BuktvA gatvA ca yozitam /
   kṛcchrābdam ācarej jñānād ajñānād aindavadvayam // YS99v_28 //	kRcCra-abdam Acaret jQAnAt ajQAnAt Endava-dvayam // YS99u-_28 //
   kāpālikānnabhoktṝṇāṃ tannārīgāmināṃ tathā /	kApAlika-anna-BoktLNAm tad-nArI-gAminAm taTA /
   kṛcchrābdam ācarej jñānād ajñānād aindavadvayam // YS99v_29 //	kRcCra-abdam Acaret jQAnAt ajQAnAt Endava-dvayam // YS99u-_29 //
   agamyāgamane vipro madyagomāṃsabhaksaṇe /	agamyA-gamane vipraH madya-go-mAMsa-BaksaNe /
   taptakṛcchraparikṣipto mauñjī homena śudhyati // YS99v_30 //	taptakRcCra-parikziptaH mOQjI homena SuDyati // YS99u-_30 //
   mahāpātakakartāraś catvāro 'py aviśeṣataḥ /	mahApAtaka-kartAraH catvAraH api aviSezatas /
   agniṃ praviśya śudhyanti sthitvā vā mahati kratau // YS99v_31 //	agnim praviSya SuDyanti sTitvA vA mahati kratO // YS99u-_31 //
   rahasyakaraṇe 'py evaṃ māsam abhyasya pūruṣaḥ /	rahasya-karaNe api evam mAsam aByasya pUruzaH /
   aghamarṣaṇasūktaṃ vā śudhyed antarjale sthitaḥ // YS99v_32 //	aGa-marzaNa-sUktam vA SuDyet antar-jale sTitaH // YS99u-_32 //
   rajakaś carmakāraś ca naṭo buruḍa eva ca /	rajakaH carmakAraH ca nawaH buruxaH eva ca /
   kaivartamedabhillāś ca saptaite antyajāḥ smṛtāḥ // YS99v_33 //	kEvarta-meda-BillAH ca saptA-ete antyajAH smRtAH // YS99u-_33 //
   bhuktvā caiṣāṃ striyo gatvā pītvāpaḥ pratigṛhya ca /	BuktvA ca-ezAm striyaH gatvA pItvA-apaH pratigRhya ca /
   kṛcchrābdam ācarej jñānād ajñānād aindavadvayam // YS99v_34 //	kRcCra-abdam Acaret jQAnAt ajQAnAt Endava-dvayam // YS99u-_34 //
   mātaraṃ gurupatnīṃ ca svasṛduhitarau snuṣām /	mAtaram guru-patnIm ca svasR-duhitarO snuzAm /
   gatvaitāḥ praviśed agniṃ nānyā śuddhir vidhīyate // YS99v_35 //	gatvA-etAH praviSet agnim na-anyA SudDiH viDIyate // YS99u-_35 //
   rājñāṃ pravrajitāṃ dhātrīṃ tathā varṇottamām api /	rAjQAm pravrajitAm DAtrIm taTA varNa-uttamAm api /
   kṛcchradvayaṃ prakurvīta sa gotrām abhigamya ca // YS99v_36 //	kRcCra-dvayam prakurvIta sa gotrAm aBigamya ca // YS99u-_36 //
   anyāsu pitṛgotrāsu mātṛgotragatāsv api /	anyAsu pitR-gotrAsu mAtR-gotra-gatAsu api /
   paradāreṣu sarveṣu kṛcchraṃ sāṃtapanaṃ caret // YS99v_37 //	para-dArezu sarvezu kRcCram sAMtapanam caret // YS99u-_37 //
   veśyābhigamane pāpaṃ vyapohanti dvijātayaḥ /	veSyA-aBigamane pApam vyapohanti dvijAtayaH /
   pītvā sakṛt sutaptaṃ ca pañcarātraṃ kuśodakam // YS99v_38 //	pItvA sakRt su-taptam ca paQca-rAtram kuSa-udakam // YS99u-_38 //
   gurutalpavrataṃ kecit kecid brahmahaṇo vratam /	gurutalpavratam kecid kecid brahma-haNaH vratam /
   goghnasya kecid icchanti kecic caivāvakīrṇinaḥ // YS99v_39 //	go-Gnasya kecid icCanti kecid ca-eva-avakIrNinaH // YS99u-_39 //
   daṇḍād ūrdhvaprahāreṇa yas tu gāṃ vinipātayet /	daNxAt UrDva-prahAreNa yaH tu gAm vinipAtayet /
   dviguṇaṃ go vrataṃ tasya prāyaścittaṃ vinirdiśet // YS99v_40 //	dviguNam gaH vratam tasya prAyaScittam vinirdiSet // YS99u-_40 //
   aṅguṣṭhamātrasthūlas tu bāhumātrapramāṇakaḥ /	aFguzWa-mAtra-sTUlaH tu bAhu-mAtra-pramANakaH /
   sārdraś ca sa palāśaś ca godaṇḍaḥ parikīrtitaḥ // YS99v_41 //	sArdraH ca sa palASaH ca godaNxaH parikIrtitaH // YS99u-_41 //
   gavāṃ nipātane caiva garbho 'pi saṃpated yadi /	gavAm nipAtane ca-eva garBaH api saMpatet yadi /
   ekaikaśaś caret kṛcchraṃ yathā pūrvaṃ tathā punaḥ // YS99v_42 //	ekEkaSas caret kRcCram yaTA pUrvam taTA punar // YS99u-_42 //
   pādam utpannamātre tu dvau pādau gātrasaṃbhave /	pAdam utpanna-mAtre tu dvO pAdO gAtra-saMBave /
   pādonaṃ kṛcchram ācaṣṭe hatvā garbham acetanam // YS99v_43 //	pAda-Unam kRcCram Acazwe hatvA garBam acetanam // YS99u-_43 //
   aṅgapratyaṅgasaṃpūrṇe garbhe retaḥ samanvite /	aFga-pratyaFga-saMpUrNe garBe retaH samanvite /
   ekaikaśaś caret kṛcchram eṣā goghnasya niṣkṛtiḥ // YS99v_44 //	ekEkaSas caret kRcCram ezA go-Gnasya nizkRtiH // YS99u-_44 //
   bandhane rodhane caiva pāṣāṇe vā gavāṃ rujā /	banDane roDane ca-eva pAzANe vA gavAm rujA /
   saṃpadyate cen maraṇaṃ nimittī naiva lipyate // YS99v_45 //	saMpadyate ced maraNam nimittI na-eva lipyate // YS99u-_45 //
   mūrchitaḥ patito vāpi daṇḍenābhihatas tathā /	mUrCitaH patitaH vA-api daNxena-aBihataH taTA /
   utthāya ṣaṭpadaṃ gacchet sapta pañca daśāpi vā // YS99v_46 //	utTAya zawpadam gacCet sapta paQca daSA-api vA // YS99u-_46 //
   grāsaṃ vā yadi gṛhṇīyāt toyaṃ vāpi pibed yadi /	grAsam vA yadi gRhNIyAt toyam vA-api pibet yadi /
   pūrvavyādhipranaṣṭānāṃ prāyaścittaṃ na vidyate // YS99v_47 //	pUrva-vyADi-pranazwAnAm prAyaScittam na vidyate // YS99u-_47 //
   kāṣṭhaloṣṭāśmabhir gāvaḥ śastrair vā nihatā yadi /	kAzWa-lozwa-aSmaBiH gAvaH SastrEH vA nihatAH yadi /
   prāyaścittaṃ kathaṃ tatra śāstre śāstre nigadyate // YS99v_48 //	prAyaScittam kaTam tatra SAstre SAstre nigadyate // YS99u-_48 //
   kāṣṭhe sāṃtapanaṃ kuryāt prājāpatyaṃ tu loṣṭake /	kAzWe sAMtapanam kuryAt prAjApatyam tu lozwake /
   taptakṛcchraṃ tu pāṣāṇe śastre cāpy atikṛcchrakam // YS99v_49 //	taptakRcCram tu pAzANe Sastre ca-api atikRcCrakam // YS99u-_49 //
   auṣadhaṃ sneham āhāraṃ dadad gobrāhmaṇeṣu tu /	OzaDam sneham AhAram dadat go-brAhmaNezu tu /
   dīyamāne vipattiḥ syāt prāyaścittaṃ na vidyate // YS99v_50 //	dIyamAne vipattiH syAt prAyaScittam na vidyate // YS99u-_50 //
   tailabhaiṣajyapāne ca bheṣajānāṃ ca bhakṣaṇe /	tEla-BEzajya-pAne ca BezajAnAm ca BakzaNe /
   niḥśalyakaraṇe caiva prāyaścittaṃ na vidyate // YS99v_51 //	niHSalya-karaNe ca-eva prAyaScittam na vidyate // YS99u-_51 //
   vatsānāṃ kaṇṭhabandhena kriyayā bheṣajena tu /	vatsAnAm kaNWa-banDena kriyayA Bezajena tu /
   sāyaṃ saṃgopanārthaṃ ca na doṣo rodha bandhayoḥ // YS99v_52 //	sAyam saMgopana-arTam ca na dozaH roDa banDayoH // YS99u-_52 //
   pāde caivāsya romāṇi dvi pāde śmaśrukevalam /	pAde ca-eva-asya romANi dvi pAde SmaSru-kevalam /
   tripāde tu śikhāvarjaṃ mūle sarvaṃ samācaret // YS99v_53 //	tri-pAde tu SiKA-varjam mUle sarvam samAcaret // YS99u-_53 //
   sarvān keśān samuddhṛtya cchedayed aṅguladvayam /	sarvAn keSAn samudDRtya cCedayet aFgula-dvayam /
   evam eva hi nārīṇāṃ muṇḍamuṇḍāpanaṃ smṛtam // YS99v_54 //	evam eva hi nArINAm muNxam-uNxApanam smRtam // YS99u-_54 //
   na striyā vapanaṃ kāryaṃ na ca vīrāsanaṃ tathā /	na striyAH vapanam kAryam na ca vIrAsanam taTA /
   na ca goṣṭhe nivāsaṃ ca na gacchantīm anuvrajet // YS99v_55 //	na ca gozWe nivAsam ca na gacCantIm anuvrajet // YS99u-_55 //
   rājā vā rāja putro vā brāhmaṇo vā bahuśrutaḥ /	rAjA vA rAja putraH vA brAhmaNaH vA bahu-SrutaH /
   akṛtvā vapanaṃ teṣāṃ prāyaścittaṃ vinirdiśet // YS99v_56 //	akRtvA vapanam tezAm prAyaScittam vinirdiSet // YS99u-_56 //
   keśānāṃ rakṣaṇārthaṃ ca dviguṇaṃ vratam ādiśet /	keSAnAm rakzaNa-arTam ca dviguNam vratam AdiSet /
   dviguṇe tu vrate cīrṇe dviguṇaiva tu dakṣiṇā // YS99v_57 //	dviguNe tu vrate cIrNe dviguNA-eva tu dakziNAH // YS99u-_57 //
   dviguṇaṃ cen na dattaṃ ca keśāṃś ca parirakṣayet /	dviguNam ced na dattam ca keSAn ca parirakzayet /
   pāpaṃ na kṣīyate hantur dātā ca narakaṃ vrajet // YS99v_58 //	pApam na kzIyate hantuH dAtA ca narakam vrajet // YS99u-_58 //
   aśrautasmārtavihitaṃ prāyaścittaṃ vadanti ye /	aSrOta-smArta-vihitam prAyaScittam vadanti ye /
   tān dharmavighnakartṝṃś ca rājā daṇḍena pīḍayet // YS99v_59 //	tAn Darma-viGna-kartLn ca rAjA daNxena pIxayet // YS99u-_59 //
   na cet tān pīḍayed rājā kathañcit kāmamohitaḥ /	na ced tAn pIxayet rAjA kaTaQcid kAma-mohitaH /
   tat pāpaṃ śatadhā bhūtvā tam eva parisarpati // YS99v_60 //	tat pApam SataDA BUtvA tam eva parisarpati // YS99u-_60 //
   prāyaścitte tataś cīrṇe kuryād brāhmaṇabhojanam /	prAyaScitte tatas cIrNe kuryAt brAhmaNa-Bojanam /
   viṃśatiṃ gāvṛṣaṃ caiva dadyāt teṣāṃ ca dakṣiṇām // YS99v_61 //	viMSatim gAvRzam ca-eva dadyAt tezAm ca dakziNAm // YS99u-_61 //
   kṛmibhir vraṇasaṃbhūtair makṣikābhiś ca pātitaiḥ /	kRmiBiH vraNa-saMBUtEH makzikABiH ca pAtitEH /
   kṛcchrārdhaṃ saṃprakurvīta śaktyā dadyāc ca dakṣiṇām // YS99v_62 //	kRcCra-arDam saMprakurvIta SaktyA dadyAt ca dakziNAm // YS99u-_62 //
   prāyaścittaṃ ca kṛtvā vai bhojayitvā dvijottamān /	prAyaScittam ca kRtvA vE BojayitvA dvijottamAn /
   suvarṇam āṣakaṃ dadyāt tataḥ śuddhir vidhīyate // YS99v_63 //	suvarNam Azakam dadyAt tatas SudDiH viDIyate // YS99u-_63 //
   caṇḍālaśvapacaiḥ spṛṣṭe niśi snānaṃ vidhīyate /	caNxAla-SvapacEH spRzwe niSi snAnam viDIyate /
   na vaset tatra rātrau tu sadyaḥ snānena śudhyati // YS99v_64 //	na vaset tatra rAtrO tu sadyas snAnena SuDyati // YS99u-_64 //
   atha vased yadā rātrāv ajñānād avicakṣaṇaḥ /	aTa vaset yadA rAtrO ajQAnAt avicakzaNaH /
   tadā tasya tu tat pāpaṃ śatadhā parivartate // YS99v_65 //	tadA tasya tu tat pApam SataDA parivartate // YS99u-_65 //
   udgacchanti hi nakṣatrāṇy upariṣṭāc ca ye grahāḥ /	udgacCanti hi nakzatrANi uparizwAt ca ye grahAH /
   saṃspṛṣṭe raśmibhis teṣām udake snānam ācaret // YS99v_66 //	saMspRzwe raSmiBiH tezAm udake snAnam Acaret // YS99u-_66 //
   kuḍyāntarjalavalmīka- mūṣikotkaravartmasu /	kuxya-antar-jala-valmIka mUzika-utkara-vartmasu /
   śmaśāne śaucaśeṣe ca na grāhyāḥ sapta mṛttikāḥ // YS99v_67 //	SmaSAne SOca-Seze ca na grAhyAH sapta mRttikAH // YS99u-_67 //
   iṣṭāpūrtaṃ tu kartavyaṃ brāhmaṇena prayatnataḥ /	izwApUrtam tu kartavyam brAhmaNena prayatnataH /
   iṣṭena labhate svargaṃ pūrte mokṣaṃ samaśnute // YS99v_68 //	izwena laBate svargam pUrte mokzam samaSnute // YS99u-_68 //
   vittāpekṣaṃ bhaved iṣṭaṃ taḍāgaṃ pūrtam ucyate /	vitta-apekzam Bavet izwam taxAgam pUrtam ucyate /
   ārāmaś ca viśeṣeṇa devadroṇyas tathaiva ca // YS99v_69 //	ArAmaH ca viSezeNa deva-droNyaH taTA-eva ca // YS99u-_69 //
   vāpī kūpataḍāgāni devatāyatanāni ca /	vApI kUpa-taxAgAni devatAyatanAni ca /
   patitāny uddhared yas tu sa pūrtaphalam aśnute // YS99v_70 //	patitAni udDaret yaH tu sa pUrta-Palam aSnute // YS99u-_70 //
   śuklāyā mūtraṃ gṛhṇīyāt kṛṣṇāyā goḥ śakṛt tathā /	SuklAyAH mUtram gRhNIyAt kRzNAyAH goH SakRt taTA /
   tāmrāyāś ca payo grāhyaṃ śvetāyā dadhi cocyate // YS99v_71 //	tAmrAyAH ca payaH grAhyam SvetAyAH daDi ca-ucyate // YS99u-_71 //
   kapilāyā ghṛtaṃ grāhyaṃ mahāpātakanāśanam /	kapilAyAH GRtam grAhyam mahApAtaka-nASanam /
   sarvatīrthe nadī toye kuśair dravyaṃ pṛthak pṛthak // YS99v_72 //	sarva-tIrTe nadI toye kuSEH dravyam pRTak pRTak // YS99u-_72 //
   āhṛtya praṇavenaiva hy utthāpya praṇavena ca /	AhRtya praNavena-eva hi utTApya praNavena ca /
   praṇavena samāloḍya praṇavena tu saṃpibet // YS99v_73 //	praNavena samAloxya praNavena tu saMpibet // YS99u-_73 //
   pālāśe madhyame parṇe bhāṇḍe tāmramaye tathā /	pAlASe maDyame parNe BANxe tAmra-maye taTA /
   pibet puṣkaraparṇe vā tāmre vā mṛnmaye śubhe // YS99v_74 //	pibet puzkaraparNe vA tAmre vA mRd-maye SuBe // YS99u-_74 //
   sūtake tu samutpanne dvitīye samupasthite /	sUtake tu samutpanne dvitIye samupasTite /
   dvitīye nāsti doṣas tu prathamenaiva śudhyati // YS99v_75 //	dvitIye na-asti dozaH tu praTamena-eva SuDyati // YS99u-_75 //
   jātena śudhyate jātaṃ mṛtena mṛtakaṃ tathā /	jAtena SuDyate jAtam mRtena mRtakam taTA /
   garbhasaṃsravaṇe māse trīṇy ahāni vinirdiśet // YS99v_76 //	garBa-saMsravaNe mAse trINi ahAni vinirdiSet // YS99u-_76 //
   rātribhir māsatulyābhir garbhasrāve viśudhyati /	rAtriBiH mAsa-tulyABiH garBasrAve viSuDyati /
   rajasy uparate sādhvī snānena strī rajasvalā // YS99v_77 //	rajasi uparate sADvI snAnena strI rajasvalAH // YS99u-_77 //
   svagotrād bhraśyate nārī vivāhāt saptame pade /	sva-gotrAt BraSyate nArI vivAhAt saptame pade /
   svāmigotreṇa kartavyās tasyāḥ piṇḍodakaṃ kriyāḥ // YS99v_78 //	svAmi-gotreNa kartavyAH tasyAH piNxa-udakam kriyAH // YS99u-_78 //
   dve pituḥ piṇḍadānaṃ syāt piṇḍe piṇḍe dvināmatā /	dve pituH piNxa-dAnam syAt piNxe piNxe dvi-nAma-tA /
   ṣaṇṇāṃ deyās trayaḥ piṇḍā evaṃ dātā na muhyati // YS99v_79 //	zaNNAm deyAH trayaH piNxAH evam dAtA na muhyati // YS99u-_79 //
   svena bhartrā saha śrāddhaṃ mātā bhuktvā sa daivatam /	svena BartrA saha SrAdDam mAtA BuktvA sa dEvatam /
   pitāmahy api svenaiva svenaiva prapitāmahī // YS99v_80 //	pitAmahI api svena-eva svena-eva prapitAmahI // YS99u-_80 //
   varṣe varṣe tu kurvīta mātāpitros tu satkṛtim /	varze varze tu kurvIta mAtA-pitroH tu satkRtim /
   adaivaṃ bhojayec chrāddhaṃ piṇḍam ekaṃ tu nirvapet // YS99v_81 //	adEvam Bojayet SrAdDam piNxam ekam tu nirvapet // YS99u-_81 //
   nityaṃ naimittikaṃ kāmyaṃ vṛddhiśrāddham athāparam /	nityam nEmittikam kAmyam vRdDi-SrAdDam aTa-aparam /
   pārvaṇaṃ ceti vijñeyaṃ śrāddhaṃ pañcavidhaṃ budhaiḥ // YS99v_82 //	pArvaNam ca-iti vijQeyam SrAdDam paQcaviDam buDEH // YS99u-_82 //
   grahoparāge saṃkrāntau parvotsavamahālaye /	graha-uparAge saMkrAntO parva-utsava-mahA-Alaye /
   nirvapet trīn naraḥ piṇḍān ekam eva mṛte 'hani // YS99v_83 //	nirvapet trIn naraH piNxAn ekam eva mRte ahani // YS99u-_83 //
   anūḍhā na pṛthak kanyā piṇḍe gotre ca sūtake /	anUXA na pRTak kanyA piNxe gotre ca sUtake /
   pāṇigrahaṇamantrābhyāṃ svagotrād bhraśyate tataḥ // YS99v_84 //	pANigrahaNa-mantrAByAm sva-gotrAt BraSyate tatas // YS99u-_84 //
   yena yena tu varṇena yā kanyā pariṇīyate /	yena yena tu varNena yA kanyA pariNIyate /
   tat samaṃ sūtakaṃ yāti tathā piṇḍodake 'pi ca // YS99v_85 //	tat samam sUtakam yAti taTA piNxa-udake api ca // YS99u-_85 //
   vivāhe caiva saṃvṛtte caturthe 'hani rātriṣu /	vivAhe ca-eva saMvRtte caturTe ahani rAtrizu /
   ekatvaṃ sā vrajed bhartuḥ piṇḍe gotre ca sūtake // YS99v_86 //	eka-tvam sA vrajet BartuH piNxe gotre ca sUtake // YS99u-_86 //
   prathame 'hni dvitīye vā tṛtīye vā caturthake /	praTame ahni dvitIye vA tRtIye vA caturTake /
   asthi saṃcayanaṃ kāryaṃ bandhubhir hitabuddhibhiḥ // YS99v_87 //	asTi saMcayanam kAryam banDuBiH hita-budDiBiH // YS99u-_87 //
   caturthe pañcame caiva saptame navame tathā /	caturTe paQcame ca-eva saptame navame taTA /
   asthisaṃcayanaṃ proktaṃ varṇānām anupūrvaśaḥ // YS99v_88 //	asTisaMcayanam proktam varNAnAm anupUrvaSas // YS99u-_88 //
   ekādaśāhe pretasya yasya cotsṛjyate vṛṣaḥ /	ekAdaSa-ahe pretasya yasya ca-utsRjyate vRzaH /
   mucyate pretalokāt sa svargaloke mahīyate // YS99v_89 //	mucyate preta-lokAt sa svarga-loke mahIyate // YS99u-_89 //
   gaṅgā toyeṣu yasyāsthi plavate śubhakarmaṇaḥ /	gaFgA toyezu yasya-asTi plavate SuBa-karmaNaH /
   na tasya punar āvṛttir brahmalokāt kathañcana // YS99v_90 //	na tasya punar AvRttiH brahma-lokAt kaTaQcanaH // YS99u-_90 //
   yāvadasthi manuṣyāṇāṃ gaṅgātoyeṣu tiṣṭhati /	yAvat-asTi manuzyANAm gaFgA-toyezu tizWati /
   tāvadvarṣasahasrāṇi svargaloke mahīyate // YS99v_91 //	tAvat-varza-sahasrANi svarga-loke mahIyate // YS99u-_91 //
   nābhimātre jale sthitvā hṛdayenānucintayet /	nABi-mAtre jale sTitvA hRdayena-anucintayet /
   āgacchantu me pitaro gṛhṇantv etāñ jalāñjalīn // YS99v_92 //	AgacCantu me pitaraH gRhNantu etAn jala-aQjalIn // YS99u-_92 //
