   // Ārya amoghapāśahṛdaya nāma mahāyānasūtram //	// Ārya amoGapASa-hRdaya nAma mahAyAna-sUtram //
   // om namo bhagavate ārya amoghapāśahṛdaya //	// om namaH Bagavate Arya amoGa-pASa-hRdayaH //
   śuddhasattvānāṃ śraddhādhimuktikānāṃ yadi bhagavan catasraḥ	SudDa-sattvAnAm SradDA-aDimuktikAnAm yadi Bagavan catasraH
   pariṣadaścatvāro varṇā yāmā yā sāthenāpiya idamadiyama amoghapāśahṛdayaṃ	parizadaH-catvAraH varNAH yAmA yA sATena-ApiyaH idam-adiyamaH amoGa-pASa-hRdayam
   śroṣyanti / udgrahīṣyanti dhārayiṣyanti vācayiṣyanti likhiṣyanti	Srozyanti / udgrahIzyanti DArayizyanti vAcayizyanti liKizyanti
   likhāpayiṣyanti paryavāpsyanti anyeṣāṃ sattvānāṃ śrāvayiṣyanti	liKApayizyanti paryavApsyanti anyezAm sattvAnAm SrAvayizyanti
   antastiryagyonigatānāṃ vā sattvānāṃ karṇāpūṭasthitvā karṇajāpaṃ dāṣyanti /	antar-tiryagyoni-gatAnAm vA sattvAnAm karNApUwa-sTitvA karNa-jApam dAzyanti /
   imānica mantrapadāni cintayiṣyanti / apratikṣepataḥ asaṃprabhavataḥ /	imAnica mantra-padAni cintayizyanti / apratikzepataH asaMpraBavataH /
   aviraṃgamataḥ akaraṇataḥ niḥkleśataḥ samacintākṣepakaḥ	aviraMgamataH akaraNataH niHkleSataH sama-cintA-AkzepakaH
   virahitapaṃcaskandhasvabhāvena / anena yogena buddhānusmṛtiḥ karttavyā /	virahita-paMcaskanDa-svaBAvena / anena yogena budDa-anusmRtiH karttavyA /
   teṣāṃ daśabhyo digbhyo buddhasahasraṃ saṃmukhaṃ darśanaṃ kariṣyanti /	tezAm daSaByaH digByaH budDa-sahasram saMmuKam darSanam karizyanti /
   atyayadeśanāṃ ca kariṣyanti / peyālaṃ / yāvatpustakalikhitaṃ vā kṛtvā gṛhe	atyaya-deSanAm ca karizyanti / peyAlam / yAvat-pusta-ka-liKitam vA kRtvA gRhe
   sthāpayiṣyanti / kiṃ bahunā bhagavannanyonyaśraddhayā vā śroṣyanti /	sTApayizyanti / kim bahunA Bagavan=-anyonya-SradDayA vA Srozyanti /
   svāmibhayena vā parānuttarā vā / uccagdhanahetunā vā śroṣyanti /	svAmi-Bayena vA parAnuttarAH vA / uccagDana-hetunA vA Srozyanti /
   jñātavyamiti bhagavan paṇḍite nāryāvalokiteśvarasyānubhāvena teṣāṃ	jQAtavyam-iti Bagavan paNxite nArya-avalokita-ISvarasya-anuBAvena tezAm
   karṇapuṭe śabdo niścarati /	karNa-puwe SabdaH niScarati /
   tadyathāpi nāma bhagavan kaścidevapurūṣaścandanaṃ vā kapūraṃ vā kasturikaṃ	tat-yaTA-api nAma Bagavan kaScid-eva-purUzaH-candanam vA kapUram vA kaH-turikam
   vā ākṛṣya paribhāṣya śilāyāṃ vā piṣṭvā ātmānaṃ lepayet / na tasya	vA AkRzya pariBAzya SilAyAm vA pizwvA AtmAnam lepayet / na tasya
   candanasya kapurakasya kasturikāyā vā / evaṃ bhavatyanāmākṛṣṭaḥ	candanasya kapurakasya kaH-turikAyAH vA / evam Bavati-anAmAkRzwaH
   paribhāṣito vā gandhenāti kramiṣyāmiti / api ca gandha eva sa eva meva	pariBAzitaH vA ganDena-ati kramizyAm-iti / api ca ganDaH eva saH eva meva
   bhagavanidaṃ madoyamamoghapāśannāma hṛdayaṃ yaḥ kaścidudgrāsdya ullāpya /	Bagavan-idam madoyam-amoGapASat-nAma hRdayam yaH kaScid-udgrAsdya ullApya /
   peyālaṃ / yāvatmāyāśabdenāpātheye nāpi pūjayeta / teṣāṃ bhagavana khakānāṃ	peyAlam / yAvatmAyA-Sabdena-apATeye na-api pUjayeta / tezAm BagavanaH KakAnAm
   sattvānāṃ sa eva kuśalamūla heturbhaviṣyati / yatra yatropapatsyante tatra	sattvAnAm saH eva kuSala-mUla hetuH-Bavizyati / yatra yatra-upapatsyante tatra
   tatra virahitāśca bhaviṣyanti / śīlasamādhiprajñāpuṇyasambhāragandhena	tatra virahitAH-ca Bavizyanti / SIla-samADi-prajQA-puNya-samBAra-ganDena
   śīlasaugandhikameva karoti / yaḥ kaścit bhagavan kulaputro vā kuladuhitā	SIla-sOganDikam-eva karoti / yaH kaScid Bagavan kula-putraH vA kula-duhitA
   vā bhikṣurvā bhikṣuṇī vā upāśako vā upāśikā vā / tadanyo vā	vA BikzuH-vA BikzuNI vA upASakaH vA upASikAH vA / tad-anyaH vA
   kaścidamoghapāśahṛdayamuddisyaśuklāṣṭamyāmupavāsaṃ kuryāt / saptavārān	kaScid-amoGa-pASa-hRdayam-uddisya-Sukla-azwamyAm-upavAsam kuryAt / sapta-vArAn
   amoghapāśahṛdayamanālapataḥ āvarttayet / tasya bhagavan dṛṣṭa eva dharmma	amoGa-pASa-hRdayam-anAlapataH Avarttayet / tasya Bagavan dRzwaH eva Darmma
   viśatiranuśaṃsaḥ pratikāṃkṣitavyāḥ / katame viṃśatiḥ? yaduta rogāścāsya	viSatiH-anuSaMsaH pratikAMkzitavyAH / katame viMSatiH? yat-uta rogAH-ca-asya
   kāyenopapatsyante / utpanāścāsya rogāḥ karmmavaśena śīghraṃ prasamaṃ	kAyena-upapatsyante / utpanAH-ca-asya rogAH karmma-vaSena SIGram prasamam
   yāsyanti / snigdhamanojñasāślakṣlagātra śca bhaviṣyati / vahujanapriyaśca	yAsyanti / snigDa-manojQasA-Slakzla-gA-atra Sca Bavizyati / vahu-jana-priyaH-ca
   bhaviṣyati / guptendriryā 'rtha pratilambhaśca bhaviṣyati / utpannāṃśca	Bavizyati / gupta-indriH-yA arTa pratilamBaH-ca Bavizyati / utpannAn=-ca
   'rthemyo pratilapsyate /	arTemyaH pratilapsyate /
   agninā dahyante nodakena hrīyante / rājā na śaknoti manasā pāpahartum /	agninA dahyante na-udakena hrIyante / rAjA na Saknoti manasA pApa-hartum /
   karmāntaścāsya sphītā bhavanti / nāśaninodakabhayaṃ bhaviṣyati / na	karmAntaH-ca-asya sPItAH Bavanti / na-aSaninodaka-Bayam Bavizyati / na
   vātavṛṣṭibhayaṃ bhaviṣyati / saptavārāna amoghapāśahṛdayena bhasmodakaṃ vā	vAta-vRzwi-Bayam Bavizyati / sapta-vArAna amoGa-pASa-hRdayena Basma-udakam vA
   parijapya digavidigūrddhaṃ ca kṣetrasya vandho dātavya / sarvopadravā	parijapya diS-avidigUrdDam ca kzetrasya vanDaH dAtavyaH / sarva-upadravA
   upaśamisyati / na ojohārā ojopaharantuṃ śaknuvanti / sarvasattvānāṃ priyo	upaSamisyati / naH ojaH-hArAH oja-upaharantum Saknuvanti / sarva-sattvAnAm priyaH-
   bhaviṣyati / mana āpaśca bhaviṣyati / śatru bhayaṃ cāsya na bhaviṣyati /	Bavizyati / manaH ApaH-ca Bavizyati / Satru Bayam ca-asya na Bavizyati /
   utpannacāsya śatru bhayaṃ śīghraṃ praśamaṃ yāsyati / na cāsya	utpanna-ca-asya Satru Bayam SIGram praSamam yAsyati / na ca-asya
   manuṣyabhayaṃ bhaviṣyati / na kākhorddhabhayaṃ na cāsya ḍākinībhayaṃ na	manuzya-Bayam Bavizyati / na kAKa-UrdDa-Bayam na ca-asya xAkinI-Bayam na
   cāsya tīvrāḥ kleśopakleśā bhaviṣyanti / nāgninā na śastreṇaviṣeṇaṃ kālaṃ	ca-asya tIvrAH kleSa-upakleSAH Bavizyanti / na-agninA na SastreNa-vizeNam kAlam
   kariṣyanti / devatācāsya satata samitaṃ rakṣāvaraṇaguptaye sthāsyanti /	karizyanti / devatA-Aca-asya satata samitam rakzA-AvaraNa-guptaye sTAsyanti /
   yatra yatropapatsyante tatra tatrāvirahitaśca bhaviṣyati	yatra yatra-upapatsyante tatra tatra-avirahitaH-ca Bavizyati
   maitrīkarūṇāmuditopekṣāyāḥ / ime viśatiranuśaṃsāḥ pratikāṃkṣitavyaḥ /	mEtrI-karUNAm-udita-upekzAyAH / ime viSatiH-anuSaMsAH pratikAMkzitavyaH /
   aparānaṣṭau dharmān pratilapsyante / katamānaṣṭau? maraṇakālasamaye	aparAn-azwO DarmAn pratilapsyante / katamAn-azwO? maraNa-kAla-samaye
   āryāvalokiteśvaro bhikṣurūpeṇa sammukhadarśanaṃ dāsyanti // 1 //	Arya-avalokita-ISvaraH Bikzu-rUpeNa sammuKa-darSanam dAsyanti // 1 //
   sasukhenakālaṃ kariṣyati // 2 // na bhrāntadṛṣṭirbhaviṣyati // 3 // na	sa-suKena-kAlam karizyati // 2 // na BrAnta-dRzwiH-Bavizyati // 3 // na
   hastavikṣepaṃ kariṣyati // 4 // na pādavikṣepaṃ kariṣyati // 5 //	hasta-vikzepam karizyati // 4 // na pAda-vikzepam karizyati // 5 //
   noccāraṇannaprasrāvaṃ na cārūḍha kālaṃ kariṣyati // 6 // sukhapratiṣṭhita	na-uccAraNanna-prasrAvam na ca-ArUXa kAlam karizyati // 6 // suKa-pratizWita
   smṛtirbhaviṣyati // 7 // nādhomukhakālaṃ kariṣyati // 8 // maraṇakāle	smRtiH-Bavizyati // 7 // na-aDomuKa-kAlam karizyati // 8 // maraNa-kAle
   akṣayapratibhānaṃ cāsya bhaviṣyati / yatra cāsya buddhakṣetre	akzaya-pratiBAnam ca-asya Bavizyati / yatra ca-asya budDa-kzetre
   praṇidhistatropapattirbhaviṣyati / avirahitaśca kalyānamitrā bhaviṣyanti /	praNiDiH-tatra-upapattiH-Bavizyati / avirahitaH-ca kalyAna-mitrAH Bavizyanti /
   dine dine triṣkālaṃ triṇi vārān pariāvarttayitavyaṃ /	dine dine trizkAlam triNi vArAn pariAvarttayitavyam /
   madyamāṃsapālāṇḍuguṃ kṛtocchiṣṭhaṃ viṣayardhinājyate varjjayitavyaṃ / ayaṃ	madya-mAMsa-pAlANxugum kRta-ucCizWam vizaya-rDinA-ajyate varjjayitavyam / ayam
   cāmoghapāśahṛdayo nāma dharmaparyāyaḥ sarvasatvānāṃ ca valāvalaṃ jñātvā	ca-amoGapASa-hRdayaH nAma Darma-paryAyaH sarva-satvAnAm ca valAvalam jQAtvA
   śrāvayitavyam / ācāryamuṣṭirna karttavyāḥ / yasmādvigato	SrAvayitavyam / AcArya-muzwiH-na karttavyAH / yasmAt-vigataH-
   malamātsaryobyāpagato bodhisattvā bhavanti / satvānāmārthakaraṇena	malamAt-saryobya-apagataH boDisattvAH Bavanti / satva-AnAma-arTa-karaNena
   buddhabodhiḥ prāpyate bodhirityucyate prajñāsattva ityupāyaḥ // etau	budDa-boDiH prApyate boDiH-iti-ucyate prajQA-sattvaH iti-upAyaH // etO
   dvaudharmmī sattvārthe naiva prāpyate / sacetme bhagavan anujānī yāt /	dvODarmmI sattva-arTe na-eva prApyate / sa-cetme Bagavan anujAnI yAt /
   idaṃ hṛdayaṃ tathāgatasya purataḥ kīrtta yeyaṃ catasṛṇāṃ parṣadām	idam hRdayam taTAgatasya puratas kIrtta yA-iyam catasRNAm parzadAm
   arthāyabodhisattvaṃ mahāsattvametadavocata / bhāṣatvaṃ śuddhasattvāya	arTAya-boDisattvam mahAsattvam-etat-avocata / BAza-tvam SudDa-sattvAya
   yasyedāniṃ kāla manyase /	yasya-idAnim kAla manyase /
   anumoditaṃ tathāgatena paścime kāle paścime samaye bodhisattvayānikānāṃ	anumoditam taTAgatena paScime kAle paScime samaye boDisattva-yAnikAnAm
   pitṛkāryakariṣyanti / atha khalu āryāvalokiteśvaro bodhisattvo mahāsattvo	pitR-kArya-karizyanti / aTa Kalu Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH-
   'nibhiṣanayano bhūtvā bhagavanta metadabocata / śṛṇu me bhagavan	aniBiza-nayanaH BUtvA Bagavanta metat-abocata / SRNu me Bagavan
   sarvabodhisattva namaskṛtamidaṃ vimokṣamukhamaṇḍalaṃ bahujanahitāya	sarva-boDisattva namaskRtam-idam vimokza-muKa-maNxalam bahu-jana-hitAya
   bahujanasukhāya lokānukampāyai mahato janakāyasyārthāya hitāya sukhāya //	bahu-jana-suKAya loka-anukampAyE mahataH jana-kAyasya-arTAya hitAya suKAya //
   nāmastryadhvānugatapratiṣṭhitebhya sarvabuddhabodhisattvebhyo namaḥ	nAmaH-tri-aDva-anugata-pratizWiteBya sarva-budDa-boDisattveByaH namaH
   pratyekabuddhāryaśrāvaka saṃghebhyo 'tītānāgatapratyutpannebhyo namaḥ	pratyekabudDa-Arya-SrAvaka saMGeByaH atIta-anAgata-pratyutpanneByaH namaH
   samyaggatānāṃ / namaḥ samyakapratipannānā / namaḥ śāradvatīputrāya	samyak-gatAnAm / namaH samyaka-pratipannAnA / namaH SAradvatI-putrAya
   mahādānapataye / namaḥ āryāmaitreyapramukhebhyo mahābodhisattvasaṃghebhyaḥ	mahA-dAna-pataye / namaH AryA-mEtreya-pramuKeByaH mahA-boDisattva-saMGeByaH
   namo 'tītānāgatapratyutpannebhyastathāgatebhyo 'rhatsaṃmyakasambuddhebhyo	namaH atIta-anAgata-pratyutpanneByaH-taTAgateByaH arhat-saMmyaka-sambudDeByaH-
   / namaḥ suvarṇavarṇaprabhāya tathāagatāya / namaḥ siṃhavikrīḍītarājāya	/ namaH suvarNa-varNa-praBAya taTAa-gatAya / namaH siMha-vikrIxIta-rAjAya
   tathāgatāya / namo vipaśvine tathāgatāya / namaḥ śikhine tathāgatāya	taTAgatAya / namaH vipaSvine taTAgatAya / namaH SiKine taTAgatAya
   arhate samyak sambuddhāya / namo viśvabhuve tathāgatāya / namaḥ	arhate samyak sambudDAya / namaH viSvaBuve taTAgatAya / namaH
   krakucchandāya tathāgatāya / namaḥ kanakamunaye tathagatāya / namaḥ	krakucCandAya taTAgatAya / namaH kanaka-munaye taTagatAya / namaH
   kāśyapāya tathāgatāyā / namaḥ śākyamunaye tathagatāryārhate	kASyapAya taTAgatAyAH / namaH SAkya-munaye taTagata-Arya-arhate
   samyaksambuddhāya // tadyathā //	samyaksambudDAya // tat-yaTA //
   om mune mune mahāmunaye svāhā / om same same mahāsame rakṣa rakṣa māṃ	om mune mune mahA-munaye svAhA / om same same mahA-same rakza rakza mAm
   sarvasattvānāṃca sarvapāpaprasamane svāhā // // // namaḥ suparikīrttita	sarva-sattvAnAMca sarva-pApa-prasamane svAhA // // // namaH su-parikIrttita
   nāma dheyāya tathāgatāyā / namaḥ samantāvabhāsavijitasaṃgrāmaśriye	nAma DeyAya taTAgatAyAH / namaH samantA-ava-BAsa-vijita-saMgrAma-Sriye
   tathāgatāya / namaḥ indraketudhvajaśriye tathāgatāya arhate	taTAgatAya / namaH indra-ketu-Dvaja-Sriye taTAgatAya arhate
   samyaksambuddhāya / namo vikrāntagāmine tathāgatāyārhate samyaksambuddhāya	samyaksambudDAya / namaH vikrAnta-gAmine taTAgatAya-arhate samyaksambudDAya
   / namo buddhāya namo dharmāya namaḥ saṃghāya / namo atītānāgata	/ namaH budDAya namaH DarmAya namaH saMGAya / namaH atIta-anAgata
   pratyutpannebhyo buddhebhyo bhagavadbhyaḥ // tadyathā //	pratyutpanneByaH budDeByaH BagavadByaH // tat-yaTA //
   smṛtivarddhani gativarddhani dhṛtivarddhani prajñāvarddhani	smRti-vardDani gati-vardDani DRti-vardDani prajQA-vardDani
   pratibhānavarddhani dhyānavarddhani samaryavarddhani	pratiBAna-vardDani DyAna-vardDani samarya-vardDani
   sarvabodhipakṣadharmmavarddhani sakalaburddhadharmaparipūṇīye svāhā // //	sarva-boDi-pakza-Darmma-vardDani sakala-burdDa-Darma-paripUNIye svAhA // //
   namo ratnatrayāya namo āryāvalokiteśvarāya bodhisattvāya mahāsattvāya	namaH ratnatrayAya namaH Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya
   mahākārūṇikāya / ebhyo namaskṛtvā	mahAkArUNikAya / eByaH namaskRtvA
   idamāryāvalokiteśvaramukhoṅgīrṇamamoghapāśarājannāma hṛdayaṃ tathāgata	idam-Arya-avalokita-ISvara-muKa-uFgIrNam-amoGapASa-rAjan-nAma hRdayam taTAgata
   saṃmukhabhāṣitaṃ mahatā parṣata madhye ahamidāniṃmāvarttayiṣye sidhyantu	saMmuKa-BAzitam mahatA parzata maDye aham-idAniMmAvarttayizye siDyantu
   me mantrapadā sarvvakāryāṇi /	me mantra-padA sarvu-akAryANi /
   sarvabhayebhyo mama sarvasattvānāṃca rakṣā bhavatu // tadyathā //	sarva-BayeByaH mama sarva-sattvAnAMca rakzA Bavatu // tat-yaTA //
   om cara 2 ciri 2 curū 2 mara 2 miri 2 murū 2 mahākārūṇika / sara 2 siri 2	om cara 2 ciri 2 curU 2 maraH 2 miri 2 murU 2 mahAkArUNikaH / saraH 2 siri 2
   surū 2 curū 2 ciri 2 viri 2 piri 2 miri 2 mahāpadāhasta / kala 2 kili 2	surU 2 curU 2 ciri 2 viri 2 piri 2 miri 2 mahApada-Ahaste / kale 2 kili 2
   kulu 2 mahāśuddhasatvā / buddhaya 2 bodha 2 bodhi 2 bodhaya 2 kaṇa 2 kiṇi	kulu 2 mahA-SudDa-satvA / budDaya 2 boDa 2 boDi 2 boDaya 2 kaNa 2 kiNi
   2 kuṇu 2 paramaśuddhasattva / kara 2 kiri 2 kurū 2 mahāsthāmaprāpta //	2 kuNu 2 parama-SudDa-sattvaH / karaH 2 kiri 2 kurU 2 mahA-sTAma-prApta //
   cala 2 saṃcala 2 vicala 2 eṭaṭa 2 bhara 2 bhiri 2 bhurū 2 tara 2	cala 2 saMcala 2 vicala 2 ewawaH 2 Bara 2 Biri 2 BurU 2 tara 2
   tiri 2 turū 2 ehi mahākārūṇika / mahāpaśupativeśadhara / dhara 2 dhiri 2	tiri 2 turU 2 ehi mahAkArUNika / mahA-paSupati-veSa-Dara / Dara 2 Diri 2
   dharū 2 tara 2 sara 2 cara 2 para 2 vara 2 mara 2 lara 2 hara 2 hāhā hīhī	DarU 2 tara 2 saraH 2 cara 2 paraH 2 vara 2 maraH 2 lara 2 hara 2 hAhA hi-ihI
   hūhū //	hUhU //
   om kāra brahmeśa dhara / dhara 2 dhiri 2 dhurū 2 tara 2 sara 2 cara 2 para	om kAra brahmeSa DaraH / Dara 2 Diri 2 DurU 2 tara 2 saraH 2 cara 2 para
   2 vara 2 hara harā rasmisahasrapratimaṇḍiśarīrā / jvela 2 tapa 2 bhāsa 2	2 vara 2 hara harAH rasmi-sahasra-pratimaNxi-SarIrAH / jvela 2 tapaH 2 BAsa 2
   bhrama 2 bhagavana somāditya yamavarūṇakuverabrahmendravāyuagnidhanada ṛṣi	Brama 2 BagavanaH soma-Aditya yama-varUNa-kuvera-brahma-indra-vAyu-agni-DanadaH Rzi
   devagaṇebhyarcitacaraṇa / surū 2 curū 2 murū 2 dhurū 2	deva-gaNeByarcita-caraNa / surU 2 curU 2 murU 2 DurU 2
   sanatkumārarudravāsavaviṣṇudhanadavāyuagni ṛṣi nāyakavināyaka /	sanatkumAra-rudra-vAsava-vizNu-Danada-vAyuagni Rzi nAyaka-vinAyaka /
   bahuvividhaveśadhara / dhara 2 dhiri 2 dhurū 2 tara 2 thara 2 dhara 2 para	bahu-viviDa-veSa-Dara / DaraH 2 Diri 2 DurU 2 tara 2 Tara 2 Dara 2 para
   2 lara 2 hara 2 yara 2 sara 2 vara 2 varadāyaka samantāvalokita lokeśvara	2 lara 2 hara 2 yaraH 2 saraH 2 vara 2 vara-dAyaka samantA-avalokita lokeSvara
   tribhuvaneśvarasarvvaguṇa samalaṅkṛta avalokiteśvara / muhu 2 murū 2 muya	triBuvana-ISvara-sarvva-guNa samalaFkRta avalokita-ISvara / muhu 2 murU 2 muya
   2 muṃca 2 rakṣa 2 māṃ sarvasatvānāṃca sarvabhayaibhyaḥ sarvopadravebhyaḥ	2 muMca 2 rakza 2 mAm sarva-satvAnAMca sarva-Baya-eByaH sarva-upadraveByaH
   sarvopasagebhyaḥ sarvagrahebhyaḥ sarvavyādhibhya / sarvaviṣebhyaḥ	sarva-upasageByaH sarva-graheByaH sarva-vyADiBya / sarva-vizeByaH
   sarvajvarebhyaḥ /	sarva-jvareByaH /
   evaṃ vandha vandhana tāḍana tarjjana rāja taskarāgnyūdaka	evam vanDa vanDana tAxana tarjjana rAja taskara-agnyUdaka
   viṣaśastraparimocaka // kaṇa 2	viza-Sastra-parimocakaH // kaNaH 2
   kiṇi 2 kuṇu 2 cara 2 ciri 2 curū 2	kiNi 2 kuNu 2 cara 2 ciri 2 curU 2
   indriyabalabodhyaṅgacaturāryasaṃprakāśaka // tama 2 dama 2 sama 2 masa 2	indriya-bala-boDi-aFga-catur-Arya-saMprakASaka // tamaH 2 damaH 2 sama 2 masaH 2
