   atha sāṃkhyatattvapradīpaḥ /	aTa sAMKya-tattva-pradIpaH /
   pratyakṣamapravartamānaṃ tattadatyantā 'saditi vyāptiḥ suprasiddhā	pratyakzam-apravartamAnam tat-tad-atyantA asat-iti vyAptiH su-prasidDA
   śaśaśṛṅgakūrmalomādau evaṃ pradhānasyāpi pratyakṣāsiddhatvāt	SaSaSRFga-kUrma-loma-AdO evam praDAnasya-api pratyakza-asidDa-tvAt
   tadatyantāsattvameva yuktaṃ gaganakusumādīnāmiveti cenna nahi yat	tat-atyantA-sattvam-eva yuktam gagana-kusuma-AdInAm-iva-iti ced-na na-hi yat-
   pratyakṣāgocaraṃ tadatyantāsaditi vyāptigraho yukto 'nyathā	pratyakza-agocaram tat-atyanta-asat-iti vyApti-grahaH yuktaH anyaTA
   gṛhānnirgatasya gṛhadhanaputrapaśuvanitādīn	gRhAt-nirgatasya gRha-Dana-putra-paSu-vanitA-AdIn
   sukhasādhanabhūtānapaśyatastannāśaniścayajaduḥkhavipluṣṭāntaḥkaraṇasya	suKa-sADana-BUtAn-apaSyataH-tad-nASa-niH-caya-ja-duHKa-vipluzwa-antaHkaraNasya
   rudato maraṇaṃ syāt na tvevamasti / kiñca kiṃ sarvapratyakṣaviṣayatvaṃ	rudataH maraNam syAt na tu-evam-asti / kiQca kim sarva-pratyakza-vizaya-tvam
   sattve hetuḥ kiñcitpratyakṣaviṣayatvaṃ vā ? nādyaḥ nahi	sattve hetuH kiQcid-pratyakza-vizaya-tvam vA ? na-AdyaH na-hi
   gṛhāntaradeśāntarakālāntaragataṃ vastu kenāpyayoginā pratyakṣeṇa	gRha-antara-deSa-antara-kAla-antara-gatam vastu kena-api-ayoginA pratyakzeNa
   viṣayīkartuṃ śakyamanyathā sarva eva sarvajñaḥ syāt	vizayIkartum Sakyam-anyaTA sarve eva sarvajQaH syAt-
   parabuddherapratyakṣatayā sarvaiḥ sarvaṃ pratyakṣeṇa gṛhyate	para-budDeH-apratyakza-tayA sarvEH sarvam pratyakzeNa gRhyate
   navetyasarvajñena niścetumaśakyatayā saṃśayānivṛtteḥ / nāpi caramaḥ	naveti-asarva-jQena niScetum-aSakyatayA saMSaya-anivRtteH / na-api caramaH
   vyabhicārāt nahi nagarasthena svenānupalabdho gavaya	vyaBicArAt na-hi nagara-sTena svena-anupalabDaH gavaya
   etāvataivāraṇyakopalabdhasya tasyāpalāpasambhavaḥ / uktañca līlāvatīkāreṇa	etAvatA-eva-araNyaka-upalabDasya tasya-ApalApa-samBavaH / uktaQca lIlAvatIkAreNa
   "sarvādṛṣṭeśca sandehāt svādṛṣṭervyabhicārata" iti / tasmāt	"sarva-adRzweH-ca sandehAt svAdRzweH-vyaBicArata" iti / tasmAt-
   pratyakṣapravṛttipratikūlābhāvaviśiṣṭaṃ pratyakṣaṃ yatra na pravartate	pratyakza-pravRtti-pratikUla-aBAva-viSizwam pratyakzam yatra na pravartate
   tadatyantāsaditi niścetuṃ śakyam na tu pratyakṣāpravṛttimātrāt anyathā	tat-atyanta-asat-iti niScetum Sakyam na tu pratyakza-apravRtti-mAtrAt anyaTA
   puruṣapradhānamahatsvargāpūrvadevatādīnāmatīndriyāṇāmatyantābhāvaḥ syāt /	puruza-praDAna-mahat-svarga-apUrva-devatA-AdInAm-atIndriyANAm-atyanta-aBAvaH syAt /
   tena viyati gacchataḥ patatriṇo grahaṇe 'tidūratvameva pratikūlam tathā	tena viyati gacCataH patatriNaH grahaNe ati-dUra-tvam-eva pratikUlam taTA
   netragatakajjalagrahaṇe 'tisāmīpyam evaṃ rūpaśabdādigrahaṇe	netra-gata-kajjala-grahaNe ati-sAmIpyam evam rUpa-Sabda-Adi-grahaNe
   āndhyabadhiratvādayaḥ tathā viṣayagrahaṇe manasaḥ kāmādyabhivyāptiḥ yathā	AnDya-baDira-tva-AdayaH taTA vizaya-grahaNe manasaH kAma-Adi-aBivyAptiH yaTA
   kāmādyabhivyāptamanāḥ sphītālokamadhyavartinamindriyasannikṛṣṭamapyarthaṃ	kAma-Adi-aBivyApta-manAH sPIta-Aloka-maDya-vartinam-indriya-sannikRzwam-api-arTam
   na paśyati / paramāṇvādiviṣayatāyāṃ saukṣmyameva pratikūlam yataḥ	na paSyati / paramANu-Adi-vizaya-tAyAm sOkzmyam-eva pratikUlam yatas-
   praṇihitamanā api taṃ na paśyati / bhittyādiparavastugrahaṇe	praNihita-manAH api tam na paSyati / Bitti-Adi-para-vastu-grahaNe
   tadvyavadhānameva pratikūlaṃ sampratipannapadārthagrahaṇe	tad-vyavaDAnam-eva pratikUlam sampratipanna-padArTa-grahaNe
   hastādivyavadhānavat / kvacidabhibhavaḥ yathā ahani	hasta-Adi-vyavaDAna-vat / kvacid-aBiBavaH yaTA ahani
   saurībhirbhābhirabhibhūtaṃ nakṣatrasūryādigrahe cakṣuḥ samarthaṃ na	sOrIBiH-BABiH-aBiBUtam nakzatra-sUrya-Adi-grahe cakzuH samarTam na
   bhavati / kvacit samānābhihāraḥ pratikūlaṃ yathā jalāśaye	Bavati / kvacid samAna-aBihAraH pratikUlam yaTA jalASaye
   'mbudavimuktajalabindugrahaṇe netrāsāmarthyam / kvacidanudbhavaḥ yathā	ambuda-vimukta-jala-bindu-grahaNe netrAsAmarTyam / kvacid-anudBavaH yaTA
   kṣīradadhyādyavasthāyāṃ dadhighṛtādivivecanāsāmarthyam / evaṃ sati	kzIra-daDi-Adi-avasTAyAm daDi-GRta-Adi-vivecana-asAmarTyam / evam sati
   dṛḍhatarapramāṇāntaraprasiddhe vastuni pratyakṣāpravṛttāvetadanyatamaṃ	dRXatara-pramANa-antara-prasidDe vastuni pratyakza-apravRttO=-etat-anyatamam
   pratibandhakaṃ kalpyate na tu tadabhāvādevāpravṛttiḥ / uktañca	pratibanDakam kalpyate na tu tad-aBAvAt-eva-apravRttiH / uktaQca
   sāṅkhyamūlakāreṇa "saukṣmyāt tadanupalabdhirnābhāvāt" / nanu	sAFKya-mUla-kAreNa "sOkzmyAt tad-anupalabDiH-na-aBAvAt" / nanu
   kvacitpratyakṣaprasiddhasya kvacitsandehādanumānaviṣayatā na tvasya	kvacid-pratyakza-prasidDasya kvacid-sandehAt-anumAna-vizaya-tA na tu-asya
   tadastītyabhāva eva yukta iti cenna kāryaṃ hi kāraṇānumāpakaṃ bhavatīti	tat-asti-iti-aBAvaH eva yuktaH iti ced-na kAryam hi kAraNa-anumApakam Bavati-iti
   sarvavādyabhimatam tathā ca mahadādikāryānyathānupapattyaiva	sarva-vAdI-aBimatam taTA ca mahat-Adi-kAryAni-aTa-anupapattyA-eva
   pradhānasiddhiriti na tadabhāvo yuktaḥ / nanu kāryānyathānupapattyā	praDAna-sidDiH-iti na tad-aBAvaH yuktaH / nanu kAryAnyaTA-anupapattyA
   kāraṇasiddhau tantrāntarābhimatakāraṇasiddhiḥ setsyati na tu	kAraNa-sidDO tantra-antara-aBimata-kAraNa-sidDiH setsyati na tu
   tvadabhimatapradhānasiddhiriti cenna mataparyālocanena yanmataṃ	tvad-aBimata-praDAna-sidDiH-iti ced-na mata-paryAlocanena yat-matam
   kapilasūtranibaddhaṃ pradhānasādhanānuguṇaṃ tadeva yuktisahamanyat tu	kapila-sUtra-nibadDam praDAna-sADana-anuguNam tat-eva yukti-saham-anyat tu
   bāhyamatavat matābhāsatvādbādhyameva / tadyathā 'asataḥ sajjāyata'; iti	bAhya-matavat mata-ABAsa-tvAt-bADyam-eva / tat-yaTA aasataH sat-jAyata-a; iti
   bauddhamate pradhānasiddhiḥ 'sataḥ sajjāyata'; iti	bOdDa-mate praDAna-sidDiH asataH sat-jAyata-a; iti
   sāṅkhyamataviruddhatvānna paṇḍitamukhamaṇḍanāyālam sadasatoḥ	sAFKya-mata-virudDa-tvAt-na paNxita-muKa-maNxanAya-alam sat-asatoH
   kāryakāraṇabhāvāsambhavāt asadalīkaṃ kāraṇaṃ sattvādirūpaśabdādyātmakaṃ	kArya-kAraNa-BAva-asamBavAt asat-alIkam kAraNam sattva-Adi-rUpa-Sabda-Adi-Atmakam
   kathaṃ syāt sadasatostādātmyadarśanāt kāryaṃ hi kāraṇasamavetaṃ	kaTam syAt sat-asatoH-tAdAtmya-darSanAt kAryam hi kAraNa-samavetam
   tantupaṭādisthaleṣu prasiddham tathā ca ghaṭo 'san paṭo	tantu-pawa-Adi-sTalezu prasidDam taTA ca GawaH asan pawaH-
   'sannityasatsamavetaṃ sarvo vyavahartā vyavahareta na tu sadidamiti	asannitya-sat-samavetam sarvaH vyavahartA vyavahareta na tu sat-idam-iti
   sattāvaiśiṣṭyena pratītiḥ syāt /	sattA-vESizwyena pratItiH syAt /
        atha sadvivarto 'yaṃ prapañca iti yadvedāntimatam / tadapyasādhu	aTa sat-vivartaH ayam prapaQcaH iti yat-veda-antimatam / tat-api-asADu
   anenāpi sataḥ sajjāyata iti matasiddhirna syāt / advayasya sadvayatayā	anena-api sataH sat-jAyate iti mata-sidDiH-na syAt / advayasya sa-dvaya-tayA
   bhāne rajjoḥ srakkhaṇḍasarppādyātmanā bhānavat bhrāntireva syāt	BAne rajjoH sraj-KaNxa-sarppa-Adya-AtmanA BAna-vat BrAntiH-eva syAt-
   bādhitaviṣayatayā rajjusarpapratyayavat prapañcajñānasyāpramāṇatayā	bADita-vizaya-tayA rajju-sarpa-pratyaya-vat prapaQca-jQAnasya-apramANa-tayA
   pramārūpaṃ jñānamevāstamiyāt / na	pramA-rUpam jQAnam-eva-astam-iyAt / na
   ceṣṭāpattirguruśiṣyottarapraśnayorapramāṇabuddhyā vyavahāramātrocchedaḥ	cezwApattiH-guru-Sizya-uttara-praSnayoH-apramANa-budDyA vyavahAra-mAtra-ucCedaH
   syāt laukikavaidikavyavahārānuṣṭhāne ca kasyacit pravṛttyanupapattyā	syAt lOkika-vEdika-vyavahAra-anuzWAne ca kasyacid pravRtti-anupapattyA
   bhogāpavargau na syātāmiti tacchāstrāprāmāṇyaṃ syāt / apasiddhāntaśca na	Boga-apavargO na syAtAm-iti tad-SAstra-aprAmANyam syAt / apasidDAntaH-ca na
   hi vedāntimate brahma vivarti bhavati / uktañca -	hi vedAntimate brahma vivarti Bavati / uktaQca -
        bālān prati vivarto 'yaṃ brahmaṇaḥ sakalaṃ jagat /	bAlAn prati vivartaH ayam brahmaNaH sakalam jagat /
        avivartitamānandamāsthitāḥ kṛtinaḥ sadā // iti /	avivartitam-Anandam-AsTitAH kRtinaH sadA // iti /
        sato 'sajjāyata iti sataḥ paramāṇorasaddvyaṇukākhyaṃ kāryaṃ jāyata	sataH asat-jAyate iti sataH paramANoH-asat-dvi-aNuka-AKyam kAryam jAyata
   iti kaṇabhakṣākṣacaraṇamatamapi na yuktisaham tathā hi paramāṇurhi	iti kaNa-Bakza-akza-caraNa-matam-api na yukti-saham taTA hi paramANuH-hi
   dvyaṇukasamavāyikāraṇam dvyaṇukaṃ	dvi-aNuka-samavAyi-kAraNam dvi-aNukam
   cāsadityasattvāviśeṣācchaśaśṛṅgādisamavāyikāraṇatāpi pa ra māṇau syāt sa	ca-asadityasattva-aviSezAt-SaSaSRFga-Adi-samavAyi-kAraNa-tA-api pa ra mANO syAt sa
   da sa toḥ sa ma vāyāsa mbha vācca asa tā tādātmye sa topya sa ttva ṃ syāt	da sa toH sa me vAyAsa mBa vAt-ca asa tA tAdAtmye sa topya sa ttva m syAt-
   na nva sa ttva ṃ nāma prāga bhāva pra tiyogitva ṃ na tu vāyurūpādiva t	na nva sa ttva m nAma prAga BAva pra tiyogitva M na tu vAyu-rUpAt-iva t
   trikālāsa ttva miti cenna kimida ṃ prāga bhāva pra tiyogitva ma sa ttva m	tri-kAlAsa ttva miti ced-na kim-ida m prAga BAva pra tiyogi-tva me sa ttva m
   kiṃ prāga bhāva pra tiyogitvāda sa ttva ma sa ttvādvā prāga bhāva pra	kim prAga BAva pra tiyogi-tvAda sa ttva me sa ttvAt-vA prAga BAva pra
   tiyogitva m ? nādya ḥ sa rveṣāṃ kārya pa dārthānāma sa ttvāviśeṣeṇākāśa	tiyogitva m ? na-adya H sa rvezAm kArya pa dArTAnAma sa ttvA-aviSezeNa-AkASa
   puṣpādiṣvivāsa ttvenaiva vya va hāra ḥ syāt teṣāma pi prāga bhāva pra	puzpa-Adizu-ivAsa ttvena-eva vyaH va hAra H syAt tezAma pi prAga BAva pra
   tiyogitvāt ta thā ca kārya pa dārtha ga ta guṇa sāmānyādīnāmuccheda ḥ syāt	tiyogi-tvAt te TA ca kArya pa dArTa ga te guNa sAmAnya-AdInAm-ucCeda H syAt-
   teṣāṃ bhāva dha rma tvenāsa ttvenāva sthānāt / na ca kūrma lomādera syāsa	tezAm BAva Da rma tvena-Asa ttvena-ava sTAnAt / na ca kUrma lomAdera syAsa
   to viśeṣa ḥ sāmānyādya bhāvena bheda ka dha rmābhāvāt / nāpi ca ra ma ḥ	taH viSeza H sAmAnya-adya BAvena Beda kaH Da rma-aBAvAt / na-api ca ra me H
   asa ttvātprāga bhāva pra tiyogitve naraśṛṅgādīnāma pi prāga bhāva pra	asa ttvAt-prAga BAva pra tiyogi-tve naraSRFga-AdI-nAma pi prAga BAva pra
   tiyogitva ṃ syāt prāga bhāva sya ca sva pra tiyogyutpāda ka tva niya mena	tiyogitva m syAt prAga BAva sya ca sva pra tiyogi-utpAda kaH tva niya mena
   sarveṣāmasatāṃ sattvaṃ syāt sadasadvibhāgo jagati dattajalāñjaliḥ syāditi	sarvezAm-asatAm sattvam syAt sat-asat-viBAgaH jagati datta-jala-aQjaliH syAt-iti
   na tārkikavaiśeṣikamataṃ vicārasaham / tasmāt sataḥ sajjāyata iti	na tArkika-vESezika-matam vicAra-saham / tasmAt sataH sat-jAyate iti
   sāṅkhyamatameva yuktisaham / sataḥ kāraṇāt svotpatteḥ prāgapi sadeva	sAFKya-matam-eva yukti-saham / sataH kAraNAt sva-utpatteH prAk-api sat-eva
   kāryaṃ kāraṇavyāpārādabhivyaktimāpnoti / na ca siddhasādhanatā	kAryam kAraNa-vyApArAt-aBivyaktim-Apnoti / na ca sidDa-sADana-tA
   kāraṇavaiyarthyaṃ ceti vācyam kāryasattve 'pi tadabhivyaktau kāraṇaṃ	kAraNa-vEyarTyam ca-iti vAcyam kArya-sattve api tad-aBivyaktO kAraNam
   prayojanavaditi na kiñcidavadyam / asatkāryapakṣe tu kāraṇavaiyarthyaṃ	prayojana-vat-iti na kiQcid-avadyam / asat-kArya-pakze tu kAraNa-vEyarTyam
   sphuṭameva na hyasataḥ kāraṇasambandho nirūpayituṃ śakyate sambaddhameva	sPuwam-eva na hi-asataH kAraNa-sambanDaH nirUpayitum Sakyate sambadDam-eva
   asambaddhena janyate asambaddhasya janyatve sarvasmāt sarvaṃ syāt	asambadDena janyate asambadDasya janya-tve sarvasmAt sarvam syAt-
   kāraṇaniyamo 'stamiyāt / asaccetkāryaṃ na kāraṇavyāpārāt sadbhavitumarhati	kAraNa-niyamaH astam-iyAt / asat-ced-kAryam na kAraNa-vyApArAt sat-Bavitum-arhati
   uktañca tattvakaumudyām - nahi nīlaṃ śilpasahasreṇāpi pītaṃ kartuṃ śakyam	uktaQca tattva-kOmudyAm  na-hi nIlam Silpa-sahasreNa-api pItam kartum Sakyam
   / na ca kāraṇavyāpārāt pūrvaṃ ghaṭo 'san saṃśca vyāpārānantaramiti	/ na ca kAraNa-vyApArAt pUrvam GawaH asan san=-ca vyApAra-anantaram-iti
   ghaṭasya sattvāsattve dharmāviti vācyam dharmasya bhāvadharmatvena tenaiva	Gawasya sattva-asattve DarmO=-iti vAcyam Darmasya BAva-Darma-tvena tena-eva
   dharmiṇaḥ sattvaṃ svasthityanyathānupapattyā sādhitamiti sadeva kāryaṃ	DarmiNaH sattvam svasTiti-anyaTA-anupapattyA sADitam-iti sat-eva kAryam
   kāraṇavyāpārādūrdhvamiva prāgapi / kāraṇavyāpārastu	kAraNa-vyApArAt-UrDvam-iva prAk-api / kAraNa-vyApAraH-tu
   tadabhivyaktāvananyathāsiddhaḥ anyatrāpi kāraṇavyāpārādabhivyaktireva	tad-aBivyaktO=-ananyaTA-sidDaH anyatra-api kAraNa-vyApArAt-aBivyaktiH-eva
   dṛśyate yathā 'vaghātena dhānyeṣu taṇḍulānām avapīḍanena tileṣu tailasya	dRSyate yaTA avaGAtena DAnyezu taNxulAnAm avapIxanena tilezu tElasya
   dohanena saurabheyīṇāṃ payasa iti / asadutpattau tu na dṛṣṭānto 'sti	dohanena sOraBeyINAm payasaH iti / asat-utpattO tu na dRzwAntaH asti
   tasmāt sadeva kāryaṃ kāraṇavyāpāreṇābhivyajyate / asatā	tasmAt sat-eva kAryam kAraNa-vyApAreNa-aBivyajyate / asatA
   kāraṇasambandhāsambhavāt na tasya tadutpādakatvam uktañca sāṅkhyācāryaiḥ	kAraNa-sambanDa-asamBavAt na tasya tad-utpAdaka-tvam uktaQca sAFKya-AcAryEH
        asattvānnāsti sambandhaḥ kāraṇaiḥ sattvasaṅgibhiḥ //	asattvAt-na-asti sambanDaH kAraNEH sattva-saFgiBiH //
        asambaddhasya cotpattimicchato na vyavasthitiḥ //	asambadDasya ca-utpattim-icCataH na vyavasTitiH //
        kiñca sambaddhamapi tadeva karoti yatra yat kāraṇaṃ śaktam śaktiśca	kiQca sambadDam-api tat-eva karoti yatra yat kAraNam Saktam SaktiH-ca
   kāryaikādhigamyā yathā cakṣuṣaiva rūpajñānaṃ bhavati	kAryA-eka-aDigamyAH yaTA cakzuzA-eva rUpa-jQAnam Bavati
   nendriyāntareṇetīdameva tatra śaktamityadhigamyate / tathā ca sā śaktiḥ	na-indriya-antareNa-iti-idam-eva tatra Saktam-iti-aDigamyate / taTA ca sA SaktiH
   śaktakāraṇāśrayā śakyakāryāśrayā sarvatra vā syāt ? antye sarvasmāt sarvaṃ	Sakta-kAraNa-ASrayA Sakya-kArya-ASrayA sarvatra vA syAt ? antye sarvasmAt sarvam
