   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   sahasraśatabhaumāśca vaidūryamāṇamaṇḍitāḥ // RKS_1.31 //	sahasra Sata BOmAH ca vEdUryamANa maNxitAH // RKH _1.31 //
   kūṭaiḥ kapāṭakair naddhasiddhadvārāṇyanekaśaḥ /	kUwEH kapAwakEH nadDa sidDa dvArANi anekaSas /
   nityotsavair nṛtyagītaiḥ kāmyair divyair manoharaiḥ // RKS_1.32 //	nitya utsavEH nRtya gItEH kAmyEH divyEH manoharEH // RKH _1.32 //
   asaṃkhyātā gṛhā ramyāḥ sūryakoṭisamaprabhāḥ /	asaMKyAtAH gRhAH ramyAH sUrya kowi sama praBAH /
   kasyaitānīha harmyāṇi pūrvabhāge maheśvara // RKS_1.33 //	kasya etAni iha harmyANi pUrva BAge maheSvaraH // RKH _1.33 //
   dakṣiṇe paścime caiva nānābhogāḥ sahasraśaḥ /	dakziNe paScime ca eva nAnA BogAH sahasraSas /
   surendrabhavane bhogāḥ kalāṃ nārhanti ṣoḍaśīm // RKS_1.34 //	sura indra Bavane BogAH kalAm na arhanti zoxaSIm // RKH _1.34 //
   kena karmmavipākena śūbhenāpyaśubhena vā /	kena karmma vipAkena SUBena api aSuBena vA /
   kūṣmāṇḍavāsinaścakre ghore majjanti tāmase // RKS_1.35 //	kUzmANxa vAsinaH cakre Gore majjanti tAmase // RKH _1.35 //
   pūyaśoṇitakūpeṣu kṛmikīṭapataṅginaḥ /	pUya SoNita kUpezu kRmi kIwa pataFginaH /
   tiryagyonigatāḥ pāpaiḥ pīḍyamānās tu mānuṣāḥ // RKS_1.36 //	tiryagyoni gatAH pApEH pIxyamAnAH tu mAnuzAH // RKH _1.36 //
   dāridryaduḥkhitā dīnāḥ pacyamānā bubhukṣitāḥ /	dAridrya duHKitAH dInAH pacyamAnAH buBukzitAH /
   kena karmmavipākena śūbhāśubhagati prabho // RKS_1.37 //	kena karmma vipAkena SUBa aSuBa gati praBo // RKH _1.37 //
   etatsarvaṃ yathānyāyaṃ kathayasva prasādataḥ /	etat sarvam yaTAnyAyam kaTayasva prasAdataH /
   īśvara uvāca:	ISvaraH uvAca:
   ye mṛtā narmadātīre saṅgame tigmadārśite // RKS_1.38 //	ye mRtAH narmadA tIre saFgame tigma dArSite // RKH _1.38 //
   teṣāṃ gṛhāṇi ramyāṇi pūrvabhāge ca ṣaṇmukha /	tezAm gRhANi ramyANi pUrva BAge ca zaNmuKaH /
   oṃkāradakṣiṇe bhāge pūrvato 'marakaṇṭake // RKS_1.39 //	oMkAra dakziNe BAge pUrvatas amarakaNwake // RKH _1.39 //
   narmadākoṭitīrthe ca ye mṛtāḥ skandamānuṣāḥ /	narmadA kowitIrTe ca ye mRtAH skanda mAnuzAH /
   harmye manorame ramye te vasanti narottamāḥ // RKS_1.40 //	harmye manorame ramye te vasanti nara uttamAH // RKH _1.40 //
   bhṛgāvagnau jale vāpi revākapilasaṅgame /	BRgO= agnO jale vA api revA kapila saFgame /
   dānaṃ dattaṃ tapastaptaṃ te vasanti gṛhair imaiḥ // RKS_1.41 //	dAnam dattam tapaH taptam te vasanti gRhEH imEH // RKH _1.41 //
   godāvaryyāṃ payasvinyāṃ tapatyāṃ caiva saṅgame /	godAvaryyAm payasvinyAm tapatyAm ca eva saFgame /
   tryambake dhautapāpe ca himādrau vindhyaparvate // RKS_1.42 //	tryambake DOtapApe ca himAdrO vinDyaparvate // RKH _1.42 //
   maheśvaramaye sahye gokarṇe ca mahābale /	maheSvara maye sahye gokarNe ca mahA bale /
   hariścandrapure candre śrīśaile tripurāntake // RKS_1.43 //	hariScandra pure candre SrISEle tripurAntake // RKH _1.43 //
   kṛṣṇāyāṃ sasamudrāyām ekādaśyāṃ mahānade /	kRzNAyAm sa samudrAyAm ekAdaSyAm mahAnade /
   kārtike yonikuṇḍe ca ye mriyante ca putraka // RKS_1.44 //	kArtike yonikuNxe ca ye mriyante ca putrakaH // RKH _1.44 //
   yāmye harmye hemamaye teṣāṃ śreṣṭhās svayambhuvaḥ /	yAmye harmye hema maye tezAm SrezWAH svayamBuvaH /
   nānā bhogāṃśca bhuñjanti yathā śakras triviṣṭape // RKS_1.45 //	nAnA BogAn= ca BuQjanti yaTA SakraH trivizwape // RKH _1.45 //
   sarasvatyāṃ tyajet prāṇān prabhāse śaśibhūṣaṇe /	sarasvatyAm tyajet prANAn praBAse SaSiBUzaNe /
   pāriyātre mahākāle prayāge ca mahāpathe // RKS_1.46 //	pAriyAtre mahAkAle prayAge ca mahApaTe // RKH _1.46 //
   teṣāṃ gṛhāṇi ramyāṇi nānābhogāśca puṣkalāḥ /	tezAm gRhANi ramyANi nAnA BogAH ca puzkalAH /
   maṇimāṇikyadīptābhāḥ saumye koṭitrayodaśa // RKS_1.47 //	maNi mANikya dIpta ABAH sOmye kowi trayodaSa // RKH _1.47 //
   evaṃ tathaikāviṃśatyā bhūrve caivopaveśitāḥ /	evam taTA ekAviMSatyA BUrve ca eva upaveSitAH /
   dakṣiṇe navakoṭyastu bhṛtā harmyā hiraṇmayāḥ // RKS_1.48 //	dakziNe nava kowyaH tu BRtAH harmyAH hiraNmayAH // RKH _1.48 //
   gṛhā mauktikasaṃkāśāḥ koṭyaḥ ṣoḍaśa vāruṇe /	gRhAH mOktika saMkASAH kowyaH zoxaSa vAruNe /
   tīrthayātrāviśeṣeṇa dānadharmaviśeṣataḥ // RKS_1.49 //	tIrTa yAtrA viSezeNa dAna Darma viSezataH // RKH _1.49 //
   bhuñjanti vividhān bhogān mayā tuṣṭena putraka /	BuQjanti viviDAn BogAn mayA tuzwena putrakaH /
   meroruttarato bhāge dakṣiṇe vāruṇe tathā // RKS_1.50 //	meroH uttaratas BAge dakziNe vAruNe taTA // RKH _1.50 //
   krīḍanti ca manohārimandire devanirmite /	krIxanti ca manohAri mandire deva nirmite /
   devānāṃ vārddhakistatra kartā viśvasya karmaṇaḥ // RKS_1.51 //	devAnAm vArdDakiH tatra kartA viSvasya karmaNaH // RKH _1.51 //
   sarvaratnamayaṃ harmyaṃ bhuvanopari paśyasi /	sarva ratna mayam harmyam Buvana upari paSyasi /
   pūrvabhāge mahāsena nārmadaḥ phalamaśnute // RKS_1.52 //	pUrva BAge mahAsena nArmadaH Palam aSnute // RKH _1.52 //
   etatte kathitaṃ skanda paripṛṣṭaṃ tvayā ca yat /	etat te kaTitam skanda paripRzwam tvayA ca yat /
   devānāṃ ca hitārthāya tubhyaṃ sarvaṃ mayānagha // RKS_1.53 //	devAnAm ca hita arTAya tuByam sarvam mayA anaGaH // RKH _1.53 //
   iti śrīskandapurāṇe revākhaṇḍe prathamo 'dhyāyaḥ ||	iti SrI skandapurANe revAKaNxe praTamaH aDyAyaH ||
   RKS adhyāya 2	RKH aDyAya 2
   skanda uvāca:	skandaH uvAca:
   śrotukāmā ime sarve brahmaviṣṇusurottamāḥ /	Srotu kAmAH ime sarve brahma vizNu sura uttamAH /
   prabhāvamīdṛśaṃ yasya tīrthasyā 'sya mahat phalam // RKS_2.1 //	praBAvam IdRSam yasya tIrTasyA asya mahat Palam // RKH _2.1 //
   narmadāyās tathotpattiṃ saṅgamaṃ liṅgapūjanam /	narmadAyAH taTA utpattim saFgamam liFga pUjanam /
   parvakāle ca devānāṃ parvate 'marakaṇṭake // RKS_2.2 //	parva kAle ca devAnAm parvate amarakaNwake // RKH _2.2 //
   ākhyānasahitaṃ deva kathayasva yathārthataḥ /	AKyAna sahitam deva kaTayasva yaTArTataH /
   tīrthayātrāphalaṃ samyagvaṃśo manvantarāṇi ca // RKS_2.3 //	tIrTa yAtrA Palam samyak vaMSaH manvantarANi ca // RKH _2.3 //
   bhaktyā yuktaṃ ca yat kiṃcit kathayasva prasādataḥ /	BaktyA yuktam ca yat kiMcid kaTayasva prasAdataH /
   sūta uvāca:	sUtaH uvAca:
   śrutvā 'khyānamidaṃ puṇya purāṇaṃ skandakīrtitam // RKS_2.4 //	SrutvA aKyAnam idam puNya purANam skanda kIrtitam // RKH _2.4 //
   bhaviṣyabhūtatattvajñaḥ saptakalpānuvartakaḥ /	Bavizya BUta tattva jQaH sapta kalpa anuvartakaH /
   ājagāmā 'thamārkaṇḍaṛṣibhiḥ sahitastadā // RKS_2.5 //	AjagAmAH aTa mArkaNxa RziBiH sahitaH tadA // RKH _2.5 //
   sarvakāmasamṛddhātmā śreyān tvenaiva pūjitaḥ /	sarva kAma samRdDa AtmA SreyAn tvena eva pUjitaH /
   sapādalakṣamadhikam ṛṣīṇāṃ cogratejasām // RKS_2.6 //	sa pAda lakzam aDikam RzINAm ca ugra tejasAm // RKH _2.6 //
   brahmarṣayo devarṣayas tathā rājarṣayaḥ pare /	brahmarzayaH devarzayaH taTA rAjarzayaH pare /
   etaiḥ parivṛtaḥ śrīmān madhye 'raṇyāśramaṃ prati // RKS_2.7 //	etEH parivRtaH SrImAn maDye araNyASramam prati // RKH _2.7 //
   tīrthayātrāphalaṃ prāpya narmadātaṭamāśritaḥ /	tIrTa yAtrA Palam prApya narmadA tawam ASritaH /
   śrutvā mahāntaṃ mārkaṇḍaprabhāvaṃ lomaharṣaṇaḥ // RKS_2.8 //	SrutvA mahAntam mArkaNxa praBAvam loma harzaNaH // RKH _2.8 //
   ājagāma tato draṣṭumṛṣiṃ kalmaṣanāśanam /	AjagAma tatas drazwum Rzim kalmaza nASanam /
   narmadāpravāhe puṇye siddhagandharvasevite // RKS_2.9 //	narmadA pravAhe puNye sidDa ganDarva sevite // RKH _2.9 //
   yakṣavidyādharākīrṇe kinnarairupaśobhite /	yakza vidyADara AkIrNe kinnarEH upaSoBite /
   nānādevagaṇākīrṇe nānāgaṇaniṣevite // RKS_2.10 //	nAnA deva gaNa AkIrNe nAnA gaNa nizevite // RKH _2.10 //
   revāvataraṇaṃ śrutvā prabhāvaṃ puṇyasaṅgatam /	revA avataraNam SrutvA praBAvam puNya saFgatam /
   nanṛtur devatās tatra siddhavidyādharā narāḥ // RKS_2.11 //	nanRtuH devatAH tatra sidDa vidyADarAH narAH // RKH _2.11 //
   kahlāraiḥ śatapatraiśca punnāgair nāgacampakaiḥ /	kahlArEH SatapatrEH ca punnAgEH nAga campakEH /
   āmrajambūkapitthaiśca dāḍimaiḥ panasaistathā // RKS_2.12 //	Amra jambUka pitTEH ca dAximEH panasEH taTA // RKH _2.12 //
   nimbajambīranāraṅgaiḥ kadalīṣaṇḍamaṇḍitaiḥ /	nimba jambIra nAraFgEH kadalI zaNxa maNxitEH /
   kumudair nāgavallyād yaiḥ śāleyaiśca tamālakaiḥ // RKS_2.13 //	kumudEH nAgavallyAt yEH SAleyEH ca tamAlakEH // RKH _2.13 //
   bījapūrakakharjūrair drākṣāmadhurapāṭalaiḥ /	bIjapUraka KarjUrEH drAkzA maDura pAwalEH /
   bilvacandanapīlvādyaiḥ kadambakuṭajaistathā // RKS_2.14 //	bilva candana pIlva AdyEH kadamba kuwajEH taTA // RKH _2.14 //
   sarvakāmaphalairvṛkṣaiḥ phalitaṃ puṣpitaṃ bhṛśam /	sarva kAma PalEH vRkzEH Palitam puzpitam BRSam /
   haṃsakāraṇḍavākīrṇaṃ cakravākopaśobhitam // RKS_2.15 //	haMsa kAraNxava AkIrNam cakravAka upaSoBitam // RKH _2.15 //
   kokilābarhiṇaśukair nānāpakṣivināditam /	kokilA barhiNa SukEH nAnA pakzi vinAditam /
   jātismarā pakṣiṇaśca vyājahrur mānuṣīṅgiram // RKS_2.16 //	jAtismarA pakziNaH ca vyAjahruH mAnuzI iFgiram // RKH _2.16 //
   gandharvakinnarayutair yakṣavidyādharoragaiḥ /	ganDarva kinnara yutEH yakza vidyADara uragEH /
   krīḍate mithunaṃ divyaṃ śanairgirivarottame // RKS_2.17 //	krIxate miTunam divyam SanEs giri vara uttame // RKH _2.17 //
   divyagandharvanṛtyaiśca veṇuvīṇāsahasraśaḥ /	divya ganDarva nRtyEH ca veNu vINA sahasraSas /
   divyodbhavaiḥ prekṣaṇīyaiḥ śobhitairgirigahvare // RKS_2.18 //	divya udBavEH prekzaNIyEH SoBitEH giri gahvare // RKH _2.18 //
   gītadhvanininādena divaṃ bhūmiṃ vyanādayan /	gIta Dvani ninAdena divam BUmim vyanAdayan /
   brahmarṣayo devarṣayas tathā rājarṣayaḥ pare // RKS_2.19 //	brahmarzayaH devarzayaH taTA rAjarzayaH pare // RKH _2.19 //
   vedadhvanitayajñānām agnihotraprakāśataḥ /	veda Dvanita yajQAnAm agnihotra prakASataH /
   ṛgyajuḥsāmātharvāṇi cāturvarṇyā dvijottamāḥ // RKS_2.20 //	Rc yajuH sAma aTarvANi cAturvarNyAH dvijottamAH // RKH _2.20 //
   pulastyaśca vasiṣṭhaśca pulahaśca kratustathā /	pulastyaH ca vasizWaH ca pulahaH ca kratuH taTA /
   bhṛguratrirmarīciśca bhāradvājo 'tha kāśyapaḥ // RKS_2.21 //	BRguH atriH marIciH ca BAradvAjaH aTa kASyapaH // RKH _2.21 //
   manuryamo 'ṅgirāścaiva śātātapaparāśarau /	manuH yamaH aFgirAH ca eva SAtAtapa parASarO /
   āpastambo 'tha śambaśca kāvyaḥ kātyāyano muniḥ // RKS_2.22 //	ApastambaH aTa SambaH ca kAvyaH kAtyAyanaH muniH // RKH _2.22 //
   gautamaḥ śaṅkhalikhitau dakṣaḥ kātyāyanis tathā /	gOtamaH SaFKa liKitO dakzaH kAtyAyaniH taTA /
   jāmadagnyo yājñavalkya ṛṣyaśṛṅgo vibhāṇḍakaḥ // RKS_2.23 //	jAmadagnyaH yAjQavalkya RzyaSRFgaH viBANxakaH // RKH _2.23 //
   gargaśaunakadālbhyā vyāsa uddālakaḥ śukaḥ /	garga SOna kadA alByAH vyAsaH uddAlakaH SukaH /
   nāradaḥ parvataścaiva durvāsāścogratāpasaḥ // RKS_2.24 //	nAradaH parvataH ca eva durvAsAH ca ugra tApasaH // RKH _2.24 //
   śākalyo gālavaścaiva jābālirmudgalastathā /	SAkalyaH gAlavaH ca eva jAbAliH mudgalaH taTA /
   viśvāmitraḥ kauśikaśca ṛṣayo devasammatāḥ // RKS_2.25 //	viSvAmitraH kOSikaH ca RzayaH deva sammatAH // RKH _2.25 //
   tathā dharmaśatānandavaiśampāyanavaiṣṇavāḥ /	taTA Darma Sata Ananda vESampAyana vEzNavAH /
   śākalāyanavārddhakyau juhutiś cāvasus tathā // RKS_2.26 //	SAkalAyana vArdDakyO juhutiH ca avasuH taTA // RKH _2.26 //
   bālakhilyā mahātmāno bhūmimaṇḍalavāsinaḥ /	bAlaKilyAH mahAtmAnaH BUmi maNxala vAsinaH /
   brahmadaṇḍaṃ samāruhā devalokaṃ vrajanti ye // RKS_2.27 //	brahmadaNxam samAruhAH deva lokam vrajanti ye // RKH _2.27 //
   ete cānye 'vrajaṃstatra ṛṣayo dhārmikāḥ pare /	ete ca anye avrajan= tatra RzayaH DArmikAH pare /
   jvalantastejasā sarve nirdhūmā iva pāvakāḥ // RKS_2.28 //	jvalantaH tejasA sarve nirDUmAH iva pAvakAH // RKH _2.28 //
   māsopavāsina kecit kecit pakṣopavāsinaḥ /	mAsa upavAsina kecid kecid pakza upavAsinaH /
   trirātrakāḥ sāntapanā nirāhārās tathā pare // RKS_2.29 //	tri rAtrakAH sAntapanAH nirAhArAH taTA pare // RKH _2.29 //
   kecit puṣpaphalāhārāḥ śāntā vātāśanistathā /	kecid puzpa Pala AhArAH SAntA vAta aSaniH taTA /
   kecid gomayabhakṣyāśca jalāhārāstathāpare // RKS_2.30 //	kecid gomaya BakzyAH ca jala AhArAH taTA apare // RKH _2.30 //
   sāgnihotrāśca vidvāṃso mokṣavedārthacintakāḥ /	sa agnihotrAH ca vidvAMsaH mokza veda arTa cintakAH /
   itihāsapurāṇādi śrutismṛtiviśāradāḥ // RKS_2.31 //	itihAsa purANa Adi Sruti smRti viSAradAH // RKH _2.31 //
   ete cānye ca bahavo mārkaṇḍeyaṃ priyayā tapasvinaḥ /	ete ca anye ca bahavaH mArkaNxeyam priyayA tapasvinaH /
   etaiśca saṃtiṣṭhan ṛkṣairiva niśākaraḥ // RKS_2.32 //	etEH ca saMtizWan RkzEH iva niSAkaraH // RKH _2.32 //
   tīrthayātrāphalaṃ śrutvā dharmaputro yudhiṣṭhiraḥ /	tIrTa yAtrA Palam SrutvA DarmaputraH yuDizWiraH /
   abhijñair brāhmaṇaiḥ sārdhaṃ draupadyā priyayā saha // RKS_2.33 //	aBijQEH brAhmaNEH sArDam drOpadyA priyayA saha // RKH _2.33 //
   vidvadbhirvedavidbhiśca brahmiṣṭhair brahmacintakaiḥ /	vidvadBiH veda vidBiH ca brahmizWEH brahmacintakEH /
   narmadātīram āyāte mārkaṇḍeyāśramaṃ prati // RKS_2.34 //	narmadA tIram AyAte mArkaNxeya ASramam prati // RKH _2.34 //
   pradakṣiṇatriḥ praṇamya sāṣṭāṅgaṃ ca punaḥ punaḥ /	pradakziNa tris praNamya sa azwAFgam ca punar punar /
   upaviṣṭastadā tatra bhrātṛbhissaha dharmajaḥ // RKS_2.35 //	upavizwaH tadA tatra BrAtRBiH saha Darma jaH // RKH _2.35 //
   upaviṣṭaṃ nṛpaṃ dṛṣṭvā mārkaṇḍeyo mahāmuniḥ /	upavizwam nRpam dRzwvA mArkaNxeyaH mahA muniH /
   uvāca vacanaṃ devaṃ dharmaputraṃ yudhiṣṭhiram // RKS_2.36 //	uvAca vacanam devam Darmaputram yuDizWiram // RKH _2.36 //
   kuśalaṃ nṛpaśārdūla bhrātṛbhir brāhmaṇaiḥ saha /	kuSalam nRpa SArdUla BrAtRBiH brAhmaNEH saha /
   prahasya so 'bravīdvākyaṃ mārkaṇḍaṃ munisattamam // RKS_2.37 //	prahasya saH abravIt vAkyam mArkaNxam muni sattamam // RKH _2.37 //
   adya me saphalaṃ janma jīvitaṃ ca sujīvitam /	adya me saPalam janma jIvitam ca su jIvitam /
   kṛtakṛtyo 'bhavaṃ tvadya tvatpādāmbujadarśanāt // RKS_2.38 //	kRtakRtyaH aBavam tu adya tvad pAda ambuja darSanAt // RKH _2.38 //
   adya me 'ntarmalaṃ naṣṭaṃ pāpocchedananirmmalam /	adya me antar malam nazwam pApa ucCedana nirmmalam /
   dṛṣṭvā tapovanaṃ sarvaṃ jvalantaṃ sūryavarcasam // RKS_2.39 //	dRzwvA tapaH vanam sarvam jvalantam sUrya varcasam // RKH _2.39 //
   nirmuktaḥ kilbiṣādasmāt saptajanmāntarādvibho /	nirmuktaH kilbizAt asmAt sapta janma antarAt viBo /
   rantvā cottaradigbhāge devabhūmiṃ manoharām // RKS_2.40 //	rantvA ca uttara diS BAge deva BUmim manoharAm // RKH _2.40 //
