   advaitaprakaraṇaṃ	advEta-prakaraNam
   pratipatsya ityevaṃ pratipannaḥ kṛpaṇo bhavati yasmāt-	pratipatsyaH iti-evam pratipannaH kRpaNaH Bavati yasmAt--
   ato vakṣyāmy akārpaṇyam ajāti samatāṃ gatam /	atas vakzyAmi akArpaNyam ajAti sama-tAm gatam /
   yathā na jāyate kiñcij jāyamānaṃ samantataḥ // MandUpK_3.2 //	yaTA na jAyate kiQcid jAyamAnam samantataH // Mandu-upK_3.2 //
   MandUpKC_3.2	Mandu-upKC_3.2
   ato vakṣyāmyakārpaṇyakṛpaṇabhāvamajaṃ brahma /	atas vakzyAmi-akArpaNya-kRpaNa-BAvam-ajam brahma /
   taddhi kārpaṇyāspadam"yatrānyo 'nyatpaśyatyanyacchṛṇotyanyadvijānāti	tat-hi kArpaNya-Aspadam-"yatra-anyaH anyat-paSyati-anyat-SRNoti-anyat-vijAnAti
   tadalpaṃ martyamasat"(chā.u.7 / 24 / 1) ityādiśrutibhyaḥ /	tat-alpam martyam-asat"(CA.u.7 / 24 / 1) ityAdi-SrutiByaH /
   tadviparītaṃ sabāhyābhyantaramajakārpaṇyaṃ bhūmākhyaṃ brahma /	tad-viparItam sa-bAhya-aByantaram-ajakArpaNyam BUma-AKyam brahma /
   yatprāpyāvidyākṛtasarvakārpaṇyanivṛttistatkārpaṇyaṃ vakṣyāmītyarthaḥ /	yad-prApya-avidyA-kRta-sarva-kArpaNya-nivRttiH-tat-kArpaNyam vakzyAmi-iti-arTaH /
   tadajāti, avidyamānā jātirasya samatāṃ gataṃ sarvasāmyaṃ gatam /	tad-ajAti, avidyamAnAH jAtiH-asya sama-tAm gatam sarva-sAmyam gatam /
   kasmāt? avayavavaiṣamyābhāvāt /	kasmAt? avayava-vEzamya-aBAvAt /
   yaddhi sāvayavaṃ vastu tadavayavavaiṣamyaṃ gacchajjāyata ityucyate /	yat-hi sa-avayavam vastu tad-avayava-vEzamyam gacCat-jAyate iti-ucyate /
   idaṃ tu niravayavatvātsamatāṃ gatamiti na kaiścidavayavaiḥ	idam tu niravayava-tvAt-samatAm gatam-iti na kEScid-avayavEH
   sphuṭatyatojātyakārpaṇyam /	sPuwati-atojAti-akArpaNyam /
   samantataḥ samantādyathā na jāyate kiñcidalpamapi na sphuṭati	samantataH samantAt-yaTA na jAyate kiQcid-alpam-api na sPuwati
   rajjusarpavadavidyākṛtadṛṣṭyā jāyamānaṃ yena prakāreṇa na jāyate sarvato	rajju-sarpa-vat-avidyA-kRta-dRzwyA jAyamAnam yena prakAreNa na jAyate sarvatas-
   'jameva brahma bhavati tathā taṃ prakāraṃ śṛṇvityarthaḥ //2//	ajam-eva brahma Bavati taTA tam prakAram SRNu-iti-arTaH //2//
   START MandUpK 3.3	START Mandu-upK 3.3
   ajāti brahmakārpaṇyaṃ vakṣyāmīti pratijñātam /	ajAti brahma-kArpaNyam vakzyAmi-iti pratijQAtam /
   tatsiddhyarthaṃ hetuṃ dṛṣṭāntaṃ ca vakṣyāmītyāha-	tad-sidDi-arTam hetum dRzwAntam ca vakzyAmi-iti-Aha-
   ātmā hy ākāśavajjīvair ghaṭākāśair ivoditaḥ /	AtmA hi AkASa-vat-jIvEH Gawa-AkASEH iva-uditaH /
   ghaṭādivac ca saṃghātair jātāv etan nidarśanam // MandUpK_3.3 //	Gawa-Adi-vat ca saMGAtEH jAtO etat nidarSanam // Mandu-upK_3.3 //
   MandUpKC_3.3	Mandu-upKC_3.3
   ātmā paro hi yasmādākāśavatsūkṣmo niravayavaḥ sarvagata ākāśavadukto	AtmA paraH hi yasmAt-AkASa-vat-sUkzmaH niravayavaH sarva-gataH AkASa-vat-uktaH-
   jīvaiḥ kṣetrajñairghaṭākāśairiva ghaṭākāśatulya udita uktaḥ sa	jIvEH kzetrajQEH-Gawa-AkASEH-iva Gawa-AkASa-tulyaH uditaH uktaH sa
   evākāśasamaḥ para ātmā /	eva-AkASa-samaH paraH AtmA /
   atha vā ghaṭākāśairyathākāśa udita utpannastathā paro jīvātmabhirutpannaḥ	aTa vA Gawa-AkASEH-yaTA-AkASaH uditaH utpannaH-taTA paraH jIvAtmaBiH-utpannaH
   jīvātmanāṃ parasmādātmana utpattiryā śrūyate vedānteṣu sā	jIva-AtmanAm parasmAt-AtmanaH utpattiH-yA SrUyate vedAntezu sA
   mahākāśādghaṭākāśotpattisamā na paramārtha ityabhiprāyaḥ /	mahA-AkASAt-Gawa-AkASa-utpatti-samAH na parama-arTaH iti-aBiprAyaH /
   tasmādevākāśādghaṭādayaḥ saṃghātā yathetpadyanta	tasmAt-eva-AkASAt-Gawa-AdayaH saMGAtAH yaTetpadyanta
   evamākāśasthānīyātparamātmanaḥ pṛthivyādibhūtasaṃghātā ādhyātmikāśca	evam-AkASa-sTAnIyAt-paramAtmanaH pRTivI-Adi-BUta-saMGAtAH ADyAtmikAH-ca
   kāryakaraṇalakṣaṇā rajjusarpavadvikalpitā jāyante /	kArya-karaNa-lakzaNAH rajju-sarpa-vat-vikalpitAH jAyante /
   ata ucyate ghaṭādivacca saṃghātairudita iti /	atas ucyate Gawa-Adi-vat-ca saMGAtEH-uditaH iti /
   yadā mandabuddhipratipādayiṣayā śrutyātmano jātirucyate jīvādīnāṃ tadā	yadA manda-budDi-pratipAdayizayA Sruti-AtmanaH jAtiH-ucyate jIva-AdInAm tadA
   jātāvupagamyamānāyāmetannidarśanaṃ dṛṣṭānto yathoditākāśavadityādiḥ //3//	jAtO=-upagamyamAnAyAm-etat-nidarSanam dRzwAntaH yaTA-udita-AkASa-vat-iti-AdiH //3//
   START MandUpK 3.4	START Mandu-upK 3.4
   ghaṭādiṣu pralīneṣu ghaṭākāśādayo yathā /	Gawa-Adizu pralInezu Gawa-AkASa-AdayaH yaTA /
   ākāśe saṃpralīyante tadvaj jīvā ihātmani // MandUpK_3.4 //	AkASe saMpralIyante tadvat jIvAH iha-Atmani // Mandu-upK_3.4 //
   MandUpKC_3.4	Mandu-upKC_3.4
   yathā ghaṭādyutpattyā ghaṭākāśādyutpattiḥ; yathā vā ghaṭādipralaye	yaTA Gawa-Adi-utpattyA Gawa-AkASa-Adi-utpattiH; yaTA vA Gawa-Adi-pralaye
   ghaṭākāśādipralayastadvaddehādisaṃghātotpattyā jīvotpattistatpralaye ca	Gawa-AkASa-Adi-pralayaH-tadvat-deha-Adi-saMGAta-utpattyA jIva-utpattiH-tad-pralaye ca
   jīvānāmihātmani pralayo na svata ityarthaḥ //4//	jIvAnAm-iha-Atmani pralayaH na svatas iti-arTaH //4//
   START MandUpK 3.5	START Mandu-upK 3.5
   sarvadeheṣvātmaikatva ekasmiñjananamaraṇasukhādimatyātmani sarvātmanāṃ	sarva-dehezu-AtmA-ekatvaH ekasmin-janana-maraNa-suKa-Adimati-Atmani sarva-AtmanAm
   tatsambandhaḥ kriyāphalasāṅkaryaṃ ca syāditi ya	tad-sambanDaH kriyA-Pala-sAFkaryam ca syAt-iti ya
   āhurdvaitinastānpratīdamucyate-	AhuH-dvEtinaH-tAn-pratIdam-ucyate-
   yathaikasmin ghāṭākāśe rajodhūmādibhir yute /	yaTA-ekasmin GAwa-AkASe rajaH-DUma-AdiBiH yute /
   na sarve saṃprayujyante tadvaj jīvāḥ sukhādibhiḥ // MandUpK_3.5 //	na sarve saMprayujyante tadvat jIvAH suKa-AdiBiH // Mandu-upK_3.5 //
   MandUpKC_3.5	Mandu-upKC_3.5
   yathaikasminghaṭākāśe rajodhūmādibhiryute saṃyukte na sarve	yaTA-ekasmin-Gawa-AkASe rajaH-DUma-AdiBiH-yute saMyukte na sarve
   ghaṭākāśādayastadrajodhūmādibhiḥ saṃyujyante tadvajjīvāḥ sukhādibhiḥ /	Gawa-AkASa-AdayaH-tad-rajaH-DUma-AdiBiH saMyujyante tadvat-jIvAH suKa-AdiBiH /
   nanveka evātmā?	nanu-ekaH eva-AtmA?
   bāḍham; nanu na śrutaṃ tvayākāśavatsarvasaṃghāteṣveka evātmeti?	bAXam; nanu na Srutam tvayA-AkASa-vat-sarva-saMGAtezu-ekaH eva-AtmA-iti?
   yadyeka evātmā tarhi sarvatra sukhī duḥkhī ca syāt?	yadi-ekaH eva-AtmA tarhi sarvatra suKI duHKI ca syAt-?
   na cedaṃ sākhyacodyaṃ sambhavati /	na ca-idam sAKya-codyam samBavati /
   na hi sāṃkhya ātmanaḥ sukhaduḥkhādimattvamicchati	na hi sAMKyaH AtmanaH suKa-duHKa-Adimat-tvam-icCati
   buddhisamavāyābhyupagamātsukhaduḥkhādīnām /	budDi-samavAya-aByupagamAt-suKa-duHKa-AdInAm /
   na copalabdhisvarūpasyātmano bhedakalpanāyāṃ pramāṇamasti /	na ca-upalabDi-svarUpasya-AtmanaH Beda-kalpanAyAm pramANam-asti /
   bhedābhāve pradhānasya pārārthyānupapattiriti cet; na	Beda-aBAve praDAnasya pArArTya-anupapattiH-iti cet; na
   pradhānakṛtasyārthasyātmanyasamavāyāt /	praDAna-kRtasya-arTasya-Atmani-asamavAyAt /
   yadi hi pradhākṛto bandho mokṣo vārthaḥ puruṣeṣu bhedena samavaiti tataḥ	yadi hi praDAkRtaH banDaH mokzaH vA-arTaH puruzezu Bedena samavEti tatas-
   pradhānasya pārārthyamātmaikatve nopapadyata iti yuktā puruṣabhedakalpanā	praDAnasya pArArTyam-AtmA-eka-tve na-upapadyate iti yuktA puruza-Beda-kalpanA
   na ca sākhyairbandho mokṣo vārthaḥ puruṣasamaveto 'bhyupagamyate /	na ca sAKyEH-banDaH mokzaH vA-arTaH puruza-samavetaH aByupagamyate /
   nirviśeṣāśca cetanamātrā ātmāno 'bhyupagamyante /	nirviSezAH-ca cetana-mAtrAH AtmAnaH aByupagamyante /
   ataḥ puruṣasattāmātraprayuktameva pradhānasya pārārthyaṃ siddhaṃ na tu	atas puruza-sattA-mAtra-prayuktam-eva praDAnasya pArArTyam sidDam na tu
   puruṣabhedaprayuktamiti /	puruza-Beda-prayuktam-iti /
   ataḥ puruṣabhedakalpanāyāṃ na pradhānasya pārārthyaṃ hetuḥ /	atas puruza-Beda-kalpanAyAm na praDAnasya pArArTyam hetuH /
   na cānyatpuruṣabhedakalpanāyāṃ pramāṇamasti sākhyānām /	na ca-anyat-puruza-Beda-kalpanAyAm pramANam-asti sa-AKyAnAm /
   parasattāmātrameva caitannimittīkṛtya svayaṃ badhyate mucyate ca pradhānam	para-sattA-mAtram-eva ca-etad-nimittIkRtya svayam baDyate mucyate ca praDAnam
   paraścopalabdhimātrasattāsvarūpeṇa pradhānapravṛttau	paraH-ca-upalabDi-mAtra-sattA-sva-rUpeNa praDAna-pravRttO
   heturnakenacidviśeṣeṇeti kevalamūḍhatayaiva puruṣabhedakalpanā	hetuH-nakenacid-viSezeNa-iti kevala-mUXa-tayA-eva puruza-Beda-kalpanA
   vedārthaparityāgaśca /	veda-arTa-parityAgaH-ca /
   ye tvāhurvaiśeṣikādaya icchādaya ātmasamavāyina iti, tadapyasat /	ye tu-AhuH-vESezika-AdayaH icCA-AdayaH Atma-samavAyinaH iti, tat-api-asat /
   smṛtihetūnāṃ saṃskārāṇāmapradeśavatyātmanyasamavāyāt /	smRti-hetUnAm saMskArANAm-apradeSavati-Atmani-asamavAyAt /
   ātmamanaḥ saṃyogācca smṛtyutpatteḥ smṛtiniyamānupapatti /	Atma-manaH saMyogAt-ca smRti-utpatteH smRti-niyama-anupapatti /
   yugapadvā sarvasmṛtyutpattiprasaṅgaḥ /	yugapad-vA sarva-smRti-utpatti-prasaFgaH /
   na ca bhinnajātīyānāṃ sparśādihīnānāmātmanāṃ mana ādibhiḥ saṃbandho yuktaḥ	na ca Binna-jAtIyAnAm sparSa-Adi-hInAnAm-AtmanAm manaH AdiBiH saMbanDaH yuktaH
   na ca dravyādrūpādayo guṇāḥ karmasāmānyaviśeṣasamavāyā vā bhinnāḥ santi	na ca dravyAt-rUpa-AdayaH guNAH karma-sAmAnya-viSeza-samavAyAH vA BinnAH santi
   pareṣām /	parezAm /
   yadi hyatyantabhinnā eva dravyātsyuricchādayaścātmanastathā ca sati	yadi hi-atyanta-BinnAH eva dravyAt-syuH-icCA-AdayaH-ca-AtmanaH-taTA ca sati
   dravyeṇa teṣāṃ sambandānupapattiḥ /	dravyeNa tezAm sambanda-anupapattiH /
   ayutasiddhānāṃ samavāyalakṣaṇaḥ sambandho na virudhyata iti cet, na /	ayutasidDAnAm samavAya-lakzaNaH sambanDaH na viruDyate iti cet, na /
   icchādibhyo 'nityebhya ātmano nityasya	icCA-AdiByaH anityeByaH AtmanaH nityasya
   pūrvasiddhatvānnāyutasiddhatvopapattiḥ /	pUrva-sidDa-tva-at-na-ayuta-sidDa-tva-upapattiH /
   ātmanāyutasiddhatve cecchādīnāmātmagatamahatvavannityatvaprasaṅgaḥ /	AtmanA-ayuta-sidDa-tve ca-icCA-AdInAm-Atma-gata-mahatva-vat-nitya-tva-prasaFgaH /
   sa cāniṣṭaḥ /	sa ca-anizwaH /
   ātmano 'nirmokṣaprasaṅgāt /	AtmanaH anirmokza-prasaFgAt /
   samavāyasya ca dravyādanyatve sati dravyeṇa sambandhāntaraṃ vācyaṃ yathā	samavAyasya ca dravyAt-anya-tve sati dravyeNa sambanDa-antaram vAcyam yaTA
   dravyaguṇayoḥ /	dravya-guNayoH /
   samavāyo nityasambandha eveti na vācyamiti cettathā ca	samavAyaH nitya-sambanDaH eva-iti na vAcyam-iti ced-taTA ca
   samavāyasambandhavatāṃ nityasambandhaprasaṅgātpṛthaktvānupapatti /	samavAya-sambanDavatAm nitya-sambanDa-prasaFgAt-pRTaktvA-anupapatti /
   atyantapṛthaktve ca dravyādīnāṃ sparśavadasparśadravyayoriva	atyanta-pRTaktve ca dravya-AdInAm sparSa-vat-asparSa-dravyayoH-iva
   ṣaṣṭyarthānupapattiḥ /	zazwi-arTa-anupapattiH /
   icchādyupajanāpāyavadguṇatve cātmano 'nityatvaprasaṅgaḥ /	icCA-Adi-upajana-apAya-vat-guNa-tve ca-AtmanaH anitya-tva-prasaFgaH /
   dehaphalādivatsāvayavatvaṃ vikriyāvatvaṃ ca dehādivadeveti	deha-Pala-Adi-vat-sAvayava-tvam vikriyAva-tvam ca deha-Adi-vat-eva-iti
   doṣāvaparihāryau /	doza-a=-aparihAryO /
   yathā tvākāśasyāvidyādhyāropitarajodhūmamalavatvādidoṣavatvaṃ tathātmano	yaTA tu-AkASasya-avidyA-aDyAropita-rajaH-DUmam-alava-tva-Adi-dozava-tvam taTA-AtmanaH-
   'vidyādhyāropitabuddhyādyupādhikṛtasukhaduḥkhādidoṣavatve bandhamokṣādayo	avidyA-aDyAropita-budDi-Adi-upADi-kRta-suKa-duHKa-Adi-dozavatve banDa-mokza-AdayaH-
   vyavahārikā na virudhyante /	vyavahArikAH na viruDyante /
   sarvavādibhiravidyākṛtavyavahārābhyupagamātparamārthānabhyupagamācca /	sarva-vAdiBiH-avidyA-kRta-vyavahAra-aByupagamAt-parama-arTa-anaByupagamAt-ca /
   tasmādātmabhedaparikalpanā vṛthaiva tārkikaiḥ kriyata iti //5//	tasmAt-Atma-Beda-parikalpanA vRTA-eva tArkikEH kriyate iti //5//
   START MandUpK 3.6	START Mandu-upK 3.6
   kathaṃ punarātmabhedanimitta iva vyavahāra ekasminnātmanyavidyākṛta	kaTam punar-Atma-Beda-nimittaH iva vyavahAraH ekasmin=-Atmani-avidyA-kRta
   upapadyata iti, ucyate-	upapadyate iti, ucyate-
   rūpakāryasamākhyāś ca bhidyante tatra tatra vai /	rUpa-kArya-samAKyAH ca Bidyante tatra tatra vE /
   ākāśasya na bhedo 'sti tadvaj jīveṣu nirṇayaḥ // MandUpK_3.6 //	AkASasya na BedaH asti tadvat jIvezu nirNayaH // Mandu-upK_3.6 //
   MandUpKC_3.6	Mandu-upKC_3.6
   yathehākāśa ekasminghaṭakarakāpavarakādyākāśānāmalpatvamahatvādirūpāṇi	yaTA-iha-AkASaH ekasmin-Gawa-kara-ka-apavaraka-Adi-AkASAnAm-alpa-tva-mahatva-Adi-rUpANi
   bhidyante tathā kāryamudakāharaṇadhāraṇaśayanādisamākhyāśca	Bidyante taTA kAryam-udaka-AharaNa-DAraNa-Sayana-Adi-samAKyAH-ca
   ghaṭākāśakarakākāśa ityādyāstatkṛtāśca bhinnā dṛśyante /	Gawa-AkASa-karaka-AkASaH ityAdyAH-tad-kRtAH-ca BinnAH dRSyante /
   tatra tatra vai vyavahāraviṣaya ityarthaḥ /	tatra tatra vE vyavahAra-vizayaH iti-arTaH /
   sarvo 'yamākāśo rūpādibhedakṛto vyavahāro na paramārtha eva /	sarvaH ayam-AkASaH rUpa-Adi-Beda-kRtaH vyavahAraH na parama-arTaH eva /
   paramārthatastvākāśasya na bhedosti /	paramArTataH-tu-AkASasya na Beda-usti /
   na cākāśabhedanimitto vyavahāro 'styantareṇa paropādhikṛtaṃ dvāram /	na ca-AkASa-Beda-nimittaH vyavahAraH asti-antareNa para-upADi-kRtam dvAram /
   yathaitattadveddahopādhibhedakṛteṣu jīveṣu ghaṭākāśasthānīyeṣvātmasu	yaTA-etat-tat-veddaha-upADi-Beda-kRtezu jIvezu Gawa-AkASa-sTAnIyezu-Atmasu
   nirūpaṇātkṛto buddhimadbhirnirṇayo niścaya ityarthaḥ //6//	nirUpaNAt-kRtaH budDimadBiH-nirNayaH niScayaH iti-arTaH //6//
   START MandUpK 3.7	START Mandu-upK 3.7
   nanu tatra paramārthakṛta eva ghaṭākāśādiṣu rūpakāryādibhedavyavahāra iti?	nanu tatra parama-arTa-kRtaH eva Gawa-AkASa-Adizu rUpa-kArya-Adi-Beda-vyavahAraH iti?
   naitadasti, yasmāt	na-etat-asti, yasmAt-
   nākāśasya ghaṭākāśo vikārāvayavau yathā /	na-AkASasya Gawa-AkASaH vikAra-avayavO yaTA /
   naivātmanaḥ sadā jīvo vikārāvayavau tathā // MandUpK_3.7 //	na-eva-AtmanaH sadA jIvaH vikAra-avayavO taTA // Mandu-upK_3.7 //
   MandUpKC_3.7	Mandu-upKC_3.7
   paramārthākāśasya ghaṭākāśo na vikāraḥ; yathā suvarṇasya rucakādiryathā	parama-arTa-AkASasya Gawa-AkASaH na vikAraH; yaTA suvarNasya rucaka-AdiH-yaTA
   vāpāṃ phenabudbudahimādiḥ; nāpyavayavo yathā vṛkṣasya śākhādiḥ /	vApAm Pena-budbuda-hima-AdiH; na-api-avayavaH yaTA vRkzasya SAKA-AdiH /
   na tathā0kāśasya ghaṭākāśo vikārāvayavau yathā tathā naivātmanaḥ parasya	na taTA-A0kASasya Gawa-AkASaH vikAra-avayavO yaTA taTA na-eva-AtmanaH parasya
   paramārthasato mahākāśasthānīyasya ghaṭākāśasthānīyo jīvaḥ sadā sarvadā	parama-arTa-sataH mahAkASa-sTAnIyasya Gawa-AkASa-sTAnIyaH jIvaH sadA sarvadA
   yathoktadṛṣṭāntavanna vikāro nāpyavayavaḥ /	yaTA-ukta-dRzwAnta-vat-na vikAraH na-api-avayavaH /
   ata ātmabhedakṛto vyavahāro mṛṣaivetyarthaḥ //7//	atas Atma-Beda-kRtaH vyavahAraH mRzA-eva-iti-arTaH //7//
   START MandUpK 3.8	START Mandu-upK 3.8
   yasmādyathā ghaṭākāśādibhedabuddhinibandhano	yasmAt-yaTA Gawa-AkASa-Adi-Beda-budDi-nibanDanaH-
   rūpakāryādibhedavyavahārastathā dehobādhijīvabhedakṛto	rUpa-kArya-Adi-Beda-vyavahAraH-taTA dehaH-bADi-jIva-Beda-kRtaH-
   janmamaraṇādivyavahāraḥ /	janma-maraNa-Adi-vyavahAraH /
   tasmāttatkṛtameva kleśakarmaphalamalavatvamātmano na paramārthata	tasmAt-tat-kRtam-eva kleSa-karma-Palam-alava-tvam-AtmanaH na paramArTa-ta
   ityetamarthaṃ dṛṣṭāntena pratipipādayiṣannāha-	iti-etam-arTam dRzwAntena pratipipAt-ayizan=-Aha-
   yathā bhavati bālānāṃ gaganaṃ malinaṃ malaiḥ /	yaTA Bavati bAlAnAm gaganam malinam malEH /
   tathā bhavaty abuddhānām ātmāpi malino malaiḥ // MandUpK_3.8 //	taTA Bavati abudDAnAm AtmA-api malinaH malEH // Mandu-upK_3.8 //
   MandUpKC_3.8	Mandu-upKC_3.8
   yathā bhavati loke bālānāmavivekināṃ gaganamākāśaṃ	yaTA Bavati loke bAlAnAm-avivekinAm gaganam-AkASam
   ghanarajodhūmādimalārmalinaṃ malavanna gaganaṃ malavadyāthātmyavivekinām,	Gana-rajaH-DUma-Adi-malArmalinam malavat-na gaganam malavat-yATAtmya-vivekinAm,
   tathā bhavatyātmā paro 'pi yo vijñātā pratyakkleśakarmaphalamalairmalino	taTA Bavati-AtmA paraH api yaH vijQAtA pratyak-kleSa-karma-Pala-malEH-malinaH-
   'buddhānāṃ pratyagātmavivakerahitānāṃ nātmavivekavatām /	abudDAnAm pratyagAtma-vivakera-hitAnAm na-Atma-vivekavatAm /
   nahyūṣaradeśastṛḍvatprāṇyadhyāropitodakaphenataraṅgādimāṃstathā	na-hi-Uzara-deSaH-tRz-vat-prANi-aDyAropita-udaka-Pena-taraFgAdimAn=-taTA
   nātmābudhāropitakleśādimalairmalino bhavatītyarthaḥ //8//	na-Atma-abuDa-Aropita-kleSa-Adi-malEH-malinaH Bavati-iti-arTaH //8//
   START MandUpK 3.9	START Mandu-upK 3.9
   punarapyuktamevārthaṃ prapañcayati-	punar-api-uktam-eva-arTam prapaQcayati-
   maraṇe saṃbhave caiva gatyāgamanayor api /	maraNe saMBave ca-eva gati-AgamanayoH api /
   sthitau sarvaśarīreṣu ākāśenāvilakṣaṇaḥ // MandUpK_3.9 //	sTitO sarva-SarIrezu AkASena-avilakzaNaH // Mandu-upK_3.9 //
   MandUpKC_3.9	Mandu-upKC_3.9
   ghaṭākāśajanmanāśagamanāgamanasthitivatsarvaśarīreṣvātmano	Gawa-AkASa-janma-nASa-gamana-Agamana-sTiti-vat-sarva-SarIrezu-AtmanaH-
   janmamaraṇādirākāśenāvilakṣaṇaḥ pratyetavya ityarthaḥ //9//	janma-maraNa-AdiH-AkASena-avilakzaNaH pratyetavyaH iti-arTaH //9//
   START MandUpK 3.10	START Mandu-upK 3.10
   saṃghātāḥ svapnavat sarve ātmamāyāvisarjitāḥ /	saMGAtAH svapna-vat sarve Atma-mAyA-visarjitAH /
   ādhikye sarvasāmye vā nopapattir hi vidyate // MandUpK_3.10 //	ADikye sarva-sAmye vA na-upapattiH hi vidyate // Mandu-upK_3.10 //
   MandUpKC_3.10	Mandu-upKC_3.10
   ghaṭādisthānīyāstu dehādisaṃghātāḥ	Gawa-Adi-sTAnIyAH-tu deha-Adi-saMGAtAH
   svapnadṛśyadehādivanmāyāvikṛtadehādivaccātmamāyāvisarjitāḥ; ātmano	svapna-dRSya-deha-Adi-vat-mAyA-vikRta-deha-Adi-vat-ca-Atma-mAyA-visarjitAH; AtmanaH-
   māyāvidyā tayā pratyupasthāpitā na paramārthataḥ santītyarthaḥ /	mAyA-avidyA tayA pratyupasTApitAH na paramArTataH santi-iti-arTaH /
   yadyādhikyamadhikabhāvastirgdehādyapekṣayā devādikāryakaraṇasaṃghātānāṃ	yadi-ADikyam-aDika-BAvaH-tiH-gdeha-Adi-apekzayA deva-Adi-kArya-karaNa-saMGAtAnAm
   yadi vā sarveṣāṃ samataiva naiṣāmupapattiḥ sambhavaḥ sadbhāpratipādako	yadi vA sarvezAm samatA-eva na-ezAm-upapattiH samBavaH sadBA-pratipAdakaH-
   heturvidyate nāsti, hi yasmāttasmādavidyākṛtā eva na paramārthataḥ	hetuH-vidyate nAsti, hi yasmAt-tasmAt-avidyA-kRtAH eva na paramArTataH
   santītyarthaḥ //10//	santi-iti-arTaH //10//
   START MandUpK 3.11	START Mandu-upK 3.11
