   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   bhagavan yena rājñaścakravartinaścakraratnaṃ gacchati tena sarvo balakāyo	Bagavan yena rAjQaH cakravartinaH cakra ratnam gacCati tena sarvaH balakAya u
   gacchati, evameva bhagavan yena bodhisattvasya mahākaruṇa gacchati, tena	gacCati, evam eva Bagavan yena boDisattvasya mahA karuNa gacCati, tena
   sarve buddhadharmā gacchanti / tadyathā bhagavan jīvitendriye sati	sarve budDa DarmAH gacCanti / tat yaTA Bagavan jIvita indriye sati
   anyeṣāmindriyāṇāṃ pravṛttirbhavati, evameva bhagavan mahākaruṇāyāṃ	anyezAm indriyANAm pravRttiH Bavati, evam eva Bagavat mahA karuNAyAm
   satyāmanyeṣāṃ bodhisattvānāṃ] dharmāṇāṃ pravṛttirbhavati /" iti /	satyAm anyezAm boDisattvAnAM] DarmANAm pravRttiH Bavati /" iti /
   āryākṣayamatinirdeśe coktam  "punaraparam, bhadanta śāradvatīputra,	Arya akzayam ati nirdeSe ca uktam "punar aparam, Badanta SAradvatI putra,
   bodhisattvānāṃ mahākaruṇāpyakṣayā / tat kasya hetoḥ? pūrvaṅgamatvāt / (Bhk	boDisattvAnAm mahA karuNA api akzayA / tat kasya hetoH? pUrvaFgama tvAt / (Bhj 
   166) tadyathāpi nāma, bhadanta śāradvatīputra, āśvāsāḥ [praśvāsāḥ]	166) tat yaTA api nAma, Badanta SAradvatI putra, ASvAsAH [praSvAsAH]
   puruṣasya jīvitendriyasya pūrvaṅgamāḥ, evameva	puruzasya jIvita indriyasya pUrvaFgamAH, evam eva
   mahāyāna sambhāra samudāgamāya bodhisattvasya mahākaruṇā pūrvaṅgamā" iti	mahAyAna  samBAra  samudAgamAya boDisattvasya mahA karuNA pUrvaFgamA" iti
   vistaraḥ / āryagayāśīrṣe coktam  "kimārambhā, mañjuśrīḥ, bodhisattvānāṃ	vistaraH / Arya gayASIrze ca uktam "kimAramBA, maQjuSrIH, boDisattvAnAm
   caryā, kimadhiṣṭhānā ca? mañjuśrīrāha  mahākaruṇārambhā, devaputra,	caryA, kim aDizWAnA ca? maQju SrIrAha mahA karuNa AramBA, deva putra,
   bodhisattvānāṃ caryā sattvādhiṣṭhānā / "iti vistaraḥ /	boDisattvAnAm caryA sattva aDizWAnA / "iti vistaraH /
   tathā hi tayā preryamāṇā bodhisattvāḥ svātmanirapekṣā ekāntena	taTA hi tayA preryamANAH boDisattvAH sva Atma nirapekzAH ekAntena
   paropakārārthatayā atiduṣkaradīrghakālike 'pi sambhāropārjanapariśrame	para upakAra arTa tayA ati duzkara dIrGa kAlike api samBAra upArjana pariSrame
   pravartante / tathā coktam āryaśraddhābalādhāne  "tatra [mahā]karuṇayāpi	pravartante / taTA ca uktam Arya SradDA bala ADAne "tatra [mahA]karuNayA api
   sarvasattvaparipācanārthaṃ na tat kiñcit sukhopādhānaṃ yanna parityajati /	sarva sattva paripAcana arTam na tat kiQcid suKa upADAnam yat na parityajati /
   "iti / ato 'tiduṣkare pravartamāno nacireṇaiva sambhārān	"iti / atas ati duzkare pravartamAnaH nacireNa eva samBArAn
   paripūryāvaśyameva sarvajñapadam adhigacchati / tato buddhadharmāṇāṃ	paripUrya avaSyam eva sarvajQa padam aDigacCati / tatas budDa DarmANAm
   karuṇaiva mūlam / mahākaruṇāparigrahādeva buddhā bhagavanto 'dhigamya	karuNA eva mUlam / mahA karuNA parigrahAt eva budDAH BagavantaH aDigamya
   sarvajñapadam aśeṣasya jagato 'rtha vikurvāṇāstiṣṭhanta iti	sarvajQa padam aSezasya jagataH arTa vikurvANAH tizWante iti
   nirvāṇāpratiṣṭhāne saiva bhagavatāṃ mahākaruṇā hetuḥ /	nirvANa apratizWAne sA eva BagavatAm mahA karuNAH hetuH /
   sā ca duḥkhitasattvālambanamanaskārabahulīkārato vṛddhim (upayāti) / sarve	sA ca duHKita sattva Alamba namanaskAra bahulIkA rataH vRdDim (upayAti) / sarve
   ca te sattvāstridhātukāvacarāstrividhaduḥkhatayā yathoyogam atyanta	ca te sattvAH tri DAtuka avacarAH triviDa duHKa tayA yaToyogam atyanta
   duḥkhitā eveti sarveṣveva sattveṣu bhāvanīyam / tathā ca ye tāvannārakāste	duHKitA eva iti sarvezu eva sattvezu BAvanIyam / taTA ca ye tAvat nArakAH te
   vividhacirantanadīrghakālikadāhādiduḥkha [nadīṣu] nimagnā eva bhagavatā	viviDa cirantana dIrGa kAlika dAha Adi duHKaH [nadIzu] nimagnAH eva BagavatA
   varṇitāḥ / tathā pretā api duḥsahatīvrakṣuttṛṣādiduḥkha[agni] (Bhk 167)	varNitAH / taTA pretAH api duHsaha tIvra kzuD tRzAdi duHKa [agni] (Bhj 167)
   pīḍābhisaṃśoṣitamūrtayastīvraduḥkham anubhavanti / yena	pIxA aBisaMSozita mUrtayaH tIvra duHKam anuBavanti / yena
   varṣaśatenāpyaśuciṃ kheṭapiṇḍanaṃ ca bhoktuṃ na labhanta ityādi varṇitaṃ	varza Satena api aSucim Kewa piNxanam ca Boktum na laBantaH ityAdi varNitam
   bhagavatā / tiryañco 'pi	BagavatA / tiryaQcaH api
   paraspara[bhakṣaṇa]krodhavadhahiṃsādibhiranekavidhaṃ duḥkhamanubhavanto	paraspara[ BakzaNa] kroDa vaDa hiMsA AdiBiH anekaviDam duHKam anuBavantaH 
   dṛśyanta eva / tathā hi	dRSyante eva / taTA hi
   kecinnāsikābhedanatāḍāṇabandhanādibhiratantrīkṛtaśarīrāḥ paritaḥ	kecid nAsikA Bedana tAxANa banDana AdiBiH atantrI kRta SarIrAH paritas 
   paripīḍayamānāḥ kathamapyanicchanto 'pi	paripIxayamAnAH kaTam api anicCantaH api
   atidurvahagurubhārodvahanaparikhinnavapuṣaḥ pariklāmyanti, tathāraṇye 'pi	ati durvaha guru BAra udvahana pariKinna vapuzaH pariklAmyanti, taTA araNye api
   nivasanto 'naparādhāḥ kecit kvacit [artha]to 'nviṣya hanyante / nityaṃ ca	nivasantaH anaparADAH kecid kvacid [arTa ]taH anvizya hanyante / nityam ca
   bhayavivhalamānasastatastataḥ palāyamānāstiṣṭhantītyaparimitam eṣāṃ	Baya vivhala mAnasaH tatas tatas palAyamAnAH tizWanti iti aparimitam ezAm
   duḥkhaṃ dṛśyatta eva / tathā mānuṣye 'pi nārakaṃ duḥkhaṃ dṛśyata eva /	duHKam dRSyatte eva / taTA mAnuzye api nArakam duHKam dRSyate eva /
   atra ye caurādayo 'ṅgacchedaśūlārpaṇodbandhanādibhiḥ kāryanta eva teṣāṃ	atra ye cOra AdayaH aFga= Ceda SUla arpaNa udbanDana AdiBiH kAryante eva tezAm
   nārakameva duḥkham / ye ca dāridrayadyupahatāsteṣāṃ pretānāmiva	nArakam eva duHKam / ye ca dAridrayadi upahatAH tezAm pretAnAm iva
   tatkṣuttarṣāḍibhirduḥkham / ye ca bhṛtyādayaḥ parāyattīkṛtātmabhāvāḥ, ye	tat kzuD tarzAxiBiH duHKam / ye ca BRtya AdayaH parAyattIkRta Atma BAvAH, ye
   ca balibhirākramya pīḍayante teṣāṃ tiraścāmiva tāḍanāvarodhanādi duḥkham /	ca baliBiH Akramya pIxayante tezAm tiraScAm iva tAxana avaroDana Adi duHKam /
   tathā paryeṣṭikṛtam anyo 'nyadrohopaghātādi kṛtaṃ	taTA paryezwikRtam anyaH anyat roha upaGAta Adi kRtam
   priyaviprayogāpriyasaṃyogakṛtaṃ cāprameyameṣāṃ duḥkham / ye kvacid īśvarāḥ	priya viprayoga apriya saMyoga kRtam ca aprameyam ezAm duHKam / ye kvacid ISvarAH
   sukhitā iva lapyante te 'pi viparyavasānasampado	suKitAH iva lapyante te api viparyavasAna sampadaH 
   vividhakudṛṣṭigahananimagnā nārakādiduḥkhānubhavahetuvividha	viviDa kudRzwi gahana nimagnAH nAraka Adi duHKa anuBava hetu viviDa
   kleśakarmāṇyupacinvantaḥ prapātasthāstarava iva duḥkhahetau [api]	kleSa karmANi upacinvantaH prapAta sTAH taravaH iva duHKa hetO [api]
   vartamānāḥ paramārthato duḥkhitā eva /	vartamAnAH paramArTataH duHKitAH eva /
   devā api ye tāvat kāmāvacarāste 'pi tīvrakāmāgnisandīptamānasā	devAH api ye tAvat kAma avacarAH te api tIvra kAma agni sandIpta mAnasA
   ākṣiptacittā ivāsvacchacetasaḥ kṣaṇamapi samādhānaṃ cetasāṃ na labhante /	Akzipta cittAH iva AsvacCa cetasaH kzaNam api samADAnam cetasAm na laBante /
   teṣāṃ praśamasukhadhanadaridrāṇāṃ kīdṛśaṃ nāma tat sukham?	tezAm praSama suKa Dana daridrANAm kIdRSam nAma tat suKam?
   nityacyavanapatanādibhayaśokopahatāḥ kathaṃ sukhitā nāma? ye ca	nitya cyavana patana Adi Baya Soka upahatAH kaTam suKitAH nAma? ye ca
   rūpārūpāvacarāste 'pi (Bhk 168) yadi nāma kiyatkālaṃ duḥkhaduḥkhatāṃ	rUpa arUpA vacarAH te api (Bhj 168) yadi nAma kiyat kAlam duHKa duHKa tAm
   vyatītāstathāpyatyantaṃ kāmāvacarāṇām anuśayānām aprahāṇāt teṣāṃ punarapi	vyatItAH taTA api atyantam kAma avacarANAm anuSayAnAm aprahANAt tezAm punar api
   nārakādivinipātasambhavād vipariṇāmaduḥkham astyeva / sarve nāma	nAraka Adi vinipAta samBavAt vipariNAma duHKam asti eva / sarve nAma
   devamanuṣyāḥ kleśakarmādipāratantryāt te saṃskāraduḥkhatayā duḥkhitā eva /	deva manuzyAH kleSa karma Adi pAratantryAt te saMskAra duHKa tayA duHKitAH eva /
   tadevaṃ sakalameva jagad duḥkhagnijvālāvalīḍham ityavetya yathā mama	tat evam sakalam eva jagat duHKagni jvAlA avalIXam iti avetya yaTA mama
   duḥkhamapriyaṃ tathānyeṣāmapriyamiti cintayatā sarveṣveva sattveṣu kṛpā	duHKam apriyam taTA anyezAm apriyam iti cintayatA sarvezu eva sattvezu kRpA
   bhāvanīyā / prathamaṃ tāvad mitrapakṣeṣu pūrvoktā	BAvanIyAH / praTamam tAvat mitra pakzezu pUrva uktA
   vividhaduḥkhānubhaveṣvanupaśyatā bhāvanīyā /	viviDa duHKa anuBavezu anupaSyatA BAvanIyAH /
   tataḥ sattvasamatayā viśeṣamapaśyatānādimati ca saṃsāre na kaścit sattvo	tatas sattva samatayA viSezam apaSyata anAdimati ca saMsAre na kaScid sattvaH 
   yo na me śataśo bandhurabhūditi paricintayatā vyasteṣu bhāvanīyā / yadā	yaH na me SataSas banDuH aBUt iti paricintayatA vyastezu BAvanIyAH / yadA
   mitrapakṣeṣviva vyasteṣu [api] tulyā karuṇā pravṛttā bhavati, tadā	mitra pakzezu iva vyastezu [api] tulyA karuNA pravRttA Bavati, tadA
   śatrupakṣe 'pi tathaiva sattvasamatādimanasikāreṇa bhāvanīyā / yadā ca	Satru pakze api taTA eva sattva samatA Adi mana sikAreNa BAvanIyAH / yadA ca
   śatrupakṣe 'pi mitrapakṣavat samapravṛttā bhavati, tadā kramaśo daśasu	Satru pakze api mitra pakza vat sama pravRttA Bavati, tadA kramaSas daSasu
   dikṣu sarvasattveṣu [api] bhāvayet / yadā ca duḥkhitabālapriyeṣviva	dikzu sarva sattvezu [api] BAvayet / yadA ca duHKita bAla priyezu iva
   duḥkhoddharaṇecchākārā svarasavāhinī sarvasattveṣu samapravṛttā kṛpā	duHKa udDaraNa icCA AkArA svarasa vAhinI sarva sattvezu sama pravRttA kRpA
   bhavati, tadā sā niṣpannā bhavati mahākaruṇāvyapadeśaṃ ca labhate / yathā	Bavati, tadA sA nizpannA Bavati mahA karuNA vyapadeSam ca laBate / yaTA
   akṣayamatisūtre ca varṇitam / ayaṃ ca kṛpābhāvanākramo	akzayam ati sUtre ca varNitam / ayam ca kRpA BAvanA kramaH 
   bhagavatābhidharmasūtrādau varṇitaḥ /	BagavatA aBiDarma sUtra AdO varNitaH /
   tasyaivaṃ kṛpābhyāsabalāt	tasya evam kRpA aByAsa balAt
   sakalasattvābhyuddharaṇapratijñayānuttarasamyaksambodhiprārthanākāram	sakala sattva aByudDaraNa pratijQayA anuttara samyaksamboDi prArTana AkAram
   ayatnata eva bodhicittamutpadyate / yathoktam āryadaśadharmasūtre 	ayatnatas eva boDi cittam utpadyate / yaToktam Arya daSa Darma sUtre 
   "sattvān atrāṇān aśaraṇān advīpān dṛṣṭvā karuṇāyai cittamupasthāpya	"sattvAn atrANAn aSaraNAn advIpAn dRzwvA karuNAyE cittam upasTApya
   yāvadanuttarāyāṃ samyaksaṃbodhau cittamutpādayati" iti / yadi nāma	yAvat anuttarAyAm samyaksaMboDO cittam utpAdayati" iti / yadi nAma
   parasamādāpanādināpi bodhisattvasya mahāsattvasya bodhicittamutpadyate,	para samAdApana AdinA api boDisattvasya mahAsattvasya boDi cittam utpadyate,
   tathāpi kṛpāvegato yat svayameva bodhisattvasya bodhicittamutpadyate (Bhk	taTA api kRpA vegataH yat svayam eva boDisattvasya boDi cittam utpadyate (Bhj 
   169) tad bhagavatā āryatathāgatajñānamudrāsamādhau viśiṣṭataratvena	169) tat BagavatA Arya taTAgata jQAna mudrA samADO viSizwatara tvena
   varṇitam /	varNitam /
   tadetad bodhicittaṃ pratipattivikalamapi saṃsāre mahāphalaṃ bhagavatā	tat etat boDi cittam pratipatti vikalam api saMsAre mahA Palam BagavatA
   varṇitam / tathā coktaṃ maitreyavimokṣe  "tad yathāpi nāma, kulaputra,	varNitam / taTA ca uktam mEtreya vimokze "tat yaTA api nAma, kula putra,
   bhinnamapi vajraratnaṃ sarvam ativiśiṣṭaṃ suvarṇālaṅkāramabhibhavati,	Binnam api vajra ratnam sarvam ati viSizwam suvarNa alaFkAram aBiBavati,
   vajraratnanāma ca na vijahāti, sarvadāridrayaṃ ca vinivartayati / evameva,	vajra ratna nAma ca na vijahAti, sarva dAridrayam ca vinivartayati / evam eva,
   kulaputra, pratipattibhinnamapi sarvajñatācittotpādavajraratnaṃ	kula putra, pratipatti Binnam api sarvajQa tA citta utpAda vajra ratnam
   sarvaśrāvakapratyekabuddhaguṇasuvarṇālaṅkāram abhibhavati / bodhicittanāma	sarva SrAvaka pratyekabudDa guNa suvarNa alaFkAram aBiBavati / boDi citta nAma
   na vijahāti, saṃsārādāridrayaṃ ca vinivartayati" iti /	na vijahAti, saMsAra AdAridrayam ca vinivartayati" iti /
   yo 'pi pāramitāsu sarveṇa sarvaṃ sarvathā śikṣitum asamarthaḥ, tenāpi	yaH api pAramitAsu sarveNa sarvam sarvaTA Sikzitum asamarTaH, tena api
   bodhicittam utpādanīyameva, upāyaparigraheṇa mahāphalatvāt / yathā coktam	boDi cittam utpAdanIyam eva, upAya parigraheNa mahA Pala tvAt / yaTA ca uktam
   āryarājāvavādakasūtre  "yāsmāt tvaṃ mahārāja, bahukṛtyo bahukaraṇiyaḥ,	Arya rAjO= avAdaka sUtre "yA asmAt tvam mahA rAja, bahu kRtyaH bahu karaNiyaH,
   asahaḥ sarveṇa sarvaṃ sarvathā dānapāramitāyāṃ śikṣitum, yāvat	asahaH sarveNa sarvam sarvaTA dAna pAramitAyAm Sikzitum, yAvat 
   prajñāpāramitāyāṃ śikṣitum / tasmāttarhi tvaṃ mahārāja evameva sambodhau	prajQApAramitAyAm Sikzitum / tasmAt tarhi tvam mahA rAja evam eva samboDO
   chandaṃ śraddhāṃ prārthanāṃ praṇidhiṃ ca, gacchannapi tiṣṭhannapi niṣaṇṇo	Candam SradDAm prArTanAm praNiDim ca, gacCan= api tizWan= api nizaNNaH 
   'pi śayāno 'pi jāgradapi bhuñjāno 'pi pibannapi, satatasamitam anusmara,	api SayAnaH api jAgrat api BuQjAnaH api piban= api, satata samitam anusmara,
   manasikuru bhāvaya / sarvabuddhabodhisattvārya	manasikuru BAvaya / sarva budDa boDisattva Arya
   śrāvakapratyekabuddhapṛthagjanānām ātmanaśca atītānāgatapratyutpannāni	SrAvaka pratyekabudDa pRTagjanAnAm AtmanaH ca atIta anAgata pratyutpannAni
   kuśalamūlāni piṇḍayitvā, anumodasva agrayā anumodanayā / anumodya ca	kuSala mUlAni piNxayitvA, anumodasva agrayA anumodanayA / anumodya ca
   sarvabuddhabodhisattvapratyekabuddhāryaśrāvakāṇāṃ pūjākarmāṇi niryātaya /	sarva budDa boDisattva pratyekabudDa Arya SrAvakANAm pUjA karmANi niryAtaya /
   niryātya ca sarvasattvasādhāraṇāni kuru / tataḥ sarvasattvānāṃ yāvat	niryAtya ca sarva sattva sADAraNAni kuru / tatas sarva sattvAnAm yAvat 
   sarvajñatāpratilambhāya sarvabuddhadharmaparipūraṇāya dine (Bhk 170)	sarvajQa tA pratilamBAya sarva budDa Darma paripUraNAya dine (Bhj 170)
   traikālyam anuttarāyāṃ samyaksaṃbodhau pariṇāmaya / evaṃ khalu tvaṃ	trEkAlyam anuttarAyAm samyaksaMboDO pariNAmaya / evam Kalu tvam
   mahārāja, pratipanna, san rājyaṃ ca kārayiṣyasi, rājyakṛtyāni ca na	mahA rAja, pratipanna, san rAjyam ca kArayizyasi, rAjya kRtyAni ca na
   hāpayisyasi, [bodhisambhārāṃśca paripūrayiṣyāsi]" / ityādi kamuktvāha 	hApayisyasi, [boDi samBArAn= ca paripUrayizyAsi]" / ityAdi kam uktvA Aha 
   "atha khalu punastvaṃ mahārāja, samyaksambodhicittakuśalamūlavipākena	"aTa Kalu punar tvam mahA rAja, samyaksamboDi citta kuSala mUla vipAkena
   anekakṛtyo deveṣu upapanno 'bhūḥ / anekakṛtyo manuṣyeṣu upapanno 'bhūḥ /	aneka kRtyaH devezu upapannaH aBUH / aneka kRtyaH manuzyezu upapannaH aBUH /
   sarvāsu ca devamanuṣyopapattiṣu ādhipatyaṃ kārayiṣyasi" / iti vistaraḥ /	sarvAsu ca deva manuzya upapattizu ADipatyam kArayizyasi" / iti vistaraH /
   yat punaḥ pratipattisāraṃ bodhicittaṃ tad atitarāṃ vipulaṃ phalam iti	yat punar pratipatti sAram boDi cittam tat atitarAm vipulam Palam iti
   siddhim / ata eva āryavīradattaparipṛcchāyām uktam 	sidDim / atas eva Arya vIra datta paripRcCAyAm uktam 
   bodhicittād vai yat puṇyaṃ tacca rūpi bhaved yadi /	boDi cittAt vE yat puNyam tat ca rUpi Bavet yadi /
   ākāśadhātuṃ sampūrya bhūyaścottaritaṃ bhavet //	AkASa DAtum sampUrya BUyas ca uttaritam Bavet //
   gaṅgābālukasaṃkhyāni buddhakṣetrāṇi yo naraḥ /	gaFgA bAluka saMKyAni budDa kzetrANi yaH naraH /
   dadyād ratnaprapūrṇāni lokanāthebhya eva hi //	dadyAt ratna prapUrNAni loka nATeByaH eva hi //
   yaścaikaḥ prāñjalirbhūtvā cittaṃ bodhāya nāmati /	yaH ca ekaH prAQjaliH BUtvA cittam boDAya nAmati /
   iyaṃ viśiṣyate pūjā yasyā anto na vidyate // iti /	iyam viSizyate pUjA yasyAH antaH na vidyate // iti /
   yathā āryagaṇḍavyūhe varṇitam  "bodhicittaṃ kulaputra! bījabhūtaṃ	yaTA Arya gaNxa vyUhe varNitam "boDi cittam kula putra! bIja BUtam
   sarvabuddhadharmāṇām" iti vistaraḥ / tacca bodhicittaṃ dvividhaṃ	sarva budDa DarmANAm" iti vistaraH / tat ca boDi cittam dviviDam
   praṇīdhicittaṃ prasthānacittaṃ ca / āryagaṇḍavyūhe varṇitam, tathā 	praNIDi cittam prasTAna cittam ca / Arya gaNxa vyUhe varNitam, taTA 
   "rdurlabhāste, kulaputra, sattvāḥ sattvaloke ye 'nuttarāyāṃ	"rduH laBAH te, kula putra, sattvAH sattva loke ye anuttarAyAm
   samyaksambodhau praṇidadhati iti / tato 'pi durlabhatamāste sattvā ye	samyaksamboDO praNidaDati iti / tatas api durlaBatamAH te sattvAH ye
   'nuttarāṃ samyaksambodhim abhisamprasthitāḥ" iti / sakalajagato hitāya	anuttarAm samyaksamboDim aBisamprasTitAH" iti / sakala jagataH hitAya
   buddho bhaveyamiti prathamataraṃ prārthanākārā cetanā (Bhk 171)	budDaH Baveyam iti praTamataram prArTanA AkArA cetanA (Bhj 171)
   tatpraṇidhicittam / yataḥ prabhṛti saṃvaragrahaṇe vartamānāḥ sambhāreṣu	tad praNiDi cittam / yatas praBRti saMvara grahaNe vartamAnAH samBArezu
   dṛśyante tatprasthānacittam /	dRSyante tad prasTAna cittam /
   saṃvaraśca vijñātapratibalasaṃvarasthitāt kalyāṇamitrāt parato grāhyaḥ /	saMvaraH ca vijQAta pratibala saMvara sTitAt kalyANa mitrAt paratas grAhyaH /
   asati pratirūpe grāhake buddhabodhisattvān āmukhīkṛtya yathā	asati pratirUpe grAhake budDa boDisattvAn AmuKIkRtya yaTA
   mañjuśrīyāmbararājabhūtena bodhicittamutpāditaṃ tathotpādanīyaḥ /	maQjuSrIya ambara rAja BUtena boDi cittam utpAditam taTA utpAdanIyaH /
   evamutpāditabodhicitto bodhisattvaḥ svayameva dānādi dadāti pratipattau	evam utpAdita boDi cittaH boDisattvaH svayam eva dAna Adi dadAti pratipattO
   prayokṣyate, na hi svayamadāntaḥ parān damayatīti mattvā / na cāpi vinā	prayokzyate, na hi svayam adAntaH parAn damayati iti mattvA / na ca api vinA
   pratipattyā bodhiravāpyate / yathoktam āryagayāśīrṣe  "pratipattisārāṇāṃ	pratipattyA boDiH avApyate / yaToktam Arya gayASIrze "pratipatti sArANAm
   bodhisattvānāṃ bodhirnāpratipattisārāṇām" iti / āryasamādhirāje coktam 	boDisattvAnAm boDiH na apratipatti sArANAm" iti / Arya samADi rAje ca uktam 
   "tasmāt pratipattisāro bhaviṣyāmi ityevaṃ tvayā kumāra, śikṣitavyam / tat	"tasmAt pratipattisAraH BavizyAmi iti evam tvayA kumAra, Sikzitavyam / tat 
   kasya hetoḥ? pratipattisārasya hi, kumāra, na durlabhā bhavatyanutarā	kasya hetoH? pratipattisArasya hi, kumAra, na durlaBA Bavati anutarA
   samyaksaṃbodhiḥ" iti /	samyaksaMboDiH" iti /
   sā ca pratipattirbodhisattvasya pāramitāpramāṇasaṅgrahavastvādibhedena	sA ca pratipattiH boDisattvasya pAramitA pramANa saFgraha vastu Adi Bedena
   akṣayamatiratnameghādisūtreṣu vistareṇa varṇitā / tathā	akzayam ati ratna meGa Adi sUtrezu vistareNa varNitA / taTA
   laukikaśilpādisthāneṣvapi yāvad bodhisattvena śikṣitavyam / kiṃ	lOkika Silpa Adi sTAnezu api yAvat boDisattvena Sikzitavyam / kim
   punarlokottareṣu dhyānādiṣu / anyathā kathaṃ sarvākāraṃ sattvārthaṃ kuryuḥ	punar loka uttarezu DyAna Adizu / anyaTA kaTam sarva AkAram sattva arTam kuryuH
   / sā ceyaṃ saṃkṣepeṇa bodhiattvasya prajñopāyarūpā pratipattirna	/ sA ca iyam saMkzepeNa boDiattvasya prajQA upAya rUpA pratipattiH na
   prajñāmātraṃ nopāyamātram / yathā āryavimalakirtinirdeśe  "prajñārahita	prajQAmAtram na upAya mAtram / yaTA Arya vimala kirti nirdeSe "prajQA rahita
   upāya upāyarahitā ca prajñā bodhisattvānāṃ bandhanam" ityuktam /	upAyaH upAya rahitA ca prajQA boDisattvAnAm banDanam" iti uktam /
   upāyasahitā prajñā prajñāsahitā upāyo mokṣatvena varṇitaḥ / āryagayāśīrṣe	upAya sahitA prajQA prajQA sahitAH upAyaH mokza tvena varNitaH / Arya gayASIrze
   coktam  "dvāvimau bodhisattvānāṃ saṃkṣiptau mārgau / dvābhyāṃ mārgābhyāṃ	ca uktam "dvO= imO boDisattvAnAm saMkziptO mArgO / dvAByAm mArgAByAm
   samanvāgatā bodhisattvā mahāsattvāḥ kṣipramanuttarāṃ (Bhk 172)	samanvAgatAH boDisattvAH mahAsattvAH kzipram anuttarAm (Bhj 172)
   samyaksaṃbodhim abhisambhotsyante / katamau dvau, upāyaśca prajñā ca /	samyaksaMboDim aBisamBotsyante / katamO dvO, upAyaH ca prajQA ca /
   "iti /	"iti /
   tatra prajñāpāramitāṃ tyaktvā dānādipāramitāsaṅgrahavastvādikaṃ sarvameva	tatra prajQApAramitAm tyaktvA dAna Adi pAramitA saFgraha vastu Adikam sarvam eva
   kṣetrapariśuddhimahābhoga[bahu]	kzetra pariSudDi mahA Boga[ bahu]
   parivārasampatsattvaparipākanirmāṇādikasakalābhyudayadharmasaṅgrāhakaṃ	parivAra sampad sattva paripAka nirmANa Adi ka sakala aByudaya Darma saFgrAhakam
   kuśalam upāya ucyante / prajñā tu tasyaiva	kuSalam upAyaH ucyante / prajQA tu tasya eva
   copāyasyāviparītasvabhāvaparicchedahetuḥ / tayā hi samyagupāyaṃ	ca upAyasya aviparIta svaBAva paricCeda hetuH / tayA hi samyak upAyam
   vivicyāviparyasto yathāvat svaparārthānuṣṭhānād viṣamiva mantraparigṛhītaṃ	vivicya aviparyastaH yaTAvat sva para arTa anuzWAnAt vizam iva mantra parigRhItam
   bhuñjāno na saṃkliśyate / tathā coktamatraiva sutre  "upāyaḥ	BuQjAnaH na saMkliSyate / taTA ca uktam atra eva sutre "upAyaH
   saṅgrahajñānam prajñā paricchedajñānam /" iti / āryaśraddhābalādhāne	saFgraha jQAnam prajQA paricCeda jQAnam /" iti / Arya SradDA bala ADAne
   coktam  "upāyakauśalaṃ katamam? yat saṅgrahaḥ sarvadharmāṇāṃ / prajñā	ca uktam "upAya kOSalam katamam? yat saFgrahaH sarva DarmANAm / prajQA
   katamā? yat sarvadharmāṇām asambhadena kauśalam" iti / etau prajñopāyau	katamA? yat sarva DarmANAm asamBadena kOSalam" iti / etO prajQA upAyO
   dvāvapi sarvakālameva sevanīyau bhūmipraviṣṭairapi na tu prajñāmātraṃ	dvO= api sarva kAlam eva sevanIyO BUmi pravizwEH api na tu prajQAmAtram
