   Ekaviṃśatistotra	EkaviMSati-stotra
   namas triratnamudrāṅke hṛdyāṅgulivibhūṣite /	namaH tri-ratna-mudrA-aFke hRdya-aFguli-viBUzite /
   bhūṣitāśeṣadikcakranikare sukulākule // Nevs_9	BUzita-aSeza-diS-cakra-nikare su-kula-Akule // NevH-_9
   namaḥ pramuditāṭopamukuṭākṣiptasāriṇi /	namaH pramudita-Awopa-mukuwa-Akzipta-sAriNi /
   hasatprahasattuttāre māralokabhayaṃkari // Nevs_10	hasat-prahasat-tuttAre mAra-loka-BayaMkari // NevH-_10
   namaḥ samantabhūpālāpātālākarṣaṇakṣaṇe /	namaH samanta-BUpAla-apAtAla-AkarzaNa-kzaNe /
   bhṛkuṭikṛtahūṃkāre sarvāpadavimocani // Nevs_11	BRkuwi-kRta-hUMkAre sarva-Apada-vimocani // NevH-_11
   namaḥ śikhaṇḍakhaṇḍendumukuṭābharaṇojjvale /	namaH SiKaNxa-KaNxa-indu-mukuwa-ABaraNa-ujjvale /
   amitābhatathābhāre bhāsvare kiraṇadhruve // Nevs_12	amita-ABa-taTA-BAre BAsvare kiraNa-Druve // NevH-_12
   namaḥ karatalāghātacaraṇāhatabhūtale /	namaH kara-tala-AGAta-caraNa-Ahata-BU-tale /
   bhṛkuṭikṛtahūṃkārasaptapātālanāśini // Nevs_13	BRkuwi-kRta-hUMkAra-sapta-pAtAla-nASini // NevH-_13
   namaḥ kalpāntahutabhugjvālāmālāntare sthite /	namaH kalpa-anta-hutaBuj-jvAlA-mAlA-antare sTite /
   ālīḍhamuditābaddharipucakravināśini // Nevs_14	AlIXa-mudita-abadDa-ripu-cakra-vinASini // NevH-_14
   namaḥ śive śubhe śānte śāntanirvāṇagocare /	namaH Sive SuBe SAnte SAnta-nirvANa-gocare /
   svāhā praṇamya saṃyukte mahāpātakanāśini // Nevs_15	svAhA praNamya saMyukte mahApAtaka-nASini // NevH-_15
   namaḥ pramuditābaddharipugātraprabhedani /	namaH pramudita-abadDa-ripu-gAtra-praBedani /
   daśākṣarapādanyāse vidyāhuṃkāradīpite // Nevs_16	daSa-akzara-pAda-nyAse vidyA-huMkAra-dIpite // NevH-_16
   namas ture pādāghāte huṃkārakārajīvite /	namaH ture pAda-AGAte huMkAra-kAra-jIvite /
   merumaṇḍalakailāśabhūvanatrayacāraṇi // Nevs_17	meru-maNxala-ka-elASa-BUvana-traya-cAraNi // NevH-_17
   namaḥ surāsarākārahariṇīkakare sthite /	namaH sura-asara-AkAra-hariNI-ka-kare sTite /
   haradviruktaphaṭkāra aśeṣaviśanāśini // Nevs_18	harat-virukta-PawkAra aSeza-viSana-ASini // NevH-_18
   namaḥ suragaṇayakṣāsurakinnarasevite /	namaH sura-gaNa-yakza-asura-kinnara-sevite /
   ābaddhamuditābhogakari duḥsvapnanāśini // Nevs_19	AbadDa-mudita-ABoga-kari duHsvapna-nASini // NevH-_19
   namaś candrārkasaṃpūrṇa nayanadyutisvabhāsvare /	namaH candra-arka-saMpUrNa nayana-dyuti-svaBAsvare /
   tāra dviruktottāre viṣamajvalanāśini // Nevs_20	tAra dvirukta-uttAre vizamajvala-na-ASini // NevH-_20
   namas tritalavinyāse śivaśaktisamanvite /	namaH tri-tala-vinyAse Siva-Sakti-samanvite /
   grahavetālayakṣādyanāśani pravare ture // Nevs_21	graha-veta-Ala-yakza-Adya-nASani pravare ture // NevH-_21
   mantramūlam idaṃ stotraṃ namaskāraikaviṃśati /	mantra-mUlam idam stotram namaskAra-ekaviMSati /
   yaḥ paṭhet prāyaśo dhīmān devyā bhaktisamanvitaḥ // 1	yaH paWet prAyaSas DImAn devyAH Bakti-samanvitaH // 1
   so 'yaṃ vā prātar utthāya smaret sarvābhayapradaṃ /	saH ayam vA prAtar utTAya smaret sarva-aBaya-pradam /
   sarvapāpapraśamanaṃ sarvadurgatināśanam // 2	sarva-pApa-praSamanam sarva-durgati-nASanam // 2
   abhiṣiktobhaya tūrṇaṃ asmin mahattām āsādya /	aBiziktA-uBaya tUrNam asmin mahat-tAm AsAdya /
   viṣaṃ tasya mahāghoraṃ smaraṇāt pralayaṃ yānti // 3	vizam tasya mahA-Goram smaraNAt pralayam yAnti // 3
   grahajvalaviṣārtānām anyeṣāṃ caiva satvānām /	graha-jvala-viza-ArtAnAm anyezAm ca-eva satvAnAm /
   putrakāmo labhet putraṃ sarvakāmān avāpnoti // 4	putra-kAmaH laBet putram sarva-kAmAn avApnoti // 4
   saptābhir jinakoṭibhiḥ so 'nte bauddhapadaṃ vrajet /	saptABiH jina-kowiBiH saH ante bOdDa-padam vrajet /
   sthāvaraṃ vātha jaṅgamaṃ sāḍ idaṃ pīḍam eva ca // 5	sTAvaram vA-aTa jaFgamam sAj idam pIxam eva ca // 5
   paramārtivināśanaṃ dvitrisaptābhivartinām /	parama-Arti-vinASanam dvi-tri-sapta-aBivartinAm /
   dhanakāmo labhed dhanaṃ na vighnaiḥ pratihanyate // 6	Dana-kAmaH laBet Danam na viGnEH pratihanyate // 6
   iti śrīsaṃyaksaṃbuddhavairocanabhāṣitaṃ bhagavatyāryatāradevyā	iti SrI-saMyaksaMbudDa-vErocana-BAzitam Bagavati-Arya-tAradevyA
   namaskāraikaviṃśatistotraṃ saṃpūrṇaṃ samāptaṃ // śubham //	namaskAra-ekaviMSati-stotram saMpUrNam samAptam // SuBam //
