   kaṭhopaniṣat	kaWopanizad-
   mahābhūmau naciketas tvam edhi kāmānāṃ tvā kāmabhājaṃ karomi // KaU_1.24	mahA-BUmO naciketaH tvam eDi kAmAnAm tvA kAma-BAjam karomi // KaU_1.24
   ye ye kāmā durlabhā martyaloke sarvān kāmāṃś chandataḥ prārthayasva /	ye ye kAmAH durlaBAH martya-loke sarvAn kAmAn CandataH prArTayasva /
   imā rāmāḥ sarathāḥ satūryā na hīdṛśā lambhanīyā manuṣyaiḥ /	imAH rAmAH sa-raTAH sa-tUryAH na hi-IdRSAH lamBanIyAH manuzyEH /
   ābhir matprattābhiḥ paricārayasva naciketo maraṇaṃ mānuprākṣīḥ // KaU_1.25	ABiH mad-prattABiH paricArayasva naciketaH maraNam mA-anuprAkzIH // KaU_1.25
   śvobhāvā martyasya yad antakaitat sarvendriyāṇāṃ jarayanti tejaḥ /	SvoBAvAH martyasya yat antaka-etat sarva-indriyANAm jarayanti tejaH /
   api sarvaṃ jīvitam alpam eva tavaiva vāhās tava nṛtyagīte // KaU_1.26 //	api sarvam jIvitam alpam eva tava-eva vAhAH tava nRtya-gIte // KaU_1.26 //
   na vittena tarpaṇīyo manuṣyo lapsyāmahe vittam adrākṣma cet tvā /	na vittena tarpaNIyaH manuzyaH lapsyAmahe vittam adrAkzma ced tvA /
   jīviṣyāmo yāvad īśiṣyasi tvaṃ varas tu me varaṇīyaḥ sa eva // KaU_1.27 //	jIvizyAmaH yAvat ISizyasi tvam varaH tu me varaNIyaH saH eva // KaU_1.27 //
   ajīryatām amṛtānām upetya jīryan martyaḥ kvadhaḥsthaḥ prajānan /	ajIryatAm amRtAnAm upetya jIryan martyaH ku-aDaHsTaH prajAnan /
   abhidhyāyan varṇaratipramodān atidīrghe jīvite ko rameta // KaU_1.28 //	aBiDyAyan varNa-rati-pramodAn ati-dIrGe jIvite kaH rameta // KaU_1.28 //
   yasminn idaṃ vicikitsanti mṛtyo yat sāmparāye mahati brūhi nas tat /	yasmin idam vicikitsanti mRtyo yat sAmparAye mahati brUhi naH tat /
   yo 'yaṃ varo gūḍham anupraviṣṭo nānyaṃ tasmān naciketā vṛṇīte // KaU_1.29	yaH ayam varaH gUXam anupravizwaH na-anyam tasmAt naciketAH vRNIte // KaU_1.29
   // iti prathamā vallī //	// iti praTamA vallI //
   anyac chreyo 'nyad utaiva preyas te ubhe nānārthe puruṣaṃ sinītaḥ /	anyat SreyaH anyat uta-eva preyaH te uBe nAnA-arTe puruzam sinItaH /
   tayoḥ śreya ādadānasya sādhu bhavati hīyate 'rthād ya u preyo vṛṇīte //	tayoH SreyaH AdadAnasya sADu Bavati hIyate arTAt yaH u preyaH vRNIte //
   KaU_2.1 //	KaU_2.1 //
   śreyaś ca preyaś ca manuṣyam etas tau saṃparītya vivinakti dhīraḥ /	SreyaH ca preyaH ca manuzyam etaH tO saMparItya vivinakti DIraH /
   śreyo hi dhīro 'bhi preyaso vṛṇīte preyo mando yogakṣemād vṛṇīte //	SreyaH hi DIraH aBi preyasaH vRNIte preyaH mandaH yogakzemAt vRNIte //
   KaU_2.2 //	KaU_2.2 //
   sa tvaṃ priyān priyarūpāṃś ca kāmān abhidhyāyan naciketo 'tyasrākṣīḥ /	sa tvam priyAn priya-rUpAn ca kAmAn aBiDyAyan naciketaH atyasrAkzIH /
   naitāṃ sṛṅkāṃ vittamayīm avāpto yasyāṃ majjanti bahavo manuṣyāḥ // KaU_2.3	na-etAm sRFkAm vitta-mayIm avAptaH yasyAm majjanti bahavaH manuzyAH // KaU_2.3
   dūram ete viparīte viṣūcī avidyā yā ca vidyeti jñātā /	dUram ete viparIte vizUcI avidyA yA ca vidyA-iti jQAtA /
   vidyābhīpsinaṃ naciketasaṃ manye na tvā kāmā bahavo 'lolupanta // KaU_2.4	vidyA-aBIpsinam naciketasam manye na tvA kAmAH bahavaH alolupanta // KaU_2.4
   avidyāyām antare vartamānāḥ svayaṃ dhīrāḥ paṇḍitaṃ manyamānāḥ /	avidyAyAm antare vartamAnAH svayam DIrAH paNxitam manyamAnAH /
   dandramyamāṇāḥ pariyanti mūḍhā andhenaiva nīyamānā yathāndhāḥ // KaU_2.5	dandramyamANAH pariyanti mUXAH anDena-eva nIyamAnAH yaTA-anDAH // KaU_2.5
   na sāmparāyaḥ pratibhāti bālaṃ pramādyantaṃ vittamohena mūḍham /	na sAmparAyaH pratiBAti bAlam pramAdyantam vitta-mohena mUXam /
   ayaṃ loko nāsti para iti mānī punaḥ punar vaśam āpadyate me // KaU_2.6 //	ayam lokaH na-asti paraH iti mAnI punar punar vaSam Apadyate me // KaU_2.6 //
   śravaṇāyāpi bahubhir yo na labhyaḥ śṛṇvanto 'pi bahavo yaṃ na vidyuḥ /	SravaNAya-api bahuBiH yaH na laByaH SRNvantaH api bahavaH yam na vidyuH /
   āścaryo vaktā kuśalo 'sya labdhā āścaryo jñātā kuśalānuśiṣṭaḥ // KaU_2.7	AScaryaH vaktA kuSalaH asya labDA AScaryaH jQAtA kuSala-anuSizwaH // KaU_2.7
   na nareṇāvareṇa prokta eṣa suvijñeyo bahudhā cintyamānaḥ /	na nareNa-avareNa proktaH eza su-vijQeyaH bahuDA cintyamAnaH /
   ananyaprokte gatir atra nāsty aṇīyān hy atarkyam aṇupramāṇāt // KaU_2.8 //	ananya-prokte gatiH atra na-asti aNIyAn hi atarkyam aNu-pramANAt // KaU_2.8 //
   naiṣā tarkeṇa matir āpaneyā proktānyenaiva sujñānāya preṣṭha /	na-ezA tarkeNa matiH ApaneyA proktA-anyena-eva su-jQAnAya prezWa /
   yāṃ tvam āpaḥ satyadhṛtir batāsi tvādṛṅ no bhūyān naciketaḥ preṣṭā //	yAm tvam ApaH satya-DRtiH bata-asi tvAdRS naH BUyAt naciketaH prezwA //
   KaU_2.9 //	KaU_2.9 //
   jānāmy ahaṃ śevadhir ity anityaṃ na hy adhruvaiḥ prāpyate hi dhruvaṃ tat /	jAnAmi aham SevaDiH iti anityam na hi aDruvEH prApyate hi Druvam tat /
   tato mayā nāciketaś cito 'gnir anityair dravyaiḥ prāptavān asmi nityam //	tatas mayA nAciketaH citaH agniH anityEH dravyEH prAptavAn asmi nityam //
   KaU_2.10 //	KaU_2.10 //
   kāmasya āptiṃ jagataḥ pratiṣṭhāṃ krator anantyam abhayasya pāram /	kAmasya Aptim jagataH pratizWAm kratoH anantyam aBayasya pAram /
   stomamahad urugāyaṃ pratiṣṭhāṃ dṛṣṭvā dhṛtyā dhīro naciketo 'tyasrākṣīḥ //	stoma-mahat uru-gAyam pratizWAm dRzwvA DRtyA DIraH naciketaH atyasrAkzIH //
   KaU_2.11 //	KaU_2.11 //
   taṃ durdarśaṃ gūḍham anupraviṣṭaṃ guhāhitaṃ gahvareṣṭhaṃ purāṇam /	tam durdarSam gUXam anupravizwam guhA-hitam gahvarezWam purANam /
   adhyātmayogādhigamena devaṃ matvā dhīro harṣaśokau jahāti // KaU_2.12 //	aDyAtma-yoga-aDigamena devam matvA DIraH harza-SokO jahAti // KaU_2.12 //
   etac chrutvā saṃparigṛhya martyaḥ pravṛhya dharmyam aṇum etam āpya /	etat SrutvA saMparigRhya martyaH pravRhya Darmyam aNum etam Apya /
   sa modate modanīyaṃ hi labdhvā vivṛtaṃ sadma naciketasaṃ manye // KaU_2.13	sa modate modanIyam hi labDvA vivRtam sadma naciketasam manye // KaU_2.13
   anyatra dharmād anyatrādharmād anyatrāsmāt kṛtākṛtāt /	anyatra DarmAt anyatra-aDarmAt anyatra-asmAt kRta-akRtAt /
   anyatra bhūtāc ca bhavyāc ca yat tat paśyasi tad vada // KaU_2.14 //	anyatra BUtAt ca BavyAt ca yat tat paSyasi tat vada // KaU_2.14 //
   sarve vedā yat padam āmananti tapāṃsi sarvāṇi ca yad vadanti /	sarve vedAH yat padam Amananti tapAMsi sarvANi ca yat vadanti /
   yad icchanto brahmacaryaṃ caranti tat te padaṃ saṃgraheṇa bravīmi //	yat icCantaH brahmacaryam caranti tat te padam saMgraheNa bravImi //
   om ity etat // KaU_2.15 //	om iti etat // KaU_2.15 //
   etad dhy evākṣaraṃ brahma etad dhy evākṣaraṃ param /	etat Di eva-akzaram brahma etat Di eva-akzaram param /
   etad dhy evākṣaraṃ jñātvā yo yad icchati tasya tat // KaU_2.16 //	etat Di eva-akzaram jQAtvA yaH yat icCati tasya tat // KaU_2.16 //
   etad ālambanaṃ śreṣṭham etad ālambanaṃ param /	etat Alambanam SrezWam etat Alambanam param /
   etad ālambanaṃ jñātvā brahmaloke mahīyate // KaU_2.17 //	etat Alambanam jQAtvA brahma-loke mahIyate // KaU_2.17 //
   na jāyate mriyate vā vipaścin nāyaṃ kutaścin na babhūva kaścit /	na jAyate mriyate vA vipaScit na-ayam kutaScid na baBUva kaScid /
   ajo nityaḥ śāśvato 'yaṃ purāṇo na hanyate hanyamāne śarīre // KaU_2.18 //	ajaH nityaH SASvataH ayam purANaH na hanyate hanyamAne SarIre // KaU_2.18 //
   hantā cen manyate hantuṃ hataś cen manyate hatam /	hantA ced manyate hantum hataH ced manyate hatam /
   ubhau tau na vijānīto nāyaṃ hanti na hanyate // KaU_2.19 //	uBO tO na vijAnItaH na-ayam hanti na hanyate // KaU_2.19 //
   aṇor aṇīyān mahato mahīyān ātmāsya jantor nihito guhāyām /	aNoH aNIyAn mahataH mahIyAn AtmA-asya jantoH nihitaH guhAyAm /
   tam akratuḥ paśyati vītaśoko dhātuprasādān mahimānam ātmanaḥ // KaU_2.20	tam akratuH paSyati vIta-SokaH DAtu-prasAdAt mahimAnam AtmanaH // KaU_2.20
   āsīno dūraṃ vrajati śayāno yāti sarvataḥ /	AsInaH dUram vrajati SayAnaH yAti sarvatas /
   kas taṃ madāmadaṃ devaṃ mad anyo jñātum arhati // KaU_2.21 //	kaH tam madAmadam devam mat anyaH jQAtum arhati // KaU_2.21 //
   aśarīraṃ śarīreṣu anavastheṣv avasthitam /	aSarIram SarIrezu anavasTezu avasTitam /
   mahāntaṃ vibhum ātmānaṃ matvā dhīro na śocati // KaU_2.22 //	mahAntam viBum AtmAnam matvA DIraH na Socati // KaU_2.22 //
   nāyam ātmā pravacanena labhyo na medhayā na bahunā śrutena /	na-ayam AtmA pravacanena laByaH na meDayA na bahunA Srutena /
   yam evaiṣa vṛṇute tena labhyas tasyaiṣa ātmā vivṛṇute tanūṃ svām //	yam eva-eza vRNute tena laByaH tasya-ezaH AtmA vivRNute tanUm svAm //
   KaU_2.23 //	KaU_2.23 //
   nāvirato duścaritān nāśānto nāsamāhitaḥ /	na-avirataH duScaritAt na-aSAntaH na-asamAhitaH /
   nāśāntamānaso vāpi prajñānenainam āpnuyāt // KaU_2.24 //	na-aSAnta-mAnasaH vA-api prajQAnena-enam ApnuyAt // KaU_2.24 //
   yasya brahma ca kṣatraṃ ca ubhe bhavata odanaḥ /	yasya brahma ca kzatram ca uBe BavataH odanaH /
   mṛtyur yasyopasecanaṃ ka itthā veda yatra saḥ // KaU_2.25 //	mRtyuH yasya-upasecanam kaH itTA veda yatra saH // KaU_2.25 //
   // iti dvitīyā vallī //	// iti dvitIyA vallI //
   ṛtaṃ pibantau sukṛtasya loke guhāṃ praviṣṭau parame parārdhe /	Rtam pibantO sukRtasya loke guhAm pravizwO parame parArDe /
   chāyātapau brahmavido vadanti pañcāgnayo ye ca triṇāciketāḥ // KaU_3.1 //	CAyA-AtapO brahma-vidaH vadanti paQca-agnayaH ye ca triNAciketAH // KaU_3.1 //
   yaḥ setur ījānānām akṣaraṃ brahma yat param /	yaH setuH IjAnAnAm akzaram brahma yat param /
   abhayaṃ titīrṣatāṃ pāraṃ nāciketaṃ śakemahi // KaU_3.2 //	aBayam titIrzatAm pAram nAciketam Sakemahi // KaU_3.2 //
   ātmānaṃ rathinaṃ viddhi śarīraṃ ratham eva tu /	AtmAnam raTinam vidDi SarIram raTam eva tu /
   buddhiṃ tu sārathiṃ viddhi manaḥ pragraham eva ca // KaU_3.3 //	budDim tu sAraTim vidDi manaH pragraham eva ca // KaU_3.3 //
   indriyāṇi hayān āhur viṣayāṃs teṣu gocarān /	indriyANi hayAn AhuH vizayAn tezu gocarAn /
   ātmendriyamanoyuktaṃ bhoktety āhur manīṣiṇaḥ // KaU_3.4 //	Atma-indriya-manaH-yuktam BoktA-iti AhuH manIziNaH // KaU_3.4 //
   yas tv avijñānavān bhavaty ayuktena manasā sadā /	yaH tu avijQAnavAn Bavati ayuktena manasA sadA /
   tasyendriyāṇy avaśyāni duṣṭāśvā iva sāratheḥ // KaU_3.5 //	tasya-indriyANi avaSyAni duzwa-aSvAH iva sAraTeH // KaU_3.5 //
   yas tu vijñānavān bhavati yuktena manasā sadā /	yaH tu vijQAnavAn Bavati yuktena manasA sadA /
   tasyendriyāṇi vaśyāni sadaśvā iva sāratheḥ // KaU_3.6 //	tasya-indriyANi vaSyAni sat-aSvAH iva sAraTeH // KaU_3.6 //
   yas tv avijñānavān bhavaty amanaskaḥ sadāśuciḥ /	yaH tu avijQAnavAn Bavati amanaskaH sadA-aSuciH /
   na sa tat padam āpnoti saṃsāraṃ cādhigacchati // KaU_3.7 //	na sa tat padam Apnoti saMsAram ca-aDigacCati // KaU_3.7 //
   yas tu vijñānavān bhavati samanaskaḥ sadā śuciḥ /	yaH tu vijQAnavAn Bavati samanaskaH sadA SuciH /
   sa tu tat padam āpnoti yasmād bhūyo na jāyate // KaU_3.8 //	sa tu tat padam Apnoti yasmAt BUyas na jAyate // KaU_3.8 //
   vijñānasārathir yas tu manaḥ pragrahavān naraḥ /	vijQAna-sAraTiH yaH tu manaH pragrahavAn naraH /
   so 'dhvanaḥ pāram āpnoti tad viṣṇoḥ paramaṃ padam // KaU_3.9 //	saH aDvanaH pAram Apnoti tat vizNoH paramam padam // KaU_3.9 //
   indriyebhyaḥ parā hy arthā arthebhyaś ca paraṃ manaḥ /	indriyeByaH parA hi arTAH arTeByaH ca param manaH /
   manasas tu parā buddhir buddher ātmā mahān paraḥ // KaU_3.10 //	manasaH tu parA budDiH budDeH AtmA mahAn paraH // KaU_3.10 //
   mahataḥ param avyaktam avyaktāt puruṣaḥ paraḥ /	mahataH param avyaktam avyaktAt puruzaH paraH /
   puruśān na paraṃ kiṃcit sā kāṣṭhā sā parā gatiḥ // KaU_3.11 //	puruSAt na param kiMcid sA kAzWA sA parA gatiH // KaU_3.11 //
   eṣa sarveṣu bhūteṣu gūḍho 'tmā na prakāśate /	eza sarvezu BUtezu gUXaH atmA na prakASate /
   dṛṣyate tv agryayā buddhyā sūkṣmayā sūkṣmadarśibhiḥ // KaU_3.12 //	dRzyate tu agryayA budDyA sUkzmayA sUkzma-darSiBiH // KaU_3.12 //
   yacched vāṅmanasī prājñas tad yacchej jñāna ātmani /	yacCet vAc-manasI prAjQaH tat yacCet jQAnaH Atmani /
   jñānam ātmani mahati niyacchet tad yacchec chānta ātmani // KaU_3.13 //	jQAnam Atmani mahati niyacCet tat yacCet SAntaH Atmani // KaU_3.13 //
   uttiṣṭhata jāgrata prāpya varān nibodhata /	uttizWata jAgrata prApya varAt niboData /
   kṣurasya dhārā niśitā duratyayā durgaṃ pathas tat kavayo vadanti //	kzurasya DArA niSitAH duratyayAH durgam paTaH tat kavayaH vadanti //
   KaU_3.14 //	KaU_3.14 //
   aśabdam asparśam arūpam avyayaṃ tathārasaṃ nityam agandhavac ca yat /	aSabdam asparSam arUpam avyayam taTA-arasam nityam aganDa-vat ca yat /
   anādy anantaṃ mahataḥ paraṃ dhruvaṃ nicāyya tan mṛtyumukhāt pramucyate //	anAdi anantam mahataH param Druvam nicAyya tat mRtyu-muKAt pramucyate //
   KaU_3.15 //	KaU_3.15 //
   nāciketam upākhyānaṃ mṛtyuproktaṃ sanātanam /	nAciketam upAKyAnam mRtyu-proktam sanAtanam /
   uktvā śrutvā ca medhāvī brahmaloke mahīyate // KaU_3.16 //	uktvA SrutvA ca meDAvI brahma-loke mahIyate // KaU_3.16 //
   ya imaṃ paramaṃ guhyaṃ śrāvayed brahmasaṃsadi /	yaH imam paramam guhyam SrAvayet brahma-saMsadi /
   prayataḥ śrāddhakāle vā tad ānantyāya kalpate /	prayataH SrAdDa-kAle vA tat AnantyAya kalpate /
   tad ānantyāya kalpata iti // KaU_3.17 //	tat AnantyAya kalpate iti // KaU_3.17 //
   // iti tṛtīyā vallī //	// iti tRtIyA vallI //
   parāñci khāni vyatṛṇat svayaṃbhūs tasmāt parāṅ paśyati nāntarātman /	parAQci KAni vyatRNat svayaMBUH tasmAt parAF paSyati na-antarAtman /
   kaścid dhīraḥ pratyag ātmānam aikṣad āvṛttacakṣur amṛtatvam icchan //	kaScid DIraH pratyak AtmAnam Ekzat AvRtta-cakzuH amRta-tvam icCan //
   KaU_4.1 //	KaU_4.1 //
   parācaḥ kāmān anuyanti bālās te mṛtyor yanti vitatasya pāśam /	parAcaH kAmAn anuyanti bAlAH te mRtyoH yanti vitatasya pASam /
   atha dhīrā amṛtatvaṃ viditvā dhruvam adhruveṣv iha na prārthayante //	aTa DIrAH amRta-tvam viditvA Druvam aDruvezu iha na prArTayante //
   KaU_4.2 //	KaU_4.2 //
   yena rūpaṃ rasaṃ gandhaṃ śabdān sparśīṃś ca maithunān /	yena rUpam rasam ganDam SabdAn sparSIn ca mETunAn /
   etenaiva vijānāti kim atra pariśiṣyate //	etena-eva vijAnAti kim atra pariSizyate //
   etad vai tat // KaU_4.3 //	etat vE tat // KaU_4.3 //
   svapnāntaṃ jāgaritāntaṃ cobhau yenānupaśyati /	svapna-antam jAgarita-antam ca-uBO yena-anupaSyati /
   mahāntaṃ vibhum ātmānaṃ matvā dhīro na śocati // KaU_4.4 //	mahAntam viBum AtmAnam matvA DIraH na Socati // KaU_4.4 //
   ya imaṃ madhvadaṃ veda ātmānaṃ jīvam antikāt /	yaH imam maDvadam vedaH AtmAnam jIvam antikAt /
   īśānaṃ bhūtabhavyasya na tato vijugupsate //	ISAnam BUta-Bavyasya na tatas vijugupsate //
   etad vai tat // KaU_4.5 //	etat vE tat // KaU_4.5 //
   yaḥ pūrvaṃ tapaso jātam adbhyaḥ pūrvam ajāyata /	yaH pUrvam tapasaH jAtam adByaH pUrvam ajAyata /
   guhāṃ praviśya tiṣṭhantaṃ yo bhūtebhir vyapaśyata //	guhAm praviSya tizWantam yaH BUteBiH vyapaSyata //
   etad vai tat // KaU_4.6 //	etat vE tat // KaU_4.6 //
   yā prāṇena saṃbhavati aditir devatāmayī /	yA prANena saMBavati aditiH devatA-mayI /
   guhāṃ praviśya tiṣṭhantīṃ yā bhūtebhir vyajāyata //	guhAm praviSya tizWantIm yA BUteBiH vyajAyata //
   etad vai tat // KaU_4.7 //	etat vE tat // KaU_4.7 //
   araṇyor nihito jātavedā garbha iva subhṛto garbhiṇībhiḥ /	araNyoH nihitaH jAtavedAH garBaH iva su-BRtaH garBiNIBiH /
   divediva īḍyo jāgṛvadbhir haviṣmadbhir manuṣyebhir agniḥ //	divet-ivaH IxyaH jAgRvadBiH havizmadBiH manuzyeBiH agniH //
   etad vai tat // KaU_4.8 //	etat vE tat // KaU_4.8 //
   yataś codeti sūryo astaṃ yatra ca gacchati /	yatas ca-udeti sUryaH astam yatra ca gacCati /
   taṃ devāḥ sarve arpitās tad u nātyeti kaścana //	tam devAH sarve arpitAH tat u na-atyeti kaScana //
   etad vai tat // KaU_4.9 //	etat vE tat // KaU_4.9 //
