   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   yasya loke dayā nāsti bālavṛddhādiduḥkhite /	yasya loke dayA na-asti bAla-vRdDa-Adi-duHKite /
   kiṃ tasya brahmavṛttena citte{na} parimohite // KDA_52 //	kim tasya brahma-vRttena citte{na} parimohite // KDA_52 //
   yasya na kuśalotsāhaṃ citte lokārthaṃ sādhitum* /	yasya na kuSala-utsAham citte loka-arTam sADitum* /
   tasya kiṃ tapasā siddhe kevalaṃ pāpahetubhiḥ // KDA_53 //	tasya kim tapasA sidDe kevalam pApa-hetuBiH // KDA_53 //
   yasya cittaṃ pravikṣiptaṃ kleśād yair asamāhitam* /	yasya cittam pravikziptam kleSAt yEH asamAhitam* /
   sa kiṃ guhāniviṣṭo 'pi na sādhur duṣṭajantuvat* // KDA_54 //	sa kim guhA-nivizwaH api na sADuH duzwa-jantuvat* // KDA_54 //
   yasya prajñā viśuddhā na saddharmaguṇasādhane /	yasya prajQA viSudDAH na sat-Darma-guNa-sADane /
   tasya kiṃ brahmacaryeṇa kevalaṃ duḥkhahetunā // KDA_55 //	tasya kim brahmacaryeNa kevalam duHKa-hetunA // KDA_55 //
   yaś ca dātā viśuddhātmā sarvasatvān upālakaḥ /	yaH ca dAtA viSudDa-AtmA sarva-satvAn upAlakaH /
   nīco 'pi sa dvijakalpo yato dātā prajāpatiḥ // KDA_56 //	nIcaH api sa dvija-kalpaH yatas dAtA prajApatiH // KDA_56 //
   yena saṃrakṣitaṃ nityaṃ śīlaṃ saṃyamasaṃvṛttam* /	yena saMrakzitam nityam SIlam saMyama-saMvRttam* /
   sa eva brāhmaṇaḥ śuddhaḥ śrotriyo vedanān yatiḥ // KDA_57 //	saH eva brAhmaNaH SudDaH SrotriyaH vedanAn yatiH // KDA_57 //
   yasya cittaṃ dayāśūlaṃ sarvasatvahiteṣitam* /	yasya cittam dayA-SUlam sarva-satva-hita-Izitam* /
   caṇḍālo 'pi sa vipraḥ syāl lokeśo hi kṣamākaraḥ // KDA_58 //	caNxAlaH api sa vipraH syAt lokeSaH hi kzamA-karaH // KDA_58 //
   yenaiva duṣkaraṃ karma sādhitaṃ satvahetunā /	yena-eva duzkaram karma sADitam satva-hetunA /
   sa eva brāhmaṇo dhīro viśvakarmā yato vidhiḥ // KDA_59 //	saH eva brAhmaNaH DIraH viSvakarmA yatas viDiH // KDA_59 //
   -------------------- Vaidya, p. 269 --------------------	------------------- VEdya, p. 269 --------------------
   yasya cittaṃ sadā satva- hitārtheṣu samādhitam* /	yasya cittam sadA satva hita-arTezu samADitam* /
   sa hi vipro mahābhijño brahmā jñānarato yataḥ (Speyer: dhyānarato) //	sa hi vipraH mahA-aBijQaH brahmA jQAna-rataH yatas (Speyer: DyAna-rato) //
   KDA_60 //	KDA_60 //
   yasya prajñā jagalloka- hitānuśāsanojjvalā /	yasya prajQA jagat-loka hita-anuSAsana-ujjvalA /
   saiva dvijavaro vijño vedadharmāsthito dvijaḥ // KDA_61 //	sA-eva dvijavaraH vijQaH veda-Darma-AsTitaH dvijaH // KDA_61 //
   yenaiva nirjitāḥ kleśāś caturbrahmavihāriṇā /	yena-eva nirjitAH kleSAH catur-brahma-vihAriNA /
   svacitte bhāvitaṃ brahma sa eva brāhmaṇottamaḥ // KDA_62 //	sva-citte BAvitam brahma saH eva brAhmaNa-uttamaH // KDA_62 //
   tasmāt putra mayā proktaṃ śrutvā lokahitotsukaḥ /	tasmAt putra mayA proktam SrutvA loka-hita-utsukaH /
   sarvakleśān vinirjitya saddharmābhirato bhava // KDA_63 //	sarva-kleSAn vinirjitya sadDarma-aBirataH Bava // KDA_63 //
   iti pitur vacaḥ śrutvā subhūtiḥ so 'numoditaḥ /	iti pituH vacaH SrutvA suBUtiH saH anumoditaH /
   kṛtāñjalis tathā natvā pitaram ity abhāṣata // KDA_64 //	kRtAQjaliH taTA natvA pitaram iti aBAzata // KDA_64 //
   tathā satyaṃ manas tāta rocate tapase mama /	taTA satyam manaH tAta rocate tapase mama /
   tad ājñāṃ dehi me tāta cariṣye brahmasadvratam* // KDA_65 //	tat AjQAm dehi me tAta carizye brahma-sat-vratam* // KDA_65 //
   tenaivaṃ prārthyamāno 'sau subhūtinā pitā tataḥ /	tena-evam prArTyamAnaH asO suBUtinA pitA tatas /
   pariṣvajyātmajaṃ putraṃ punar apy abravīn mudā // KDA_66 //	parizvajya-Atmajam putram punar api abravIt mudA // KDA_66 //
   evaṃ cet tava vāñchāsti putra brahmasusādhanaiḥ /	evam ced tava vAQCA-asti putra brahma-su-sADanEH /
   cara brahmavrataṃ samyag- dhīracittasamāhitaḥ // KDA_67 //	cara brahmavratam samyak- DIra-citta-samAhitaH // KDA_67 //
   ādau krodharipuṃ jitvā duṣṭabhārān vinirjaya (Speyer: duṣṭamārān) /	AdO kroDa-ripum jitvA duzwa-BArAn vinirjaya (Speyer: duzwa-mArAn) /
   yāvat krodham anirjitya duṣṭāñjetuṃ na śaknuyāḥ // KDA_68 //	yAvat kroDam anirjitya duzwAn-jetum na SaknuyAH // KDA_68 //
   yāvad duṣṭān anirjitya dharme sthātuṃ na śaknuyāḥ /	yAvat duzwAn anirjitya Darme sTAtum na SaknuyAH /
   asusaṃsthitadharmāṇaṃ hanyur mārā hi sarvathā // KDA_69 //	asu-saMsTita-DarmANam hanyuH mArAH hi sarvaTA // KDA_69 //
   tasmād vāñchati yo brahma tenādau cittakoṭarāt* /	tasmAt vAQCati yaH brahma tena-AdO citta-kowarAt* /
   viniḥkṛṣya prayatnena hantavyaḥ krodhapannagaḥ // KDA_70 //	viniHkRzya prayatnena hantavyaH kroDa-pannagaH // KDA_70 //
   krodho hi vasate yasya citte mānamadākule /	kroDaH hi vasate yasya citte mAna-mada-Akule /
   tāvat sadguṇayukto 'pi sevyate naiva sajjanaiḥ // KDA_71 //	tAvat sat-guNa-yuktaH api sevyate na-eva sat-janEH // KDA_71 //
   tasmāt sarvaprayatnena krodhajiṣṇuḥ samāhitaḥ /	tasmAt sarva-prayatnena kroDa-jizNuH samAhitaH /
   pravrajyāṃ samupāsiśritya cara brāhmaṇyam ādarāt* // KDA_72 //	pravrajyAm samupAsiSritya cara brAhmaNyam AdarAt* // KDA_72 //
   tathety asau pratiśrutya subhūtiḥ saṃpramoditaḥ /	taTA-iti asO pratiSrutya suBUtiH saMpramoditaH /
   sahasā pitarau natvā munīnām āśramaṃ yayau // KDA_73 //	sahasA pitarO natvA munInAm ASramam yayO // KDA_73 //
   tatra prāpto munīn natvā kṛtāñjalipuṭo mudā /	tatra prAptaH munIn natvA kRta-aQjali-puwaH mudA /
   brāhmaṇyasaṃvaraṃ prāptuṃ pravrajyāṃ samayācata // KDA_74 //	brAhmaNya-saMvaram prAptum pravrajyAm samayAcata // KDA_74 //
   -------------------- Vaidya, p. 270 --------------------	------------------- VEdya, p. 270 --------------------
   guro brahmavidāṃ śreṣṭha kalyāṇavartmadeśaka /	guroH brahma-vidAm SrezWa kalyANa-vartma-deSaka /
   pravrajyāṃ dehi me satyaṃ careyaṃ bhavamuktaye // KDA_75 //	pravrajyAm dehi me satyam careyam Bava-muktaye // KDA_75 //
   iti tasya vacaḥ śrutvā gurur brahmavidāṃ varaḥ /	iti tasya vacaH SrutvA guruH brahma-vidAm varaH /
   ehi vatsa cara brahma- caryaṃ jitvā ṣaḍ indriyam* // KDA_76 //	ehi vatsa cara brahma caryam jitvA zaw indriyam* // KDA_76 //
   ity ukto guruṇā so 'bhūt subhūtir muniveṣabhṛt* /	iti uktaH guruNA saH aBUt suBUtiH muni-veza-BRt* /
   brahmavihārasaṃpanno vinītaḥ śraddhayānvitaḥ // KDA_77 //	brahma-vihAra-saMpannaH vinItaH SradDayA-anvitaH // KDA_77 //
   tathāpi daivasāmarthyāt krodhasaṃraktamānasaḥ /	taTA-api dEva-sAmarTyAt kroDa-saMrakta-mAnasaH /
   kiṃcin nimittamātre 'pi vigrahavān asaṃyataḥ // KDA_78 //	kiMcid nimitta-mAtre api vigrahavAn asaMyataH // KDA_78 //
   vedasiddhāntaśāstreṣu vivādī krodhabāhulaḥ /	veda-sidDAnta-SAstrezu vivAdI kroDa-bAhulaH /
   atīva roṣasaṃkruṣṭo vicikṣepa yatīn api // KDA_79 //	atIva roza-saMkruzwaH vicikzepa yatIn api // KDA_79 //
   dharmārthakāmamokṣeṣu nirapekṣaḥ sutīkṣṇavāk* /	Darma-arTa-kAma-mokzezu nirapekzaH su-tIkzNa-vAk* /
   sarvatra munibhiś cāpi vijagrāhāsamāhitaḥ // KDA_80 //	sarvatra muniBiH ca-api vijagrAha-asamAhitaH // KDA_80 //
   ity enaṃ krodhasaṃraktaṃ vedasiddhāntamāninam* /	iti enam kroDa-saMraktam veda-sidDAnta-mAni-nam* /
   subhūtiṃ brāhmaṇaṃ dṛṣṭvā guruś caivam acintayat* // KDA_81 //	suBUtim brAhmaNam dRzwvA guruH ca-evam acintayat* // KDA_81 //
   aho daivabalādhānāt subhūtir brāhmaṇo 'py ayam* /	aho dEva-bala-ADAnAt suBUtiH brAhmaNaH api ayam* /
   svasiddhāntasamāno 'dya krūravāgvigrahotsukaḥ // KDA_82 //	sva-sidDAnta-samAnaH adya krUra-vAc-vigraha-utsukaH // KDA_82 //
   agnikalpo mahātīkṣṇaḥ sarvaśāstrārthakovidaḥ /	agni-kalpaH mahA-tIkzNaH sarva-SAstra-arTa-kovidaH /
   viśārado mahābhijño dharmasaṃyamatatparaḥ // KDA_83 //	viSAradaH mahA-aBijQaH Darma-saMyama-tatparaH // KDA_83 //
   tapaś caraṇasaṃraktas tīkṣṇabuddhiḥ kṛtodyamaḥ /	tapaH caraNa-saMraktaH tIkzNa-budDiH kRta-udyamaH /
   mahotsāho mahāvīraḥ siddhavidyo mahotkaṭaḥ // KDA_84 //	mahA-utsAhaH mahAvIraH sidDavidyaH mahA-utkawaH // KDA_84 //
   sarvaśāstrakalābhijño mantrasiddhiprayogavit* /	sarva-SAstra-kalA-aBijQaH mantra-sidDi-prayoga-vit* /
   vedasiddhāntayogānāṃ pāragaś ca mahāsudhīḥ // KDA_85 //	veda-sidDAnta-yogAnAm pAragaH ca mahAsuDIH // KDA_85 //
   kiṃ tu krodhāviśuddhātmā vigrahī vādasaṃrataḥ /	kim tu kroDa-aviSudDa-AtmA vigrahI vAda-saMrataH /
   kiṃcin nimittamātre 'pi vikruṣṭo 'tha ruṣāśayaḥ // KDA_86 //	kiMcid nimitta-mAtre api vikruzwaH aTa ruzA-ASayaH // KDA_86 //
   kadācit kupito ruṣṭeḥ saṃkleśādhīracetanaḥ /	kadAcid kupitaH ruzweH saMkleSa-aDIra-cetanaH /
   śāpāśaniprahāreṇa loke 'narthaṃ kariṣyati // KDA_87 //	SApa-aSani-prahAreNa loke anarTam karizyati // KDA_87 //
   tad ahaṃ saṃprabodhyainaṃ subhūtiṃ dvijasattamam* /	tat aham saMpraboDya-enam suBUtim dvijasattamam* /
   samādhidhyānavaryāsu yojayeyaṃ sa sarvathā // KDA_88 //	samADi-DyAna-varyAsu yojayeyam sa sarvaTA // KDA_88 //
   iti matvā guruś cainaṃ subhūtiṃ samabodhayat* /	iti matvA guruH ca-enam suBUtim sama-boDayat* /
   śṛṇu vatsa hitaṃ vakṣye tatra bhava samāhitaḥ // KDA_89 //	SRNu vatsa hitam vakzye tatra Bava samAhitaH // KDA_89 //
   -------------------- Vaidya, p. 271 --------------------	------------------- VEdya, p. 271 --------------------
   sarvavarṇāgrajo vipraḥ sarvajātivarottamaḥ /	sarva-varNa-agrajaH vipraH sarva-jAti-vara-uttamaH /
   brāhmaṇo 'smīty ahaṃkāro na kartavyaḥ kadācana // KDA_90 //	brAhmaNaH asmi-iti ahaMkAraH na kartavyaH kadAcana // KDA_90 //
   na jīvo brāhmaṇas tāvad yasmāt saṃskārato dvijaḥ /	na jIvaH brAhmaNaH tAvat yasmAt saMskArataH dvijaH /
   jīvaś ced brāhmaṇas tāvad vṛthā syād dharmasaṃskṛtaiḥ // KDA_91 //	jIvaH ced brAhmaNaH tAvat vRTA syAt Darma-saMskRtEH // KDA_91 //
   ādyante paśavo devā iti vede 'pi kathyate /	Adi-ante paSavaH devAH iti vede api kaTyate /
   tato dharmābhisaṃskāraiḥ sarve syur mānavā dvijāḥ // KDA_92 //	tatas Darma-aBisaMskArEH sarve syuH mAnavAH dvijAH // KDA_92 //
