   oṃ namaḥ sarvabuddhabodhisattvebhyaḥ //	om namaH sarva-budDa-boDisattveByaH //
   bhaviṣyati /	Bavizyati /
   ñ1.8 sarvabuddhastutaḥ samanvāhṛto 'yaṃ hṛdaya<ṃ>. sarvatathāgatānumodito	Q1.8 sarva-budDa-stutaH samanvAhRtaH ayam hRdaya-<M>. sarva-taTAgata-anumoditaH-
   'yaṃ hṛdayaṃ\var{hṛdayaṃ\lem \em; hṛdaye \cod}/	ayam hRdayaM\var{-hRdayaM\lem \em; hRdaye \cod}/
   ñ1.9 smarāmy ahaṃ bhagavaṃ gaṅgānadībālukāsamānāṃ kalpānāṃ pareṇa	Q1.9 smarAmi aham Bagavam gaFgA-nadI-bAlukA-samAnAm kalpAnAm pareNa
   śatapadmanayanacūḍā\var{#cūḍā#\lem \cod; #cūḍa#	Satapadma-nayana-cUxA\var{#cUxA-#\lem \cod; #cUxa-#
   \Dutt}pratihatasaṅgavelāma\var{#saṃgavelāma**#\lem \cod; #raṅgavelakiraṇa#	\Dutt}-pratihata-saFga-velAm-a\var{#saMga-velA-m-a**#\lem \cod; #raFga-vela-kiraNa-#
   \Dutt}rājā\var{rājā\lem \cod; rājasya \em \Dutt} nāma tathāgata{ta}sya{ā}	\Dutt}rAjA-a\var{rAja-a\lem \cod; rAjasya \em \Dutt} nAma taTAgata-{ta}sya{A}
   ñ1.10 mayā tathāgatasyānti[ke] anuśrutenāyaṃ\var{anuśrutenāyaṃ\lem	Q1.10 mayA taTAgatasya-anti[ke] anuSrutena-ayaM\var{anuSrutena-ayaM\lem
   \em\Ken; śrutam ayaṃ \Dutt} hṛdayam udgṛhītaṃ\var{udgṛhītaṃ\lem \cod;	\em\Ken; Srutam ayam \Dutt} hRdayam udgRhItaM\var{udgRhIta-M\lem \cod;
   udgṛhītaṃ ca \Dutt} / saha pratilaṃbhe[na] daśasu dikṣu sarvatathāgatā<ḥ>	udgRhItam ca \Dutt} / saha pratilaMBe[na] daSasu dikzu sarva-taTAgatA<H>
   sumukhībhūtā anutpattikadharmakṣāntipratilabdhāḥ /	su-muKIBUtAH anutpattika-Darma-kzAnti-pratilabDAH /
   ñ1.11 evaṃ bahukaro 'yaṃ mā\ill*hṛdayaṃ tasmāt tarhi śrāddhena kulaputreṇa	Q1.11 evam bahu-karaH ayam mA\ill*-hRdayam tasmAt tarhi SrAdDena kula-putreNa
   vā kuladuhitrā vā satkṛtyāyaṃ hṛdayaṃ sādhayitavya{ṇa}m / ananyamanasā	vA kula-duhitrA vA satkRtya-ayam hRdayam sADayitavya{Na}m / ananya-manasA
   nityaṃ sādhayitavyaṃ /	nityam sADayitavyam /
   ñ1.12 kālyam\var{kālyam\lem \cod; kalyam \Dutt} utthāya aṣṭotaraṃ	Q1.12 kAlyam\var{-kAlI-am\lem \cod; kalyam \Dutt} utTAya azwotaram
   vāraśataṃ pravartayitavyam /	vAra-Satam pravartayitavyam /
   ñ1.13 dṛṣṭadharmikā guṇā daśa parigrahīyāḥ\var{parigrahīyāḥ\lem \cod;	Q1.13 dRzwa-DarmikA guNAH daSa parigrahIyAH\var{-parigrahIyAH\lem \cod;
   parigrahītavyāḥ\Dutt \em} /	parigrahItavyAH\Dutt \em} /
   ñ1.14 katame daśa{ḥ} ?	Q1.14 katame daSa{H} ?
   ñ1.15 [1] yad uta nirvyādhir bhaviṣyati /	Q1.15 [1] yat uta nirvyADiH Bavizyati /
   ñ1.16 [2] sarvata parigṛhītaś ca bhaviṣyati /	Q1.16 [2] sarvatas parigRhItaH ca Bavizyati /
   ñ1.17 [3] dhanadhānyahiraṇyasaṃbharaṇam\var{#saṃbharaṇam\em \Hidas	Q1.17 [3] Dana-DAnya-hiraNya-saMBaraNam-\var{#saMBaraNam\em \Hidas
   ābharaṇaṃ \em \Dutt} asya akṣayaṃ bhaviṣyati /	ABaraNam \em \Dutt} asya akzayam Bavizyati /
   ñ1.18 [4] sarvaśatravo vaśyā avamarditā bhaviṣyanti /	Q1.18 [4] sarva-SatravaH vaSyAH avamarditAH Bavizyanti /
   ñ1.19 [5] rājasabhāyāṃ\var{#sabhā\lem \cod; #sabhāyāṃ \Dutt} prathamam	Q1.19 [5] rAja-saBAya-aM\var{#saBA\lem \cod; #saBAyAm \Dutt} praTamam
   ālaṃbitavyaṃ\var{ālaṃbitavyaṃ\lem \cod; ālapitavyaṃ \Dutt} maṃsyati /	AlaMbita-vyaM\var{A-alaMbita-vyaM\lem \cod; Alapitavyam \Dutt} maMsyati /
   ñ1.20 [6] na viṣaṃ na garam na jvaraṃ na śastram kāye kramiṣyati /	Q1.20 [6] na vizam na garam na jvaram na Sastram kAye kramizyati /
   ñ1.21 [7] nodakena kālaṃ kariṣyati /	Q1.21 [7] na-udakena kAlam karizyati /
   ñ1.22 [8] nāgninā kālaṃ kariṣyati /	Q1.22 [8] na-agninA kAlam karizyati /
   ñ1.23 [9] nākālamṛtyunā kālaṃ\var{kālaṃ\lem \cod; kālaṃ ca \Dutt}	Q1.23 [9] na-akAla-mRtyunA kAlaM\var{-kAlaM\lem \cod; kAlam ca \Dutt}
   kariṣyati / %NB number 10 seems to be missing, or a different counting is	karizyati / %NB numbeH 10 seemH taH be missing, oH a different ca-Uunting is
   required	required
   ñ1.24 apare catvāro guṇānuśaṃsā udgrahīṣyati /	Q1.24 apare catvAraH guNa-anuSaMsAH udgrahIzyati /
   ñ1.25 [1] maraṇakāle tathā[gatada]rśanaṃ bhaviṣyati /	Q1.25 [1] maraNa-kAle taTA-a[gata-da]rSanam Bavizyati /
   ñ1.26 [2] na cāpāyeṣūpapatsyate /	Q1.26 [2] na ca-apAyezu-upapatsyate /
   ñ1.27 [3] na [viṣamā]parihāreṇa kālaṃ kariṣyati /	Q1.27 [3] na [vizamA]-parihAreNa kAlam karizyati /
   ñ1.28 [4] itaś cutaḥ sukhāvatyāṃ lokadhātāv upapatsyate	Q1.28 [4] itas cutaH suKAvatyAm lokaDAtO upapatsyate
   smarāmy ahaṃ bhagavann it daśānāṃ gaṅgānadībāl[u]kāsamānāṃ kalpānāṃ tataḥ	smarAmi aham Bagavan id daSAnAm gaFgA-nadI-bAl[u]kA-samAnAm kalpAnAm tatas-
   pareṇa paratareṇa mandāravagandho nāma tathāgato 'bhūt{a} /	pareNa paratareNa mandAravaganDaH nAma taTAgataH aBUt-{a} /
   tatra mayā gṛhaparibhūtenāyam udgṛhīta /	tatra mayA gRha-pariBUtena-ayam udgRhIta /
   catvāriṃśat kalpasahasrāṇi saṃsārāḥ paścānmukhīkṛtāḥ\var{#kṛtāḥ\lem	catvAriMSat kalpa-sahasrANi saMsArAH paScAt-muKIkRtAH\var{#kRtAH\lem
   \em\Dutt; #kṛtāṇi \cod} /	\em\Dutt; #kRtANi \cod} /
   eṣa ca mayā hṛdayaṃ pravartitvā sarvabuddhānāṃ\var{sarvabuddhānāṃ\conj	eza ca mayA hRdayam pravartitvA sarva-budDAnAM\var{-sarva-budDAnAM\ca-unj
   \Nagashima; sarvasmin \Dutt} karuṇāyanajñānagarbhabodhisattvavimokṣaṃ	\Na-gashima; sarvasmin \Dutt} karuNAyana-jQAna-garBa-boDisattva-vimokzam
   pra[tila]bdham / \marginpar{\Dutt p.38}	pra[ti-la]bDam / \margin-par{\-Dutt p.38}
   yena\var{ye\lem \Dutt; yena \cod} bandhanabaddhā ye	yena\var{ye\lem \Dutt; yena \cod} banDana-badDAH ye
   vadhyaprāptā\var{ye\rarr badhyaprāptā repeated \dittography \cod} ye	vaDya-prAptA\var{ye\rarr baDya-prAptAH repeatet \ditta-ugra-Pi \cod} ye
   udakāgnivividhaduḥkhābhyāhatā<ḥ> tad anenāhaṃ sarvasattvānāṃ layanaṃ	udaka-agni-viviDa-duHKa-aByAhatA<H> tat anena-aham sarva-sattvAnAm layanam
   trāṇam śaraṇam parāyaṇaṃ bhavāmi yat\var{yat\lem \Dutt; yaḥ \cod} /	trANam SaraNam parAyaNam BavAmi yat\-var{yat\lem \Dutt; yaH \cod} /
   sarvaduṣṭayakṣarākṣasānām anayā hṛdayeṇā\var{anayā hṛdayeṇā\lem	sarva-duzwa-yakza-rAkzasAnAm anayA hRdayeNa-a\var{anayA hRdayeNa-a\lem
   \cod\hybrid; anena hṛdayena \Dutt} karṣitvā maitracittā[n]	\ca-ud\hi-brid; anena hRdayena \Dutt} karzitvA mEtra-cittA[n]
   dayācittān\var{dayācittān\lem \Dutt; dayācittādayācittān \cod}	dayA-cittAn-\var{dayA-cittA-n\lem \Dutt; dayA-cittAdayA-cittAn \cod}
   kṛtvānuttarāyāṃ samyaksaṃbodhau pratiṣṭhāpayāmi /	kRtvA-anuttarAyAm samyaksaMboDO pratizWApayAmi /
   evaṃ mahārthiko\var{mahārthiko\lem \cod; mahārdhiko \Dutt} 'yaṃ mama	evam mahA-arTiko\var{-mahArTi-ko\lem \cod; mahArDikaH \Dutt} ayam mama
   bhagavat hṛ[dayam] ekavelāṃ prakāśitvā catvāro mūlāpattayaḥ kṣa[yaṃ]	Bagavat hR[dayam] eka-velAm prakASitvA catvAraH mUla-ApattayaH kza[yaM]
   gacchanti\var{gacchanti\lem \Dutt; gakṣanti \cod} .	gacCanti\var{gacCanti\lem \Dutt; gakzanti \cod} .
   pañcānantaryāṇi karmāṇi niravayaṃ tanvīkariṣyati /	paQca-AnantaryANi karmANi niravayam tanvIkarizyati /
   kaḥ punar vādo yathābhāṣitaṃ pratipatsyanti / % Dutt supplies ``teṣāṃ ye''	kaH punar vAdaH yaTABAzitam pratipatsyanti / % Dutt supplieH ``tezAm ye-aa
   but better understand: ``why say more, these will happen as they are	but betteH undeH-H-tand: ``whi say more, Tese wilt happet as TeI are
   taught''	tOGt-aa
   %sandhi dissolved from here on	%sanDi dissolvet from here on
   aneka-buddha-śata-sahasra-avaropita-kuśala-mūlā bhaviṣyanti\var{mūlā	aneka--budDa--Sata--sahasra--avaropita--kuSala-mUlA Bavizyanti\var{-mUlA
   bhaviṣyanti\lem \cod; #mūlaṃ bhaviṣyati \Dutt} ye śroṣyanti prāk- eva	Bavizyanti\lem \cod; #mUlam Bavizyati \Dutt} ye Srozyanti prAk eva
   japa-sādhana-ādibhiḥ /% prāg eva: ``how much more...''	japa--sADana--AdiBiH /% prAk eva: ``hoh muC more...-aa
   sarva-manoratham- paripūrayiṣyāmi .	sarva--manoraTam paripUrayizyAmi .
   ye ca\var{ye ca\lem \em; yaśca \cod} caturdaśīpañcadaśī\com{dual loc.	ye ca\var{ye ca\lem \em; yaH-ca \cod} caturdaSI-paQcadaSI\-com{duat loc.
   hybrid? \Dutt: ``should be caturdaśyāṃ pañcadaśyāṃ''.} mām- uddiśya-	hi-brid? \Dutt: ``shoult be caturdaSyAm paQcadaSyAM-aa.} mAm uddiSya-
   upavasante\var{upavasante \cod; upavasati \Dutt} {/}	upavasante\-var{upavasante \cod; upavasati \Dutt} {/}
   catvāriṃśa kalpa-sahasrāṇi saṃsārā paścāt-mukhīkariṣyanti /	catvAriMSa kalpa--sahasrANi saMsArAH paSca-at-muKIkarizyanti /
   tena nā[madhe]yam- api grahaṇena bhagavan- saha sas- ayam-	tena na-a[maDe]yam api grahaNena Bagavan saha sas ayam-
   buddha-koṭī-niyuta-śata-sahasra-atireka-samam /	budDa-kowI--niyuta--Sata--sahasra--atireka--samam /
   mama nāmadheya-grahaṇena [sa]rva-sattvās- avaivartikatvaṃ prasavanti{ḥ} /	mama nAmaDeya--grahaNena [sa]rva--sattvAs avEvartika-tvam prasavanti{H} /
   sarvavyādhibhis- parimucyante\var{parimucyante\lem \cod; parimucyate	sarva-vyADiBis parimucyante\var{-parimucyante\lem \cod; parimucyate
   \Dutt} /	\Dutt} /
   sarva-āvaraṇebhya[s-] sarva-bhayebhyas-	sarva--AvaraNeBya[s-] sarva--BayeByas-
   sarva-kāya-vāk-manas-duścaritebhyas- parimokṣyante /	sarva-kAya-vAk--manas--duScariteByas parimokzyante /
   teṣām- eva kara-tala-gatā- buddha-bodhis- bhaviṣyati /\marginpar{\Dutt	tezAm eva kara-tala--gatA budDa--boDis Bavizyati /\margin-par{\Dutt
   p.39}	p.39}
   bhagavān āha /	BagavAn Aha /
   sādhu sādhu kula-putra yat te\var{yat te\lem \cod; yat \Dutt}	sADu sADu kula-putra yat te\var{yat te\lem \cod; yat \Dutt}
   sarva-sattvānām- antike- evam-rūpā\var{evaṃrūpā\lem \Dutt; evaṃrūpaṃ}	sarva--sattva-anAm antike evam--rUpA\var{evaMrUpa-a\lem \Dutt; evaMrUpaM}
   mahā-karuṇā /	mahA-karuNA /
   śakṣyasi tvaṃ kula-putra\var{kulaputra\lem \em; kulaputraḥ \Dutt} anena-	Sakzyasi tvam kula--putra\-var{-kula-putra\lem \em; kula-putraH \Dutt} anena-
   upāyena {sarva}sarva-sattvānā[m- anuttarā]yāṃ\var{sattvānām\lem \Dutt;	upAyena {sarva}-sarva--sattvAnA[m anuttara-A]yAM\var{-sattvAn-Am\lem \Dutt;
   sattvān* \cod} samyak-saṃbodhau pratiṣṭhāpayitum / udgṛhītam-	sattvAn* \cod} samyak--saMboDO pratizWApayitum / udgRhItam-
   ca\var{udgṛhīto yaṃ \cod} [mayā] hṛdayam- anumoditam /	ca\var{-udgRhItaH yam \cod} [mayA] hRdayam anumoditam /
   bhāṣadhva kula-putra /	BAzaDva kula-putra /
   tatra\var{tatra\lem \cod; tataḥ \Dutt} khalu- āryāvalokiteśvaras-	tatra\var{-tatra\lem \cod; tatas \Dutt} Kalu Arya-avalokita-ISvara-s-
   bodhisattvo\var{bodhisattva \Dutt} utthāya- āsanāt- eka-aṃsam-	boDisattvaH-\var{-boDisattvaH \Dutt} utTAya AsanAt eka--aMsam-
   uttara-āsaṅgam- kṛtvā bhagavatas- caraṇayos- praṇipatya{m} idam- hṛdayam-	uttara-AsaFgam kRtvA Bagavatas caraNayos praNipatya{m} idam hRdayam-
   āvartayati sma //	Avartayati sma //
   namas- ratnatrayāya /	namas ratnatrayAya /
   namas- vairocanāya tathāgatāya /	namas vErocanAya taTAgatAya /
   namas-āryāvalokiteśvarāya bodhisattvāya mahāsattvāya mahā-kāruṇikāya{ḥ} /	namas-Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya mahA-kAruNikAya{H} /
   namas-\var{nama\lem \em; namaḥ \cod\Dutt}	namas-\var{nam-a\lem \em; namaH \ca-ud\Dutt}
   atīta-anāgata-pratyutpa[nnebhyaḥ]\var{missing in Chinese 1071}	atIta-ana-Agata--pratyutpa[nneByaH-]\var{mis-sink id Shi-nese 1071}
   sarva-tathāgatebhyas- arhadbhyaḥ samyak-saṃbuddhebhyaḥ /	sarva--taTAgateByas arhadByaH samyak--saMbudDeByaH /
   oṃ diri diri\var{diri diri\lem \em; dhara dhara dhiri dhiri \Dutt from	om diri diri\var{diri diri\lem \em; Dara Dara Diri Diri \Dutt from
   Tib} / dhuru dhuru / iṭṭe viṭṭe / cale cale / pracale pracale /	Tib} / Duru Duru / iwwe viwwe / cale cale / pracale pracale /
   [kusume]\var{kusume\em supplied from Tib also in Chinese} kusumavare / ili	[kusume]\var{-kusume\em suppliet from TiB alsaH id Shinese} kusuma-vare / ili
   mili ciṭi\var{ciṭi\lem \cod; viṭi \Dutt} svāhā /	mili ciwi\var{-ciwi\lem \cod; viwi \Dutt} svAhA /
   evam-\var{eṣa\lem evaṃ \Dutt} mūla-mantra[s-] //	evam--\var{eza\lem evam \Dutt} mUla-mantra[s-] //
   namas- ratna-trayāya /	namas ratna-trayAya /
   namas- āryāvalokiteśvarāya bodhisattvāya mahāsattvāya /	namas Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya /
   tat- yathā ha ha ha ha\var{ha ha ha ha\lem \cod; hā [hā hā] hā \Dutt} /	tat yaTA ha ha ha ha\var{ha ha ha ha\lem \cod; hA [hA hA] hA \Dutt} /
   ime tile cile bhile khile svāhā /	ime tile cile Bile Kile svAhA /
   snāna-upaspṛśana\var{#opaspṛśana#\lem \cod; #opasparśana#	snAna--upaspRSana\var{-#opaspRSana-#\lem \cod; #A-upasparSana-#
   \Dutt}-vastra-abhyukṣipaṇa-mantras- sapta-jāpena /\com{abhyukṣipaṇa-\lem	\Dutt}-vastra--aByukzi-paNa--mantras sapta--jApena /\com{aByukzi-paNa--\lem
   BHS for abhyukṣaṇa- or confused with \dhatu{kṣip-}.}	BHH foH aByukzaNa oH ca-unfuset wiT \Datu{kzip-}.}
   namas- ratna-trayāya /	namas ratna-trayAya /
   namas- āryāvalokiteśvarāya bodhisattvā[ya ma]hāsattvāya /	namas Arya-avalokita-ISvarAya boDisattvA[ya ma]hA-sattvAya /
   tat- yathā ṭuru ṭuru ha ha ha ha\var{ha ha ha ha\lem \cod; hā hā hā hā	tat yaTA wuru wuru ha ha ha ha\var{ha ha ha ha\lem \cod; hA hA hA hA
   \Dutt} svāhā /	\Dutt} svAhA /
   dhū[pa-dī]pa-nivedana-mantraḥ /	DU[pa-dI]-pa-nivedana-mantraH /
   namas- ratna-trayāya /	namas ratna-trayAya /
   namas- āryāvalokiteśvarāya bodhisattvāya mahāsattvāya /	namas Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya /
   tat- yathā siri siri dhiri dhiri siri dhiri\var{siri siri \lem \em based	tat yaTA siri siri Diri Diri siri Diri\var{-siri siri \lem \em baset-
   on Chinese; thiri thiri \Dutt} svāhā /	on Shinese; Tiri Tiri \Dutt} svAhA /
   gandha-puṣpa-<*>upanivedana-mantras- /	ganDa--puzpa-<*>upanivedana--mantras /
   namas- ratna-trayāya /	namas ratna-trayAya /
   namas- āryāvalokiteśvarāya bodhisattvāya mahāsattvāya mahā-karuṇikāya /	namas Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya mahA-karuNikAya /
   tat- yathā sāde sāde / sidi sidi / sudu sudu svāhā /	tat yaTA sAde sAde / sidi sidi / su-du su-du svAhA /
   bali-nivedana-mantras- eka-viṃśati-japena /	bali-nivedana--mantras eka-viMSati--japena /
   namas- ratna-trayāya /	namas ratna-trayAya /
   namas- āryāvalokiteśvarāya bodhisattvāya mahāsattvāya / mahā-karuṇikāya /	namas Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya / mahA-karuNikAya /
   tat- yathā masi\var{masi\lem \cod; yasi \Dutt}ddhasi cari huru icuruḥ	tat yaTA masi\var{masi\lem \cod; yasi \Dutt}dDasi cari huru icuruH
   suruḥ suru\var{suru\lem \cod; muruḥ \Dutt} svāhā /	suruH suru\var{-suru\lem \ca-ud; muruH \Dutt} svAhA /
   homa-mantras- /	homa-mantras /
   anena mantreṇa jātīkāṣṭhair\var{jātīkāṣṭhair\lem \cod; jñātinaṣṭais \Dutt}	anena mantreNa jAtI-kAzWEH-\var{jAtI-kAzWEH-\lem \cod; jQAti-nazwEH \Dutt}
   agnim- prajvālya dadhi-madhu-ghṛta-abhyaktānām- ahorātra-uṣitena- ekena	agnim prajvAlya daDi-maDu--GRta--aByaktAnAm ahorAtra--uzitena ekena
   triṃśatā homa kāryaḥ /	triMSatA homa kAryaH /
   tatas- karmaṃ\var{karmaṃ\lem \cod BH; karma \Dutt} samārabhet /	tatas karmaM\var{-karma-M\lem \ca-ud BH; karma \Dutt} samAraBet /
   namas- ratna-trayāya /	namas ratna-trayAya /
   namas- āryāvalokiteśvarāya bodhisattvāya mahāsattvāya mahā-karuṇikāya /	namas Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya mahA-karuNikAya /
   tat- yathā ili mili pili\var{pili\lem from Chinese; \omitted \Dutt} tili /	tat yaTA ili mili pili\var{-pili\lem from Shinese; \omittet \Dutt} tili /
   tili hili svāhā /	tili hili svAhA /
   diśābandhas-\var{diśābandha\lem \em; dīpābaddha \Dutt} udakena sarṣapair	diSAbanDa-s-\var{-diSA-banDa\lem \em; dIpa-AbadDaH \Dutt} udakena sarzapEH-
   vā\var{sarṣapair vā\lem \em \Nagashima based on Chinese} bhasmanā vā	vA\var{-sarzapEH vA-a\lem \em \Na-gashima baset on Shinese} BasmanA vA
   sapta-jāpena /	sapta--jApena /
   namas- ratna-trayāya /	namas ratna-trayAya /
   [na]mas- āryāvalokiteśvarāya bodhisattvāya mahāsattvāya / mahā-karuṇikāya	[na]mas Arya-avalokita-ISvarAya boDisattvAya mahAsattvAya / mahA-karuNikAya
   tat- yathā piṭi piṭi tiṭi tiṭi / viṭi\var{viṭi viṭi\lem \cod; siṭi siṭi	tat yaTA piwi piwi tiwi tiwi / viwi\var{-viwi viwi\lem \cod; siwi siwi
   viṭi viṭi Chinese} viṭi gaccha gaccha bhagavan-\var{bhagavan\lem \em	viwi viwi Shinese} viwi gacCa gacCa Bagavan--\var{-Baga-van\lem \em
   (illegible in photo); bhagavān \Dutt} āryāvalokiteśvara sva-bhavanam-	(illegi-ble id PotaH-); BagavAn \Dutt} Arya-avalokita-ISvara sva-Bavanam-
   sva-bhavanam- svāhā /	sva-Bavanam svAhA /
   udake sapta-vārā parijapya caturdiśam- kṣipe\com{kṣipe\lem \cod; kṣipet	udake sapta--vArA parijapya caturdiSam kzipet-com{-kzipe\lem \cod; kzipet-
   \Dutt; the MSS's reading should mean that the sādhaka speaks these words	\Dutt; Te MSS-as readinc should mean Tat Te sADaka speak-H Tese words
   as part of the mantra} /	as part of Te mantra} /
   āryāvalokiteśvara gaccha sva-bhavanaṃḥ //	Arya-avalokita-ISvara gacCa sva-BavananH //
   end of hayagrīvāvidyā folio a different hand adds:	end of hayagrIvA-avidyA foliaH a different hant adds:
   oṃ namo ratnatrāyāyaḥ namaś caṇḍavajrapāṇa{ā}ye mahāśaktasenāpaye . tad	om namaH ratnatrAyAyaH namaH caNxa-vajrapANa-{A}ye mahA-Sakta-senA-paye . tat-
   yathā ugrāya svāhā // ati ugrāya svāhā // ugrapriyāya svāhā ugrapriyāya	yaTA ugrAya svAhA // ati ugrAya svAhA // ugra-priyAya svAhA ugra-priyAya
   svāhā .	svAhA .
   % derived from "rudrapriya" etc. ?	% deH-ivet from "rudrapriya" et-c. ?
