   // tarkatāṇḍavam //	// tarka tANxavam //
   pradarśitaprāya eva/ kevalanaiyāyikābhidhānānāmanṛsṛtavedānāṃ ca	pradarSita prAyaH eva/ kevala nEyAyika aBiDAnAnAm anRsRta vedAnAm ca
   jñānajñānasādhanaviṣaye yatrayatra visaṃvādastatsamīkaraṇa eva	jQAna jQAna sADana vizaye yatra yatra visaMvAdaH tad samIkaraNaH eva
   granthakarturmukhyobhiprāyaḥ / teṣāṃsteṣāṃ saṃpuṭānāṃ prakāśanavelāyāṃ	granTa kartuH muKyoBiprAyaH / tezAn= tezAm saMpuwAnAm prakASana velAyAm
   viśeṣatastāṃstānviṣayān pratarśayiṣyāmaḥ //	viSezataH tAn= tAn vizayAn pratarSayizyAmaH //
   prakṛtasaṃpuṭe ayaṃ viṣayaviśeṣaḥ .	prakRta saMpuwe ayam vizaya viSezaH .
   pratyakṣakhaṇḍapratyakṣaparicchedaśabdābhyāmapi saṃketitesminsaṃpuṭe	pratyakza KaNxa pratyakza paricCeda SabdAByAm api saMketitesmin saMpuwe
   pratyakṣajñānānāṃ, tatsādhanānāṃ, tatprāmāṇyānāṃ, jñeyānāṃ ca nirūpaṇaṃ	pratyakza jQAnAnAM, tad sADanAnAM, tad prAmANyAnAM, jQeyAnAm ca nirUpaNam
   nyāyataḥ saṃprāptam / jñānājñeyasādhanāni pramāṇalakṣaṇapaddhatyādibhireva	nyAyataH saMprAptam / jQAna ajQeya sADanAni pramANa lakzaNa padDati AdiBiH eva
   sukhāvabodhanīti prāmāṇyamevorvaritam / tatrāpi prāmāṇyasvarūpaviṣaye na	suKa avaboDanI iti prAmANyam eva uH varitam / tatra api prAmANya svarUpa vizaye na
   tādṛśo vivādaḥ / api tu	tAdRSaH vivAdaH / api tu
   kathamasyotpattiḥ jñaptiścetyatraiva / ataḥ sa eva viṣayaḥ sāmānyarūpeṇa	kaTam asya utpattiH jQaptiH ca iti atra eva / atas saH eva vizayaH sAmAnya rUpeNa
   vicārapathapāntha iti suṣṭhu paśyāmaḥ nahi sāmānyākāreṇa carcitaṃ	vicAra paTa pAnTaH iti suzWu paSyAmaH nahi sAmAnya AkAreNa carcitam
   pratyakṣaprāmāṇyatvādirūpaviśeṣākāreṇa na sidhyati //	pratyakza prAmANya tva Adi rUpa viSeza AkAreNa na siDyati //
   pratyakṣaparicchede pratyakṣapramāṇyavicāra evānurūpaḥ / na tu	pratyakza paricCede pratyakza pramANya vicAraH eva anurUpaH / na tu
   śābdapramāṇyādeḥ / satyam / tattatparicchede tattatpramāṇyameva yadi	SAbda pramANi AdeH / satyam / tat tad paricCede tat tad pramANyam eva yadi
   nyarūpayiṣyan tadā, pramāṇyasāmānyasya na svatastvam kathaṃ	nyarUpayizyan tadA, pramANyasAmAnyasya na svatas tvam kaTam
   pramāṇyaviśeṣasyeti śaṅkāvaśiṣṭābhaviṣyat / ataḥ	pramANi aviSezasya iti SaFkA avaSizwA aBavizyat / atas 
   prathamyātsāmānyavicāreṇaivaviśeṣaśaṅkāyā api śānteratraiva	praTamyAt sAmAnya vicAreNa eva viSeza SaFkAyAH api SAnteH atra eva
   pramāṇyasāmānyanirūpaṇaṃ nānupapanna mityutpaśyāmaḥ  	pramANi asAmAnya nirUpaNam na anupapanna miti utpaSyAmaH  
   tatrāpi    	tatra api    
   (ka) pāmāṇyaṃ svata iti vedāntinaḥ	(ka) pAmANyam svatas iti vedAntinaH
   ,, parata iti naiyāyikāḥ	,, paratas iti nEyAyikAH
   (kha) vedāḥ apauruṣeyā nityāśceti vedāntinaḥ	(Ka) vedAH apOruzeyAH nityAH ca iti vedAntinaH
   īśvaroccaritā anityā iti naiyāyikāḥ	ISvara uccaritAH anityAH iti nEyAyikAH
   (ga) īśvarasya sārvajñyādikaṃ vedenaiva siddhyatīti vedāntinaḥ	(ga) ISvarasya sArvajQi Adikam vedena eva sidDyati iti vedAntinaH
   dharmāgrāhakānumānairiti naiyāyikāḥ	Darma AgrAhaka anumAnEH iti nEyAyikAH
   (gha) varṇāḥ nityavibhudravyāṇīti vedāntinaḥ	(Ga) varNAH nitya viBu dravyANi iti vedAntinaH
   anityā guṇā iti naiyāyikāḥ	anityAH guNAH iti nEyAyikAH
   (ṅa) varṇaḥ saṃyogena jñeya iti vedāntinaḥ	(Fa) varNaH saMyogena jQeyaH iti vedAntinaH
   samavāyeneti naiyāyikāḥ	samavAyena iti nEyAyikAH
   (ca) nirvikalpajñānaṃ nāstīti vedāntinaḥ	(ca) nirvikalpa jQAnam na asti iti vedAntinaH
   astīti naiyāyikāḥ	asti iti nEyAyikAH
   iti ṣoḍā vipratipattayaḥ santi / tatra nirṇayāyaiva vādānāmaṅgīkāraḥ //	iti zoxAH vipratipattayaH santi / tatra nirNayAya eva vAdAnAm aFgIkAraH //
   pramāṇyaviṣayoyaṃ pariccheda ityuktvā vedeśvarādīnāṃ vicāraṇe kaḥ	pramANyaviza yoyam paricCedaH iti uktvA veda ISvara AdInAm vicAraNe kaH
   prasaṅgaḥ iti paraṃ śaṅkonmīlati / tāmevaṃ pratibrūmaḥ //	prasaFgaH iti param SaFkA unmIlati / tAm evam pratibrUmaH //
   prakrānte pramāṇyasvatastve yāyā bādhakāśaṅkāḥ samāpatanti	prakrAnte pramANi asvataH tve yAyAH bADaka ASaFkAH samApatanti
   tāsāmasamīkaraṇe siddhāntasya na susthāpanā bhaviṣyatīti vādapañcakānāṃ	tAsAm asamIkaraNe sidDAntasya na susTApanA Bavizyati iti vAda paQcakAnAm
   samāśrayaṇamiti / tataścaivaṃ pūrvapūrvavādānāmuttarottaravādānuṣaṅgitā //	samASrayaNam iti / tatas ca evam pUrva pUrvavAdAnAm uttarottara vAda anuzaFgitAH //
   jñānajñānasādhanānāṃ prāmāṇyasvatastve nirūpaṇīye vedepi tadanuvartamānaṃ	jQAna jQAna sADanAnAm prAmANyasvataH tve nirUpaNIye vedepi tad anuvartamAnam
   vedanityatvāpauruṣeyatvābhyāṃ suvyavasthāpitam / vedasya	veda nitya tva apOruzeya tvAByAm su vyavasTApitam / vedasya
   pauruṣeyatvādidamasaṃgatamiti śaṅkāpanodāya dvitīyasya	pOruzeya tvAt idam asaMgatam iti SaFkA apanodAya dvitIyasya
   vedāpauruṣeyatvavādasya racanā / pauruṣeyatve yānupapattistāmevaṃ	veda apOruzeya tva vAdasya racanA / pOruzeya tve yA anupapattiH tAm evam
   pariharāmīti prativādinaḥ pratyavasthāne tṛtīyasya vādasyārambhaḥ/	pariharAmi iti prativAdinaH pratyavasTAne tRtIyasya vAdasya AramBaH/
   varṇānāmanityatvattatsamudāyarūpavedānāmapyanityatvamiti praśne;	varNAnAm anitya tvad tad samudAya rUpa vedAnAm api anitya tvam iti praSne;
   śabdonityavibhudravyaṃ, dhvanirākāśaguṇaḥ, iti pratipādayataścaturthasya /	SabdaH nitya viBu dravyan, DvaniH AkASa guNaH, iti pratipAdayataH caturTasya /
   yadi śabdo nākāśaguṇaḥ tarhi śrotreṇākāśena na samavāyasaṃbandha iti	yadi SabdaH na AkASa guNaH tarhi SrotreNa AkASena na samavAya saMbanDaH iti
