   prathamaḥ sargaḥ	praTamaH sargaH
   rāmasya viśadālāpaśuśrūṣānibhṛtā iva // Rc_1.17 //	rAmasya viSada-AlApa-SuSrUzA-niBRtAH iva // Rt-_1.17 //
   tasya cakruś camatkāraṃ vyatītasamayā api /	tasya cakruH camatkAram vyatIta-samayAH api /
   smitābhamukulodbhedāḥ kadambavanarājayaḥ // Rc_1.18 //	smita-ABa-mukula-udBedAH kadamba-vana-rAjayaH // Rt-_1.18 //
   adṛśyanta puras tena khelāḥ khañjanapaṅktayaḥ /	adRSyanta puras tena KelAH KaQjana-paFktayaH /
   asmaryanta ca niśvasya priyānayanavibhramāḥ // Rc_1.19 //	asmaryanta ca niSvasya priya-Anayana-viBramAH // Rt-_1.19 //
   abravīd atha kālajñas tatkālapratipattaye /	abravIt aTa kAla-jQaH tad-kAla-pratipattaye /
   praṇamya lakṣmaṇo rāmaṃ rāmāvirahaniḥsaham // Rc_1.20 //	praNamya lakzmaNaH rAmam rAmA-viraha-niHsaham // Rt-_1.20 //
   jātaṃ vibhātam amalaṃ paśya prāvṛṇṇiśā gatā /	jAtam viBAtam amalam paSya prAvRNNiSA gatAH /
   utsāhakamalasyāyaṃ vikāsāvasaras tava // Rc_1.21 //	utsAha-kamalasya-ayam vikAsa-avasaraH tava // Rt-_1.21 //
   ucchrayaṃ tīrataravo raver ūrjam abhīṣavaḥ /	ucCrayam tIrataravaH raveH Urjam aBIzavaH /
   madaṃ gopatayo gṛhṇanty abhiyogaṃ jigīṣavaḥ // Rc_1.22 //	madam gopatayaH gRhNanti aBiyogam jigIzavaH // Rt-_1.22 //
   prasīda dīyatāṃ karṇaḥ kūjadbhiḥ kurarair amī /	prasIda dIyatAm karNaH kUjadBiH kurarEH amI /
   prārthayantīva saṃcāraṃ taṭāḥ kardamadurgatāḥ // Rc_1.23 //	prArTayanti-iva saMcAram tawAH kardama-durgatAH // Rt-_1.23 //
   bhuvi bhāsvadabhīṣūṇāṃ tvadiṣūṇāṃ ca śatruṣu /	Buvi BAsvat-aBIzUNAm tu-ad-izUNAm ca Satruzu /
   ayaṃ sampatituṃ kālaḥ sa duṣkālo 'tivāhitaḥ // Rc_1.24 //	ayam sampatitum kAlaH sa duzkAlaH ativAhitaH // Rt-_1.24 //
   sudūronnataparyantās tīryante saṃkramair iva /	su-dUra-unnata-paryantAH tIryante saMkramEH iva /
   analpagādhāḥ saritas tarubhiḥ pūrapātitaiḥ // Rc_1.25 //	analpa-gADAH saritaH taruBiH pUra-pAtitEH // Rt-_1.25 //
   āviṣkṛtaviśuddhibhyāṃ nadyaḥ sumahilā iva /	AvizkRta-viSudDiByAm nadyaH su-mahilAH iva /
   kulābhyām iva kūlābhyām āpatsv api cakāsati // Rc_1.26 //	kulAByAm iva kUlAByAm Apatsu api cakAsati // Rt-_1.26 //
   jalajānāṃ sumanasāṃ vayasāṃ jalasevinām /	jala-jAnAm sumanasAm vayasAm jala-sevinAm /
   asya pratijalādhāraṃ sāmagryam avalokyate // Rc_1.27 //	asya pratijala-ADAram sAmagryam avalokyate // Rt-_1.27 //
   yuyutsārabhasotkhātasaritkhātakarodhasaḥ /	yuyutsAraBasa-utKAta-sarit-KAtaka-roDasaH /
   kukudmanto madakalāḥ kalayanti jaganty adhaḥ // Rc_1.28 //	kukudmantaH mada-kalAH kalayanti jaganti aDas // Rt-_1.28 //
   viśveśa kuru viśvāsam āvartante na te ghanāḥ /	viSveSa kuru viSvAsam Avartante na te GanAH /
   amī śyāmalayanty āśāḥ śukāḥ śālivanonmukhāḥ // Rc_1.29 //	amI SyAmalayanti ASAH SukAH SAli-vana-unmuKAH // Rt-_1.29 //
   mṛgāḥ samprati śāleyaṃ sampannaṃ sampatanty amī /	mRgAH samprati SAleyam sampannam sampatanti amI /
   sāketam adhitiṣṭhantam arthinas tvām ivonmukhāḥ // Rc_1.30 //	sa-Aketam aDitizWantam arTinaH tvAm iva-unmuKAH // Rt-_1.30 //
   kāryadig gṛhyatāṃ kāpi kim ārya sthīyate vṛthā /	kArya-diS gRhyatAm kA-api kim Arya sTIyate vRTA /
   evam evāyam asmākam iṣṭo 'pi kim upaiṣyati // Rc_1.31 //	evam eva-ayam asmAkam izwaH api kim upEzyati // Rt-_1.31 //
   vijayāya bhavāsīno mayy arpitavapurbharaḥ /	vijayAya Bava-AsInaH mayi arpita-vapuH-BaraH /
   mūrcchānuvalanavyastaḥ prastaras tyajyatām ayam // Rc_1.32 //	mUrcCA-anuvalana-vyastaH prastaraH tyajyatAm ayam // Rt-_1.32 //
   pratīṣṭopatyakāsāladalāgrajalabindavaḥ /	pratIzwa-upatya-kAsa-Ala-dala-agra-jala-bindavaH /
   sāryantāṃ kṣaṇam uddhūya sthagitāṃsataṭā jaṭāḥ // Rc_1.33 //	sAryantAm kzaNam udDUya sTagita-aMsa-tawAH jawAH // Rt-_1.33 //
   muhūrtaṃ kriyatām ārya kapolavirahī karaḥ /	muhUrtam kriyatAm Arya kapola-virahI karaH /
   vyuṣito valkalagranthir aṃsād unmocyatām ayam // Rc_1.34 //	vyuzitaH valkala-granTiH aMsAt unmocyatAm ayam // Rt-_1.34 //
   ito vitatya dīyantām iṣavaḥ klinnayantraṇāḥ /	itas vitatya dIyantAm izavaH klinna-yantraNAH /
   nirmuktārdrajaraccailam ādattām āyataṃ dhanuḥ // Rc_1.35 //	nirmukta-Ardra-jarat-cElam AdattAm Ayatam DanuH // Rt-_1.35 //
   ito 'vatīryatāṃ prāsthād asvāsthyam idam ujjhyatām /	itas avatIryatAm prAsTAt asvAsTyam idam ujJyatAm /
   jahīṣubhir daśagrīvaṃ daśadigvedhaśodhitaiḥ // Rc_1.36 //	jahi-izuBiH daSagrIvam daSa-diS-veDa-SoDitEH // Rt-_1.36 //
   ṛjur ādīyatāṃ panthāḥ kāryakanthā garīyasī /	RjuH AdIyatAm panTAH kArya-kanTA garIyasI /
   utsāryatām idaṃ dūraṃ tamaḥ kiṃkāryatāmayam // Rc_1.37 //	utsAryatAm idam dUram tamaH kiMkArya-tAm-ayam // Rt-_1.37 //
   āryāyāḥ śivam evāsti śatrur nihata eva te /	AryAyAH Sivam eva-asti SatruH nihataH eva te /
   alaṃ dattvāvasādāya trailokyaśaraṇaṃ vapuḥ // Rc_1.38 //	alam dattvA-avasAdAya trElokya-SaraNam vapuH // Rt-_1.38 //
   rākṣasāpaśadaḥ ko 'sau tvayi sajyaśarāsane /	rAkzasa-apaSadaH kaH asO tvayi sajya-Sara-Asane /
   anena te 'vasādena dūram āropitaḥ punaḥ // Rc_1.39 //	anena te avasAdena dUram AropitaH punar // Rt-_1.39 //
   aśruvegaiḥ pramīlābhir vilāpair akhilaḥ sa te /	aSru-vegEH pramIlABiH vilApEH aKilaH sa te /
   āmṛṣṭadehayātrasya māsaḥ prauṣṭhapado gataḥ // Rc_1.40 //	AmRzwa-deha-yAtrasya mAsaH prOzWapadaH gataH // Rt-_1.40 //
   kriyatām adhunotsāhaś cintyatāṃ nidhanaṃ dviṣaḥ /	kriyatAm aDunA-utsAhaH cintyatAm niDanam dvizaH /
   kaḥ svabāhusahāyānāṃ mahatām ātmanigrahaḥ // Rc_1.41 //	kaH sva-bAhu-sahAyAnAm mahatAm Atma-nigrahaH // Rt-_1.41 //
   bhadraṃ bhādrapadacchedacchinnābhrājinarajjave /	Badram BAdrapada=-Ceda=-Cinna-aBra-ajina-rajjave /
   tubhyaṃ puruṣanāgāya nirvighnatarase 'dhunā // Rc_1.42 //	tuByam puruza-nAgAya nirviGnata-rase aDunA // Rt-_1.42 //
   prasīda kuru bhūyo 'pi dehayātrāṃ yathā tathā /	prasIda kuru BUyas api deha-yAtrAm yaTA taTA /
   anullaṅghitavijñaptir lakṣmaṇo 'varajeṣu te // Rc_1.43 //	anullaFGita-vijQaptiH lakzmaNaH avarajezu te // Rt-_1.43 //
   agādhaṃ dhairyam āryasya triṣu lokeṣu gīyate /	agADam DEryam Aryasya trizu lokezu gIyate /
   janamātrocitaḥ ko 'yam ākalpakaparigrahaḥ // Rc_1.44 //	jana-mAtra-ucitaH kaH ayam Akalpaka-parigrahaH // Rt-_1.44 //
   aropaśamitodagrajāmadagnyāgnitejasaḥ /	ara-upaSamita-udagra-jAmadagnya-agni-tejasaH /
   pratīcchati śarāsāraṃ tavārya ruṣitasya kaḥ // Rc_1.45 //	pratIcCati Sara-AsAram tava-Arya ruzitasya kaH // Rt-_1.45 //
   svakṛtyabhārasannyāsī yāvad itthaṃ viṣīdasi /	sva-kRtya-BAra-sannyAsI yAvat itTam vizIdasi /
   tāvad antakadaṃṣṭrāṇām arātir atithir na te // Rc_1.46 //	tAvat antaka-daMzwrANAm arAtiH atiTiH na te // Rt-_1.46 //
   ātatāyī sa vijñāto jīvaty āryeti ca śrutam /	AtatAyI sa vijQAtaH jIvati AryA-iti ca Srutam /
   prāpto yātrāsahaḥ kālaḥ kālakṣepasya ko guṇaḥ // Rc_1.47 //	prAptaH yAtrA-asahaH kAlaH kAla-kzepasya kaH guNaH // Rt-_1.47 //
   na jñāyate paraṃ vyaktam arer māyāvinaḥ padam /	na jQAyate param vyaktam areH mAyAvinaH padam /
   tanmārgaṇaṃ ca suhṛdā sugrīveṇa pratiśrutam // Rc_1.48 //	tad-mArgaNam ca suhRdA sugrIveNa pratiSrutam // Rt-_1.48 //
   diṅmukhāhūtavikhyātakapiyūthaḥ kapīśvaraḥ /	diFmuKa-AhUta-viKyAta-kapi-yUTaH kapi-ISvaraH /
   kṣaṇān nūnam asav āryapādamūle patiṣyati // Rc_1.49 //	kzaNAt nUnam asav Arya-pAda-mUle patizyati // Rt-_1.49 //
   śālipiṅgamahīpṛṣṭhaspardhayeva bhaviṣyati /	SAli-piFga-mahI-pRzWa-sparDayA-iva Bavizyati /
   raṃhasviharisaṃghātasampātakapilaṃ nabhaḥ // Rc_1.50 //	raMhasvi-hari-saMGAta-sampAta-kapilam naBaH // Rt-_1.50 //
   teṣām āroṣarucirair acirān mukhamaṇḍalaiḥ /	tezAm Aroza-rucirEH acirAt muKa-maNxalEH /
   drakṣyate taruṇādityaśatacchannam ivāmbaram // Rc_1.51 //	drakzyate taruNa-Aditya-Sata=-Cannam iva-ambaram // Rt-_1.51 //
   aho dīptir aho kāntir aho śīlam aho balam /	aho dIptiH aho kAntiH aho SIlam aho balam /
   aho śaktir aho bhaktir aho prajñā hanūmataḥ // Rc_1.52 //	aho SaktiH aho BaktiH aho prajQA hanUmataH // Rt-_1.52 //
   pragalbhenāpramattena tenābhyantaramantriṇā /	pragalBena-apramattena tena-aByantara-mantriNA /
   nūnam asmatkṛte svaptuṃ sugrīvāya na dīyate // Rc_1.53 //	nUnam asmad-kRte svaptum sugrIvAya na dIyate // Rt-_1.53 //
   sa ca pratyupakārāya tvarayaty enam ādṛtaḥ /	sa ca pratyupakArAya tvarayati enam AdRtaH /
   dhruvaṃ buddhivayovṛddhaḥ sacivo jāmbavān api // Rc_1.54 //	Druvam budDi-vayaH-vRdDaH sacivaH jAmbavAn api // Rt-_1.54 //
   tad evaṃ hetunā kena vānarendro vilambate /	tat evam hetunA kena vAnara-indraH vilambate /
   nāsau kṛtaghnasya bhaved guṇavadbhṛtyasaṃgrahaḥ // Rc_1.55 //	na-asO kRtaGnasya Bavet guNavat-BRtya-saMgrahaH // Rt-_1.55 //
   āgantavyaṃ dhruvaṃ tena mārgitāryā pravṛttinā /	Agantavyam Druvam tena mArgita-AryA pravRttinA /
   prapannaparakṛtyānām atyuṣṇo hi samudyamaḥ // Rc_1.56 //	prapanna-para-kRtyAnAm ati-uzNaH hi samudyamaH // Rt-_1.56 //
   tvatprasādāptasambhogasukhasaṃmīlitena vā /	tvad-prasAda-Apta-samBoga-suKa-saMmIlitena vA /
   na tenāmūr dadṛśire diśaḥ proṣitakālikāḥ // Rc_1.57 //	na tena-amUH dadRSire diSaH prozita-kAlikAH // Rt-_1.57 //
   kiyacciraṃ punar asau tasya na śrutim eṣyati /	kiyat-ciram punar asO tasya na Srutim ezyati /
   krīḍātaṭākahaṃsānāṃ ninādo madamūrchitaḥ // Rc_1.58 //	krIxA-tawAka-haMsAnAm ninAdaH mada-mUrCitaH // Rt-_1.58 //
   uktaiḥ kim atha bhūyobhir adya śvo vāgamiṣyati /	uktEH kim aTa BUyoBiH adya Svas vA-Agamizyati /
   paryutsukitakiṣkindhaḥ satyasandho harīśvaraḥ // Rc_1.59 //	paryutsukita-kizkinDaH satya-sanDaH hari-ISvaraH // Rt-_1.59 //
   vyatireke 'pi yat kāryaṃ tadapyārya pradhāryatām /	vyatireke api yat kAryam tat-api-Arya praDAryatAm /
   gṛhyatāṃ kāryasiddhir nas tadvilambatiraskṛtā // Rc_1.60 //	gRhyatAm kArya-sidDiH naH tad-vilamba-tiraskRtAH // Rt-_1.60 //
   yas tathopakṛtaḥ pūrvam āryeṇāryākṛte 'dhunā /	yaH taTA-upakRtaH pUrvam AryeNa-AryAkRte aDunA /
   sa śītalaḥ syād athavā paracittāni vetti kaḥ // Rc_1.61 //	sa SItalaH syAt aTavA para-cittAni vetti kaH // Rt-_1.61 //
   sa pratiśrutam arthaṃ naḥ sphīto vismṛtavān iva /	sa pratiSrutam arTam naH sPItaH vismRtavAn iva /
   gatvāśu smāryatām ārya kāryataptasya kā kṣamā // Rc_1.62 //	gatvA-ASu smAryatAm Arya kArya-taptasya kA kzamA // Rt-_1.62 //
   tam ahaṃ bodhayiṣyāmi daṇḍagarbhābhir uktibhiḥ /	tam aham boDayizyAmi daNxa-garBABiH uktiBiH /
   sāma saṃmīlayaty eva sukhasaktān pramādinaḥ // Rc_1.63 //	sAma saMmIlayati eva suKa-saktAn pramAdinaH // Rt-_1.63 //
   prasīda jīyatāṃ mohaḥ ko 'ham ity avadhīyatām /	prasIda jIyatAm mohaH kaH aham iti avaDIyatAm /
   drutam uttīrṇa evāste vyasanābdhiḥ kiyān ayam // Rc_1.64 //	drutam uttIrNaH eva-Aste vyasana-abDiH kiyAn ayam // Rt-_1.64 //
   sūnṛtair iti saumitreḥ prītaḥ pīyūṣavarṣibhiḥ /	sUnRtEH iti sOmitreH prItaH pIyUza-varziBiH /
   tam antarvedanāvegaṃ jigāyeva raghūdvahaḥ // Rc_1.65 //	tam antar-vedanA-vegam jigAya-iva raGu-udvahaH // Rt-_1.65 //
   unmīlayāmāsa dṛśau diśaḥ kiṃcid alokata /	unmIlayAmAsa dRSO diSaH kiMcid alokate /
   unnanāma ca talpāntān mocayan pakṣmalā jaṭāḥ // Rc_1.66 //	unna-nAma ca talpa-antAn mocayan pakzmalAH jawAH // Rt-_1.66 //
   satvaraprahvasaumitricīrotsāritareṇuni /	sa-tvara-prahva-sOmitri-cIra-utsArita-reNuni /
   śucini kvacid āsanne niṣasāda śilātale // Rc_1.67 //	Sucini kvacid Asanne nizasAda SilA-tale // Rt-_1.67 //
   upaviṣṭas tadā rāmo na reje sītayā vinā /	upavizwaH tadA rAmaH na reje sItayA vinA /
   dhvajo nirvaijayantīkaḥ paurandara ivocchritaḥ // Rc_1.68 //	DvajaH nirvEjayantIkaH pOrandaraH iva-ucCritaH // Rt-_1.68 //
   anūpaviṣṭam anujaṃ danujārim ivādrijit /	anUpavizwam anujam danuja-arim iva-adrijit /
   pratyabhāṣata vātsalyagadgadāni padāni saḥ // Rc_1.69 //	pratyaBAzata vAtsalya-gadgadAni padAni saH // Rt-_1.69 //
   ehy ehi priyasaṃlāpa hlādayāliṅgitena mām /	ehi ehi priya-saMlApa hlAdaya-AliFgitena mAm /
   ruddhaṃ ruddham upaity aśru tvām apīkṣe na lakṣmaṇa // Rc_1.70 //	rudDam rudDam upEti aSru tvAm api-Ikze na lakzmaNa // Rt-_1.70 //
   hā vatsa bhavato 'pīyam avasthāṅgeṣu vartate /	hA vatsa BavataH api-iyam avasTA-aFgezu vartate /
   dhriyatāṃ rāmahatakaḥ kleśayann ekabāndhavam // Rc_1.71 //	DriyatAm rAmahatakaH kleSayan eka-bAnDavam // Rt-_1.71 //
   nāsti vatsa cikitsāsya vyādher vidhurajanmanaḥ /	na-asti vatsa cikitsA-asya vyADeH viDura-janmanaH /
   yasya yāpanayā kṣīṇam idaṃ te sāntvanāmṛtam // Rc_1.72 //	yasya yApanayA kzINam idam te sAntvanA-amRtam // Rt-_1.72 //
   naikadurvāraghorādhighaṭṭanācalitā api /	na-eka-durvAra-Gora-aDiGawwana-acalitAH api /
   tavāśvāsanayā vatsa na gacchanti mamāsavaḥ // Rc_1.73 //	tava-ASvAsanayA vatsa na gacCanti mama-asavaH // Rt-_1.73 //
   pitur naḥ priyamitrasya lūnapakṣasya maddviṣā /	pituH naH priya-mitrasya lUna-pakzasya mad-dvizA /
   saṃsmaran notsahe vatsa marmacchedaṃ jaṭāyuṣaḥ // Rc_1.74 //	saMsmaran na-utsahe vatsa marma=-Cedam jawAyuzaH // Rt-_1.74 //
   tātasya tātamitrasya vatsavatsalayos tayoḥ /	tAtasya tAta-mitrasya vatsa-vatsalayoH tayoH /
   aham eva gataḥ pāpo nidhanāya nimittatām // Rc_1.75 //	aham eva gataH pApaH niDanAya nimitta-tAm // Rt-_1.75 //
   priyāpahārajaḥ śāmyet samyag unmūlite ripau /	priya-apahAra-jaH SAmyet samyak unmUlite ripO /
   manyur dehāvadhir ayaṃ tātamitravipattibhūḥ // Rc_1.76 //	manyuH deha-avaDiH ayam tAta-mitra-vipatti-BUH // Rt-_1.76 //
   nabhastalāt khagapatau patati cchinnapakṣatau /	naBastalAt Kaga-patO patati cCinna-pakzatO /
   ko 'paras tāṃ mama suhṛn mā bhaiṣīr ity abhāṣata // Rc_1.77 //	kaH aparaH tAm mama suhRd mA BEzIH iti aBAzata // Rt-_1.77 //
   syād vatsa rāmahatakāt klībaḥ kaḥ puruṣo 'paraḥ /	syAt vatsa rAma-hatakAt klIbaH kaH puruzaH aparaH /
   ekapatnīm anugatām arāter yo na rakṣati // Rc_1.78 //	ekapatnIm anugatAm arAteH yaH na rakzati // Rt-_1.78 //
   tayā teṣu tapasvinyā sīdator āvayor api /	tayA tezu tapasvinyA sIdatoH AvayoH api /
   daṇḍakāraṇyakaṣṭeṣu mukhaṃ na vidhurīkṛtam // Rc_1.79 //	daNxaka-araNya-kazwezu muKam na viDurIkRtam // Rt-_1.79 //
   videharājasya sutā snuṣā daśarathasya sā /	videha-rAjasya sutA snuzA daSaraTasya sA /
   hatarāmasya jāyeti bhramati sma vane vane // Rc_1.80 //	hata-rAmasya jAyA-iti Bramati sma vane vane // Rt-_1.80 //
   svam apy apuṣṇatā kāyam api jāyām arakṣatā /	svam api apuzNa-tA kAyam api jAyAm arakzatA /
   mayā samaḥ śrutaḥ ko 'pi jātaḥ klībo raghoḥ kule // Rc_1.81 //	mayA samaH SrutaH kaH api jAtaH klIbaH raGoH kule // Rt-_1.81 //
   tvaṃ kevalaṃ na subhrātā tathā vilapatā muhuḥ /	tvam kevalam na suBrAtA taTA vilapatAH muhur /
   tiryañco 'pi mayāmuṣmin vane lakṣmaṇa roditāḥ // Rc_1.82 //	tiryaQcaH api mayA-amuzmin vane lakzmaNa roditAH // Rt-_1.82 //
   dikṣu sannaddhameghāsu mama ghorādhisākṣiṇām /	dikzu sannadDa-meGAsu mama Gora-aDisAkziNAm /
   avahan nirjharanibhān nagānām aśrunimnagāḥ // Rc_1.83 //	avahan nirJara-niBAn nagAnAm aSru-nimnagAH // Rt-_1.83 //
   ārād ākarṇitasnigdhanavābdaninadair api /	ArAt AkarNita-snigDa-nava-abda-ninadEH api /
   matkāruṇyād araṇye 'pi nānṛtyata kalāpibhiḥ // Rc_1.84 //	mad-kAruNyAt araNye api na-AnRtyata kalApiBiH // Rt-_1.84 //
   satyam eṣyati sugrīvaḥ satyaṃ jīvati jānakī /	satyam ezyati sugrIvaH satyam jIvati jAnakI /
   tvadvaco na viparyeti bhrātar brūhi punaḥ punaḥ // Rc_1.85 //	tvad-vacaH na viparyeti BrAtar brUhi punar punar // Rt-_1.85 //
   tvadvākyaśīkarair ebhir niruddhabahirudgamaḥ /	tvad-vAkya-SIkarEH eBiH nirudDa-bahis-udgamaH /
   mamāntar leḍhi marmāṇi sītāvirahamurmuraḥ // Rc_1.86 //	mama-antar leXi marmANi sItA-viraha-m-urmuraH // Rt-_1.86 //
   tasmād api dahaty uccair ayaṃ mām aparaḥ śikhī /	tasmAt api dahati uccEs ayam mAm aparaH SiKI /
   yad vanaukasi nirvaire mukto vālini mārgaṇaḥ // Rc_1.87 //	yat vanOkasi nirvEre muktaH vAlini mArgaNaH // Rt-_1.87 //
   gurvī punaś ca lajjeyam uttamarṇair ivādhunā /	gurvI punar ca lajjeyam uttamarNEH iva-aDunA /
   mārgitavyo yad asmābhiḥ plavagāḥ pratyupakriyām // Rc_1.88 //	mArgitavyaH yat asmABiH plavagAH pratyupakriyAm // Rt-_1.88 //
   nāsti pratyupakārāśā tatra naś capale kapau /	na-asti pratyupakAra-ASA tatra naH capale kapO /
   yenātilaghunottuṅgo laṅghitaḥ satyapādapaḥ // Rc_1.89 //	yena-atila-GunA-uttuFgaH laFGitaH satya-pAdapaH // Rt-_1.89 //
   uttiṣṭha vatsa gacchāvaḥ sādhayāmo 'nyato 'dhunā /	uttizWa vatsa gacCAvaH sADayAmaH anyatas aDunA /
   navaiśvaryasukhavyagraḥ sugrīvo nāgam iṣyati // Rc_1.90 //	nava-ESvarya-suKa-vyagraH sugrIvaH nAgam izyati // Rt-_1.90 //
   tapasvī ramatām evaṃ cirād dāraiḥ samāgataḥ /	tapasvI ramatAm evam cirAt dArEH samAgataH /
   sa pīḍyamānaḥ praṇayād virasaḥ kiṃ kariṣyati // Rc_1.91 //	sa pIxyamAnaH praNayAt virasaH kim karizyati // Rt-_1.91 //
   kiṃ ca vatsa daśāsāmyāj jātāḥ smaḥ suhṛdaḥ purā /	kim ca vatsa daSa-asAmyAt jAtAH smaH suhRdaH purA /
   tasyādhunā tu vistīrṇavibhavāndhasya ke vayam // Rc_1.92 //	tasya-aDunA tu vistIrNa-viBava-anDasya ke vayam // Rt-_1.92 //
   gṛhītasādhuvartmāpi sadyaḥ samprāpya sampadam /	gRhIta-sADu-vartmA-api sadyas samprApya sampadam /
   patati skhalito 'tīva pramattaḥ prahate pathi // Rc_1.93 //	patati sKalitaH atIva pramattaH prahate paTi // Rt-_1.93 //
   sa vatsa viralo jantur vipatkālapratiśrutam /	sa vatsa viralaH jantuH vipad-kAla-pratiSrutam /
   sadyaḥ sampanmado yasya na vilumpati cetasi // Rc_1.94 //	sadyas sampad-madaH yasya na vilumpati cetasi // Rt-_1.94 //
   astu sādhur asādhur vā na vicāryaḥ sa me 'dhunā /	astu sADuH asADuH vA na vicAryaH sa me aDunA /
   vatsa notsahate cetas tatra dogdhum upakriyām // Rc_1.95 //	vatsa na-utsahate cetaH tatra dogDum upakriyAm // Rt-_1.95 //
   asāv anāgataḥ śreyān āgacchan vatsa vāryatām /	asO anAgataH SreyAn AgacCan vatsa vAryatAm /
