   || Vṛttamālāstutiḥ ||	|| VRtta-mAla-AstutiH ||
   gīyamānasumanaḥsumanasvaj- $ jātikīrtivijayeva taveyam &	gIyamAna-sumanaH-sumanasva-j $ jAti-kIrtivijayA-iva tava-iyam &
   bhāti dūratatasaurabhalobha- % svāgatālipaṭalakvaṇitena // JVms_39 //	BAti dUra-tata-sOraBa-loBa % svAgata-ali-pawala-kvaNitena // JVmH-_39 //
   sphārāmodā madhunidhir adhikaṃ $ cūrṇaṃ cātuḥsamaṃ iva dadhatī &	sPAra-AmodA maDuniDiH aDikam $ cUrNam cAtuHsamam iva daDatI &
   nīlābjaśrīr dalasukhaśayanā- % saṃparyāptabhramaravilasitā // JVms_40 //	nIla-abja-SrIH dala-suKa-SayanA % saMparya-Apta-Bramara-vilasitAH // JVmH-_40 //
   rūparasāyanabhāvanayā te $ vāsava eva paraṃ bahumānyaḥ &	rUpa-rasAyana-BAvanayA te $ vAsavaH eva param bahu-mAnyaH &
   yena cirāya nirastanimeṣaṃ % labdham adodhakam ambakajātam // JVms_41 //	yena cirAya nirasta-nimezam % labDam adoDakam ambaka-jAtam // JVmH-_41 //
   haktyānataratnakirīṭacakrair $ ābaddhakarāñjalibhiḥ prahṛṣṭaiḥ &	hakti-Anata-ratna-kirIwa-cakrEH $ AbadDa-kara-aQjaliBiH prahRzwEH &
   dhanyaiḥ suciraṃ caraṇadvayī te % vītānyavidheyam upasthiteyam // JVms_42	DanyEH su-ciram caraNa-dvayI te % vItAni-aviDeyam upasTitA-iyam // JVmH-_42
   kim indravibhavair brahmaśriyā vā $ tato 'py atiśayinyā saṃpadā kim &	kim indra-viBavEH brahma-SriyA vA $ tatas api atiSayinyA saMpadA kim &
   prasidhyati dhiyo 'dhīśa prakāmaṃ % tvadaṅghrikamalasyopasthitaṃ cet //	prasiDyati DiyaH aDISa prakAmam % tvad-aFGri-kamalasya-upasTitam ced //
   JVms_43 //	JVmH-_43 //
   tvatsaṃsevāvimukhaṃ janmadurge $ karmakleśau vivaśaṃ nāśam asmin &	tvad-saMsevA-vimuKam janma-durge $ karma-kleSO vivaSam nASam asmin &
   saṃbhūyālaṃ nayato 'vaśyam ugrau % vātormī potam ivāmbhodhimadhye //	saMBUya-alam nayataH avaSyam ugrO % vAta-UrmI potam iva-amBoDi-maDye //
   JVms_44 //	JVmH-_44 //
   dūradarśimanasām anāgasāṃ $ kāpi visphurati cittasaṃtatiḥ &	dUra-darSi-manasAm anAgasAm $ kA-api visPurati citta-saMtatiH &
   nirvirāmatamam ābhavaṃ bhavat- % paryupāsanamanorathoddhatā // JVms_45 //	nirvirAmatamam ABavam Bavat % paryupAsana-manoH-aTa-udDatA // JVmH-_45 //
   chede hṛdyā vibhramāṇāṃ caturṇāṃ $ tūrṇaprāptāv āryasatyāmṛtānām &	Cede hRdyAH viBramANAm caturNAm $ tUrNa-prAptO Arya-satya-amRtAnAm &
   puṇyāvasthā tvatkaṭākṣekṣane 'pi % prauḍhaprajñāśālinī kāpy udeti //	puNya-avasTA tvad-kawAkza-Ikzane api % prOXa-prajQA-SAlinI kA-api udeti //
   JVms_46 //	JVmH-_46 //
   kīrtir artikarttaras tava stava- $ stomasadmano 'tisadmanohṛtaḥ &	kIrtiH artikarttaraH tava stava $ stoma-sadmanaH ati-sadmanaH-hRtaH &
   sāndracandracandrikārdracandana- % śyeny alaṅkaroty alaṃ diśo daśa //	sAndra-candra-candrikA-Ardra-candana % SyenI alaFkaroti alam diSaH daSa //
   JVms_47 //	JVmH-_47 //
   abhyudgatānekaśikhābhir uccais $ tvatsaṃśrayād dustyajasattvadṛṣṭiḥ &	aByudgata-aneka-SiKABiH uccEs $ tvad-saMSrayAt dustyaja-sattva-dRzwiH &
   pradhvasram anvañcati śailamūrtis % tīvrendravajrāhatidāriteva // JVms_48	praDvasram anvaQcati SEla-mUrtiH % tIvra-indra-vajra-ahati-dAritA-iva // JVmH-_48
   virūḍhadharmādhipabhāvabhavya- $ pratuṅgasiṃhāsanasaṃniṣaṇṇam &	virUXa-Darma-ADipa-BAva-Bavya $ pratuFga-siMhAsana-saMnizaNNam &
   upāsate kāntiśivāḥ śivāpaty- % upendravajrāyudhavedhasas tvām // JVms_49	upAsate kAnti-SivAH Siva-apaty % upendra-vajrAyuDa-veDasaH tvAm // JVmH-_49
   anantarodbhāvitalakṣaṇāḍhyau $ pādau bhavetām api gocarau te &	anantara-udBAvita-lakzaNa-AXyO $ pAdO BavetAm api gocarO te &
   yāsāṃ dṛśaḥ śravyayatiprapañcau % dhanyāḥ surāṇām upajātayas tāḥ //	yAsAm dRSaH Sravyayati-prapaQcO % DanyAH surANAm upajAtayaH tAH //
   JVms_50 //	JVmH-_50 //
   asaṃśayaṃ tvām apareṣu satsv api $ prakāmasarvātmaguṇānuhāriṣu &	asaMSayam tvAm aparezu satsu api $ prakAma-sarva-Atma-guNa-anuhArizu &
   ananyasādhāraṇayā dhiyādhipā % uśanti vaṃśastham anaṅgajiṣṇavaḥ // JVms_51	ananya-sADAraNayA DiyA-aDipAH % uSanti vaMSa-sTam anaFga-jizNavaH // JVmH-_51
   bālākṛtiṃ kāntavicitrabhūṣaṇaṃ $ hemābham akṣobhyasanāthaśekharam &	bAla-AkRtim kAnta-vicitra-BUzaNam $ hema-ABam akzoBya-sanATa-SeKaram &
   vāgīśvaraṃ vāgmatimūrtibhir name % maunīndravaṃśābharānodayaśriyam //	vAgISvaram vAgmati-mUrtiBiH name % mOni-indra-vaMSa-aBarAna-udaya-Sriyam //
   JVms_52 //	JVmH-_52 //
   ativistarair api girāṃ sugiro $ guṇapāram īyur adhinātha na te &	ati-vistarEH api girAm su-giraH $ guNa-pAram IyuH aDinA-aTa na te &
   nijamodamātrajananīti nutiḥ % pramitākṣarāpi subhagaiva mama // JVms_53 //	nijamodamAtra-jananI-iti nutiH % pramita-akzarA-api suBagA-eva mama // JVmH-_53 //
   dīpyamānākhilālaṅkṛtiślāghinī $ puṇyabhājāṃ mukhāmbhojalabdhodayā &	dIpyamAna-aKila-alaFkRti-SlAGinI $ puNya-BAjAm muKa-amBoja-labDa-udayA &
   bhāratī bhāratīśa svabhāvojjvalā % tvām upaiti svayaṃ sadguṇasragviṇī //	BAratI BArati-ISa svaBAva-ujjvalA % tvAm upEti svayam sat-guNa-sragviNI //
   JVms_54 //	JVmH-_54 //
   bhaṅgaṃ nītās te pañcabāṇasya bāṇāḥ $ śānto dveṣāgnir mohajāḍyaṃ nirastam	BaFgam nItAH te paQcabANasya bANAH $ SAntaH dveza-agniH moha-jAxyam nirastam
   nātha trailokyānugrahavyagramūrte % saṃpat saṃprāptā vaiśvadevī tvayaiva	nATa trElokya-anugraha-vyagra-mUrte % saMpad saMprAptA vESvadevI tvayA-eva
   // JVms_55 //	// JVmH-_55 //
   saṃpūrṇo 'ntar guṇagaṇaratnaiś citrair $ ambhorāśer yatim atidhairyād	saMpUrNaH antar guNa-gaNa-ratnEH citrEH $ amBaH-rASeH yatim ati-DEryAt-
   dhatse &	Datse &
   saṃkleśāgnipraśamanasaddharmāmbho- % dhārāsārair jaladharamālālīlām //	saMkleSa-agni-praSamana-sat-Darma-amBo % DArA-sArEH jalaDara-mAlA-lIlAm //
   JVms_56 //	JVmH-_56 //
   tava puraḥ paramottama saṃmatāḥ $ pratibhayā vikalāḥ prativādinah &	tava puras parama-uttama saMmatAH $ pratiBayA vikalAH prativAdinah &
   sulabhamūkadaśā bahu manyante % drutavilambitam apy uditaṃ vacaḥ //	sulaBa-mUka-daSAH bahu manyante % druta-vilambitam api uditam vacaH //
   JVms_57 //	JVmH-_57 //
   tritayam api pavitrayantī jagat $ tuhinakarakarāvadātadyutiḥ &	tritayam api pavitrayantI jagat $ tuhinakara-kara-avadAta-dyutiH &
   prabhavati bhavataś ca kīrtiś ciraṃ % suragiriśirasaś ca mandākinī //	praBavati BavataH ca kIrtiH ciram % suragiriSirasaH ca mandAkinI //
   JVms_58 //	JVmH-_58 //
   harati nitāntam iyaṃ tava kīrtiḥ $ kṛtihṛdayāni dayānijavāsa &	harati nitAntam iyam tava kIrtiH $ kRti-hRdayAni dayA-nija-vAsa &
   prasavacayena citeva samantād % diśi diśi kundalatā dalatālam // JVms_59	prasava-cayena citA-iva samantAt % diSi diSi kunda-latA dala-tAlam // JVmH-_59
   dalayaty upāttaśobhāsamavāyo $ jagatām aghāni ko 'py eṣa kṛpābdhiḥ &	dalayati upAtta-SoBA-samavAyaH $ jagatAm aGAni kaH api eza kRpA-abDiH &
   bahubuddhakoṭinirmāṇapaṭīyān % dhṛtadharmadhātuvāgīśvaralīlaḥ // JVms_60	bahu-budDa-kowi-nirmANa-pawIyAn % DRta-Darma-DAtu-vAgISvara-lIlaH // JVmH-_60
   pravikiratīva viyattaraṅgiṇī- $ taralataraṅgaruco rucāṃ cayān &	pravikirati-iva viyat-taraFgiNI $ tarala-taraFga-rucaH rucAm cayAn &
   vilasati śaśvad asir daśāntare % tava yamunājalavīcimecakaḥ // JVms_61 //	vilasati SaSvat asiH daSa-antare % tava yamunA-jala-vIci-mecakaH // JVmH-_61 //
   *manohārihārāvalīramyarūpaṃ $ kva nāthedṛśaṃ te surūpādhirāja &	*manohAri-hAra-AvalI-ramya-rUpam $ kva nATa-IdRSam te surUpADirAja &
   kva tac cātidurdāntasattvapraśāntyai % sphuradbhīmabhūṣābhujaṅgaprayātam*	kva tat ca-ati-durdAnta-sattva-praSAntyE % sPurat-BIma-BUzA-BujaFga-prayAtam*
   // JVms_62 //	// JVmH-_62 //
   aviralamauktikaprakarabhūṣā $ harati na kasya cittam iyam īśa &	avirala-mOktika-prakara-BUzA $ harati na kasya cittam iyam ISa &
   suruciramallikāsamayasevya- % pratinavamālinīva tava mūrtiḥ // JVms_63 //	surucira-mallikA-samaya-sevya % pratinava-mAlinI-iva tava mUrtiH // JVmH-_63 //
   tava nātha paraṃ yadi kāntisudhā- $ jaladhau śramam ujjhati jhātkṛtini &	tava nATa param yadi kAnti-suDA $ jalaDO Sramam ujJati JAtkRtini &
   śubharūpanirūpaṇalampaṭakaṃ % parito 'ṭakam aṅga jagannayanam // JVms_64	SuBa-rUpa-nirUpaNa-lampawakam % paritas awakam aFga jagat-nayanam // JVmH-_64
   varada viratibhāñji vyaktam aṅgāny $ atibhava bhavitā no 'vaśyam eva &	vara-da virati-BAQji vyaktam aFgAni $ ati-Bava BavitA naH avaSyam eva &
   tava vacanasudhāyāḥ pānapātraṃ % śravaṇayugapuṭo 'yaṃ prītihetuḥ //	tava vacana-suDAyAH pAna-pAtram % SravaNa-yuga-puwaH ayam prIti-hetuH //
   JVms_65 //	JVmH-_65 //
   vṛṇe varam imaṃ tvad ekam atula- $ prabhāva bhavatān na mādṛśajanaḥ &	vRNe varam imam tvat ekam atula $ praBAva BavatAn na mAdRSa-janaH &
   bhavantam api yah śrayañ chamasudhā- % raseṣu viratir jaḍoddhatagatiḥ //	Bavantam api yah Srayan Cama-suDA % rasezu viratiH jaxa-udData-gatiH //
   JVms_66 //	JVmH-_66 //
   tvatprasādasamudīrṇaśubhavaśād $ aṣṭabhedi sukham eva kṛtijanaḥ &	tvad-prasAda-samudIrNa-SuBa-vaSAt $ azwa-Bedi suKam eva kRti-janaH &
   locanotsavavidhāsu tanubhṛtāṃ % candra vartma samupaiti bhavabhidām //	locana-utsava-viDAsu tanuBRtAm % candra vartma samupEti Bava-BidAm //
   JVms_67 //	JVmH-_67 //
   sukhaduḥkhātiśayādihetujātair $ aviluptasmṛtayo bhavanti bhavyāḥ &	suKa-duHKa-atiSaya-Adi-hetu-jAtEH $ avilupta-smRtayaH Bavanti BavyAH &
   tava pādāśrayalabdhabuddhisārāḥ % sakalāyām api vādirāja gatyām // JVms_68	tava pAda-ASraya-labDa-budDi-sArAH % sakalAyAm api vAdi-rAja gatyAm // JVmH-_68
   tava caraṇaparicaraṇarucīnāṃ $ kim api sukham udayati kṛtirūpam &	tava caraNa-paricaraNa-rucInAm $ kim api suKam udayati kRti-rUpam &
   nikhilamalapaṭalavigamadīpraṃ % prathitaguṇamahitamati jagatyām // JVms_69	niKila-mala-pawala-vigama-dIpram % praTita-guNam-ahitam-ati jagatyAm // JVmH-_69
   kaladhautakāntavapur uttamalīlaḥ $ paṭubhāratīvaraṭayā varivasyaḥ &	kalaDOta-kAnta-vapuH uttama-lIlaH $ pawu-BAratI-varawayA varivasyaH &
   iha mañjughoṣa iti vaḥ prathito vyāj % jinamānasaikanalinīkalahaṃsaḥ //	iha maQjuGozaH iti vaH praTitaH vyAt % jina-mAnasa-eka-nalinI-kalahaMsaH //
   JVms_70 //	JVmH-_70 //
   vicchedas triṣu yadi duḥsaheṣv amīṣu $ kleśeṣu sphuṭam aṇuśo 'pi duṣkaraḥ	vicCedaH trizu yadi duHsahezu amIzu $ kleSezu sPuwam aNuSas api duzkaraH
   syāt &	syAt &
   prāpyeta kva nu khalu nātha mūrtir īdṛk % trailokīnayanamanaḥpraharṣiṇīha	prApyeta kva nu Kalu nATa mUrtiH IdRS % trElokI-nayana-manaH-praharziNI-iha
   // JVms_71 //	// JVmH-_71 //
   payonidhau viratim apāṃ vidhāya ca $ sphuranmahākiraṇakalāparatnadhau &	payoniDO viratim apAm viDAya ca $ sPurat-mahA-kiraNa-kalApa-ratnaDO &
   bhavādṛśāṃ vapuṣi ca kāntisaṃtatiḥ % samīkṣyate yadi rucireyam īdṛśī //	BavAdRSAm vapuzi ca kAnti-saMtatiH % samIkzyate yadi rucirA-iyam IdRSI //
   JVms_72 //	JVmH-_72 //
   mandradhvānair yāmṛtadhārās tvayi ramyā $ muñcaty uccair visphurati	mandra-DvAnEH yA-amRta-DArAH tvayi ramyA $ muQcati uccEs visPurati
   prīṇitabhavye &	prINita-Bavye &
   nāthānveti vyaktatayātyantamanojñaṃ % varṣāmbhodaṃ saiva yatir	nATAn-veti vyakta-tayA-atyanta-manojQam % varzA-amBodam sA-eva yatiH-
   mattamayūram // JVms_73 //	matta-mayUram // JVmH-_73 //
   jayatīyam utpalataror anuttara- $ trijagatpramodajanane madhāv iva &	jayati-iyam utpala-taroH anuttara $ trijagat-pramoda-janane maDO iva &
   tvayi netrakāntakusumodgatā latā % madhumattabhṛṅgaravamañjubhāṣiṇī //	tvayi netra-kAnta-kusuma-udgatA latA % maDu-matta-BRFga-rava-maQju-BAziNI //
   JVms_74 //	JVmH-_74 //
   sarvātiśāyiguṇanirbharalabdhamodair $ vidvanmadhuvratakulair upagīyamānam	sarva-atiSAyi-guNa-nirBara-labDa-modEH $ vidvat-maDu-vrata-kulEH upagIyamAnam
   manyāmahe jinanayābharaṇaṃ tavaiva % vṛttaṃ vasantatilakaṃ navacūtam eva	manyAmahe jina-nayA-ABaraNam tava-eva % vRttam vasantatilakam nava-cUtam eva
   // JVms_75 //	// JVmH-_75 //
   saṃmukhavalanmukhamṛgādhipatipṛṣṭhā- $ rūḍham atigāḍhadayam	saMmuKa-valat-muKa-mRga-aDipati-pRzWA $ rUXam ati-gAXa-dayam
   abhyudayakandam &	aByudaya-kandam &
   sundarimabandhuritahemahimapādaṃ % vādikuladaivatam amandam abhivande //	sundarima-banDurita-hema-hima-pAdam % vAdi-kula-dEvatam amandam aBivande //
   JVms_76 //	JVmH-_76 //
   praśamitasakalaprapañcanirāvṛti- $ prasaradamaladhīsamādhisudhājuṣaḥ &	praSamita-sakala-prapaQca-nirAvRti $ prasarat-amalaDI-samADi-suDA-juzaH &
   damayati bhavato hatāhitavikramā % muniyatir aparājitā bhuvanatrayam //	damayati BavataH hata-ahita-vikramA % muni-yatiH aparAjitA Buvanatrayam //
   JVms_77 //	JVmH-_77 //
   pratibhayavapuṣām akaruṇacarita- $ praśamanavidhaye kva cid api kṛpayā &	pratiBaya-vapuzAm akaruNa-carita $ praSamana-viDaye kva cit api kRpayA &
   tava bhujaparighāvalir ativiṣamā % vilasati vividhapraharaṇakalikā //	tava Buja-pariGa-AvaliH ati-vizamAH % vilasati viviDa-praharaNa-kalikA //
   JVms_78 //	JVmH-_78 //
   śreyaḥsaṃbhogaṃ viṣayaviratim avyagrāṃ $ mārapradhvaṃsaṃ	SreyaH-saMBogam vizaya-viratim avyagrAm $ mAra-praDvaMsam
   tribhuvanahitasaṃpattim &	triBuvana-hita-saMpattim &
   duṣprāpāhāryaṃ padam abhilaṣatāṃ tac ca % tvadbhakter anyā varada na dig	duzprApa-AhAryam padam aBilazatAm tat ca % tvad-BakteH anyA vara-da na diS-
