   atha yama smṛtiḥ ||	aTa yama smRtiH ||
   trayas te narakaṃ yānti dṛṣṭvā kanyāṃ rajasvalām // YS78v_23 //	trayaH te narakam yAnti dRzwvA kanyAm rajasvalAm // YS78u-_23 //
   yas tāṃ vivāhayet kanyāṃ brāhmaṇo madamohitaḥ /	yaH tAm vivAhayet kanyAm brAhmaNaH mada-mohitaH /
   asaṃbhāṣyo hy apāṅkteyaḥ sa vipro vṛṣalīpatiḥ // YS78v_24 //	asaMBAzyaH hi apAFkteyaH sa vipraH vRzalI-patiH // YS78u-_24 //
   vandhyā tu vṛṣalī jñeyā vṛṣalī tu mṛtaprajāḥ /	vanDyA tu vRzalI jQeyA vRzalI tu mRta-prajAH /
   śūdrī tu vṛṣalī jñeyā kumārī tu rajasvalā // YS78v_25 //	SUdrI tu vRzalI jQeyA kumArI tu rajasvalAH // YS78u-_25 //
   yat karoty ekarātreṇa vṛṣalīsevanād dvijaḥ /	yat karoti eka-rAtreNa vRzalI-sevanAt dvijaH /
   tad bhaikṣabhug japen nityaṃ tribhir varṣair vyapohati // YS78v_26 //	tat BEkza-Buj japet nityam triBiH varzEH vyapohati // YS78u-_26 //
   svavṛṣaṃ yā parityajyāny avṛṣeṇa bṛhaspatiḥ /	sva-vRzam yA parityajyAni avRzeNa bRhaspatiH /
   vṛṣalī sā tu vijñeyā na śūdrī vṛṣalī bhavet // YS78v_27 //	vRzalI sA tu vijQeyA na SUdrI vRzalI Bavet // YS78u-_27 //
   vṛṣalīphenapītasya niḥśvāsopahatasya ca /	vRzalI-Pena-pItasya niHSvAsa-upahatasya ca /
   tasyāñ caiva prasūtasya niṣkṛtir naiva vidyate // YS78v_28 //	tasyAn ca-eva prasUtasya nizkRtiH na-eva vidyate // YS78u-_28 //
   śvitrakuṣṭhī tathā caiva kunakhī śyāvadantakaḥ /	SvitrakuzWI taTA ca-eva kunaKI SyAva-dantakaH /
   rogī hīnātiriktāṅgaḥ piśuno matsaras tathā // YS78v_29 //	rogI hIna-atirikta-aFgaH piSunaH matsaraH taTA // YS78u-_29 //
   durbhago hi tathā ṣaṇḍaḥ pāṣaṇḍī vedanindakaḥ /	durBagaH hi taTA zaNxaH pAzaNxI veda-nindakaH /
   haitukaḥ śūdrayājī ca ayājyānāñ ca yājakaḥ // YS78v_30 //	hEtukaH SUdra-yAjI ca ayAjyAnAn ca yAjakaH // YS78u-_30 //
   nityaṃ pratigrahe lubdho yācako viṣayātmakaḥ /	nityam pratigrahe lubDaH yAcakaH vizaya-AtmakaH /
   śyāvadanto 'tha vaidyaś ca asadālāpakas tathā // YS78v_31 //	SyAva-dantaH aTa vEdyaH ca asat-AlApakaH taTA // YS78u-_31 //
   ete śrāddhe ca dāne ca varjanīyāḥ prayatnataḥ // YS78v_32//	ete SrAdDe ca dAne ca varjanIyAH prayatnataH // YS78u-_32//
   tato devalakaś caiva bhṛtako vedavikrayī /	tatas devalakaH ca-eva BRtakaH veda-vikrayI /
   ete varjyāḥ prayatnena etad bhāsvatir abravīt // YS78v_33 //	ete varjyAH prayatnena etat BAsvatiH abravIt // YS78u-_33 //
   etān niyojayed yas tu havye kavye ca karmaṇi /	etAn niyojayet yaH tu havye kavye ca karmaNi /
   nirāśāḥ pitaras tasya yānti devāmaharṣibhiḥ // YS78v_34 //	nirASAH pitaraH tasya yAnti devAmahA-RziBiH // YS78u-_34 //
   agre māhiṣikaṃ dṛṣṭvā madhye tu vṛṣalīpatim /	agre mAhizikam dRzwvA maDye tu vRzalI-patim /
   ante vārdhuṣikaṃ dṛṣṭvā nirāśāḥ pitaro gatāḥ // YS78v_35 //	ante vArDuzikam dRzwvA nirASAH pitaraH gatAH // YS78u-_35 //
   mahiṣīty ucyate bhāryā yā caiva vyabhicāriṇī /	mahizI-iti ucyate BAryA yA ca-eva vyaBicAriNI /
   tān doṣān kṣamate yas tu sa vai māhiṣikaḥ smṛtaḥ // YS78v_36 //	tAn dozAn kzamate yaH tu sa vE mAhizikaH smRtaH // YS78u-_36 //
   samārghan tu samuddhṛtya mahārghaṃ yah prayacchati /	samArGan tu samudDRtya mahArGam yam prayacCati /
   sa vai vārdhuṣiko nāma brahmavādiṣu garhitaḥ // YS78v_37 //	sa vE vArDuzikaH nAma brahma-vAdizu garhitaH // YS78u-_37 //
   yāvad uṣṇaṃ bhavaty annaṃ yāvad bhuñjanti vāgyatāḥ /	yAvat uzNam Bavati annam yAvat BuQjanti vAgyatAH /
   aśnanti pitaras tāvad yāvan noktā havirguṇāḥ // YS78v_38 //	aSnanti pitaraH tAvat yAvat na-uktAH haviH-guNAH // YS78u-_38 //
   havirguṇā na vaktavyāḥ pitaro yatra tarpitāḥ /	haviH-guNAH na vaktavyAH pitaraH yatra tarpitAH /
   pitṛbhis tarpitaiḥ paścād vaktavyaṃ śobhanaṃ haviḥ // YS78v_39 //	pitRBiH tarpitEH paScAt vaktavyam SoBanam haviH // YS78u-_39 //
   yāvato grasate grāsān havyakavyeṣu mantravit /	yAvataH grasate grAsAn havya-kavyezu mantra-vid /
   tāvato grasate piṇḍān śarīre brahmaṇaḥ pitā // YS78v_40 //	tAvataH grasate piNxAn SarIre brahmaNaH pitA // YS78u-_40 //
   ucchiṣṭocchiṣtasaṃspṛṣṭaḥ śunā śūdreṇa vā dvijaḥ /	ucCizwa-ucCizta-saMspRzwaH SunA SUdreNa vA dvijaH /
   upoṣya rajamīm ekāṃ pañcagavyena śuddhyati // YS78v_41 //	upozya rajamIm ekAm paQcagavyena SudDi-ati // YS78u-_41 //
   anucchiṣṭena saṃspṛṣṭe snānamātraṃ vidhīyate /	anucCizwena saMspRzwe snAna-mAtram viDIyate /
   tenaivocchiṣṭasaṃspṛṣṭaḥ prājāpatyaṃ samācaret // YS78v_42 //	tena-eva-ucCizwa-saMspRzwaH prAjApatyam samAcaret // YS78u-_42 //
   yāvad viprā na pūjyante sambhojanahiraṇyakaiḥ /	yAvat viprAH na pUjyante samBojana-hiraNyakEH /
   tāvac cīrṇavratasyāpi tat pāpaṃ na praṇaśyati // YS78v_43 //	tAvat cIrNa-vratasya-api tat pApam na praNaSyati // YS78u-_43 //
   yad veṣṭitaṃ kākabalākacillair amedhyaliptaṃ tu bhavec charīram /	yat vezwitam kAka-balAka-cillEH ameDya-liptam tu Bavet SarIram /
   gātre mukhe ca praviśec ca samyak snānena lepopahatasya śuddhiḥ //	gAtre muKe ca praviSet ca samyak snAnena lepa-upahatasya SudDiH //
   YS78v_44 //	YS78u-_44 //
   ūrdhvaṃ nābheḥ karau muktvā yad aṅgam upahanyate /	UrDvam nABeH karO muktvA yat aFgam upahanyate /
   ūrdhvaṃ snānam adhaḥ śaucaṃ tan mātreṇaiva śuddhyati // YS78v_45 //	UrDvam snAnam aDas SOcam tat mAtreNa-eva SudDi-ati // YS78u-_45 //
   abhakṣyāṇām apeyānām alehyānāñ ca bhakṣaṇe /	aBakzyANAm apeyAnAm alehyAnAn ca BakzaNe /
   reto mūtrapurīṣāṇāṃ prāyaścittaṃ kathaṃ bhavet // YS78v_46 //	retaH mUtra-purIzANAm prAyaScittam kaTam Bavet // YS78u-_46 //
   padmoḍumbaravilvāś ca kuśāśvatthapalāśakāḥ /	padma-uxumbara-vilvAH ca kuSa-aSvatTa-palASakAH /
   eteṣām udakaṃ pītvā ṣaḍrātreṇaiva śuddhyati // YS78v_47 //	etezAm udakam pItvA zaz-rAtreNa-eva SudDi-ati // YS78u-_47 //
   yaḥ pratyavasito vipraḥ pravrajyāgnir nirāpadi /	yaH pratyavasitaH vipraH pravrajyA-agniH nirApadi /
   anāhitāgnir varteta gṛhitvañ ca cikīrṣati // YS78v_48 //	anAhitAgniH varteta gRhitvan ca cikIrzati // YS78u-_48 //
   ācaret trīṇi kṛcchrāṇi carec cāndrāyaṇāni ca /	Acaret trINi kRcCrANi caret cAndrAyaNAni ca /
   jātakarmādibhiḥ proktaiḥ punaḥ saṃskāram arhati // YS78v_49 //	jAtakarma-AdiBiH proktEH punar saMskAram arhati // YS78u-_49 //
   tūlikā upadhānāni puṣpaṃ raktāmbarāṇi ca /	tUlikAH upaDAnAni puzpam rakta-ambarANi ca /
   śoṣayitvā pratāpena prokṣayitvā śucir bhavet // YS78v_50 //	SozayitvA pratApena prokzayitvA SuciH Bavet // YS78u-_50 //
   deśaṃ kālaṃ tathātmānaṃ dravyaṃ dravyaprayojanam /	deSam kAlam taTA-AtmAnam dravyam dravya-prayojanam /
   upapattim avasthāñ ca jñātvā dharmaṃ samācaret // YS78v_51 //	upapattim avasTAn ca jQAtvA Darmam samAcaret // YS78u-_51 //
   rathy ākardamatoyāni nāvāyasa tṛṇāni ca /	raTI Akardama-toyAni na-avAyasa tRNAni ca /
   mārutārkeṇa śuddhyanti pakveṣṭakacitāni ca // YS78v_52 //	mAruta-arkeNa SudDyanti pakva-izwaka-citAni ca // YS78u-_52 //
   āture snānasamprāpte daśakṛtvo hy anāturaḥ /	Ature snAna-samprApte daSa-kRtvas hi anAturaH /
   snātvā snātvā spṛśet tan tu tataḥ śuddhyeta āturaḥ // YS78v_53 //	snAtvA snAtvA spRSet tat tu tatas SudDyete AturaH // YS78u-_53 //
   rajakaś carmakāraś ca naṭo vuruḍa eva ca /	rajakaH carmakAraH ca nawaH vuruxaH eva ca /
   kaivartamedabhillāś ca saptaite cāntyajāḥ smṛtāḥ // YS78v_54 //	kEvarta-meda-BillAH ca saptA-ete ca-antyajAH smRtAH // YS78u-_54 //
   eṣāṃ gatvā tu yoṣāṃ vai taptakṛcchraṃ samācaret // YS78v_55 //	ezAm gatvA tu yozAm vE taptakRcCram samAcaret // YS78u-_55 //
   strīṇāṃ rajasvalānān tu spṛṣṭāspṛṣṭi yadā bhavet /	strINAm rajasvalAnAn tu spRzwA-aspRzwi yadA Bavet /
   prāyaścittaṃ kathaṃ tāsāṃ varṇe varṇe vidhīyate // YS78v_56 //	prAyaScittam kaTam tAsAm varNe varNe viDIyate // YS78u-_56 //
   spṛṣṭvā rajasvalāṃ yāntu sagotrāñ ca sabharttṛkām /	spRzwvA rajasvalAm yAntu sagotrAn ca sa-BarttRkAm /
   kāmād akāmato vāpi snātvā kālena śuddhyati // YS78v_57 //	kAmAt akAmatas vA-api snAtvA kAlena SudDi-ati // YS78u-_57 //
   spṛṣṭvā rajasvalānyonyaṃ brāhmaṇī śūdrajā tathā /	spRzwvA rajasvalA-anyonyam brAhmaNI SUdra-jA taTA /
   kṛcchreṇa śudhyate pūrvā śūdrā pādena śudhyati // YS78v_58 //	kRcCreNa SuDyate pUrvA SUdrA pAdena SuDyati // YS78u-_58 //
   spṛṣṭvā rajasvalānyonyaṃ kṣatriyā śūdrajā tathā /	spRzwvA rajasvalA-anyonyam kzatriyA SUdra-jA taTA /
   pādahīnaṃ caret pūrvā pādārddhan tu tathottarā // YS78v_59 //	pAda-hInam caret pUrvA pAda-ArdDan tu taTA-uttarAH // YS78u-_59 //
   spṛṣṭvā rajasvalānyonyaṃ vaiśyajā śūdrajā tathā /	spRzwvA rajasvalA-anyonyam vESya-jA SUdra-jA taTA /
   kṛcchrapādaṃ caret pūrvā tadarddhan tu tathottarā // YS78v_60 //	kRcCra-pAdam caret pUrvA tat-ardDan tu taTA-uttarAH // YS78u-_60 //
   spṛṣṭā rajasvalā caiva śvājajambūkarāsabhaiḥ /	spRzwA rajasvalA ca-eva SvAja-jambUkarA-saBEH /
   tāvat tiṣṭhet nirāhārā snātvā kālena śudhyati // YS78v_61 //	tAvat tizWet nirAhArA snAtvA kAlena SuDyati // YS78u-_61 //
   spṛṣṭvā rajasvalā kaiścit cāṇḍālair arajasvalā /	spRzwvA rajasvalA kEScid cANxAlEH arajasvalAH /
   prājāpatyena kṛcchreṇa prāṇāyāmaśatena ca // YS78v_62 //	prAjApatyena kRcCreNa prANAyAma-Satena ca // YS78u-_62 //
   vipraḥ spṛṣṭo niśāyāñ ca udakyā patitena ca /	vipraH spRzwaH niSAyAn ca udakyA patitena ca /
   divānītena toyena snāpayec cāgnisannidhau // YS78v_63 //	divAnItena toyena snApayet ca-agni-sanniDO // YS78u-_63 //
   divārka raśmisaṃspṛṣṭaṃ rātrau nakṣatraraśmibhiḥ /	divArka raSmi-saMspRzwam rAtrO nakzatra-raSmiBiH /
   sandhyobhayoś ca sandhyāyāḥ pavitraṃ sarvadā jalam // YS78v_64 //	sanDyA-uBayoH ca sanDyAyAH pavitram sarvadA jalam // YS78u-_64 //
   apaḥ karanakhaspṛṣṭāḥ pibed ācamane dvijaḥ /	apaH karanaKa-spRzwAH pibet Acamane dvijaH /
   surāṃ pibati suvyaktaṃ yamasya vacanaṃ yathā // YS78v_65 //	surAm pibati su-vyaktam yamasya vacanam yaTA // YS78u-_65 //
   svāta vāpyos tathā kūpe pāṣāṇaiḥ śastraghātanaiḥ /	svAta vApyoH taTA kUpe pAzANEH Sastra-GAtanEH /
   yaṣṭyā tu ghātane caiva mṛtpiṇḍe gokulena ca // YS78v_66 //	yazwyA tu GAtane ca-eva mRd-piNxe gokulena ca // YS78u-_66 //
   rodhane bandhane caiva sthāpite puṣkale tathā /	roDane banDane ca-eva sTApite puzkale taTA /
   kāṣṭhe vanaspatau rodha- saṅkaṭe rajjuvastrayoḥ // YS78v_67 //	kAzWe vanaspatO roDa saFkawe rajju-vastrayoH // YS78u-_67 //
   etat te kathitaṃ sarvaṃ pramādasthānam uttamam /	etat te kaTitam sarvam pramAda-sTAnam uttamam /
   yatra yatra mṛtā gāvaḥ prāyaścittaṃ samācaret // YS78v_68 //	yatra yatra mRtAH gAvaH prAyaScittam samAcaret // YS78u-_68 //
   dāruṇā ghātane kṛcchraṃ pāṣāṇair dviguṇaṃ bhavet /	dAruNAH GAtane kRcCram pAzANEH dviguNam Bavet /
   arddhakṛcchran tu khāte syāt pādakṛcchran tu pādape // YS78v_69 //	ardDa-kRcCran tu KAte syAt pAda-kRcCran tu pAdape // YS78u-_69 //
   śastraghāte trikṛcchrāṇi yaṣṭighāte dvayaṃ caret // YS78v_70//	Sastra-GAte trikRcCrANi yazwi-GAte dvayam caret // YS78u-_70//
   kṛcchreṇa vastraghāte 'pi goghnaś ceti viśuddhyati /	kRcCreNa vastra-GAte api go-GnaH ca-iti viSudDi-ati /
   yo varttayati gomadhye nadīkāntāramantike // YS78v_71 //	yaH varttayati go-maDye nadIkAntAram-antike // YS78u-_71 //
   romāṇi prathame pāde dvitīye śmaśru vāpayet /	romANi praTame pAde dvitIye SmaSru vApayet /
   tṛtīye tu śikhā dhāryā caturthe saśikhaṃ vapet // YS78v_72 //	tRtIye tu SiKA DAryA caturTe sa-SiKam vapet // YS78u-_72 //
   na strīṇāṃ vapanaṃ kuryāt na ca sā gām anuvrajet /	na strINAm vapanam kuryAt na ca sA gAm anuvrajet /
   na ca rātrau vased goṣṭhe na kuryād vaidikīṃ śrutim // YS78v_73 //	na ca rAtrO vaset gozWe na kuryAt vEdikIm Srutim // YS78u-_73 //
   sarvān keśān samuddhṛtya chedayed aṅgulidvayam /	sarvAn keSAn samudDRtya Cedayet aFguli-dvayam /
   evam eva tu nārīṇāṃ śiraso vapanaṃ smṛtam // YS78v_74 //	evam eva tu nArINAm SirasaH vapanam smRtam // YS78u-_74 //
   mṛtakena tu jātena ubhayoḥ sūtakaṃ bhavet /	mRtakena tu jAtena uBayoH sUtakam Bavet /
   pātakena tu liptena nāsya sūtakitā bhavet // YS78v_75 //	pAtakena tu liptena na-asya sUtakitA Bavet // YS78u-_75 //
   catvāri khalu karmāṇi sandhyākāle vivarjayet /	catvAri Kalu karmANi sanDyA-kAle vivarjayet /
   āhāraṃ maithunaṃ nidrāṃ svādhyāyañ ca caturthakam // YS78v_76 //	AhAram mETunam nidrAm svADyAyan ca caturTakam // YS78u-_76 //
   āhārāj jāyate vyādhiḥ krūragarbhaś ca maithune /	AhArAt jAyate vyADiH krUragarBaH ca mETune /
   nidrā śriyo nivarttante svādhyāye maraṇaṃ dhruvam // YS78v_77 //	nidrA SriyaH nivarttante svADyAye maraNam Druvam // YS78u-_77 //
   ajñānāt tu dvijaśreṣṭha varṇānāṃ hitakāmyayā /	ajQAnAt tu dvijaSrezWa varNAnAm hita-kAmyayA /
   mayā proktam idaṃ śāstraṃ sāvadhāno 'vadhāraya // YS78v_78 //	mayA proktam idam SAstram sa-avaDAnaH avaDAraya // YS78u-_78 //
   iti yamaproktaṃ dharmaśāstraṃ samāptam ||	iti yama-proktam Darma-SAstram samAptam ||
