   udayananirākaraṇam	udayana-nirAkaraNam
   kṣaṇatvapadārthaḥ na ca kevalastathābhū (3) to 'pi karotyapīti karotyeveti	kzaNa-tva-padArTaH na ca kevalaH-taTA-aBU (3) taH api karoti-api-iti karoti-eva-iti
   vā pratyākalitaḥ sa eṣa prasaṅgaprasaṅgato viparyayaḥ	vA pratyAkalitaH saH eza prasaFga-prasaFgataH viparyayaH
   pūrvāparakālamilitakaraṇākaraṇayorādhārabhedañca saṃdīpayati | tathāhi (4)	pUrva-apara-kAla-milita-karaNa-AkaraNayoH-ADAra-BedaQca saMdIpayati | taTA-hi (4)
   paryavasāne janakatvamabhimatakārye paryālocitaṃ pramāṇena	paryavasAne janaka-tvam-aBimata-kArye paryAlocitam pramANena
   pratyekamavasthitam |	pratyekam-avasTitam |
   anvayavyatirekābhyāṃ dharādhāmādisākalyaṃ ślathayitvā viśeṣaṇaṃ	anvaya-vyatirekAByAm DarA-ADAma-Adi-sAkalyam SlaTayitvA viSezaNam
   parāparabhāvabhaṅgayā	para-apara-BAva-BaFgayA
   svaviśeṣavyāptamālocyanimatyantāyogavyavacchedāyogavyavacchedacchadicchannamunnīyate	sva-viSeza-vyAptam-Alocya-nimati-anta-ayoga-vyavacCeda-ayoga-vyavacCeda=-Cadi=-Cannam-unnIyate
   nirviśeṣaṃ hi sāmānyaṃ bhave (6) cchaśaviṣāṇavat |	nirviSezam hi sAmAnyam Bave (6) cSaSa-vizANa-vat |
   nirviśeṣaṇaṃ kartṛtvaṃ bhavedvandhyāsutāsamam ||	nirviSezaNam kartR-tvam Bavet-vanDyA-sutA-samam ||
   tasmādasmatpratibhāvarṇabhāvasthāpratibhāsaprabhāvāt bhāvānāṃ kintatraiva	tasmAt-asmad-pratiBA-varNa-BAva-sTA-pratiBAsa-praBAvAt BAvAnAm kintatra-eva
   tathā (7) bhadantaiḥ paramaparāparasadṛśatā ca	taTA (7) BadantEH parama-para-apara-sadRSa-tA ca
   svabhāvāntarānubhavitaikapratisantānaṃ bandhyatvamakartṛtvaṃ	svaBAva-antara-anuBavitA-eka-pratisantAnam banDya-tvam-akartR-tvam
   keśakuntalakamalakāṇḍāt svaravatsaṃvedanīyam | tat(8)	keSa-kuntala-kamala-kANxAt svara-vat-saMvedanIyam | tat(8)
   tapanādisahacarabhedasampāditatattadādibhedo darśyatāṃ pūrvāparāvasthā	tapana-Adi-sahacara-Beda-sampAdita-tad-tad-Adi-BedaH darSyatAm pUrva-apara-avasTA
   pāramārthikā bhedajñā pratyabhijñā paramaviśvāsasarvasvaṃ bibhrati	pAramArTikAH Beda-jQA pratyaBijQA parama-viSvAsa-sarva-svam biBrati
   bhramimūrṣaṇīyeti | pakṣa dva-(9) yānugrahanigrahe hetuḥ hetubhāva eva	Brami-mUrzaNIyA-iti | pakza dva-(9) yA-anugraha-nigrahe hetuH hetu-BAvaH eva
   bhāvanāṃ saṃdūṣyate bhavyena | tathāhi, tatkartṛtvaṃ pareṣu madhyasthamiva	BAvanAm saMdUzyate Bavyena | taTA-hi, tad-kartR-tvam parezu maDyasTam-iva
   vādiprativādisammatabilambakāritvāt sapakṣāditvaviśeṣasiddhiviśleṣe 'pi	vAdi-prativAdi-sammata-bilamba-kAri-tvAt sa-pakza-Adi-tva-viSeza-sidDi-viSleze api
   suśleṣakauśalabalābalambīvānumatamubhayabhūmibhāginorapi bhāvato	su-Sleza-kOSala-bala-AbalambIva-anumatam-uBaya-BUmi-BAginoH-api BAvataH-
   bhūtoktipravṛttayostathābhūtañca bhāvyamānaṃ kartṛtvarūpaṃ kiṃ tattvato	BUta-ukti-pravRttayoH-taTA-BU-taQca BAvyamAnam kartR-tva-rUpam kim tattvataH-
   'tyantāyogavyavacchinnanirvartmathābhūtañca bhāvyamānaṃ kartṛtvarūpaṃ kiṃ	atyanta-ayoga-vyavacCinna-nirvartmaTA-BU-taQca BAvyamAnam kartR-tva-rUpam kim
   tattvato 'tyantāyogavyavacchinnanirvartmakartṛtvarūpamucchavibhramabhūmi -	tattvataH atyanta-ayoga-vyavacCinna-nirvartma-kartR-tva-rUpam-ucCavi-Brama-BUmi -
   bhūtānubhavavyavasthānamanavasthitamapi anumanyate mānyena anyena vā	BUta-anuBava-vyavasTAnam-anavasTitam-api anumanyate mAnyena anyena vA
   prakāreṇa yadutāyogavyavacchinnakartṛ -(3) -tvarūpamutkīrtayitavyam,	prakAreNa yat-uta-ayoga-vyavacCinna-kartR -(3) -tva-rUpam-utkIrtayitavyam,
   vyapetānubhavādivyavasthamapi svasthayaḥ	vyapeta-anuBava-Adi-vyavasTam-api svasTayaH
   sthaviravādivṛndavṛndārakānantarakathitapakṣayoranyatarāṅgokārakārāgāragraheṇa	sTavira-va-Adi-vRnda-vRndAraka-anantara-kaTita-pakzayoH-anyatara-aFgokAra-kAra-AgAra-graheNa
   | arthagṛ(4)hītau-paryāyato dvāvapi dvāparadvārālaṅkṛtau kathaya ko 'tra	| arTa-gR(4)hItO--paryAyataH dvO=-api dvApara-dvAra-alaFkRtO kaTaya kaH atra
   nistrāṇamāpadyate avadyaprabheda iti ceducyate | ayameva prasaṅgaḥ yaduta	nistrANam-Apadyate avadya-praBedaH iti ced-ucyate | ayam-eva prasaFgaH yat-uta
   yadyadā (5) yatsamarthavyavasthānasthānaṃ tattadā tatkarotyapi yathā	yat-yadA (5) yat-samarTa-vyavasTAna-sTAnam tat-tadA tat-karoti-api yaTA
   sāmagryavasthāyāṃ vikalakālakalāyāmapi	sAmagrI-avasTAyAm vikala-kAla-kalAyAm-api
   pūrvādikāyāmakathitasāmarthyavyavasthānaṃ sthānañca (6)	pUrva-AdikAyAma-kaTita-sAmarTya-vyavasTAnam sTAnaQca (6)
   kāñcanakāryamaryādāmādāya darśito bhāvabhedaḥ	kAQcana-kArya-maryAdAm-AdAya darSitaH BAva-BedaH
   ityantāyogavyavacchedakartṛtvapakṣe lakṣayitavyaḥ prasaṅgaḥ | na ca	iti-antA-yoga-vyavacCeda-kartR-tva-pakze lakzayitavyaH prasaFgaH | na ca
   kadācidapi vedyate niḥsahacarasa (7) hakāricakraḥ prakramamāṇaḥ kartu	kadAcid-api vedyate niHsaha-carasaH (7) hakAri-cakraH prakramamANaH kartu
   matyantāyogavyavacchedena abhimato bhāvaḥ svakāryamityāvarjanīyo	matyantA-yoga-vyavacCedena aBimataH BAvaH sva-kAryam-iti-AvarjanIyaH-
   viparyayaścātra | tathāpi syāt	viparyayaH-ca-atra | taTA-api syAt-
   anekāntaśāntāvanamutthitāyāmabhitticitrakarmmapratimamidamābhāti | tathāhi	anekAnta-SAntAvanam-utTitAyAm-aBitti-citra-karmma-pratimam-idam-ABAti | taTA-hi
   sāmarthyavyavahārayogyatvepi prasaṅgasādhane	sAmarTya-vyavahAra-yogya-tvepi prasaFga-sADane
   kīddaśarktṛtvapravartitaśaktavyavasthānamākṣepamakṣe-(p. 5)-pakāritvavasya	kIddaSa-RktR-tva-pravartita-Sakta-vyavasTAnam-Akzepam-akze-(p. 5)-pakAri-tvavasya
   prasādhakapramāṇaprasthāpanārthatvāt | sahakārisākalye satyeva karotīti	prasADaka-pramANa-prasTApana-arTa-tvAt | sahakAri-sAkalye sati-eva karoti-iti
   vilambakāritvalakṣaṇaśca kevalāvasthāyāṃ prasajjayitumaśakyatvāt |	vilamba-kAri-tva-lakzaNaH-ca kevala-avasTAyAm prasajjayitum-aSakyatvAt |
   sahakā-(2) risākalye sati karotyevetyevaṃ svabhāvakartutvakīrtane 'kīrtiḥ	sahakA-(2) risAkalye sati karoti-eva-iti-evam svaBAva-kartu-tva-kIrtane akIrtiH
   karitalabilambitaiva sthiviravādānukulatvātkukṣitvādasya pakṣasya	kari-tala-bilambitA-eva sTivira-vAda-anukula-tvAt-kukzi-tvAt-asya pakzasya
   hantanitāntanirmalaiḥ subhāṣitabhānubhiranunnameva pareṣāṃ mohatamaḥ |	hantanita-anta-nirmalEH su-BAzita-BAnuBiH-anunnam-eva parezAm mohatamaH |
   yadevaṃ sākalyaṃ sahakārikalpaṃ bījakartṛtvaviśeṣaṇaṃ prakṣipya parapakṣaḥ	yat-evam sAkalyam sahakAri-kalpam bIja-kartR-tva-viSezaNam prakzipya para-pakzaH
   kṣubhyate 'kṣepakāritvamapi tadviśe(4) ṣarūpaṃ pramāṇaprasiddhaṃ anurudhya	kzuByate akzepa-kAri-tvam-api tad-viSe(4) za-rUpam pramANa-prasidDam anuruDya
   bādhyate sādhuḥ yasmādakṣepakāritvānapekṣakāritvaṃ	bADyate sADuH yasmAt-akzepa-kAritvA-anapekza-kAri-tvam
   kartṛtvasāmānyasyāntyāvasthāyāṃ pratyakṣānupalambhasambhāvita (5) sya	kartR-tva-sAmAnyasya-antya-avasTAyAm pratyakza-anupalamBa-samBAvitaH (5) sya
   vyaktiprabhedatayā vyāpakaṃ sambhāvya	vyakti-praBeda-tayA vyApakam samBAvya
   prakārāntarāpratīteranakṣepakartṛtvarūpaṃ kartṛtvasāmānyasya	prakAra-antarA-pratIteranakzepa-kartR-tva-rUpam kartR-tva-sAmAnyasya
   pariṇāmamanumanyase prasaṅgasaṅgatau (6) nāṅgatā saṅgacchate doṣasya |	pariNAmam-anumanyase prasaFga-saFgatO (6) na-aFga-tA saFgacCate dozasya |
   tathāhi hetusāhitye 'pi bījasya kartṛtvaṃ dṛśyamānaṃ na sāhityena	taTA-hi hetu-sAhitye api bIjasya kartR-tvam dRSyamAnam na sAhityena
   viśeṣaṇīyaṃ śilāśakalāderapi tathātvaprāpteḥ apitu kevalyai (7) va bījasya	viSezaNIyam SilA-Sakala-AdeH-api taTA-tva-prApteH apitu kevalyE (7) va bIjasya
   pratyekamavasthitaṃ anvayavyatirekayoravagamena pāṣāṇakulasya	pratyekam-avasTitam anvaya-vyatirekayoH-avagamena pAzANa-kulasya
   sāhityabahirbhāvabhajanāt | pratyekatvañca na ca viśiṣyamāṇaṃ kartṛtvaṃ	sAhitya-bahis-BAva-BajanAt | pratyeka-tvaQca na ca viSizyamANam kartR-tvam
   bīja-(8)-sya pratyekatvābhāvasvabhāvo 'pratyekarūpaḥ	bIja-(8)-sya pratyeka-tva-aBAva-svaBAvaH apratyeka-rUpaH
   sahakāricakrasaṃparkaḥ kathaṃ viśeṣaṃ śaknuyāt nahi cakṣurnāsti tena ca	sahakAri-cakra-saMparkaH kaTam viSezam SaknuyAt na-hi cakzuH-na-asti tena ca
   viśiṣṭamiti śiṣṭeṣṭaḥ pakṣaḥ | athāpi pra (9) tyekatvasya sāhitye	viSizwam-iti Sizwa-izwaH pakzaH | aTa-api pra (9) ti-eka-tvasya sAhitye
   pratyekamanvayādergṛhītau nāpratyekatvena viśiṣyata taduttarakālaṃ	pratyekam-anvaya-AdeH-gRhItO na-apratyeka-tvena viSizyata tad-uttara-kAlam
   punarviśeṣaṇīyaṃ etāvanti sahakārīṇi sahitāni hi tā ni kāryāyeti	punar-viSezaNIyam etAvanti saha-kArINi sahitAni hi tAH ni kAryAya-iti
   pāṭhāntara aparahastena sāmagrīmīhamāno mānocitastāmevādatte	pAWA-antara apara-hastena sAmagrIm-IhamAnaH mAna-ucitaH-tAm-eva-Adatte
   sāmagrīpāṣāṇatalākīrṇāmapīti cet n akāraṇavikalpakatvādeva nopādīyate (2)	sAmagrI-pAzANa-tala-AkIrNAm-api-iti ced n akAraNa-vikalpaka-tvAt-eva na-upAdIyate (2)
   kāryārthinā śilāśakalādiko bhāvaḥ | kintayā viśiṣya karaṇīyaṃ yadā tu	kArya-arTinA SilA-Sakala-AdikaH BAvaH | kintayA viSizya karaNIyam yadA tu
   viśeṣaṇametādṛśaṃ apasāritam | atha tadānīṃ avaśiṣyamāṇaṃ brīhikalevaraṃ	viSezaNam-etAdRSam apasAritam | aTa tadAnIm avaSizyamANam brIhi-kalA-ivaram
   kāraṇatvena niṣṭaṅkitena (3) atyantāyogavyacchedānumitau kevalamapi	kAraNa-tvena nizwaFkitena (3) atyanta-ayogavyacCeda-anumitO kevalam-api
   kadācitkarotu sāmagrīsamavagraha kāla iti prasaṅgasaṅkīrṇavataḥ prathano	kadAcid-karotu sAmagrIsamavagraha kAlaH iti prasaFga-saFkIrNavataH praTanaH-
   manorathonmatho 'yaṃ prārthitodoṣaḥ prārthitaḥ (4) tadayuktam -	manoraTa-UnmaTaH ayam prArTitaH-dozaH prArTitaH (4) tat-ayuktam -
   sāmarthya hi kṛtiḥ yogyatā vā? nādyaḥ sādhyāviśiṣṭatvaprasaṅgāt | nāpi	sAmarTya hi kRtiH yogyatA vA? na-AdyaH sADya-aviSizwa-tva-prasaFgAt | na-api
   dvitīyaḥ sā hi sahakārisākalyaṃ yā | pratisvikī vā, nādyaḥ	dvitIyaH sA hi sahakAri-sAkalyam yA | pratisvikI vA, na-AdyaH
   siddhasādhanatvāt, parānabhyupagamena (5) hetvasiddhiśca	sidDa-sADana-tvAt, para-anaByupagamena (5) hetu-asidDiH-ca
   yatsahakārisamavadhānavattaddhi karotyeveti ko nāma nābhyupaiti yamuddaśya	yad-sahakAri-samavaDAna-vat-tat-hi karoti-eva-iti kaH nAma na-aByupEti yam-uddaSya
   | sādhyate, na cākaraṇakāle sahakārisamavadhānavanto 'smānabhyupeyate (6)	| sADyate, na ca-akaraNa-kAle sahakAri-samavaDAnavantaH asmAn-aByupeyate (6)
   yataḥ prasaṅga pravarteta | prātisvikī tu yogyatā	yatas prasaFga pravarteta | prAtisvikI tu yogyatA
   anvayavyatirekaviṣayībhūtaṃ bījatvaṃ vā syāt tadavāntarajātibhedo vā |	anvaya-vyatireka-vizayIBUtam bIja-tvam vA syAt tad-avAntara-jAti-BedaH vA |
   sahakārivaikalyaprayuktakāryābhāvavatvaṃ vā | nādyaḥ (7) akurvvatopi	sahakAri-vEkalya-prayukta-kArya-aBAvava-tvam vA | na-AdyaH (7) akurvvatA-upi
   bījajātīyasya pratyakṣasiddhatvāt | tavāpi tatrāvipratipatteḥ | netaraḥ	bIja-jAtIyasya pratyakza-sidDa-tvAt | tava-api tatra-avipratipatteH | na-itaraH
   tasya kurvatyapi mayānabhyupagamena dṛṣṭāntasya sādhanavikalatvāt | ko hi	tasya kurvati-api mayA-anaByupagamena dRzwAntasya sADana-vikala-tvAt | kaH hi
   nāma susthātmā (8) pramāṇaśūnyamabhyupagacchet | sa hi na pratyakṣeṇa	nAma susTa-AtmA (8) pramANa-SUnyam-aByupagacCet | sa hi na pratyakzeNa
   anubhūyate tathānavasāyāt | nāpyanumānena liṅgābhāvāt | yadi na	anuBUyate taTA-anavasAyAt | na-api-anumAnena liFga-aBAvAt | yadi na
   kaścidviśeṣa, kathaṃ tarhi karaṇākaraṇe cet (9) ka evamāha neti | kiṃ jāti	kaScid-viSeza, kaTam tarhi karaNa-akaraNe ced (9) kaH evam-Aha na-iti | kim jAti
   bhedarūpaḥ sahakārilābhālābharūpo veti niyāmakaṃ pramāṇamanusaranto na	Beda-rUpaH sahakAri-lABa-alABa-rUpaH vA-iti niyAmakam pramANam-anusarantaH na
   paśyāmaḥ tathāpi yo 'yaṃ sahakārimadhyamadhyāsī no ḥkṣepakaraṇasvabhāvo	paSyAmaH taTA-api yaH ayam sahakAri-maDyamaDyAsI naH Hkzepa-karaNa-svaBAvaH-
   bhāvaḥ sa yadi prāgapyāsīt tadā prasahya kārya kurvāṇo	BAvaH sa yadi prAk-api-AsIt tadA prasahya kArya kurvANaH-
   gīrvāṇaśāpaśatenāpyapahastayituṃ na śakyate, iti cetḥ | yuktametat	gIrvANa-SApa-Satena-api-apahastayitum na Sakyate, iti cetH | yuktam-etat-
   yadyakṣepakaraṇasvabhāvatvaṃ bhāvasya pramāṇagocaraḥ syāt kutaḥ	yadi-akzepa-karaNa-svaBAva-tvam BAvasya pramANa-gocaraH syAt kutas-
   tatsiddhamiti cet na vidbhaḥ | prasaṃga tadviparyayāmyāṃ tatsiddhiriti ce	tat-sidDam-iti ced na vidBaH | prasaMga tad-viparyayAmyAm tad-sidDiH-iti ce
   na, parasparāśrayaprasaṅgāt | evaṃ svabhāvatvasiddhau hi tayo pravṛttistat	na, paraspara-ASraya-prasaFgAt | evam svaBAva-tva-sidDO hi tayo pravRttiH-tat-
   pravṛttau ca caivaṃ svabhāvatvasiddhiriti |	pravRttO ca ca-evam svaBAva-tva-sidDiH-iti |
   ḥsyādetata kāryajanmaivāsminnarthai pramāṇaṃ vilambakārisvabhāvānuvṛttau	HsyAt-etata kArya-janma-eva-asmin=-arTEH pramANam vilamba-kAri-svaBAva-anuvRttO
   kāryānutpatti sarvadeti cet |ḥ na, bilambakārisvabhāvasya sarvadaivākaraṇe	kArya-anutpatti sarvadA-iti ced |H na, bilamba-kAri-svaBAvasya sarva-dEva-akaraNe
   (4) tattvavyāghātāt | tataśca bilambakārītyasya yāvatsahakāryasannidhānaṃ	(4) tattva-vyAGAtAt | tatas-ca bilamba-kArI-iti-asya yAvat-saha-kArya-sanniDAnam
   tāvanna karotītyarthaḥ | evaṃ ca kāryajanmasāmagryāṃ pramāṇayituṃ na	tAvat-na karoti-iti-arTaH | evam ca kArya-janma-sAmagryAm pramANayitum na
   śakyate na tu jātibhede | te tu kiṃ (5) yathānubhavaṃ parasparasāpekṣā	Sakyate na tu jAti-Bede | te tu kim (5) yaTA-anuBavam paraspara-sApekzA
   vilambakāritvabhāvāḥ parasparaṃ pratyāsannāḥ kārya kṛtavantaḥ kiṃ vā	vilamba-kAri-tva-BAvAH parasparam pratyAsannAH kArya kRtavantaH kim vA
   yathātvaparikalpane kṣiprakārisvabhāvā inyatra	yaTAtva-parikalpane kziprakAri-svaBAvAH inyatra
   (6)kāryopajananamajāgarūkameveti |	(6)kArya-upajananam-ajAgarUkam-eva-iti |
   nāpi tṛtīyaḥ, virodhāt sahakāryabhāvaprayuktakāryābhāvavāṃśca	na-api tRtIyaH, viroDAt saha-kArya-BAva-prayukta-kArya-aBAvavAn=-ca
   sahakārivirahe kāryāvāṃśceti vyāhatam | (7) tasmād yadyadabhāva eva yanna	sahakAri-virahe kArya-avAn=-ca-iti vyAhatam | (7) tasmAt yat-yat-aBAvaH eva yat-na
   karoti tattadabhāva tatkarotyeti syāt | etacca sthairyasiddhereva paraṃ	karoti tad-tad-aBAva tat-karoti-eti syAt | etat-ca sTErya-sidDeH-eva param
   bījasarvasvamiti etena samarthavyavahāraocarattvaṃ heturiti nirastam |	bIja-sarvasvam-iti etena samarTa-vyavahAraocarat-tvam hetuH-iti nirastam |
   tādṛgvyavahāra(8) gocarasyāpi bījasyāṃkurākaraṇadarśanāt | nāsau	tAdRS-vyavahAra(8) gocarasya-api bIjasya-aMkura-akaraNa-darSanAt | na-asO
   mukhyastatravyavahāraḥ | tasya janananimittatvāt |	muKyaH-tatra-vyavahAraH | tasya janana-nimitta-tvAt |
   ḥanyathātvaniyamaprasaṅgāditi ceti, na, kīdṛśaṃ punarjana (9) naṃ	HanyaTAtva-niyama-prasaFgAt-iti ca-iti, na, kIdRSam punarjanaH (9) nam
   mukhyasamarthavyavahāranimittam | na tāvadākṣepakaraṇaṃ nimittaṃ	muKya-samarTa-vyavahAra-nimittam | na tAvat-Akzepa-karaNam nimittam
   tasyāsiddheḥ | niyamasya ca sahakārādisākalye satyeva karaṇaṃ karaṇameveti	tasya-asidDeH | niyamasya ca sahakAra-Adi-sAkalye sati-eva karaNam karaNam-eva-iti
   ye evaṃ svabhāvatvenāpyu-patteḥ | tataśca janananimitta evāyaṃ vyavahāro	ye evam svaBAva-tvena-api-u-patteH | tatas-ca janana-nimittaH eva-ayam vyavahAraH-
   na ca vyāptisiddhiriti |ḥ	na ca vyApti-sidDiH-iti |H
   jaraṭhakamaṭhapṛṣṭhakarparakaṇeramatikaṭukūṭaprakaṭanapaṭalamativikaṭamatipāṭavāḍhyo	jaraWaka-maWa-pRzWa-karpara-kaNeram-ati-kawu-kUwa-prakawana-pawalam-ati-vikawam-atipAwavAXyaH-
   yena (2) vipāṭitamasyeti narīnṛtyatāṃ	yena (2) vipAwitam-asya-iti narInRtyatAm
   tribhuvananagaranartanaṭīvādakīrtanakīrtiḥ kṛtikadambakasyeti	triBuvana-nagara-nartanawI-vAda-kIrtana-kIrtiH kRti-kadambakasya-iti
   kimadhikamatra sambadanīyam | etenāyogavyava, cchedena kartṛttvaṃ (3)	kim-aDikam-atra sambadanIyam | etena-ayoga-vyava, cCedena kartRt-tvam (3)
   kartṛtvasāmānyapariṇāmamapi purodhāya	kartR-tva-sAmAnya-pariNAmam-api puroDAya
   dhūrtabrūvasvasvīkaraṇamaśaraṇamārabdhamevaṃ yadyadā	DUrta-brUvasva-svIkaraNam-aSaraNam-ArabDam-evam yat-yadA
   yatkaraṇasamarthavyavahārābhyaṅgastaṃ tattadā tatkarotyeva yathāntyāva (4)	yad-karaNa-samarTa-vyavahAra-aByaFgaH-tam tat-tadA tat-karoti-eva yaTA-antyAvaH (4)
   sthāyāṃ prāk pṛthagavasthāyāmapi	sTAyAm prAk pRTak-avasTAyAm-api
   bījamabījaparājitvarasatvaramevaṃvidhamavadhāritam | na ca karotyeveti	bIjam-abIja-parAji-tva-rasa-tvaram-evaMviDam-avaDAritam | na ca karoti-eva-iti
   tadviparyayaparyāṃlocanā rpyastanitāntāntaḥ (5) karaṇena kṛtinā	tad-viparyaya-paryAMlocanAH rpya-stanitA-anta-antaH (5) karaNena kRtinA
   sampattavyam | tadevamabījaparāvṛttaṃbījaṃ	sampattavyam | tat-evam-abIja-parAvRttaMbIjam
   dharmapratyakṣānupalambhārambhasambhāvitānvayavyatirekikāryatayā	Darma-pratyakza-anupalamBa-AramBa-samBAvita-anvaya-vyatireki-kArya-tayA
   nirṇītakartṛtvasāmānyajamākṣiptākṣepa (6)	nirNIta-kartR-tva-sAmAnya-jam-Akzipta-Akzepa (6)
   kāritvānakṣepakāritvalakṣaṇajananajanitaṃ tatsamarthavyavahārayogyatvaṃ	kAri-tvAnakzepa-kAri-tva-lakzaNa-janana-janitam tat-samarTa-vyavahAra-yogya-tvam
   sādhanaṃ sādhyañcātra karotyapi karotyeveti vā kartṛtvadvayaṃ paryāyato	sADanam sADyaQcA-atra karoti-api karoti-eva-iti vA kartR-tva-dvayam paryAyataH-
   yathā parābhyupagamaṃ svayamapi (7) sambhavati pakṣadvayasya	yaTA para-aByupagamam svayam-api (7) samBavati pakza-dvayasya
   pratikṣepālakṣaṇātsāmānyasya viśeṣāvyāpteḥ sambhavāt |	pratikzepa-alakzaNAt-sAmAnyasya viSeza-avyApteH samBavAt |
   pakṣadvayasyāpekṣyāpi lakṣayitavyamevaṃ prasaṅgatadviparyayamaparyāsitaṃ	pakza-dvayasya-apekzya-api lakzayitavyam-evam prasaFga-tad-viparyayam-aparyAsitam
   kṣaṇenāpi dūṣa (1) ṇagaṇasya	kzaNena-api dUzaH (1) NagaNasya
   yadyatkaraṇasamarthavyavaharaṇakāraṇatvābharaṇasya tamupalabdhaṃ	yat-yat-karaNa-samarTa-vyavaharaNa-kAraNa-tva-ABaraNasya tam-upalabDam
