   haṃsadūtaṃ	haMsa-dUtam
   kirantī lāvaṇyaṃ diśi diśi śikhaṇḍastavakinī	kirantI lAvaNyam diSi diSi SiKaNxastavakinI
   dadhānā sādhīyaḥ kanakavimalajyotivasanam |	daDAnA sADIyaH kanaka-vimala-jyoti-vasanam |
   tamālaśyāmāṅgī saralamuralīcumbitamukhī	tamAla-SyAma-aFgI sarala-muralI-cumbita-muKI
   jagau citraṃ yatra prakaṭaparamānandalaharī ||17	jagO citram yatra prakawa-parama-Ananda-la-harI ||17
   tayā bhūyaḥ krīḍārabhasavikasadvallavavadhūr	tayA BUyas krIxA-raBasa-vikasat-vallava-vaDUH-
   vapurvallī bhraśyanmṛgamadakaṇaśyāmalikayā |	vapuH-vallI BraSyat-mRga-mada-kaNa-SyAmalikayA |
   vidhātavyo hallīsakadalitamallalatikayā	viDAtavyaH hallIsaka-dalita-malla-latikayA
   samantādullāsastava manasi rāsasthalikayā ||18	samantAt-ullAsaH-tava manasi rAsa-sTalikayA ||18
   tadante vāsantīviracitamanaṅgotsavakalā-	tad-ante vAsantI-viracitam-anaFga-utsava-kalA-
   catuḥśālaṃ śaureḥ sphurati na dṛśau tatra vikireḥ |	catur-SAlam SOreH sPurati na dRSO tatra vikireH |
   tadālokodbhedipramadabhavavismāritagati-	tad-Aloka-udBedi-pramada-Bava-vismArita-gati-
   kriye jāte tāvat tvayi bata hatā gopavanitā ||19	kriye jAte tAvat tvayi bata hatA gopa-vanitA ||19
   mama syādarthānāṃ kṣatiriha vilambādyadapi te	mama syAt-arTAnAm kzatiH-iha vilambAt-yat-api te
   vilokethāḥ sarvaṃ tadapi harikelisthalamidam |	vilokeTAH sarvam tat-api harikeli-sTalam-idam |
   taveyaṃ vyarthā bhavatu śucitā kaḥ sa hi sakhe	tava-iyam vyarTA Bavatu Suci-tA kaH sa hi saKe
   guṇo yaścāṇūradviṣi matiniveśāya na bhavet ||20	guNaH yaH-ca-aNUra-dvizi mati-niveSAya na Bavet ||20
   sakṛdvaṃśīnādaśravaṇamilitābhīrvanitā	sakRt-vaMSI-nAda-SravaNa-milita-aBIH-vanitA
   rahaḥkrīḍāsākṣī pratipadalatāsadmasubhagaḥ |	rahaH-krIxA-sAkzI pratipada-latA-sadma-suBagaH |
   sa dhenūnāṃ bandhurmadhumathanakhaṭṭāyitaśilaḥ	sa DenUnAm banDuH-maDumaTana-KawwAyita-SilaH
   kariṣyaty ānandaṃ sapadi tava govardhanagiriḥ ||21	karizyati Anandam sapadi tava govarDana-giriH ||21
   tamevādriṃ cakrāṅkitakarapariṣvaṅgirasikaṃ	tam-eva-adrim cakra-aFkita-kara-parizvaFgirasikam
   mahīcakre śaṅkemahi śikhariṇāṃ śekharatayā |	mahI-cakre SaFkemahi SiKariNAm SeKara-tayA |
   arātiṃ jñātīnāṃ nanu hariharaṃ yaḥ paribhavan	arAtim jQAtInAm nanu hari-haram yaH pariBavan
   yathārthaṃ svaṃ nāma vyadhita govardhana iti ||22	yaTArTam svam nAma vyaDita govarDanaH iti ||22
   tamālasyālokād giri-parisare santi capalāḥ	tamAlasya-AlokAt giri--parisare santi capalAH
   pulindyo govinda-smaraṇa-rabhasottapta-vapuṣaḥ |	pulindyaH govinda--smaraNa-raBasa-uttapta-vapuzaH |
   śanais tāsāṃ tāpaṃ kṣaṇam apanayan yāsyati bhavān	SanEs tAsAm tApam kzaNam apanayan yAsyati BavAn
   avaśyaṃ kālindī-salila-śiśiraiḥ pakṣa-pavanaiḥ ||23	avaSyam kAlindI--salila--SiSirEH pakza-pavanEH ||23
   tadante śrīkāntasmaraṇasamaraghāṭīpulakitā	tad-ante SrIkAnta-smaraNa-samara-GAwI-pulakitA
   kadambānāṃ vāṭī rasikaparipāṭī sphurayati |	kadambAnAm vAwI rasika-paripAwI sPurayati |
   tvamāsīnastasyāṃ na yadi parito nandasi tato	tvam-AsInaH-tasyAm na yadi paritas nandasi tatas-
   babhūva vyarthā te ghanarasanivāsavyasanitā ||24	baBUva vyarTA te Gana-rasa-nivAsa-vyasani-tA ||24
   śaranmeghaśreṇīpratibhaṭamariṣṭāsuraśiraś	Sarad-meGa-SreNI-pratiBawam-arizwa-asura-SiraS
   ciraṃ śuṣkaṃ vṛndāvanaparisare drakṣyati bhavān |	ciram Suzkam vRndAvana-parisare drakzyati BavAn |
   yadāroḍhuṃ dūrān milati kila kailāsaśikhari-	yadA-AroXum dUrAt milati kila kElAsa-SiKari-
   bhramākrāntasvānto giriśasuhṛdaḥ kiṅkaragaṇaḥ ||25	Brama-AkrAnta-svAntaH giriSa-suhRdaH kiFkara-gaNaH ||25
   ruvan yāhi svairaṃ caramadaśayā cumbitaruco	ruvan yAhi svEram carama-daSayA cumbita-rucaH-
   nitambinyo vṛndāvanabhuvi sakhe santi bahavaḥ |	nitambinyaH vRndAvana-Buvi saKe santi bahavaH |
   parāvartiṣyante tulitamurajinnūpuraravāt	parAvartizyante tulita-murajit-nU-pura-ravAt-
   tavādhvānāt tāsāṃ bahirapi gatāḥ kṣipramasavaḥ ||26	tava-aDvAnAt tAsAm bahis-api gatAH kzipram-asavaH ||26
   tvamāsīnaḥ śākhāntaramilitacaṇḍatviṣi sukhaṃ	tvam-AsInaH SAKA-antara-milita-caNxa-tvizi suKam
   dadhīthā bhāṇḍīre kṣaṇamapi ghanaśyāmalarucau |	daDITAH BANxIre kzaNam-api Gana-SyAmala-rucO |
   tato haṃsaṃ bibhrannikhilanabhasaścitramiṣayā	tatas haMsam biBrat-niKila-naBasaH-citra-mizayA
   sa vardhiṣṇuṃ viṣṇuṃ kalitadaracakraṃ tulayitā ||27	sa varDizNum vizNum kalita-dara-cakram tulayitA ||27
   tvamaṣṭābhirnetrairvigaladamalapremasalilair	tvam-azwABiH-netrEH-vigalat-amala-prema-salilEH-
   muhuḥ siktastambāṃ catura caturāsyasthitibhuvam |	muhur sikta-stambAm catura catur-Asya-sTiti-Buvam |
   jihīthāḥ vikhyātāṃ sphutamiha bhavadbāndhavarathaṃ	jihITAH viKyAtAm sPutam-iha Bavat-bAnDava-raTam
   praviṣṭaṃ maṃsyante vidhimaṭavidevyastvayi gate ||28	pravizwam maMsyante viDi-mawa-videvyaH-tvayi gate ||28
   udañcannetrāmbhaḥprasaralaharīpicchilapatha-	udaQcat-netra-amBaH-prasara-laharI-picCila-paTa-
   skhalatpādanyāsapraṇihitavilambākuladhiyaḥ |	sKalat-pAda-nyAsa-praNihita-vilamba-Akula-DiyaH |
   harau yasmin magne tvaritayamunākulagamana-	harO yasmin magne tvarita-yamunA-Akula-gamana-
   spṛhākṣiptā gopyo yayuranupadaṃ kāmapi daśām ||29	spRhA-kziptAH gopyaH yayuH-anupadam kAm-api daSAm ||29
   muhurlasyakrīḍāpramadamiladāhopuruṣikā	muhur-lasya-krIxA-pramada-milat-AhopuruzikA
   vikāśena bhraṣṭaiḥ phaṇimaṇikulairdhūmalarucau |	vikASena BrazwEH PaNi-maNi-kulEH-DUmala-rucO |
   purastasmin nīpadrumakusumakiñjalkasurabhau	puras-tasmin nIpa-druma-kusuma-kiQjalka-suraBO
   tvayā puṇye peyaṃ madhuramudakaṃ kāliyahrade ||30	tvayA puNye peyam maDuram-udakam kAliya-hrade ||30
   tṛṇāvartārātervirahadavasantāpitatanoḥ	tRNAvarta-arAteH-viraha-dava-santApita-tanoH
   sadābhīrīvṛndapraṇayabahumānonnatividaḥ |	sadA-ABIrI-vRnda-praNaya-bahu-mAna-unnati-vidaH |
   vidhātavyo navyastavakabharasaṃvardhitaśucas	viDAtavyaH navya-stavaka-Bara-saMvarDita-SucaH-
   tvayā vṛndādevyāḥ paramavinayādvandanavidhiḥ ||31	tvayA vRndAdevyAH parama-vinayAt-vandana-viDiH ||31
   iti krāntvā kekākṛtavirutamekādaśavanaṃ	iti krAntvA kekAkRta-virutam-ekAdaSa-vanam
   ghanībhūtaṃ cutairvraja madhuvanaṃ dvādaśamidam |	GanIBUtam cutEH-vraja maDuvanam dvAdaSam-idam |
   purī yasminn āste yadukulabhuvāṃ nirmayayaśo-	purI yasmin Aste yadu-kula-BuvAm nirmaya-yaSaH--
   bharāṇāṃ dhārābhirvalitadharitrīparisarā ||32	BarANAm DArABiH-valita-DaritrI-parisarAH ||32
   niketairākīrṇā giriśagiriḍimbhapratibhaṭair	niketEH-AkIrNA giriSa-giriximBa-pratiBawEH-
   avaṣṭambhastambhāvalivilasitaiḥ puṣpitavanā |	avazwamBa-stamBa-Avali-vilasitEH puzpita-vanAH |
   niviṣṭā kālindītaṭabhuvi tavādhāsāti sakhe	nivizwA kAlindI-tawa-Buvi tava-ADAsAti saKe
   samastādānandaṃ madhurajalavṛndā madhupurī ||33	samastAt-Anandam maDura-jala-vRndA maDupurI ||33
   vṛṣaḥ śambhoryasyāṃ daśati navamekatra yavasaṃ	vRzaH SamBoH-yasyAm daSati navam-ekatra yavasam
   viriñceranyasmin gilati kalahaṃso visalatām |	viriQceH-anyasmin gilati kalahaMsaH visala-tAm |
   kvacit kroñcārāteḥ kavalayati kekī viṣadharaṃ	kvacid kroQca-arAteH kavalayati kekI viza-Daram
   vilīḍhe śallakyā valaripukarī pallavamitaḥ ||34	vilIXe SallakyA vala-ripu-karI pallava-mitaH ||34
   arodhiṣṭhāḥ kāyān na hi vicalitāṃ pracchadapaṭīṃ	aroDizWAH kAyAt na hi vicalitAm pracCada-pawIm
   vimuktāmajñāsīḥ pathi pathi na muktāvalimapi |	vimuktAm-ajQAsIH paTi paTi na muktA-Avalim-api |
   ayi śrīgovindasmaraṇamadirāmattahṛdaye	ayi SrI-govinda-smaraNa-madirA-matta-hRdaye
   satīti khyātiste hasati kulaṭānāṃ kulamidam ||35	satI-iti KyAtiH-te hasati kulawAnAm kulam-idam ||35
   asavyaṃ bibhrāṇā padamadhūtalākṣārasamasau	asavyam biBrANA pada-maDU-tala-AkzAra-samasO
   prayātāhaṃ mugdhe virama mama veśaiḥ kimadhunā |	prayAtA-aham mugDe virama mama veSEH kim-aDunA |
   amandādāśaṅke sakhi purapurandhrikalakalād	amandAt-ASaFke saKi pura-puranDri-kalakalAd
   alindāgre vṛndāvanakusumadhanvā vijayate ||36	alinda-agre vRndAvana-kusumaDanvA vijayate ||36
   ayaṃ līlāpāṅgasnapitapuravīthīparisaro	ayam lIlA-apAFga-snapita-pura-vITI-parisaraH-
   navāśokottaṃsaścalati purataḥ kaṃsavijayī |	nava-aSoka-uttaMsaH-calati puratas kaMsa-vijayI |
   kimasmān etasmin maṇibhavanapṛṣṭhādvinudatī	kim-asmAn etasmin maNi-Bavana-pRzWAt-vinudatI
   tvamekā stabdhākṣī sthagayasi gavākṣāvalimapi ||37	tvam-ekA stabDa-akzI sTagayasi gavAkza-Avalim-api ||37
   muhuḥ śūnyāṃ dṛṣṭiṃ vahasi dhyāyasi sadā	muhur SUnyAm dRzwim vahasi DyAyasi sadA
   śṛṇoṣi pratyakṣaṃ navaparijanavijñāpanaśataṃ |	SRNozi pratyakzam nava-parijana-vijQApana-Satam |
   tataḥ śaṅke paṅkeruhamukhi yayau śyāmalaruciḥ	tatas SaFke paFkeruha-muKi yayO SyAmala-ruciH
   sa yūno mūrtaṃ sambhava nayanavīthīpathikatām ||38	sa yUnaH mUrtam samBava nayana-vITI-paTika-tAm ||38
   vilajjaṃ mā rodīriha sakhi punaryāsyati hari-	vilajjam mA rodIH-iha saKi punar-yAsyati hari-
   stavāpaṅgakrīḍāniviḍaparicaryāgrahilatām |	stava-apaFga-krIxA-nivixa-paricaryA-grahi-latAm |
   iti svairaṃ yasyāṃ pathi pathi murārerabhinava-	iti svEram yasyAm paTi paTi murAreH-aBinava-
   praveśe nārīṇāṃ ratirabhasajalpā vavṛdhire ||39	praveSe nArINAm rati-raBasa-jalpA vavRDire ||39
   sakhe sākṣāddāmodaravadanacandrāvakalana-	saKe sAkzAt-dAmodara-vadana-candra-avakalana-
   sphuratpremānandaprakaralaharīcumbitadhiyaḥ |	sPurat-prema-Ananda-prakara-la-harI-cumbita-DiyaH |
   muhuratrābhīrīsamudayaśironyastavipada-	muhur-atra-ABIrI-samudaya-SiraH-nyasta-vipada-
   stavākṣṇorānandaṃ vidadhīta purā pauravanitāḥ ||40	stava-akzNoH-Anandam vidaDIta purA pOra-vanitAH ||40
   atha bhrāmaṃ bhrāmaṃ kramaghaṭanayā saṅkaṭatarān	aTa BrAmam BrAmam krama-GawanayA saFkawatarAn
   nivāsān vṛṣṇīnāmanusara purīmadhavasitam |	nivAsAn vRzNInAm-anusara purI-maDa-vasitam |
   murārāteryatra sthagitagagaṇābhirvijayate	murArAteH-yatra sTagita-gagaNABiH-vijayate
   patābhiḥ santāpitabhuvanamantaḥpuravaram ||41	patABiH santApita-Buvanam-antaHpura-varam ||41
   yadutsaṅge tuṅgasphaṭikaracitāḥ santi parito	yad-utsaFge tuFga-sPawika-racitAH santi paritas-
   marālāmāṇikyaprakaraghaṭitatrauṭicaraṇāḥ |	marAlA-mANikya-prakara-Gawita-trOwi-caraNAH |
   suhṛdbuddhyā haṃsāḥ kalitamadhurasyāmbujabhuvaḥ	suhRd-budDyA haMsAH kalita-maDurasya-ambuja-BuvaH
   samaryādaṃ yeṣāṃ sapadi paricaryāṃ vidadhīta ||42	sa-maryAdam yezAm sapadi paricaryAm vidaDIta ||42
   cirān mṛgyantīnāṃ paśuparamaṇīnāmapi kulair	cirAt mRgyantInAm paSu-para-maNInAm-api kulEH-
   alabdhaṃ kālindīpulinavipine {līnamaṇḍitaḥ} |	alabDam kAlindI-pulina-vipine {lIna-maNxitaH} |
   sadā lokollāsismitaparicitāsyaṃ sahacari	sadA loka-ullAsi-smita-paricita-Asyam sahacari
   sphurantaṃ vīkṣiṣye punarapi kimagre murabhidam ||43	sPurantam vIkzizye punar-api kim-agre muraBidam ||43
   viṣādaṃ mā kārṣīdrutimavitatthavyāhṛtirasau	vizAdam mA kArzI-drutim-avitatTa-vyAhRtiH-asO
   samāgantā rādhe dhṛtanavaśikhaṇḍastava sakhā |	samAgantA rADe DRta-nava-SiKaNxaH-tava saKA |
   iti brūte yasyāṃ śukamithunamindrānujakṛte	iti brUte yasyAm Suka-miTunam-indrAnuja-kRte
   yadābhīrivṛndairupadhṛtamabhūduddhavakare ||44	yadA-aBIri-vRndEH-upaDRtam-aBUt-udDava-kare ||44
   ghanaśyāmā bhrāmyaty upari hariharmasya śikhibhiḥ	Gana-SyAmA BrAmyati upari hari-harmasya SiKiBiH
   kṛtastotrā mugdhairagururacitā dhūmalatikā |	kRta-stotrA mugDEH-aguru-racitA DUma-latikA |
   tadālokāddhīra sphurati tava cen mānasarucir	tad-AlokAt-hIra sPurati tava ced mAnasa-ruciH-
   jitaṃ tarhi svairaṃ jalasahanivāsapriyatayā ||45	jitam tarhi svEram jala-saha-nivAsa-priya-tayA ||45
   tato madhye kakṣaṃ prati navagavākṣastavakinaṃ	tatas maDye kakzam prati nava-gavAkza-stavakinam
   calanmuktālambasphuritamamalastambhanivaham |	calat-muktA-Alamba-sPuritam-amala-stamBa-nivaham |
   bhavān draṣṭā hemollikhitadaśamaskandhacarito-	BavAn drazwA hema-ulliKita-daSama-skanDa-caritaH--
   llasadbhittiprāntaṃ muravijayinaḥ kelinilayam ||46	llasat-Bitti-prAntam muravijayinaH keli-nilayam ||46
   alinde yasyāste marakatamayī yaṣṭiramalā	alinde yasyAH-te marakata-mayI yazwiH-amalA
   śayāluryāṃ rātrau madakalakalāpī kalayati |	SayAluH-yAm rAtrO mada-kala-kalApI kalayati |
   nirāṭaṅkastsyāḥ śikharamadhiruhya śramanudaṃ	nirAwaFka-stsyAH SiKaram-aDiruhya Srama-nudam
   pratīkṣethā bhrātarvaramavasaraṃ yādavapateḥ ||47	pratIkzeTAH BrAtar-varam-avasaram yAdava-pateH ||47
   niviṣṭaḥ palāṅke mṛdulataratulīdhavalite	nivizwaH pala-aFke mRdulatara-tulIDa-valite
   trilokalakṣmīṇāṃ kakudi darasātīkṛtatanūḥ |	triloka-lakzmINAm kakudi dara-sAtIkRta-tanUH |
   amandaṃ pūrṇendupratimamupadhānaṃ pramudito	amandam pUrNa-indu-pratimam-upaDAnam pramuditaH-
   nidhāyāgre tasminn upahitakaphonidvayabharam ||48	niDAya-agre tasmin upahita-kaPoni-dvaya-Baram ||48
   udañcat kālindīsalilasubhagaṃ bhāvukaruciḥ	udaQcat kAlindI-salila-suBagam BAvuka-ruciH
   kapolāntaḥ prekṣyanmaṇimakaramudrāmadhurimā |	kapola-antar prekzyat-maNi-makara-mudrA-maDurimAH |
   vasānaḥ kauśeyaṃ jitakanakalakṣmī parimalaṃ	vasAnaH kOSeyam jita-kanaka-lakzmI parimalam
   mukundaste sākṣāt pramadasudhayā sekṣyati dṛśoḥ ||49	mukundaH-te sAkzAt pramada-suDayA sekzyati dRSoH ||49
   vikadruḥ paurāṇīrakhilakulavṛddho yadupater	vikadruH pOrANi-iH-aKila-kula-vRdDaH yadupateH-
   adūrādāsīno madhurabhanitīrgāsyati sadā |	adUrAt-AsInaH maDura-BanitIH-gAsyati sadA |
   purastādābhīrīgaṇabhayadanāmā sa kaṭhino	purastAt-ABIrI-gaNa-Baya-danAmA sa kaWinaH-
   maṇistambhālambī kurukulakathāṃ saṅkalayitā ||50	maNi-stamBa-AlambI kuru-kula-kaTAm saFkalayitA ||50
   śinīnāmuttaṃsaḥ kalitakṛtavarmāpy ubhayataḥ	SinInAm-uttaMsaH kalita-kRtavarmA-api uBayatas-
   praṇeṣyate bālavyajanayugalāndolanavidhim |	praNezyate bAla-vyajana-yugala-Andolana-viDim |
   sa jānubhyāmaṣṭāpadabhuvanamavaṣṭabhya bhavitā	sa jAnuByAm-azwApada-Buvanam-avazwaBya BavitA
   guroḥ śiṣyo nūnaṃ padakamalasaṃvāhanarataḥ ||51	guroH SizyaH nUnam pada-kamala-saMvAhana-rataH ||51
   vihaṅgendro yugmīkṛtakarasarojo bhuvi puraḥ	vihaFga-indraH yugmIkRta-kara-sarojaH Buvi puras-
   kṛtāsaṅgo bhāvī prajavini nirdeśe.arpitamanāḥ |	kRta-AsaFgaH BAvI prajavini nirdeSe.arpita-manAH |
   chadadvandve yasya dhvanati mathurāvāsibaṭavo	Cada-dvandve yasya Dvanati maTurA-vAsi-bawavaH-
   vyadasyante sāmasvarajanitamanyonyakalaham ||52	vyadasyante sAma-svara-janitam-anyonya-kalaham ||52
   na nirvaktuṃ dāmodarapadakaniṣṭhāṅgulinakha-	na nirvaktum dAmodara-pada-kanizWA-aFguli-naKa-
   dyutīnāṃ lāvaṇyaṃ bhavati caturāsyo.api caturaḥ |	dyutInAm lAvaNyam Bavati caturAsyaH-.api caturaH |
   tathāpi strīprajñāsulabhataralatvādahamasau	taTA-api strI-prajQA-sulaBa-tarala-tvAt-aham-asO
   pravṛttā tanmūrtistavaratimahāsāhasavaśe ||53	pravRttA tad-mUrti-H-tava-rati-mahA-sAhasa-vaSe ||53
   virājante yasyavrajaśiśukulasteyavikala-	virAjante yasya-vraja-SiSu-kula-steya-vikala-
   svayambhūcūḍāgrairlulitaśikharāḥ pādanakharāḥ |	svayamBU-cUxA-agrEH-lulita-SiKarAH pAda-naKarAH |
   kṣaṇaṃ yān ālokya prakaṭaparamānandavivaśaḥ	kzaNam yAn Alokya prakawa-parama-Ananda-vivaSaH
   sa devarṣirmuktān api tanubhṛtaḥ śocati bhṛśam ||54	sa devarziH-muktAn api tanuBRtaH Socati BRSam ||54
