   āmnāyasya //	AmnAyasya //
   tatsiddhāntaśeṣatvena tatsiddhāntasya ca saṃkīrṇatayaiva	tad-sidDAnta-Seza-tvena tad-sidDAntasya ca saMkIrNa-tayA-eva
   varṇanadarśanāvaśyakena viśeṣavicāreṇaiva sāmānyavicārasyārthādeva	varNana-darSana-AvaSyakena viSeza-vicAreNa-eva sAmAnya-vicArasya-arTAt-eva
   siddheḥ, sūtrasya viśeṣavicāre 'pyarthasaṃgatestvayaivopa pāditvāt	sidDeH, sUtrasya viSeza-vicAre api-arTa-saMgateH-tvayA-eva-upa pAdi-tvAt-
   niṣprayojanaṃ sāmānyavicāramupekṣya mantrādyapekṣayā padaikavākyatayā	nizprayojanam sAmAnya-vicAram-upekzya mantra-Adi-apekzayA pada-eka-vAkya-tayA
   itikartavyatārūpeṇa ca codanāpratyāsattimabhipretya	itikartavya-tA-rUpeNa ca codanA-pratyAsattim-aBipretya
   vidhinā tvekavākyatvāt stutyarthena vidhīnāṃ syuḥ / Jaim_1,2.7 /	viDinA tu-eka-vAkya-tvAt stuti-arTena viDInAm syuH / JEm_1,2.7 /
   iti sūtrakṛtā arthavādaviṣayasiddhāntasyaiva abhidhānāt	iti sUtra-kRtAH arTavAda-vizaya-sidDAntasya-eva aBiDAnAt-
   bhāṣyakāreṇāpyarthavādamātrodāharaṇena dharmādharmaprāmāṇyavicārasyaiva	BAzya-kAreNa-api-arTavAda-mAtra-udAharaNena Darma-aDarma-prAmANya-vicArasya-eva
   kṛtatvāttameva viśeṣavicāraḥ 'viṣayo viśayaścaiva pūrvapakṣastathottaraḥ /	kRta-tvAt-tam-eva viSeza-vicAraH avizayaH viSayaH-ca-eva pUrvapakzaH-taTA-uttaraH /
   prayojanaṃ ca pañcāṅgaṃ śāstre 'dhikaraṇaṃ viduḥ //	prayojanam ca paQcAFgam SAstre aDikaraNam viduH //
   'ityabhiyuktaprasiddhaviṣayasandehapūrvapakṣasiddhānta prayojanarūpaṃ	aiti-aBiyukta-prasidDa-vizaya-sandeha-pUrva-pakza-sidDAnta prayojana-rUpam
   pañcāvayavamadhikaraṇamāracayan pratijānīte - vāyurvai kṣepiṣṭhetyādinā //	paQca-avayavam-aDikaraNam-Aracayan pratijAnIte  vAyuH-vE kzepizWa-ityAdinA //
   vāyuḥ kṣepiṣṭhā śīghragāminī devateti loke prasiddham, ataḥ kṣipragāminīṃ	vAyuH kzepizWA SIGra-gAminI devatA-iti loke prasidDam, atas kzipra-gAminIm
   vāyudevatāṃ vāyūcitena śrvetapaśurūpeṇa bhāgena yajamānastoṣayati, saca	vAyudevatAm vAyu-ucitena Srveta-paSu-rUpeNa BAgena yajamAnaH-tozayati, saca
   tuṣṭo vāyurenaṃ bhāgapradaṃ yajamānamaiśrvaryaṃ prāpayatyevetyavakārasya	tuzwaH vAyuH-enam BAga-pradam yajamAnam-ESrvaryam prApayati-eva-iti-avakArasya
   avahitānvayena arthavādārthaḥ //	avahita-anvayena arTa-vAda-arTaH //
   (vāyurvai kṣepiṣṭhetigrahaṇasya so 'rodīdityupalakṣaṇatvam)	(vAyuH-vE kzepizWA-iti-grahaNasya saH arodIt-iti-upalakzaNa-tvam)
   ityādyarthavādānāmiti /	iti-Adi-arTa-vAdAnAm-iti /
   ādiśabdena na kevalaṃ vidhisannihatā etādṛśā evārthavādā grāhyāḥ, apitu	Adi-Sabdena na kevalam viDi-sannihatAH etAdRSAH eva-arTa-vAdAH grAhyAH, apitu
   'so 'rodīdyadarodīttadrudrasya rudratvaṃ yadaśrvaśīyata tadrajatamabhavat	asaH arodIdyat-ara-udIt-tat-rudrasya rudra-tvam yat-aSrvaSIyata tat-rajatam-aBavat
   purāsya saṃvatsarāt gṛhe rudanti' ityādayaḥ 'tasmādvarhiṣi rajataṃ na	purA-asya saMvatsarAt gRhe rudanti-a ityAdayaH atasmAt-varhizi rajatam na
   deyam' ityādiniṣedhasamabhivyāhṛtā apyarthavādā grāhyāḥ ;	deyam-a ityAdi-nizeDa-samaBivyAhRtAH api-arTa-vAdAH grAhyAH ;
   tadviṣayakādharmaprāmāṇyāpyagre vicārasattvāt /	tad-vizayaka-aDarma-prAmANya-api-agre vicAra-sattvAt /
   atra sa iti tacchabdena 'tadagnirnyakāmayata' iti pūrvopakrānto 'gniḥ	atra saH iti tad-Sabdena atat-agniH-nyakAmayata-a iti pUrva-upakrAntaH agniH
   parāmṛśyate /	parAmRSyate /
   itarat spaṣṭārtham /	itarat spazwa-arTam /
   vidhipratiṣedhavadevetyuktayā jijñāsāsūtre arthavādādidharmapramāṇamātraṃ	viDi-pratizeDa-vat-eva-iti-uktayA jijQAsA-sUtre arTavAda-Adi-Darma-pramANa-mAtram
   upakṣiptam iti-sūcitam //	upakziptam iti-sUcitam //
   <B1> vidhipratiṣedhavadeva kartṛsmaraṇābhāvādapauruṣeyatve	<B1> viDi-pratizeDa-vat-eva kartR-smaraNa-aBAvAt-apOruzeya-tve
   pūrvādhikaraṇena siddhe saṃprati tadvadeva dharmādharmayoḥ prāmāṇyamasti	pUrva-aDikaraNena sidDe saMprati tadvat-eva Darma-aDarmayoH prAmANyam-asti
   na veti vicāryate //	na vA-iti vicAryate //
   tatra vidhipratiṣedhavākyābhyāṃ śaktyā	tatra viDi-pratizeDa-vAkyAByAm SaktyA
   sādhyasādhanetikartavyatāviśiṣṭabhāvanāviṣayakavidhi pratiṣedhayoḥ	sADya-sADana-iti-kartavyatA-viSizwa-BAvanA-vizayaka-viDi pratizeDayoH
   pratipādanāt arthācca	pratipAdanAt arTAt-ca
   vidhipratiṣedhaviṣayayāgāderiṣṭāniṣṭasādhanatvākṣepādyuktaṃ	viDi-pratizeDa-vizaya-yAga-AdeH-izwa-anizwa-sADana-tva-Akzepa-Adi-uktam
   tayoriṣṭasādhanarūpadharmā dharmapramājanakatvam, arthavādānāṃ tu śaktyā	tayoH-izwa-sADana-rUpa-DarmA Darma-pramAjanaka-tvam, arTa-vAdAnAm tu SaktyA
   sadasadrūpasiddhārthabodhakatvānna dharmādharmayoḥ prāmāṇyasaṃbhavaḥ /	sat-asat-rUpa-sidDArTa-boDaka-tvAt-na Darma-aDarmayoH prAmANya-saMBavaH /
   naca śaktyā tadasaṃbhave 'pi lakṣaṇādhyāhārādinā tatpratipādanam; yathā-	na-ca SaktyA tad-asaMBave api lakzaNa-aDyAhAra-AdinA tad-pratipAdanam; yaTA-
   śrutārthapratipādanenaivopapattau anvayānupapattyabhāvena tadasaṃbhavāt /	Sruta-arTa-pratipAdanena-eva-upapattO anvayAn-upapatti-aBAvena tad-asaMBavAt /
   naca tātparyānupapattyā tatkalpanam; tātparyagrāhakābhāvena tasyā	na-ca tAtparyAnupapattyA tad-kalpanam; tAtparya-grAhaka-aBAvena tasyAH-
   apyasaṃbhavāt /	api-asaMBavAt /
   nahi śabdaḥ pramāṇamātraṃ vā prayojanavadviṣayamevetyevaṃ niyame	na-hi SabdaH pramANa-mAtram vA prayojana-vat-vizayam-eva-iti-evam niyame
   pramāṇamasti, yena sa eva tātparyagrāhakaḥ śaṅkyeta; niṣprayojanānāmapi	pramANam-asti, yena saH eva tAtparyagrAhakaH SaFkyeta; nizprayojanAnAm-api
   bahuśo darśanena vyabhicārāt /	bahuSas darSanena vyaBicArAt /
   naca -- svādhyāyo 'dhyetavya iti	na-ca - svADyAyaH aDyetavyaH iti
   svādhyāyavidhirevārthajñānoddeśenādhyayanaṃ	svADyAya-viDiH-eva-arTa-jQAna-uddeSena-aDyayanam
   vidadhanniṣprayojanārthajñānasya bhāvyatvānupapatterarthasya	vidaDat-nizprayojana-arTa-jQAnasya BAvya-tva-anupapatteH-arTasya
   prayojanavattvamā- kṣipatīti -- vācyam; arthajñānajanakatvenādhyayanasya	prayojanavat-tvamA kzipati-iti - vAcyam; arTa-jQAna-janaka-tvena-aDyayanasya
   lokasiddhatvenāvidheyatvāt /	loka-sidDa-tvena-aviDeya-tvAt /
   <B2> (kartṛsmaraṇābhāvena vidhitulyanyāyatayār'thavādānāṃ	<B2> (kartR-smaraNa-aBAvena viDi-tulya-nyAyatayAr-aTavAdAnAm
   prāmāṇyanirūpaṇam) siddhe iti /	prAmANya-nirUpaNam) sidDe iti /
   tathāca codanārthamapyuktena kartṛsmaraṇābhāvādihetukāpauruṣeyatvena	taTA-ca codanA-arTam-api-uktena kartR-smaraNa-aBAva-Adi-hetukA-pOruzeya-tvena
   arthavādādīnāmapi sāmānyatastulya- nyāyatayā prāmāṇyaṃ pūrvameva	arTavAda-AdInAm-api sAmAnyatas-tulya nyAya-tayA prAmANyam pUrvam-eva
   siddhamityarthaḥ //	sidDam-iti-arTaH //
   etena -- sāmānyataḥ prāmāṇyānuktau stutyādirūpadvāraviśeṣākāṅkṣā-	etena - sAmAnyatas prAmANya-anuktO stuti-a-Adi-rUpa-dvAra-viSeza-AkAFkzA-
   nudayāttadāvaśyakatvam - apāstam ; anena - pūrvamupapāditaṃ	nudayAt-tat-AvaSyaka-tvam  apAstam ; anena  pUrvam-upapAditam
   prasaṃgākṣeparūpasaṃgatidvayam - darśitam /	prasaMga-Akzepa-rUpa-saMgati-dvayam  darSitam /
   dharmādharmayoriti viṣayasaptamī /	Darma-aDarmayoH-iti vizaya-saptamI /
   vidhipratiṣedhayoriti /	viDi-pratizeDayoH-iti /
   vidhipratiṣedhau pravartanānivartanāparaparyāyau /	viDi-pratizeDO pravartanA-nivartana-apara-paryAyO /
   arthāditi /	arTAt-iti /
   ananyalabhyasya śabdārthatvāt anumānenaiva iṣṭasādhanatvāderbodhasaṃbhave	ananya-laByasya Sabda-arTa-tvAt anumAnena-eva izwa-sADana-tvAdeH-boDa-saMBave
   na naiyāyikamata iva tatra śaktiḥ kalpanīyā /	na nEyAyikam-atas iva tatra SaktiH kalpanIyAH /
   tadanumānaprakārastu bhāṭṭarahasye pūjyapādaiḥ pradarśitaḥ //	tad-anumAna-prakAraH-tu BAwwa-rahasye pUjya-pAdEH pradarSitaH //
   (sadasadrūpetyasya vivaraṇam) sadasadrūpeti /	(sat-asat-rUpa-iti-asya vivaraNam) sat-asat-rUpa-iti /
   anena ca -- vāyukṣepiṣṭhatvādīnāṃ mānāntaraprāptatvena	anena ca - vAyu-kzepizWa-tva-AdInAm mAna-antara-prApta-tvena
   anadhigatārthagantṛtvarūpaprāmāṇyasya 'grāvāṇaḥ plavante' ityādau	anaDigata-arTa-gantR-tva-rUpa-prAmANyasya agrAvANaH plavante-a ityAdO
   yāthārthyalakṣaṇasyāpi asaṃbhave sutarāṃ siddhārthapratipādakatayā	yATArTya-lakzaNasya-api asaMBave sutarAm sidDArTa-pratipAdaka-tayA
   bhāvyadharmādharmaprāmāṇyaṃ na saṃbhavati iti -- sūcitam //	BAvya-Darma-aDarma-prAmANyam na saMBavati iti - sUcitam //
   (lakṣaṇāvipariṇāmādisvarūpasya sodāharaṇaṃ nirūpaṇam)	(lakzaNA-vipariNAma-Adi-svarUpasya sa-udAharaNam nirUpaNam)
   lakṣaṇādhyāhārādineti /	lakzaNa-aDyAhAra-AdinA-iti /
   vipariṇāmaguṇakalpanādyādiśabdena saṃgṛhītam /	vipariNAma-guNa-kalpanAdi-Adi-Sabdena saMgRhItam /
   taduktam - 'adhyāhārāśrutākṣepo vyatyāso vyavadhiḥ padaiḥ /	tat-uktam  aaDya-AhAra-aSru-ta-AkzepaH vyatyAsaH vyavaDiH padEH /
   mato vipariṇāmo 'sau prakṛtipratyayānyathā /	mataH vipariNAmaH asO prakRti-pratyaya-anyaTA /
   vākyānthathātvakaraṇaṃ vyavadhāraṇakalpanā' iti //	vAkyAn-TaTAtva-karaNam vyavaDAraNa-kalpanAa iti //
   yathā chinattītyadhyāhāraḥ /	yaTA Cinatti-iti-aDyAhAraH /
   vyatyāso vyavahitakalpanā, yathā -' yā teagne rajāśayetyatra vyavahitasya	vyatyAsaH vyavahita-kalpanA, yaTA -a yA teagne rajASayA-iti-atra vyavahitasya
   tanūrvarṣiṣṭhetyanenānvayakalpanā /	tanUH-varzizWA-iti-anena-anvaya-kalpanA /
   vipariṇāmo yathā pratitiṣṭhantītyatra pratiṣṭhākāmā rātrīrupeyarityādiḥ /	vipariNAmaH yaTA pratitizWanti-iti-atra pratizWA-kAmA rAtrIH-upeyar-iti-AdiH /
   vyavadhāraṇakalpanā yathā - yāvato 'śrvān pratigṛhnīyādityatra	vyavaDAraNa-kalpanA yaTA  yAvataH aSrvAn pratigRhnIya-Aditi-atra
   pratigrāhayediti /	pratigrAhayet-iti /
   guṇakalpanā yathā - yajamānaḥ prastara ityatra /	guNa-kalpanA yaTA  yajamAnaH prastaraH iti-atra /
   lakṣaṇodāharaṇāni siddhāntināṅgīkriyamāṇāḥprāśastyāprāśastyalakṣaṇāḥ /	lakzaNa-udAharaNAni sidDAntinA-aFgI-kriyamANAH-prASastya-aprASastya-lakzaNAH /
   (vākyalakṣaṇāsamarthanam) sā kimekasmin pade, kiṃ vā pratyekaṃ sarveṣu,	(vAkya-lakzaNA-samarTanam) sA kim-ekasmin pade, kim vA pratyekam sarvezu,
   uta militeṣu, nādyaḥ, vinigamakābhāvāt, itaradānāmānarthakyaprasaṅgāñca /	uta milita-izu, na-AdyaH, vinigamaka-aBAvAt, itaradAnAm-AnarTakya-prasaFgAQca /
   nāparaḥ ; ekaikapadasya prāśastyāprāśastyasaṃbandhābhāvāt, apratīteśrca /	na-aparaH ; ekEka-padasya prASastyAprASastyasaMbanDa-aBAvAt, apratIteSrca /
   nāntyaḥ; militānāmekārthābhāvāt śakyasaṃbandhasyaiva lakṣaṇātvāt tataśrca	na-antyaH; militAnAm-ekArTa-aBAvAt Sakya-saMbanDasya-eva lakzaNAtvAt tatas-rca
   vākye sāṅgīkartavyā ; tatrāpi kāraṇābhāvāt vākayasyekaśakyārthābhāvāñca sā	vAkye sa-aFgIkartavyA ; tatra-api kAraNa-aBAvAt vAkayasi-eka-Sakya-arTa-aBAvAQca sA
   na saṃbhavati, ityāha - yathāśrutārtheti /	na saMBavati, iti-Aha  yaTASruta-arTA-iti /
   tātparyāgrāhakābhāveneti /	tAtparyAgrAhaka-aBAvena-iti /
   dharmādharmatātparyakatvasya pramāṇāntareṇāsiddheriti bhāvaḥ /	Darma-aDarma-tAtparyaka-tvasya pramANa-antareNa-asidDeH-iti BAvaH /
   tasyāapīti /	tasya-aapi-iti /
   tātparyānupapatterityarthaḥ /	tAtparyAnupapatteH-iti-arTaH /
   prayojanavadviṣayamiti /	prayojana-vat-vizayam-iti /
   pravṛttinivṛttirūprayojanopayogyarthaviṣayamityarthaḥ /	pravRtti-nivRtti-rUprayojana-upayogi-arTa-vizayam-iti-arTaH /
   niṣprayojanānāṃ ākhyāyikārūpāṇām /	nizprayojanAnAm AKyAyikA-rUpANAm /
   bhāvyatvānupapatteriti /	BAvya-tva-anupapatteH-iti /
   vidhinā puruṣārthabhūtasyaiva bhāvyatayāpekṣaṇāt atādṛśasya	viDinA puruza-arTa-BUtasya-eva BAvya-tayA-apekzaNAt atAdRSasya
   bhāvyatvānupapattirityarthaḥ /	BAvya-tva-anupapattiH-iti-arTaH /
   (guṇakarmatvapradhānakarmatvakṛtavairūpyavāraṇārthe	(guNa-karma-tva-praDAna-karma-tva-kRta-vErUpya-vAraNa-arTe
   adhyayanasyārthajñānārthatvapakṣopapādanam) arthasya prayojanavattvamiti /	aDyayanasya-arTa-jQAna-arTa-tva-pakza-upapAdanam) arTasya prayojanavat-tvam-iti /
   tataśrca codanāṃśe tāvadadhyayanabhāvanāyā dṛṣṭamarthajñānameva prayojanam	tatas-rca codana-aMSe tAvat-aDyayana-BAvanAyAH dRzwam-arTa-jQAnam-eva prayojanam
   tathaiva sarvāṃśe 'pi tasyā dṛṣṭenaiva prayojanena bhāvyaṃ anyathā yadaṃśe	taTA-eva sarva-aMSe api tasyAH dRzwena-eva prayojanena BAvyam anyaTA yat-aMSe
   dṛṣṭārthatvaṃ tamaṃśaṃ pratyadhyayanasya guṇakarmatvāt yadaṃśe	dRzwa-arTa-tvam tam-aMSam pratyaDyayanasya guNa-karma-tvAt yat-aMSe
   cādṛṣṭārthatvaṃ tamaṃśaṃ prati tasya pradhānakarmatvāt vairūpyāpatteḥ /	ca-adRzwa-arTa-tvam tam-aMSam prati tasya praDAna-karma-tvAt vErUpya-ApatteH /
   atastadanurodhena sarvāṃśe 'pi dṛṣṭārthatvaṃ bodhitaṃ	atas-tad-anuroDena sarva-aMSe api dRzwa-arTa-tvam boDitam
   pravṛttinivṛttyupayogiprāśastyāprāśastyalakṣaṇāṃ vinā na nirvahatīti	pravRtti-nivRtti-upayogi-prASastya-aprASastya-lakzaNAm vinA na nirvahati-iti
   siddhāntyāśaṅkārthaḥ /	sidDAntya-ASaFkA-arTaH /
   svādhyāyādhyayanavidheḥ adhyayanavidhyarthatve sati tatphalaṃ	svADyAya-aDyayana-viDeH aDyayana-viDi-arTa-tve sati tad-Palam
