   dvitīya ucchvāsaḥ	dvitIyaH ucCvAsaH
   abhinavoditaśca sarvasyāṃ pṛthivyāṃ	aBinava-uditaH-ca sarvasyAm pRTivyAm
   sakalakusumabandhanamokṣamakarotpratapannuṣṇasamayaḥ /	sakala-kusuma-banDana-mokzam-akarot-pratapan=-uzNa-samayaH /
   svayamṛturājasyābhiṣekārdrāścāmarakalāpā ivāgṛhyanta kāminīcikuracayāḥ	svayam-Rtu-rAjasya-aBizeka-ArdrAH-cAmara-kalApAH iva-agRhyanta kAminI-cikura-cayAH
   kusumāyudhena, himadagdhasakalakamalinīkopeneva himālayābhimukhīṃ	kusumAyuDena, hima-dagDa-sakala-kamalinI-kopena-iva himAlaya-aBimuKIm
   yātrāmadādaṃśumālī /	yAtrA-madAt-aMSumAlI /
   atha lalāṭantape tapati tapane	aTa lalAwantape tapati tapane
   candanalikhitalalāṭikāpuṇḍrakairalakacīracīvarasaṃvītaiḥ	candana-liKita-lalAwikA-puNxrakEH-alaka-cIra-cIvara-saMvItEH
   svedodabindumuktākṣavalayavāhibhirdinakarārādhananiyamā ivāgṛhyanta	sveda-uda-bindu-muktA-akza-valaya-vAhiBiH-dinakara-ArADana-niyamAH iva-agRhyanta
   lalanālalāṭendudyutibhiḥ /	lalanA-lalAwa-indu-dyutiBiH /
   candanadhūsarābhirasūryampaśyābhiḥ kumudinībhiriva divasamasupyata	candana-DUsarABiH-asUryampaSyABiH kumudinIBiH-iva divasam-asupyata
   sundarībhiḥ /	sundarIBiH /
   nidrālasā ratnālokamapi nāsahanta dṛśaḥ, kimuta jaraṭhamātapam /	nidrA-alasAH ratna-Alokam-api na-asahanta dRSaH, kim-uta jaraWam-Atapam /
   aśiśirasamayena cakravākamithunābhinanditāḥ sarita iva tanimānamānīyanta	aSiSira-samayena cakravAka-miTuna-aBinanditAH saritaH iva tanimAnam-AnIyanta
   soḍupāḥ śarvaryaḥ /	soxupAH SarvaryaH /
   abhinavapaṭupāṭalāmodasurabhiparimalaṃ na kevalaṃ jalam, janasya	aBinava-pawu-pAwala-Amoda-suraBi-parimalam na kevalam jalam, janasya
   pavanamapi pātumabhūdabhilāṣo divasakarasantāpāt /	pavanam-api pAtum-aBUt-aBilAzaH divasakara-santApAt /
   krameṇa ca kharakhagamayūkhe khaṇḍitaśaiśave, śuṣyatsarasi, sīdatsretasi,	krameNa ca Kara-Kaga-mayUKe KaNxita-SESave, Suzyat-sarasi, sIdat-sretasi,
   mandanirjhare jhillikājhāṅkāriṇi,	manda-nirJare JillikA-JAFka-ariNi,
   kātarakapotakūjitānubandhabadhiritaviśve, śvasatpatattriṇi,	kAtara-kapota-kUjita-anubanDa-baDirita-viSve, Svasat-patat-triNi,
   karīrṣakaṣamaruti, viralavīrudhi,	karIrza-kaza-maruti, virala-vIruDi,
   rudhirakutūhalikesarikiśorakalihyamānakaṭhoradhātakīstabake,	ruDira-kutUhali-kesari-kiSorakalihyamAna-kaWora-DAtakI-stabake,
   tāmyatstamberamayūthavamathutimyanmahāmahīdhāranitambe,	tAmyat-stamberam-ayUTa-vamaTu-timyat-mahA-mahIDAra-nitambe,
   dinakaradūyamānadviradadīnadānāśyānadānaśyāmikālīnamūkamadhulihi,	dinakara-dUyamAna-dvirada-dIna-dAna-aSyAna-dAna-SyAmikA-AlIna-mUka-maDulihi,
   lohitāyamānamandārasindūritasīmni,	lohitAyamAna-mandAra-sindUrita-sImni,
   salilasyandasaṃdohasaṃdehamuhyanmahāmahiṣaviṣāṇakoṭivilikhyamānasphuṭatsphāṭikadṛṣadi,	salila-syanda-saMdoha-saMdeha-muhyat-mahA-mahiza-vizANa-kowi-viliKya-mAna-sPuwat-sPAwika-dRzadi,
   gharmamarmaritagarmuti, taptapāṃśukukūlakātaravikire,	Garma-marmarita-garmuti, tapta-pAMSu-kukUla-kAtara-vikire,
   vivaraśaraṇaśvāvidhe,	vivara-SaraNa-SvAviDe,
   taṭārjunakurarakūjājvaravivartamānottānaśapharaśārapaṅkaśeṣapalpalāmbhasi,	tawa-arjuna-kurara-kUja-ajvara-vivartamAna-uttAna-SaPara-SAra-paFka-Seza-palpala-amBasi,
   dāvajanitajagannīrājane, rajanīrājayakṣmaṇi, kaṭhorībhavati nidāghakāle	dAva-janita-jagat-nIra-ajane, rajanIrAjayakzmaNi, kaWorIBavati nidAGa-kAle
   pratidiśamājīkamānā ivoṣareṣu prapāvāṭakuṭīpaṭalaprakaṭaluṇṭhakāḥ,	pratidiSam-AjI-kamAnAH iva-Uzarezu prapAvAwa-kuwI-pawala-prakawa-luNWakAH,
   prapakvakapikacchūgucchacchaṭācchoṭanacāpalairakāṇjakaṇḍūlā iva karṣantaḥ	prapakva-kapikacCU-gucCat-SawAt-Sowana-cApalEH-akANja-kaNxUlAH iva karzantaH
   śarkarilāḥ karkarasthalīḥ, sthūladṛṣaccūrṇamucaḥ,	SarkarilAH karkara-sTalIH, sTUla-dRzat-cUrNa-mucaH,
   mucukundakandaladalanadanturāḥ,	mucukunda-kandala-dalana-danturAH,
   saṃtatatapanatāpamukharacīrīgaṇamukhaśīkaraśīkyamānatanavaḥ,	saMtata-tapana-tApa-muKara-cIrI-gaNa-muKa-SIkara-SIkyamAna-tanavaH,
   taruṇatarataraṇitāpatarale taranta iva taraṅgiṇi	taruNatara-taraNi-tApa-tarale tarantaH iva taraFgiNi
   mṛgatṛṣṇikātaraṅgiṇīnāmalīkavāriṇi,	mRgatRzNikA-taraFgiNInAmalIka-vAriNi,
   śuṣyacchamīmarmaramāravamārgalaṅghanalāghavajavajaṅghālāḥ,	Suzyat-SamImarmarama-Arava-mArga-laFGana-lAGava-java-jaFGAlAH,
   raiṇavāvartamaṇḍalīrecakarāsarasarabhasārabdhanartanārambhārabhaṭīnaṭāḥ,	rENava-Avarta-maNxalI-recaka-rAsa-rasa-raBasa-ArabDa-nartana-AramBAra-BawI-nawAH,
   dāvadagdhasthalīmaṣīmilanamalināḥ śikṣitakṣapaṇakavṛttaya iva	dAva-dagDa-sTalI-mazI-milana-malinAH Sikzita-kzapaNaka-vRttayaH iva
   vanamayūrapicchacayānuccinvantaḥ, saprayāṇaguñjā iva	vana-mayUra-picCa-cayAn-uccinvantaH, sa-prayANa-guQjAH iva
   śiñjānajaratkarañjamañjarībījajālakaiḥ saprarīhā	SiQjAn-ajarat-karaQja-maQjarI-bIja-jAlakEH sa-prarIhA
   ivātapāturavanamahiṣanāsānikuñjasthūlaniḥśvāsaiḥ, sāpatyā	iva-Atapa-Atura-vana-mahiza-nAsA-nikuQja-sTUla-niHSvAsEH, sa-apatyA
   ivoḍḍīyamānajavanavātahariṇaparipāṭīpeṭakaiḥ, sabhrukuṭaya iva	iva-uxxIyamAna-javana-vAta-hariNa-paripAwI-pewakEH, sa-BrukuwayaH iva
   dahyamānakhaladhānabusakūṭakuṭiladhūmakoṭibhiḥ, sāvīcivīcaya iva	dahyamAna-Kala-DAna-busa-kUwa-kuwila-DUma-kowiBiH, sAvIci-vIcayaH iva
   mahoṣmamuktibhiḥ, lomaśā iva śīryamāṇaśālmaliphalatūlatantubhiḥ, dadruṇā	mahA-Uzma-muktiBiH, lomaSAH iva SIryamANa-SAlmali-Pala-tUla-tantuBiH, dadruNA
   iva śuṣkapatraprakarākṛṣṭibhiḥ, śirālā iva tṛṇaveṇīvikaraṇaiḥ ucchmaśrava	iva Suzka-patra-prakara-AkRzwiBiH, SirAlAH iva tRNa-veNI-vikaraNEH ucCmaSrava
   iva dhūyamānanavayavaśūkaśakalaśaṅkubhiḥ, daṃṣṭrālā iva	iva DUyamAna-nava-yava-SUka-Sakala-SaFkuBiH, daMzwrAlAH iva
   calitaśalalasūcīśataiḥ, jihvālā iva vaiśvānaraśikhābhiḥ,	calita-Salala-sUcI-SatEH, jihvA-AlAH iva vESvAnara-SiKABiH,
   utsarpatsarpakañcukaiścūḍālā iva brahnastambharasābhyavaharaṇāya	utsarpat-sarpa-kaQcukEH-cUxAlAH iva brahna-stamBa-rasa-aByavaharaNAya
   kavalagrahamivoṣṇaiḥ kamalavanamadhubhirabhyasyantaḥ	kavala-graham-iva-uzNEH kamala-vana-maDuBiH-aByasyantaH
   sakalasalilocchoṣaṇagharmaghoṣaṇāghorapaṭahairiva	sakala-salila-ucCozaNa-Garma-GozaNA-Gora-pawahEH-iva
   śuṣkaveṇuvanāsphoṭanapaṭuravaistribhuvanabibhīṣikāmudbhāvayantaḥ,	Suzka-veNu-vana-AsPowana-pawu-ravEH-triBuvana-biBIzikAm-udBAvayantaH,
   cyutacapalacāṣapakṣaśreṇīśāritasṛtayaḥ,	cyuta-capala-cAza-pakza-SreNI-SArita-sRtayaH,
   tviṣimanmayūkhalatālātaploṣakalmāṣavapuṣa iva	tvizimat-mayUKa-latA-lA-ta-ploza-kalmAza-vapuzaH iva
   sphuṭitaguñjāphalasphuliṅgāṅgārāṅkitāṅgāḥ,	sPuwita-guQjA-Pala-sPuliFga-aFgAra-aFkita-aFgAH,
   giriguhāgambhīrabhāṅkārabhīṣaṇabhrāntayaḥ,	giri-guhA-gamBIra-BAFkAra-BIzaNa-BrAntayaH,
   bhuvanabhasmīkaraṇābhicāracarupacanacaturāḥ, rudhirāhutibhiriva	Buvana-BasmIkaraNa-aBicAra-caru-pacana-caturAH, ruDira-AhutiBiH-iva
   pāribhadradrumastabakavṛṣṭibhistarpayantastāravānvanavibhāvasūn,	pAriBadra-druma-stabaka-vRzwiBiH-tarpayantaH-tAravAn-vana-viBAva-sUn,
   aśiśiraśikatātārakitaraṃhasaḥ,	aSiSira-Sika-tA-tArakita-raMhasaH,
   taptaśailavilīyamānaśilājaturasalavaliptadiśaḥ,	tapta-SEla-vilIyamAna-SilAjatu-rasa-lava-lipta-diSaH,
   dāvadahanapacyamānacaṭakāṇḍakhaṇḍakhacitatarukoṭarakīṭapaṭalapuṭapākagandakaṭavaḥ,	dAva-dahana-pacyamAna-cawakANxa-KaNxa-Kacita-taru-kowara-kIwa-pawala-puwapAka-ganda-kawavaH,
   prāvartantonmattā mātariśvānaḥ /	prAvartanta-unmattAH mAtariSvAnaH /
   sarvataśca bhūribhastrāsahasrasaṃdhukṣaṇakṣubhitā iva	sarvatas-ca BUri-BastrA-sahasra-saMDukzaNa-kzuBitAH iva
   jaraṭhājagaragambhīragalaguhāvāhivāyavaḥ, kvacitsvacchandatṛṇacāriṇo	jaraWA-jagara-gamBIra-gala-guhA-vAhi-vAyavaH, kvacid-svacCanda-tRNa-cAriNaH-
   hariṇāḥ, vkacittarutalavivaravivartino babhravaḥ, vkacijjaṭāvalambinaḥ	hariNAH, vkacittaru-tala-vivara-vivartinaH baBravaH, vkacit-jawA-avalambinaH
   kapilāḥ vkacicchakunikulakulāyapātinaḥ śyenāḥ,	kapilAH vkacid-Sakuni-kula-kulAya-pAtinaH SyenAH,
   vkacidvilīnalākṣārasalohitacchavayo 'dharāḥ,	vkacit-vilIna-lAkzA-rasa-lohita=-CavayaH aDarAH,
   vkacidāsāditaśakunipakṣakṛtapaṭugatayo viśikhāḥ,	vkacit-AsAdita-Sakuni-pakza-kRta-pawu-gatayaH viSiKAH,
   vkaciddagdhaniḥśeṣajanmahetavo nirvāṇāḥ, vkacitkusumavāsitāmbarasurabhayo	vkacit-dagDa-niHSeza-janma-hetavaH nirvANAH, vkacid-kusuma-vAsita-ambara-suraBayo
   rāgiṇaḥ, kvacitsadhūmodgārā mandarucayaḥ, kvacitsakalajagadgrāsaghasmarāḥ	rAgiNaH, kvacid-sa-DUma-udgArAH manda-rucayaH, kvacid-sakala-jagat-grAsa-GasmarAH
   sabhasmakāḥ, kvacidveṇuśikharalagnamūrtayo 'tyantavṛddhāḥ,	sa-BasmakAH, kvacid-veNu-SiKara-lagna-mUrtayaH atyanta-vRdDAH,
   kvacidacalopayuktaśilājatavaḥ, kṣayiṇaḥ kvacitsarvarasabhujaḥ pīvānaḥ,	kvacid-acala-upayukta-SilAjatavaH, kzayiNaH kvacid-sarva-rasa-BujaH pIvAnaH,
   kvaciddagdhaguggulavo raudrāḥ,	kvacid-dagDa-guggulavaH rOdrAH,
   kvacijjvalitanetradahanadagdhasakusumaśaramadanāḥ kṛtasthāṇusthitayaḥ,	kvacid-jvalita-netra-dahana-dagDa-sa-kusuma-Sara-madanAH kRta-sTANu-sTitayaH,
   caṭulaśikhānartanārambhārabhaṭīnaṭāḥ kvacicchuṣkakāsārasṛtibhiḥ	cawula-SiKA-nartana-AramBAra-BawI-nawAH kvacid-Suzka-kAsAra-sRtiBiH
   sphuṭannīrasanīvārabījalājavarṣibhirjvālāñjalibhirarcayanta iva	sPuwat-nIrasa-nIvAra-bIja-lAja-va-rziBiH-jvAlAQjaliBiH-arcayantaH iva
   gharmaghṛṇim, aghṛṇā iva	Garma-GRNim, aGRNAH iva
   haṭhahūyamānakaṭhorasthalakamaṭhavasāvisragandhagṛdhnavaḥ, svamapi	haWa-hUyamAna-kaWora-sTalaka-maWa-vasA-visra-ganDa-gRDnavaH, svam-api
   dhūmamambhodasamudbhūtibhiyeva bhakṣayantaḥ satilāhutaya iva sphuṭad	DUmam-amBoda-samudBUtiBiyA-iva BakzayantaH sa-tila-AhutayaH iva sPuwa-d
   bahalabālakīṭapaṭalāḥ kakṣeṣu, śvitriṇa iva	bahala-bAla-kIwa-pawalAH kakzezu, SvitriNaH iva
   ploṣavicaṭadvalkaladhavalaśambūkaśuktayaḥ, śuṣkeṣu saraḥsu, svedina iva	ploza-vicawat-valkala-Davala-SambUka-SuktayaH, Suzkezu saraHsu, svedinaH iva
   vilīyamānamadhupaṭalagolagalitamadhūcchiṣṭavṛṣṭayaḥ kānaneṣu, khalataya	vilIyamAna-maDu-pawala-gola-galita-maDUcCizwa-vRzwayaH kAnanezu, Kalataya
   iva pariśīryamāṇaśikhāsaṃhatayo mahoṣareṣu, gṛhītaśilākavalā iva	iva pariSIryamANa-SiKA-saMhatayaH mahA-uza-rezu, gRhIta-SilA-kavalAH iva
   jvalitasūryamaṇiśakaleṣu śiloccayeṣu, pratyadṛśyanta dāruṇā dāvānagnayaḥ /	jvalita-sUrya-maNi-Sakalezu Siloccayezu, pratyadRSyanta dAruNAH dAvAn-agnayaH /
   tathābhūte ca tasminnatyūgre grīṣmasamaye kadācidasya svagṛhāvasthitasya	taTABUte ca tasmin=-atyUgre grIzma-samaye kadAcid-asya sva-gRha-avasTitasya
   bhuktavato 'parāhṇasamaye brātrā pāraśavaścandrasenanāmā	BuktavataH aparAhNa-samaye brAtrA pAraSavaH-candrasena-nAmA
   praviśyākathayat--"eṣa khalu devasya catuḥsamudrādhipateḥ	praviSya-akaTayat--"eza Kalu devasya catur-samudra-aDipateH
   sakalarājacakracūḍāmaṇiśreṇīśāṇakoṇakaṣaṇanirmalīkṛtacaraṇanakhamaṇeḥ	sakala-rAja-cakra-cUxAmaNi-SreNI-SANa-koNa-kazaNa-nirmalIkRta-caraNa-naKa-maNeH
   sarvacakravartināṃ dhaureyasyamahārājādhirājaparameśvaraśrīharṣadevasya	sarva-cakravartinAm DOreyasya-mahA-rAja-aDirAja-parameSvara-SrI-harza-devasya
   bhrātrā kṛṣṇanāmnā bhavatāmantikaṃ prajñātatamo dīrghādhvagaḥ prahito	BrAtrA kRzNa-nAmnA BavatAm-antikam prajQAtatamaH dIrGa-aDvagaH prahitaH-
   dvāramadhyāste' iti /	dvAram-aDyAste-a iti /
   so 'bravīt--"āyuṣman! avilambitaṃ praveśayainam' iti /	saH abravIt---"Ayuzman! avilambitam praveSaya-enam-a iti /
   atha tenānīyamānam, atidūragamanagurujaḍajaṅghākāṇḍam,	aTa tena-AnIyamAnam, ati-dUra-gamana-guru-jaxa-jaFGA-kANxam,
   kārdamikacelacīrikāniyamitoccaṇḍacaṇḍātakam,	kArdamika-cela-cIrikA-niyamita-uccaNxa-caNxAtakam,
   pṛṣṭhapreṅkhatpaṭaccarakarpaṭaghaṭitagalagranthim,	pRzWa-preFKat-pawaccara-karpawa-Gawita-gala-granTim,
   atinibiḍasūtrabandhanimnitāntarālakṛtalekhavyavacchedayā lekhamālikayā	ati-nibixa-sUtra-banDa-nimnita-antarAla-kRta-leKa-vyavacCedayA leKamAlikayA
   parikalitamūrdhānam, praviśantaṃ lekhahārakamadrākṣīt /	parikalita-mUrDAnam, praviSantam leKa-hArakam-adrAkzIt /
   aprākṣīcca dūrādeva--"bhadra,	aprAkzIt-ca dUrAt-eva---"Badra,
   bhadramaśeṣabhuvananiṣkāraṇabandhostatrabhavataḥ kṛṣṇasya? iti /	Badram-aSeza-Buvana-nizkAraNa-banDoH-tatraBavataH kRzNasya? iti /
   sa "bhadram' ityuktvā praṇamya nātidūre samupāviśat /	sa "Badram-a iti-uktvA praNamya na-ati-dUre samupAviSat /
   viśrāntaścābravīt--"eṣa khalu svāminā mānanīyasya lekhaḥ prahitaḥ' iti	viSrAntaH-ca-abravIt---"eza Kalu svAminA mAnanIyasya leKaH prahitaH-a iti
   vimucyā rpayat /	vimucyAH rpayat /
   bāṇastu sādaraṃ gṛhītvā svayamevāvācayat--"mekhalakātsaṃdiṣṭamvadhārya	bANaH-tu sa-Adaram gRhItvA svayam-eva-avAcayat--"-meKalakAt-saMdizwamvaDArya
   phalapratibandhī dhīmatā pariharaṇīyaḥ kālātipāta ityetāvadatrārthajātam /	Pala-pratibanDI DImatA pariharaNIyaH kAla-atipAtaH iti-etAvat-atra-arTa-jAtam /
   itaradvārtāsaṃvādanamātrakam' /	itarat-vArtA-saMvAdana-mAtrakam-a /
   avadhṛtalekhārthaśca samutsāritaparijanaḥ saṃdeśaṃ pṛṣṭavān /	avaDRta-leKA-arTaH-ca samutsArita-parijanaH saMdeSam pRzwavAn /
   mekhalakastvavādīt--"evamāha medhāvinaṃ svāmī--jānātyeva mānyo	meKalakaH-tu-avAdIt--"evam-Aha meDAvinam svAmI---jAnAti-eva mAnyaH-
   yathaikagotratā vā, samānajñānatā vā, samānajātitā vā, sahasaṃvardhanaṃ	yaTA-eka-gotra-tA vA, samAna-jQAna-tA vA, samAna-jAtitAH vA, saha-saMvarDanam
   vā, ekadeśanivāso vā, darśanābhyāso vā, parasparānurāga, śravaṇaṃ vā,	vA, eka-deSa-nivAsaH vA, darSana-aByAsaH vA, paraspara-anurAga, SravaNam vA,
   parokṣopakārakaraṇaṃ vā, samānaśīlatā vā, snehasya hetavaḥ /	parokza-upakAra-karaNam vA, samAna-SIla-tA vA, snehasya hetavaH /
   tvayi tu vinā kāraṇenādṛṣṭe 'pi pratyāsanne bandhāviva baddhapakṣapātaṃ	tvayi tu vinA kAraNena-adRzwe api pratyAsanne banDO=-iva badDa-pakzapAtam
   kimapisnihyati me hṛdayaṃ dūrasthe 'pīndoriva kumudākare /	kim-apisnihyati me hRdayam dUra-sTe api-indoH-iva kumuda-Akare /
   yato bhavantamantareṇānyathā cānyathā cāyaṃ cakravartī durjanairgrāhita	yatas Bavantam-antareNa-anyaTA ca-anyaTA ca-ayam cakravartI durjanEH-grAhita
   āsīt /	AsIt /
   na ca tattathānasantyeva te yeṣāṃ satāmapi satāṃ na vidyante	na ca tat-taTA-anasanti-eva te yezAm satAm-api satAm na vidyante
   mitrodāsīnaśatravaḥ /	mitra-udAsIna-SatravaH /
   śiśucāpalāparācīnacetovṛttitayā ca bhavataḥ kenacidasahiṣṇunā	SiSu-cApala-apara-AcIna-cetaH-vRtti-tayA ca BavataH kenacid-asahizNunA
   yatkiñcidasadṛśamudīritam, itaro lokastathaiva tadgṛhṇāti vakti ca /	yat-kiQcit-a-sadRSam-udIritam, itaraH lokaH-taTA-eva tat-gRhNAti vakti ca /
   salilānīva gatānugatikāni lolāni khalu bhavantyavivekināṃ manāṃsi /	salilAni-iva gata-anugatikAni lolAni Kalu Bavanti-avivekinAm manAMsi /
   bahumukhaśravaṇaniścalīkṛtaniścayaśca kiṃ karotu pṛthivīpatiḥ /	bahu-muKa-SravaNa-niScalIkRta-niScayaH-ca kim karotu pRTivIpatiH /
   tattvānveṣibhiścāsmābhirdūrasthito 'pi pratyakṣīkṛto 'si /	tattva-anveziBiH-ca-asmABiH-dUra-sTitaH api pratyakzIkRtaH asi /
   vijñaptaścakravartī tvadartham-yathā prāyeṇa prathame vayasi sarvaṃsyaiva	vijQaptaH-cakravartI tvad-arTam--yaTA prAyeNa praTame vayasi sarvaMsya-eva
   cāpalaiḥ śaiśavamaparādhoti /	cApalEH SESavam-aparADoti /
   tatheti ca svāminā pratipannam /	taTA-iti ca svAminA pratipannam /
   ato bhavatā rājakagulamakṛtakālakṣepamāgantavyam /	atas BavatA rAjaka-gulam-akRta-kAla-kzepam-Agantavyam /
   avakeśīvādṛṣṭaparameśvaro bandhumadhyamadhivasannapi na me bahumataḥ /	avakeSI-iva-adRzwa-parameSvaraH banDu-maDyam-aDivasan=-api na me bahu-mataH /
   na ca sevārvaṣamyaviṣādinā parameśvaropasarpaṇabhīruṇā vā bhavatā	na ca sevArvazami-a-viza-AdinA parameSvara-upasarpaNa-BIruNA vA BavatA
   bhavitavyam /	Bavitavyam /
   yato yadyapi-- svecchopajātaviṣayo 'pi na yāti vaktuṃ dehauti	yatas yadi-api- sva-icCA-upajAta-vizayaH api na yAti vaktum dehOti
   mārgaṇaśataiśca dadāti duḥkham /	mArgaNa-SatEH-ca dadAti duHKam /
   mohātsamākṣipati jīvanamapyakāṇḍe karṣṭa manobhava iveśvaradurvidagdhaḥ //	mohAt-samAkzipati jIvanam-api-akANxe karzwa manoBavaH iva-ISvara-durvidagDaH //
   tathāpyanye te bhūpatayaḥ, anya evāyam /	taTA-api-anye te BUpatayaH, anyaH eva-ayam /
   nyakkṛtanṛganalaniṣadhanahuṣāmbarīṣadaśarathadilīpanābhāragabharatabhagīrathayayātiramṛtamayaḥ	nyakkRta-nRga-nala-nizaDa-nahuza-ambarI-zadaSaraTa-dilIpanABa-Araga-Barata-BagIraTa-yayAtiH-amRta-mayaH
   svāmī /	svAmI /
   nāsyāhaṅkārakālakūṭaviṣadigdhaduṣṭā dṛṣṭayaḥ, na	na-asya-ahaFkAra-kAlakUwa-viza-digDa-duzwAH dRzwayaH, na
   garvagaragurugalagrahagadagadgadā giraḥ,	garvagara-guru-gala-graha-gada-gadgadAH giraH,
   nātismayoṣmāpasmāravismṛtasthairyāṇi sthānakāni,	na-ati-smaya-Uzma-apasmAra-vismRta-sTEryANi sTAnakAni,
   noddāmadarpadāhajvaravegaviklavā vikārāḥ,	na-uddAma-darpa-dAha-jvara-vega-viklavAH vikArAH,
   nābhimānamahāsannipātanirmitāhgabhaṅgāni gatāni, na	na-aBimAna-mahA-sannipAta-nirmita-Ahga-BaFgAni gatAni, na
   madārditavakrīkṛtauṣṭhaniṣṭhyūtaniṣṭhurākṣarāṇi jalpitāni /	mada-ardita-vakrIkRta-ozWa-nizWyUta-nizWura-akzarANi jalpitAni /
   tathā ca--asya vimaleṣu sādhuṣu ratnabuddhiḥ, na śilāśakaleṣu /	taTA ca--asya vimalezu sADuzu ratna-budDiH, na SilA-Sakalezu /
   muktādhavaleṣu guṇeṣu prasādhanadhīḥ, nābharaṇabhāreṣu /	muktA-Davalezu guNezu prasADana-DIH, na-ABaraNa-BArezu /
   dānavatsu karmasu sādhanaśraddhā, na karikīṭeṣu /	dAnavatsu karmasu sADana-SradDA, na kari-kIwezu /
   sarvāgresare yaśasi mahāprītiḥ, na jīvitajarattṛṇe /	sarva-agresare yaSasi mahA-prItiH, na jIvita-jarat-tRNe /
   gṛhītakarāsvāśāsu prasādhnābhiyogaḥ na nijakalatradharmaputrikāsu /	gRhIta-karAsu-ASAsu prasADna-aBiyogaH na nija-kalatra-Darma-putrikAsu /
