   || namo ratnatrayāya ||	|| namaH ratnatrayAya ||
   yathābhūtaparijñānān na bhavaty ubhayam yataḥ || RATNA_01.28	yaTABUta-parijQAnAt na Bavati uBayam yatas || RATNA_01.28
   ahaṃkārodbhavāḥ skandhāḥ so 'haṃkāro 'nṛto 'rthataḥ |	ahaMkAra-udBavAH skanDAH saH ahaMkAraH anRtaH arTataH |
   bījaṃ yasyānṛtaṃ tasya prarohaḥ satyataḥ kutaḥ || RATNA_01.29	bIjam yasya-anRtam tasya prarohaH satyataH kutas || RATNA_01.29
   skandhān asatyān dṛṣṭvaivam ahaṃkāraḥ prahīyate |	skanDAn asatyAn dRzwvA-evam ahaMkAraH prahIyate |
   ahaṃkāraprahāṇāc ca na punaḥ skandhasaṃbhavaḥ || RATNA_01.30	ahaMkAra-prahANAt ca na punar skanDa-saMBavaH || RATNA_01.30
   yathādarśam upādāya [ svamukhapratibimbakam |	yaTA-AdarSam upAdAya [ sva-muKa-pratibimbakam |
   dṛśya ] te nāma tac caivam na kiṃcid api tattvataḥ || RATNA_01.31	dRSya ] te nAma tat ca-evam na kiMcid api tattvataH || RATNA_01.31
   ahaṃkāras tathā skandhān upādāyopalabhyate |	ahaMkAraH taTA skanDAn upAdAya-upalaByate |
   na ca kaścit sa tattvena svamukhapratibimbavat || RATNA_01.32	na ca kaScid sa tattvena sva-muKa-pratibimba-vat || RATNA_01.32
   yathādarśam anādāya svamukhapratibimbakam |	yaTA-AdarSam anAdAya sva-muKa-pratibimbakam |
   na dṛśyate tathā skandhān [ 3,a ] anādāyāham ity api || RATNA_01.33	na dRSyate taTA skanDAn [ 3,aH ] anAdAya-aham iti api || RATNA_01.33
   evaṃvidhārthaśravaṇād dharmacakṣur avāptavān |	evaMviDa-arTa-SravaNAt Darma-cakzuH avAptavAn |
   āryānanandaḥ svayaṃ caiva bhikṣubhyo 'bhīkṣṇam uktavān || RATNA_01.34	AryAnanandaH svayam ca-eva BikzuByaH aBIkzNam uktavAn || RATNA_01.34
   skandhagrāho yāvad asti tāvad evāham ity api |	skanDa-grAhaH yAvat asti tAvat eva-aham iti api |
   ahaṃkāre sati punaḥ karma janma tataḥ punaḥ || RATNA_01.35	ahaMkAre sati punar karma janma tatas punar || RATNA_01.35
   trivartmaitad anādyantamadhyaṃ saṃsāramaṇḍalaṃ |	trivartmA-etat anAdi-anta-maDyam saMsAra-maNxalam |
   alātamaṇḍalaprakhyaṃ bhramaty anyonyahetukaṃ || RATNA_01.36	alAta-maNxala-praKyam Bramati anyonya-hetukam || RATNA_01.36
   svaparobhayatas tasya traikālyato 'py aprāptitaḥ |	sva-para-uBayataH tasya trEkAlyataH api aprAptitaH |
   ahaṃkāraḥ kṣayaṃ yāti tataḥ karma ca janma ca || RATNA_01.37	ahaMkAraH kzayam yAti tatas karma ca janma ca || RATNA_01.37
   evaṃ hetuphalotpādaṃ paśyaṃs tatkṣayaṃ eva ca |	evam hetu-Pala-utpAdam paSyan tad-kzayam eva ca |
   nāstitām astitāṃ caiva naiti lokasya tattvataḥ || RATNA_01.38	na-astitAm astitAm ca-eva na-eti lokasya tattvataH || RATNA_01.38
   sarvaduḥkhakṣayaṃ dharmaṃ śrutvaivam aparīkṣakaḥ |	sarva-duHKa-kzayam Darmam SrutvA-evam aparIkzakaH |
   saṃkampaty aparijñānād abhayasthānakātaraḥ || RATNA_01.39	saMkampati aparijQAnAt aBaya-sTAna-kAtaraH || RATNA_01.39
   na bhaviṣyati nirvāṇe sarvam etan na te bhayam |	na Bavizyati nirvANe sarvam etat na te Bayam |
   ucyamāna ihābhāvas tasya te kiṃ bhayaṃkaraḥ || RATNA_01.40	ucyamAnaH iha-aBAvaH tasya te kim BayaMkaraH || RATNA_01.40
   mokṣe nātmā na ca skandhā mokṣaś ced īdṛṣaḥ priyaḥ |	mokze na-AtmA na ca skanDAH mokzaH ced IdRzaH priyaH |
   ātmaskandhāpanayanaṃ kim ihaiva tavāpriyaṃ || RATNA_01.41	Atma-skanDa-apanayanam kim iha-eva tava-apriyam || RATNA_01.41
   na cābhāvo 'pi nirvāṇaṃ kuta eva tasya bhāvatā |	na ca-aBAvaH api nirvANam kutas eva tasya BAvatA |
   bhāvābhāvaparāmarśakṣayo nirvāṇam ucyate || RATNA_01.42	BAva-aBAva-parAmarSa-kzayaH nirvANam ucyate || RATNA_01.42
   samāsān nāstitādṛṣṭiḥ phalaṃ nāstīti karmaṇaḥ |	samAsAt na-astitA-dRzwiH Palam na-asti-iti karmaNaH |
   apuṇyāpāyikī caiṣā mithyādṛṣṭir iti smṛtā || RATNA_01.43	apuNya-apAyikI ca-ezA miTyAdRzwiH iti smRtA || RATNA_01.43
   samāsād astitādṛṣtiḥ phalaṃ cāstīti karmaṇām |	samAsAt astitA-dRztiH Palam ca-asti-iti karmaNAm |
   puṇyā sugatiniṣyandā samyagdṛṣṭir iti smṛtā || RATNA_01.44	puNyA su-gati-nizyandA samyak-dRzwiH iti smRtA || RATNA_01.44
   jñāne [ 3,b ] nāstyastitāśānteḥ pāpapuṇyavyatikramaḥ |	jQAne [ 3,B ] nAsti-astita-aSAnteH pApa-puNya-vyatikramaH |
   durgateḥ sugateś cāsmāt sa mokṣah sadbhir ucyate || RATNA_01.45	durgateH sugateH ca-asmAt sa mokzah sadBiH ucyate || RATNA_01.45
   sahetum udayaṃ paśyan nāstitām ativartate |	sa-hetum udayam paSyan na-astitAm ativartate |
   astitām api nopaiti nirodhaṃ saha hetunā || RATNA_01.46	astitAm api na-upEti niroDam saha hetunA || RATNA_01.46
   prāgjātaḥ sahajātaś ca hetur ahetuko 'rthataḥ |	prAc-jAtaH sahajAtaH ca hetuH ahetukaH arTataH |
   prajñapter apratītatvād utpatteś caiva tattvataḥ || RATNA_01.47	prajQapteH apratIta-tvAt utpatteH ca-eva tattvataH || RATNA_01.47
   asmin satīdaṃ bhavati dīrghe hrasvaṃ yathā sati |	asmin sati-idam Bavati dIrGe hrasvam yaTA sati |
   [ tasyotpādād udetīdaṃ dīpotpādād yathā ] prabhā || RATNA_01.48	[ tasya-utpAdAt udeti-idam dIpa-utpAdAt yaTA ] praBA || RATNA_01.48
   hrasve 'sati punar dīrghaṃ na bhavati svabhāvataḥ |	hrasve asati punar dIrGam na Bavati svaBAvataH |
   pradīpasyāpy anutpādāt prabhāyā apy asaṃbhavaḥ || RATNA_01.49	pradIpasya-api anutpAdAt praBAyAH api asaMBavaH || RATNA_01.49
   evaṃ hetuphalotpādaṃ dṛṣtvā nopaiti nāstikyaṃ |	evam hetu-Pala-utpAdam dRztvA na-upEti nAstikyam |
   abhyupetyāsya lokasya yāthābhūtyaṃ prapañcajam || RATNA_01.50	aByupetya-asya lokasya yATA-BUtyam prapaQca-jam || RATNA_01.50
   nirodhaṃ ca prapañcotthaṃ yāthābhūtyād upāgataḥ |	niroDam ca prapaQca-utTam yATA-BUtyAt upAgataH |
   nopayāty astitāṃ tasmān mucyate 'dvayaniśritaḥ || RATNA_01.51	na-upayAti astitAm tasmAt mucyate advaya-niSritaH || RATNA_01.51
   durād ālokitaṃ rūpam āsannair dṛśyate sphuṭam |	durAt Alokitam rUpam AsannEH dRSyate sPuwam |
   marīcir yadi vāri syād āsannaiḥ kiṃ na dṛśyate || RATNA_01.52	marIciH yadi vAri syAt AsannEH kim na dRSyate || RATNA_01.52
   dūrībhūtair yathābhūto loko 'yaṃ dṛśyate tathā |	dUrIBUtEH yaTABUtaH lokaH ayam dRSyate taTA |
   na dṛśyate tadāsannair animitto marīcivat || RATNA_01.53	na dRSyate tad-AsannEH animittaH marIci-vat || RATNA_01.53
   [ marīcis toyasadṛśī yathā nāmbo na ] cārthataḥ |	[ marIciH toya-sadRSI yaTA na-ambo na ] ca-arTataH |
   skandhās tathātmasadṛśā natmāno nāpi te 'rthataḥ || RATNA_01.54	skanDAH taTA-Atma-sadRSAH natmAnaH na-api te arTataH || RATNA_01.54
   mariciṃ toyam ity etad iti matvāgato 'tra san |	maricim toyam iti etat iti matvA-AgataH atra san |
   yadi nāstīti tat toyaṃ [ gṛhṇīyān mūḍha eva saḥ || RATNA_01.55	yadi na-asti-iti tat toyam [ gRhNIyAt mUXaH eva saH || RATNA_01.55
   marīcipratimaṃ lo ] kam [ 4,a ] evam astīti gṛhṇataḥ |	marIci-pratimam laH ] kam [ 4,aH ] evam asti-iti gRhNataH |
   nāstīti cāpi moho 'yaṃ sati mohe na mucyate || RATNA_01.56	na-asti-iti ca-api mohaH ayam sati mohe na mucyate || RATNA_01.56
   nāstiko durgatiṃ yāti sugatiṃ yāti cāstikaḥ |	nAstikaH durgatim yAti sugatim yAti ca-AstikaH |
   yathābhūtaparijñānān mokṣam advayaniśritaḥ || RATNA_01.57	yaTABUta-parijQAnAt mokzam advaya-niSritaH || RATNA_01.57
   anicchan nāstitāstitve yathābhūtaparijñayā |	anicCan nAstita-astitve yaTABUta-parijQayA |
   nāstitāṃ labhate mohāt kasmān na labhate 'stitāṃ || RATNA_01.58	na-astitAm laBate mohAt kasmAt na laBate astitAm || RATNA_01.58
   syād astidūṣaṇād asya nāstitākṣipyate 'rthataḥ |	syAt asti-dUzaNAt asya na-astita-Akzipyate arTataH |
   nāstitādūṣanād eva kasmān nākṣipyate 'stitā || RATNA_01.59	na-astitA-dUzanAt eva kasmAt na-Akzipyate astitAH || RATNA_01.59
   na pratijñā na caritaṃ na cittaṃ bodhiniśrayāt |	na pratijQA na caritam na cittam boDi-niSrayAt |
   nāstikatve 'rthato yeṣāṃ kathaṃ te nāstikāḥ smṛṭāḥ || RATNA_01.60	nAstika-tve arTataH yezAm kaTam te nAstikAH smRwAH || RATNA_01.60
   sasāṃkhyaulūkyanirgranthapudgalaskandhavādinam |	sa-sAMKyOlUkya-nirgranTa-pudgala-skanDa-vAdinam |
   pṛccha lokaṃ yadi vadaty astināstivyatikramam || RATNA_01.61	pRcCa lokam yadi vadati astinAsti-vyatikramam || RATNA_01.61
   dharmayautakam ity asmān nāstyastitvavyatikramam |	DarmayOtakam iti asmAn nAsti-astitva-vyatikramam |
   viddhi gaṃbhīram ity uktaṃ buddhānāṃ śāsanāmṛtam || RATNA_01.62	vidDi gaMBIram iti uktam budDAnAm SAsana-amRtam || RATNA_01.62
   vibhavaṃ naiti nāyāti na tiṣṭhaty api cakṣaṇam |	viBavam na-eti na-AyAti na tizWati api cakzaNam |
   traikālyavyativṛttātmā loka eva kuto 'rthataḥ || RATNA_01.63	trEkAlya-vyativRtta-AtmA loke eva kutas arTataH || RATNA_01.63
   dvayor apy āgatigatī prasthitiś ca na tattvataḥ |	dvayoH api Agati-gatI prasTitiH ca na tattvataH |
   lokanirvāṇayos tasmād viśeṣaḥ ka ivārthataḥ || RATNA_01.64	loka-nirvANayoH tasmAt viSezaH kaH iva-arTataH || RATNA_01.64
   sthiter abhāvād udayo nirodhaś ca na tattvataḥ |	sTiteH aBAvAt udayaH niroDaH ca na tattvataH |
   uditaḥ sthitaś ceti niruddhaś ca kuto 'rthataḥ || RATNA_01.65	uditaH sTitaH ca-iti nirudDaH ca kutas arTataH || RATNA_01.65
   katham aksaṇiko bhāvaḥ pariṇāmaḥ sadā yadi |	kaTam aksaNikaH BAvaH pariNAmaH sadA yadi |
   nāsti cet pariṇāmaḥ syād anyathātvaṃ kuto 'rthataḥ || RATNA_01.66	na-asti ced pariNAmaH syAt anyaTAtvam kutas arTataH || RATNA_01.66
   ekadeśe [ 4,b ] kṣayād vā syāt kṣaṇikaṃ sarvaśo 'pi vā |	eka-deSe [ 4,B ] kzayAt vA syAt kzaNikam sarvaSas api vA |
   vaiṣamyānupalabdheś ca dvidhāpy etad ayuktimat || RATNA_01.67	vEzamya-anupalabDeH ca dviDA-api etat ayuktimat || RATNA_01.67
   kṣaṇike sarvathā bhāvet kutaḥ kācit purāṇatā |	kzaNike sarvaTA BAvet kutas kAcid purANa-tA |
   sthairyād akṣaṇike cāpi kutaḥ kācit purāṇatā || RATNA_01.68	sTEryAt akzaNike ca-api kutas kAcid purANa-tA || RATNA_01.68
   yathānto 'sti kṣaṇasyaivam ādir madhyaṃ ca kalpyatām |	yaTA-antaH asti kzaNasya-evam AdiH maDyam ca kalpyatAm |
   tryātmakatvāt kṣaṇasyaivaṃ na lokasya kṣaṇaṃ sthitiḥ || RATNA_01.69	tri-Atmaka-tvAt kzaNasya-evam na lokasya kzaNam sTitiH || RATNA_01.69
   ādimadhyāvasānāni c [ intyāni kṣaṇavat punaḥ |	Adi-maDya-avasAnAni c [ intyAni kzaNa-vat punar |
   ādimadhyā ] vasānatvaṃ na svataḥ parato 'pi vā || RATNA_01.70	Adi-maDyAH ] vasAna-tvam na svatas paratas api vA || RATNA_01.70
   naiko 'nekapradeśatvān nāpradeśaś ca kaścana |	na-ekaH aneka-pradeSa-tvAt na-apradeSaH ca kaScana |
   vinaikam api nāneko nāstitvam api cāstitām || RATNA_01.71	vinA-ekam api na-anekaH nAstitvam api ca-astitAm || RATNA_01.71
   vināśāt pratipakṣād vā syād astitvasya nāstitā |	vinASAt pratipakzAt vA syAt astitvasya na-astitAH |
   vināśaḥ pratipakṣo vā kathaṃ syād astyasaṃbhavāt || RATNA_01.72	vinASaH pratipakzaH vA kaTam syAt asti-asaMBavAt || RATNA_01.72
   nirvṛtes tena lokasya nopaity ūnatvam arthataḥ |	nirvRteH tena lokasya na-upEti Una-tvam arTataH |
   antavān iti lokaś ca pṛṣṭas tuṣṇīṃ jino 'bhavat || RATNA_01.73	antavAn iti lokaH ca pRzwaH tuzNIm jinaH aBavat || RATNA_01.73
   sarvajña iti sarvajño budhais tenaiva gamyate |	sarvajQaH iti sarvajQaH buDEH tena-eva gamyate |
   yenaitad dharmagāmbhīryaṃ novācābhājane loke || RATNA_01.74	yena-etat Darma-gAmBIryam na-uvAca-aBAjane loke || RATNA_01.74
   iti naiḥśreyaso dharmo gambhīro niṣparigrahaḥ |	iti nEHSreyasaH DarmaH gamBIraH nizparigrahaH |
   anālaya ity proktaḥ saṃbuddhais tattvadarśibhiḥ || RATNA_01.75	anAlayaH iti proktaH saMbudDEH tattva-darSiBiH || RATNA_01.75
   asmād anālayād dharmād ālayābhiratā janāḥ |	asmAt anAlayAt DarmAt Alaya-aBiratAH janAH |
   astināstyavyatikrantā bhītā naśyanty amedhasaḥ || RATNA_01.76	astinA-asti-avyatikrantA BItAH naSyanti ameDasaH || RATNA_01.76
   te naṣṭā nāśayanty anyān abhayasthānabhīravaḥ |	te nazwAH nASayanti anyAn aBaya-sTAna-BIravaH |
   tathā kuru yathā rājan naṣṭair na vipranāśyase || RATNA_01.77	taTA kuru yaTA rAjan nazwEH na vipranASyase || RATNA_01.77
